,Precentral_L,Frontal_Sup_2_L,Frontal_Mid_2_L,Frontal_Inf_Oper_L,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_L,Rolandic_Oper_L,Olfactory_L,Frontal_Sup_Medial_L,Frontal_Med_Orb_L,Rectus_L,OFCmed_L,OFCant_L,OFCpost_L,OFClat_L,Insula_L,Cingulate_Mid_L,Cingulate_Post_L,Hippocampus_L,ParaHippocampal_L,Amygdala_L,Calcarine_L,Cuneus_L,Lingual_L,Occipital_Sup_L,Occipital_Mid_L,Occipital_Inf_L,Fusiform_L,Postcentral_L,Parietal_Inf_L,SupraMarginal_L,Angular_L,Precuneus_L,Caudate_L,Putamen_L,Pallidum_L,Heschl_L,Temporal_Sup_L,Temporal_Pole_Sup_L,Temporal_Mid_L,Temporal_Pole_Mid_L,Temporal_Inf_L,Cerebellum_Crus1_L,Cerebellum_Crus2_L,Cerebellum_3_L,Cerebellum_4_5_L,Cerebellum_6_L,Cerebellum_8_L,Cerebellum_9_L,Thal_LP_L,Thal_VA_L,Thal_VL_L,Thal_VPL_L,Thal_IL_L,Thal_MDm_L,Thal_MDl_L,Thal_LGN_L,Thal_MGN_L,Thal_PuI_L,Thal_PuM_L,Thal_PuA_L,Thal_PuL_L,ACC_sub_L,ACC_pre_L,ACC_sup_L,N_Acc_L,VTA_L,SN_pc_L,SN_pr_L,Red_N_L
Precentral_L,1.0,0.44726367524776234,0.6273374512606127,0.5294273023578308,0.6040698715113882,0.04158197274020337,0.32552357608665855,-0.2710093726159815,0.2015084376587775,-0.564237141028531,-0.4766042277146782,-0.16028709179487016,-0.5362747724952384,0.41653879925882303,-0.26972621573424527,0.027763613594624502,0.7288554684399764,0.4503068350305941,-0.18392923907319533,0.5070544592202779,-0.4317953745368019,0.5327349733392762,0.8139115822093665,0.348682865016548,0.5528291078569947,0.7599942677362439,0.38966598371205763,-3.707860351171213e-05,0.8840206590732319,0.6992909020120861,0.5296515614073489,0.3714188276471512,0.7632488592194695,-0.018576333925300087,-0.03977722823240781,-0.22820859363473972,-0.30455083582012993,0.7950474751688198,-0.16237541344808304,0.6126047007313045,-0.45236371869212016,-0.10492357341327994,-0.11987967749199363,0.1288723431240802,-0.12077460669800119,-0.07674947883060627,0.031390977115128206,-0.11415742921854835,-0.08233062054551968,0.18006158794934493,0.233137021155729,0.7183164681757633,-0.1528329512749407,0.24678037901184677,0.46360597941264853,0.23292990349362475,-0.14761727960995985,0.19386813129426242,0.318192920278922,0.11198053331387856,0.4011995128984613,0.4233813821484524,-0.2954612799738334,0.02503216808570884,0.3475210413702347,-0.2692319602944005,-0.20898405872025208,-0.3745699370424495,-0.5881934832396214,0.3906166708833354
Frontal_Sup_2_L,0.44726367524776234,1.0,0.9158877462108426,0.7727796200159531,0.8795838248898681,0.5935427858684085,0.5394615193568929,0.18238712716813538,0.8087898199323444,-0.12385871375637465,0.1481967268223842,0.32136826644308475,-0.012107743220649114,0.2196904260626368,0.4024469114134514,0.33992982938623884,0.4298848482795085,0.31385131222723406,0.3184964925621707,0.39026326677597845,0.308385607926282,0.12791675709273692,0.028446452004211868,0.11806850641873279,-0.11870327380866184,0.12484860786745092,-0.036979965064564774,0.24611597400028207,0.29845742966931615,0.1755488601265617,0.03845894878458043,-0.03872142012861687,0.2512565404632931,0.1667866936879648,0.1440058517656285,0.15901343185848377,-0.07653256304429151,0.4336276349384346,0.41287450117984503,0.42557001345871515,0.14193757139274255,0.2850175071011429,-0.06603362542424336,-0.18496434783144625,0.25178230343436037,0.18822177872622298,0.2775525946028769,0.28925625285761275,0.34645736079060546,-0.026657382511987567,0.17513982331508307,0.15790529770465617,0.024743020910566484,-0.16943933417071244,0.20293683916379507,-0.09105655235250475,0.056695406473372706,0.08127619175795195,0.05672061982022107,0.18075856715300942,0.05253592518609475,0.33549826450746983,0.254070241613464,0.18880167060400752,0.4173569334472693,0.3187175314386719,-0.1752387131446599,0.0530592502574428,0.18368483096576657,-0.23321343560919452
Frontal_Mid_2_L,0.6273374512606127,0.9158877462108426,1.0,0.7115628062187824,0.9300605793912882,0.5065501034205119,0.5296439549595996,0.05639180133049009,0.6593018289057871,-0.2283195166978716,-0.05667461541513307,0.19278461144644274,-0.16137948407149152,0.29778741721621244,0.3002495104752725,0.2847696933399362,0.4487540309234315,0.3439534287915871,0.19236422814824863,0.4004841677183661,0.11843757896136842,0.2434126363100299,0.22586369456099034,0.2539751182957777,0.04244616367620324,0.30502599202289227,0.09768315302427494,0.17759193996319894,0.41406911561875065,0.2749854091193998,0.1719732855740363,0.12116916043087862,0.37102955849463676,0.08348138625658472,0.12217109400709221,0.09288707516941207,-0.05001042955166647,0.5668406999971165,0.2709559336870204,0.5943918246668428,-0.09874412556052084,0.19732205576176579,-0.0334832878121709,-0.017038526644381196,0.06343539250474607,0.04534654937245231,0.24667142469870212,0.1834088567201242,0.1995996382965371,0.009321869226806978,0.27845664912739987,0.29614953035932035,-0.04998032387089945,0.010788957678461908,0.23731787866865567,-0.07048641494272134,-0.048367302676711826,0.024327492102856414,0.08837528032263076,0.14847325333701072,0.13840845583176556,0.3531249763493885,-0.01029058579782862,0.17600010721253978,0.4787725352555919,0.1625008412837351,-0.08930756984250159,-0.16856200433232346,-0.03432991282874175,-0.11080164711487148
Frontal_Inf_Oper_L,0.5294273023578308,0.7727796200159531,0.7115628062187824,1.0,0.7869991001585176,0.709662834673191,0.7132132089971277,0.279656238872671,0.7740991472951841,-0.19420263914633423,0.0702868892696766,0.35648804940101453,-0.05732178754902388,0.43169073248364986,0.26282929624300994,0.6147954605509991,0.7576097749457564,0.6468282793307238,0.4818850424572946,0.645201852260287,0.2370290428853183,0.5111268242245228,0.2945161899635315,0.42338493214952766,0.08126661686128032,0.4136771760001004,0.2138614596327782,0.5850925671842067,0.49136842228713595,0.2234808600942022,0.17473923920097087,0.08016631723040155,0.5699385058716993,0.48468070988739975,0.44686237199327217,0.24435184196830906,0.06460610495795761,0.728910006572784,0.5709546398485694,0.6687395058623242,0.3245479049026396,0.5092032855353463,0.13907082135272528,-0.004077932335257603,0.38269623735121133,0.4776406956838704,0.569100281215324,0.42675076474450474,0.5010182253401295,0.039521268227732116,0.20267942696549182,0.4316438091439091,0.2340543314097197,-0.06036017310345334,0.4934098322757163,0.1945809021763892,0.29055163068314116,0.25066494622475327,0.3157746814827347,0.410109879555061,0.3137839697352028,0.34488664303273703,0.4372083897254127,0.47315528414540153,0.5591232521157284,0.3665319631633821,-0.18760161976279277,0.27809241278672964,0.10513513183713717,0.11404328710363683
Frontal_Inf_Tri_L,0.6040698715113882,0.8795838248898681,0.9300605793912882,0.7869991001585176,1.0,0.5683410776155755,0.6746088615207605,0.12122019558938868,0.6942604938694238,-0.13878788628239444,0.019958989431430207,0.2838176772651962,-0.024293141209346333,0.3424952348216153,0.36959532026572517,0.4308107563905079,0.46826372152443724,0.3360189518757476,0.29820540860846423,0.4493850443460634,0.1537300694298575,0.2151309756259371,0.23051306347623302,0.35738781733030606,0.07803650975689302,0.27486408102467697,0.13149833660523727,0.2839748708506564,0.4143288278232489,0.22040675879754995,0.18933919763717494,0.06287379726415991,0.3917807055479233,0.19326666535415526,0.24745944453954094,0.15483295381163964,0.08899445750716348,0.6557575641417666,0.362037130514213,0.6813000098106957,0.008074537457922373,0.28788209455494684,0.004095384847986703,0.02199718500652479,0.08757733679870094,0.14395338031987026,0.3327197773210957,0.2605635952582032,0.25371177787345045,0.04596324741063145,0.45697069804786483,0.30666464561765067,0.07182730222870425,0.11707754973409819,0.2322740134435444,-0.029506834836423933,-0.035277743847465244,0.029833789967539742,0.11872900090421475,0.27799133144965604,0.2155426528838665,0.4002367050290278,0.07979381616846268,0.2514706762353405,0.5803227139813042,0.2307696029081937,0.061611902000721336,-0.10885933491734062,0.05980891746826884,-0.11116326772812353
Frontal_Inf_Orb_2_L,0.04158197274020337,0.5935427858684085,0.5065501034205119,0.709662834673191,0.5683410776155755,1.0,0.6543329132571437,0.6565756665938657,0.794556041785292,0.2540020684345898,0.4271505078438344,0.4690674197816824,0.376467894662674,0.19905459612616277,0.6742351655612039,0.5815517772665146,0.3229284642152266,0.354299635159011,0.5346953784595028,0.3268753970778708,0.5508954619698555,0.15658507434455948,-0.18171801754027656,0.1925050088713355,-0.24264907751039808,0.04025327600138142,0.036951714004703796,0.506589115598643,0.005754900754344585,-0.1590406938850217,-0.12272243636107416,-0.12279482844926257,0.10499907703489676,0.4914920951388683,0.40853620498009857,0.3818990511107626,0.28810714396162873,0.3434455497064182,0.7754586755100987,0.5155006602783294,0.629799358299069,0.6798947815757028,0.1893442803450791,-0.009892195779907756,0.39921964351844924,0.40572634631293675,0.49151940319306653,0.4697294779125944,0.5119589040453911,-0.020042769257760176,0.07792795564695136,-0.03364178176445336,0.21530007410238505,-0.2547583715845113,0.17131195659490975,-0.11738879442772913,0.28826808688497324,0.11062873736492956,0.1278099958025236,0.3219480364075767,0.06586971808959217,0.1178298442811257,0.6206662547181477,0.6449164050758581,0.5129931829869943,0.6938434180002456,-0.08075671793646617,0.3944142060115754,0.5106814021050003,-0.2687542430621308
Rolandic_Oper_L,0.32552357608665855,0.5394615193568929,0.5296439549595996,0.7132132089971277,0.6746088615207605,0.6543329132571437,1.0,0.4243605575644374,0.6180277141300263,0.06914637333156688,0.022621154371208877,0.20233647349019324,0.14062782025386059,0.3639683827112148,0.35829297768066104,0.7694047991358214,0.37263458729933696,0.40899773052404914,0.5791971427145043,0.34345261459348736,0.20922223953703797,0.29527894546524047,0.07845300297304734,0.51941945044837,0.012027007593492704,0.14431763685082222,0.34065933886137245,0.5800942387388389,0.1631465358978981,0.03167423467575948,-0.07683111447466434,-0.05518518822309128,0.3507640496276659,0.5706935786962476,0.5185816343998829,0.3965558902513984,0.5920526108678793,0.5987801266424823,0.6173028402108096,0.6430570182878157,0.25258109714965254,0.6287856909112758,0.4057305550507624,0.30876632850943087,0.20672994356972704,0.4165041911776092,0.5998150885532427,0.46609032715669646,0.4302942356988137,0.18596467390661137,0.5186530000097977,0.24238095912630742,0.2970967674034554,0.16556710055472282,0.2763630272664155,-0.009494624883993087,0.1634511001527171,-0.01358039145618107,0.14840945607946407,0.5849241278571818,0.25438822728735505,0.27438179339378393,0.2860099794210273,0.5481304478215167,0.7664579333844924,0.46239535372150464,0.14069146794811793,0.16218656515178018,0.1834765999260497,0.018916897987259894
Olfactory_L,-0.2710093726159815,0.18238712716813538,0.05639180133049009,0.279656238872671,0.12122019558938868,0.6565756665938657,0.4243605575644374,1.0,0.4704049620414388,0.6311634115415912,0.5399514511796178,0.19990022498714213,0.6068579769532866,-0.14620352856183952,0.6359900816925181,0.3581155435568398,-0.03973656662750399,0.04044299867338315,0.37400802861078064,0.0011516152055891541,0.4524588038494807,-0.09326203839101961,-0.380376733807423,-0.0021284127782163985,-0.2523525050575673,-0.23086573783760253,-0.008033729363936547,0.3975342613876582,-0.27206670471641653,-0.30977920627817673,-0.2057300312899154,-0.09425837166395697,-0.19294104318554844,0.5606745966587815,0.2213795998867156,0.3103428363623908,0.4261448922046642,-0.03607072899348484,0.5996961103000216,0.15393520700096652,0.6691025789863321,0.5596036704547065,0.1979626678281049,-0.02728811750267709,0.283051076620549,0.3238864995624424,0.30528413991325115,0.35837154071969934,0.36155678968134025,0.01736003726329426,-0.021947973525701336,-0.20912498253835096,0.31369560949597614,-0.3598483993728434,0.01899278513331849,-0.21457487923816576,0.23833060451474114,0.04744590388466132,0.014708248463161957,0.26019089201828366,0.005043251499232766,0.044918732237391,0.6750836485596557,0.7290082962657257,0.3896465696178228,0.8679461389457949,-0.013169534207285791,0.49466726095930724,0.6520723193860829,-0.34551103358696345
Frontal_Sup_Medial_L,0.2015084376587775,0.8087898199323444,0.6593018289057871,0.7740991472951841,0.6942604938694238,0.794556041785292,0.6180277141300263,0.4704049620414388,1.0,0.16000893466874352,0.37664550559696297,0.4011903947115225,0.2878427725333534,0.22065489221576268,0.5627841721097845,0.5368195652445329,0.4405934147224447,0.4266389131420027,0.5144543922915673,0.38525305813929245,0.4153844055583061,0.15645634587667234,-0.07133967003298398,0.20208310875478167,-0.13640779458157626,0.08622452453312739,-0.028112978568334286,0.48297061663554164,0.14558193338633463,-0.008894432881607997,-0.007502716658724802,-0.11417640912343242,0.212587561101191,0.43217307482934075,0.33408721679098496,0.3352997054413989,0.17493683252680142,0.38322315346480806,0.6482386093607423,0.438948494604247,0.4700025250920773,0.575162957383112,0.09546710678258219,-0.10325051796358076,0.42796361083316425,0.3891976281806413,0.4428338281406731,0.4813405026528846,0.49342151241350996,-0.003048737517163092,0.15813516316965842,0.028828213882325038,0.17205485692392986,-0.15088345785317786,0.13841059776482936,-0.08279887879734119,0.18349614338232903,0.13336044543941683,0.08828829601894134,0.2355584812925762,0.039278019438689325,0.17002941596680463,0.4857507049788144,0.5511441343782737,0.5108708472263728,0.5217672552364644,-0.045535793952870864,0.2576816737517445,0.38051438952648864,-0.20611956970971967
Frontal_Med_Orb_L,-0.564237141028531,-0.12385871375637465,-0.2283195166978716,-0.19420263914633423,-0.13878788628239444,0.2540020684345898,0.06914637333156688,0.6311634115415912,0.16000893466874352,1.0,0.7227254915816079,0.1474852172618869,0.9393280112853698,-0.480955788676839,0.7291619649962958,0.06982812542545601,-0.48128070810611345,-0.35461124795595955,0.24029854170045348,-0.4121797768586084,0.3742485928382309,-0.5573339625908849,-0.521865412818581,-0.17324822366987566,-0.22700658507599128,-0.5005624102806415,-0.27456120502761344,0.038877019791768476,-0.5579447626562319,-0.4620794969512756,-0.11075321227412356,-0.014290987123616669,-0.5068874377277143,0.16605132508999393,0.08545873373527665,0.23817585471840674,0.41340034047090457,-0.33362721921722915,0.31671073492198537,-0.09598939605107872,0.44694999538459723,0.2311321846803572,-0.07436687746409769,-0.13335179253915186,-0.07457351923219675,-0.0026078460014694748,-0.06991769612437146,0.06733134451834762,-0.03495702389533669,0.004180026964281928,0.07023268135131028,-0.6072825809268422,0.32920398409573426,-0.09234732710436853,-0.5188276529349525,-0.407244632540307,0.0034937164200232384,-0.20746777619430856,-0.12919456492992804,0.12088961603690111,-0.18329805527223664,-0.04306427860444081,0.4454491288653118,0.3705996446758694,0.05741025230648598,0.6086439221041643,0.3975392803606258,0.16266524286082443,0.7080746903601235,-0.628257899646526
