,Precentral_L,Frontal_Sup_2_L,Frontal_Mid_2_L,Frontal_Inf_Oper_L,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_L,Rolandic_Oper_L,Supp_Motor_Area_L,Olfactory_L,Frontal_Sup_Medial_L,Frontal_Med_Orb_L,Rectus_L,OFCmed_L,OFCant_L,OFCpost_L,OFClat_L,Insula_L,Cingulate_Mid_L,Cingulate_Post_L,Hippocampus_L,ParaHippocampal_L,Amygdala_L,Calcarine_L,Cuneus_L,Lingual_L,Occipital_Mid_L,Fusiform_L,Postcentral_L,Parietal_Sup_L,Parietal_Inf_L,SupraMarginal_L,Angular_L,Precuneus_L,Paracentral_Lobule_L,Caudate_L,Putamen_L,Pallidum_L,Heschl_L,Temporal_Sup_L,Temporal_Pole_Sup_L,Temporal_Mid_L,Temporal_Pole_Mid_L,Temporal_Inf_L,Cerebellum_Crus1_L,Cerebellum_Crus2_L,Cerebellum_3_L,Cerebellum_4_5_L,Cerebellum_6_L,Cerebellum_8_L,Cerebellum_9_L,Thal_LP_L,Thal_VA_L,Thal_VL_L,Thal_VPL_L,Thal_IL_L,Thal_MDm_L,Thal_MDl_L,Thal_LGN_L,Thal_MGN_L,Thal_PuI_L,Thal_PuM_L,Thal_PuA_L,Thal_PuL_L,ACC_sub_L,ACC_pre_L,ACC_sup_L,N_Acc_L,VTA_L,SN_pc_L,SN_pr_L,Red_N_L
Precentral_L,1.0,0.787490242397642,0.6955153978033045,0.6988103210557267,0.6039038945044543,0.49744782007242544,0.6430188866975993,0.8743263296488138,0.4415191476986334,0.6665122148717473,0.5945982560776429,0.5639357770434571,0.5180186452674411,0.4812199025625643,0.30321209932906285,0.5419305778218858,0.5237596239634864,0.4931284487761447,0.29679816623089855,0.6419718311849295,0.5804535159253551,0.49589233147906453,-0.21273682574313557,-0.040931021202936554,-0.15694800873812328,0.055904448484887,0.6400055732647966,0.5641165304633571,0.04036639456336866,0.2339181453589604,0.4182296421697859,-0.046539276818501306,0.3782981688424563,0.6214598889896193,0.6733882418308329,0.41690724447853844,0.2528199590637532,0.38237130963022364,0.5762307797110886,-0.34423201813227156,0.44101843804237056,-0.2275618751878651,0.5954481988763435,-0.0919220243906905,0.39408461890323915,0.2908306806083244,0.33450462240596857,-0.11057149542119042,0.007929865179919348,-0.10305577410784954,0.19265231079603043,0.4007898231257915,0.4713608845602305,0.14143368601740414,-0.1254791819049496,0.29201541240724377,0.22784099499841634,0.4210143354665765,0.2137212758024472,0.21443948354461695,0.24338611546492456,0.5389347621212027,-0.22765237417056008,0.31445725216196463,0.5352161436469776,0.4728704157224856,0.4536589390087174,-0.30339506945795924,-0.2298244087602067,0.5117230264328856,0.029797406505888205
Frontal_Sup_2_L,0.787490242397642,1.0,0.8397308371857983,0.6989330775104041,0.6606026594807716,0.41299753438879455,0.7325628259989156,0.7047855421377488,0.4786247088055432,0.8485722662912872,0.6856545148224579,0.6311050031454323,0.5093042321442115,0.6731578358051526,0.21436033676394187,0.768848659966609,0.5992111897953809,0.49060406342643537,0.31324394589177107,0.6547830669097587,0.5809545741628293,0.6868632015046193,-0.4316515796104678,-0.20405415988293657,-0.4658778878663381,-0.10184505954745893,0.3999276877144979,0.38212091490977496,-0.16856800258891766,-0.013306824576556606,0.18442225760163197,-0.26363015849918353,0.1547658592530136,0.42094147167679014,0.7758080388830294,0.51243461444413,0.38514023242936496,0.5991429204414902,0.7201984577780073,-0.49873248564173756,0.2001859997499531,-0.4960702353011982,0.5807707718540258,-0.20135097584429082,0.45111567261907204,0.36535991121158523,0.02687077054884862,-0.49162703746687303,-0.25542709281279485,-0.5058148461298825,0.24694144713372712,0.4256834385277419,0.5490920211527628,0.3047679655624677,-0.12109011202901614,0.3741028786129198,0.3495274296311342,0.2901410501632178,0.22896068992780821,0.04374480068840907,0.25922477250884907,0.4446105620305412,-0.2922022108724282,0.3753827011340154,0.7599652465825453,0.5665186257389874,0.3793809816749028,-0.5224785242873796,-0.35504083113028895,0.476467446020239,-0.10972271239567792
Frontal_Mid_2_L,0.6955153978033045,0.8397308371857983,1.0,0.7892215610173875,0.6991650843184021,0.3297411805662708,0.8758477102516109,0.5364498232860656,0.7520011006428879,0.7986495413542564,0.4918677089232433,0.5603400031602606,0.50124899626952,0.8309856998190722,0.3930744486092328,0.841038794834452,0.7307590973688549,0.4598524813789672,0.42597112130134207,0.8400600316624692,0.8006710268278596,0.8259126149042434,-0.5495833047208034,-0.4683192911135563,-0.37655110273008624,-0.38837631527409233,0.5506119890939032,0.18468404948422246,-0.4377578145956986,-0.24361996809679504,0.0601391984384319,-0.47946312080434766,-0.09220884763560797,0.3445519648115508,0.8416291224058925,0.746828674972862,0.7055987989952602,0.7468158075282224,0.8342998837495174,-0.6922048641386118,0.11209273396486957,-0.6019206584026247,0.7043965718857125,-0.3366818984283939,0.3179656277076456,0.6154340463368975,0.232422896993614,-0.4475451581452191,-0.12654261581902482,-0.5095164213144744,0.4832536184353511,0.7542255091125621,0.6184331726721899,0.5245688245637785,-0.1624285934231328,0.6133354982436146,0.6392997260737642,0.39224471526216254,0.35575494077750397,0.039497066512171754,0.5316655006981489,0.6149612075364437,-0.18859582074886597,0.7089934960855052,0.8988578604964689,0.55697163633256,0.2028355385960048,-0.6755728982811379,-0.6052729856673893,0.5172170406788597,-0.028776196151991163
Frontal_Inf_Oper_L,0.6988103210557267,0.6989330775104041,0.7892215610173875,1.0,0.8853286731761074,0.6510742715260445,0.8377090928956845,0.5293424514983905,0.5974813757535042,0.7121940174047094,0.54189239117826,0.4739727617419291,0.4091497653309325,0.5280231576488756,0.4679662130259473,0.6911566444155761,0.8642044534431621,0.4365937689255612,0.49322839243213346,0.7672543792935802,0.6742190253696619,0.6067103758482888,-0.170060705996272,-0.06439341187487446,-0.03444777706835198,0.05961862636523592,0.6867324212144424,0.3419584265494086,-0.07046415787953575,0.13177269325369892,0.4303304571437801,-0.04151585990818725,0.24534373258582215,0.38378386139175613,0.7588285097490639,0.7558954684448543,0.5697071306395998,0.6529706881749027,0.8861191487964754,-0.3684650214395975,0.5752433460819785,-0.38537898003979254,0.7657498541112963,-0.07140556434478963,0.40885767190502015,0.35073793121422964,0.29444695223524003,-0.11609057028871399,-0.1843973659347148,-0.269474477771958,0.25957509538771606,0.6269807783039623,0.6439299893701504,0.46415631693233744,0.1800068597271354,0.5148105365558419,0.40863506315608955,0.5242127490714709,0.35513712164434835,0.27080927064611815,0.5382343056381459,0.6825156525142311,-0.07227614774094862,0.41694194490948555,0.6468955673755963,0.511471509503536,0.26122413293446056,-0.33830895748120465,-0.29742706749955006,0.39824730871525044,0.024177429567622134
Frontal_Inf_Tri_L,0.6039038945044543,0.6606026594807716,0.6991650843184021,0.8853286731761074,1.0,0.6393887646975495,0.7107348672818402,0.530714722952862,0.3779553031813842,0.74429905264986,0.5965338245984803,0.45764233901455237,0.3829771512030424,0.36156921323269164,0.4236168524845976,0.48240605740371945,0.7900790762733996,0.5437624264334996,0.6022224070858071,0.5665912161827077,0.4686074953994331,0.476151655956469,0.04330031139412377,0.1346323716224218,0.07199639599963796,0.2560030361162691,0.49704389760809764,0.5336247623732371,0.12267293656980442,0.3207743173819804,0.6127622468459718,0.16401198731700214,0.3815246986288659,0.37183135199637785,0.5872814230887736,0.6577381891980467,0.5267806410028346,0.7146827839163739,0.7797944597676928,-0.26387038276454405,0.5617927023556188,-0.2965940223094742,0.5654434534243215,0.026044141731451167,0.4051005933365538,0.14423315333790557,0.18392633990738189,-0.1278326729959715,-0.2630795596329388,-0.3120231214397604,0.16529711485706916,0.5366638301840372,0.5632653886665018,0.45168060296226,0.42368873247846645,0.5923485466245423,0.4574769453231439,0.5255904254470198,0.3190999848594933,0.4864822921992206,0.5521755479398849,0.5960158620484296,-0.08502358088608944,0.25773992028226034,0.4914582591941899,0.39972137057211304,0.22844162650769737,-0.18351709969431027,-0.127462836712443,0.2041149091177691,-0.04319616917176215
Frontal_Inf_Orb_2_L,0.49744782007242544,0.41299753438879455,0.3297411805662708,0.6510742715260445,0.6393887646975495,1.0,0.5016257526942947,0.4150097183761057,0.20726511319292773,0.38032245331153547,0.5455437332365733,0.3731280419133932,0.3944235017795593,0.11205650259637914,0.524167374269244,0.35979626143116594,0.5359212268533187,0.22151429309404805,0.3053136689279366,0.413391469321074,0.3191930035209146,0.16657161907785958,0.2740356394970783,0.4467833975587044,0.2274966508239291,0.5136799241511045,0.5113736464034464,0.44795816443510594,0.4562941398504244,0.48778862852726174,0.6157626269927728,0.4438919573976668,0.6034801338085641,0.38324292450197694,0.36216900995349055,0.4040139740936671,0.07741630365963859,0.2637733823347703,0.49042600079248694,0.026577312734275674,0.6619340140749337,0.04648976184722459,0.46682280969679096,0.08679544335803603,0.5028167298255843,0.0010101424896194631,0.2146128051671656,0.096720976029164,-0.3583127822226872,-0.03128385142563283,-0.29589246429425253,0.08573918631468856,0.2847580248447915,0.10913219013572846,0.297687537248019,0.09963784226639355,-0.07126906736832181,0.46136478897095157,0.27913871715865696,0.48331158338141417,0.16530319522449657,0.5633782245137441,0.02703502826652418,-0.054736800991146785,0.14263824798493635,0.15856652504693772,0.3918158213260572,0.19350205653004504,0.24304778928145626,0.3019482493018454,-0.08187310264017549
Rolandic_Oper_L,0.6430188866975993,0.7325628259989156,0.8758477102516109,0.8377090928956845,0.7107348672818402,0.5016257526942947,1.0,0.43709696322113034,0.7420316885911624,0.7271561296273347,0.47507855833956897,0.48393360993468204,0.533382533028294,0.6968957282827765,0.4656097215649725,0.8140277602452046,0.7230739967940439,0.3322092566697627,0.4619101767304149,0.8753526051471123,0.8321477726780164,0.7543093466978064,-0.3950566755312055,-0.35076212990154254,-0.1983503315496299,-0.2790707298592919,0.6475511910563312,0.08306686347217872,-0.34686124364062926,-0.2027781898223346,0.15321114447656037,-0.36858405542754125,-0.03865461706368394,0.21057729905166864,0.8622446489513919,0.822385110426185,0.6588960863793866,0.6898928687522708,0.8622352458656551,-0.6203125845846437,0.2529217811723756,-0.47872026708239335,0.7407715839507453,-0.30964366376818736,0.4185862383958146,0.629719133350069,0.2730339832636118,-0.32940327806220454,-0.24553075909986818,-0.39656281576406305,0.31935092777897045,0.6727278312180502,0.6828447772204745,0.6286991301059057,-0.09059800978426599,0.5011852748793278,0.5175922311790949,0.3871280132796766,0.43003959380375184,0.16836591695693467,0.5441592179288819,0.7628119311969043,0.05361384910301111,0.6561750627183319,0.8114877318713397,0.5305122599779463,0.19073259562720557,-0.519573288170263,-0.526377251370637,0.5799947755683938,-0.07227572729755875
Supp_Motor_Area_L,0.8743263296488138,0.7047855421377488,0.5364498232860656,0.5293424514983905,0.530714722952862,0.4150097183761057,0.43709696322113034,1.0,0.22386982672001907,0.6441111878711815,0.5435386907783994,0.4814329342692222,0.4163599840544964,0.28909599891081583,0.19275318297109836,0.3485258224248602,0.3937747571206505,0.5372358925031921,0.19836879255791529,0.3481536871439554,0.3254658238754673,0.34276441472454205,-0.12617543431989137,0.0874141632827959,-0.2098134575506142,0.19415312695613995,0.37602579302957845,0.6645456859899523,0.1953466270012993,0.3929707013404659,0.4463632999564673,0.11382690327694939,0.43611528335347965,0.6405889027494562,0.4507910197919978,0.20620308438721865,0.09165545831621637,0.33277163963999695,0.42313953667230364,-0.20015001512959812,0.37557858865757765,-0.17760394740297009,0.36689105699914687,-0.061961780913040256,0.3165117875030187,0.0074421947651398404,0.06519778133604037,-0.11506268499349505,-0.11516337767740023,-0.16040574368860094,0.10632694343388875,0.20029026132609487,0.279772755665141,-0.04534604260338863,-0.06118202663147596,0.1311687043300472,0.09519692615886202,0.25240292652562274,-0.017096427766795232,0.16988669938906983,0.09599435907698084,0.31546806930206744,-0.3131094245684928,0.11811026067373748,0.3455354990304517,0.3257644142224817,0.38831885155832185,-0.17407139559584223,-0.12924517212155293,0.24656419723109596,-0.09271450638424965
Olfactory_L,0.4415191476986334,0.4786247088055432,0.7520011006428879,0.5974813757535042,0.3779553031813842,0.20726511319292773,0.7420316885911624,0.22386982672001907,1.0,0.4435321069098907,0.2764828834152311,0.5343179695439827,0.5857275104447633,0.8215402583421199,0.5476649515475601,0.7890100692699883,0.6294547646482161,0.14865888180013764,0.1428012024697697,0.8090763890119143,0.8776365338776313,0.8372563427598767,-0.6210254841610509,-0.6004085022018557,-0.3012987852081831,-0.538980377262948,0.6503682322724151,-0.17024439415375764,-0.5842171425700345,-0.4394467308738448,-0.16683074314388513,-0.5647514051316442,-0.35903912020685586,0.12462903536684478,0.6806005936249998,0.683375543074092,0.6552286791694844,0.5122375476746838,0.707955680331056,-0.7332070252943971,0.01783896867833784,-0.5963037256061163,0.693894146004825,-0.5284897547063944,0.04332846007404832,0.7556864895341958,0.31129433990593375,-0.20083827105177798,0.0782311959368813,-0.2982346534641333,0.3989296469422911,0.7024283084565297,0.37697236008050766,0.3900491199361708,-0.4123440643646703,0.36587216340754375,0.5423020623647188,0.18314134964854792,0.22169673948719484,-0.24749923247978828,0.3645821921793485,0.5153978094777643,-0.10448083723185016,0.8701912817570502,0.7902760287997406,0.27184869317908406,0.10279770731930638,-0.7152734965598271,-0.6912175319809761,0.5691321066697833,-0.03481268816317486
Frontal_Sup_Medial_L,0.6665122148717473,0.8485722662912872,0.7986495413542564,0.7121940174047094,0.74429905264986,0.38032245331153547,0.7271561296273347,0.6441111878711815,0.4435321069098907,1.0,0.4350451092020955,0.38697772498525795,0.3597655605810332,0.514139407859194,0.3371572824868005,0.6167558988850449,0.5942731329633266,0.7181348679829137,0.5347395942736383,0.5355493671655024,0.4603305547838927,0.5800251708207835,-0.20207186579282324,-0.09054897805349192,-0.3068548323236455,-0.05761138863764179,0.2622070859740807,0.3671269582599746,-0.07871222065038552,0.07946156414705945,0.28461949224154925,-0.1306411743889395,0.20338481419966728,0.2727461798504431,0.6660013772104632,0.6068448849635337,0.48574456430456914,0.5906367067477075,0.6638308430442165,-0.4241657499244359,0.17245135324138092,-0.4115322625552088,0.471407254973122,-0.18463850437818138,0.3834196318820451,0.22559074684780772,-0.04740307725331422,-0.4543968163623206,-0.29656081926873673,-0.5338066313865979,0.27829841558898605,0.4989147210164816,0.553470895232257,0.39974967819515733,0.0438841366461882,0.5099329941976908,0.5119843844557037,0.2725167718550062,0.21938987635776017,0.15252410434766897,0.3770293079237495,0.4419005223102582,-0.09862392619682565,0.37905482669158047,0.7026321581371681,0.6247193816339844,0.13751697427799114,-0.43926538671155624,-0.37579172472203864,0.25620307343639365,-0.23092802754322966
