,Parietal_Sup_L,Thal_MGN_R,ACC_sub_R,Heschl_R,Thal_VL_L,SN_pc_L,Temporal_Pole_Mid_R,Raphe_D,Putamen_L,Angular_R,Thal_PuL_R,Cerebellum_Crus2_R,Red_N_R,Temporal_Sup_R,Pallidum_L,Parietal_Inf_L,Olfactory_L,Thal_LGN_L,Thal_MDm_L,Thal_VPL_R,Vermis_10,SupraMarginal_L,Supp_Motor_Area_R,Red_N_L,Paracentral_Lobule_R,Cerebellum_3_L,SupraMarginal_R,Occipital_Inf_L,Pallidum_R,Angular_L,Cerebellum_10_R,Putamen_R,Cingulate_Post_R,ParaHippocampal_L,Temporal_Pole_Sup_R,Cerebellum_Crus2_L,Thal_VA_L,Thal_VPL_L,Calcarine_L,Thal_PuM_L,Calcarine_R,VTA_L,Paracentral_Lobule_L,Occipital_Mid_R,Vermis_3,Thal_VL_R,Hippocampus_L,ACC_sub_L,Precentral_R,Occipital_Sup_R,Frontal_Sup_Medial_L,Temporal_Sup_L,Thal_IL_R,Frontal_Inf_Oper_L,ACC_pre_L,LC_L,OFCant_L,OFClat_R,Parietal_Inf_R,Cerebellum_9_L,Temporal_Pole_Mid_L,Frontal_Inf_Tri_L,SN_pr_L,Vermis_1_2,Fusiform_R,Thal_IL_L,Frontal_Inf_Orb_2_L,Amygdala_R,Temporal_Pole_Sup_L,Frontal_Sup_Medial_R,ParaHippocampal_R,Lingual_L,Cerebellum_Crus1_L,Frontal_Mid_2_L,OFCmed_R,Cingulate_Mid_L,Occipital_Mid_L,Thal_LGN_R,Insula_R,Cerebellum_6_L,Temporal_Mid_L,Vermis_6,Vermis_7,ACC_sup_R,Thal_AV_L,Occipital_Inf_R,Fusiform_L,VTA_R,Amygdala_L,Thal_LP_L,Cerebellum_10_L,Frontal_Med_Orb_R,Cerebellum_8_R,Parietal_Sup_R,Frontal_Mid_2_R,OFClat_L,Precuneus_L,Thal_PuM_R,N_Acc_L,Thal_VA_R,Supp_Motor_Area_L,Rolandic_Oper_L,Cuneus_R,Precuneus_R,OFCmed_L,Thal_MDl_L,Cerebellum_7b_L,Cingulate_Mid_R,Heschl_L,Thal_PuL_L,Postcentral_R,Olfactory_R,Occipital_Sup_L,Rectus_L,Cerebellum_8_L,Precentral_L,Insula_L,Vermis_9,Thal_MDm_R,Raphe_M,SN_pc_R,Frontal_Med_Orb_L,Cerebellum_4_5_L,Lingual_R,OFCpost_R,Cerebellum_Crus1_R,Rolandic_Oper_R,OFCpost_L,Temporal_Inf_L,Cuneus_L
Parietal_Sup_L,1.0,-0.051364633994848294,-0.2159132274605066,0.13395604159828856,-0.2759081490280914,-0.17577898745521517,0.09274064618320303,0.034145867371868296,0.2695893885123962,0.7119788645290723,0.12489143246896496,0.44451036872849975,-0.14519449253893846,-0.03758128508576787,0.33747034621405175,0.7629839705825248,-0.17481349300972757,0.12787686292952377,-0.30856520423319395,-0.038238479831738455,0.15043478786846048,0.6060584606026859,0.2055245632076974,-0.2750698820167561,0.6063082995355203,-0.009264352574567546,0.4543795783643382,0.27604135940163355,0.3454227238662469,0.7932510757399497,0.12333693599154041,0.04852037415449476,0.3320130845855603,0.037065717693656006,-0.03392103611603555,0.6931674325460626,-0.16807870466702104,0.3320365235673645,0.4906530752115607,0.4078202289308909,0.2077065475128951,-0.004732720417086707,0.4460169360131714,0.4713400221079885,0.10470547824404147,-0.22088689499267006,-0.01399558254424722,-0.3598566968695387,0.22471881376109526,0.6704626614685433,0.3847810015705898,0.2271016419852794,0.12551031115307226,0.1232286042428515,0.09653379950000748,-0.11281118382546743,-0.06048285199930434,-0.1184548318615846,0.7176360520309134,-0.10740740550896045,0.09718816225060206,-0.02419037772370227,0.05113556601841055,0.1004702613129904,0.08388751415607708,0.1378967852519302,0.023136892529366817,0.28247343817344284,0.059531742299813194,0.4511325937933417,-0.1649457840550659,0.2617140120837516,0.32966873375643,0.17979701017467914,-0.03619999357956009,0.30994834393688825,0.6723604207230928,0.21976512127495776,0.05398233772491287,0.43937919520510677,0.46774128103319157,0.32140182236412934,-0.16975591005022336,0.36913437706235624,-0.12797138192005755,-0.0659819338664986,0.4038873772310217,-0.32607008698751705,-0.11637022401270819,-0.2962611165603486,-0.04739696294744824,-0.043829786112503696,0.01332580604338771,0.7913862227815379,0.21150964725693902,-0.11222002851030069,0.7496251099118029,0.0680479983042393,-0.22648007838415313,-0.05444275726350337,0.2310510229737622,0.2169199334761794,0.6358300577096817,0.6608694513434415,-0.10211034312457275,0.14572079750161882,0.5854601487069162,0.2784966788430869,0.36110720238745886,0.11969727683186639,0.5703472065638224,-0.07735919862905377,0.7474559316516558,-0.08338867115725031,-0.20734872633337698,0.1262427460441861,0.2883009740533694,0.3425133567555548,-0.0793412480332903,0.18163359005646065,-0.17691750707729834,-0.12149454150081283,0.33106100868857136,0.2879997330090805,-0.08939912792965087,0.08455628268717252,-0.07327685300127164,-0.008796924632190657,0.1456104972232502,0.6828210331449199
Thal_MGN_R,-0.051364633994848294,1.0,0.4577955547030763,0.10581770200345596,0.19158027550435883,0.31865784811537884,-0.2099618789304224,0.032164570829004764,-0.18586106880067024,-0.1123989971553208,-0.3075557632864232,-0.06764755007390932,-0.0916439476818689,0.09265317039263055,-0.3445586793729782,-0.12058264570598519,0.09811901038516528,0.23614572396414382,0.12389096406082908,-0.11134637789280362,0.09746231487990267,-0.3459213017801535,-0.02931386918493624,0.15065521315420077,-0.0410601344414069,-0.1348753321297387,-0.12658829370882824,0.017074049576419125,-0.12342004184846664,-0.2211201122029972,-0.08184548215237887,-0.23050945919114024,0.017062855315127304,0.1106426846044181,0.1148372403895528,-0.03694788404964627,0.039521056628128534,0.02905570921663615,-0.33663701260289297,0.10420789770234144,-0.1063053868863971,0.35888981515554963,-0.10419980341526118,-0.12549356713526055,-0.027756896861479464,-0.0015815143030085501,0.012081645964111869,0.2006387286087314,0.054752935291446675,-0.19652221022323538,-0.15369068632105576,-0.32649464306558784,0.15598666366888517,-0.07651938106187262,-0.1535910599490752,-0.09820767835176007,0.0029385601684078257,0.22876199235690703,-0.027666228299213894,0.3262291693669422,0.15001252113615093,-0.09958910913523884,0.05196721705899654,-0.07941956686074042,0.060833218441282075,-0.11513790366491178,-0.10086564941909419,-0.22431731462675447,-0.15611185353764678,-0.11592300986480115,0.3038321934966092,-0.03313049239898582,-0.044819154085555694,-0.15111571388588033,-0.014511852603149805,0.13811509095863522,-0.24803526238468546,0.36223991688372237,-2.844139598826475e-05,-0.28665175400379483,-0.4482845849892098,-0.01469486113886364,0.0817540924375243,-0.014147850642356434,0.16503038752206556,0.02037153706481008,-0.3415598312581419,0.09703625941240814,0.2134575297581064,-0.1647529046168158,0.19630266491165035,0.052582886612624564,0.08625174225258932,-0.11889857108564637,0.0001818911641787291,0.16709139536987375,-0.12888621792620147,0.00054687837961731,0.18800336246407276,-0.1030243491020029,-0.09890732851821293,-0.3897067612992593,-0.22427235348639643,-0.11999984828664356,-0.14713545912307807,0.13331587787730034,-0.20459030057199293,0.09307268513404292,-0.33870151079094224,0.06303828549829803,-0.09617498040070165,0.0918710316231137,-0.2509008101949275,-0.0890334085257023,-0.02390275200479827,-0.028090206792625885,-0.3627057667505673,-0.1949434161700536,-0.1349534342666826,0.023957282892716113,0.12142173948357478,0.2849638788585371,-0.050695766149179006,-0.15960900992611207,0.13080799420511915,0.02737708393062042,0.023315315205705674,-0.03372654521151201,-0.23999909353309076,-0.24979838041176075
ACC_sub_R,-0.2159132274605066,0.4577955547030763,1.0,-0.07308117295610872,0.44009973858114204,0.3847892951048354,-0.10562851407693799,0.004312765897637951,-0.11917639015201133,-0.40052936486667295,-0.2047735639920019,-0.43011395782899714,0.130782741439591,-0.34710975826626883,-0.31731119262684404,-0.2209487651478618,0.40939355950468403,0.20583256071617212,0.5934121701014536,-0.05429812105825832,-0.342489327998679,-0.31506396047486873,0.1563655822536374,0.5365931754716345,0.03379132576062597,0.16076370719185062,-0.28135629720741273,-0.35838307592861884,-0.3330326626940502,-0.3650529250577244,-0.02171953256645545,-0.20398878199970585,-0.046541065947666604,0.41996268633828043,-0.0910475660414731,-0.35633572545761444,0.19268918282885583,-0.08769407871414801,-0.46647481628111903,-0.09796856837790673,-0.4711784331455463,0.517676197236671,0.03645732974250715,-0.5674842280961039,-0.3127370326657558,0.31124149567312687,0.40838177130755693,0.5967507992386352,0.20551404430747625,-0.5057852475739192,0.06353539190672049,0.06942701004481219,-0.3193665241649522,0.15909196806786205,0.14359570484940354,0.10531186958530196,0.23108976907788323,-0.10949274145341743,-0.08035142638467965,0.011450523482934726,-0.07754206358583732,0.3244080106995552,0.2933730217398765,-0.13644320405172228,-0.3873782645991754,-0.08633532672675968,0.34461390563218003,-0.5425362369071377,0.3070072684095535,-0.0018747636570460322,0.5713300543955696,-0.3890349795209819,-0.2021900034519903,0.23290601040735334,0.29432726701415046,0.16391890147258745,-0.5151750621164807,0.20345585198090368,-0.18748190961956693,-0.599364826060627,-0.2761058861613921,-0.50530098138584,-0.13244814364248397,0.018834350452051164,0.4416463811775309,-0.33726447618546385,-0.3021955402729283,0.0009129776723087477,0.5077037213808845,0.2518319743777491,0.03309464195663751,0.05986486709865562,0.14065203660399225,0.013645695850800487,0.15287072650648034,0.033882008844478596,-0.014534054673682694,0.26920922132806036,0.5284832146518746,0.36128385042240907,0.13832939542679565,-0.08667871157832807,-0.5852849181827547,0.01963628594384309,-0.03232896654161832,0.10330235571983311,-0.44930427279899754,0.18496800209410938,-0.09134202637390931,0.09044257401795518,0.13889212053127867,0.32266962555762047,-0.48937464111557843,-0.09994025760458608,0.48795069286778675,0.1849525549812947,-0.04858749912014892,-0.6199026164496185,0.27055281465704895,-0.39882339043800663,0.2452191297590119,0.06163137422449648,0.00641260595673608,-0.4757511713516515,0.2759577774623679,0.15397110328372232,-0.005439445924066499,0.3736111383604722,0.21038573152748238,-0.580568181376337
Heschl_R,0.13395604159828856,0.10581770200345596,-0.07308117295610872,1.0,0.05432669604867051,-0.22698550601694265,0.25405656673380994,0.592947006048121,0.34438537569387734,0.30935511825920486,-0.0008512681668407125,0.2603055902923633,-0.1576741645738903,0.5538746885648709,0.0584121015018188,0.31379357542937214,-0.2871112485004184,0.013470719687569063,-0.2076368883624014,0.01692543446124279,0.5046710325718459,0.04505643643626575,0.2271975123288144,-0.24165430463737658,0.14658902851699934,0.10943052721752006,0.49237205638167714,-0.0006866713849747415,0.5357658707322375,0.09938710082070347,0.013193423308382083,0.40188871802036885,0.325980045611354,-0.26200935795839775,0.41506769474346455,0.05439043463909895,0.16196558288224477,0.6166043285538466,0.2511909347513779,0.37661615781213253,0.4405756337201554,-0.17293934103893796,0.08595728361331371,0.3950624744782338,0.4709606716310258,-0.11029740914322056,-0.16000992400672845,-0.00828315581189524,0.15554147748491592,0.29978767073342405,-0.020438681128672833,-0.16092383299515256,0.029352665277208204,0.0214250011412234,-0.017619156401155953,0.37078082560328013,-0.0020175705502735826,0.2529271803198621,0.29703594740715583,0.19181929688638313,-0.07564087452472296,-0.18415945176753523,-0.10260914519612874,0.2620296090423794,0.5606446586628213,0.35708876731152805,-0.2764399229299961,0.4413744868516923,-0.25089409600995094,0.18100681052083012,-0.14699421372097568,0.3678981726953721,0.33433755042576363,-0.13334326535544794,-0.18614667232052146,0.31149276803529596,0.2444567352553732,0.22342700979383637,0.6339264462200171,0.3589969511855544,-0.031242457087877616,0.43053630228140727,0.24944693961371378,0.34183898561014653,-0.08960214851793967,0.4327205103132787,0.22852143808085368,0.19671165101274699,-0.3510339004695465,-0.03860945063219056,0.4613892748045287,0.1247693983766716,0.19675205779721555,-0.14306192220909408,0.19489264151474586,0.28437654445583255,0.07704175722795602,0.380306352035086,-0.08695473064458852,-0.29075877396236227,0.15877865907969996,0.020292568700642492,0.30936220649322715,0.0885769801892035,-0.29007725222446135,-0.33111915463320885,0.1744672387361123,0.17746995405106566,0.031082533653514193,0.2341961473095162,-0.09242328020881407,-0.21332542095840035,0.1901911018850603,0.07713642859152021,-0.16742899236946693,0.11927696609739727,0.01961892473981098,0.26699847938020077,0.23998059499536356,0.36750293865395645,0.011187929636163727,0.18417407481236556,0.21825354472637504,0.5023258643850269,0.041462944580674455,-0.39736852514633286,0.3444983266709158,-0.16284120700374063,-0.004827548914679546,0.2636961809445726
Thal_VL_L,-0.2759081490280914,0.19158027550435883,0.44009973858114204,0.05432669604867051,1.0,0.45386823634297174,0.019813243687523296,0.09731814072574238,0.0886026211919324,-0.4208544964784203,0.3342988283738499,-0.510822260131552,0.47648208621558996,-0.20711896685679632,-0.15221134953128454,-0.08003460910475031,0.5679249432038556,0.3567472819914375,0.8047907012723596,0.5231909987265949,-0.4574711516433335,-0.18823778271903077,0.521057115445493,0.7806788728230123,0.28590939197113024,0.5328122127355155,-0.07432171269651788,-0.40680714468622864,-0.28828976504647874,-0.44035360914390104,-0.1965815627584568,0.31880769832518246,0.17093316675911346,0.45359491573578214,-0.07255004767033615,-0.44682133737154756,0.478467866557878,0.1194271416538,-0.19358795037819118,-0.05543419176491641,-0.23436945619274602,0.34668709549284704,0.32682615074195326,-0.6119999405959271,-0.08352608216017746,0.8154511830702603,0.6945054613779397,0.5870448776422008,0.4775649816652265,-0.5105939381482345,0.2620716924501223,0.1971699039840138,-0.060621284028221784,0.5586285541001123,0.2544576164635313,0.24928701795962946,0.2996615289732626,-0.12234796871778807,-0.07901248473883891,0.04138419777585841,-0.06121525383665009,0.550515423594943,0.5078566291744566,0.29829754764987076,-0.2551056169252795,0.2548355296776302,0.4103449167990633,-0.6272392898752609,0.3025026152539223,0.17244454232257356,0.7994136637566676,-0.1125031201120141,-0.28915862773091167,0.4190385453195182,0.27932347843208005,0.27795653481450316,-0.6857069103132777,0.0676347705589939,0.10376413715271357,-0.5974260322924145,-0.1808840397475408,-0.5352435848883955,-0.19304056767180544,0.08941789099885515,0.41846662928226736,-0.3321820836227629,-0.19620935493168576,0.250122745102616,0.5242502685570476,0.7240744762799456,-0.1295035250369727,0.08356234511496598,0.20461760291974176,-0.10371970398342883,0.4890512740632311,0.029697465369232307,0.06096483199420458,0.5277900907736917,0.6055027282322086,0.5141370404991843,0.409865636732186,-0.08173111980598993,-0.6539029408755556,0.12893495080171405,0.2251601703841809,0.11428926177150814,-0.38581831409986284,0.31406551597187116,0.05391631958466213,0.21381206290261587,0.1971644038534643,0.3615105443482681,-0.595100603229693,0.13943949009875756,0.5603297781048329,0.48828120893750293,0.02929586360899454,-0.6880747169531213,0.6784112168418772,-0.6221781311316009,0.41106773142004077,0.08381186878812506,0.29646657972480556,-0.21853063246956125,0.4519805114860655,0.208691395469582,0.5351281046171078,0.2371682449648181,0.24333547302509223,-0.6286593371873554
SN_pc_L,-0.17577898745521517,0.31865784811537884,0.3847892951048354,-0.22698550601694265,0.45386823634297174,1.0,-0.15571701681588487,-0.23484412242587197,0.11303442900842708,-0.3517400101510159,0.18020174514003395,-0.540919180838916,0.31376982618535676,-0.3155130214645531,0.059861771116713355,-0.09507164514367568,0.5427889767209176,0.3640303304854109,0.5333907289503125,0.46893250374590495,-0.44505716214137847,-0.0327715196273698,0.4233609977602443,0.5375412394305037,0.24089891986331274,0.40563398661029104,-0.2001695720664532,-0.4356603054621969,-0.2002610201483344,-0.2079966996472895,-0.17256806929485646,0.11220165228733807,0.2130578910663882,0.6203987465080903,-0.2451584991557379,-0.3597837505800249,-0.017196171064719126,-0.17605957612012904,-0.22629684593463326,-0.09935685431895368,-0.25783870312875146,0.2945782533144383,0.3584341356527168,-0.5688004431197358,-0.21802385207049643,0.5389211565908806,0.6387932591610369,0.3265867548649775,0.4404370398783515,-0.43896104363893484,0.27369892952759595,0.3333034153672458,0.2067893739327394,0.47626266005705065,0.241329418385184,-0.0684401270693132,0.1824216236856316,-0.26513533124009986,-0.008535085808762534,-0.016276789225832877,-0.05862803872980533,0.5103610853863202,0.4766938722836301,0.027912619941743547,-0.43974103894915895,0.057744246201000354,0.454435402381459,-0.5443178359116231,0.39101647286146946,0.1265320317108625,0.627232114600516,-0.07183574352668567,-0.4571764437100076,0.4172603388714117,0.41034427241357874,0.30945968299218357,-0.43685198125123326,0.04754412483904095,-0.10631229726188818,-0.4009926039878879,0.054978838429297926,-0.4816949208468519,-0.1554259545255992,0.132957984137422,0.2556020527676907,-0.4799896503273286,-0.057498389745588185,0.14218689401988088,0.6233083950110065,0.3665929932911316,-0.3816097627278458,-0.011808354915048986,-0.2134520371341492,0.06372961408453805,0.28665422308447747,-0.23189378122340853,0.14984664087934868,0.11330673175692202,0.34831864909072824,0.3301499892409744,0.3960646628366625,0.08228138034852922,-0.5222458302295708,0.13868965991894602,0.2944654551925747,0.35487606700148655,-0.28756103591462334,0.3495064072477225,0.18930636049782512,0.19191661719302675,0.3041437111649294,0.5296478241916173,-0.39351094115499735,0.12483794813480457,0.4990081310948353,0.45360673249150113,0.17124051335226054,-0.5500208679883011,0.14752946959287486,-0.38863720921896916,0.18786510861471425,0.026590918576932243,0.3454189320487374,-0.3464498469601219,0.287111442786582,0.306267778225565,0.21300264366073351,0.3287096456783717,0.29673367283821167,-0.42258683913572553
Temporal_Pole_Mid_R,0.09274064618320303,-0.2099618789304224,-0.10562851407693799,0.25405656673380994,0.019813243687523296,-0.15571701681588487,1.0,0.2705808056224355,0.5074397095476373,0.24261593004237342,0.18072720285958555,-0.013442943068683917,0.22809693671786602,0.051322794794029264,0.3902948499916758,0.22327901189813282,0.08571426784726077,0.1851531843416694,-0.009937441056982124,0.22865633862025614,0.03877562731373141,0.18881108714396155,0.21722737069219664,0.035865604226417824,0.20744969593536547,0.34945246629515686,0.20095114837423095,-0.16729423303749394,0.3666245425163778,0.2070134760774722,0.010573105098784235,0.3272061901098664,0.23553442127272847,0.017469346454020648,0.29954768888271693,-0.08449253761370062,-0.11190117759629051,0.37904116026815665,0.2838017339509416,0.3156781759679685,0.08505654953878847,-0.041535575165221446,0.19313305020233018,0.13709535133445305,0.313761391015389,0.01718000495848085,0.05556741252971679,0.0621444885300451,0.10055962480543065,0.2212920180537573,0.3015621984414247,0.250758354162442,-0.04206891078508327,0.19407820212004076,0.35598810669677117,0.25094683222004444,-0.026101342954847437,-0.11502339706223559,0.1696924639971661,-0.3757313256188537,-0.1956586312614014,0.2627284201580429,0.048045378854801785,0.3944887246655364,0.08175079754431715,0.03919455469188759,0.28783898719811146,0.36320438753734163,0.26682953088135464,0.3407229881834601,-0.16107063070862165,-0.0003959471898554044,0.1799695397603384,0.32328443481410857,0.051075991611169345,0.09149748961863564,0.14656075968342683,-0.0469718786715181,0.2194353588078247,0.1362729560833325,0.2536214922255,-0.1085432623226764,0.12876458897066642,0.33556197827102713,0.00019293724304874371,0.013407759172217164,0.2902881285541373,0.016091045575054693,-0.2291440573591327,0.19211895029506476,0.06128998299134598,0.1850123238756903,0.24473381193230226,0.1318900350407225,0.26807736886245936,-0.04307521857701583,0.2238712025758897,0.2672106806615651,0.21539051130638054,-0.020563474949173325,0.2667089777221543,0.4460712461957143,0.1977696753215582,0.23730072057548063,-0.1754298215866189,-0.02411537700903593,0.07402966621399487,0.0917905986181388,0.24698915234924992,0.16353660794295752,0.15570072555498038,0.09314661020031156,0.20207304764351963,0.09935455269943351,0.18361574946008016,0.20419985370203897,0.45220225462341823,0.1831046948607192,0.1694312986297462,0.10571884839095597,0.09202453639170441,-0.23513126687336774,0.08671939256687747,0.0916954893543265,0.18509207069691333,-0.0027570332561828955,0.07691437405861863,0.27877100149395695,0.17686158630408966,0.16880177977834265
Raphe_D,0.034145867371868296,0.032164570829004764,0.004312765897637951,0.592947006048121,0.09731814072574238,-0.23484412242587197,0.2705808056224355,1.0,0.25722562177929176,0.23092291519162847,0.1602241457352896,0.1475581482854642,-0.06570726569289534,0.3702502201980694,0.11670929136575316,0.13360555770421223,-0.20840651381822695,0.01430983742426341,-0.05461047334231878,0.11922875286383718,0.2646104207265538,-0.0867181884110051,0.23185718492208715,-0.02520827133813879,0.08687245024969548,0.12844407059621554,0.37568461811456855,-0.02868218944774738,0.45653080446007605,-0.04048299237246283,0.04872224810882816,0.2717450359167745,0.3220275119353108,-0.24074776265127765,0.3662022757927083,-0.09517323042948918,0.18993777695936276,0.4149642686080528,0.07863511386085249,0.31044489373745804,0.1868466388090404,-0.13706075215707983,0.10845900165244861,0.24159980217145985,0.38714886166379353,-0.04766463297969463,-0.05824659316231841,0.08283467764341704,0.2417532181189684,0.14124080377080214,0.04889175945759067,-0.17432131247156094,-0.116158367635107,0.0825114411314977,0.11732756787153625,0.2970965278848056,0.08949495118784967,0.24583474927159088,0.2036422460901455,0.12393003695539677,-0.011311202739360317,-0.0785715506280229,-0.04387169467559984,0.20707331938354773,0.4412460729426075,0.32645141912982545,-0.19866100079026885,0.2771708852965628,-0.14286090486081127,0.19441253621803387,0.048369677307710586,0.12361587381492856,0.24111411677206648,-0.03974822831510831,-0.08490688107075559,0.38981811051207044,0.033450673279428765,0.13134548083492661,0.5224962435731637,0.16287443659406883,-0.14769761856593835,0.22133370087844662,0.07131310351373256,0.3740715341746393,-0.10630568475096318,0.3476765142712952,0.014251536842539757,0.10143429241496774,-0.26062276290366,0.14596625394680768,0.37098608937392624,0.08729889219836333,0.3072309271288085,-0.10698952971677873,0.25371071844533927,0.31140481726629393,0.02385554605991919,0.49802015643072856,-0.006585174936742396,-0.2269787440448544,0.17881662750545455,-0.005475518239681242,0.11051568767148374,0.02268070891841594,-0.24971170018173808,-0.20484387875597088,-0.041772172029693626,0.31082379314441516,-0.0517454601633111,0.11802901382450993,0.0234680268186702,-0.18904143566738874,-0.016946607929124755,0.1443507054677552,-0.046116098819258045,0.19709801813834021,-0.008323741068243103,0.13707524560604625,0.28288486788061484,0.3230962433147044,0.11036284739383988,-0.04173727227166166,0.11627226746095161,0.2556276387850557,0.059622500615564254,-0.25564096888321003,0.2913215248876181,-0.018317051184967213,-0.0876783661997974,0.07148706430986515
Putamen_L,0.2695893885123962,-0.18586106880067024,-0.11917639015201133,0.34438537569387734,0.0886026211919324,0.11303442900842708,0.5074397095476373,0.25722562177929176,1.0,0.4275992224977819,0.48982600730348935,-0.09303332360602336,0.33020642927861443,0.004985429900932406,0.7837982524558187,0.5735926017354362,0.11505917475565537,0.5159755904418301,0.09022293055169499,0.5025721686415779,0.0901676969362256,0.5429376909372088,0.6621968892143114,0.0490800843306608,0.5818868908749211,0.5919356614290308,0.4356924550148003,-0.36763736885325676,0.6354742005299208,0.41980079380730123,-0.01972154140589543,0.589631257229515,0.5788570587428973,0.33070288394147196,0.21017147843173156,-0.14557546404731175,-0.24849165089509562,0.5373253460278902,0.4615724441257993,0.5125836294689166,0.18611218184169712,0.002961523357919688,0.6234925471614554,0.15949486651011954,0.38483823922223115,0.2608462788102401,0.3915456203794867,-0.014474582079890164,0.5224213984090964,0.3520919460360928,0.6759151546308315,0.5939758299253813,0.03692030970445027,0.5617412216117398,0.5984228299693403,0.20234084125124932,0.2091717012345814,-0.2425469867699151,0.5043986859577526,-0.39940898613416737,-0.1954800738381201,0.49777351688081817,0.3056748958805667,0.521303478065718,0.09129308183990133,0.3029871156521732,0.47379349984381225,0.3481770176439557,0.4727677180634625,0.6947155587677624,0.04458896069863561,0.27054608681822545,0.08323138227531963,0.6362508445479972,0.2200759488901939,0.4971260606636404,0.2951273985724561,0.103068177987393,0.41314960798377554,0.323560905442923,0.5993297102417043,-0.003301426352551053,0.057782924801263236,0.6836722764189146,-0.14148711931254418,-0.11904094213537854,0.6163768800367118,0.10219908650834107,-0.13007966900103043,0.31691533155338036,-0.05349283113988671,0.24690548831975653,0.11366191626338333,0.3504061773893628,0.5221208668807472,-0.1517426978007241,0.5720450458538503,0.36801043118998145,0.26934905454863106,0.01404309027451939,0.7159503183257959,0.7640817284066771,0.27992947913002714,0.5483741672167838,-0.17961195903088864,0.22139406297713257,0.11059742085351207,0.45029247811785444,0.6146847767088003,0.3577548944712235,0.46935910921609586,0.32926546085696573,0.3387076238960026,0.31330897242592304,0.31471682882514224,0.6136602704080503,0.7754613203478138,0.0849797647164631,0.21632017659996813,0.07287489821247259,0.0655456956338771,-0.15915973165331035,0.5450919763852554,0.2112606270097367,0.22198351327128363,0.14474462489332143,0.33926390427687686,0.4669932191084838,0.46594922278289386,0.3477857516328207
Angular_R,0.7119788645290723,-0.1123989971553208,-0.40052936486667295,0.30935511825920486,-0.4208544964784203,-0.3517400101510159,0.24261593004237342,0.23092291519162847,0.4275992224977819,1.0,0.12384152613144006,0.475217141389758,-0.13829161323469152,0.2859424349736873,0.46735644904084717,0.5941576450486367,-0.3712355111772538,0.13816132357717734,-0.5490698146791289,0.04346479289924603,0.39511061751781584,0.4799325291772137,0.19056277946455946,-0.5187679708658883,0.4617530872016054,0.058416436448487055,0.6945196731818625,0.2882485731970302,0.6152261354052435,0.7816108882223072,0.16991258435847767,0.16750549088937217,0.46541830819116997,-0.19210928476352765,0.21439668023966946,0.44393373731414654,-0.24391949897082518,0.5455726207021802,0.5643498301471037,0.5004011284490523,0.42428522361395654,-0.1900545748916229,0.3560017380730379,0.7746066022520823,0.4710518542154023,-0.30761019773005704,-0.21400385755456866,-0.4997516200835678,0.18781795186268058,0.8452743639083434,0.23897185938357138,0.0843998187152563,0.23991618558292846,-0.02895829458931068,0.06595513031978381,-0.05055255943427199,-0.1201061662222698,0.003012989938118699,0.6758482428782381,-0.12136893937475594,-0.02492045785048699,-0.19597411200165338,-0.09354716488204054,0.35109687822200086,0.43255956893383646,0.21698981763166147,-0.1700284669804632,0.6056453146064112,-0.06810478577746523,0.43104242852665864,-0.34489464417052296,0.4310093114828277,0.3896544644808035,0.06139145458934213,-0.1844394103000585,0.24550022773907823,0.7337937282366045,0.2925268887478761,0.2908262866186654,0.6560974278297826,0.45144888945933775,0.5212015351340266,0.08902746738925797,0.41201911931323715,-0.3679579542181893,0.24974669579563666,0.49548339929961815,-0.08908965963263193,-0.37679024947316053,-0.34250031927324387,0.08762021097588228,0.05269683648088126,0.10385525215218022,0.5283829077854846,0.2044110630428746,0.04824137079593137,0.5996615176082549,0.11293683150119226,-0.36172173024280085,-0.34023326067847776,0.18386210145280774,0.28615543333024773,0.7706386012380131,0.5234509292577755,-0.2853805579871318,0.10674283880625679,0.4657809600311682,0.16290521170883895,0.22815059446110283,0.2452179627613438,0.36023975008678116,-0.24644041232836297,0.7539884956718654,0.04491023424339716,-0.28734521054996254,0.10624820858172992,0.30754854731838116,0.5324103646098067,-0.1674941847054015,0.5118775712713005,-0.13132960499677793,-0.10175545242873434,0.3216811721992374,0.5096541839537145,-0.1650986652617158,-0.050314255021823136,0.04526147926870637,-0.035279644466966395,-0.02322906098492773,0.774320495406375
