,Frontal_Sup_Medial_R,Thal_AV_R,Temporal_Mid_L,Angular_L,ACC_sup_L,Cingulate_Post_R,Thal_MGN_R,Frontal_Sup_Medial_L,OFCant_L,Frontal_Inf_Oper_R,Thal_PuA_R,Cerebellum_4_5_R,Cerebellum_Crus1_R,Thal_PuI_R,Frontal_Med_Orb_L,SupraMarginal_L,Rolandic_Oper_L,VTA_R,Lingual_R,VTA_L,Cingulate_Post_L,Cerebellum_10_R,Thal_PuM_L,Temporal_Inf_R,Cerebellum_4_5_L,Cerebellum_7b_L,Occipital_Inf_L,Parietal_Inf_L,Cerebellum_6_R,Thal_VA_L,Occipital_Sup_L,Thal_LP_L,Precentral_R,Supp_Motor_Area_R,Thal_IL_L,Temporal_Pole_Mid_R,Cerebellum_9_L,Caudate_R,Red_N_R,Frontal_Inf_Orb_2_R,OFCant_R,N_Acc_R,Frontal_Sup_2_R,OFCmed_R,Frontal_Inf_Tri_L,Hippocampus_L,Frontal_Inf_Tri_R,Pallidum_R,Cerebellum_8_R,Thal_AV_L,SN_pc_L,Vermis_9,OFCpost_L,ACC_pre_R,Precuneus_L,Amygdala_L,Temporal_Inf_L,Thal_MDm_R,Olfactory_R,ParaHippocampal_L,OFClat_R,ACC_sub_R,Cerebellum_3_L,Angular_R,Frontal_Mid_2_R,Thal_VPL_L,Temporal_Pole_Mid_L,Cuneus_L,Cerebellum_3_R,OFCpost_R
Frontal_Sup_Medial_R,1.0,0.05573845460172577,0.3341538919542088,0.3642942968442098,0.7914655636661221,0.4698509030283494,-0.11592300986480115,0.8482283877442,0.43402592206692175,0.36537325271532445,0.12800536703417292,0.16768862033463333,0.3070725373128796,0.1795381060062279,-0.08110487991173178,0.3707748039469191,0.4949912450214649,-0.030983504188984424,-0.04639655113426268,0.12578391185418894,0.31222756270355717,0.06393802003718795,0.2930586740687261,-0.07922851354998459,0.37384739148913915,0.2702984613216865,-0.08363308729023176,0.5302973204798328,-0.1529185436260291,-0.2812545051207897,0.24596428656331878,0.3187434743473244,0.47012923619134883,0.6107892801332373,0.31836742509421656,0.3407229881834601,-0.30743465540911513,0.48308726533341706,0.29204346856040336,0.42855221822931566,0.19925867038539394,0.4146122341908072,0.8391763368132577,0.448634951247844,0.49089397950630453,0.4274093822317016,0.5531254484890333,0.41138390801016533,0.270001352746944,-0.21937530687647144,0.1265320317108625,-0.07599701877360411,0.6398673403874561,0.8151843060576314,0.6545720382389524,0.10711566521796786,0.25951751868316425,0.2545819532318461,0.4216338650672577,0.29452748466980055,-0.15520604377803768,-0.0018747636570460322,0.39344120097497715,0.43104242852665864,0.6555788413537925,0.3739876212211213,-0.20632081134997102,0.1940938739169365,0.23280256613751632,0.5460296639924822
Thal_AV_R,0.05573845460172577,1.0,0.2714060484461839,-0.05271461243494838,0.14494713371176138,-0.0012835734029439676,-0.07395650482657029,0.3619743492162137,0.06922793813685171,-0.003204408205077573,0.3081306951389856,0.20250600687674583,0.3874562249246297,0.10549259005158065,-0.22969610922163405,0.20032095148718687,0.31853598046224824,-0.1226912358244095,-0.5251150750115416,0.44173290088957357,0.22174706777346737,-0.19288816464181716,-0.08808131354329855,-0.49502808013009486,0.2166536107051311,-0.2511730690889305,-0.46361705680447907,-0.038941999945099004,-0.7379396124130531,0.06265615908864838,-0.2687057495820436,0.4709508331075436,0.2926126993403945,0.3016721404058095,-0.022152688938699764,-0.008486936571061138,-0.3878590069448444,0.4169267885058743,0.3498411403488735,0.47162253550761496,0.12309720743980868,0.3922752251697795,0.21672789325694042,0.2668263070734443,0.6772934744641785,0.6052015690630602,-0.10045685011430783,-0.39930855024989775,-0.18620925787090636,0.4988709030740391,0.42444555005466844,-0.5532819242734046,0.4203969822844012,0.42492437523803633,0.22297730623174414,0.4997249046853418,0.5308930446233213,0.40510842590148594,0.42671325322857134,0.6360675858130075,-0.45941085010008503,0.37606881973269735,0.3733173109850991,-0.36917027223978705,0.20291477599722316,-0.2283884201598664,-0.07896242201609224,-0.4140072590831628,0.573510359960686,0.11338351481899406
Temporal_Mid_L,0.3341538919542088,0.2714060484461839,1.0,0.737916153830784,0.37974066095062753,0.38296059905251517,-0.4482845849892098,0.46000093314026436,-0.15754436111825315,-0.3439709412680415,0.09428137442982878,0.06048733601736868,0.16370190118730701,0.14132932126368686,-0.2809509868575353,0.8187804144981152,0.7740872911683452,-0.17954832683073849,0.21503833860567645,0.03304359628956725,0.44138646989660935,-0.02859595922721138,0.39712099000889534,0.16201455751353233,0.6179162358070459,0.25832065143824784,-0.2712534305472283,0.5643262400392232,-0.11553662291425398,-0.27957116191587733,0.5902897373018026,0.12776769562004017,0.379469526527064,0.43005730981857,0.20422639584907903,0.2536214922255,-0.5393143908295591,0.21706893907695704,0.10399566359398253,-0.08825392786563814,0.009389372701411533,-0.009388647679245788,0.3107778229707006,-0.01720909100076037,0.40766879299685466,0.3504829848452916,-0.22732090966676993,0.36259579581974005,-0.37987686962863904,0.028909525338133044,0.054978838429297926,0.19018250533284273,0.21455315307426007,0.2867935562021588,0.6646547877711649,-0.016483738543358505,0.6708775650629715,0.11178257262624408,0.13309922005362887,0.41588138964572396,-0.5133347488958794,-0.2761058861613921,0.4590686087916897,0.45144888945933775,0.14997599770925057,0.2960030022794677,-0.09837492821085081,0.5237902447917117,0.4353804418600465,-0.31391700279131396
Angular_L,0.3642942968442098,-0.05271461243494838,0.737916153830784,1.0,0.3249386523621633,0.4570813328766948,-0.2211201122029972,0.34441670224357807,-0.2557542358081193,-0.3566833551348082,-0.0914059848144279,-0.22292156303264515,0.006026136164887034,0.08011449931459498,-0.22467209487868658,0.7847066929196187,0.4858814920809699,-0.2760614413979259,0.3506710176530827,-0.04954766661136723,0.3558312153977261,0.012882918088075217,0.5380972044802497,0.2943734219623584,0.43886408696432444,0.517876905010114,0.12821621028088262,0.7247396357792759,0.20458519977286022,-0.33578054752055775,0.8625411138165721,-0.2693154113223018,0.24536840923286637,0.2588427287985428,0.14182337261264924,0.2070134760774722,-0.3750190976559108,-0.07607520039514039,-0.14263415794111425,-0.27404968672122787,-0.04421486017066715,-0.23486504762744065,0.26126952080333915,-0.18475821021565278,0.03173784813377276,-0.04910918245207646,-0.12607330073608392,0.48599303378084285,-0.1869071465294856,-0.1825612941991129,-0.2079966996472895,0.47099940843378574,-0.014533405421112103,0.11333924560470159,0.7328971359139494,-0.27449871260959036,0.2535609506050086,-0.09687346646282856,-0.14771506302084042,0.05978508523331884,-0.22272127564875477,-0.3650529250577244,0.14041015093145845,0.7816108882223072,0.1255799332443721,0.4282726839714437,-0.03850626062748334,0.7949758382303093,0.020843855324431566,-0.3048627536664545
ACC_sup_L,0.7914655636661221,0.14494713371176138,0.37974066095062753,0.3249386523621633,1.0,0.6280284871279156,-0.033132165703905675,0.8491677868115936,0.27254265240345976,0.29762684311499144,0.1387905898413124,0.2797988773420454,0.22692663915373998,0.30421234835081995,-0.21168370619074234,0.47328872206080697,0.6003230235505891,-0.03312339144117966,-0.04929923492331997,0.1328001166442936,0.5934349301175315,0.01657093418662198,0.47133643780844087,-0.1747003833250101,0.5607577940649296,0.0800196668875565,-0.22400091595227942,0.5324234913638548,-0.132182117460016,-0.31291199524080676,0.1985789526851654,0.40506768309413393,0.6613198530039978,0.7202465248532809,0.3280985258214998,0.36763685673290514,-0.29452080519162865,0.5376757925598058,0.335730690002649,0.3526233962562956,0.1698636361124559,0.40611012926353784,0.803019481928163,0.42823643975361425,0.6033045928456188,0.5272850247166051,0.3823163902696726,0.5454748122341442,0.1625762261673942,-0.09362346253916505,0.2602843210378163,-0.0506629169495174,0.5771794587414061,0.7829924008947485,0.6212734274827704,0.14004765890433224,0.36770933584831134,0.23299989685985315,0.47916242951374705,0.37900793997691584,-0.20742696823854231,0.11150175721358814,0.4988910239152508,0.3271268832066834,0.6299936262204433,0.40661867336522584,-0.15951215162275126,0.15403689352209846,0.27754720772647473,0.4385050128274476
Cingulate_Post_R,0.4698509030283494,-0.0012835734029439676,0.38296059905251517,0.4570813328766948,0.6280284871279156,1.0,0.017062855315127304,0.47351611718961256,-0.030885284152675625,0.37140557333732294,0.06522903023230353,0.3658615061189356,0.03316581052255392,0.4968851307751233,-0.10866667806549467,0.4422823051867793,0.37727980924745985,0.12252317773327012,0.34050688005268337,-0.11629436122529022,0.7155018653015701,-0.08684484781885723,0.6704029964454296,0.01836564183710473,0.7630907761331169,0.09698997526362715,-0.2089797175377055,0.45607294686202055,0.13014300554970187,-0.05907711745132169,0.37246953931007426,0.29434896567291824,0.7765548111562369,0.7600554868077573,0.40669391129941324,0.23553442127272847,-0.10017570666265428,0.31371587825137415,0.2879909135139274,0.0033086281228439877,0.07393156181407105,-0.011966667011449772,0.4059453287550987,0.008747666909854438,0.3147704959532605,0.3869219702965557,0.3298122580540373,0.6108477572474824,0.06219104433398783,-0.1693523586708812,0.2130578910663882,0.14813415603065225,0.08483303476073341,0.32689024281017276,0.6267801807108386,-0.02033609681564578,0.2167824736245384,0.27553969143446194,0.06160476449688415,0.20490376897194124,-0.13960497294837254,-0.046541065947666604,0.5311395320360048,0.46541830819116997,0.5395257038343649,0.6108420276075678,-0.04910501770372741,0.34531033320668747,0.2998822861963613,0.022745000034664193
Thal_MGN_R,-0.11592300986480115,-0.07395650482657029,-0.4482845849892098,-0.2211201122029972,-0.033132165703905675,0.017062855315127304,1.0,-0.15369068632105576,0.0029385601684078257,0.24123351276135696,0.039131050616693676,0.0346881275512024,0.02737708393062042,0.11478231436090497,0.2849638788585371,-0.3459213017801535,-0.3897067612992593,0.09703625941240814,-0.15960900992611207,0.35888981515554963,0.1250254051792333,-0.08184548215237887,0.10420789770234144,-0.27415702051810725,-0.050695766149179006,-0.20459030057199293,0.017074049576419125,-0.12058264570598519,-0.02432677947585288,0.039521056628128534,-0.2509008101949275,-0.1647529046168158,0.054752935291446675,-0.02931386918493624,-0.11513790366491178,-0.2099618789304224,0.3262291693669422,-0.13133869293831293,-0.0916439476818689,0.07665120931736628,0.10498710636761573,0.19910638907443778,-0.10780162853717964,-0.014511852603149805,-0.09958910913523884,0.012081645964111869,0.11278543474158217,-0.12342004184846664,0.08625174225258932,0.16503038752206556,0.31865784811537884,-0.1949434161700536,-0.03372654521151201,-0.1389022883940358,-0.12888621792620147,0.2134575297581064,-0.23999909353309076,-0.1349534342666826,0.0918710316231137,0.1106426846044181,0.22876199235690703,0.4577955547030763,-0.1348753321297387,-0.1123989971553208,0.0001818911641787291,0.02905570921663615,0.15001252113615093,-0.24979838041176075,-0.1463667703517017,0.13080799420511915
Frontal_Sup_Medial_L,0.8482283877442,0.3619743492162137,0.46000093314026436,0.34441670224357807,0.8491677868115936,0.47351611718961256,-0.15369068632105576,1.0,0.31577933301091826,0.24177507964199454,0.16037960872660742,0.230763522003206,0.40372209458268243,0.28988108622892866,-0.2411253848879775,0.5676893210133148,0.6597553266564814,-0.053310073924705485,-0.17585547784308506,0.217836339104026,0.4046070656047814,0.011463195737525238,0.28453656732960675,-0.25313421922483226,0.4607391759733622,0.13843901681114992,-0.21911949803272573,0.5622612375405033,-0.3446040072403133,-0.2967604812484208,0.16796459418104986,0.4779029531671751,0.5706803655202544,0.6761539146662746,0.31670990746487004,0.3015621984414247,-0.41674141814626,0.6270464946981497,0.4225681947942499,0.5156880110360738,0.22056154622250615,0.5061314315580602,0.8613518446605541,0.4857806456300877,0.753296261740126,0.6077758461459931,0.35371668718690163,0.2822892943403998,0.16515545810628246,-0.017805091112189163,0.27369892952759595,-0.19334420145515407,0.662572962295546,0.9210027423051498,0.6646876739280737,0.25280023277861746,0.4121538172723686,0.33391337172504276,0.5626587256294484,0.4818595252203781,-0.33982570155353403,0.06353539190672049,0.48197045171960745,0.23897185938357138,0.6417509206178492,0.2668832870493662,-0.15768091743307705,0.0867733566132506,0.3701375384639526,0.49345336550416347
OFCant_L,0.43402592206692175,0.06922793813685171,-0.15754436111825315,-0.2557542358081193,0.27254265240345976,-0.030885284152675625,0.0029385601684078257,0.31577933301091826,1.0,0.39032545151006665,0.02245130618965306,0.24633072293823843,0.3324370756365459,0.007986836522577518,0.157077034182293,-0.16381933300985146,0.08682693692476737,0.1492917489036824,-0.21182272119679113,0.10811510210783594,-0.044758700424544065,0.08211578971802103,-0.14241629348739665,-0.18167962176069577,-0.036840037723447,-0.06458356383307631,0.030199132695116888,0.01877921836021173,-0.24899585154273163,-0.14611934783793792,-0.27949800818609294,0.18189212135221014,0.044600961541985784,0.15441518743645985,0.19046048184724226,-0.026101342954847437,0.08590781061732883,0.26937987219652476,0.22818677261565848,0.39209995602775705,-0.010520102368667414,0.37865390027055906,0.4381159523667948,0.5418903681166632,0.27553317976323866,0.2617654774393874,0.4271837425952374,-0.14938493749888598,0.356865342070242,-0.039566732752543,0.1824216236856316,-0.3949650857723067,0.5485764869486385,0.4477102169846405,0.05190402090022984,0.2811318167872166,0.010893282288953475,0.13292566111274892,0.3617115881497229,0.11838269465993814,0.02748165079476618,0.23108976907788323,0.09033438103835206,-0.1201061662222698,0.3085871738004657,-0.06782041611216409,-0.15808942370243956,-0.25187642550410533,0.15994060454016087,0.5493835016466737
Frontal_Inf_Oper_R,0.36537325271532445,-0.003204408205077573,-0.3439709412680415,-0.3566833551348082,0.29762684311499144,0.37140557333732294,0.24123351276135696,0.24177507964199454,0.39032545151006665,1.0,0.20738046169498986,0.6255101974694187,0.16087379587422293,0.2926198836096858,0.12934618812628798,-0.2634112763872129,-0.24942399254957906,0.3946668601109345,0.06334833190541098,0.11341121285584276,0.19265318856444424,-0.0882703161467178,-0.03434964927296925,-0.26628487468220186,0.32418587208440613,-0.20410819496552132,-0.11834610153982975,-0.04026045275225362,-0.07064494017830417,0.3224908371840234,-0.4332177504427365,0.4792051812725811,0.5430510851629977,0.5400186398993458,0.34099603147445895,-0.03618809390345291,0.3195034787328835,0.5654505012247413,0.38033291648354334,0.44067272812021624,0.13417069786174943,0.2968683931275312,0.3906073399738252,0.29301322569573746,0.24251109707430743,0.4568273377768028,0.8462985722619109,0.018645874737840976,0.3428698875210192,-0.09658076435579982,0.38813769821159627,-0.42996005410346877,0.16760113211741082,0.3131770877666412,0.04222033035378319,0.3484497332448093,-0.18134736766872564,0.38266354053246726,0.2642338582714699,0.16697837423324616,0.18631806779211926,0.2525129397310097,0.2937061182297956,-0.11609302685484203,0.6588458469115426,0.12849930211953256,0.035629553409230304,-0.35441917665015255,0.26027464569489833,0.5625091223990406
