,Cerebellum_9_R,Vermis_7,Precuneus_R,Postcentral_L,Cingulate_Post_R,Frontal_Inf_Oper_L,Temporal_Mid_L,Cerebellum_Crus1_L,Thal_MDl_L,SN_pr_L,Cerebellum_9_L,ACC_sup_R,Cuneus_R,Occipital_Mid_L,Occipital_Mid_R,OFCmed_R,Supp_Motor_Area_L,SupraMarginal_R,Paracentral_Lobule_L,Frontal_Sup_Medial_L,Cerebellum_10_R,SN_pr_R,Thal_VL_R,Temporal_Sup_R,Lingual_R,Thal_IL_R,Temporal_Inf_R,Thal_PuA_L,Paracentral_Lobule_R,Vermis_9,Thal_MDm_L,Thal_IL_L,Thal_LGN_L,Hippocampus_L,Raphe_D,Frontal_Sup_2_L,Cerebellum_4_5_R,Cerebellum_6_L,Pallidum_R,Olfactory_R,Heschl_R,Precentral_R,Occipital_Inf_R,Precuneus_L,OFClat_L,Olfactory_L,ACC_pre_R,Raphe_M,Putamen_L,ParaHippocampal_L,Thal_PuA_R,Frontal_Inf_Orb_2_L,Cingulate_Mid_L,Caudate_R,ACC_sub_L,Frontal_Inf_Orb_2_R,Temporal_Mid_R,Thal_PuL_L,SupraMarginal_L,SN_pc_R,Frontal_Inf_Tri_R,ParaHippocampal_R,Occipital_Sup_R,Thal_VPL_L,OFClat_R,Putamen_R,Thal_PuM_L,Rolandic_Oper_R,Lingual_L,Rolandic_Oper_L,OFCpost_R,Cerebellum_3_L,Cerebellum_Crus2_L,Cerebellum_7b_R,VTA_L,Parietal_Sup_R,Thal_VL_L,Postcentral_R,Frontal_Mid_2_R,Frontal_Inf_Tri_L
Cerebellum_9_R,1.0,-0.3320913415876104,0.15221225509797282,0.11418141007497334,0.03521801758800791,0.3984351755276288,0.013342477281342944,-0.22585194268083528,0.17433026927118214,0.40337154505512846,0.0869024058624379,0.004148702721900361,-0.6052037745489682,-0.48976309787008554,-0.6480934192393805,0.3844266114365507,0.23164294998469798,-0.1728198798793708,0.20346513869653762,0.1667285084863697,-0.21210923235570195,0.5097882268318994,0.6119417696491626,-0.3717172458239311,-0.3354797763723755,-0.20944329024146083,-0.4777963778504767,0.5098853991234693,0.1810134971984799,-0.5425116406402442,0.6996596969351876,-0.09582611056262308,0.29374928149236035,0.6777420642555071,-0.15364612677586237,0.21861924879353986,0.4307922548110604,-0.4779664949819887,-0.3452963924293676,0.421653274542184,-0.14905002308125376,0.30800563130898856,-0.4370671867475695,0.13018896606090935,-0.050979539971194324,0.6559326964027747,0.2533704944142429,-0.6759798058956772,0.04076195372802644,0.6628011735219851,0.4776082233852765,0.5149652736476091,0.11734561541371204,0.3757607858422167,0.43536599944351817,0.4872147779421942,-0.4645384626774078,0.053390837735805205,-0.1632606814879615,0.15006656635742222,0.20874496767611317,0.5661748395577987,-0.5325121977190653,-0.09810901993457702,-0.26328388118048796,0.02031853984430212,-0.1183249507107575,0.18432926450680667,-0.10466700588358092,0.025708568730218557,0.29745616199046665,0.446037614910888,-0.34015630099653155,-0.2641318164511917,0.3256130079230477,0.06907895525563373,0.5925539213858201,0.24365778644585998,0.2520533020303981,0.4881063837803912
Vermis_7,-0.3320913415876104,1.0,-0.16442434422885205,-0.04983552955842851,0.0555884703645246,-0.09191086874313756,0.018975206720756116,-0.14462495976521328,-0.11218190511205364,-0.15590161861531857,-0.15825194209799162,-0.05173875820801853,0.23692264298396318,0.220962509548275,0.2419514876873238,-0.29516850799413624,-0.052238863756778484,-0.013500990164454853,-0.07285028850643259,-0.27406593753367353,-0.22426863345632922,-0.357596900604032,-0.35158970726171745,0.2755888644699518,0.1965515499570043,0.07541375858331316,0.2852732334555508,-0.024766375422451158,-0.07329851564036081,0.18582198437162736,-0.2420729492864526,0.07504379372568665,0.04270879485796845,-0.29866631698363116,0.07131310351373256,-0.2539775204403162,0.0012236849600576669,0.20754093113803512,0.25794228747410297,-0.27023553747956963,0.24944693961371378,-0.047916561081892364,0.2181296146152962,-0.2235813684832441,-0.05480810723736254,-0.5257901685860737,-0.25841065361301746,0.40205886392593815,0.057782924801263236,-0.17954217845112455,0.009038552947454325,-0.30420870948997947,0.022755624454935206,-0.23947822933115945,-0.11945887577457347,-0.28604835578229737,0.26155934831533834,0.21347086786790287,0.05042405734705302,-0.2497072769440026,-0.19068207175448113,-0.34081091311303385,0.1599857852088059,0.12977474420911697,0.21190170730685373,0.0021399441358667176,0.3040213298614356,-0.12898955636052697,0.2190073461015814,0.0267164550797565,-0.20921449305200945,-0.04023223525801877,-0.2394837526453016,0.10603620233009012,0.05418506923656541,-0.2469797025066097,-0.19304056767180544,-0.21837319064388777,-0.1336192592830445,-0.23027089288917738
Precuneus_R,0.15221225509797282,-0.16442434422885205,1.0,0.7763812168590155,0.6733795221213664,0.5984602136962931,0.6707793084169634,0.14454015412170063,0.3469575013321446,0.39616024530103483,-0.33065432971869424,0.410186747573948,0.3437665569190369,0.38962753422488794,0.11902036413007477,0.021641756034383352,0.6398937568298878,0.4201871624168872,0.7660825919469044,0.5694266015756342,0.052079761827583435,-0.1347555982701302,0.24445673007961446,-0.3320519568267802,0.1527297226203822,-0.009227932093842331,-0.04230153008534373,0.3841410784452208,0.8661103330559325,0.03234787588232666,0.17220016019957834,0.23855632033698387,0.46015279048256996,0.47722674386427005,0.02268070891841594,0.5960304599745727,0.09688995844735776,0.2479523680614022,0.30915381921688917,0.09231126135330449,0.0885769801892035,0.5996602401227868,-0.3679930108654831,0.8968084865429917,-0.17235287934113686,0.13266466913216976,0.4044191568450254,-0.08568154289031217,0.5483741672167838,0.430810977468576,0.19205217429406998,0.4125946295894363,0.49626851345019635,0.31099181685980565,-0.060437424531981435,0.07961505790250802,-0.322746208023767,0.3752646037621289,0.6834259325686425,0.12716443824446047,0.19071307741797405,0.14986712915320174,0.4889377026186019,0.4384879315916071,-0.40192616941234827,0.22828439649021962,0.46215485617833413,0.1540919211124555,0.2534418908257654,0.5540814521640262,-0.07056030888366674,0.5545527570246466,0.23655037900225037,0.03619881099552165,0.14180272502283806,0.7340667443490188,0.12893495080171405,0.7849467670599436,0.4491298883266125,0.4530461710307314
Postcentral_L,0.11418141007497334,-0.04983552955842851,0.7763812168590155,1.0,0.652440204971334,0.7592003676683128,0.6030111421813582,0.012968043859970453,0.23766985637059387,0.41570035032725744,-0.2754690815726515,0.46325242016436535,0.2696595266225563,0.3490953258244908,0.08083882972650891,0.014638618627865396,0.7573416863050072,0.3593012376288871,0.8656532207724523,0.5755395094499657,-0.1113449867386298,-0.11514109607227258,0.2514406119950913,-0.2342119441055477,0.22210555807144255,0.056410425487668434,-0.046268715369060645,0.4504235133647025,0.8779212124871825,0.04443836949601234,0.19504400377270092,0.2965820853228845,0.48461093153869705,0.5206426513530688,0.10416709421411653,0.5645733317027212,0.2634649585571416,0.2785023569304473,0.3717091959930121,0.16423527944704844,0.12372264232454501,0.7705284106564819,-0.30216685413429833,0.7391707776887066,-0.18549261758287888,0.07559304312777719,0.38063510035737097,-0.12492774914848782,0.5145940767177872,0.44044235299944184,0.13291463416838697,0.3188440054003957,0.6654169384509359,0.440332254554905,-0.013352381723879292,0.10688876053725033,-0.26547734328721706,0.3526347479164639,0.7409379779476565,0.09783337122378172,0.2605283128338304,0.23739053216157427,0.37925630095621327,0.35185932849573487,-0.32317107941867557,0.3995968891530319,0.5339429738816638,0.2672080185866198,0.3660017109684668,0.437410661126402,-0.06024228552639348,0.49871036353175374,0.1815453475471164,0.0004989942498765756,0.12779049143193844,0.6048613094157717,0.22124208615973529,0.7731043891695351,0.555403817057842,0.48900564905246063
Cingulate_Post_R,0.03521801758800791,0.0555884703645246,0.6733795221213664,0.652440204971334,1.0,0.5986890623838028,0.38296059905251517,0.10047283666657822,0.1404385648783001,0.28095067042770644,-0.10017570666265428,0.6536760653541307,0.28933791338877407,0.2811130921566128,0.2605506257000685,0.008747666909854438,0.7177509779096013,0.5426694986241967,0.7731671873783795,0.47351611718961256,-0.08684484781885723,-0.04971645411508615,0.20659278149880198,0.1117901698015248,0.34050688005268337,0.2527327590434783,0.01836564183710473,0.38797306500131207,0.7150683239587609,0.14813415603065225,0.07636685108788632,0.40669391129941324,0.44596989317096414,0.3869219702965557,0.3220275119353108,0.3642595765135855,0.3658615061189356,0.32050398785934103,0.6108477572474824,0.06160476449688415,0.325980045611354,0.7765548111562369,-0.011474759591363041,0.6267801807108386,0.018445608846158566,0.03057204388930189,0.32689024281017276,0.1470448002346168,0.5788570587428973,0.20490376897194124,0.06522903023230353,0.1673565864648701,0.7500818182073256,0.31371587825137415,-0.04807643077073261,0.0033086281228439877,0.06037368824665439,0.582231752143676,0.4422823051867793,0.19683296428278982,0.3298122580540373,0.19986968964445273,0.4447870267373557,0.6108420276075678,-0.13960497294837254,0.4413979646074329,0.6704029964454296,0.4241499669500851,0.42886607018938666,0.37727980924745985,0.022745000034664193,0.5311395320360048,-0.03848000348874522,0.19073297361116956,-0.11629436122529022,0.2843428980410074,0.17093316675911346,0.58576787504699,0.5395257038343649,0.3147704959532605
Frontal_Inf_Oper_L,0.3984351755276288,-0.09191086874313756,0.5984602136962931,0.7592003676683128,0.5986890623838028,1.0,0.47692258059503834,-0.21486491417540735,0.3424339377407458,0.6143607928568063,-0.3251987013651253,0.46024765886971825,-0.213743603628358,-0.11487362160827,-0.35561137728656733,0.22003183342567487,0.8764721867323833,0.12164323536556725,0.8237389190003638,0.6779750524061068,-0.19834813388369524,0.11670164806551678,0.6197561992294872,-0.3807852270738213,-0.07937772006650931,-0.004436239782730586,-0.2692310467172313,0.7104592117918233,0.7300255177535689,-0.32932426314413304,0.6089853936796514,0.3849465952553794,0.6163376010652508,0.7911702245198654,0.0825114411314977,0.5995000490841371,0.5250183396734216,-0.046239122430949166,0.19443730135632548,0.3990310459869705,0.0214250011412234,0.8354453438695738,-0.48323932980494927,0.5373227245620615,-0.23600139008526116,0.3656840133925127,0.6121560107453072,-0.3745901195450713,0.5617412216117398,0.6036906357401765,0.32226660421633563,0.6040338952858838,0.6383424880728202,0.7278135504086632,0.2778843598128334,0.41282499809143125,-0.4834115730985992,0.37071957593533106,0.5286502941798548,0.30807281299184214,0.29281069638789897,0.5291187035015497,-0.08891400590649472,0.2713224486032552,-0.42272122192169154,0.48121890280745866,0.32960394353886663,0.43866059293881204,0.13206376317479318,0.5523408012298334,0.17051575225848986,0.7335402024216698,-0.2599623074355407,0.12847763882875526,0.26485451284060924,0.3210929861896331,0.5586285541001123,0.6538831253988956,0.6303105957711487,0.8178720221368156
Temporal_Mid_L,0.013342477281342944,0.018975206720756116,0.6707793084169634,0.6030111421813582,0.38296059905251517,0.47692258059503834,1.0,-0.0032730787450837673,0.24918075410014784,0.22844627284320074,-0.5393143908295591,0.22666501941320685,0.4360000218782137,0.5982231547568527,0.19092043986666346,-0.01720909100076037,0.503856906597042,0.2142883151407467,0.5797343918906636,0.46000093314026436,-0.02859595922721138,-0.5445856535858767,0.08540350836837673,-0.395589070625245,0.21503833860567645,0.0009202621987943309,0.16201455751353233,0.15100164546443323,0.6217455274129472,0.19018250533284273,-0.032127274488757,0.20422639584907903,0.3767627700305529,0.3504829848452916,-0.14769761856593835,0.5516017835658894,0.06048733601736868,0.5386603918014444,0.36259579581974005,0.13309922005362887,-0.031242457087877616,0.379469526527064,-0.2955819789082763,0.6646547877711649,-0.34569587407684743,-0.0671918923840126,0.2867935562021588,-0.013151568065821576,0.5993297102417043,0.41588138964572396,0.09428137442982878,0.38631006525616174,0.24886313562598167,0.21706893907695704,-0.3312670760236489,-0.08825392786563814,-0.3438258548882649,0.19743966624855083,0.8187804144981152,-0.24243235002041394,-0.22732090966676993,-0.1996268875754139,0.49208078074635403,0.2960030022794677,-0.5133347488958794,0.22527407182285036,0.39712099000889534,-0.13601179100827915,0.3856307074333161,0.7740872911683452,-0.31391700279131396,0.4590686087916897,0.11164766783237777,0.06230185061051378,0.03304359628956725,0.6269685877742176,-0.1808840397475408,0.598349339284302,0.14997599770925057,0.40766879299685466
Cerebellum_Crus1_L,-0.22585194268083528,-0.14462495976521328,0.14454015412170063,0.012968043859970453,0.10047283666657822,-0.21486491417540735,-0.0032730787450837673,1.0,-0.20172491046157784,-0.1867924323208109,0.2350757393312374,0.17451487579188654,0.4858039631183725,0.37620848015287545,0.5015319620450704,-0.09450427648850984,-0.11713875343741116,0.34886882808745223,-0.09340845377504774,-0.016455476644978897,0.20948118382223765,-0.18229702526981517,-0.3119128197257769,0.35726782766134024,0.40239445494165105,0.08186852324691438,0.30649320484732284,-0.28474155040993826,-0.019633286152197733,0.4592086930147603,-0.43522261609827473,0.02205388517392712,-0.15580004947706544,-0.3421442958627264,0.24111411677206648,-0.0433448444545697,-0.1909504213388743,0.3787972823078682,0.32509981053986614,-0.2666232844345972,0.33433755042576363,-0.16466590385884614,0.4160449499687473,0.11209011696841467,0.2939979238318667,-0.2037012051856043,-0.07146932653365994,0.32469615521593287,0.08323138227531963,-0.42332695486435973,-0.13120990260891455,-0.24665030894976117,-0.028613233100122388,-0.2687853572396675,-0.2097579602817814,-0.2859465845698489,0.4207835602023906,-0.06595299545748749,0.11015498334462652,0.006123115596219528,0.12147453375441987,-0.3404867962342594,0.44767773672566297,0.26741006196046563,0.23056492626869043,0.020729692288054373,0.15676721841169364,0.06955647179996166,0.1781597414311536,-0.04292242746150961,-0.03275219515157467,-0.19445701249555747,0.42676798360355384,0.0611007018188958,-0.2577471936663938,0.048407739511807775,-0.28915862773091167,-0.09867738806046585,-0.025569464323254177,-0.2920678166460832
Thal_MDl_L,0.17433026927118214,-0.11218190511205364,0.3469575013321446,0.23766985637059387,0.1404385648783001,0.3424339377407458,0.24918075410014784,-0.20172491046157784,1.0,0.43727874825763224,-0.1716967491753492,0.14593600821552777,-0.09490240334252831,-0.0738943743466043,-0.17257626671683232,0.23296659570554853,0.34185702751959907,-0.014060769199847695,0.3101866296732694,0.391754766899958,-0.10946288159037212,0.03564555431021548,0.3006277076772145,-0.2700251545946139,-0.16788805409180715,0.11604979406211129,-0.1466836870136767,0.30309304096511774,0.2595540888341797,-0.3017851667446728,0.2527753739342364,0.057450788497190014,0.4101552301009958,0.34861420477190613,-0.20484387875597088,0.4196764878419333,0.15473913048302776,-0.11136290121908997,-0.10445844406693545,0.2588219681475062,-0.33111915463320885,0.22680934060780267,-0.38979920483743546,0.30958113829990097,-0.15013887227461484,0.18984030650319467,0.35259264423470693,-0.15993348517355085,0.22139406297713257,0.4293617501038381,-0.07776273279354719,0.35642117299134124,0.06479993869478942,0.47224743199045705,0.09346089298629992,0.27720903002722463,-0.30970356606689287,0.09254953824013128,0.26551539463504253,0.19507467238627532,0.18649766682995086,0.33979892588694577,0.0017070491490807317,-0.10609754109103971,-0.22809210206232197,0.10979999907673581,-0.029556361108070625,0.15775187917178213,-0.05150912748839444,0.3125070880779052,0.17817955708092864,0.23609641993259117,-0.020865077350972278,-0.00883143562562426,0.38985589255454545,0.2899420805016969,0.11428926177150814,0.2720213737746488,0.31226794294531485,0.3847092610948565
SN_pr_L,0.40337154505512846,-0.15590161861531857,0.39616024530103483,0.41570035032725744,0.28095067042770644,0.6143607928568063,0.22844627284320074,-0.1867924323208109,0.43727874825763224,1.0,-0.16205457549042143,0.3167883617326265,-0.3141463468893036,-0.2564330957946987,-0.37460345081191254,0.3567931085541919,0.6325092802369767,0.07813191218066644,0.5289658401003886,0.5175917279015084,-0.11346181456631056,0.18031733771263503,0.5379920313505947,-0.296215624419459,-0.18125900386255606,-0.024119042898624626,-0.34047666870795473,0.5901334580170806,0.4250395597719763,-0.5181303817409526,0.5690902670639305,0.30828987290757665,0.44969701258231504,0.6657711591429794,-0.04387169467559984,0.4426663188680343,0.425769176204562,-0.26484800721425544,-0.07017991159508173,0.4053927307755374,-0.10260914519612874,0.5408395312627258,-0.43309733757026003,0.33641820743435114,-0.058561710904100034,0.35495418274488977,0.5297032108338551,-0.3563194198223381,0.3056748958805667,0.5771655041537653,0.3429119695989227,0.4850969086469262,0.3777781679215123,0.6329040616748308,0.35889270795338474,0.41926095622895215,-0.3895204453829079,0.24973656471421107,0.26619963075701186,0.40301533901221115,0.3657659388629098,0.5913940465273055,-0.18338267619020424,0.04776254998516095,-0.26085755730467963,0.3058295901308052,0.018567456408254215,0.37302954015940115,-0.026438483840289087,0.27203219783494026,0.30928251197331696,0.4759458166514704,-0.30572924467336554,0.12260926078631526,0.5687198984016782,0.21439586409957948,0.5078566291744566,0.40518267166037897,0.5062857156620296,0.6066777826343922
