,Thal_PuI_L,Cerebellum_3_R,Thal_VL_R,Angular_R,Thal_MDl_L,Thal_PuA_R,SupraMarginal_R,Temporal_Pole_Sup_L,Rectus_L,Thal_MDm_L
Thal_PuI_L,1.0,0.4340303990342669,0.42330180740308376,0.5497048072621575,0.7127914766718915,-0.10911061810990459,0.36023563476043424,-0.10814252488865209,-0.2823884812729976,0.6270060318196747
Cerebellum_3_R,0.4340303990342669,1.0,0.6172836971784637,0.5092746373223556,0.5696080352183436,-0.11731476760958898,0.5159223525286082,0.11804378242421835,-0.1959838894574716,0.5939647474929655
Thal_VL_R,0.42330180740308376,0.6172836971784637,1.0,0.47592191479207374,0.7960313111945336,0.14360056757289985,0.6409898871223714,0.35976296408691055,0.16905329664299676,0.6608568431044113
Angular_R,0.5497048072621575,0.5092746373223556,0.47592191479207374,1.0,0.5697349719461837,-0.2852935296938785,0.7791988143448435,0.0055901596611570995,-0.14936745138269153,0.6144992467154073
Thal_MDl_L,0.7127914766718915,0.5696080352183436,0.7960313111945336,0.5697349719461837,1.0,0.002920815817146539,0.6031797240235977,0.00632988592900828,-0.058497403907673606,0.8064284458472255
Thal_PuA_R,-0.10911061810990459,-0.11731476760958898,0.14360056757289985,-0.2852935296938785,0.002920815817146539,1.0,0.011568859174353432,0.17227320976672023,0.6479940453408776,0.03208598948454611
SupraMarginal_R,0.36023563476043424,0.5159223525286082,0.6409898871223714,0.7791988143448435,0.6031797240235977,0.011568859174353432,1.0,0.0670866257854708,0.07594249623619596,0.7402964906091132
Temporal_Pole_Sup_L,-0.10814252488865209,0.11804378242421835,0.35976296408691055,0.0055901596611570995,0.00632988592900828,0.17227320976672023,0.0670866257854708,1.0,0.2622974242513966,-0.18698205871714804
Rectus_L,-0.2823884812729976,-0.1959838894574716,0.16905329664299676,-0.14936745138269153,-0.058497403907673606,0.6479940453408776,0.07594249623619596,0.2622974242513966,1.0,-0.04680677729308969
Thal_MDm_L,0.6270060318196747,0.5939647474929655,0.6608568431044113,0.6144992467154073,0.8064284458472255,0.03208598948454611,0.7402964906091132,-0.18698205871714804,-0.04680677729308969,1.0
