,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
SN_pc_R,1.0,0.14620335657725098,0.33149598168983396,0.43953071267125027,0.24061689840769662,0.24379545056979565,0.13843313940791552,0.145246406188694,0.05751752568684457,0.40409067972689167,-0.00291616355837596,0.05503437381892238,0.05401586902502048,0.11492820294773592,0.23417248125338694,0.48294844838354506,0.3273871728642758,0.26382361176656344,0.02490213746548271,0.26349284057679634,0.5507608323913004,0.33740654170449424,0.41781007154640043,0.23217016347159972,0.1240318083790987,0.24175624756377642,0.2541345826390045,0.10389712792318995,0.25042227345794793,0.2475496688102657
Thal_MDl_L,0.14620335657725098,1.0,0.15346370220963582,0.4121308050754772,-0.43496420232647093,0.20529231901406106,0.5911693991407396,0.47952665598411925,-0.07970019989422857,0.014914345122134343,-0.334507426750167,0.4863052730983814,0.5613862978217486,0.40508217764164156,0.4668862972769749,0.21718938857443004,0.1179872742137645,0.1672886661014135,0.08077157809297716,0.3129660773494181,0.021294876972822157,0.0713355899143455,0.6176186629558228,0.44166224321170117,0.21579592328614997,0.24907663977027614,0.12514319716516728,0.31259830393956456,0.5107480791044716,0.6031797240235977
OFCpost_R,0.33149598168983396,0.15346370220963582,1.0,0.32861622357416653,0.307505350009055,-0.012984604897424276,0.0762276473132979,-0.11144438634536867,0.004855909728374665,0.6823698612622752,-0.039180726889503664,0.4227109283293175,-0.03526707858451764,0.16516557285931777,-0.09519754835660875,0.7266440010819941,0.1533523651591219,0.30657125933681695,0.5064091672797116,-0.03386721435686349,0.14388675654494615,0.5817868638898007,0.5748067318852981,0.050715553549024336,-0.19635724576123437,0.5063791951162177,0.6420385172387801,0.07222378269527559,0.1853523142176519,0.2320227427062667
Temporal_Sup_R,0.43953071267125027,0.4121308050754772,0.32861622357416653,1.0,0.10447592530460026,0.6919131885923594,0.14500094629469462,0.006866979649135333,0.5416174980863802,0.34118206471180146,0.267583362361085,0.3308604795148961,0.2852294912659799,0.10601709980310865,0.4814231733505494,0.5920796435070655,0.5736813384818501,0.5667535328007275,0.1948500371938137,0.21523483251133188,0.4165432048345769,0.523560948168659,0.7624091557447719,0.19772537774042803,0.14859469064179934,0.7298490416649503,0.4991753200625424,-0.1621990311737577,0.27798353259138614,0.4197752752142402
OFClat_L,0.24061689840769662,-0.43496420232647093,0.307505350009055,0.10447592530460026,1.0,0.33850903041013874,-0.3966020141697541,-0.3852317561735277,0.10440320108411272,0.07897181926557484,0.37858513682575196,-0.27118375542804585,-0.6258533167115456,-0.43613713135444443,-0.3337499752334481,0.4039256419493709,0.22434570339381024,0.42628480616736414,0.0766860399646689,-0.3495887200299662,0.5174836081223995,0.4521539823048563,-0.04127117120062547,-0.3913235356470684,-0.16788296052930418,0.3350654976001682,0.322445044834076,-0.3524246944829428,-0.29014974755757034,-0.3698699135479606
Heschl_R,0.24379545056979565,0.20529231901406106,-0.012984604897424276,0.6919131885923594,0.33850903041013874,1.0,-0.11648143519380838,-0.06442566903266696,0.5752046617609888,-0.1520022646468217,0.46410354398946224,-0.17874126059937553,-0.03820709082320496,-0.34344979815641924,0.39219768049499015,0.3929060225309861,0.532333639559986,0.5238039724962794,-0.24352376817521185,-0.05132044129321177,0.4781507593899718,0.40581804074232475,0.4495114550782295,-0.11498125302283797,0.24367373959941763,0.6237067987168483,0.13237425396827573,-0.4311491488131004,-0.09666008508998533,-0.03274704109258228
Cuneus_L,0.13843313940791552,0.5911693991407396,0.0762276473132979,0.14500094629469462,-0.3966020141697541,-0.11648143519380838,1.0,0.6969563456540518,-0.4231714555391915,0.08465568663714948,-0.4570936582319079,0.19092119889418774,0.5009890523797681,0.7139578203047661,0.4207948037150076,-0.0004634578853568842,0.26578353572437075,-0.05321779704834075,0.0020573090834514695,0.5164131409574749,-0.19083772015916686,-0.33103849991495266,0.2166001850012862,0.6706041297763049,0.40580206547853037,-0.25061365621136467,-0.1593881126090504,0.6724692915596818,0.860576410739669,0.7782393878696363
Occipital_Inf_R,0.145246406188694,0.47952665598411925,-0.11144438634536867,0.006866979649135333,-0.3852317561735277,-0.06442566903266696,0.6969563456540518,1.0,-0.541018861424318,-0.19855741594598258,-0.6627565273250137,-0.002669794643195864,0.46479471491742347,0.42143318040081024,0.4249672355475595,-0.08227326942008727,0.13612481620785188,-0.08686672494797418,-0.19057689077913464,0.434687939309223,-0.06660325388179457,-0.261946424803222,0.08927908419692289,0.5509241833931066,0.5654862024253746,-0.33726659980927515,-0.44612082351097293,0.5920021566105517,0.6193764103761233,0.49888847003395664
Temporal_Inf_R,0.05751752568684457,-0.07970019989422857,0.004855909728374665,0.5416174980863802,0.10440320108411272,0.5752046617609888,-0.4231714555391915,-0.541018861424318,1.0,0.06697123596507767,0.7299051178106912,-0.0015023285291628859,0.008930276430353554,-0.3965370866738852,0.27039173611609235,0.2466368715598104,0.23343327512623366,0.23600768504244404,-0.07295043723553515,-0.14163656105500486,0.2595648250666824,0.4057201343346778,0.2937743330490562,-0.2909500929315929,-0.019883340901471893,0.6500932637542621,0.326766044446045,-0.6122117993997851,-0.36784680897517374,-0.2547573493657903
SN_pr_R,0.40409067972689167,0.014914345122134343,0.6823698612622752,0.34118206471180146,0.07897181926557484,-0.1520022646468217,0.08465568663714948,-0.19855741594598258,0.06697123596507767,1.0,0.07753636165082747,0.6321749157650631,0.22445541247654033,0.42133433336772785,-0.07055305493430046,0.4329065072725349,0.22600807522984862,0.2982635781794181,0.6786232026453557,0.1994097564623442,-0.06869474411769799,0.39557880868778805,0.41451724317076694,0.2374753903496585,-0.1597481153621778,0.39164171825522803,0.6198737818357547,0.17128898042532928,0.29579705187801075,0.40370765016123716
Vermis_8,-0.00291616355837596,-0.334507426750167,-0.039180726889503664,0.267583362361085,0.37858513682575196,0.46410354398946224,-0.4570936582319079,-0.6627565273250137,0.7299051178106912,0.07753636165082747,1.0,-0.14372573616982398,-0.20040996290391824,-0.4208545352225136,0.11000374617828024,0.14033307832093778,0.3885782536525269,0.25790075966726916,-0.11364347870542674,-0.1943585767324348,0.1530265715633527,0.1431167847020128,0.03935829568862064,-0.36266009075069605,0.13299218689549816,0.47885357042504567,0.2261348298888374,-0.677077872623244,-0.45328133263101555,-0.35200573215985786
Thal_AV_L,0.05503437381892238,0.4863052730983814,0.4227109283293175,0.3308604795148961,-0.27118375542804585,-0.17874126059937553,0.19092119889418774,-0.002669794643195864,-0.0015023285291628859,0.6321749157650631,-0.14372573616982398,1.0,0.5234913765090571,0.5566876106709208,0.08331807183801641,0.16184121966871645,0.06759593175573392,0.2776348055682623,0.7159963714258291,0.2671036319121863,-0.24972650005602748,0.2797177341904766,0.5541032850205962,0.37992837649877687,-0.12451620022166157,0.3602440859643028,0.574214524640829,0.2197221834274022,0.3677096453820401,0.5587482187673924
Thal_LGN_R,0.05401586902502048,0.5613862978217486,-0.03526707858451764,0.2852294912659799,-0.6258533167115456,-0.03820709082320496,0.5009890523797681,0.46479471491742347,0.008930276430353554,0.22445541247654033,-0.20040996290391824,0.5234913765090571,1.0,0.5714326811336219,0.5717479415006934,-0.14067426672470296,0.21359079197493816,0.08819102955867661,0.1496333298516939,0.44820219229876995,-0.3843520707579439,-0.14192841010760376,0.35499096711416445,0.5374665206185237,0.35048953595693183,0.06801764689279591,-0.02479488003098782,0.30005314262366706,0.49435392554081375,0.6211326502712862
Paracentral_Lobule_R,0.11492820294773592,0.40508217764164156,0.16516557285931777,0.10601709980310865,-0.43613713135444443,-0.34344979815641924,0.7139578203047661,0.42143318040081024,-0.3965370866738852,0.42133433336772785,-0.4208545352225136,0.5566876106709208,0.5714326811336219,1.0,0.12090780796411756,-0.11210174212858813,0.19562739697665696,-0.053238210105436244,0.3265494032817487,0.6167608207466136,-0.39664212692441286,-0.293285804837396,0.18879230084580834,0.7848862043275397,0.09447539777004668,-0.24548764349392777,0.020495986060324878,0.6969475112779908,0.8432270849531233,0.8322525124968041
Vermis_9,0.23417248125338694,0.4668862972769749,-0.09519754835660875,0.4814231733505494,-0.3337499752334481,0.39219768049499015,0.4207948037150076,0.4249672355475595,0.27039173611609235,-0.07055305493430046,0.11000374617828024,0.08331807183801641,0.5717479415006934,0.12090780796411756,1.0,0.15840151030444843,0.3831911049899619,0.14358873886100051,-0.17048144180613903,0.2568619773268977,0.0980422491242383,0.002276732731800512,0.3906132784189243,0.2422497804153937,0.6103756272360991,0.24133240959800076,-0.038648763657293035,0.0042911372204832675,0.2824178836464901,0.41475490765007805
