,Parietal_Inf_R,Occipital_Inf_R,Cerebellum_6_R,Raphe_D,Cerebellum_3_L,Frontal_Inf_Oper_L,Vermis_1_2,Vermis_3,Postcentral_R,Frontal_Inf_Orb_2_R,Supp_Motor_Area_R,SN_pc_R,SupraMarginal_L,Thal_PuI_L,Thal_MDl_R,ACC_pre_R,Lingual_R,VTA_R,Putamen_R,Postcentral_L,Fusiform_L,OFCpost_R,Cerebellum_Crus1_L,Precuneus_L,Caudate_R,Cuneus_R,Vermis_10,Frontal_Sup_2_L,Thal_PuM_L,Vermis_4_5,Cerebellum_6_L,SN_pr_L,Thal_LP_L,Thal_VL_R,OFClat_R,LC_L,Rolandic_Oper_L,Caudate_L,Thal_PuL_L,Thal_MDm_R,Red_N_L,Olfactory_R,Cerebellum_8_R,Hippocampus_L,Rectus_R,Frontal_Sup_Medial_L,Frontal_Mid_2_L,Temporal_Inf_L,N_Acc_R,Pallidum_R,Thal_LP_R,Thal_MGN_L,Occipital_Mid_R,Thal_PuL_R,SN_pc_L,Thal_LGN_R,Vermis_7,Paracentral_Lobule_L,Red_N_R,Cerebellum_Crus2_R,Cerebellum_7b_R,Frontal_Inf_Orb_2_L,Cerebellum_7b_L,OFCant_R,Thal_IL_R,Rolandic_Oper_R,Fusiform_R,LC_R,Cerebellum_3_R,Thal_LGN_L,Thal_PuM_R,ACC_sub_L,ACC_pre_L,Rectus_L,Temporal_Sup_R,Lingual_L,Thal_VPL_R,Temporal_Sup_L,Frontal_Inf_Tri_L,Cerebellum_Crus2_L,Angular_L,Thal_IL_L,Occipital_Inf_L,Temporal_Inf_R,Precuneus_R,Cerebellum_8_L,SupraMarginal_R,Angular_R,Precentral_R,Parietal_Sup_R,Cerebellum_10_R,Frontal_Sup_Medial_R,Frontal_Inf_Tri_R,N_Acc_L,Precentral_L,Heschl_L,Thal_MDm_L,ACC_sup_R,ParaHippocampal_R,Thal_PuA_L,Cerebellum_10_L,ACC_sub_R,Temporal_Pole_Sup_R,Occipital_Mid_L,Hippocampus_R
Parietal_Inf_R,1.0,0.1997474727113598,-0.17896842936284185,0.40984861107933657,0.18586901661957592,-0.15930167112881752,-0.339237010337991,-0.04261957752157629,0.7904216306724967,0.006514586305277736,0.3298689706569313,-0.23158203278668868,0.040957972544535516,-0.38974107117635753,-0.14055699483772333,-0.014428202706675641,-0.007750005410678767,-0.1659830311901363,-0.4189439455974728,0.10996627318746706,0.043295259160743726,0.011098705813362562,0.0975443014244301,0.46954878370303715,-0.3102390071442727,0.4761106659801704,0.09048982603036979,-0.002075508856847424,-0.5730050681117204,-0.19201111850458702,-0.184771307695186,-0.17281828470762564,-0.5655960328071135,-0.4036743995239539,-0.10836572190514394,-0.07301723267346857,-0.23817022206441796,-0.41357921862593683,-0.43251776320613544,-0.209198043726064,-0.24866468200852004,-0.20166883834031668,-0.043838631686577346,-0.11841824534201706,-0.20609767318488323,0.030233920128040503,-0.3220806709198268,-0.009207258735464819,-0.3107284271919809,0.15479492229322583,-0.49263362599423327,0.031651178396317946,0.7292241156828707,-0.43178170776205754,-0.04245993883701899,-0.08532516668635896,0.004934462088636012,0.3457535675402912,-0.23591397839496742,-0.33923026953336033,-0.15730654394723817,-0.01151729151811625,-0.03405832762477243,-0.061700287747989906,-0.1632188486381778,-0.25246206618458894,-0.20389813955150166,-0.20019262033685312,-0.15884446311974293,-0.1537922292739793,-0.6769319939963258,-0.34921403903243087,-0.3458639083247138,-0.4135127972048903,-0.12254308545532448,-0.015227076415311031,-0.47300152720862554,-0.30219861612076593,-0.08584412457864514,-0.11354464198900148,0.40375540478653155,-0.21879872661907376,0.33731649598654334,-0.39888418867209213,0.4310286649666649,-0.11873125469558517,0.8408525313994815,0.8189892426237442,0.6472772812037435,0.6453658965566578,-0.35327970476370996,0.10849077437795765,-0.0650291215091985,-0.2022994093377086,0.06376333255088285,0.2070002801851439,-0.45841423490794914,-0.20471664683216317,-0.44107479395239224,-0.5600142631849401,-0.2550235326680792,-0.3786597039878377,-0.3379175795573835,0.5062326983713389,-0.44427304592220956
Occipital_Inf_R,0.1997474727113598,1.0,0.611051508436694,0.3821164113977348,0.34652396582946515,0.23359802376435088,-0.12348871142057935,0.4199714224154803,0.4080004259092585,0.36355290723441086,0.42756037697597343,-0.3039312170571737,0.15417986680711382,-0.3958742124874113,0.18950201522462948,0.31103718977927597,0.6246202371874175,0.020343348707188347,-0.09747003316929766,0.05536114984030847,0.45833144272751725,0.126879272914481,0.42088521340648544,0.40788854182717527,-0.16463717420409368,0.4764946440969923,-0.38639757920889733,0.040466586640426724,-0.3463712295125308,0.3116868221897159,0.43558019932410735,-0.06795383491823463,-0.41314973323046683,0.05884423878987411,0.01952512941312663,-0.37528851859519713,-0.046510952705316695,-0.45453075988016756,-0.23738671603254402,0.19044197227688775,-0.262478137572775,-0.02717316948809822,0.6081318172706559,-0.1280577012338086,-0.021681906524960083,0.3454527960816322,-0.05766918091548023,0.01420394164112224,-0.19489126524319586,0.1191520954479507,-0.18759665963030708,0.058491254675274246,0.6037454292730462,-0.2225014628972457,-0.08242673298788951,-0.14735570771212256,0.6404921661038333,0.2740116083368901,-0.10845777518778417,0.3390121698254031,0.4112193890803418,-0.09633514235128544,0.47654973154197133,0.20348733465545044,0.08265588557208993,0.21361639418629247,0.48825921188219834,-0.3751562404721525,0.018901526724209534,-0.17166696236179116,-0.2509566559164693,-0.34351068734586526,-0.258694224072703,-0.44083464961287966,0.11974679708189735,0.5174159299220027,-0.16286041563568326,-0.3403716532695184,0.19506451781634673,0.5466712624709626,0.2686561873050071,-0.05826779855793973,0.5182238389128355,0.3669235333834949,0.3265436319799687,0.28236492600355745,0.10273272671771234,0.42899637312843997,0.273922460957534,0.4616704028566463,-0.3219914799343315,0.44227521746801934,0.3264049704788744,-0.22508432084532656,0.2803411328571223,0.21118887787830198,0.04562668626986331,-0.39464638878088315,-0.046354818012785994,-0.3094505245116345,-0.340917634689856,-0.21798014750911096,-0.03278433720698865,0.5165580849073894,-0.1944591016009193
Cerebellum_6_R,-0.17896842936284185,0.611051508436694,1.0,0.10916303129270062,0.19687649819969014,0.37988527532678257,0.09263457100884702,0.4867807441417063,0.20721807198813785,0.47947581304414694,0.4803297831298711,-0.25359843470976323,0.01719472400683662,-0.21209418429856747,0.365350510988007,0.02429611507741959,0.7354969044099728,0.05313277507479925,-0.11237972967629485,-0.1061652372683728,0.4257568104345382,0.03359563436815905,0.44761130359137113,0.21991235201063397,-0.176138951143479,0.2720107379405781,-0.4406376148044993,0.006818121606979856,-0.18201472442276978,0.48288015881189505,0.7854156136516952,0.009798216018332414,-0.3497791798177781,0.23418136214797544,0.11868446484340066,-0.18975814051093753,0.015290078825696447,-0.4908844041134658,-0.17310175711103296,0.3902880404921731,-0.17805266457997726,-0.14765364357806107,0.7413562397079195,-0.20813251576846648,0.11948646589463639,0.3273574658995957,0.23462062270154382,-0.02704820792856145,-0.27736283497860936,-0.050731149773869416,-0.12819113782428196,-0.02998891671062268,0.13452381591409335,-0.05359335415732891,-0.016157224869778934,0.0365240232570057,0.7516967985563692,0.2788670390199406,0.011206402800530646,0.7289390169492803,0.6672990258591466,-0.297879475088531,0.6329513641002918,-0.04347598120208158,0.21798675237254045,0.32882606538719605,0.7667917395906931,-0.34576756830070643,0.21973892089234973,-0.011882068844435666,0.014737282165269166,-0.3605100262923816,-0.4445394414721549,-0.2713837357812457,0.21379456817008993,0.5805637821679374,0.08867067052943137,-0.446903609158361,0.006171379392994864,0.7312996442463114,-0.1732044913636924,0.08924965569277163,0.21811704753637093,0.6029785590948087,0.149008555019763,0.358684527158492,-0.08416911044724529,0.12270335747829422,0.22604800814033768,0.11932760976589439,-0.1308402086210844,0.4751131982512948,0.3225548448718448,-0.20310030804745932,0.29203326578664174,0.02974488955637213,0.17515004299989262,-0.383979641484159,-0.029049264226360075,-0.14795604287692712,-0.2070923870745811,-0.2088374956228986,-0.029268410644727245,0.05643022345868144,-0.052520442012187994
Raphe_D,0.40984861107933657,0.3821164113977348,0.10916303129270062,1.0,0.5500702321958741,-0.1285873785956727,0.1359337264040006,0.12145328592069882,0.26971257993548536,-0.19743584838953895,0.1756652771701479,-0.4120572401166937,0.12008580050659537,-0.7173118178433943,-0.3176689798993691,-0.31065044588680807,0.3431099277129736,-0.2477650063419306,-0.1211864410409886,0.048181110767026,0.22864960364695897,-0.4234734658271144,0.5489922592127802,0.1540436537053409,-0.46202473409581124,0.2696751085721525,-0.06662639566992819,0.052557376097837366,-0.6022610323190377,-0.05455416067026875,0.1459107138451617,-0.6753462788490656,-0.42233446112405604,-0.5383721506473492,-0.3613919725348555,0.01348584073084504,0.16005808811949004,-0.20642629856587671,-0.2770186213397908,-0.4863232165975805,-0.25317803997402,-0.4455070785906565,0.17845437815259285,-0.41972687278751153,-0.23312654772921962,-0.06287052971426983,-0.029896833910965474,0.14627981964466719,-0.6337853143808976,0.44121290288652165,-0.2982943583433071,-0.040848262369624765,0.5537252651383154,-0.5579659992392855,-0.021241498129357064,-0.3740944827669456,0.4009468405850691,0.09611259659480323,-0.2648264909350677,0.05398848606483009,0.10865168800444087,-0.421243965202596,0.30133901747924463,-0.25131817329305545,-0.17870573899669814,-0.2659319425136437,-0.04640428350298687,0.004443776334737077,0.08665181111486048,-0.4340893234458429,-0.6829384282706296,-0.42244954497520426,-0.251012107155424,-0.21316505911386233,-0.35408487826457935,0.4004044154741454,-0.6631660490690816,-0.16056239354285728,-0.1679980798564608,0.41492691434891854,0.2892284573163858,-0.3404453630918349,0.6271067193168361,-0.16754138660656895,0.11488215561446237,0.43153288134912254,0.42295422564858376,0.4074041401020314,0.36266577358534735,0.2209184681561333,-0.5149839795674073,-0.037989801806119015,-0.3240334919236533,-0.7741626612211386,0.08990967214739917,0.2648271592353022,-0.5039381758967366,-0.12816643575595835,-0.5962277846716828,-0.6021247070593215,-0.4540394930578443,-0.38434155678124704,-0.5567710469014104,0.6344992223959323,-0.6479029162108617
Cerebellum_3_L,0.18586901661957592,0.34652396582946515,0.19687649819969014,0.5500702321958741,1.0,0.17112093059490624,-0.026096634329727933,0.46919558673433626,0.2817269901199348,0.0833562068162038,0.36928880226020366,-0.08051534277929588,0.14429662853469155,-0.4253996500909212,0.0836795745944919,0.03384121760233008,0.5752014377055172,0.12419940926794812,0.02376562828551691,0.025875293580246986,0.6221195227267864,-0.08999306426404333,0.6912595652760484,0.15459761678539885,-0.41748761455381417,0.44911760400415807,-0.21965434038528123,0.23823507822756998,-0.17616452180953338,0.2533956936280763,0.4579859315402548,-0.2635087871985008,-0.0628009784993987,-0.17540980118147098,-0.40853241529869083,-0.1732513409097446,0.27115577237523397,-0.1326160444344928,0.09381954407171028,-0.045744804480578036,-0.2975815639620803,-0.44659286780723784,0.3079757084563301,0.011944085159901597,-0.20976106689196564,0.31848606065284435,0.10393022664189898,0.5252736893368585,-0.2523178389689137,0.38992073779938596,-0.04699292896401957,0.041359789083827314,0.35768084535417133,-0.38840054830065085,0.12520807943049778,-0.372344090962083,0.39470574366714056,0.13163962053594885,-0.30817749770813574,0.05465060504880478,0.09202390040386171,-0.04330545270215854,0.3985499562058022,0.03827273466277073,0.06301932247022021,0.015136977361574374,0.019989604712795796,-0.15848972778396697,0.2646446263221834,-0.2983377630532124,-0.23075085959632752,-0.3217472674273427,-0.172302830051332,-0.3439064856982201,-0.3348513215640665,0.4772797185306226,-0.24945838078865443,-0.13681005575039915,0.2094964014107758,0.42151268941123454,0.24359616739250697,0.00878249211730322,0.7458237216402366,-0.04029439642112213,0.14209311910258676,0.474857074733285,0.1959947105672706,0.29370310814805967,0.37570001531410774,0.2092400026592399,-0.511444025641915,0.3022543035173193,0.06627139031888292,-0.5380005169962135,0.18675571126679644,0.1792110686734151,0.0825044433618994,-0.3106186558575799,-0.20964788378587207,-0.2083874172270519,-0.3863763379734525,-0.32807902521266485,-0.3970726545197334,0.6165336459897521,-0.48959246503701703
Frontal_Inf_Oper_L,-0.15930167112881752,0.23359802376435088,0.37988527532678257,-0.1285873785956727,0.17112093059490624,1.0,-0.2965217631476409,0.16805510586766312,0.16863019215414954,0.729201451348893,0.5531207716419418,0.20691936319927243,0.3594088011735256,0.3322987765230015,0.5489917538639033,0.25889990421758113,0.36426307085847687,0.37027054536534953,0.018960770628363384,0.23327018386907125,0.17049327871508205,0.6132736629314398,0.17731888467625648,0.288985548546338,-0.2309903743512011,-0.025266192076354065,-0.5900767710455602,0.22322871460474705,0.162253322810443,0.4772842463998464,0.25618855035077914,0.352321733547995,0.04505212297225894,0.17380756172326078,0.2788081999871126,-0.3692006526885149,0.2822313158270396,-0.3260452421987009,0.34610529125454376,0.5139089554207403,0.1171988258449169,0.21467798599008836,0.6792567478252819,0.12257007139928819,0.503649973105804,0.6656986092668847,0.44961719839072467,-0.07925026801157263,0.22323508100644715,-0.17093811734407707,-0.25421711731956337,0.07251321406205632,-0.14834908605675798,0.07110119900017149,0.120805073461894,0.042040277753059546,0.4883136866980465,0.42638899711161526,0.12009527319800907,0.4579983406694677,0.510333644318727,-0.05734247829294497,0.5702279733341798,0.1296568214157416,-0.049986542526423094,0.20403984353293683,0.12266965695778898,-0.302734585808427,0.05755221628253701,0.28544198545396904,0.08323570161598438,-0.3997737380821035,-0.33763532705275207,-0.1285732017394972,0.04919312373797849,0.05763792164755512,0.19080239131715998,-0.4882583256652837,0.7030273479212282,0.37074700071007727,-0.03985136971627092,0.19118515547498283,0.004527068575604192,0.11285487713444055,0.2558831173806313,-0.007788766331267922,-0.22733264855768934,0.04533347280743468,0.21784407174180956,0.29484328307977037,0.11010802933591644,0.682796621338231,0.6759761147138912,-0.0034569909384969274,0.5867251785015777,0.12721909901847778,0.35352047157120936,-0.6220881115588718,0.030950246578178704,0.025024249650125494,-0.1717404191418199,-0.3769171636483425,-0.029458945452073948,-0.07405680608019949,-0.24601207847459175
Vermis_1_2,-0.339237010337991,-0.12348871142057935,0.09263457100884702,0.1359337264040006,-0.026096634329727933,-0.2965217631476409,1.0,0.11450181473824245,-0.40071109929969795,-0.45897986073474695,-0.4395617226394832,0.020288081994463362,-0.36850730940952037,-0.1019653822999597,-0.14758564343112476,-0.08920408257760702,0.02640764840991286,-0.006286234889246076,0.27655583834845543,-0.34874074193944976,-0.10853616401414165,-0.4941778270153689,0.044949788703574856,-0.3804420780114683,0.32068952371353654,-0.4380352118037438,0.35006813337322323,-0.025482556052590297,0.23290955104969033,0.1503443347224901,0.18226537672688695,-0.16437053743924518,0.22578941314968703,0.12784704560823318,-0.2505560459094435,0.5050786296640781,0.09000048338926303,0.4012597592032946,0.024937517835371435,-0.29289269475744784,0.3396261152734887,-0.0340356662861459,-0.23712516581752194,-0.2452717987805309,0.03046655795657641,-0.3536789756245744,-0.0697204884077612,0.14095189974785863,-0.0047338950335560435,-0.023969433901148966,0.3975479916806238,0.027560810838612535,-0.17053156795951555,0.3755984255625228,0.12441725877912198,0.0735433995412377,-0.07519521796276055,-0.438276801559609,0.4039199048999123,0.010718562610360903,-0.18406101445331935,-0.22413101309276193,-0.08139672020279654,-0.045125987494754,0.11760604863408994,0.1864492932846297,0.26730686941909676,0.5073895800076547,0.4909547517731906,-0.15596937924821003,0.23700607642798519,0.29472548896930445,0.3713115141121402,0.5482571616238217,0.1947569276362873,0.0794906128733391,0.1384883276379193,0.4257246957949299,-0.2249583560941451,0.051541861251417076,-0.321078863640062,0.1182251907657087,-0.03999109992590605,0.18150853170912293,-0.34591702011631204,0.29383310475691815,-0.0354587188349199,-0.3497264087690485,-0.30220626445101484,-0.5579813226145369,-0.05686398606960682,-0.41842695729085244,-0.23479894832289527,-0.2410717759200502,-0.42394558060176785,-0.28081947696938514,-0.027836089252557292,0.505500348285242,0.06911385487890682,0.13401253200128083,0.267870770762223,0.3492565935585687,0.1005225194065193,-0.1906363835943693,0.22989375115432711
Vermis_3,-0.04261957752157629,0.4199714224154803,0.4867807441417063,0.12145328592069882,0.46919558673433626,0.16805510586766312,0.11450181473824245,1.0,0.20934575924470167,0.2811819229021831,0.3545666475334477,0.014746796574831219,0.16343319442592352,-0.2686927100134833,0.4247487463582951,0.12120856716280086,0.5776852390635135,0.23852076270794734,0.04854860719251064,0.1353629012248314,0.34196237363802967,0.007820183491449343,0.18938983090818698,0.324366442474578,0.01501268498886096,0.40598030969526716,-0.26230960469348674,0.027286299055136673,0.1137118212906111,0.5631258181653234,0.4885962910186879,0.06206066530321511,-0.13623693888601543,0.39640063872097936,0.09087558640899265,-0.23169923579597215,0.14487746244415176,-0.191157546042296,0.02636295182475037,0.46449080916349894,-0.1461474127051396,-0.32163372453348815,0.34841308865017184,0.04825267008986742,-0.06826520723672358,0.1695820139033391,0.1326451937827853,0.02000637925952044,-0.07539610767190429,0.08401824929534325,0.28221860571575214,-0.022376849044143422,0.157560298327151,0.09133859600531288,0.39149640162892435,0.02179068142601581,0.2799566944565914,0.27600902885712186,-0.04382934606089354,0.4037085180321882,0.37706596741812226,-0.10255135519420891,0.26248641178004195,0.06633462423405759,0.3937821333017765,0.39879370613592785,0.526692387055227,-0.26478306509895666,0.4408784216522067,-0.14218640496965804,0.24827366619337227,-0.13907835738410348,-0.16303004379115718,-0.1662533072076608,0.31414397616763007,0.49137988597842536,0.22396858711565626,-0.123747405455033,-0.008809462511722809,0.30661081450084393,0.08994759927238834,0.17615137695704425,0.18197222162179358,0.47942825683887913,0.3522270238817401,0.2324487369933708,0.0033203557981431684,0.27855509918592136,0.2259217291060049,0.24360810177876133,-0.1093151520387275,0.2521670322682188,0.2089200721920792,-0.24315862428530127,0.27315868594392617,0.1341284998858823,0.3403270922690841,-0.10791781469591566,0.13742641621430707,-0.11550248599328522,-0.12861598921801992,-0.07127824830785309,0.079487337065077,0.13720924619679986,0.1860702827469838
Postcentral_R,0.7904216306724967,0.4080004259092585,0.20721807198813785,0.26971257993548536,0.2817269901199348,0.16863019215414954,-0.40071109929969795,0.20934575924470167,1.0,0.35092581013598423,0.6625053284915597,-0.1963916245730697,0.04736770384906221,-0.3056579013797357,0.21123724196603505,0.21125689210926188,0.3363493691031558,0.03948809641135954,-0.44290600337710084,0.06724477264145536,0.20526209252455022,0.1499766264494248,0.1980831880533384,0.5995799066108941,-0.2731564893037391,0.5121196068436289,-0.1124218588990037,0.1009405126226323,-0.5132284479064726,0.20710503069339756,0.20251414490378794,0.07118922716738785,-0.684463199796355,-0.07228524834247059,0.026135359032574454,-0.277635378181042,-0.23018336306945925,-0.7036671602004194,-0.4376960746772124,0.19261181247989306,-0.21595803276405096,-0.20391196232758244,0.3204965765153202,-0.16162657598101432,-0.0545833965993889,0.33336313893907193,-0.12412632523141676,0.016813729420000458,-0.26747447140500147,0.010951179524854178,-0.5292847570639437,0.11673603893520812,0.6428246292901126,-0.25876253862911164,0.0663009649511061,-0.017259156591293484,0.3096894545645533,0.5174490444992371,-0.14640522644741458,-0.03568165773248401,0.09034840934668466,0.07439568062929917,0.19575201134691667,-0.016246001703096903,0.009659355398628265,0.14419402279215318,0.09026136432286787,-0.30594786635702825,0.005297259764545155,-0.09283432055803673,-0.5021366878981217,-0.5111640498598309,-0.542134464285462,-0.5097613289617476,0.13029461885298282,0.12950982012479512,-0.21137204631051643,-0.5252284728712625,0.04170063926695476,0.09205861468105768,0.2727791893571208,-0.03910034612488535,0.3583770042982486,-0.03012061316521717,0.48215726873182824,-0.01753782747520591,0.7207187460419741,0.7728620176848926,0.8337031722858793,0.6877411999188008,-0.34478234338957725,0.5061449686935754,0.39227358969263465,-0.2097701684590491,0.24525532708641934,0.20172599696552018,-0.20291846832646035,-0.4053189415118241,-0.3772620050935951,-0.551012303052921,-0.23086485275219565,-0.49090366131300583,-0.25173174226380507,0.4181725888537662,-0.40321823002484564
Frontal_Inf_Orb_2_R,0.006514586305277736,0.36355290723441086,0.47947581304414694,-0.19743584838953895,0.0833562068162038,0.729201451348893,-0.45897986073474695,0.2811819229021831,0.35092581013598423,1.0,0.7548480662441673,0.16236888516737227,0.471033469599044,0.2275634696106858,0.5789463998394156,0.2341381175385616,0.4117742347596868,0.325659371455584,-0.21097603953836194,0.3958686103079403,0.1612325644380213,0.690476524466992,0.0712039527391534,0.5138054359640203,-0.2817607903711639,0.20525910883988902,-0.6427838302593344,0.16046098054820912,-0.0028905077985051193,0.5075734294082705,0.2910788856136482,0.38671139337433846,-0.23484045829542863,0.19600652347366748,0.5928066915242377,-0.5338927441224172,0.07472088452813545,-0.5708935974976326,0.12354532700677433,0.6407545338291408,-0.029582969465425313,0.1370852452513237,0.7820492827511273,0.1382301777290358,0.4594950785286133,0.728424429032045,0.4322321632433334,-0.23808202079058988,0.11887155750173099,-0.2627749871937003,-0.3304814251429401,0.042063639739042175,-0.030542019096656617,-0.028130656683139445,0.14262468325010816,0.07843933312032603,0.518504755170951,0.6766717872456243,0.03289533343157317,0.5459273225620468,0.5788670551046533,0.15565832221691647,0.6241236669620012,0.08837196939906833,0.06519493377841627,0.24578786462707208,0.2109734979544915,-0.41137775899391704,0.03469504172666214,0.3782395501262226,0.011625496198908066,-0.4784862985384309,-0.5193113597128673,-0.4034045361964763,0.1935133568068449,0.10155574226865147,0.15317032101760797,-0.4930374386476376,0.3848155288337946,0.35369074184707616,0.18072138893380757,0.20888291011972202,-0.061934081859909694,0.26900193645910325,0.42902626996878507,0.0039780037291976674,-0.15740801771715965,0.310277762965833,0.30992093740923893,0.5260304582109027,0.19625706065167736,0.8216043857738646,0.5539567389527716,0.0549864490906483,0.720109744823217,0.26760494361223885,0.2827695943676991,-0.7633125829933506,0.02822342889241162,-0.1311959543620658,-0.25162683651751905,-0.4990764332467132,0.011849254868083681,-0.033487071647353164,-0.17462604814814814
