,Cingulate_Post_R,LC_R,Vermis_8,Angular_R,Caudate_L,Lingual_L,Temporal_Mid_L,Parietal_Sup_R,Thal_VPL_R,Occipital_Inf_L,Cerebellum_Crus2_L,ParaHippocampal_R,Putamen_R,Raphe_D,OFCant_R,Occipital_Inf_R,Temporal_Pole_Mid_L,Cuneus_R,Hippocampus_R,Frontal_Inf_Orb_2_L,Thal_PuL_L,Thal_PuL_R,Cerebellum_3_R,ACC_pre_L,Paracentral_Lobule_L,OFClat_R,VTA_L,Frontal_Inf_Oper_R,Vermis_10,Rectus_L,Frontal_Inf_Tri_L,Fusiform_R,Frontal_Sup_Medial_L,Occipital_Sup_R,OFCmed_L,SN_pr_L,Insula_L,Temporal_Inf_R,Cingulate_Post_L,Vermis_6,Parietal_Inf_R,Putamen_L,Cerebellum_Crus1_L,Parietal_Inf_L,Temporal_Pole_Sup_L,Temporal_Sup_R,Postcentral_L,Temporal_Pole_Sup_R,Insula_R,Thal_LP_L,Thal_Re_R,Thal_IL_L,Thal_PuA_R,Caudate_R,Frontal_Inf_Tri_R,Lingual_R,Thal_MGN_R,Cingulate_Mid_L,Pallidum_L,Cerebellum_8_L,Vermis_1_2,SN_pc_L,Thal_MDl_R,LC_L,Thal_PuI_L,Thal_MDm_R,Vermis_7,Cingulate_Mid_R,Cerebellum_4_5_L,Thal_Re_L,Thal_MGN_L,Amygdala_R,Frontal_Mid_2_R,Temporal_Pole_Mid_R,Amygdala_L,SN_pr_R,Vermis_9,Thal_MDl_L,Rectus_R,SupraMarginal_R,Heschl_R,ACC_sup_L,Thal_VL_L,Thal_LGN_L,Vermis_3,Thal_MDm_L,OFCant_L,Parietal_Sup_L,Cerebellum_9_L,Thal_VPL_L,Frontal_Sup_Medial_R,ACC_sup_R,Calcarine_R,Rolandic_Oper_R,Pallidum_R,ACC_sub_R,OFCpost_L,Calcarine_L,Thal_LP_R,Thal_PuA_L,Thal_AV_L,Supp_Motor_Area_R,OFCpost_R,Vermis_4_5,Temporal_Inf_L,Thal_VA_L,Cerebellum_3_L,Precentral_L,Postcentral_R,Olfactory_L,Cerebellum_6_R,Frontal_Inf_Orb_2_R,Precuneus_L,Cerebellum_7b_L,Frontal_Med_Orb_R,Occipital_Mid_R,ACC_sub_L,Precentral_R,Cerebellum_8_R,Cuneus_L,Frontal_Med_Orb_L,Occipital_Sup_L,Red_N_L,Supp_Motor_Area_L,OFCmed_R
Cingulate_Post_R,1.0,0.16108202801493687,0.18988369275351935,-0.028449482720457032,0.07078877295667606,0.1101958378376063,0.09655759948346862,-0.01681928414869687,0.5389537216789451,-0.036163339517713916,-0.05901455647845311,0.2302279470811979,0.3017817723474365,-0.11347801852067096,0.275582918549241,0.10240847038392502,0.17998351155968892,-0.059018181213683366,0.19202032644754427,0.1254748812291744,0.19704863741695994,0.41935215479535304,0.4666384626359327,0.1418324476250345,0.07475650510848697,0.0005381661762580185,0.23477277684945355,0.5006718710362907,-0.0029250251665209944,0.16670269064546878,0.31271068521028605,0.19332888310425225,0.1876350902180665,-0.16176806666834878,0.08765245289465572,0.3064995754427122,0.2520468688896436,0.256239500843402,0.6893621917697879,0.37618635727392463,-0.14495168789797233,0.171027617143429,-0.07717155976962004,-0.11464673227429852,0.03683372814935772,0.40989287964727567,-0.03995563599178519,0.17450075714128588,0.2326903521742845,0.1338124339939166,0.3069203305400324,0.5042645796538584,0.2934169326924498,0.2851536436735305,0.47733043157965105,0.3280981930917496,0.32238355521955075,0.18642585939336684,0.18805115510210732,0.02681554715290308,0.15081504529489662,0.3466703248316244,0.5957891761852524,-0.02087937013151534,0.12543306399298296,0.5136977292048337,0.06356781999592293,0.4944859839959534,0.5574887408131095,0.08375845985671901,0.10270307269198006,0.08674858793752419,-0.024490519468537218,0.128310521508557,0.029632678877145206,0.040834701102716295,0.30312266310547353,0.41643946656676645,0.21256537597565617,-0.09203480925339849,-0.1593473182318037,-0.04758786973732353,0.5502173129337905,0.10679529411321192,0.40062671170616704,0.5821317932168761,0.13430641068974025,-0.11238673100902162,-0.12711410689954428,0.3737402135487465,0.20054497036367439,0.09009919455551815,0.4545997350825189,0.457765805392238,-0.04898180499484424,0.08378376514750703,0.1545602026397154,0.39278117891507686,0.1854685696432467,0.21102845853326854,0.07742066880663523,0.16719709692676646,0.16576206507563576,0.6825238455733837,0.13643773447235347,0.32468618676907385,0.2049592992842389,0.027791627408233183,0.11460275592352195,-0.03967944933796421,0.1692004189576912,0.17342535070807438,0.2301065941731516,0.06783985998927491,0.22909525299952926,-0.05338168652288923,0.03697666635008894,0.0715617210446122,0.11607193977274309,0.005450767049794196,0.15019442319218423,-0.135157680899779,0.3114954498819977,0.1500379475043375,0.07387952722228402
LC_R,0.16108202801493687,1.0,-0.3501024207248693,-0.3455974928631526,0.36047761104254106,-0.3348383227095258,0.08317400786415619,-0.48848474609319054,0.0832022714140198,-0.18354219883524495,-0.2915547855836519,-0.03341777860278792,0.11576069117950803,0.004443776334737077,0.04123284712830775,-0.3751562404721525,-0.06740493459298728,-0.5755294676168168,0.09940741155422289,0.129697642964229,0.08281212698686324,0.3424994661348475,0.2566867894832516,0.3573352040339628,-0.3597713808070412,-0.17459742635901726,0.3029980638355302,-0.00942045431149457,0.5043911399354395,0.49911291565423627,-0.11906170677660687,-0.23528145262136155,-0.19150976951473891,-0.25493210669484034,-0.24472517844198544,-0.08682056415018774,-0.1154379913190651,-0.14390292784941,0.040560459897328295,-0.07608185904277569,-0.20019262033685312,-0.15351480066911244,-0.18211987435555907,-0.2764765059630731,-0.0018819293469673109,0.09678235349719988,-0.19419550361426335,0.05945881051130906,-0.12781416355966443,0.25142627563950914,0.12210440717531255,0.1190330463943527,0.13598906372877723,0.2706755399734782,-0.17621015378346275,-0.3130134782221088,0.21499814787407834,0.27248702022897836,-0.28218248927581413,0.11977411677423397,0.5073895800076547,0.14833827024100119,-0.14530322284088737,0.5177516037732683,0.08602073873057192,-0.2972136418189803,-0.3287195172096773,-0.09601659628257657,-0.16039489162428364,0.030354552640621073,0.0192235010017384,0.08604095832091871,0.34281924923499985,0.10965059299521329,-0.2732446314118716,-0.1859988133561939,-0.27669019264063954,-0.03777931954139883,0.11184797101732318,0.004161776213210108,0.03684658860757455,0.3291341722515629,0.07313421079842078,-0.04836955421831567,-0.26478306509895666,-0.10807408858595181,-0.30163257679794236,-0.2842198044763406,0.005571566114318845,0.050060086476584775,-0.2956839834955482,0.4186856626289195,-0.18721336554442156,0.023697191532219948,-0.1483139756881525,0.18608026548597612,-0.2083000262920052,-0.2016863101124651,0.12238832100292427,0.0930059278231904,0.03352009588995188,-0.3676125572554653,-0.2555726230617332,-0.031872943757433284,0.10490664893700812,0.15256318915976752,-0.15848972778396697,-0.3387806668805903,-0.30594786635702825,-0.004918092446166679,-0.34576756830070643,-0.41137775899391704,-0.32475925035970127,-0.2547272290801521,-0.1300508265304394,-0.2617647725878525,0.2525928154864456,-0.25431378198107774,-0.4223163509293708,-0.42794298127544184,-0.3137942042120658,-0.2573453424992012,0.3968466583008395,-0.30936938035533984,-0.05138573363769958
Vermis_8,0.18988369275351935,-0.3501024207248693,1.0,0.20809846262894183,-0.5549074311418806,0.5340915486539853,0.13933177021091,0.23151719510303895,-0.041259626647790544,0.5109771527902011,0.7058906532918151,-0.08179336351237024,-0.1770644515099813,0.09799309653276021,0.006716486390771955,0.5651447108964838,0.11748518387182627,0.3884558918803558,-0.2865891710224034,-0.013774133442723728,-0.0019429767317788243,-0.2340486750895372,-0.013217709140684175,-0.45341100718819854,0.3467879447066439,0.06520619165581665,0.10960695196220713,0.2835239966204752,-0.5298257141682219,-0.44528548763915876,0.22636930296556293,0.42642168614256737,0.6058960145180816,0.19895482903415757,0.22977074655260676,0.09438517458417814,-0.00021515584426427397,0.42718634240457865,0.14309901108223208,0.26041601005078424,-0.04505638799094639,0.09478695230232702,0.6569748915239059,-0.1316309315614417,0.07205446499967619,0.028409744098703532,-0.07782540270163428,-0.146084286747492,-0.0023346613435864115,-0.2763505539630629,-0.1207952609280267,0.042439425974838914,-0.13746904527679818,-0.3330273747714567,0.4549728109184576,0.7453773101111199,-0.2062614544144671,-0.3926266701876116,0.3269660631981141,0.5027606588767287,-0.2179068208180867,-0.1946706137813561,0.33254137085572694,-0.3118973549749398,-0.09879860508746817,0.3953800559412075,0.8097241405979706,0.3065310785523374,0.45200137827830655,-0.05533976681083181,0.11795677891996384,-0.060920920407507684,-0.2365925014848103,-0.13669469977593676,0.36403290421953005,-0.14276722143921672,0.8947553693079031,0.14906106917794457,0.09980761989416209,-0.038908327752565565,-0.2542608271919835,-0.650149851725077,0.07743796092100902,-0.01949423546518741,0.3573782104635567,0.24305285682781144,0.141689825026043,-0.15963281168370907,0.3129732692563058,0.04254651886862012,0.7164863770611224,-0.612483297522071,0.5151576210438482,0.2837573113533877,0.03586288461476363,-0.44100336727190137,0.1935403273836505,0.43769425250347477,-0.289961487209811,-0.14821614959727444,-0.024264572262786045,0.674788406108937,0.2307472337435441,0.4408830259287034,0.3169982925216194,-0.18158422711702815,0.4562297595131378,0.3506621237603149,0.38438626770290496,-0.24416630446016602,0.6999255339615256,0.6036350566390585,0.27678662103232965,0.7208760652675043,0.09393100724868161,0.2193561448501163,-0.4886611170830421,0.3878243128063553,0.7842793480063799,0.3239016466801322,0.5201406795000691,0.31977338294173435,-0.36348179915068624,0.5918608383032419,0.33005731952845996
Angular_R,-0.028449482720457032,-0.3455974928631526,0.20809846262894183,1.0,-0.5182652240045992,0.15984481426277167,-0.01753695667567073,0.803936742035143,-0.3605152070133968,0.3421402767836071,0.0932895944759146,-0.29302877442072295,-0.41508424909482233,0.4074041401020314,0.017695292841371148,0.42899637312843997,0.04681248446400009,0.6643188854300291,-0.3754892783460867,-0.15661101831124002,-0.42943212322274543,-0.42596593719914877,-0.02472232239316555,-0.41137591135745716,0.5282013594107573,0.10731530244684541,0.04009412068303203,-0.13717274784781236,-0.22316960007892298,-0.3999598173104206,-0.04039143577742884,0.03495861885345419,0.1500577363944783,0.805755546460983,0.11471014034318591,-0.10139200668259508,-0.1804531191597315,-0.04002915436876386,0.20605779864228768,-0.0027286908381685643,0.8189892426237442,-0.018093788534287374,0.1723400598147145,0.31069394160604835,0.004897678020715464,0.11283511806068199,0.22962954598836496,-0.16679687848558666,-0.15630368896853858,-0.642629394069312,0.03386290438299376,-0.15338051526989308,-0.580122125705661,-0.2498311218185433,0.08840261274775071,0.2230580645526268,-0.16168236838103286,-0.34991356235881843,0.41979975058447844,0.0377605668193255,-0.3497264087690485,0.07270149319052505,0.09744726190762475,-0.2898059711994894,-0.47782515269921516,0.05440304827080614,0.2569307805470601,0.39307555217938467,-0.04128819295934075,-0.12862843252677064,-0.013820201662599691,-0.2129728097892272,-0.18599801851351233,-0.3136481355560251,0.11565612100381276,-0.09629093440960478,0.2559022159629527,-0.22272064474270864,-0.005494640968399965,0.6311136654859987,0.2852678179162433,-0.47877339857832757,-0.23423899683066404,-0.11112315961274456,0.27855509918592136,-0.2379335385391643,0.21213350541764403,0.602448372698432,-0.15060009383711379,-0.2549806894008813,0.30996111740263865,-0.32102048235779884,0.4195960347695376,-0.01198495075675105,0.028319672751347568,-0.38996254363073996,0.15669595416760526,0.4049544797093521,-0.4109723146189094,-0.581745904751872,-0.10849930696364853,0.5027159193297811,0.14188154663232366,0.07512784258552174,-0.0888908422333711,-0.47844152115285987,0.29370310814805967,0.279179043625682,0.7728620176848926,-0.2929577721304729,0.12270335747829422,0.310277762965833,0.6840206329903207,0.23385312359974358,0.04360791264161323,0.7490135105442233,-0.3609206973399886,0.5868384224395025,0.2944937790211308,0.7133886865433188,0.41036975542824083,0.6519181036271122,-0.3100506285074702,0.4419874912814834,0.2030240576192764
Caudate_L,0.07078877295667606,0.36047761104254106,-0.5549074311418806,-0.5182652240045992,1.0,-0.19366640386533943,0.3970934084936684,-0.515460621881907,0.27744670886379874,-0.21115080587729657,-0.43661092182069083,0.4923972431171601,0.6973636300857551,-0.20642629856587671,0.2234691949965279,-0.45453075988016756,-0.03014100872419121,-0.35566187385842013,0.4445345087012079,0.035437926723698006,0.41772773012889863,0.34045893401719357,0.020688619498677136,0.8158663748808506,-0.5524630787889702,-0.29127326811816845,0.04286440496136744,-0.09246281421205035,0.40315565040663953,0.591837633960349,0.14510952404198726,-0.2011443681077553,-0.5114327156629046,-0.3660754001018886,-0.07929974374922713,0.020370083012995897,0.4536496698361554,-0.15774426158705565,-0.05975500157594235,-0.0017854801544609825,-0.41357921862593683,0.0875237976527603,-0.30091078596613297,-0.09761278445245271,0.3100431387343933,-0.011735598226442533,-0.10751134828565691,0.31614874816187394,0.15459849417239568,0.7571117976675408,0.022614182333769498,0.17477706250569996,0.5696891714794016,0.5105797176307583,-0.2836211393230365,-0.43830294518821944,0.16046824567136192,0.6913625068060613,-0.36979244935769234,-0.0949292331352282,0.4012597592032946,-0.018837834310337226,-0.2072808319306149,0.37099119408396025,0.25187158615104255,-0.21273423209123732,-0.5731917110094452,-0.3480684192744918,-0.07272321397056039,0.3701718826800846,-0.011662156321875125,0.34917627696036196,0.09530943654816523,0.2578689020363806,0.10433499594375567,0.07068393623791269,-0.5289528122414553,0.18888777794863082,-0.09542936125010024,-0.41949465334395925,-0.06758463905266357,0.8615570493778417,0.46086177020077357,0.0305528956653432,-0.191157546042296,0.32566368352722963,-0.1579539346565293,-0.08157221367975623,-0.022869994331417468,0.3464342491141749,-0.703387480556109,0.6496330343762697,-0.30661641030242287,-0.0462226141513329,0.17589770963377832,0.6888430792185513,-0.26590024895838554,-0.29594726821245576,0.6768261967564084,0.612441021375717,0.5572441161499208,-0.7723288711417269,-0.13579722556741322,-0.22521201445156783,0.20726422932796348,0.5438168881640161,-0.1326160444344928,-0.4539416829489833,-0.7036671602004194,0.45375562869476876,-0.4908844041134658,-0.5708935974976326,-0.3885559105829591,-0.4792593856332157,0.15050088733676056,-0.3511681870422504,0.7081253050899341,-0.7039591982798618,-0.62364570252396,-0.3082779912256593,-0.4624681786889263,-0.239175418378356,0.2953835421564315,-0.7156879234489029,-0.5140420402014797
Lingual_L,0.1101958378376063,-0.3348383227095258,0.5340915486539853,0.15984481426277167,-0.19366640386533943,1.0,0.4658179427984895,0.0463896976411584,-0.1560610821596585,0.5579523513783015,0.6150043683966225,-0.1639783785930943,0.13342368884835484,0.4004044154741454,-0.07177777171874726,0.5174159299220027,-0.06934219918869891,0.5287813625456687,-0.04558289044094779,-0.2733671875667609,-0.020802053225750218,-0.3261526051496487,0.012926508937952347,-0.21660892476007046,0.11463631103726327,-0.16730037014047916,-0.1378973548424846,-0.06813027891146824,-0.19005200899255614,-0.23245125607147757,-0.09777110405460246,0.5961930515228383,0.0769550139023038,0.37183383101393935,-0.044527102808223744,-0.3137998508511797,0.17728453778849845,0.41116856725457473,0.034284471734759306,0.5945530712321313,-0.015227076415311031,0.33685193584753176,0.6171560839579261,-0.07799990255205974,-0.012992443385263489,-0.04174636527082204,-0.0812996551930592,-0.19106278750842853,-0.031689366893677705,-0.22991311516723695,-0.15037391917508264,-0.061281913061323835,-0.18765506811186147,-0.27130834800386133,-0.05053362532249179,0.8168812903874547,-0.34522654832650224,-0.14090036694382221,0.490139862434491,0.4910866378235934,0.0794906128733391,-0.3336886141521676,0.060036745888838186,-0.12740666940665396,-0.3538103001022618,0.13930455321033314,0.6639571592179777,0.016430895714589853,0.4601387576345452,0.06388979039792714,0.09622757605486777,0.15130241458766416,-0.06357924277252337,-0.09174572884823913,0.5085088364986173,-0.19717796065029247,0.513067082215742,0.01581387388458236,-0.29689864520107634,0.006602966715248652,0.09752195898627934,-0.08756310372106331,-0.029557076584259042,-0.21688739447075675,0.49137988597842536,0.1284179295613789,-0.1741255122119123,-0.046491647587214545,0.5145442228460358,-0.06785393101035726,0.12283747166116708,-0.17335489359564252,0.6995973262806685,0.06799364894328806,0.5228242190637687,-0.24593625469596161,-0.20943973534701452,0.4670277055318322,0.03685654752494728,-0.15579473863806673,0.34338452613839904,0.2847804789403468,-0.2256254217092379,0.29637458569158964,0.2897979849110326,-0.1908829863748431,0.4772797185306226,0.10928612617938066,0.12950982012479512,-0.14314380734347193,0.5805637821679374,0.10155574226865147,0.1739719335725424,0.36854386093666097,-0.18424185531838846,0.351026204983774,-0.29743509638426663,0.19317593382300619,0.36624235970675834,0.499894679588963,0.042851494503161815,0.5076275358327503,-0.5147123607725117,0.20621420645819857,0.10021690343081797
Temporal_Mid_L,0.09655759948346862,0.08317400786415619,0.13933177021091,-0.01753695667567073,0.3970934084936684,0.4658179427984895,1.0,-0.18872961473567976,-0.241574966214539,0.6566854928183419,0.15503339007543673,-0.012078621860697901,0.44863560104226147,0.4029388124995398,0.029928793184982455,0.15016162442668118,-0.20352376016859372,0.2549099375628745,-0.10712843338183572,0.09028435208096999,0.18663185290950773,-0.2771421285415738,-0.09733441820225941,0.31423638959942685,-0.19895908438302054,-0.466356423451999,0.0002263090425808593,-0.07748998309019661,0.1359196678204312,-0.0031596731053737935,0.16624930827415352,-0.051915442012280995,-0.08791734025398863,0.19792668449870246,0.03526464485128378,-0.28505953067962353,0.2539774754325709,-0.08245810343906936,0.02355107691354475,0.31401839118876246,0.0114096736120408,0.02483816111548397,0.46248797416716964,-0.1722913259047025,0.4500233845247486,-0.3183303315457082,-0.053459263251447585,-0.14718456705001548,-0.13046953444495943,0.29234166484824603,-0.23191050641843206,-0.06256236617125312,-0.058207550923355875,-0.09993161921362403,-0.21759598554693171,0.27481791066718275,-0.2605065351992392,0.40903589491688325,-0.04279449282666022,0.5361935695940497,0.18649845525974396,-0.2873167619073551,-0.28685105250092197,0.12211754076154917,-0.2265526674538232,-0.2614799224163468,0.0938059121157872,-0.14054178879393947,0.08947639822935097,0.3140827247811302,0.19604157897651628,0.12873388005382894,0.20172585798425757,-0.2596600341541387,0.34502320978586803,-0.1830316431461075,0.057100498993112314,-0.025638620983751415,-0.47465906635469823,-0.04046695382128018,0.2686536550073691,0.34770255945102735,0.18251249271690884,-0.1907478374360725,0.11749608249614982,0.11315747809623657,-0.12081511525786338,0.052473799464780466,0.16044867560787712,0.15907076253663618,-0.22859833235839702,0.16005053394761784,0.3301891663223005,-0.09156671919331258,0.6326468380458431,0.08882069748712637,-0.28617925922383375,0.07196161359988265,0.2991217426855804,0.11557078811640838,0.5274095330459447,-0.12010030661240535,-0.2672852139680492,-0.050693651292222947,0.7174863826570317,0.12243473772172613,0.5630048041015832,-0.14227187597469326,-0.10083172071260553,0.0031899055364646304,-0.11548853035232295,-0.33752700011452963,-0.07661310246342705,0.03929764988244109,-0.14331860643246735,0.3135322640589471,0.12168559673003548,-0.025626666248384947,-0.2070138979089568,0.273720163642771,-0.10804132542830731,0.46658580356580637,-0.26513127275824977,-0.14711399133964434,-0.054200906856522305
Parietal_Sup_R,-0.01681928414869687,-0.48848474609319054,0.23151719510303895,0.803936742035143,-0.515460621881907,0.0463896976411584,-0.18872961473567976,1.0,-0.18540429321920962,0.15276396866827033,0.03397923324697603,-0.10118156987300071,-0.28624753681392207,0.2209184681561333,0.17098703754616035,0.4616704028566463,0.10031379431482161,0.5660991627019292,-0.3138500206761203,-0.026918480404174883,-0.24608247853207935,-0.34861560891782156,-0.06856903749791182,-0.41848851034138074,0.659482655608725,0.29127946748918176,0.019528289262909202,0.00411247667341585,-0.38317934476114485,-0.47602981008738227,0.20822298458470864,0.00037542275098906405,0.2763536615491605,0.5764120924663947,0.25505295393933775,0.07811995698766107,-0.06805792932638381,-0.008800416150322834,0.30552928029663745,-0.07987238022845843,0.6453658965566578,-0.017441860186728896,-0.02259398776977906,0.5466049988693512,-0.004589752911215613,0.11969978526410566,0.48170326020483684,-0.04930918193880519,0.03828775901246745,-0.5306285318309982,0.04883100367527401,-0.01937150391585979,-0.43270559659933905,-0.24619715334673964,0.28821685912998546,0.19908116911205442,-0.15636242778713458,-0.3460735795243729,0.3974807160483332,-0.1483926261378438,-0.5579813226145369,0.13870144273010973,0.2962355322393884,-0.4642597972012479,-0.2544538465468424,0.30186366881879506,0.24621547910100552,0.34378106218194715,0.01634071723935663,-0.19040937568336286,-0.055038852651193404,-0.2590969590353436,-0.4374169968761946,-0.20662863773094353,0.0022708724153344983,0.07526392093686772,0.3332512546687752,-0.01293653061168664,0.17859474895331784,0.3211510171458852,0.05036037894366325,-0.556711264109389,-0.04659655463519192,0.05175341101671215,0.24360810177876133,-0.02966673733087543,0.43060701497767273,0.7201029898440638,-0.2177106627995559,-0.04858580008741727,0.4211560701354407,-0.5080277597768919,0.26415353652333173,-0.003512881455299387,-0.01660345640173142,-0.3891186317033498,0.3270886148630438,0.35734590144901884,-0.39796743233688253,-0.4787265652812976,-0.1306306494047437,0.5482992337630639,0.46463921262853836,0.18716635314383012,-0.32342206102557297,-0.2866871861084433,0.2092400026592399,0.5088014825613875,0.6877411999188008,-0.209380423149507,0.11932760976589439,0.5260304582109027,0.7959479147836765,0.2757421285079955,0.2551016148303227,0.5600844623342107,-0.4030807453638412,0.44165256000445396,0.440275278109672,0.5643079607318038,0.5939670764215331,0.484384803464127,-0.19847214713659928,0.5499367009837269,0.2763956057073266
Thal_VPL_R,0.5389537216789451,0.0832022714140198,-0.041259626647790544,-0.3605152070133968,0.27744670886379874,-0.1560610821596585,-0.241574966214539,-0.18540429321920962,1.0,-0.4985927257936064,-0.31201948869233126,0.5846358931412359,0.42716433690568634,-0.6631660490690816,0.4133546758662397,-0.16286041563568326,0.13939971002186197,-0.3063868181704209,0.596380565606613,0.275398161706166,0.34142125864009815,0.7558643802248576,0.3073397903662391,0.35824259939509046,-0.08573044542496056,0.18051529738411656,0.06933086053387526,0.5024930969022551,0.10924750752958236,0.3116261619508037,0.2753444164803899,0.23246436205979337,0.07771627623675001,-0.5071379734563158,0.1188980247268423,0.5777282762111327,0.44738435810021243,0.33415785328566155,0.2635330229482704,0.23080190219394256,-0.47300152720862554,0.3146811593409486,-0.4520066358244371,-0.08525818231584645,0.03476844054589218,0.533019763538117,-0.07833948928684331,0.4858363068083275,0.5141091345130093,0.4134289719645641,0.36586135242640133,0.6503456403944428,0.7456724081323604,0.5883998114545961,0.4863367509278366,-0.04005502755739401,0.5715453118400603,0.16364961475323084,0.036236663383991924,-0.33462890303156795,0.1384883276379193,0.28486691303476297,0.5524512344212118,-0.02316863319514774,0.5443522619441071,0.6439848040438779,-0.22974482240470218,0.3171757533065979,0.4851145466237848,0.024673416083265884,0.044393498107876725,0.30148116706697653,-0.11708614526126607,0.46996332768661975,-0.0008617991680901014,0.3402129729309879,0.04423230344581996,0.5976631441304386,0.27562957105030117,-0.3952835251528335,-0.4950466273205997,0.08758809217219099,0.6853826511741316,0.33859641680986535,0.22396858711565626,0.7420950166929048,0.25702865998627933,-0.2150350241730857,-0.2663232284359398,0.5402489055056279,0.06359570962524838,0.20169211093302616,-0.08089965302460864,0.5336634568554264,-0.23838774583426792,0.43552459330175425,0.26995404087244607,0.03778901282017844,0.46940399208010897,0.5929013569968843,0.029727002847146716,-0.12789586985317594,0.2825462641206906,0.45128243627779424,-0.13757114402650544,0.5102605457258461,-0.24945838078865443,-0.08181951982650457,-0.21137204631051643,0.3338497640475625,0.08867067052943137,0.15317032101760797,-0.0015233703333208636,-0.19682008212690644,0.4469709703278957,-0.45881624300194607,0.387373163331023,-0.29309778487047694,-0.045107590209699636,-0.26200116165835535,0.0017016000791465027,-0.5084367817306711,0.42144151785720774,-0.11180235829374499,-0.24761798750005956
Occipital_Inf_L,-0.036163339517713916,-0.18354219883524495,0.5109771527902011,0.3421402767836071,-0.21115080587729657,0.5579523513783015,0.6566854928183419,0.15276396866827033,-0.4985927257936064,1.0,0.5136557872692249,-0.2924312406977167,-0.0975348545941841,0.6271067193168361,0.0015325439109628812,0.5182238389128355,0.04757212274029034,0.506254179455185,-0.5114921954442253,-0.08177592406943136,-0.11507592456939657,-0.5182568190911075,-0.10493542459942638,-0.10299876956862926,-0.06086877536193578,-0.5006297651572363,0.15138706333564697,-0.05822457503452364,-0.17589103619136873,-0.3773264911749915,0.13027817496074487,0.08902648609414936,0.23752820947683467,0.559619073093288,0.154782486549716,-0.3669190044818251,-0.18230842594780727,-0.0012092958357124372,-0.03171004300845183,0.1929149335933709,0.33731649598654334,-0.18129634609554057,0.8325135239001213,-0.27660511150848993,0.38389516431543186,-0.36308250153394184,-0.23548243803601768,-0.34646161703139794,-0.42876287761201254,-0.19496861487782344,-0.16168383515762177,-0.3012185951969622,-0.4125556411302758,-0.3609993656726736,0.016562071971373157,0.5362160960039986,-0.4642300447978883,-0.08149060350048296,0.07493381817220537,0.6226716255959633,-0.03999109992590605,-0.3384176787855898,-0.23008995106604166,-0.0757782280627479,-0.5494135285470603,-0.28493168300473437,0.4986186849035843,0.04302822724654082,0.0010943912990617674,0.16374356239458393,0.11406910800956933,-0.06379627796655553,0.13114667828059956,-0.4760383413235803,0.4562692674157811,-0.4506916627012748,0.41178641290141316,-0.2873846955953017,-0.37472194455218505,0.33935773875307623,0.25397694624145567,-0.22374639372790173,-0.20602584022946532,-0.4366993425358479,0.18197222162179358,-0.14831735946797311,-0.030859707445623042,0.020971488115854177,0.18298325071614185,-0.22126512201520898,0.2248541232890679,-0.23735859136652132,0.5011330461893726,-0.08804006141049188,0.4201785740789507,-0.2652629203892631,-0.1734243327486183,0.2590249539603187,-0.180014570549551,-0.31516594321245284,0.22967875076281302,0.24400069708156918,-0.22515306369987115,-0.03254245384823704,0.6239288794776126,-0.3386704533658758,0.7458237216402366,-0.07244376331191814,0.3583770042982486,-0.2864323723000783,0.21811704753637093,-0.061934081859909694,0.04725697866119458,0.35622883114462145,-0.12947599317502345,0.6620784159366045,-0.24407004203850075,0.382179299447909,0.26088329037329694,0.5016447534192626,0.2784744627284744,0.7018277437963103,-0.4991821688738739,0.14153074027230708,0.26216167192836587
