,Cuneus_R,Precentral_L,Occipital_Sup_L,Raphe_M,ACC_pre_R,Heschl_R,Frontal_Inf_Tri_R,Rolandic_Oper_L,Temporal_Inf_L,Frontal_Sup_2_L,Frontal_Inf_Orb_2_R,Frontal_Mid_2_R,Postcentral_R,Supp_Motor_Area_R,SupraMarginal_R,OFCpost_L,Frontal_Inf_Orb_2_L,Occipital_Inf_L,Cerebellum_6_R,Thal_VPL_L,Red_N_R,Vermis_4_5,Thal_VL_L,Lingual_L,Rectus_R,Thal_VL_R,ACC_sub_R,Calcarine_R,Temporal_Sup_R,Hippocampus_L,Amygdala_R,Calcarine_L,Red_N_L,Thal_PuM_R,Fusiform_L,Thal_IL_R,Caudate_L,VTA_R,Cerebellum_4_5_R,Thal_AV_L,Cerebellum_Crus1_R,Temporal_Inf_R,Cerebellum_Crus1_L,Occipital_Sup_R,OFCant_L,Thal_LGN_L,Temporal_Mid_R,Occipital_Mid_R,Insula_L,SupraMarginal_L,Frontal_Inf_Tri_L,Putamen_L,Raphe_D,Supp_Motor_Area_L,ACC_pre_L,OFCant_R,Temporal_Pole_Mid_R,Paracentral_Lobule_L,Vermis_3,OFCmed_R,Frontal_Inf_Oper_L,Thal_LP_L,Putamen_R,Frontal_Sup_Medial_R,Cerebellum_3_L,Frontal_Inf_Oper_R,ACC_sup_R,Caudate_R,Cerebellum_4_5_L,Occipital_Mid_L,Angular_L,Cerebellum_Crus2_L,ParaHippocampal_R,Parietal_Inf_L,Thal_Re_L,Heschl_L,Cingulate_Post_L,Pallidum_R,Amygdala_L,Precuneus_L,Parietal_Inf_R,VTA_L,OFCmed_L,Precuneus_R,Cingulate_Post_R,Cingulate_Mid_L,Thal_PuL_L,Temporal_Pole_Sup_R,Thal_PuA_L,OFCpost_R,Vermis_6,ACC_sub_L,Cerebellum_Crus2_R,Cerebellum_9_L,Frontal_Med_Orb_R,Cerebellum_3_R,Thal_PuM_L,Paracentral_Lobule_R,Hippocampus_R,Temporal_Mid_L,Thal_MDm_R,Thal_LGN_R,Frontal_Mid_2_L,Insula_R,Olfactory_R,Vermis_8,Postcentral_L,Thal_PuI_L,SN_pc_L,Thal_MDl_R,Vermis_9,Vermis_7,Thal_VA_R,Angular_R,Cerebellum_9_R,Vermis_1_2,Fusiform_R,Thal_VPL_R,Thal_AV_R,ParaHippocampal_L
Cuneus_R,1.0,0.29353221723402506,0.7599394735396657,-0.06027275290766133,-0.11217071416976894,-0.05444089919666817,0.2972230543096321,0.35493224937279283,0.20460713557530993,0.17906696590691792,-0.36187216678123135,0.26120943657955187,0.41309998492023103,0.47883688673350805,0.40611218653627357,-0.24480659459990614,-0.2653366160087823,0.2621279367338681,0.36952998387322816,-0.4704084123605699,0.07752951933639643,0.41978055765932176,0.03608591718508441,0.5990227705301248,-0.08534924946739146,-0.13579724261363502,-0.4724060579119007,0.35599823052164736,0.4584489900558495,-0.20525275568781637,-0.37348133182879534,0.5583923927972154,-0.09770186723981775,-0.4230200248532294,0.38459970533851473,0.42625755581884056,0.2192810758312185,-0.22451466924422292,0.23283968872713912,0.1629996610493274,0.19855771531018054,0.040603724367951295,0.13804931438066226,0.8348762894818391,-0.3185462297242223,-0.028177591158367512,0.3156655596162596,0.7489425697982772,0.28647852394389284,0.41427686630134286,-0.0426782670813539,0.17969259396086187,-0.055772065143826675,0.30081728680532527,-0.3427696965039418,-0.22864741100025696,0.3998207091268602,0.3797216218762894,-0.03132046067932623,0.02834934154485934,0.2829469469218333,-0.5357800994283757,-0.199053952262521,0.27813771662175096,0.10497360079546739,0.4403241715953588,0.039242916532352165,0.027789891960924344,0.12978524288696816,0.6586129981066583,0.658904644853101,0.09257074878996908,-0.2589891357597681,0.5589847139752898,-0.25870452302561225,-0.11246788904906312,0.36377778613398065,-0.28473895714509306,0.06317676562442882,0.8347218361852636,0.6076651922260596,-0.19764968742087582,-0.30286728554232817,0.7225223511697022,0.15868415780543832,0.2744760980561001,-0.21560577623446678,0.10920764766664798,-0.6271036621708773,-0.08320145982496682,0.30686977213776134,-0.43035824354534263,0.1889236701667219,0.02018544186256502,-0.00891180451174557,-0.13874122375021217,-0.49791330915272525,0.5900174898414473,-0.25442995054735257,0.19529571396000436,0.0653364654710365,0.5049578654021771,0.13375347289850104,-0.161187270524255,-0.4345204971148348,0.5485595834563252,0.3968591339732617,-0.4490488579754817,-0.032157972571782656,0.45468485290891963,0.3015488570756647,0.008025962517000563,-0.013457304519149517,0.7610750133179907,0.48426284894666866,-0.11786199635446934,0.2182580162961969,0.004551473194537267,0.19122282900350632,-0.2911438913672002
Precentral_L,0.29353221723402506,1.0,0.19730246683864935,0.0626367511525031,-0.5536958869203411,0.14364568763686786,0.0960124547975496,0.45169199668180104,-0.10961786340796172,0.9252329160265802,-0.5198585197925675,-0.17759738871787772,-0.272646689446513,0.665232299141921,-0.41620535590443686,-0.7880098035348736,-0.6866554904469744,-0.008209274347779112,0.751755528138966,-0.23565186074455058,-0.09466539299238559,0.43253715895663425,0.018367721011776382,0.6740188978721521,-0.5468877412841738,0.23878727721315302,-0.7612870819065424,0.6401594769358269,0.3976682449501806,-0.6797714566557683,-0.5241248689575854,0.631393511221016,-0.061795616508189,-0.2605715579211217,-0.04057063225951961,0.4471763560360152,-0.19314050427787277,-0.5792873185840866,0.5374057262576154,0.44285025178683995,0.736560136408024,0.6299819499977148,0.41193781182117306,0.335132717066969,-0.8217544272205706,-0.15674517735703558,0.588319373954226,0.36900392533912846,-0.006406444758036044,0.9004623729319333,0.42105574410825497,0.06863062896373019,-0.35391031055123817,0.9167281864957898,-0.6220621938696851,-0.24448738988533358,0.8079721766037212,0.9553934536917505,-0.015588869615204911,-0.2605318792375389,0.5999433981907788,-0.08664171811689912,-0.09367216147984124,0.279420412840536,0.1165680069175655,0.12190966937659667,0.14399819318111434,-0.1783089043511106,0.06968793752147019,0.0819546162911997,0.7378288357974788,0.3887207575929548,-0.1767128418398716,0.8980270076786435,-0.46080756424267294,-0.08115985271000274,0.37876237762360054,-0.08982550662533065,-0.5347423282475365,0.6198386875903792,-0.33299326220257475,-0.43519826475493495,-0.6368549496247249,0.25442356044639675,0.31770128494289607,0.0746252129681089,0.06982152298710154,0.2943624734211752,-0.37463088465982813,-0.4095137621621199,0.6422334443071201,-0.6640839200411346,0.5004117476287959,0.3772776646298685,-0.32409560661179415,0.3211363801115719,-0.2845054333448493,0.5967200198756272,-0.22794816595537928,-0.2664018736261399,0.2580045051396872,0.5481323327735259,0.9541896738806721,-0.4443987406026041,-0.6210424128190858,0.702093119044307,0.9744847834102336,-0.5282399284959044,0.1941268943275241,0.5786394351735884,0.48322680774414195,0.5057663911825026,-0.019125626739224966,0.1400740386292593,0.5289544060256267,0.08358389347822938,0.6713509673800577,0.15504690104452337,0.2946320759751014,-0.5394954362192229
Occipital_Sup_L,0.7599394735396657,0.19730246683864935,1.0,-0.14434297063498863,-0.09186883599650325,-0.37850483897101245,0.14033359276889734,0.180660842124711,0.1399973135234743,-0.004841920670287029,-0.33680022156633915,0.1262686020143495,0.393444823253232,0.2597321675286888,0.38985969343431165,-0.15272041598346361,-0.15993723941116408,0.31121301243511823,0.11631633951812906,-0.5533735712655361,0.012781787567492351,0.05070033608372657,-0.1484469732638756,0.42263337570953075,-0.07606804489478541,-0.0911407474912631,-0.3634364179722374,0.06061797100353224,0.1089459517190436,-0.1446376834011277,-0.20275961350277466,0.27575557954792906,0.11138587024629219,-0.41756207733968087,0.32513730117017453,0.5540440928513735,0.0014505420484656377,-0.0849455694006917,-0.024847146052025,-0.01355154495487885,0.010593674862431492,-0.18164382142863997,0.026130866280880037,0.7680684224892251,-0.23413367609535018,-0.1715081610878738,0.08731754803947388,0.7109286567444176,0.04267493202570371,0.403455593762938,-0.04828680199597733,-0.12314838616947607,0.12490370845723651,0.10223442545189104,-0.26991594366637456,-0.24245616881888174,0.23007585602770572,0.2044470446202967,-0.13137980329960175,0.008226005911387209,0.2201870082388993,-0.5706433375682823,-0.4525076646672358,0.19819974855695283,-0.023558857712748096,0.22237890066761418,0.004028180553701929,0.17819114593147808,-0.16408574991916655,0.8559913940879885,0.708297804498276,0.08199674671906584,-0.34438481454861275,0.5273270220672898,-0.28103797777707573,-0.1872136993573076,0.2912616503979671,-0.4270039672061796,0.17684261934250897,0.7112416181490512,0.6176134018872025,-0.26271649390294316,-0.3688715231459009,0.5940061551208153,0.10728892889016889,0.055243271597279375,-0.1727196697891027,-0.06278726861521823,-0.692160937425915,-0.023711257196225265,0.04040902216014831,-0.3435222944847393,0.09488832617749698,-0.16939094981569183,-0.002667358189182226,-0.26158398813796047,-0.6412790203223847,0.4335028127024899,-0.25442349415070503,0.3532756453724643,0.007328276889734418,0.39069419363746444,-0.012046945017121145,-0.20109193217444843,-0.4343105664603364,0.38251549340750607,0.31553136814709204,-0.5950754241192744,-0.01757580717678095,0.28825995729404963,0.08292573238288926,-0.19069459852242723,0.08625864010216659,0.7147385506592846,0.43882651921655247,-0.28069474886179474,-0.055129124212766806,0.14444031003336608,-0.06713871996447662,-0.40449440239987094
Raphe_M,-0.06027275290766133,0.0626367511525031,-0.14434297063498863,1.0,-0.1142481979397727,0.4609754691923036,0.22937515246414586,0.3120444440693153,0.2476234670226785,0.2084088177843705,-0.09753253262663862,0.07762934342167291,-0.1942578022968826,0.10076205933790026,-0.16368141496187477,-0.15930705600762368,-0.26513747875998667,-0.00204943171170543,0.3023929092404187,-0.01785810399659697,0.30569731882525447,0.271953527217291,0.2150679512374111,0.1928106121102334,0.0012348397527786011,0.09046156464277715,-0.016054516337500577,0.45990222099353895,0.3852893709497547,-0.27457708611988374,-0.39104657059987175,0.43010317375733365,0.31039894096122944,-0.16067501557829456,0.1661792867874542,0.021042615108760026,0.09787177070729255,-0.267354425372885,0.3794348598317843,0.29342982619737584,0.32356419220131694,0.3256891170453537,0.510341405890374,0.0869200976455771,-0.19766301537557945,0.05794015476978247,0.3327734656469219,0.18482310080321768,0.2615667769089204,-0.08039608509276872,0.059289399593956765,0.268247159346329,-0.3776290026884797,0.11152241733237002,-0.01603168147946302,0.34704553871554933,0.21509490307771081,0.06608906923860126,0.22557497172079835,0.2302536474387861,0.115994984000691,-0.056780829483371154,0.15495844337770195,0.24963931018147595,0.27949828993928716,0.21013109962873747,0.004322668831834718,-0.40127931325768595,0.22838701025337008,-0.1212936850496225,-0.11712861712025972,0.2953930358993161,-0.1064675323923045,-0.0607396135282746,0.15702490748317455,0.23965011956215482,0.12979594342146966,0.26514361219851407,-0.07841094127220304,-0.1101337217051016,-0.21666193755319701,-0.3089372578316294,-0.0739700749150805,0.10636322430080782,-0.00420254845830661,0.1937409654724564,-0.160670842284415,0.091735688410605,0.0773770850150281,-0.3424387464309019,0.4317570514725069,-0.031875680790505734,0.10647713094445327,0.2965906561448221,0.20214049358390102,0.5797347717281128,0.2652438001538148,-0.11465860525987472,-0.2626437496615604,-0.15460649395580436,-0.1347342044463039,0.055298478453621173,0.1564459360448095,-0.20454092472065338,-0.0300223829450925,0.20438274645255497,0.008776511553279975,0.143054711358343,0.14868160770598304,0.00041043806371339936,0.31959316640220325,0.578166971371514,0.33372107147504854,0.07852056634544295,-0.03487639818104787,0.6130625008803741,0.28769410123159833,-0.35263159379759185,0.2650453838968315,0.18027046472110253
ACC_pre_R,-0.11217071416976894,-0.5536958869203411,-0.09186883599650325,-0.1142481979397727,1.0,-0.17200604690578383,0.3798665518068758,0.10523096785657415,0.40948155263815783,-0.47415612963287074,0.6505520811214243,0.7028905466370089,0.4899556117411342,-0.3574128683756459,0.3985693266022664,0.8363587466922143,0.7543611306781702,-0.04518610458125753,-0.5100849440542395,0.40338995527282356,0.0020098932706144974,-0.05796158557325748,0.40254356254484674,-0.5208349306583028,0.43282555078983875,0.2849379414421407,0.6840982525096934,-0.5261880085221845,-0.3776699880822685,0.7219318807308684,0.6403526264931313,-0.43004528688927984,-0.08489183769277879,0.36955297842332085,0.3036765501634871,-0.4325332963940692,0.28806598999299915,0.6819830660181034,-0.273772030828396,-0.11369462754751,-0.6478270033882281,-0.536953470026116,-0.4366856108501366,-0.31251359953875896,0.7720182352591596,0.48912359312409637,-0.5923853503225297,-0.46527719959879416,0.5061487272568016,-0.4899599519997823,0.25663507328454355,0.19732687382468608,0.4498598424537926,-0.6544305157439478,0.827266274351228,0.19415127553194922,-0.6340451812861057,-0.5672683774711645,0.3249329001976607,0.22306017979980747,0.0565052131508895,0.47251038056911726,0.3088534269250256,0.4001617917430093,0.18111482786682864,0.10655149128881908,-0.24996819036912307,0.6173882116929028,0.2733606581733767,-0.11737382035235613,-0.47076880521783876,-0.5440575959380946,0.3782905296473787,-0.5634340557422798,0.5767096217670239,0.45468652804585746,-0.03288362496656197,0.33913040937788436,0.6411620531129988,-0.22230319638653007,0.27411425304302917,0.6247904581866794,0.6562383194989478,0.09324712115671134,0.1989126368029694,0.3479707327569682,0.11397063567832516,-0.08467626865171791,0.4602434931969785,0.7167218054390998,-0.4912581682829562,0.707306776996727,-0.6735146651364408,-0.16962855945582792,0.4337271655802183,-0.17153483499575262,0.29434595524056867,-0.24980018612125596,0.5267826197609216,0.41370554101652635,0.004363798624528418,-0.4253908596797838,-0.5189439880526929,0.760004223639116,0.6651506133355215,-0.5534398553049451,-0.5893881401895148,0.5428255636856317,0.0022334553980176077,-0.31779551631090686,-0.2650197995157658,-0.30182743692680103,-0.0581903816757121,-0.14400249790516598,-0.31213423914895616,0.021930499709285865,-0.46203914226249043,0.23330458780413213,0.09728480256120889,0.6766432130027634
Heschl_R,-0.05444089919666817,0.14364568763686786,-0.37850483897101245,0.4609754691923036,-0.17200604690578383,1.0,0.12419630390243575,0.19144113828487946,-0.2230145855965527,0.3183176448750592,0.04685887941945039,0.03902609011152515,-0.29379740903836976,0.17590269986031637,-0.18417055306278027,-0.22230982906800206,-0.43891311169752745,-0.3951543477925698,0.4474905942024098,0.16516610180717026,0.35490313198912316,0.4213013016015566,0.1692867237680637,0.13976628452961604,-0.2024251083507867,0.08843022180027595,-0.044472512940813086,0.5478834281376027,0.7386844148530978,-0.35811444959794175,-0.36489426505482664,0.3365552360764887,0.05396364016350398,-0.006158938493060847,-0.24314258624531396,-0.03156622913303102,0.3433968679263183,-0.3157261454866292,0.5663759534310413,0.29349820669402565,0.4374716746373237,0.6428851413931219,0.20164999638295572,-0.06934534917023223,-0.1885378212676085,-0.0397098983010652,0.6008583101585773,0.05213929584100656,0.1181813612163844,-0.0917144516334633,-0.1914811003725294,0.5354367236311672,-0.5284420300461756,0.26332513140739006,-0.08084151180368203,0.13116958139873788,0.2945119696697866,0.21861887922686035,0.27355884452702645,0.039471168647437195,-0.17380243389222272,0.0187820616788883,0.49571709786525275,0.10577143684930507,0.3896474645472298,0.23734044947033042,0.13449808746237368,-0.4353476102210089,0.35325585131798043,-0.4888534680780646,-0.1910109792113065,0.027500721040157803,0.2224508464818057,-0.028760943143355144,0.14452742358030785,-0.030367412345098276,0.20710946429250243,0.6124359733077493,-0.48834823380638537,-0.08542487773708796,-0.41655337233149714,-0.17433493830984162,0.18769242825831262,0.09230430045927149,0.16757864147890397,0.11498819857279154,-0.06494035814335199,0.5394797195435846,0.24762356786665904,-0.32878568968428756,0.5267964073906742,-0.006634508009733168,0.05833269501543689,0.5900971326119133,0.251304594464511,0.6696921958448472,0.480301279208618,-0.09229542085668228,-0.01069885499586268,-0.6419502580964795,0.07930513345974213,0.15566823552267706,0.23988034161937785,-0.17076284636768765,0.05631467336857136,0.19770789574990488,0.1098081176534807,0.2520158903174342,0.23117949009866032,0.14841871384906066,0.5002619221402834,0.5745196559547774,0.21994740167087945,-0.01627650324922265,0.027783913172442352,0.5730215281739772,0.5460216757755874,-0.3915888540337467,0.41747484469904145,0.18008725453210042
Frontal_Inf_Tri_R,0.2972230543096321,0.0960124547975496,0.14033359276889734,0.22937515246414586,0.3798665518068758,0.12419630390243575,1.0,0.7137160139103136,0.5368670477149599,0.17615631286971403,0.12926983894192376,0.7388898272047849,0.5672832730936906,0.3910052322585919,0.3939334436603114,0.2554668649579037,0.14126730554332717,-0.22381040422000126,0.08910552255912312,0.3074258708628028,0.41174455654089875,0.5179341448271767,0.5269514349975607,-0.06429073041984341,0.22458672077942585,0.47260570540222346,0.08328755520245533,0.08563834375509527,0.2448523579113214,0.1898572996962554,0.06031275217650979,0.2225286136810889,0.20932138767659864,0.1706920836064717,0.5377684211819042,0.0010170192772083451,0.3581495027771949,0.31140882587930746,0.31119133596037357,0.4679891239087426,-0.15584812465788483,-0.11533752519181457,-0.09403557725224874,0.13892578357734847,0.15321171718619783,0.17826943311308166,-0.09450310500392546,0.00784687054625969,0.6423889603609149,0.04238718220404809,0.4810199735836334,0.5482997066924907,0.017372348514447154,0.06334597595148872,0.22640448697224463,0.33171202784020287,-0.10095452913574214,0.14832203142654815,0.6246403503843689,0.3117568246029809,0.5656263850382315,0.3121806428109071,0.3655778587886504,0.5741846138075611,0.518894154770361,0.7722409404855135,0.12445370113756234,0.24085645580139178,0.53901036087452,-0.01322851494139547,0.023779000507892913,-0.32967026689749745,0.2966465331724498,0.0330849365057101,0.1586036839756872,0.4515044752805468,0.4711530340278608,0.3019915837992091,0.25575864588912295,0.34642290003313436,0.2896493870738533,0.14763346115999476,0.18263988594172426,0.6160706263349173,0.4496180711576686,0.6012439593226024,0.1894022674907792,-0.05348894145381985,0.21049089075163,0.18622726367967438,0.10684091319244124,0.21358323565655374,-0.4448606983725782,0.3238657869356738,0.19158040446282204,0.2975905415820425,0.2541176114464735,0.38190664768460103,0.13793918345203726,0.2333192831452784,-0.07654123775707754,0.0023251173441174488,0.12012384340711607,0.3779823464960703,0.12364044954234925,0.006093928729120352,0.056080521867770364,0.16073659933288753,0.3578434659320869,0.1323729279204105,0.3051134181989882,0.2035095957991724,0.11920669580871317,0.26766545974160955,0.18856713604156167,0.3607934926790932,0.015451521206205698,-0.017614074059584452,0.5130753900738185,0.3702380493845972
Rolandic_Oper_L,0.35493224937279283,0.45169199668180104,0.180660842124711,0.3120444440693153,0.10523096785657415,0.19144113828487946,0.7137160139103136,1.0,0.43254555503536557,0.4693105039459679,-0.07890416811228106,0.4499539937897736,0.32305762463523574,0.539595013235878,0.005768533091625073,-0.10198526264854473,-0.062217335009782514,0.05511707386715636,0.28165332585994257,0.22771187137843013,0.3704905581930354,0.6095202696169355,0.530520454542163,0.24525658124504582,0.18221504964519047,0.2703801940050032,-0.2569192414450597,0.37506867112029274,0.36525264008712677,-0.02881279711477469,-0.2024586070853401,0.4834269659264991,0.05340583285559877,0.026595855831637833,0.5749660255426148,0.00847075546198884,0.22187430413313428,0.04874952049167898,0.34665910258575955,0.5009846453783645,0.1015598131378388,0.06269551345929376,0.09446020120587895,0.1400970064553608,-0.1902402435527689,0.1367393314218943,0.06593432497498102,0.06593566734842381,0.5813411029010052,0.43686981876080905,0.6191936415000087,0.4541204219997073,-0.18540375492769742,0.3916678946139526,-0.08241847869216368,0.31612156628026084,0.18835235550961724,0.4601533448567129,0.3853201174505293,0.38001495962774984,0.794835765240746,0.28960353037064435,0.2150888813073247,0.5316157795770073,0.37521182807362236,0.5727009403485618,0.18074579695590504,-0.058611740368320855,0.3850719880435328,0.09031363046466437,0.3176295039430274,-0.16824141026342324,0.046657125373599485,0.35421928695874355,-0.0037071714896015732,0.46990142958098724,0.4644022256243611,0.09014669770397858,0.08864902935186102,0.4609772135984671,0.045695392860193154,-0.02207752108625957,-0.20485004432806617,0.5247367710859271,0.4395920689847989,0.5072108644351522,0.3739341513428005,0.004641442393567755,0.07471275254625807,0.0208159055144643,0.36088250611868267,-0.10042967093054253,-0.11068262961376367,0.26899512418040705,-0.03731647220575141,0.26061932852300385,0.1790887730195413,0.5256051476411866,-0.07175243729182411,0.25121785200073327,-0.13919645419107332,0.11441415085313733,0.46612724539922284,0.1902042631855531,-0.09827081931438397,0.22911077226933593,0.4234190452500587,-0.013544192778550145,0.2379245426690879,0.1956876571334643,0.37988537295542557,0.2987021491973603,0.11972045804818574,0.11140019210114914,0.2215908217224087,0.2323040407163026,0.17986869212265258,-0.10945799116428034,0.4923026530264633,0.08876630392308821
Temporal_Inf_L,0.20460713557530993,-0.10961786340796172,0.1399973135234743,0.2476234670226785,0.40948155263815783,-0.2230145855965527,0.5368670477149599,0.43254555503536557,1.0,0.007256764371332105,0.016745038647951006,0.5847323946239678,0.4043063945410245,0.1597656054227189,0.25665432306617586,0.3085835282504614,0.35963170937019445,0.3658572832238696,-0.012620623696300185,0.12437522825387941,-0.0015608597159525019,0.31080342636734526,0.5736989634336598,-0.00047019970195315216,0.2504770292286538,0.2383341704727176,0.10632204009229128,0.002553252943410176,-0.11232096812336421,0.38347785089548586,0.15430080067157917,0.2265416531353296,-0.1025252214415746,-0.05505830363430101,0.8036365606509782,-0.1834651385522399,0.2216878242733351,0.3405687845227395,0.058017534882990496,0.25750679833721785,-0.16262115764631,-0.2856443232120472,0.2631592519634057,0.056968102152292296,0.2323179192622576,0.5176343828984891,-0.25840561522808586,-0.034908641137151704,0.5928953630554199,-0.04370709840345692,0.44417401456056577,0.19513733694172372,0.16887380625902726,-0.12583457587023325,0.23361863937201355,0.2404202297081468,-0.13824614042713707,-0.11140652207251706,0.335945453526803,0.2078557695396422,0.4886665232263281,0.3106165204890288,0.1483780619855217,0.46455914664492437,0.18229280239618945,0.42566532745635877,-0.11475729572006954,0.26827146869717555,0.3926562056678354,0.19756975812259842,-0.01743083130129809,-0.10361688260741934,0.09029458150592924,-0.09801149989486467,0.28852213712827185,0.576995947978834,0.24539084439805672,0.01940436315608193,0.5694878193010128,0.15245020716100394,0.3146863422388644,0.264661706100479,0.11633999632705908,0.3216800410656462,0.274343904577629,0.6115732016545179,0.07730793397367339,-0.19609261893883642,0.08980577168125085,0.3048954353774971,-0.05091413084937941,0.12043947049386891,-0.16477787504421174,0.008215248206182562,0.09077800720566909,0.04624118775393254,0.08325214596494389,0.16145485384432898,0.12146945783810403,0.5851831263074585,-0.03089434802504597,-0.14911336734566474,-0.049188891550449726,0.39459975061032343,0.14421370907650355,-0.026530173867174833,-0.1565368312137556,0.2188552512758743,-0.03170144422476871,0.05525133196465435,0.03911665834179395,0.18914468513692184,-0.1180452332813664,0.14683781942306529,-0.07550073325058039,0.13590473515282955,-0.09633170231327014,0.21955753254369684,0.38809898840246004,0.4468123957312715
Frontal_Sup_2_L,0.17906696590691792,0.9252329160265802,-0.004841920670287029,0.2084088177843705,-0.47415612963287074,0.3183176448750592,0.17615631286971403,0.4693105039459679,0.007256764371332105,1.0,-0.4795493071053516,-0.09328077845859481,-0.2908447344079017,0.707339595945726,-0.3994871306551265,-0.71780283111185,-0.6813350860314455,-0.10871623549051068,0.8331819778541641,-0.11506828726614393,-0.07978283575561404,0.5356968954365976,0.15410700503895772,0.6195535567774672,-0.5528417606757616,0.36770173842764936,-0.6858644771199952,0.7216798046947578,0.4717412054258498,-0.6699020043058255,-0.5102808738306515,0.6731591059004064,-0.07779097702557586,-0.20169791767595058,-0.037298295079406255,0.35576274489993925,-0.07755146717885532,-0.5628659073756684,0.6742813060875971,0.5929369153403353,0.7991800686785115,0.7269048764342334,0.5253222779361557,0.22345235136609926,-0.7483421369599091,-0.01600238417850452,0.652947350215839,0.2841942473522397,0.11427890333432546,0.7228060441917213,0.43888298895384836,0.20937826702311843,-0.42677622040842894,0.9150815661465874,-0.5382708635629793,-0.18177935850663252,0.7971962484973311,0.899512082816198,0.13698781106097194,-0.2661890998091637,0.5618495167893466,0.030190433955301403,0.12361698839952488,0.36644607381298605,0.2256805392421962,0.14900204985395465,0.18959678876181324,-0.20389963460505608,0.2687574947646653,-0.148969443567704,0.5201955573736557,0.4100579783133319,-0.058711395237258164,0.7300499665043756,-0.3218296396461854,0.01960990044635148,0.4297161661354881,0.1144224587621763,-0.5503268055923314,0.480469530069617,-0.41672075025491123,-0.36820955402146205,-0.47241729047751196,0.26314455007365944,0.4292937408982829,0.18090475791760172,0.01780445037682813,0.3013913115250421,-0.20299349455222251,-0.4240038899613483,0.7301492844265033,-0.5723024949166863,0.4694932894153797,0.5163895574342148,-0.2698662418316413,0.503038865218281,-0.0876304758217561,0.5197977960134215,-0.16854713855552783,-0.38538807865225727,0.34445367060005566,0.5265670931963913,0.9648262483555288,-0.41215542647756775,-0.5440801889767706,0.6772063850674356,0.8486420314478795,-0.3170384280227954,0.24848216168862983,0.6148529299680265,0.5410033994952196,0.6960399199184015,0.007039409660853931,0.10236789959325605,0.4522137303189173,0.27617595690899716,0.7742970760599539,0.11207265681713816,0.46840066468986996,-0.32087651451778454
