,Temporal_Pole_Sup_R,Cingulate_Mid_L,Postcentral_L,Heschl_L,Thal_PuM_R,Rolandic_Oper_R,Vermis_7,Occipital_Sup_R,OFClat_R,Cuneus_L
Temporal_Pole_Sup_R,1.0,-0.33505860205735993,-0.3479433304322129,0.4621445997994909,-0.26763834194819663,-0.044773082729540024,0.5135454187953147,0.10573987380168834,0.017864921979152317,0.2706984122623573
Cingulate_Mid_L,-0.33505860205735993,1.0,0.8261524374692801,-0.003448134742490087,0.6206860732350213,0.6839885889920453,-0.31017441039151283,0.6280103242295736,0.4843469730075038,0.2291499623808484
Postcentral_L,-0.3479433304322129,0.8261524374692801,1.0,-0.0948141074959897,0.5949485678712774,0.5056105020481174,-0.362271352027078,0.6440206351981382,0.6122349620590681,0.1989805379806359
Heschl_L,0.4621445997994909,-0.003448134742490087,-0.0948141074959897,1.0,-0.016952039878618035,0.2544026683316126,0.26307335445795416,0.14668210177948948,0.0938847106911335,-0.020979571643151142
Thal_PuM_R,-0.26763834194819663,0.6206860732350213,0.5949485678712774,-0.016952039878618035,1.0,0.49856883393890217,-0.19055911940781392,0.3662110226077895,0.3269433765652573,0.17844456225723074
Rolandic_Oper_R,-0.044773082729540024,0.6839885889920453,0.5056105020481174,0.2544026683316126,0.49856883393890217,1.0,-0.11620889948660534,0.40997027898541344,0.46379042426479633,0.13887881836788166
Vermis_7,0.5135454187953147,-0.31017441039151283,-0.362271352027078,0.26307335445795416,-0.19055911940781392,-0.11620889948660534,1.0,0.01890741534833458,-0.36104999580621505,0.2710284819764149
Occipital_Sup_R,0.10573987380168834,0.6280103242295736,0.6440206351981382,0.14668210177948948,0.3662110226077895,0.40997027898541344,0.01890741534833458,1.0,0.3128665617746465,0.67814559369158
OFClat_R,0.017864921979152317,0.4843469730075038,0.6122349620590681,0.0938847106911335,0.3269433765652573,0.46379042426479633,-0.36104999580621505,0.3128665617746465,1.0,-0.04346473110062575
Cuneus_L,0.2706984122623573,0.2291499623808484,0.1989805379806359,-0.020979571643151142,0.17844456225723074,0.13887881836788166,0.2710284819764149,0.67814559369158,-0.04346473110062575,1.0
