,Caudate_R,OFCpost_L,Cerebellum_7b_R,Thal_Re_L,Parietal_Sup_L,Occipital_Inf_R,Cerebellum_6_R,ACC_sub_R,Hippocampus_R,Parietal_Sup_R,LC_L,Cerebellum_8_R,Calcarine_R,Temporal_Pole_Sup_R,Thal_PuM_L,Cerebellum_Crus2_L,Paracentral_Lobule_R,Cuneus_L,Thal_MDl_L,Thal_VL_L,Temporal_Sup_R,Temporal_Mid_R,Vermis_10,Temporal_Pole_Mid_R,Vermis_6,Thal_VL_R,Lingual_L,Cerebellum_3_R,Occipital_Mid_L,Pallidum_L,Lingual_R,SN_pr_R,Frontal_Med_Orb_L,Insula_L,Cerebellum_Crus1_L,OFClat_R,Olfactory_L,Pallidum_R,Heschl_R,Frontal_Inf_Orb_2_L,Precuneus_L,Thal_PuM_R,Red_N_L,Putamen_L,Thal_MGN_R,Occipital_Sup_L,ACC_sub_L,Thal_VA_L,Putamen_R,Cingulate_Post_R,Temporal_Inf_R,Thal_VPL_R,Fusiform_L,Cerebellum_Crus2_R,OFCant_R,Cerebellum_8_L,Vermis_1_2,Temporal_Sup_L,SN_pc_L,Cerebellum_3_L,Postcentral_L,Temporal_Inf_L,Thal_PuL_L,Rectus_L,Hippocampus_L
Caudate_R,1.0,0.5150150949754423,-0.29302651835077864,0.2727316161186742,-0.14522960712272295,-0.18042618976385597,-0.30089495153670465,0.19758148898748504,0.7969272394298498,-0.09168139816976727,-0.024989941213745027,0.16865883815109495,-0.14738234907567374,-0.19878097923466118,0.35952991344297547,-0.2473975168153222,0.4437305177961234,-0.28341108480548854,0.6472414941979431,0.5824739569302076,0.26468745898643914,0.10465844696023961,0.0965123235818063,-0.10694268315026631,0.6240774890257855,0.5704247191876883,-0.036801687894631036,0.38259157151584594,-0.43216856584338625,0.7497842921893874,-0.07550362410693598,0.618594761244598,-0.14556298350158717,0.6425256135366676,-0.2920980092910525,0.41301123924437855,-0.0031015730818605074,0.5738764959896857,0.5613392741797208,0.636375849018497,0.202495430478171,0.13175576839751046,0.08696622415657906,0.6872850060595794,0.34198445714071096,-0.5212818163080654,-0.13046219827368788,0.4235790484804102,0.7626392731437381,0.32965373736955284,-0.19099450429347212,0.5468853165336549,0.3131081717020162,0.023355991149235783,0.11821902585333854,-0.15032348933838452,-0.09843603404273954,0.45638129913888376,0.3345756146940849,0.021594572426435237,0.5205035271588195,0.07186183102702548,0.021589797748770952,-0.014960029655494823,0.7652507118992858
OFCpost_L,0.5150150949754423,1.0,-0.5327974620337144,-0.028205070093957625,-0.2032074968008497,-0.05573925630150594,0.03768957675982943,0.24496216761599945,0.44020428039262616,-0.12951665821925426,0.2984844052357167,-0.041792566827422384,-0.030798111875290867,0.10796365820353397,0.3258759255046761,-0.1817762585885839,0.3241192486816431,-0.07045447088816595,0.2585944919616617,0.3295248965286073,0.2559865624905672,0.2764216965332691,-0.07089065189253917,-0.02587574085251458,0.2035346862184506,0.4517344519463319,0.20201911790414062,0.24833358076112044,-0.14325662409813966,0.6443323917037607,0.12557923067439938,0.18821189233173494,-0.04241631675754861,0.7411782157222843,-0.23901016476471904,0.5724175769387098,-0.12562014971919466,0.4379713685715069,0.47131211741018525,0.8100696714550394,0.08026906054032126,0.05530194828676142,0.07788235018686376,0.6455835105366793,0.2904707208125044,-0.3043041180061745,0.03162831991099737,0.1728513120174564,0.6114255160868548,0.19687128178875413,-0.003390544611879053,0.2844181526387769,0.42507486268840955,0.19807885518966475,0.01949940474762886,0.034754341962873574,0.15690475987225638,0.48594640850357007,0.20124363110049936,0.12673147098862317,0.20768492906663172,0.2146621401609426,-0.11847311419517594,-0.23465782948152625,0.4320165142924249
Cerebellum_7b_R,-0.29302651835077864,-0.5327974620337144,1.0,-0.15767153984895027,0.3955410440297382,0.02124420788647281,0.209756812849369,-0.22287035693362744,-0.2648341580947428,0.24942102004304567,-0.030756107198638992,0.12875597047615592,0.12529395619895178,0.16778886497015522,-0.029158051020368995,0.4315513756217377,-0.0998986431914305,0.14368434787454884,-0.16986818728720085,0.09752291634338431,0.013557010490471581,0.02409456328405313,-0.09529696853981107,0.03380016332885127,-0.3291256256071077,-0.10504672023609862,0.2006192379642227,-0.17654482949687667,0.27614739628166146,-0.328791723755934,0.2563350031107643,-0.12824960953042092,-0.04433042537595908,-0.319963608303031,0.36623150009138206,-0.27287746533746005,0.0810912026983003,-0.12825767367220914,-0.3472175527827865,-0.3692064452289406,0.12302169539217471,-0.02041351318456921,0.29554493139549987,-0.17254196736937336,-0.05029509802374291,0.3498655870775073,0.04289263011300658,0.030465397547296564,-0.23721115164078518,0.03274619974289127,0.320862818040533,-0.10529160043905399,0.065515966374953,0.08006128497601242,0.017742257175015316,0.20053836222204502,0.22162762279230122,0.03679437139918865,-0.17071124522071138,0.2969546690024766,0.14596905332024077,0.2596526472815112,0.20971691250043756,0.23530498619147916,-0.11856188721715057
Thal_Re_L,0.2727316161186742,-0.028205070093957625,-0.15767153984895027,1.0,0.08433632515225628,-0.014416870984678958,-0.24745049055339363,0.046413302236992804,0.3387295139204734,0.12125133132356401,-0.2589642785371008,0.09209310623696676,0.023777151219314858,-0.1698772328492961,-0.08133119939136259,-0.15169014206520356,0.15448716019612035,-0.00421961679114279,0.21554345167015737,-0.014272857416563119,0.08206028313357548,-0.08087476891770624,0.136072972603075,-0.11747328957141959,0.37807153640617425,0.0035390956399522907,-0.21751253285252342,0.20951134321214232,-0.15649083813348444,0.1340841868425475,-0.1602501822394674,0.24430492852092048,-0.03051068304835299,-0.03211766480062984,-0.28062637786796235,0.07455165392090396,0.09646672281236114,0.13085750655284395,0.21997784554925243,0.07668887295455999,0.2159308322895458,0.012305499170950638,-0.07700831289669705,0.032174987777728536,-0.037456472626312944,-0.12982708353194097,-0.08296304183927554,0.05673717503773132,0.19117978298706273,0.12274931469466187,-0.26824396546883056,0.23604935803540897,-0.10013758426213319,-0.013434942686739107,0.035291096944294637,-0.18549791156900985,-0.38673833707768596,-0.060930983439936894,0.03246565628567329,-0.21612796278723703,0.14050580347606037,-0.3424761779971336,0.12888173526192773,-0.15772784497357464,0.2391414350351878
Parietal_Sup_L,-0.14522960712272295,-0.2032074968008497,0.3955410440297382,0.08433632515225628,1.0,0.31592293933140475,0.3423775955936808,-0.15750100652677443,0.037707764700836095,0.9100251330372922,-0.21322940725666764,0.3270111339446153,0.42931900417359226,0.24185806513592198,0.2531936793885263,0.39133775190697784,0.3952559561276987,0.5352946148906278,-0.06465949840474634,0.2256416976723047,0.5251560445911069,0.4943496104459095,-0.10151780875288512,-0.23801957129515844,-0.3920611046610679,0.008490483676578831,0.3723706475590048,0.2490570818108749,0.6111733735872255,-0.2796557881050077,0.5462715783703533,-0.08917121455593226,0.03290565641518637,-0.17360328970055744,0.21711649435333347,0.011823918847494265,0.07097035541726524,-0.040056563741066184,-0.031537146066971854,-0.15960528307371677,0.7344282688667528,0.174018107717016,0.2853701881802194,-0.136352400375839,0.09319657672754468,0.6140483015205449,-0.1081017755058243,-0.031206363081140064,0.0007143621701232866,0.39048677862496123,0.19514525681117179,0.270866282294943,0.3503306193226728,0.28453506637380804,-0.01470937130815663,0.3198834999213148,0.05926776610189954,0.1862419639516455,-0.1201586290137617,0.44319516067153086,0.41460339984835964,0.2301650055766903,0.6409071784164054,0.15455107463221332,0.1454836914592589
Occipital_Inf_R,-0.18042618976385597,-0.05573925630150594,0.02124420788647281,-0.014416870984678958,0.31592293933140475,1.0,-0.015923876760444933,-0.028131095529755058,-0.08049187611981556,0.3438098803297413,0.0544633179345233,0.042428644613020525,-0.04996997302972444,0.008189543828064319,-0.017100025269753474,0.31566566609809243,-0.09551731645121637,0.00024411991776187209,0.07206148568140372,0.11872192713598571,0.24467682458473403,0.2468055092846115,-0.19078521710655574,-0.4274207350524061,-0.3103039840943613,0.17378582425435715,0.08978526630203215,-0.23875705130104155,0.11036279794092857,-0.16446519033580143,0.20714825267596093,-0.19922475304858575,0.33906902177857307,-0.23436831227285207,0.2069120731300429,0.057571993865468296,0.014608721361416561,-0.24967407366956515,-0.14577494988153725,-0.19111292103951158,0.01639220304653529,-0.30344851313547133,0.11923125509250582,-0.22381756796131771,-0.02117237278252649,0.21763728217883824,0.08507108902067861,-0.4177638857917931,-0.03998487220957331,-0.1293425738495594,0.08442665010248958,-0.20200393525535554,0.1353765399749536,-0.1617739289299604,-0.17577387841570488,0.03045807237901163,-0.07222727478027101,-0.21235530732584046,-0.27908412125978277,0.18362609978098457,-0.19700867455162507,0.08120273574918396,0.26107135700955225,0.022359138033566095,-0.11606796860776272
Cerebellum_6_R,-0.30089495153670465,0.03768957675982943,0.209756812849369,-0.24745049055339363,0.3423775955936808,-0.015923876760444933,1.0,-0.09266315816749846,-0.38217070903707234,0.24174485328089007,0.3626719626444403,0.10702266978858223,0.7169354526847367,0.7858738439250966,0.1419215015609767,0.5237799713805361,-0.01998189991889467,0.5302910627545505,-0.4192219000021319,-0.0728851280122559,0.27169608592866995,0.4072999182512091,-0.3064144691906608,0.19208367052734657,-0.7029592243945554,-0.1784863153118478,0.6471555801862326,0.05441702317844493,0.5739055365829552,-0.3553470383586326,0.6384036597312018,-0.3270228067011365,0.06845484877179664,0.0814374934783031,0.47173674546962163,0.18627622721996054,-0.2018722562870222,-0.11357031004483692,-0.025242438206967463,0.09321308010074801,0.29558765462224473,0.26762531909335047,0.20291166864137755,-0.19388980975363299,0.14416655524433897,0.6293123675226595,-0.0760729949305401,-0.17967766469644061,-0.17663684474591293,0.409933232982381,0.2689359364201297,0.14970488247452776,0.23414982563370346,0.4745479581639747,-0.11855435359620446,0.6192410759774806,0.4259666957389525,0.06594098911990495,0.00906207091182804,0.6035566395897958,0.08042002786828939,0.35669582094048474,0.042267264828294314,-0.02494602588809311,-0.2010522893286311
ACC_sub_R,0.19758148898748504,0.24496216761599945,-0.22287035693362744,0.046413302236992804,-0.15750100652677443,-0.028131095529755058,-0.09266315816749846,1.0,0.19037144795418112,-0.13945389619909726,0.10487387105749599,-0.028598295073372467,-0.0952585824163308,-0.12496388147275325,0.06913373416018798,-0.16138497606102278,0.05939476128824007,-0.0863673146336286,0.039332886123085116,0.009691472962725614,-0.04501317935583024,-0.006021810959448785,0.08583122430036116,0.11709646074398204,0.1471402328371593,0.06394056487600247,-0.024491149786710718,0.13736701036117757,-0.12541039182428712,0.2351238253397121,-0.08785420821624466,0.11563521791501052,-0.07116100446041856,0.237242034743141,-0.050603836955290714,0.08973322635221773,-0.0946425549331027,0.1544209161470794,0.11589336711740335,0.19123535513383064,-0.045396649717301264,0.08751260525617713,-0.14026959876692577,0.2025589990068327,0.0426815562548673,-0.18472967424772457,-0.16292408298900943,0.18447846196222836,0.1971218201454805,-0.06658068246207127,-0.16478229674150868,0.04160652662968167,0.09669298896625808,-0.01604474177264111,-0.09203619173315297,-0.0185252969282972,-0.016349252088554905,0.12900202463946558,0.16811602206449222,-0.0500168223542554,0.06033634024005294,0.0031530632524917517,-0.12065753426261597,-0.18676320995466592,0.1383303500817257
Hippocampus_R,0.7969272394298498,0.44020428039262616,-0.2648341580947428,0.3387295139204734,0.037707764700836095,-0.08049187611981556,-0.38217070903707234,0.19037144795418112,1.0,0.07471355992160694,0.003944431437795951,0.07560507684477091,-0.12883898883076028,-0.38621758185446947,0.5165344779080326,-0.3533132123707175,0.7119686615675413,-0.2415428994312354,0.6034836124220085,0.56910886727013,0.4632109355531611,0.310629100593406,0.13506686046724573,-0.1700178539921813,0.5976068510035842,0.5157856777081716,0.14585957155628537,0.4407987438906367,-0.33947173440157535,0.7750306511668992,0.07965512457237187,0.615933054627399,-0.027029030686310403,0.5588934522312009,-0.2744838231179799,0.24157520546218134,-0.022191647555990533,0.5554702373922092,0.48983799237389686,0.5225172455910176,0.44676496259934595,0.1045896506955314,0.07211923825728365,0.6238446554136307,0.4273051024521685,-0.5116130156979434,-0.09365128147253052,0.401609361628251,0.7376872646637447,0.4056949100912117,-0.21025543932569754,0.5343408161115132,0.5214526243235804,-0.03206777940934845,0.11377598068497852,-0.289036214542443,-0.0429866423436618,0.5510657180384387,0.2499259565370437,0.07839496995649273,0.6452799727045975,0.14195493184712799,0.28824917519331267,-0.12487059127083004,0.9108569729072993
Parietal_Sup_R,-0.09168139816976727,-0.12951665821925426,0.24942102004304567,0.12125133132356401,0.9100251330372922,0.3438098803297413,0.24174485328089007,-0.13945389619909726,0.07471355992160694,1.0,-0.3093049427987187,0.47161264591977975,0.30982937676869166,0.19088428336514046,0.23621550927398352,0.35270695642505645,0.43504747022818485,0.5159065926184679,0.024383738635802014,0.1993619282765394,0.5211931857546872,0.4284972372438211,-0.012797067655276568,-0.29388528955810206,-0.3096384520091475,0.10820526358934368,0.23786435457492602,0.31524330841049547,0.4435364691908757,-0.2697945650894361,0.4575105147982641,-0.10470892908232722,0.12474763157201278,-0.1912792630768994,0.1781971492601122,0.05791048878849318,0.07695539243893844,-0.042032135640079966,0.13949787411515505,-0.14161328426019365,0.7142469814734222,0.1560070602212519,0.30236111915313096,-0.1698146249967968,0.07919143434106608,0.5229280766446205,-0.12013105209537606,-0.08680459508781034,0.0036886582166651884,0.35572748171123747,0.18713507331973442,0.2743244478536398,0.3125483284639932,0.34695102864987415,-0.05491080702936112,0.3507126979769118,-0.04136380352944804,0.07770638006022597,-0.1262111170559268,0.3208035736431877,0.35594582028825605,0.1894226909753036,0.5488064965688325,0.20817558049619037,0.1535382805200365
