,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_L,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VL_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_VA_L,Caudate_L,Parietal_Inf_R,Thal_IL_L,Thal_VPL_R,Frontal_Sup_Medial_L,VTA_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_IL_R,Postcentral_R,Cerebellum_9_L,Lingual_L,SN_pr_L,Thal_LP_L,Red_N_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,ACC_pre_R,Olfactory_L,Thal_MGN_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuI_L,Temporal_Mid_L,Thal_VA_R,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus1_L,Thal_LGN_L,Hippocampus_L,Thal_MDm_L,Thal_MGN_R,Cuneus_R,Thal_PuL_R,OFCmed_R,Vermis_10,ACC_sub_R,ACC_sup_R,Calcarine_L,Occipital_Mid_L,Cerebellum_10_L,ParaHippocampal_R,Thal_PuA_L,Supp_Motor_Area_R,Parietal_Sup_R,OFCant_R,Cerebellum_3_L,Temporal_Pole_Sup_L,Temporal_Pole_Mid_R,Cingulate_Mid_L,Frontal_Inf_Tri_L,Frontal_Sup_2_R,Caudate_R,Thal_LP_R
SN_pc_R,1.0,0.14471433164305364,0.17941400800733726,0.45932961656639415,-0.03145185407069364,0.48243246961741765,-0.007873369248093488,0.03415882704345486,0.1207202435893454,0.45395293076159926,0.30716699925563956,0.3313921169369043,0.2889766999962132,0.3395997697434573,0.09582205242700667,-0.0008220596816924378,-0.1633878992682135,0.5715807674450215,-0.14381671178988137,0.37659448456222194,0.41672513240790277,0.2125582853854978,0.17596409838401517,0.2896739448972911,0.34391733699788046,0.5625045459204077,-0.07624659473795892,0.2934621680152235,0.2307083723104496,0.4302239722181327,0.012573507133530911,0.4607430866581544,0.18805794399303008,0.22029019860776863,0.4406465376963647,0.30537223105733197,0.1633284600677181,0.26106220348722875,0.04009115927432065,0.5428596265507412,0.5549792991122791,0.6157964699924166,0.15439671233312516,0.07850254080805903,0.4899290683570707,0.010454120690925673,0.3642852896366869,0.5215820640913763,0.3600406255965451,0.39803371493137496,0.33854694867624857,0.4205076582196602,0.5410036201705174,0.05474498845039865,0.2615896436787358,-0.0002710163518581292,0.3714449960964999,0.27432289733559195,0.4929555404240965,0.3350717513402986,0.016525899063092153,0.43888640483657765,0.13745752745997666,0.6558091613004007,0.026178430705632284,0.7108817914443682,0.07800620301910864,0.2914873730627829,0.015015734965181401,0.3895034146589737,0.47552018261929924,0.237228645270341,0.3305368388841342,-0.05655248319388046,0.1610449948045707,0.4061913002481112,0.15850165843194397,0.32750624188681304,-0.11467444665716964,0.28941813378772324,0.2795806078557995,0.5369463305114734,-0.00021521740836734346,0.06637953236840109,0.4099070302995136,-0.05320498482495667,-0.12018322677768474,-0.01181026139644102,0.22921953471039172,0.08418195798321694,-0.14922948446062695,0.18464652926805455,0.4179540487945344,0.2903302115940958,0.44805625418333195,0.2353091327904925,0.03189722292631411,0.5119970142488453,0.06695561428421566,0.19390087602287165,0.5345584087400879,0.2973134410293911,0.5041295962746895,0.5378576291246882,0.36606925055151346
Thal_MDl_L,0.14471433164305364,1.0,0.2819605945865124,0.44190680776127644,-0.02760088085317733,0.16036123093823162,0.42030230165036214,-0.04590965271749692,0.255915651447942,0.5233255769258202,0.019435277273195557,0.503401732028262,0.3436148391948361,0.5251016282861588,-0.16059391840921802,0.2529092967444221,0.5126744329795926,0.19381626118786036,0.26774957247637793,0.5725882209945935,0.5638621454993408,0.27541940862387293,0.4839892285020532,0.5498031901801146,0.054293019207174296,0.38515709306498974,0.08494527468760367,0.2701026481905506,0.5131522366715084,0.4525276489243967,-0.05736132891646446,0.30223818829562954,0.2903871950435653,0.5540161244336986,0.47588398900290546,0.45035102839603236,-0.059021737457717806,0.2440652124790109,-0.1081831617125627,0.44540463451322826,0.38537909243373464,0.3441502146280405,0.11686745047170567,0.4364513981454591,0.28932436202382666,0.275622876549269,0.4195962517633835,0.4840622877876928,0.48718775350950816,0.48300901789659423,0.7272097269522613,0.5848725276682302,-0.04561347312481783,0.2296011167551986,0.2879189894661462,0.018621721719784212,0.1915183366983399,-0.24312518880829448,0.5607075894722509,0.005826285027665585,0.4565881515792582,0.3076685753236837,0.1031750044012358,0.2749568400990423,-0.06639009790444184,0.2376449999304108,0.5207916993793779,0.1367762215266776,0.26090417263802446,0.15715219338358818,0.34565716608425595,0.17458937492813723,0.5504708402983886,0.25119367473774384,0.2228428403490433,0.4257202705978316,0.27177788180615187,0.6427174579919478,0.2589060361033691,0.4828512424590353,0.5472119064969079,0.46622079442739967,0.010104238054626775,0.42182524261977333,0.4481363771335561,0.005459373485602395,0.14973898038825686,-0.054796734790530315,0.35565975485141765,0.4360735102174526,0.3024079091096983,0.07545284562997089,0.521601455515793,0.6000936782149106,0.4315823791019313,0.4940637731694425,0.22342763790150344,0.3418263501237189,0.31204643562097795,0.17483807732929793,0.5804423198623175,0.5234984055560848,0.4573111531369007,0.23674683052034406,0.42199481888433615
OFCpost_R,0.17941400800733726,0.2819605945865124,1.0,0.21815208379312645,-0.013352454986147991,0.35453710616633255,0.08367891534944068,0.1209400987814336,-0.004637257456218528,0.21990626259497378,-0.03066396898265943,0.3241525800935016,0.09389153001493612,0.18635111744944458,0.1373752627801432,0.2335288134338073,0.21625327139908676,0.35877917254652886,0.09766130519337828,0.23006617642965135,0.4594205224739233,0.24890183883477848,0.4440439943982071,0.14861233211977345,-0.049958370511165855,0.5229979096903954,0.22688697322490006,0.03673453010272876,0.06459886973793555,0.1522040101200021,0.08517350351079753,0.08482948851021667,-0.021381301663682503,0.46458732511408385,0.11550864378277903,0.12960195816001396,-0.249253645157661,0.33656544133995386,-0.044256247791121424,0.43218109218136647,0.42799499512482214,0.3403428358155016,0.25272152859300184,0.16814980421414236,0.21693209720427456,0.030838867310432498,0.021069524547922783,0.44899514510802985,0.1528669179568319,0.3160988356422673,0.1508919626818701,0.4039568019055961,0.2835439529750755,0.3929242689598304,0.615392438620119,0.09208395013706867,0.5187116227364146,-0.2611941448817054,0.2522123186448057,0.07620402955050924,-0.08858825607868863,0.4475755593286433,0.06745559215998233,0.2596102549236392,0.2293636575275905,0.3965636002406478,0.2562107290214053,0.34886507265601846,0.45918702969520336,0.16811270973833703,0.4470869148373323,0.5397843740626846,0.2523217428537934,-0.05649197703509679,0.6535472160004137,0.026985256389457,0.3867116723717002,0.25128182117826026,0.1346316952499628,0.09924699641714879,0.5074943061505451,0.24087923156271787,-0.12926471878615858,0.00470370887738643,0.003233314899661797,0.18005121804304677,-0.0380032329487309,-0.01250212693246426,0.44502895377015417,-0.07552148208892079,-0.07674350016515605,0.21555240709752266,0.6011644473369394,0.13190357651855752,0.19835055248141795,0.10303719929240361,0.21352092772015327,-0.012001084957764715,0.22948015134510902,0.27128130693652097,0.2429158578067464,0.43397413452619793,0.3454160634493989,0.517552343044325,0.355531794772875
Temporal_Sup_R,0.45932961656639415,0.44190680776127644,0.21815208379312645,1.0,0.17680488042684728,0.6394625730902725,0.3487833364683139,0.07690348038262217,0.5861794308077306,0.381100994027225,0.21087402448188527,0.3411846295646389,0.4395279028609946,0.6457090912162037,-0.07836697544052088,0.15870631847096708,0.10824439161852281,0.42068227197530933,-0.04252995144625951,0.6539652905247555,0.4307713256763369,0.14067813706144644,0.22093326163647575,0.557092448856051,0.1877315741333513,0.5560683954922925,0.2411189217365701,0.5256596792972916,0.6681371578471231,0.6832199319675165,0.05823337827621792,0.5784958111001535,0.3185350777618949,0.4307575727408664,0.6658044743152769,0.5426685600224703,0.20941703915955773,0.12559386177038118,0.06540242618621787,0.5471851117780346,0.5126378438223302,0.6551089692575454,0.19469653770589782,0.29717129760616395,0.5665261949348646,0.2260197724953537,0.6009937446030043,0.5887972734219028,0.5763663801678501,0.3722869157550024,0.5779309290275136,0.5589743725212014,0.17904042496666797,-0.017348755436396423,0.24641842361508773,0.13505890694760553,0.31663000808284497,0.10575670024805292,0.7897070441345994,0.2087918099603943,0.48376395785383963,0.22220340116766227,0.2250481466373662,0.256051178527675,-0.09561853742601457,0.6114918949854469,0.33852685742794497,-0.014141646635382421,0.08108248504596055,0.45485289442257454,0.5457958921467995,-0.030547578607051325,0.5732991172757572,-0.10575808508667132,0.020564383843230977,0.5647436501696416,0.23198765125904908,0.6131583923977593,0.05043418824115945,0.5581685390085299,0.45101696414210385,0.6256675742393321,0.14325910266150002,0.18433182941641982,0.46052966675527945,-0.13659261613312412,0.0967817057940375,-0.06947337844796367,0.19199922123021995,0.31285557161065836,0.1182500977946429,0.23159054559236347,0.4468556402513181,0.5636057699903873,0.5160676477361924,0.7501018441642788,0.11083250295628089,0.6259163930362185,0.34041372768416356,0.26716312257463576,0.689003248730516,0.3358013834912555,0.6442372099344609,0.4813056591671009,0.36322864470643845
OFClat_L,-0.03145185407069364,-0.02760088085317733,-0.013352454986147991,0.17680488042684728,1.0,0.17130292281702628,0.053842577507668875,0.1611299661852671,-0.014461428941006117,0.020259866214206654,-0.24984461193018928,-0.08176302997207807,0.16919149424542307,0.15476061272488412,-0.14176105482747614,0.06988529044139402,0.06640769469897254,-0.046375137140744205,0.19200246264216544,0.097803822331678,-0.11533573455983175,0.10848722486112217,-0.1460065104071194,0.051800917085815794,-0.30260584544909763,-0.11186436790092276,0.0838496764913057,0.13862823480271375,0.15232750440428833,0.18240906052116065,0.3175785180257423,0.15290522066030665,-0.09262717996470858,-0.16115342379789216,0.23932482003097408,0.0699332031494975,-0.14103575666685805,-0.04345650970570665,-0.13876382508167098,0.11931510879672762,0.16239278392997605,-0.05652303721700707,-0.22732555511593086,0.0703248445022924,0.10680768264115244,0.008800038161160288,-0.04445298939548318,-0.16323926578250056,0.08159883970072014,0.09382426535042412,0.011012724106743725,0.10103192817338655,-0.11540045739442419,-0.21974101310831368,-0.10829423231735864,0.387206122061291,-0.15519804348406144,0.06582528357833405,0.16924346996355083,0.09349971699739301,6.216117478809489e-05,-0.13407721609316164,0.024270970608740783,-0.01306825381857171,-0.3540851979995666,-0.019968906282103436,-0.09923125603042755,-0.29529733054322777,0.10198832811815953,0.16127502594486906,0.1030927051696641,-0.49291561017000896,0.15645126676560364,-0.2850817411945792,-0.19841485425368952,0.13765800383934737,0.32343372797682957,0.16372738185339283,-0.05510935292442328,-0.01563811140038251,-0.12716908537299254,0.01036958473957008,0.035031428528591646,0.021134471738799888,-0.008802444642316075,-0.36952449838819396,-0.031449230456750174,-0.09146540964349571,-0.24200632628026095,-0.02877108024825377,-0.16426589701786468,-0.019463932769166768,-0.20927776112272375,0.06365871246369893,0.20432871401116695,0.19500479855204916,-0.0596348246593038,0.20065227738472602,0.38909559744019845,0.0703831216202501,0.13004203864061462,-0.033753052086632936,0.26806470277450056,-0.026203988174063386,-0.1646530969325802
Heschl_R,0.48243246961741765,0.16036123093823162,0.35453710616633255,0.6394625730902725,0.17130292281702628,1.0,0.05222186543801139,0.24185619223950847,0.3314588008138319,0.2875431091410279,0.156207716971477,0.2142777295907002,0.23567199124174956,0.3301128960636535,0.03235774193666857,0.1580165107258609,-0.04890927397135487,0.49459916413404686,-0.07485485033962404,0.29701705043615256,0.41666034781232525,0.22246908687103795,0.20474872521883594,0.19677110736776723,0.07946888207626317,0.5868168146406444,0.2653473685470694,0.21491851136044018,0.31303744684188073,0.3867037921693262,0.14277275303309064,0.48032726694743927,0.01804101945553705,0.30469963973486597,0.35403090156627404,0.4130365758966328,-0.05011704011211551,0.11240748080862767,-0.06884899281155092,0.5009618250514949,0.4699107668162285,0.5870726405958288,0.33492625749133803,0.12075222752623312,0.46017776122596404,-0.03145430682653391,0.181178660781033,0.6097692306643281,0.22418466103420642,0.3331802401289486,0.2117465384291142,0.3906177591308201,0.335558985444087,0.08944749473368595,0.4776404564452948,0.10246606692023337,0.4696750136690412,0.023855021832427655,0.4612710080671802,0.19960347809667056,0.06696502497835734,0.37548254472958703,0.25694394734736226,0.3597302017015817,0.015516782236266577,0.5306116322463093,0.1385313563739982,0.08255848043277651,0.034972040257116026,0.35967914520478567,0.5076014051431116,0.09584872178999417,0.34897493840373817,-0.28670747035368127,0.2932505779683869,0.379930468992352,0.26541302002938755,0.31782746379499255,0.0021254546132514736,0.3142002302442499,0.4064505126673462,0.46164948206409345,0.03396802557010737,-0.15441254590694511,0.1967782870344595,-0.11699488617284141,0.006506344391313724,-0.11597483008183966,0.3194964443699318,-0.015762290043116432,-0.14577234711299472,0.23965741263176166,0.4600146864613115,0.3503228908797037,0.2671013472484898,0.3911910417681904,0.04509952160879925,0.38963212962049043,0.3711147475297095,0.339910770868154,0.45721010034822474,0.23971885948461993,0.4856357805289699,0.6354673559904029,0.43814232782420226
Cuneus_L,-0.007873369248093488,0.42030230165036214,0.08367891534944068,0.3487833364683139,0.053842577507668875,0.05222186543801139,1.0,0.02860734396649317,0.17305285983413235,0.171826920094365,-0.19425291212045334,0.19882205749917736,0.35950770941321125,0.6011088007934463,0.020743472723139873,0.06498478687495926,0.45085456012324426,0.04660409585718196,0.2175625105028158,0.579315499521518,0.2863774477711629,-0.01617155069441613,0.44025837300393683,0.5836101942870983,0.28595218621361607,0.07863755180538028,0.195414722047572,0.5854020159249763,0.6982561990725191,0.5210347930716245,0.02069862649821685,0.3960883805580758,0.7014431660742207,0.36179468489712746,0.5714381315829066,0.44098455202955433,0.07957526736600133,0.08939251961536955,0.02646774066654583,0.39900029273381943,0.22145276035478034,0.3457417899952968,0.06769804379892873,0.6129673637381868,-0.04452847713515515,0.8691191391608394,0.34271080902006645,0.23607214721396735,0.5105286976365848,0.24992649028226177,0.3926583678685966,0.40008430633534736,-0.06303100145286228,0.14202848130881743,0.11912608404448526,0.23472823563259873,0.1898737024830286,-0.00901285993089392,0.4512168452603327,-0.1261762824895914,0.5433929407551601,-0.005055791822927092,0.22099696331456878,0.030431192800285677,-0.15093980364475512,0.18991303380446142,0.35201607245117184,-0.05455533507629641,0.09351714808750197,0.13289602053050084,0.1691343843558782,-0.11584835757547679,0.4740504391885807,0.37298811402061066,0.012012292852441908,0.5127609108007801,0.23785415425587472,0.5197595338198506,0.3663677898874501,0.3617650780035946,0.43343469736049356,0.4010083102248548,0.16338315781955132,0.7764685660322261,0.2810964773437353,-0.04534358654309792,-0.10377670087578579,-0.020891874619848073,0.010851052688065374,0.7335227980028293,0.41656727722751125,-0.09687537861375808,0.06486548960714775,0.3498136127967542,0.4578512548454977,0.5731646796574383,0.17513066733565807,0.3101528493790966,0.1998552301627732,-0.034705055451158894,0.4609216314975842,0.5329346838756777,0.40579236405802965,0.1587990845287655,0.11954379491170088
Occipital_Inf_R,0.03415882704345486,-0.04590965271749692,0.1209400987814336,0.07690348038262217,0.1611299661852671,0.24185619223950847,0.02860734396649317,1.0,-0.13434809845093862,0.020896215859236254,-0.346406788025374,0.14175798706801407,0.0005396556280235999,0.1868787370209038,0.3023318414869579,-0.12995810600345967,0.27112122031105595,0.24070834505402786,0.14725104760167373,0.21386284154009494,0.22815992998002743,-0.16794440179585682,0.26244332245016544,0.1350182578360094,-0.04405351439590423,0.06472369771005144,0.1712582073802061,0.08468624188140546,0.20771097738700442,0.09948692841961364,0.17631568674312303,0.25804375068093643,-0.02271325221303638,0.3205217182947984,0.1719392465211588,0.15184254942153505,-0.43151503896499843,0.21653668003415935,-0.15914977299209387,0.23665455163779697,0.2873228547699467,0.25422856136580874,0.17702506133447182,0.04557473846116004,-0.31560439607621643,0.07090277412648469,0.044521253208838193,0.29617800592632504,0.09595947596295577,0.08164187586119644,-0.02892299339461175,0.1313711716390575,0.12690911414010791,0.35124104555071395,0.3503250837471767,-0.02095755350397026,0.3421863151225045,0.001086733484703026,0.161109216205873,-0.05371702706361682,0.05273802245882216,0.2953523150791085,0.010565501552930895,0.09508534034561703,0.1959654356286715,0.047305154785633186,0.23932351694024315,0.1609514273765067,0.16693278795102245,-0.045706949009920644,0.3006721437053886,0.03224898866355198,0.06784284362045685,-0.11776175240760282,0.18536327864074548,0.204905154954669,0.29094554612609075,0.2537307635497491,0.2095838050799005,0.028738872607495004,0.3891721981348897,0.13793736693987885,-0.13651321750532777,-0.05232639857623981,0.1250314616198208,0.2872248191963077,-0.12118506199478254,-0.006457535026447504,0.007382609325146582,0.055794527084550745,-0.03483805482373435,-0.05979874826154982,0.12109833924422829,0.024685540637694455,0.18885033164635687,0.26551002255638423,0.0965417219034214,-0.08944462660333707,0.1786724394633544,-0.12344015360127063,0.195485478112345,0.25140658064074267,0.31682753341708797,0.28190533847582194,0.14138789956245607
Temporal_Inf_R,0.1207202435893454,0.255915651447942,-0.004637257456218528,0.5861794308077306,-0.014461428941006117,0.3314588008138319,0.17305285983413235,-0.13434809845093862,1.0,0.13388497967438692,0.3642932212653549,0.1354156688390575,0.21260758151870712,0.3020091744694821,-0.13745322708144017,0.21673316199859194,-0.0674640513471627,-0.0398025555137844,-0.12220331951222871,0.14344357154975274,0.09081940066878771,-0.03510652083031558,-0.0654627068578276,0.1734450675138318,0.01872579748498939,0.3490378309715799,0.47104218101300227,0.39840862120284587,0.35532180523933743,0.20389513866984377,-0.08600573065361257,0.10535869396887489,0.1915436436550261,0.27315954950817434,0.28891907111206866,0.22971862412491081,0.3420259565640983,-0.22728620239649006,0.05574112483156937,-0.045143025961614666,-0.10632485506101391,0.252703380163085,0.17457981774551945,0.08526371779947878,0.3008166604300545,0.04697685587162366,0.3713291215425061,0.3388983044886462,0.2319472255045199,-0.025586210388924602,0.15811961988654788,0.07445374823166352,-0.004645266111266078,-0.2434392705254923,0.009125494679008753,0.0725449452119449,0.06803619649463043,0.00799976697908883,0.27214775898353455,0.1407657303382681,0.30718543981345625,-0.05347828505274279,0.36386094458414964,-0.057737297837475846,-0.0472856795591022,0.10548441706913797,0.22281230255553336,-0.32575886616845623,-0.12380637334257509,0.10046915596806799,0.021526838700665563,-0.11188065624204814,0.0972557765593597,-0.11003596521150266,-0.12086268550030381,0.2230082298984548,-0.028466579663663363,0.17504328990874957,0.020882256532874226,0.2422979112009865,0.10688908579724295,0.1781998178175869,0.09669986624621714,0.145468059061127,0.04309116875684034,-0.04310668251734373,0.06122788707646043,-0.1295155731825138,-0.03357239739964133,0.040900782318111006,0.16055198452333047,0.16100930509567846,0.3129476230454855,0.44601972277714336,0.10113380702658258,0.3788501934923532,-0.1803416849256477,0.32328300159274254,0.1416789642104109,0.3752582127597811,0.2686446434064148,-0.0062390589827067645,0.08720396795344347,-0.038171887655120335,0.23947276078589402
SN_pr_R,0.45395293076159926,0.5233255769258202,0.21990626259497378,0.381100994027225,0.020259866214206654,0.2875431091410279,0.171826920094365,0.020896215859236254,0.13388497967438692,1.0,0.16014895345472602,0.1858773042955624,0.2422884966416347,0.34359444691107804,-0.11370096400784577,0.02076533767190086,0.08526399658689203,0.40151689401426643,0.1812498949462429,0.3410331004089199,0.49957342782590086,0.5000944251169887,0.17404407267873445,0.32480664918028135,0.33492853291323893,0.3956925784186817,0.030159423178974125,0.12710261732328215,0.20806476217610895,0.35496835262463616,0.036148270690859866,0.21898646352756226,0.15090795517673172,0.24304823123210081,0.3316446325677551,0.37752491836552243,0.03115508035099629,0.09641167117620922,0.06876246456112955,0.46968508380038126,0.45087658661414054,0.37404786148043784,0.08160187226245522,0.12827662080500588,0.41578361448507495,0.10483123599210305,0.4180997488734533,0.4483063624270354,0.3594788534818844,0.41884175101961907,0.4619425820573156,0.44282491385646855,0.16134794734604788,0.2523122043918032,0.2620064421425874,-0.29043988656119546,0.23809809179989924,-0.005033155994171246,0.40093733013610533,0.08115764510042182,0.16085990362196273,0.5506385063518844,-0.05706851371576746,0.46740420387267356,-0.1571625241428069,0.4710734104791245,0.21971549021491826,0.24161313913160218,0.14325138203840007,0.0969598917816071,0.361212202364302,0.2550360325611421,0.3729474631080264,0.06633434263286496,0.13792321788291045,0.302815493596461,0.35669344442719264,0.3447183883376262,0.03870472030059154,0.34868817037945626,0.3896336036777449,0.3831222202085807,-0.1653672302689318,0.148434138420106,0.3986361751893415,-0.18380815914340504,0.04055094357931968,-0.039225578198042774,0.3285240969600305,0.17665334808409383,-0.01221026946870595,0.042908279206354906,0.507749520251579,0.27392580824902496,0.3078839426420587,0.22548836663101912,0.18955712034489058,0.27749760661489276,0.19502873931855924,0.2150666863947123,0.4537549495798305,0.3789535684493521,0.37602481862019965,0.3481824889906312,0.26419958926497983
