,Frontal_Inf_Tri_R,OFClat_L,ACC_sub_R,Thal_LP_R,OFClat_R,Caudate_L,Cerebellum_8_R,Occipital_Sup_L,Red_N_R,Thal_LGN_R,Cerebellum_4_5_L,Cerebellum_10_R,Frontal_Inf_Orb_2_L,Thal_PuI_R,Temporal_Mid_R,Thal_PuM_L,ACC_pre_L,Occipital_Sup_R,Frontal_Inf_Oper_L,ACC_sup_L,Insula_L,Cingulate_Post_R,Putamen_R,Cerebellum_8_L,Hippocampus_R,Lingual_R,Red_N_L,Cerebellum_9_R,Occipital_Mid_R,Cerebellum_3_L,Occipital_Inf_R,Thal_Re_L,Cingulate_Mid_R,Thal_IL_L,Hippocampus_L,SN_pr_L,Vermis_10,Cerebellum_6_L,Cuneus_R,Thal_AV_L
Frontal_Inf_Tri_R,1.0,-0.039166810424966225,-0.04368468902044814,0.4724137790193664,-0.09808753406571644,0.6515805913189092,0.4590819091747957,-0.03973163944296793,0.5855327472511708,0.30121337532982606,0.07657161078392231,0.17709632901211614,0.16890410121145089,0.21238056988255893,0.08942746197238904,0.27751188816485267,-0.17022022061360564,0.06450366127004757,0.20542402121094938,0.6264897309329386,0.25609695145949046,0.04477066503539989,0.4180102233580021,0.3809225540393242,0.685935388753279,0.20197832400384674,0.2620342690193541,-0.16380875611869142,-0.06788795384116178,0.34996888104199514,0.18942162824767145,-0.06013262433369958,0.5196373274640529,0.4403586335551814,0.5210878039664166,0.5974336424961432,0.03358909376628692,0.5480085845574615,-0.13253702922811375,0.14232392924869544
OFClat_L,-0.039166810424966225,1.0,-0.09146540964349571,-0.1646530969325802,0.5101635600572139,-0.16323926578250056,-0.1421744908587644,0.008800038161160288,-0.01306825381857171,0.16919149424542307,-0.23011387505890565,0.0838496764913057,0.630555448606249,0.08476877468099983,0.007506809353261371,0.18501460115194554,0.08978598911029245,-0.09262717996470858,-0.17383470520705097,-0.046375137140744205,-0.1460065104071194,0.1338953998837558,-0.06370265939942385,-0.21828436856291802,-0.11186436790092276,0.11850339891191804,0.14673278763850697,-0.07517692351922234,-0.09196580328153724,0.20065227738472602,0.1611299661852671,0.19200246264216544,0.08610815773102255,0.09382426535042412,-0.12716908537299254,-0.13407721609316164,-0.031449230456750174,-0.05091801914671625,0.021134471738799888,-0.08176302997207807
ACC_sub_R,-0.04368468902044814,-0.09146540964349571,1.0,-0.02096781329272563,-0.06802755284389539,-0.037716549669002813,0.01407651375243428,0.04263960424567422,-0.04491605105400714,-0.1625229357336543,-0.06287799525373447,-0.09203488795323381,-0.10864372191089466,0.013108496187156232,-0.026608608849656535,-0.04601682927693092,0.0983181097720581,0.009154606092659152,-0.15845032665881914,-0.02481738073358583,-0.12382845928519536,-0.03608255680548937,0.009818058489459743,0.0026638879506085773,-0.06536063030137991,-0.126201021887577,-0.09692397768470314,-0.06174127285835763,0.027025728455016634,-0.0727904249655621,-0.006457535026447504,-0.00785178599959116,-0.06786103385762435,-0.13522141229525694,0.045541252604173806,0.0161068724379215,-0.12159754166796165,0.05027727818790352,0.00981738502140862,0.09305442710742043
Thal_LP_R,0.4724137790193664,-0.1646530969325802,-0.02096781329272563,1.0,-0.21462586306970455,0.4794334565887477,0.40635940343765103,0.08416569070045352,0.2939559941276806,0.36140439721602247,0.398740634609621,0.3093113394905352,-0.06501278082821091,0.3418547666346652,0.010366192562570212,0.46497170752780437,-0.015595809697845867,0.24832220614687286,0.2912410696795748,0.2818664751045272,0.3879432872872683,0.10116934599730106,0.4303089302859166,0.4258794751698018,0.4952260430125806,0.26710606506134754,0.4402397965982309,0.1008905475508896,0.0646138656655542,0.3691324677009294,0.14138789956245607,0.0501543667970978,0.38197538933535474,0.35077372744363533,0.5166541095528604,0.38706542118807874,-0.0058504664171512765,0.39259878485503474,0.16796803229051843,0.4279836277649794
OFClat_R,-0.09808753406571644,0.5101635600572139,-0.06802755284389539,-0.21462586306970455,1.0,-0.27430382086675775,-0.17055531329039095,0.1827275684895538,-0.05779283296356916,0.16395907943614307,-0.1243961801477104,-0.0682604349013529,0.6519847464797168,0.0031288139281607187,-0.0014830124724309374,0.10856422696647426,0.14619190006575378,-0.01714283615480618,0.07198343077969205,-0.07097934289777803,-0.054218112937182684,0.09667347931716698,-0.19523675522342723,-0.07542910997714049,-0.3331400181367787,-0.025816153041889025,0.11706268021500024,-0.06120046029825586,0.033683354442817386,0.10436951441430406,-0.12442372026202493,0.23839243761661177,0.0328593936413147,0.12277617838474317,-0.24255644215111408,-0.21253942052391148,0.002199111650829865,-0.19608968969398088,0.09667704807785932,-0.09032980041967549
Caudate_L,0.6515805913189092,-0.16323926578250056,-0.037716549669002813,0.4794334565887477,-0.27430382086675775,1.0,0.3890489180486722,0.10911946595160223,0.4241719964527871,0.25254860363592574,0.35954162225154307,0.21676152169213644,-0.12179048088566659,0.4406043984386462,0.22381065151307022,0.515194848391174,0.0176851588292793,0.14297946311330004,0.4438641308016595,0.6475007644137072,0.5212730267638945,0.4491696746440078,0.7266820705173921,0.3483570444155669,0.7192596741735837,0.42924133827181266,0.28815628940947186,-0.02475295659950546,0.046621835263437966,0.3468562288925609,0.29617800592632504,-0.006224684362146566,0.7581665609042342,0.4938236665182907,0.6995766765916877,0.5927433459153518,-0.08644852002079911,0.3572725716476494,0.08731189536551366,0.5123292189232274
Cerebellum_8_R,0.4590819091747957,-0.1421744908587644,0.01407651375243428,0.40635940343765103,-0.17055531329039095,0.3890489180486722,1.0,0.051821208846021996,0.2734816572703847,0.17987990121602004,0.0642367675446777,-0.010552912279515608,-0.13905439818812387,0.24913164840244398,-0.04030031855579179,0.0898705542978845,0.14521561670083283,0.020196036422172686,0.06921696855828714,0.4876167086434727,0.35981488994750643,0.10049595090508555,0.3759602663296293,0.6691198533149426,0.5168508213655091,-0.10424181411535675,0.21161397375831917,0.17820121071121053,-0.14619971539597645,0.21366512399379795,0.250806576478253,0.09380758915574325,0.2947316135794116,0.20494117111018273,0.5298523398380872,0.4742952688373284,-0.06064085063090699,0.525408717291216,-0.0294620587988819,0.3724317748119746
Occipital_Sup_L,-0.03973163944296793,0.008800038161160288,0.04263960424567422,0.08416569070045352,0.1827275684895538,0.10911946595160223,0.051821208846021996,1.0,-0.03128874471578424,0.32042249443705983,0.4819356162137534,0.10116953334463065,-0.014977901290804658,0.2296145577477735,0.26459229962200453,0.4745464529164094,0.07653600596364926,0.7157883955308789,0.4096165408836392,-0.012544628066010099,0.4116446164380349,0.43819195507252917,0.12447570290856656,0.24701221379693605,-0.09116079396472915,0.25774033385667755,0.4182140517775848,0.38559681469731244,0.7042511091605095,0.17285042511435988,0.07090277412648469,0.24488826217662266,0.3165931289589679,0.11618096341189292,0.31607854278952546,-0.026311498343155472,-0.17522111966409867,0.10033128821116212,0.7832164868585391,0.21948719826324217
Red_N_R,0.5855327472511708,-0.01306825381857171,-0.04491605105400714,0.2939559941276806,-0.05779283296356916,0.4241719964527871,0.2734816572703847,-0.03128874471578424,1.0,0.22794764014742835,0.13974401798414324,-0.1317015247688797,0.17531372963681757,0.19838025167548895,0.13619912090348943,0.23079860962528193,-0.21983483766787257,0.1458993267753829,0.25536065723356255,0.42111057894827353,0.24893925684369766,0.04441199866212143,0.338706623479373,0.29661592909360046,0.4813652513933101,0.07917991743192798,0.30904949624962186,-0.07544293299863934,0.08618374986390613,0.28948467189454485,0.09508534034561703,-0.03400760282267909,0.34590711497579624,0.43096077833479957,0.34601586728739675,0.5252391713155795,0.06437454394035404,0.4786270114685538,0.08856810972364086,0.19803019694903873
Thal_LGN_R,0.30121337532982606,0.16919149424542307,-0.1625229357336543,0.36140439721602247,0.16395907943614307,0.25254860363592574,0.17987990121602004,0.32042249443705983,0.22794764014742835,1.0,0.45181772484435384,0.14603522954327053,0.20838953440600932,0.4084453741166982,0.3610453964783969,0.48500420378182424,0.11381893320235047,0.42548557620980954,0.34625542698912554,0.08035045511843794,0.35438334591218196,0.33386035340450865,0.1997717576844455,0.24278071462542575,0.2532672659442934,0.4581868602837145,0.4122562133353765,0.11985553283364125,0.31164382334363294,0.5996464837678609,0.0005396556280235999,0.07335090683304939,0.4198256664038789,0.40660232451444506,0.22767938558731057,0.05024551953001589,0.15265375147527555,0.13784755618097397,0.36910175877594337,0.14392638398480742
