,Amygdala_R,Thal_VPL_L,Parietal_Sup_L,Insula_L,Rectus_R,Red_N_R,Thal_IL_L,ParaHippocampal_L,SN_pr_L,Cerebellum_4_5_R,Cerebellum_6_R,Cerebellum_8_R,OFCpost_R,Thal_PuM_R,OFCpost_L,Angular_L,Occipital_Mid_L,Olfactory_R,SN_pr_R,Fusiform_R,Frontal_Med_Orb_L,Occipital_Sup_R,Occipital_Inf_L,Vermis_3,Thal_PuL_R,Occipital_Mid_R,Thal_PuL_L,Supp_Motor_Area_R,Cerebellum_8_L,Rectus_L,Pallidum_R,Cerebellum_7b_L,OFCant_R,Frontal_Inf_Tri_L,Frontal_Sup_Medial_L,Caudate_L,Lingual_R,Frontal_Sup_Medial_R,Angular_R,Thal_MDl_L,Cuneus_L,OFClat_L,Thal_MDm_R,Thal_MDm_L,Cerebellum_10_L,Cerebellum_7b_R,Thal_VA_R,Cerebellum_10_R,Pallidum_L,Rolandic_Oper_R,Thal_AV_R,Vermis_7,Thal_VPL_R,Cingulate_Post_L,Temporal_Mid_L,Thal_VL_R,Heschl_R,Thal_LP_L,Supp_Motor_Area_L,Temporal_Inf_L,Thal_LGN_R,Thal_MGN_L,ParaHippocampal_R,Cerebellum_3_R,ACC_sup_L,Thal_Re_L,ACC_sub_R,Thal_PuI_R,OFClat_R,Frontal_Sup_2_R
Amygdala_R,1.0,0.024818768533537938,0.051344604090735095,-0.005966972856790551,0.07425730978856483,0.12041497677681046,0.037029130506353224,0.19383188254399053,-0.08649785812250138,0.2319517875351788,0.2765930673943087,0.02085659397440744,0.2335288134338073,0.12163154634519047,0.09166245723827288,-0.17361057041624864,-0.12106731616778936,0.03648703592292642,0.02076533767190086,0.2796846343932088,0.2175270471339356,0.06840438860253675,-0.05596079715650381,0.05312647996978075,-0.2826043000837586,-0.038376366956939544,-0.08339061624811873,-0.008203096302237294,0.048669405378772616,-0.0706097357286191,0.17513920257403606,0.0354213927890777,0.05273278038266462,-0.09003636948107473,0.11006350406178605,0.08486231075756191,0.3190874148531218,0.040659438470797095,0.0006911605746987481,0.2529092967444221,0.06498478687495926,0.06988529044139402,0.22435036405970454,0.16976157060225996,-0.07758469046298462,0.05232569325714578,0.08451523754560972,0.32584419931922526,0.2303568850046574,0.16678554277441596,-0.19389386462969005,-0.04224107527015213,0.08837571107164184,-0.08817078689115121,-0.3243659701538459,0.17158681502064804,0.1580165107258609,0.5018477246239774,0.1253408527072352,0.004068836350820423,0.189031084178532,0.13827831999321805,0.361515847215813,0.31537254003661935,-0.18910253065793298,-0.052055844982609296,-0.029998463792632168,0.04047629574072163,-0.13967499540056272,0.06359657699379888
Thal_VPL_L,0.024818768533537938,1.0,0.4795106742166059,0.4948740739109434,-0.1023710923255547,0.37449533487494213,0.6174224682885247,0.42904084197884723,0.39317174888937273,0.42717976278435477,0.3371377815096965,0.2518790715483243,0.15508130778213147,0.8124855641451159,0.043197444498889105,0.3264097207320267,0.321395138042585,0.19926930956433472,0.4069581619588101,0.434496389791307,0.01676822508070736,0.3878881331563442,0.010200181717319724,0.7172952715878886,0.6337349342821404,0.2341401012642248,0.792680331926137,0.5832805839437072,0.29541919241821946,0.22491484062073977,0.2841561144990971,0.07195587293153008,0.1484000533688509,0.5204478018161245,0.6021460285973066,0.5904065452786107,0.5515678313728632,0.4842247911908975,0.668773477275049,0.4867823199582159,0.4199097083229449,0.07087849986441515,0.32759991970429475,0.760211811593533,0.2498746982986916,0.24958668019397706,0.10019750821873699,0.13403440182264229,0.35122190706640477,0.28203964578594026,0.31590582203928996,0.177918218519245,0.6649302312629071,0.7831176155228059,0.24924839134254273,0.5942274829389801,0.4652527331538883,0.22234204887985323,0.7488563193618966,0.30249968297513796,0.524888732453956,0.39805794461217725,0.3113588328560679,0.6793158575074912,0.5436984004399155,0.03717382886684394,-0.060305975157409174,0.6295797773879898,0.08198380865789197,0.6628607927618253
Parietal_Sup_L,0.051344604090735095,0.4795106742166059,1.0,0.2146401725652218,0.06671278730625022,0.12458205779368121,0.20382520762932993,0.4137447864854951,0.05629884785644453,0.321915057476236,0.21948921335320412,0.18618036996300108,0.03673453010272876,0.4181259395260905,0.006381351446714643,0.4247583994734902,0.24931800618640285,-0.07859961242168274,0.12710261732328215,0.44082412320944364,0.21795810220073175,0.5554271706780064,0.005677284374097697,0.4924846212098437,0.4125100820871208,0.4817983802641386,0.587284296232289,0.5868355213593532,0.05835618598364648,0.32731624587004937,0.09092919382744678,-0.006507681180778057,-0.1395286269762445,0.360307022245949,0.2704069872288416,0.369237303186589,0.6027633148961468,0.11064784249053562,0.7354060689924218,0.2701026481905506,0.5854020159249763,0.13862823480271375,0.2540098065362561,0.46224598099860603,0.14869768753783788,0.2573322557493707,-0.013521465668412511,0.1406230239421388,0.18507198010845693,0.05275387343583483,0.2238878893130309,0.17923152879969573,0.32786991900844137,0.6364095700513452,0.12434143523289394,0.33382943269757137,0.21491851136044018,0.18497422022602134,0.7153220397036221,0.06428504426703002,0.334611061025654,0.3521018473956529,0.18190991596892578,0.4252922523635828,0.2446624844770658,0.1357838476731918,-0.021250101004899307,0.3355860465883027,-0.07983515398918499,0.45748031566873104
Insula_L,-0.005966972856790551,0.4948740739109434,0.2146401725652218,1.0,0.03619143944283058,0.24893925684369766,0.5394353631858715,0.6761399962276807,0.36916719614595744,0.0394896118855279,0.3936680672147889,0.35981488994750643,0.4440439943982071,0.49142645498066445,-0.01616466818066218,0.2622405705325181,0.4241354322579205,0.3105369455715046,0.17404407267873445,0.14514478734913475,-0.2052259186861929,0.25461228435114425,-0.02991803357338949,0.6793316856578101,0.37819961281718095,0.11825020490739648,0.40033897752040665,0.40192019796216427,0.5252626462907153,0.16999701873724915,0.496930806201979,0.3364223266282341,0.24958873014037805,0.8471978301495978,0.653180106567668,0.5212730267638945,0.1459357765409843,0.4883366346924522,0.2436610860111281,0.4839892285020532,0.44025837300393683,-0.1460065104071194,0.6371046222118006,0.47155491746282324,0.0828550339410423,-0.03315948077703479,0.5032990426862595,0.06673729294615323,0.4828699818667854,-0.016303211844196898,0.5170897438167175,0.053628686765582606,0.508345081336448,0.429095454494822,0.43960577010090635,0.6268957339836758,0.20474872521883594,0.06258804953582864,0.4395848662346806,0.3592604283913701,0.35438334591218196,0.18938127408398478,0.38917836539939804,0.251541867216869,0.38221098321223995,0.18783432025112873,-0.12382845928519536,0.5447133830011834,-0.054218112937182684,0.4925321204050203
Rectus_R,0.07425730978856483,-0.1023710923255547,0.06671278730625022,0.03619143944283058,1.0,0.029616939246046435,-0.1440890740734824,0.3625154284220795,0.2572402087183596,-0.18635296991995054,0.22530723463541957,0.34691317331505456,0.2293636575275905,-0.15844772102405374,0.23426319966975936,-0.1792342227162993,-0.07409621778606404,-0.07031897117358843,-0.1571625241428069,-0.01773862768756866,0.07304634146071201,0.019298021946718993,0.015472750041264973,0.001351975611886522,-0.08931897152638113,-0.054127825065296696,-0.034794554901446985,0.02450062168241364,0.29433110591593686,-0.312580547385111,0.15264011126087387,0.07641358235149912,-0.0004911452388587419,-0.08025971376431619,-0.15403712993837404,0.20770698265147877,-0.13968317181020173,0.03153877251189598,-0.013468290158511836,-0.06639009790444184,-0.15093980364475512,-0.3540851979995666,0.08856506107646296,0.010536940699089135,0.0920054635405935,0.15187607996513475,0.24646883136415368,0.04311066087211619,0.3028605187458748,-0.2806395612712762,0.1898372194024691,-0.04888239551442323,-0.16755360092509414,-0.052525668232425424,-0.15784081647179105,0.15333892444785788,0.015516782236266577,0.06394991216915566,-0.05622143059497298,0.2729113460147745,-0.22436331270588533,0.0020245054668750415,0.3635167690028122,-0.16137127718619182,0.13180806429452066,-0.01787882606416745,0.1545499429700585,0.0070051265147456476,-0.5074789557462633,-0.010066845686569778
Red_N_R,0.12041497677681046,0.37449533487494213,0.12458205779368121,0.24893925684369766,0.029616939246046435,1.0,0.43096077833479957,0.2361785473113483,0.5252391713155795,0.20997659163856836,0.3937133438354767,0.2734816572703847,0.2596102549236392,0.30029834903567043,0.4070796434225582,0.06615407758316087,-0.020412207101754825,0.09306710453495282,0.46740420387267356,0.24662055208846695,-0.15635203231956737,0.1458993267753829,-0.0799692195541983,0.1625625713638048,0.24973781379283433,0.08618374986390613,0.34327957544806964,0.2541124376807074,0.29661592909360046,-0.06640682076822102,0.35694301540932877,0.16925870013604638,0.19596307224778284,0.2803134528060742,0.3320129935695968,0.4241719964527871,0.07917991743192798,0.39862360028890625,0.25717532160401685,0.2749568400990423,0.030431192800285677,-0.01306825381857171,0.18732958480514408,0.49940247641755064,0.04102430951502546,0.19755129844331135,0.2743404362267567,-0.1317015247688797,0.460934452101226,0.3156842906398218,0.1933849138360217,0.20003009982030834,0.24504228005810605,0.2531106919411695,-0.0020025203402647897,0.367937742078286,0.3597302017015817,0.17601581526941484,0.21478506687451693,0.18409711395569808,0.22794764014742835,0.17474025656965542,0.37706095876884493,0.3617189926663738,0.42111057894827353,-0.03400760282267909,-0.04491605105400714,0.19838025167548895,-0.05779283296356916,0.34109098067587057
Thal_IL_L,0.037029130506353224,0.6174224682885247,0.20382520762932993,0.5394353631858715,-0.1440890740734824,0.43096077833479957,1.0,0.414113681943235,0.3315450469702345,0.22009277737249747,0.28783631799009307,0.20494117111018273,0.3160988356422673,0.679146525214932,0.09589175873167718,0.08432648185494972,0.11868790665493271,0.1883107373566248,0.41884175101961907,0.19345034325004953,-0.18057432570735926,0.1465282475277191,-0.030018843808854882,0.49302381961723724,0.4686127216756532,0.08063973244204647,0.437820926662769,0.47784483490623264,0.24779422390175668,0.13798674697186425,0.3338638423931541,0.09852086614062268,0.1324496958437426,0.5918102244913663,0.6121207735410563,0.4938236665182907,0.2534668038293676,0.4744369156142034,0.31180100454282705,0.48300901789659423,0.24992649028226177,0.09382426535042412,0.4711492782793165,0.6088038116675237,0.15962402030983222,0.09564139557740434,0.29565690900094194,-0.07276165115769004,0.3517190326459824,0.35529300301681993,0.3586948808556261,0.010755460002579475,0.6411470055103797,0.47734488696737254,0.17689318270324694,0.612915995447896,0.3331802401289486,0.02845464958269393,0.5179561074340959,0.15266701150601408,0.40660232451444506,0.3686701652412918,0.37294083114892773,0.4608300664630435,0.4925121088035157,0.1726478041613568,-0.13522141229525694,0.5579134732423052,0.12277617838474317,0.5752698644668699
ParaHippocampal_L,0.19383188254399053,0.42904084197884723,0.4137447864854951,0.6761399962276807,0.3625154284220795,0.2361785473113483,0.414113681943235,1.0,0.4279038985851624,0.06391228363119578,0.5028260950599938,0.5057880448905474,0.46458732511408385,0.4488495526634891,0.14355020937854712,0.04214516055892557,0.17942269924680804,0.2309248002031449,0.24304823123210081,0.39454312880370623,-0.11476935177456592,0.24451016146042887,-0.07463710530814617,0.6338358355004012,0.2702766260875946,0.08144929283081041,0.3590421577762962,0.5186440722481431,0.5366843540904305,-0.023365025491473075,0.5083119626715075,0.2940641923577816,0.19483415576969265,0.6442340196480928,0.5892680088336808,0.6243757786129345,0.3681658809883026,0.559774452148363,0.40498938965535874,0.5540161244336986,0.36179468489712746,-0.16115342379789216,0.6476433636454771,0.5087669272450391,0.019246288255179964,0.121473905696044,0.4431261210311025,0.23908453601727325,0.5627456449325703,0.06404915958837816,0.358317895100463,0.02751623949037832,0.46686518133611776,0.43002052018637904,0.07894660789408715,0.6196298686696639,0.30469963973486597,0.23715124453928757,0.5109113409463825,0.392482227343222,0.2773947716934139,0.23986854092154733,0.6926121322029789,0.3106255905084797,0.33409173786947866,0.2106162761417707,0.0022089703932745347,0.46031551773515134,-0.24464373559236538,0.5995572325766976
SN_pr_L,-0.08649785812250138,0.39317174888937273,0.05629884785644453,0.36916719614595744,0.2572402087183596,0.5252391713155795,0.3315450469702345,0.4279038985851624,1.0,-0.1446535812276687,0.551712870208106,0.4742952688373284,0.4475755593286433,0.23763506814857535,0.38965362241355334,-0.10135533613483838,-0.13871244743572064,0.18777313227514716,0.5506385063518844,0.16103580476381638,-0.23739906542318318,-0.06429907646196659,-0.14831324253013908,0.24639455470396215,0.2688992737566609,-0.2131106125870324,0.2839904633452602,0.22477291073481653,0.42590817215173565,-0.17310108425892928,0.6010411790545024,0.0828116096536381,0.19121916234852543,0.3970060660643549,0.3641290116619907,0.5927433459153518,-0.03434248491556989,0.4760035261792267,0.06171508871477223,0.3076685753236837,-0.005055791822927092,-0.13407721609316164,0.19343932280081133,0.3457049040671915,0.23920621477254325,0.08988839803888513,0.4975344526815786,0.15182661141060708,0.7001631987219977,0.09925178834621179,0.3576288497505836,0.12106554641606167,0.15678425467881182,0.27264730569669027,-0.03099219254460129,0.51070185799504,0.37548254472958703,0.028306161661999747,0.20710009092102472,0.42858827328823335,0.05024551953001589,0.023207969333230976,0.5848165369881989,0.10419627475679062,0.5805511141560766,0.04189171232274597,0.0161068724379215,0.2703442489457861,-0.21253942052391148,0.37394008652168664
Cerebellum_4_5_R,0.2319517875351788,0.42717976278435477,0.321915057476236,0.0394896118855279,-0.18635296991995054,0.20997659163856836,0.22009277737249747,0.06391228363119578,-0.1446535812276687,1.0,-0.10933149170034183,-0.13984442150639648,-0.06972826427283672,0.5600750837565349,0.14495285266543154,0.39250888590855754,0.3717740547705823,0.2986771724481797,0.3325871719390077,0.6336795542901552,0.3281536050783158,0.5541035835308846,0.03217436343610127,0.29214126753050185,0.2578889161025232,0.590262678757796,0.22916812819667182,0.17732126333735868,-0.13687135048288698,-0.055166257085898146,-0.009888334200767181,0.12744236047085852,-0.03183252166575409,0.07903357713930749,0.13155446792223952,0.21540523356942112,0.6859896620974165,-0.00021673848606102158,0.5569274549255541,0.3302007017116672,0.28845083331507676,-0.19130929405955302,0.026190754705112326,0.44514022176055246,0.035633867863099224,0.37141426371039615,-0.19184251820649928,0.05133902811558333,-0.15862581366700462,0.46559943674623655,-0.20857233057869204,0.35097950559942426,0.4853046745357146,0.23194644103646422,0.2279984313189113,0.10999391903408026,0.17239207532688586,0.21787035516897924,0.3528876507481557,0.04053744608905287,0.4525803078656683,0.1791251370559302,0.12567611915544438,0.7911619303567062,0.013065868469723902,-0.179938869286157,-0.06431821167844702,0.09656434745272119,-0.06455082004488064,0.07113219099067865
