,Parietal_Inf_L,Precuneus_R,Insula_R,Vermis_3,ParaHippocampal_R,Frontal_Inf_Tri_R,Lingual_R,Rectus_R,Cerebellum_Crus1_L,Occipital_Mid_L,Thal_MGN_R,Vermis_1_2,Cerebellum_4_5_R,Thal_PuM_L,Thal_VA_R,Thal_VA_L,OFCpost_R,Red_N_L,Temporal_Pole_Mid_L,Lingual_L,Rolandic_Oper_L,Temporal_Sup_L,LC_R,Paracentral_Lobule_L,SN_pr_R,OFCmed_L,Postcentral_R,Cerebellum_Crus2_R,Precentral_L,Heschl_R,Vermis_7,Angular_L,Putamen_L,Precentral_R,ParaHippocampal_L,ACC_sub_R,Thal_PuA_R,Vermis_8,Cerebellum_Crus1_R,Hippocampus_R,ACC_sub_L,Supp_Motor_Area_L,Parietal_Inf_R,Frontal_Med_Orb_L,ACC_sup_L,Cerebellum_10_L,Thal_PuM_R,Cerebellum_Crus2_L,Thal_LP_L,Frontal_Inf_Oper_R,Thal_LP_R,Thal_MDm_R,VTA_L,Temporal_Mid_L,Thal_VPL_L,SN_pc_L,Thal_PuI_L,Frontal_Sup_Medial_R,Cerebellum_7b_L,Olfactory_R,Temporal_Pole_Mid_R,Hippocampus_L,Thal_VL_L,Temporal_Sup_R,Frontal_Inf_Oper_L,Thal_Re_R,LC_L,Frontal_Sup_Medial_L,Cuneus_R,Heschl_L,Supp_Motor_Area_R,Vermis_6,SN_pr_L,Cerebellum_9_L,Thal_PuL_L,Rolandic_Oper_R,Cingulate_Mid_L,Thal_VL_R,Cerebellum_3_R,OFClat_R,Amygdala_R,Thal_IL_R,Frontal_Inf_Orb_2_R,Angular_R,Caudate_L,ACC_pre_L,Parietal_Sup_L,Red_N_R,Temporal_Pole_Sup_R,Occipital_Sup_R,Vermis_4_5,Vermis_10,OFCant_R,Frontal_Sup_2_L,OFClat_L,OFCant_L,Cingulate_Post_R,Raphe_D,Thal_PuL_R,Occipital_Inf_R,OFCmed_R,OFCpost_L,Frontal_Mid_2_R,Fusiform_R,Cerebellum_10_R,SupraMarginal_R,Thal_LGN_L,ACC_sup_R,Thal_IL_L,Frontal_Inf_Tri_L,Cingulate_Post_L,Thal_PuI_R,Cerebellum_7b_R,Cerebellum_8_L,Frontal_Inf_Orb_2_L
Parietal_Inf_L,1.0,0.5041111145911916,0.10967384582082605,-0.08601519347103466,0.1496013882162769,0.08048636405308555,0.34956776610533175,-0.3094304774646125,-0.24918872622432972,0.14153292329040346,0.295816278593156,-0.24582034654437307,-0.03535441640336392,-0.2862646550610805,0.3996835603558887,0.6017657807752214,0.2860206266489775,0.4255155498413997,-0.4595016152947014,0.36474649055893327,-0.00697642504236912,0.34946930211148536,0.15079714033284977,0.5047999557055766,-0.3177190295647081,-0.38777117595341515,0.5116126697512055,-0.12458649247464404,0.706522011233632,0.05715916971542728,0.0071043128021544425,0.6798053246486726,-0.18184858480321012,0.4411573363370049,-0.2104287322263934,0.06215107910486138,0.47266711172022335,-0.05196993366727558,-0.11358280856203862,0.04746094944745292,-0.06473494598205028,0.526675042893245,-0.04851431740063628,-0.13797472541302766,0.05640936056116654,0.04858077336562112,-0.4067313842096903,-0.19614177877225647,0.2287866468839654,0.33509532921211344,-0.23531185074244967,0.5929346278195935,-0.19050480564252273,-0.060602806968054444,0.40921672421642036,-0.5050164377358872,0.21387358744746013,0.3148216431758585,-0.24784874559941947,-0.08411810662228673,-0.2084313743204178,0.2554902451975914,0.6121992857712263,0.19461094865886924,0.19259318852241583,-0.2666175142725689,-0.5438053553142255,0.2460900255545731,0.578979237669119,0.047769127100267074,0.5149378272754288,0.147893281463056,-0.4126640379256849,-0.25700363492675365,0.406398448638556,0.3091440004071132,0.1452804826600481,0.4816128553425222,-0.08554896426719624,-0.1566334506257712,-0.0207891978994673,0.28261348849133006,0.04464051407921598,0.27615229884967524,0.21321441954947146,-0.08464225239726994,0.2818395911433159,-0.10456963876473728,0.03901584475529531,0.2738805420656847,-0.0011501244059230983,0.37600194312993795,-0.07116003795025658,0.36884718534761085,0.013472487733237691,0.03742595086358893,0.06994425465686102,0.038874640303639685,0.15005144666469214,0.10806967393206367,-0.21523001075664483,0.4834409008319899,0.28974496147657175,0.154004481910693,-0.06616052998275125,0.6671532364256204,0.5383609813202199,-2.9471160124643118e-05,0.5125761303106737,0.1348661851695307,0.21793590164322046,-0.1961580303329565,0.062447901461736434,-0.3894250443154841,-0.08144384943070827
Precuneus_R,0.5041111145911916,1.0,0.6101907093076805,0.3338073457913641,0.7186398486074288,0.5317110205780042,0.7915018240524883,0.033843822896552495,-0.1981085542975772,0.2654759325520676,0.7230008166422719,0.25129617956522665,0.4725127860496154,0.044945565552397565,0.6676774413085014,0.62509058988828,0.6410278953341481,0.47573532490202936,-0.17714276784669916,0.7148529680903083,0.5079429798111176,0.7142444963474388,0.2979946729945868,0.6291186780218352,0.18642567585342262,0.08174651003292495,0.5121020411807092,-0.09144325151617684,0.4562673386725231,0.5743785863173543,0.2866317414669355,0.588081076147251,0.23046410906093237,0.586862560665118,0.3242490633159957,0.3905930014939805,0.4872007509075978,0.24105944468949564,-0.10990979846071137,0.6656547940651777,0.3375785822980052,0.5590679342007792,0.11699991055429726,0.13885995224315031,0.5296136763623703,0.4944169029142437,0.1484353687550233,-0.24749050155257052,0.3941473066036821,0.8240577241988982,0.15600700248539712,0.7450653341605425,0.24564880094577443,0.37452193449273125,0.5371251601566005,-0.07989045293671966,0.27728120535385903,0.4711935141316241,-0.12827852962072622,0.378959867739963,0.1333394441239888,0.626457133633056,0.7296726586518509,0.8145779301391114,0.5310157523054337,-0.032268304207295845,-0.1737089224737263,0.43687646215121556,0.7609768997389569,0.4589303470017935,0.5774366146510976,0.5576786093988906,0.12225922002799752,0.30514265072384156,0.5016249625375764,0.7952813540324531,0.8153299942080945,0.6842929039470383,0.3697593524449756,0.3286513561502109,0.39020002781390517,0.627677051386433,0.5766294876730639,0.4226632981631842,0.5655013496900217,0.28873788165852976,0.31259152811173363,0.3396136745231387,0.5999167887218245,0.3925869288493064,0.5565424718812828,0.6310427378309214,0.2752345852202337,0.20583834184671498,0.43084804499504775,0.39112354816677486,0.6767575296284533,-0.0015241001791522948,0.28378845865148195,0.17784388303026882,0.19020566961574747,0.5328213012467574,0.24964043552924373,0.7487027462878099,0.40256004150724434,0.5560840169164579,0.5396337468473249,0.5029735216452541,0.5127930232934168,0.3522064121007977,0.7423797796511373,0.1315356113139889,-0.11317435350290582,-0.11364672907135433,0.3665748202568736
Insula_R,0.10967384582082605,0.6101907093076805,1.0,0.666551687138385,0.8520755975448538,0.7243980972559305,0.6248394377822586,0.3340610107039792,-0.05547923175845998,0.34700664771375095,0.6685947927401903,0.5408527185211647,0.7837254447086683,0.4989668945785977,0.6636927438835539,0.31346247394752097,0.784459551849086,0.13864915911459255,0.2700899012859881,0.5554909476732235,0.6785127464331429,0.6912751284560056,0.22257140113070137,0.15484486332340439,0.626194147900078,0.3197613309802058,0.2398769920902473,0.08475636805401031,0.03027379457909751,0.8200438759899714,0.25725678245766576,0.11908963178991745,0.608630898456786,-0.04162552745542842,0.5716087117806712,0.7055106805279061,0.28968543752181386,0.5284744105772011,0.07932512187737531,0.9197458331553592,0.6797626092367771,0.09927057992657962,0.22889342016983863,0.4351468674129659,0.8453358501696628,0.5926055806871963,0.5750886735374313,-0.1647447881289987,0.43265421241692736,0.63623291894182,0.35842503780248347,0.5575082517969,0.2740880641338548,0.5304836973703109,0.2788599177086274,0.27498476074241845,0.14499794383381262,0.426872387202447,0.055357930468742864,0.6388193218876028,0.4446804547083645,0.6447254178465045,0.4728252809552894,0.7839622527662845,0.4740362317887404,0.2519870835522815,0.2362750595479511,0.670737007835796,0.33580212256533915,0.5986975607165512,0.17298113372494167,0.4769160831908857,0.48398656437498905,0.4874967254711242,0.3906510837250407,0.7250170605546027,0.7812809578807024,0.5000588308517006,0.6291236338992726,0.5279602449056394,0.49580095363677107,0.7055763167226062,0.8011961498171862,0.14286100231980495,0.752346314107853,0.7183618541417558,0.33473130975015397,0.7346152516932942,0.7462820503442986,0.34306222672082254,0.7550478605373376,0.605215707479203,0.5963954916705173,0.2566405118580395,0.7870778260171164,0.5355774156604176,0.6566249811988737,0.17568838394950534,0.22471029764689193,0.2188529742417581,0.49761426350474175,0.4665530237980693,0.13755706912727464,0.8016770016997197,0.6105453213129515,0.07478529446133692,0.26858737400557187,0.6682915472382348,0.11266324254918629,0.7024567994284995,0.7394504629680673,0.17088137461704334,-3.161575881777701e-05,0.06430187391558152,0.7103605907884252
Vermis_3,-0.08601519347103466,0.3338073457913641,0.666551687138385,1.0,0.6460250744179996,0.49247717415490444,0.33589046712521586,0.4100745883309776,0.025785476195151386,-0.10129961610317302,0.3644094854848656,0.7219182715395427,0.6155386774275186,0.6912005472373453,0.43176233594103536,0.09748480137792438,0.4854199319238989,-0.10370635397970497,0.2534220262604719,0.3717622734653811,0.7452143816248984,0.6326684959137654,0.17332913470518757,0.06377196954708286,0.7213246114476505,0.37718523044392493,-0.21853645681473177,0.05233307276363329,-0.045740115840523274,0.5855647789763395,0.19267949718970068,-0.12838431893690597,0.6124824573697515,-0.17095626492149096,0.6761111887518091,0.5115376741063731,-0.0038132099622907724,0.4434012470784253,0.0810103870339286,0.6626341133169034,0.5597325631964576,0.01005222616219822,0.1928249903031373,0.42484611290230967,0.6846584876104072,0.5547088389413605,0.5759730769151141,-0.04624446946239285,0.2167611127111915,0.43012938300284853,0.48947975646030883,0.32236301680174395,0.4654958609510879,0.5549012668524771,0.09262738512263417,0.42651973780024854,0.011217615733196316,0.331110287048704,0.11657491544632612,0.5542047936985174,0.38744512755704374,0.5427826299213734,0.23691614589624907,0.5457549700471797,0.5406664324282748,0.17283517013095467,0.4701776841048044,0.5241150190150953,-0.07354463681004786,0.6669317384119348,0.032546985076035956,0.31384602713738,0.6240060832120025,0.5400095806337963,0.3419492456269351,0.4194017881952356,0.664678013192837,0.2557797091827344,0.6002523195278832,0.5001455767550319,0.45274508746473197,0.4380907575979637,0.5592768570487976,-0.09857605839504881,0.563791338826761,0.6415327305807208,0.02652438212551361,0.6679156523358641,0.5556443011439383,-0.05994821713341837,0.7907961191446629,0.2959629606562197,0.441923190929804,0.11714080404959287,0.6661566332732765,0.5231954801768213,0.6555480192749898,0.06169317905637774,0.23991424505952033,0.011209100079355624,0.4582922286411595,0.3519377456263693,-0.014893529355280943,0.5713363545281868,0.5246966917156859,-0.2793563898994558,0.10666148403157272,0.6475818044376858,-0.10490243272723938,0.588556054828028,0.6529400649525648,0.1947357967345574,-0.11386202306127903,0.26400228196797765,0.6549162499503994
ParaHippocampal_R,0.1496013882162769,0.7186398486074288,0.8520755975448538,0.6460250744179996,1.0,0.7451892034207835,0.6176213481425121,0.24095729223787724,-0.05515020820427126,0.09548957150914456,0.808178705632079,0.42173106801874205,0.7368067484013832,0.449469269292675,0.799572573918681,0.5020369401457629,0.7680909005952398,0.18510557829414906,0.13383857718656286,0.5714273484817672,0.7427971915007929,0.7544859139038851,0.16235084069131978,0.20289929642468188,0.5526777363893218,0.29003642464247553,0.22901882229501105,-0.06365885925748074,0.150111273720094,0.8276950281820281,0.29235315871606965,0.13396572600641027,0.5536595246710961,0.20080494769288632,0.703423762193823,0.6628791861466299,0.3859652170286894,0.42019510808668287,-0.10943416920003038,0.8587478253818378,0.6045023574746533,0.2706138005953404,0.12276770068209665,0.3386902517490342,0.8355818928240267,0.5522618164205372,0.5512191249222551,-0.19864092079132875,0.5128508854049147,0.7655928072897424,0.24476443955596017,0.6148092206940535,0.26408320248725053,0.5571254398213275,0.47680159074005257,0.10893129159759325,0.1869571251472041,0.48229514236280185,0.02480509528304903,0.5106062455939911,0.28933844578801854,0.8261396676351459,0.6617729181912462,0.8313605050098686,0.6105380089190747,0.12372535061454344,0.23757809561436097,0.6221160934584719,0.3260699951596826,0.7361208511726782,0.27206156407670296,0.4983049850714821,0.4175997493765991,0.5100261508208707,0.4051145680991364,0.8373369915366057,0.8476497058287784,0.6983618794303136,0.5967623404301923,0.46279571585888846,0.5897423067606775,0.7241688157408471,0.6515969676895116,0.11862006162135945,0.8127350587966761,0.6371205741677007,0.1895284985008582,0.6644916797212805,0.7465079628051418,0.1816034623662375,0.751225245956325,0.6505284645169909,0.4613820876002468,0.22293228108899116,0.6956534555427838,0.5393951459135788,0.8437653194356045,0.13323454192575906,0.22314847712093142,-0.0026801443749176427,0.40078506164310645,0.5413520044062663,0.19858973478098857,0.8256779739416233,0.4651713067403412,0.15480649102897423,0.4282807381737752,0.7079630742072087,0.193886668523682,0.6304615625209983,0.8690060772321573,0.29130857387730935,-0.1784835338756838,0.11071721875625724,0.6667597154097693
Frontal_Inf_Tri_R,0.08048636405308555,0.5317110205780042,0.7243980972559305,0.49247717415490444,0.7451892034207835,1.0,0.5408597531010537,0.21251922083623082,0.11195062145932459,0.13871498504827115,0.6151530012839337,0.3164916403945511,0.6491190134093746,0.41366180275665215,0.6844265999063823,0.424154008682784,0.7249853183476037,0.20036565477925686,0.23201253507923572,0.4924563636431314,0.674811367313913,0.5707450346518257,0.22564362285201603,0.17764325954973056,0.47608840516295214,0.2729275462042131,0.16251888564632003,0.011053540996177821,0.1860027274804483,0.6491650397230794,0.32070321085577264,0.10523918167394232,0.5435820437195854,0.2338253169504773,0.6071133618072602,0.7645012142536801,0.23190273421423693,0.5225441389558284,0.009168200646800418,0.7429086445666432,0.6921098416057754,0.3255003754502174,-0.073543392857505,0.47054307060476636,0.7556190334367014,0.613786857354231,0.5792687144674236,-0.018145891347339915,0.42302619086116666,0.7738017286909354,0.3722011767801265,0.4848328029021737,0.18435650517476163,0.4982759248267583,0.35774364522240354,0.18690282679224005,0.23599051962645176,0.706796891462562,0.17665011321662677,0.5586838502277035,0.41107163971110144,0.6637858679257982,0.5285008848918943,0.7632843504440243,0.6176011854111305,0.19841740689991047,0.3052527175028937,0.7059029426919047,0.20519579922828515,0.6520553314144587,0.357577647152776,0.4484063809782069,0.3733112293379568,0.5575975329738698,0.22115628430512094,0.8523916553913063,0.7141059577739164,0.5420293650598812,0.48573216889162335,0.5016294978411191,0.6037905265053796,0.6332663038581697,0.6956031783778375,0.19360120467826153,0.7586615311270001,0.7353306011333758,0.1157178254372382,0.5842386540202481,0.764284251947554,0.08739358568223378,0.6416130949181568,0.5954348240851408,0.5257824246619887,0.42562035215776417,0.6783696695307672,0.6429190554374173,0.6594107070185413,0.08837097850616125,0.008004370695474074,-0.02391226763499664,0.3773916370278244,0.5138831683945373,0.4937455080630437,0.6949396931484788,0.4174496315952767,0.07426828559071084,0.3042345216078167,0.789517540212115,0.1693585310534667,0.6658344822718137,0.6441706606713921,0.21360830156377486,0.0177166797488685,0.20157870204301703,0.6306914135714805
Lingual_R,0.34956776610533175,0.7915018240524883,0.6248394377822586,0.33589046712521586,0.6176213481425121,0.5408597531010537,1.0,0.13506238104089852,0.11186557552128325,0.3633269878496281,0.657202705261705,0.27536832201984957,0.6446169887370305,0.175479043362516,0.48143188020296646,0.39432243675318734,0.5716715944231382,0.5809835493297153,0.19151219438422917,0.9342879987783291,0.46447678561496447,0.6589820123303546,0.49942712506762316,0.35516715512154184,0.20981722851359397,0.23523635781184576,0.47018033926038183,0.14166814984130277,0.22913274658106875,0.6397321373966861,0.6006751671758986,0.4248327912686327,0.3364910823919831,0.26598812734557514,0.29610128883377107,0.40547167190684735,0.5074900453754244,0.5571907644941937,0.14251887323916368,0.7021580983832557,0.44153482041113407,0.3367297696202972,0.06872678593399718,0.25123088014155887,0.5352969148296397,0.675160466584758,0.294080216148336,0.03011517647554846,0.43567576861256924,0.6245971346834271,0.21706133097596297,0.6570972141925592,0.3223147283842937,0.5212247279789336,0.49048220489380623,0.22208373816089763,0.4471660291416921,0.3161566441361199,0.22235792581690894,0.4573751093628163,0.3914673531800288,0.5433357837037339,0.5603393506997882,0.7869871866438577,0.38765161841450035,0.02582123815687691,-0.06267868997122084,0.42079707007523987,0.6315541879793847,0.43217052151618,0.3829185484861174,0.7965594479529554,0.2841516822754801,0.5315133109905296,0.43786372403727913,0.6858792015674673,0.6954803935458119,0.529131437349474,0.41459365195980713,0.3283689287165861,0.2108885850563899,0.5439146237964664,0.6210428660741041,0.48662784685931443,0.45073849014356493,0.4254325876156697,0.23019612090450475,0.4474532958529977,0.5735933737419321,0.33799441742556097,0.7057172519572089,0.7955472202298995,0.4368208902300139,0.24376064197265793,0.429653960984565,0.4244368802936129,0.5365544711265056,0.07537580020817282,0.24301411407719914,0.2204933067188873,0.3537234821768063,0.350331208154824,0.2106131292204694,0.8330993854644391,0.6149378655018068,0.45292093664432964,0.45034651752456845,0.4836693939223677,0.4622661205003268,0.44108669798081807,0.6735966067119761,0.14048875072424005,0.304127250568459,0.09047308076603329,0.47606177575052333
Rectus_R,-0.3094304774646125,0.033843822896552495,0.3340610107039792,0.4100745883309776,0.24095729223787724,0.21251922083623082,0.13506238104089852,1.0,-0.21833393657917988,0.00434583525454202,0.14722990572149644,0.40762016141584495,0.3147476122373735,0.46826403061604527,-0.1523235416639585,-0.4988452168689383,0.018587295698164488,-0.3414421935671298,0.6704312289819935,0.09823703100079202,0.3467968316205083,0.12783619649551742,0.008424507518897801,-0.21436585016773202,0.650946457311584,0.9069509670474811,-0.3550899290273359,-0.22231302605750045,-0.6116509373826946,0.15626286990458094,-0.05588893387755042,-0.08837449748003041,0.5191197170672147,-0.5178320773122361,0.39820735107992017,0.4872070282427898,-0.49656414205348504,0.05363308183250151,-0.17234950723846065,0.4152849779422494,0.6862915770960295,-0.5730863736859246,0.2763005332651299,0.802105519712865,0.3575896837334002,0.3603972010596167,0.43937281266014283,-0.31732340831147027,0.053434758381789196,-0.10983978600693817,0.5883373296832288,-0.17294576225219221,0.32909039843741816,0.2706416103023923,-0.42047478885250095,0.5345575873162769,-0.11340579281135932,-0.31376072874581235,-0.14149893780215292,0.7759514033316276,0.791186329328614,-0.011722412761442529,-0.3169790527315091,0.2382178967544365,0.07300604371662704,0.31109505913582736,0.3788238841732554,-0.08326645479464462,-0.13604018665469605,0.3711986320548043,-0.5268355424677779,0.1240940504447906,0.49109217518805925,0.30818525904781213,0.010407231934887705,0.08388565644002656,0.28010456011542656,-0.3464308179812083,0.3922201591365854,0.7574759456652288,0.34631467191464116,0.17212341548389162,0.5541679915830913,-0.06295215511517292,0.1313001784307164,0.44650925626874644,-0.011301312810608822,0.47063826797541203,0.4598420561464864,0.007381060704998011,0.32772527977105825,-0.013046099877600017,0.8378854507153634,-0.46345685322362573,0.3418934812327819,0.6155844694103415,0.23344168106043,-0.0850933806034214,-0.056891618269915414,-0.0092219808492386,0.8783650105090742,-0.21370357909973364,-0.6232580694825167,0.2794716238301328,0.29243292541753,-0.4516726240370983,-0.1715126609173129,0.4198542665351503,-0.4462198623639696,0.10426759662525141,0.1904764849936882,0.0481708066180041,-0.09116610467487651,0.007777332956931701,0.45130130206918617
Cerebellum_Crus1_L,-0.24918872622432972,-0.1981085542975772,-0.05547923175845998,0.025785476195151386,-0.05515020820427126,0.11195062145932459,0.11186557552128325,-0.21833393657917988,1.0,-0.23108856041450204,-0.006889336727151745,-0.03186888582641368,0.3836951384402809,0.2705753721091914,-0.040344665136741405,-0.06851900788999044,0.134449853433135,0.3755045110890776,0.38459410051440923,0.18688911330561642,0.1541313688082509,0.12106370386728312,0.2689914420834371,-0.31234904660172874,-0.14276685176726184,-0.06620807262941125,-0.18285301854980596,0.6818702777403589,-0.07127111154183458,0.034270184756524165,0.7299720656297786,-0.454494364484085,0.1509885889240186,-0.00010491261762117057,0.3093472139040387,-0.01637572471737535,0.1298445228406581,0.6534973264154199,0.6551091874962496,-0.03274845431209683,-0.038249149044637464,0.061969856696505,-0.2796845047224202,-0.02299445277137267,0.054419906082299185,0.20898678091086081,0.20682408922220116,0.904127824770798,-0.01605612899070863,0.037913211769381325,0.028296850231852435,-0.020398265342551042,0.040305297510616296,0.46107470108914794,0.24140724076137385,0.478106966066677,0.3769130286583726,0.2565665388746142,0.8796448336919988,-0.08790135332684558,0.08926449738022733,-0.017932686937670042,0.012812195735011897,0.009477825568802513,0.10559391946256111,0.1003786442387164,0.4962314799010446,0.2298105697370426,-0.4122839264260589,0.05964702624526495,0.09375641850551185,0.31398386938868306,0.2583534398144785,0.5616359111492515,-0.10532607595329198,-0.06581860381567355,0.03194362065123288,0.023376898396642202,0.2623040278249858,-0.36674084222800607,-0.239719243727299,-0.003613172333560629,-0.1414118299364103,-0.0285879158580414,-0.012484668303665073,0.07389294540895175,-0.35328506104041485,0.2593388521732954,-0.08856244394751969,-0.44314255095604693,0.2618327008761658,0.12408877231286383,-0.1846424327850496,0.3458559256427142,-0.05434532775436871,-0.023722970381469772,0.138656744349903,0.1249636720504476,0.1107293120942594,-0.1277346104263474,-0.0817344566326795,0.06361579427396223,0.3801913537844891,0.11804944242893864,0.25923483771661415,-0.20292206942964341,-0.18462692113278592,0.09040302220944896,0.1943500080836451,0.25417966556789157,0.12205346115360897,0.15534314149608738,0.5680648717592127,0.8771834685420016,0.10756884119415148
Occipital_Mid_L,0.14153292329040346,0.2654759325520676,0.34700664771375095,-0.10129961610317302,0.09548957150914456,0.13871498504827115,0.3633269878496281,0.00434583525454202,-0.23108856041450204,1.0,0.15685213126090425,0.05397111713277473,0.18281922269740486,-0.18888044671614843,0.007399170171845361,-0.04000043257010658,0.12301232888307917,0.0920142296585038,-0.08287153912570093,0.15098280489769136,-0.2042644252755199,-0.1208153743002733,0.03439121369528254,0.25657467065101924,0.11127251775379997,-0.09510081398682213,0.5032248519219169,0.28713797152610526,0.015057374509079,0.2799939615559562,0.05236649956983897,0.187291139875275,-0.19493816386486346,0.0025129707172103968,-0.2870378647561728,0.024108631301400042,0.0970323797402728,0.1368397196274864,0.29175884631098403,0.3093986757029313,0.02073376796790377,0.04600449059114024,0.21212299196133405,-0.13334243605980683,0.021475737530096628,0.07846331235024627,-0.04088397665191438,-0.17518294814392388,0.05811825352099345,0.1447413826115089,0.11856233030184422,0.13585896978045242,-0.020135070605515254,-0.2721076207311686,-0.1604230880521343,0.004424056153512348,-0.025105319308302513,0.02914998753748669,-0.17149789309005542,0.1531687660290008,0.18137611915409071,-0.1527322361843572,-0.02968919314545207,0.2502458335655251,-0.19244692080894737,0.028713972361292174,-0.3586854919428042,0.14505614926007226,0.6460054474787087,-0.16147358323532426,0.14688640720705537,0.20017381725462638,-0.08443091156523622,-0.06522696584756,0.06783601354261205,0.24492326279316085,0.08243900432717709,0.02672552375732245,0.10587215720169589,0.16257680791767645,-0.05501035167321994,0.09499306882489335,0.34721844982869093,0.3326878393314622,-0.05426064630621875,-0.0008041633143575334,0.6240201495869093,0.056243306936298254,0.19655525640905938,0.8657466046702603,0.04477153267027578,0.22102415847137674,0.1486378733604299,0.12022325034314202,0.05798019910454182,-0.1325031057922812,-0.20761189675133512,0.03967425260843358,-0.001541067294217734,0.7743948110488454,0.009711444628245499,-0.09694194401878609,0.08904635378077518,0.35358333348413035,0.3005838166840936,0.29150338140872634,-0.0011693068593315898,-0.20630762812588646,0.02483992083135979,-0.008664718098634798,-0.08890790128602359,-0.17569072593909385,0.2280906927684564,-0.2937346945515196,-0.12603562105947574
