,Cuneus_L,Temporal_Sup_L,Temporal_Pole_Mid_L,OFCpost_R,Hippocampus_R,Rolandic_Oper_L,Cerebellum_9_L,Cerebellum_Crus2_L,Frontal_Sup_Medial_R,Temporal_Mid_R,Frontal_Sup_2_L,Cingulate_Mid_R,SN_pr_L,Frontal_Inf_Tri_L,Thal_LP_R,Thal_PuM_L,Cuneus_R,Cerebellum_7b_R,Lingual_L,Putamen_R,Thal_PuA_R,Rolandic_Oper_R,Amygdala_L,Parietal_Inf_R,Thal_MGN_R,Parietal_Inf_L,ACC_sub_R,Frontal_Inf_Tri_R,ACC_pre_R,Putamen_L,Frontal_Med_Orb_R,Frontal_Inf_Orb_2_L,Cerebellum_4_5_L,Cerebellum_10_R,Angular_L,Hippocampus_L,Frontal_Sup_Medial_L,Caudate_R,SN_pc_L,Temporal_Pole_Sup_R,Amygdala_R,Frontal_Mid_2_L,Cerebellum_7b_L,Thal_PuL_R,Vermis_8,Thal_VPL_R,Frontal_Mid_2_R,Cingulate_Post_L,Olfactory_R,VTA_L,Parietal_Sup_R,Occipital_Inf_L,N_Acc_L,LC_R,Precuneus_R,Cerebellum_9_R,Red_N_L,Cerebellum_8_L,Cerebellum_3_R,Frontal_Inf_Oper_R,Rectus_R,Thal_AV_R,Temporal_Mid_L,Precentral_L,Thal_MDl_L,Thal_VA_R,N_Acc_R,Thal_LP_L,Thal_PuI_R,Paracentral_Lobule_L,Thal_VPL_L,Fusiform_R,OFCant_L,Temporal_Pole_Mid_R,Thal_VL_R,Paracentral_Lobule_R,Frontal_Med_Orb_L,Temporal_Inf_R,OFCant_R,OFCmed_R,Precuneus_L,Temporal_Sup_R,Vermis_3,SN_pr_R,Vermis_10,Frontal_Sup_2_R,Lingual_R,ACC_sup_L,Cingulate_Post_R,Thal_MDl_R,Pallidum_R,ACC_pre_L,Cerebellum_6_L,OFClat_R,Thal_IL_L,Rectus_L,Cerebellum_10_L,Thal_MDm_R,Thal_Re_R,Occipital_Mid_R,Cerebellum_Crus1_R,Thal_VA_L,Occipital_Inf_R,ACC_sup_R,Thal_LGN_R,Parietal_Sup_L,Vermis_4_5,Angular_R,Occipital_Sup_R,Cerebellum_8_R,OFCmed_L,Precentral_R,Postcentral_R,Thal_MDm_L,Cerebellum_4_5_R,Vermis_7,SupraMarginal_R,Thal_IL_R,Pallidum_L,Thal_PuL_L,Temporal_Inf_L,Cingulate_Mid_L,Vermis_6,SN_pc_R,Frontal_Inf_Orb_2_R,Raphe_D,Caudate_L,ACC_sub_L,Calcarine_R,OFClat_L
Cuneus_L,1.0,0.18046707535340267,-0.3458097918224191,0.33328961460689954,0.3897857129905302,-0.0501540186956068,-0.01464781884505094,-0.2778731097019582,0.21626025681070027,0.6511901674790699,0.11596049055193408,0.28793920728462297,-0.11515287957057933,-0.004746289972649325,0.09233109843742542,-0.2766239115458665,0.8538217957807165,0.0891452391560048,0.3270681324350876,0.2629039403883604,0.319200578177656,0.40191988986408766,0.1179249843617049,0.23105029066363636,0.3280786260914279,0.4046490083814438,0.01870688216263065,0.17900614766837553,0.033082525360409294,-0.18825031588978985,-0.04134939675617583,-0.03742768951814467,-0.017761697207312056,0.37117800263014117,0.4531368562401888,0.08497640533144112,0.20324208008239328,0.2754805500819222,-0.1593808987301527,0.34446864605904537,0.09764206885824528,0.19405650135365077,-0.306795142255913,0.1942046984494152,0.09534259521270425,0.32281931905947453,0.1370292222196213,0.15818199204961886,0.15670943044490437,0.09902851548688404,0.16590714286790473,-0.061943716380710674,-0.016054614296005507,0.07831082574705499,0.6119774794956004,0.053791362303656755,0.2744844056746215,-0.3376515636604376,0.14125729872002127,0.45312258426052576,-0.07244538201064976,0.41303934529436,-0.14510873819866166,0.2947072268183552,-0.2040129700225796,0.2505209873699883,0.07014384008971837,0.07188371318787543,-0.2011931219572938,0.5450781212773205,0.13736320577938624,0.4845173652760941,-0.05429383369510764,0.09776937069946239,0.3201060408080657,0.3565043477246983,-0.1824334851363262,0.48602495798939327,0.0808014820499773,-0.037464783676280464,0.6055141402705354,0.4674446553710086,-0.00463762179899888,0.08915987344049815,0.3464500842315513,0.10864366474362779,0.5001359725712143,0.08344052836682188,0.07061353833567106,0.4277481912923197,0.3192347933760003,-0.09034876097297506,-0.06728414396929007,0.1915010842332832,0.34039621126402503,-0.08868011539764346,0.16443631721947186,0.47475890797583264,-0.04836472474270185,0.8111203032688131,0.1962234463223179,0.30848796487955327,0.7431562469088516,-0.07970238183563488,0.3184968453856786,0.6450224936738608,0.16416387236054442,0.3766144670593363,0.8788820827712934,0.15303436719523686,-0.17677808650201637,0.3249595942620285,0.5385991169183794,0.24680748445996603,0.2061416069456093,0.08217978135755769,0.4778826699517486,0.271995723886421,-0.162605885488782,0.2734908544851835,-0.2973763053832466,0.3591684736113836,0.2706772180550452,0.2483406275809199,0.4455891364689176,-0.033404044970009907,0.06374257737689061,-0.03018259061586766,0.6657701604734586,0.12519978412199606
Temporal_Sup_L,0.18046707535340267,1.0,0.09024551823196873,0.7663595389123009,0.70026531593501,0.7856437285554996,0.5142387488722894,0.0055858598463014875,0.5239606996926109,0.573767760902826,0.3890738618857287,0.8219059345665976,0.35464630355311666,0.732911693378093,0.23108632472045212,0.45362679307099274,0.23799774677581875,0.02503521257690712,0.7089832393005648,0.5966335004535969,0.43527281447657523,0.6624230307885159,0.595517865401307,0.08989987267430996,0.6356555520197287,0.34946930211148536,0.5725707385730913,0.5707450346518257,0.6687386031811717,0.5142772377929827,0.35760120829580083,0.6665595654901282,0.7151695582375435,0.501868713422605,0.27184874011615484,0.7739772327508082,0.6347802104826109,0.6312491128311765,0.13643209994503228,0.6068721550071238,0.3975961881492013,0.379977907670277,0.15359347454183458,0.3349536998569849,0.504300675279506,0.5366212587722637,0.2424020184983467,0.886083509901669,0.4206593119127895,0.26437791577971526,-0.062287267891426114,0.30614588879211485,0.4783000620744533,0.33286330363368055,0.7142444963474388,0.414922443516271,0.3713406640013089,0.20666144512727294,0.5188982075569357,0.6747044390329185,0.12783619649551742,0.3574911662964837,0.7226850546936818,0.3937367539117408,0.413593860150261,0.7214979528019,0.2957646419777996,0.417529628018644,0.1774685715383816,0.3304520745163554,0.5755828064298276,0.7034808147941061,0.5688986834300438,0.25342531235129423,0.6306257642945629,0.19460669370327116,0.3771664294970161,0.4231491284564929,0.36818666907096476,0.3552645465645962,0.6910880429982131,0.7485846365121742,0.6326684959137654,0.33065831650863486,0.6250370588472612,0.40644356250406544,0.6589820123303546,0.7415198630338122,0.8008098494096917,0.21256600957723454,0.4750581035759869,0.5345764842062088,0.6983181988458341,0.29352303689189285,0.42695385690034177,0.17339210122778018,0.6151983306782411,0.6907696718040801,0.11741649567892024,-0.1867485234438604,0.03792146287205308,0.5329700591407766,-0.1051482718057827,0.7000418036843236,0.33319837376376304,0.01653146709241744,0.7565966010715645,0.18937991645766478,-0.07004736331582483,0.17959758340051526,0.17422988933282618,0.2474725316675433,0.10897250809883276,0.7137790872464588,0.6546726040982915,0.39863630388991333,0.18847771516449613,0.7355389788101151,0.3525475988331601,0.5628208376560307,0.5168555388326713,0.819950737417089,0.5338625770553109,0.5034989079780904,0.5691267838845736,0.07619534920708537,0.6975681912638986,0.49882399141143013,0.5244163565029002,0.6450346826407588
Temporal_Pole_Mid_L,-0.3458097918224191,0.09024551823196873,1.0,0.05642786081630847,0.32920552888815197,0.3048000691268669,0.5199345069913259,0.24822016988332937,-0.2533052507638824,0.026604777881278588,-0.21912367390303303,0.24421232804888693,0.5563302392208338,0.259812336753631,0.35601602082152234,0.5676400804234745,-0.37685467780440873,0.261710138229882,0.20305227211318272,0.11992371594137806,-0.2709444960821438,-0.009877553916386828,-0.05631349289170396,0.07407638808403834,0.08791940637542493,-0.4595016152947014,0.4022966647299361,0.23201253507923572,0.09717166303121648,0.5674568057286926,0.6617169666431078,0.4890499275070337,0.33512863654779074,0.3447987423534857,-0.34699265182640937,-0.023369460704811544,0.01276924609004252,0.18547741189769104,0.7276478285396603,0.2896699414214972,0.09855959541138601,-0.399537718279614,0.45243631413482616,-0.06335445513888309,0.3902233854652601,-0.3093489833744453,-0.3377559526910765,0.17657447701701945,0.5547209050879038,0.2445629921327721,-0.09128634961291669,0.22651345916393495,0.5887771059152662,0.20438407277876044,-0.17714276784669916,0.42675560759968434,-0.05666789237845141,0.4503933020060412,0.3969850111084181,-0.17429742415103622,0.6704312289819935,-0.6220022751343897,0.5375621873397736,-0.6796499140396975,0.4515826358310009,-0.18166860483011377,0.6395978353218583,0.12492268429756526,0.2181735051003897,-0.4769879128243759,-0.1892614072336422,0.24154266114504064,0.46084450738969013,0.7137796139431721,-0.31511601608700923,-0.38865719217089006,0.6621321904670233,0.29047666552778206,0.6528187896548918,0.7137409081509977,-0.19527127519006432,0.14669118265613162,0.2534220262604719,0.39848617317526824,0.10187262525902353,-0.11637547290628392,0.19151219438422917,0.3641811084391332,0.18626963236074578,-0.5409480549839423,0.173851206294391,0.5030516559219385,0.3922121435362171,0.3716978117336315,-0.3343634264541357,0.6327825919229216,0.3836049364933607,-0.23973089229950562,0.298780723337118,-0.29351487846368196,0.10459448213228889,-0.5212259639213274,-0.21444429049956062,0.39513574823193637,-0.3413166097535079,-0.23672404998392332,0.37027409396773303,-0.009327835264172987,-0.3014404601994623,0.25151089822007167,0.7602150619617538,-0.5499298047925589,-0.28962636772870143,0.031045901628400208,0.46229043654261853,0.3085211759408455,-0.44664812842333235,0.07859309629299385,0.7036080037930026,-0.11388748943355682,0.6204478049554196,0.15272396678177827,0.2820519044758411,0.2235813651271508,0.3309325487030192,0.08207291038858454,0.1336962236363345,0.5749996441300951,0.011244934982862633,0.28455230886290755
OFCpost_R,0.33328961460689954,0.7663595389123009,0.05642786081630847,1.0,0.7386847667542069,0.6268473739251008,0.4670516411480524,0.03114818249628789,0.6493346828368615,0.5433378223707047,0.48091881805110676,0.7250316287332231,0.24471151781912037,0.6953402128433108,0.19856566159062478,0.3964454748832796,0.3001845872084603,0.03686658008689349,0.5744208878999106,0.7722357120187151,0.47642182611922906,0.7472031700856094,0.5577830431792083,0.0262031966173341,0.624181970069819,0.2860206266489775,0.6409160414875259,0.7249853183476037,0.6973452203247001,0.5300735239751931,0.2654670305153439,0.6556323054207727,0.6511413248774155,0.4566012814271178,0.23105728584972432,0.727710871139273,0.7187342341813726,0.7271705956156687,0.06426727913543558,0.6630502341221346,0.48870188194945496,0.42510753176157073,0.20121315611024626,0.25260613493026235,0.5295331814292502,0.529401672452994,0.4723157707770711,0.7232144700424517,0.3951226527360273,0.11625720567962033,0.014849299977235202,0.18138906136847707,0.4127786334715478,0.1259164937754685,0.6410278953341481,0.3786726157100196,0.33071397513211637,0.2021244475200811,0.5536844850107633,0.7531473269398136,0.018587295698164488,0.4236576064397324,0.5959753658269789,0.3495497010912816,0.37382819733148226,0.7638309033980579,0.22492774364944243,0.4111027360657638,0.19724396442037578,0.33209279692105204,0.5150006492188194,0.674673116127659,0.5153069539493745,0.13705682947609812,0.6627821574052906,0.29847822130915697,0.29322318138987,0.34197706389781307,0.3373866394973652,0.27524679551280273,0.5848720511705544,0.7216558785690198,0.4854199319238989,0.35342472281181003,0.5709350372982208,0.5955605279602376,0.5716715944231382,0.7229429941311034,0.6438213173346113,0.29802714461404023,0.5238092878099045,0.5595135915295819,0.6013128386194585,0.2538337482647486,0.42385527580292354,0.05098017078806343,0.5401410882600023,0.7082620092242298,0.1707491492092604,0.028335058043424056,0.0695719355966215,0.556083830328252,0.04142954049876119,0.6491202020789362,0.3718032339302488,0.15821413787840202,0.6576807077440687,0.21718907589511272,0.1313016246115595,0.19719009183590522,0.06556294523403473,0.3353359515323943,0.29721985864707684,0.7382919239236307,0.6292311158227595,0.31173270122413455,0.2539107879001437,0.742666527907133,0.3243620583798009,0.40402970528587784,0.41170755509793583,0.7334106486163647,0.5189837292632032,0.5307482974079396,0.6229138847221595,0.07925501522133716,0.7489433253079929,0.4949177123581809,0.49336484034209593,0.7172175018073543
Hippocampus_R,0.3897857129905302,0.70026531593501,0.32920552888815197,0.7386847667542069,1.0,0.7281273328577089,0.5588975726616926,-0.10671435570000325,0.39986637454228585,0.6532652909808421,0.20826287020582668,0.8770526111272569,0.5115241281860268,0.6602873247314928,0.4053165589940305,0.5473578217253029,0.3352852022654623,-0.016901286701292453,0.6365143949587697,0.7586535834486525,0.19909931271608813,0.7640934919392687,0.41068786838611737,0.22366429930467052,0.7024353583600658,0.04746094944745292,0.6961429780727186,0.7429086445666432,0.6108783397561077,0.6542558536333263,0.5953623958434628,0.7231295935453591,0.6597183292267387,0.5833830743791941,0.1359895189168532,0.6983579173153326,0.6071805343067885,0.7891710544839247,0.3592659571007216,0.7902478728245353,0.5277341476902032,0.10437085472952551,0.12673069537844997,0.16319167322522468,0.5658926861609268,0.28045465260035074,0.12928061313878586,0.780320429594419,0.710437701248269,0.32432479976384154,0.012990992924011903,0.06452603892269312,0.5847422940531279,0.2294962869409511,0.6656547940651777,0.4583383268684187,0.14707437541094195,0.12797363215546864,0.710464715571463,0.655730516621443,0.4152849779422494,0.13735773329886924,0.5971767433824811,0.004672905809712503,0.4497104594819713,0.5942198053178068,0.5581947422784278,0.41903284085781356,0.26329939445359946,0.22109216244989416,0.2574556756258819,0.8612456715096103,0.6006001151494795,0.4991200433098243,0.4529198849723174,0.08634982686346318,0.4962030966708701,0.6070927655383168,0.632554982400121,0.5759452004684642,0.6128915480070426,0.8410818946964722,0.6626341133169034,0.6552139578003036,0.5878655260617898,0.34135524953007124,0.7021580983832557,0.8114185268474374,0.723394258712888,0.03721616918354871,0.6590306456218623,0.6972925000881134,0.6282916443865213,0.589670217675116,0.14255129321598692,0.4578606962848229,0.6882771925236822,0.49288755036115484,0.28944647551643715,0.18648431420687395,0.04229378902903919,0.24786970126824218,0.1550370208621757,0.7114931191090248,0.28486984107893726,0.2885531431339819,0.8251045856575838,0.2746227851334819,0.2784624362481798,0.1890230561568349,0.45356202665894174,0.042406929611978214,0.24284822386244714,0.6400007983519896,0.8089089577876267,0.3155232667039988,0.051211493446013216,0.709719227635682,0.6297900883074333,0.360511581462122,0.48308151717517367,0.8394273423181924,0.6155268007782067,0.597705686951108,0.8227443504897002,0.21705955231352156,0.7066820319644539,0.7088200941413464,0.6264419655261809,0.7693991876176179
Rolandic_Oper_L,-0.0501540186956068,0.7856437285554996,0.3048000691268669,0.6268473739251008,0.7281273328577089,1.0,0.5669946505544576,0.0578661556368009,0.49227859449141526,0.4346337389626352,0.25828712565739476,0.8586144812762951,0.5116680278699393,0.7048308650004014,0.41360363920392546,0.5774191907320587,-0.0357505003692472,-0.1161122217328677,0.5415050006651184,0.6589698016084696,0.09593828889024027,0.683287399989507,0.49141775982658464,0.05265462538913944,0.539707746781443,-0.00697642504236912,0.6815754864585231,0.674811367313913,0.6771260740857538,0.6556298953414597,0.558857529130695,0.7230764428953481,0.789032555726995,0.35543746069476667,-0.005266615526497618,0.6976536932800885,0.6137185714159565,0.6961597707988869,0.3175090977267509,0.7218736155670894,0.5713492665095977,0.16568239705626217,0.2247599810524033,0.0935467147104997,0.5418941510223987,0.2160037884427192,0.1388242265331406,0.8288437540026653,0.5853554410592694,0.2618665116492811,-0.18935193423569935,0.13050059167313866,0.5878450589669156,0.23502894576196,0.5079429798111176,0.40304692012984517,0.10621182376739291,0.32844771718578414,0.6794638124607486,0.5815539902814559,0.3467968316205083,0.1011200100314217,0.7305623237202767,0.1538181234363597,0.45944499187716564,0.5908865916354498,0.40554142981108876,0.35511579501142565,0.32828114035426587,0.06235757472884091,0.33327049851742263,0.6404322515144973,0.6910357737478637,0.4282044536838454,0.41776152262091243,-0.030874632722038133,0.5782394000369405,0.38667839798755715,0.4870372961114906,0.5133492301455307,0.4614975116402671,0.6637411770878753,0.7452143816248984,0.5157442380583988,0.4684964661268481,0.33308915991663063,0.46447678561496447,0.7812594449307456,0.8567992230949519,-0.136151065931175,0.5122400057322974,0.6838511875815051,0.7384859506778886,0.45526611860182015,0.11344020378817334,0.37917583746666406,0.6751041350499851,0.4127225144914692,0.2736489248766452,-0.24589240974248544,-0.026333330918263675,0.29368282948700203,-0.2334584165281343,0.8035873709607017,0.12993296942648994,-0.13756786275627594,0.7991815775679071,-0.00033526804567748664,-0.2055035977083676,0.09505724956121635,0.40671509997259103,0.06297943550336448,-0.13924119527453593,0.5635481158512178,0.7264136186249937,0.321709553839528,-0.16013454670840552,0.6380458124328104,0.587105065735265,0.3558097211073676,0.6375548300044089,0.801440442633085,0.5126067014851148,0.41786035723669607,0.5457009995421916,0.11307606237421707,0.7304518159432701,0.6761925313499403,0.33751119812613345,0.6690833665284542
Cerebellum_9_L,-0.01464781884505094,0.5142387488722894,0.5199345069913259,0.4670516411480524,0.5588975726616926,0.5669946505544576,1.0,0.38710747228811454,0.31449937508567766,0.5555185557912163,0.1417586913815584,0.6276960226596914,0.7472425069010816,0.47029853256558424,0.4783267096181768,0.5492497639209302,-0.0891725132690887,0.3082124664938781,0.5036628776389115,0.3849841190454606,0.12263453322432137,0.41113091368583055,0.40230126378447956,-0.04805367570619509,0.40442403053603687,-0.25700363492675365,0.4088754578496608,0.5575975329738698,0.44691188172771057,0.565567316180885,0.37133451943883883,0.5972710883294406,0.6375209543320964,0.7563580765879244,-0.24424950453688793,0.37380305666744906,0.41735912995367697,0.46244523888548456,0.6820217212985227,0.5526845822403879,0.332700414235795,0.05092980884053359,0.5746144197489316,0.24377904368482056,0.6840760681182952,0.1684427052566437,0.19207238926465384,0.5534385585321978,0.46375838892866567,0.5993959869072488,-0.1873457706089777,0.3402553229832931,0.685525321035529,0.3327521279391597,0.30514265072384156,0.8599091375216724,0.2659807818137798,0.7483476537450501,0.49448580544772613,0.4610583613887875,0.30818525904781213,-0.10997359599083521,0.7332529823917739,-0.19921474439677914,0.4248985115042061,0.26781679614897613,0.6050678563135672,0.1813400606472972,0.2926130993378642,-0.033614905661772554,0.2568320914400889,0.6415767109155619,0.45753958897492425,0.5341163607739057,0.22304116416146264,-0.2030489815574863,0.35245385213059044,0.5923969108458602,0.416002895397393,0.45739774293634883,0.330506757724898,0.6087507333146435,0.5400095806337963,0.4737226225261815,0.423006742065772,0.31209796318110267,0.5315133109905296,0.5650593536515396,0.5932157191010715,-0.24895968996024864,0.4311640170275871,0.5468074166584515,0.7201742544074038,0.4000287329507364,0.0741381543450857,0.28194202216489417,0.6897335956464684,0.2512218721797024,0.1615971825939669,-0.1421657845548408,0.38299658386431074,0.008525093031052184,0.0476503316883994,0.6025811264198511,-0.08437599477850291,-0.13590039567707815,0.7548491975334267,0.13102438363268934,-0.15281168083260457,0.5912047893223545,0.43095477977697466,-0.013405412102937529,-0.17697708370568854,0.4144660577897772,0.6887586083925459,0.6690362236783431,-0.2300273540341726,0.31744586446248124,0.542853990798775,0.1171556250784356,0.7677486561503226,0.6568084030109905,0.5638583756254962,0.45061274616770886,0.5049404110297053,-0.09670971406972524,0.35989672456320915,0.45806628715558945,0.5913677268208893,0.4902234574601589
Cerebellum_Crus2_L,-0.2778731097019582,0.0055858598463014875,0.24822016988332937,0.03114818249628789,-0.10671435570000325,0.0578661556368009,0.38710747228811454,1.0,0.237944768251045,0.0038018179689236938,0.3429076186723114,-0.11820780449498258,0.12386478023583032,0.1343788478137546,0.0007633757742389939,0.165483231699044,-0.3727523201323143,0.5513720466700553,0.10082282865098197,-0.2532152694613535,0.048916874730546726,-0.16183103266779336,-0.19038000746915892,-0.30477219321090837,-0.14236600399866056,-0.19614177877225647,-0.1860091355997988,-0.018145891347339915,-0.12008710698854291,0.0401513056056426,-0.27568312158625086,-0.027288960701324798,0.3213523034947755,0.09789943446488743,-0.3998267506827011,-0.10707157646825538,0.15579232895374773,-0.24111009126874822,0.4092671617277653,-0.174488015318083,-0.3238913371609973,0.33115535709392213,0.8809209771938171,0.02997769344124923,0.6178310857634588,-0.00040535757230035805,0.38840097550871877,0.0027254652679978035,-0.17515456909364546,-0.02497091928133688,-0.15425456474449267,0.4255671871739731,0.20487274512949577,0.18612183310170743,-0.24749050155257052,0.3276415483243451,0.3038113545526732,0.7832129140022733,0.25356293669392216,-0.03297856459042529,-0.31732340831147027,-0.03773749388420119,0.3077761423573327,0.0037971708670765936,0.11036484222898253,-0.15964090054125749,0.010666107230844551,-0.12846633252426864,0.10993712416730653,-0.2177407483962977,0.14135790417286342,0.020036195220805113,-0.18155085111778274,-0.03563241791404997,-0.07248109607885285,-0.12616697957233794,-0.163349020678542,0.07110520998870934,-0.3184137901300717,-0.1995978887409104,-0.25600300434232803,-0.0854745785138779,-0.04624446946239285,-0.22065564724411163,-0.005454611323882523,0.39359218425899106,0.03011517647554846,-0.07558658987884687,0.02490506437681969,-0.004029458379808296,-0.20692805267763018,-0.04757466348213066,0.4152155799162373,-0.44523812093102116,0.2358466733917218,-0.3573871862164137,0.1723338223405755,-0.09157006995166006,0.12159712419611203,-0.37152657340811307,0.668878395811999,-0.1131404857591789,-0.06977881454829422,-0.02804539062643467,-0.25173765263829967,-0.32413543453266813,0.14645608375226368,-0.020242680122185504,-0.3946324689252121,0.6276728880721978,-0.17806135811196147,0.01755543073077691,-0.13357867388187566,-0.0782586212012226,0.25254605215296494,0.6129326817102976,-0.17667574043242698,-0.11213143703367408,-0.048795505313064105,-0.12787981785114325,0.3137731994519988,-0.056892492103542046,0.3110554690805382,0.16847621071411026,-0.23930023469559092,0.20180580281463037,-0.14318178627401054,-0.18243843000163096,0.0366149825309069,-0.16242368016231992
Frontal_Sup_Medial_R,0.21626025681070027,0.5239606996926109,-0.2533052507638824,0.6493346828368615,0.39986637454228585,0.49227859449141526,0.31449937508567766,0.237944768251045,1.0,0.4754159841321392,0.762265147340854,0.48616246624630366,0.01899135404818996,0.574459225863383,0.15248093156738013,0.17394740084326435,0.18161216410108247,0.07787738409047071,0.32519661310783454,0.461103980581063,0.3018939438775579,0.6517544959003755,0.40062781318481433,-0.18342208667969104,0.41392017182520974,0.3148216431758585,0.39378857744453016,0.706796891462562,0.616739413173817,0.2013930653754334,-0.050418569919684915,0.2687132910608548,0.44187557953465767,0.19885269671612935,0.1411279802758791,0.5327293782907105,0.8089164997047706,0.5477351851126273,-0.09120960486177705,0.43105094470534505,0.28998749895512765,0.7279386436286067,0.22067600341198212,0.1306290939131478,0.49664304743510335,0.4486762977350535,0.8140605405808883,0.5039449353790239,0.14636169584640854,-0.04947779172593606,-0.06085272983080171,0.16312375981847818,0.1333035702366394,0.12072064890479423,0.4711935141316241,0.23170072685028864,0.3162419008400501,0.24161557180748072,0.3579877876540193,0.7701458745963388,-0.31376072874581235,0.49424852631264377,0.304030031485172,0.6338541975903421,0.14126113667709955,0.6462184476670298,-0.0982708773854684,0.18949444003722873,0.02846644310718945,0.43101373953883293,0.4338491201626397,0.4553513775116181,0.2737039744912113,-0.024318544588041075,0.5969487484346653,0.3516485227466109,0.03809437953123491,0.26975416556020854,-0.031132583186302673,-0.15614069666674843,0.4334873436277218,0.5180961116355013,0.331110287048704,0.09404926781321497,0.4197988487828457,0.8504250073520329,0.3161566441361199,0.48373443484731615,0.517398496201514,0.3905828244811623,0.29861263688598794,0.32959224117705826,0.44809480824123077,0.0364084451251832,0.44093520733673774,-0.2615081016720185,0.3663820475167265,0.5474018526151467,0.11701547002656021,-0.01112016417186983,0.25057269841457525,0.6293389472025017,0.058822763085153926,0.5168785643345709,0.40701733593942113,0.04962304281717579,0.4155810477504216,0.109651061377338,0.01593047947234836,0.2057440669767668,-0.3048341842793776,0.5355434266521663,0.21501973926162263,0.4902448031629577,0.41683415474109137,0.3124856608183316,0.23314280556431016,0.5293809275604432,-0.02897690339171627,0.26425593184244395,0.14805153219801429,0.5515421348883063,0.31122039529635026,0.3968507437703105,0.3634621311794573,0.13797046862974507,0.573009572147726,0.2197365556983116,0.34293413298310654,0.41041817869474817
Temporal_Mid_R,0.6511901674790699,0.573767760902826,0.026604777881278588,0.5433378223707047,0.6532652909808421,0.4346337389626352,0.5555185557912163,0.0038018179689236938,0.4754159841321392,1.0,0.19021910691426855,0.6876235747482311,0.3395463863562186,0.3038216393419143,0.4664510299837115,0.12711310551676794,0.5550812043520938,0.29463697590216015,0.6029680317019068,0.38673112049463787,0.26846825992231177,0.593026873313076,0.43052994732390354,0.14957968380561193,0.47035659051166,0.23811331271470632,0.3090435579567047,0.5357714127197051,0.42310837578250243,0.231845321507312,0.2853328344210842,0.3667631715259022,0.4428569205250542,0.7260159824984456,0.2724707938721696,0.3289746864461904,0.43745678233512547,0.5488300206468979,0.29876180694248927,0.7133287148706852,0.28791785426369104,0.19012008261645383,0.04149241163833159,0.3112641474794085,0.5219180167417334,0.35942084249018913,0.203259869018188,0.5338784207366392,0.49970567072380917,0.4315370174839018,-0.034829082067600846,0.14749570323180827,0.40892186271392633,0.3224817150316858,0.7173206327064305,0.4711832495631614,0.43173850532621627,0.13281808049155436,0.4338393310919212,0.701611757849187,0.20205546958557377,0.2807371181969278,0.3375743442673188,0.1876412862932584,0.13597971823082325,0.41298583100753516,0.446422786779659,0.10437053178162725,-0.04665848278487287,0.47468531339882064,0.3295538872355857,0.7900103740698051,0.3869522168748255,0.49070587972851587,0.43072407550137704,0.19290585798052126,0.20986774216620804,0.8462445170940674,0.3692409475073769,0.28917828433376924,0.7401966083151293,0.8379547977500565,0.4429988776441594,0.3670115860142447,0.5527729719384703,0.26317576769126466,0.7087856654878872,0.4610361124782326,0.5672299984554954,0.159152106575488,0.5489046552412633,0.3140104136317523,0.4110256492932094,0.4812427626402381,0.45150861138354864,0.161346954808092,0.6259151152014247,0.5952684667342785,0.16635646221551953,0.3905015669342286,0.39419788059233507,0.35262284471649874,0.4963154384991543,0.4635160332007949,0.2857570480397335,0.2693321765833528,0.6126907137429124,0.29647726047370876,0.44008497612847874,0.44504161080437576,0.15672945591172552,0.2568972028386661,0.2284822072034785,0.4829841761887184,0.61031284526112,0.4019035007183746,0.2117419012618968,0.4893934585218104,0.18849684274825193,0.3804376614573627,0.19316522940903053,0.7476267417230674,0.5397799896996197,0.5520621229126074,0.7494979890129454,-0.07340349026422163,0.3434608790856532,0.3207924745471056,0.8127174068891526,0.4352183385925145
