,Occipital_Mid_R,Cerebellum_7b_R,Pallidum_R,Frontal_Mid_2_R,Vermis_10,Fusiform_L,Thal_PuA_R,LC_L,OFClat_L,Cerebellum_4_5_R,Parietal_Sup_L,SN_pr_L,OFCmed_L,Occipital_Sup_R,Temporal_Mid_R,N_Acc_R,Lingual_R,Frontal_Sup_2_L,Angular_R,Postcentral_R,Calcarine_R,SN_pc_R,Thal_PuI_L,Occipital_Sup_L,Angular_L,Thal_AV_R,Parietal_Sup_R,Frontal_Mid_2_L,LC_R,OFCpost_L
Occipital_Mid_R,1.0,0.08502285299046107,0.23288719205520866,-0.013989051585067294,0.15327740889727776,-0.3103859220017665,0.040170268784969335,-0.4346358968399568,-0.05499241661898634,0.039040105823876334,0.6314024922498509,-0.12321574595541188,-0.0992687599398717,0.9461884406657347,0.3905015669342286,0.043758336936083636,0.23005996046979815,-0.014591794452163083,0.24693925830985855,0.3304412168313877,0.46052228497778075,0.04185170485877757,-0.2675727900310593,0.9287888722341301,0.2551172910682322,0.15602234900401746,0.17365206266652367,0.02150061842060859,-0.06526101982935822,-0.1138309236419235
Cerebellum_7b_R,0.08502285299046107,1.0,-0.03562732261370115,0.22195132962201275,0.31606568851984623,-0.014449165805441777,0.14057201242611544,-0.028963028401544248,-0.13050606900118347,0.31276816944512076,0.0040544139864446705,0.06179156007183161,-0.10435440979823456,0.06814399213516543,0.29463697590216015,0.15083982595940665,0.304127250568459,0.38641602112509965,0.12610910469324282,0.0808785361633612,0.2106302180683814,0.3854822585608749,0.3365066155234662,0.0975122168632865,-0.12238475805114238,-0.023943726660524835,0.07382492735588565,0.35426232486523485,0.3769088256901073,0.0704969269745979
Pallidum_R,0.23288719205520866,-0.03562732261370115,1.0,0.018503997050117085,0.3246743914538851,0.5028598479684523,0.06573809737634767,0.17769946960927405,0.6151976530103466,0.45940906860353087,0.16582310302963066,0.5343911582598028,0.38184996734692467,0.2711520132949159,0.5489046552412633,0.6083945425526599,0.46000442934464586,0.028562267509412417,0.09782553285126697,0.027158471793881273,0.4556292074808297,0.4298933445623689,-0.03405825324969326,0.25796635421072905,0.1793895700587059,0.15200562732387723,-0.0441617902087725,-0.0348252047673273,0.04196291929201983,0.3855020118323073
Frontal_Mid_2_R,-0.013989051585067294,0.22195132962201275,0.018503997050117085,1.0,0.3145994381462222,0.1439751470200082,0.40855538550313436,-0.056116233344016886,0.13960344762159874,0.18004609736154678,0.043520826442033755,-0.14690817185320992,-0.5375193744082766,0.004233237632170439,0.203259869018188,-0.32441362622800163,0.2106131292204694,0.8233281594800956,0.2273197730841516,0.37259461461494164,0.21535344471707926,0.22195284770005444,0.296654081965036,0.012444495461837922,0.06210322740767138,0.5436997926936309,0.03868333413804598,0.8150478442247288,0.11000620100798966,0.5084939629943227
Vermis_10,0.15327740889727776,0.31606568851984623,0.3246743914538851,0.3145994381462222,1.0,0.43199526174699515,0.588836734817216,-0.13136125062879925,0.4292303381383522,0.6298712365261285,0.1924552562914899,0.1504167184846899,0.02832790657462044,0.2320148512481648,0.5527729719384703,0.09688184392234062,0.7955472202298995,0.393970162012822,0.24611802886776465,0.4016485755817907,0.5423981166439704,0.4589118772109423,0.35383911677509094,0.25856718438728477,0.3182032483615819,0.3902590791394183,0.09108925867820054,0.3359140962619207,0.5602842968118701,0.4797473071131972
Fusiform_L,-0.3103859220017665,-0.014449165805441777,0.5028598479684523,0.1439751470200082,0.43199526174699515,1.0,0.17906647618215246,0.5578427113269673,0.5992030328182467,0.7608796719358549,-0.13584667184081903,0.5707001655627734,0.42702708493428004,-0.24141251335959701,0.464115484597938,0.4698424787687332,0.575072483841213,0.18766472025272757,0.07483514217709891,-0.09213201617527074,0.5071381287556187,0.5242575834754447,0.35051169548115196,-0.24267577497381473,-0.058120172837193236,0.07553701435280806,-0.17561521060129606,0.113302069423874,0.18808197261806958,0.4387702880465127
Thal_PuA_R,0.040170268784969335,0.14057201242611544,0.06573809737634767,0.40855538550313436,0.588836734817216,0.17906647618215246,1.0,-0.2227272312477305,0.152810016198714,0.23097390098037818,0.17738207657015598,-0.030177361304561227,-0.36001190940542366,0.17506198811466525,0.26846825992231177,-0.19568558750307324,0.5074900453754244,0.3015246504884248,0.24657871038924023,0.5176875656447942,0.3514948317009918,0.19108435552991632,0.2450408753134023,0.17279312120483076,0.34598078441264213,0.7076117392585916,0.07837111094147385,0.3735551947791926,0.3687840859572648,0.47093188289186166
LC_L,-0.4346358968399568,-0.028963028401544248,0.17769946960927405,-0.056116233344016886,-0.13136125062879925,0.5578427113269673,-0.2227272312477305,1.0,0.34431464881870166,0.4723395493120007,-0.37171647497659505,0.6745572769579343,0.5152927332791051,-0.484120689921152,0.00940145424906183,0.49721123761819247,-0.06267868997122084,-0.06050694962285533,-0.16313408644590022,-0.5227281372889887,0.005143087966179245,0.12988831284108257,-0.009575747161248878,-0.46489482233608825,-0.5450350836253103,-0.38975863325655696,-0.26907454964591426,-0.15423537879367855,-0.011718371095074977,-0.08144534930384631
OFClat_L,-0.05499241661898634,-0.13050606900118347,0.6151976530103466,0.13960344762159874,0.4292303381383522,0.5992030328182467,0.152810016198714,0.34431464881870166,1.0,0.5667650710512453,0.11038109996526829,0.4996510734869664,0.330526065608963,0.016174856974223255,0.4352183385925145,0.47434286118667035,0.429653960984565,0.20610245062320412,0.14289153328346324,0.036303230803934446,0.3304460211687758,0.3699331854102921,0.08804579551538273,0.052375525721343595,0.09199951787121761,0.11659302402774961,0.012558630156361524,0.10450959428861319,0.10345365973468569,0.46588660570623563
Cerebellum_4_5_R,0.039040105823876334,0.31276816944512076,0.45940906860353087,0.18004609736154678,0.6298712365261285,0.7608796719358549,0.23097390098037818,0.4723395493120007,0.5667650710512453,1.0,0.11836316044692334,0.5204116232215901,0.35076162939867794,0.11115816015586126,0.61031284526112,0.48341788537450087,0.6446169887370305,0.339228833967734,0.10823190425492873,0.06320164547102597,0.6163393657129971,0.5673825939552966,0.31528938810532003,0.14349524305690536,-0.14098830849967317,0.09168593153101155,-0.08780002050223305,0.23776026403682146,0.343449054036813,0.35713474506537923
