,Temporal_Pole_Sup_R,Vermis_10,Temporal_Inf_L,OFCpost_R,Cerebellum_9_L,Frontal_Mid_2_R,Thal_PuI_R,Temporal_Sup_R,Fusiform_L,Paracentral_Lobule_L,Rectus_L,Cerebellum_4_5_R,Thal_LP_R,Cerebellum_Crus1_L,Cingulate_Mid_R,Cuneus_L,N_Acc_R,ACC_pre_R,Temporal_Pole_Sup_L,Thal_MDm_L,Vermis_3,Cingulate_Mid_L,Parietal_Sup_L,Heschl_L,Thal_VA_L,Insula_R,Heschl_R,Thal_MDl_L,Vermis_8,ACC_sub_R,Thal_VA_R,OFClat_R,Olfactory_R,Temporal_Mid_L,Angular_L,SN_pr_L,Cerebellum_9_R,Parietal_Sup_R,Thal_PuL_L,Calcarine_R,Thal_MDm_R,Precentral_R,Vermis_1_2,Postcentral_L,OFCant_L
Temporal_Pole_Sup_R,1.0,0.5342589926799266,0.3690907925109396,0.6630502341221346,0.5526845822403879,0.08583131014968905,0.18617448768698822,0.8267634105184334,0.6078327674667333,0.22181628750102914,0.47131979423498527,0.6566319805245855,0.53518876671337,-0.08856244394751969,0.8388760244419727,0.34446864605904537,0.5199012665273683,0.607255959482762,0.7611426253409216,0.48839345424875225,0.5556443011439383,0.8015938658288606,0.09200906683213733,0.5643674199601597,0.27708540148327393,0.7462820503442986,0.622829146049495,0.27135624441461903,0.45553085627972634,0.6581343622433249,0.5347553994968415,0.7377988188740937,0.6856256896797739,0.518202833029597,0.15528715792709702,0.4685352935649999,0.3817636578312691,-0.0415719796939482,0.2888776164980423,0.5004204587436895,0.45750899257725103,0.0773111173050692,0.4961597896317139,0.07386513761012145,0.6802225299883625
Vermis_10,0.5342589926799266,1.0,0.1990071515771419,0.5709350372982208,0.423006742065772,0.3145994381462222,0.06018710933632547,0.6727322234949364,0.43199526174699515,0.20417184772932778,0.09020791287513988,0.6298712365261285,0.08182753659358229,0.12408877231286383,0.5938151768485648,0.3464500842315513,0.09688184392234062,0.44636525175198855,0.410047686495337,0.5836747733729837,0.2959629606562197,0.5623641265459902,0.1924552562914899,0.43302198046922885,0.5704157914264418,0.605215707479203,0.6279799553022817,0.11929537454118681,0.5163830319739718,0.4654280898780519,0.6583198649504096,0.19065755025695527,0.30778953751161237,0.42911708655756403,0.3182032483615819,0.1504167184846899,0.3271523469029715,0.09108925867820054,0.3309530875230243,0.5423981166439704,0.65852655304359,0.2293442823161765,0.14485177136830474,0.43398041024701184,0.4438486921624323
Temporal_Inf_L,0.3690907925109396,0.1990071515771419,1.0,0.41170755509793583,0.7677486561503226,-0.022882324703978607,0.427773985400237,0.3560377528943596,0.808570212405611,-0.2587683069164891,0.4093151092734883,0.6432016767132454,0.35929080180763623,0.5154978848121319,0.5612056128397397,-0.2973763053832466,0.5249683669854945,0.40721643182865713,0.6550207234030457,0.4230886134468803,0.6053266791113306,0.5415271115427783,-0.2774984575335189,0.5266610581699714,-0.10803935003684782,0.43805283358612257,0.44508383481859076,0.5507883237484155,0.5044572946885051,0.44455053009815726,0.23691376835078587,0.27062244453986567,0.43807861283147836,0.85243877638365,-0.35130097770993235,0.6944381631114231,0.6704531146640693,-0.278727927368565,0.13455609242275082,0.3328514527799985,0.1102535680125675,-0.13850637480356562,0.5352410372756242,-0.2633273609422222,0.47551347345656236
OFCpost_R,0.6630502341221346,0.5709350372982208,0.41170755509793583,1.0,0.4670516411480524,0.4723157707770711,0.19724396442037578,0.7216558785690198,0.645257846505485,0.33209279692105204,0.05098017078806343,0.6292311158227595,0.19856566159062478,0.134449853433135,0.7250316287332231,0.33328961460689954,0.22492774364944243,0.6973452203247001,0.6489394163402337,0.7382919239236307,0.4854199319238989,0.7334106486163647,0.15821413787840202,0.529360029993826,0.556083830328252,0.784459551849086,0.6518055836802019,0.37382819733148226,0.5295331814292502,0.6409160414875259,0.7638309033980579,0.2538337482647486,0.3951226527360273,0.5959753658269789,0.23105728584972432,0.24471151781912037,0.3786726157100196,0.014849299977235202,0.40402970528587784,0.49336484034209593,0.7082620092242298,0.3353359515323943,0.3447009371398638,0.37896360836925247,0.5153069539493745
Cerebellum_9_L,0.5526845822403879,0.423006742065772,0.7677486561503226,0.4670516411480524,1.0,0.19207238926465384,0.2926130993378642,0.6087507333146435,0.7291854623404518,-0.033614905661772554,0.28194202216489417,0.6887586083925459,0.4783267096181768,0.5616359111492515,0.6276960226596914,-0.01464781884505094,0.6050678563135672,0.44691188172771057,0.5743313845308013,0.4144660577897772,0.5400095806337963,0.6568084030109905,-0.13590039567707815,0.46586582265632775,0.008525093031052184,0.4874967254711242,0.5445253783735797,0.4248985115042061,0.6840760681182952,0.4088754578496608,0.26781679614897613,0.4000287329507364,0.46375838892866567,0.7332529823917739,-0.24424950453688793,0.7472425069010816,0.8599091375216724,-0.1873457706089777,0.1171556250784356,0.5913677268208893,0.2512218721797024,-0.013405412102937529,0.5092713576711502,-0.18901330273717037,0.45753958897492425
Frontal_Mid_2_R,0.08583131014968905,0.3145994381462222,-0.022882324703978607,0.4723157707770711,0.19207238926465384,1.0,0.023361118160793514,0.25559776685297353,0.1439751470200082,0.3494374410175292,-0.5541852881227632,0.18004609736154678,-0.1354038113667951,0.3801913537844891,0.11745220182222675,0.1370292222196213,-0.32441362622800163,0.3331326090800337,-0.03576578921829217,0.2899734330734836,-0.014893529355280943,0.21195972629175586,0.043520826442033755,0.1505725189104639,0.5803876733182373,0.13755706912727464,0.21253478386845967,-0.048344677503436045,0.4034190661865624,0.12655436595017433,0.4857760346424314,-0.29746029670775603,-0.20378395402099322,0.12532739410410415,0.06210322740767138,-0.14690817185320992,0.17055997007332407,0.03868333413804598,0.10647406949553469,0.21535344471707926,0.38063772498831605,0.6228772728535917,-0.11707462734471102,0.4140291093663455,-0.05628816308205814
Thal_PuI_R,0.18617448768698822,0.06018710933632547,0.427773985400237,0.19724396442037578,0.2926130993378642,0.023361118160793514,1.0,0.2011628366634585,0.37887500992551426,-0.1497245924969022,0.17235860699708705,0.1952117623868789,-0.12160594702125996,0.15534314149608738,0.27856855989252954,-0.2011931219572938,0.1396070799732839,0.15716773880689813,0.23563121380268498,0.2490755136100248,0.1947357967345574,0.2750485528659956,-0.09221156196931064,0.18990024209624842,0.003879153451192037,0.17088137461704334,0.2254811537207646,0.09672130976733924,0.07384834226433545,0.11043973433651598,0.126322399409957,0.13638881316600185,0.06987082024591541,0.4344811789274154,-0.11277030687115198,0.2565824628276126,0.12011647300855548,-0.11202036273245741,0.04136898720422343,0.048788286561754164,0.08101697242541182,0.09873066820719707,0.22609522024846088,-0.20942284870217515,0.07974359569970034
Temporal_Sup_R,0.8267634105184334,0.6727322234949364,0.3560377528943596,0.7216558785690198,0.6087507333146435,0.25559776685297353,0.2011628366634585,1.0,0.6588543710017162,0.3657056283721429,0.2740952991574599,0.7093366275444215,0.3785034409620856,0.009477825568802513,0.8833118762580707,0.4674446553710086,0.4474665843238173,0.6166391765191814,0.6234587040734865,0.618084757090068,0.5457549700471797,0.895394503243365,0.20811203061140168,0.5818092255109192,0.4746818484306207,0.7839622527662845,0.7552630881847098,0.25531703613083445,0.5218517563833492,0.5469552324968993,0.6599318261551418,0.5596554716253688,0.566553195539114,0.522124026948532,0.2461862990457003,0.4335390032637676,0.4542134236599523,-0.04658535443652691,0.41366973918989614,0.7355318822857195,0.6596065424602162,0.30515267453178374,0.4094509733402291,0.27053959109328574,0.5270228873820095
Fusiform_L,0.6078327674667333,0.43199526174699515,0.808570212405611,0.645257846505485,0.7291854623404518,0.1439751470200082,0.37887500992551426,0.6588543710017162,1.0,0.06593154058050525,0.31934242327760326,0.7608796719358549,0.3796759652217995,0.35833759944145394,0.8095825079217969,-0.04249753987219138,0.4698424787687332,0.5986602034609846,0.7551331996507185,0.6100779817086823,0.7081662487233684,0.8020473638395818,-0.13584667184081903,0.7465962612491506,0.22366829050478226,0.6189816238310308,0.5872685817675289,0.5403259252725786,0.6474909906182872,0.5510481277615651,0.4997761446602755,0.344874432144516,0.5371145974199472,0.8239978994426814,-0.058120172837193236,0.5707001655627734,0.5895369882977707,-0.17561521060129606,0.3504310972837149,0.5071381287556187,0.4291645250277336,0.10586208411182432,0.5024758856068275,0.07621160378464845,0.5520293987554505
Paracentral_Lobule_L,0.22181628750102914,0.20417184772932778,-0.2587683069164891,0.33209279692105204,-0.033614905661772554,0.3494374410175292,-0.1497245924969022,0.3657056283721429,0.06593154058050525,1.0,-0.12677916345797058,-0.0576085267257356,0.06735471885179649,-0.31234904660172874,0.2558241038172566,0.5450781212773205,-0.06699422861214673,0.26917141957641183,0.05352081151734203,0.3789073804851536,0.06377196954708286,0.4030870218488847,0.2934166000015441,0.08330886146665117,0.4229982287228343,0.15484486332340439,0.044356374041484146,-0.006480805999535875,0.0013581000621880773,0.011161397194612897,0.30334206320856466,0.092388362778586,0.09286330790537527,-0.008073848789605416,0.5893447291319385,-0.20516449839007517,0.0032761252798336736,0.24622397673624222,0.27624020066155724,0.3893984737471102,0.45587739829141244,0.6291098712025097,0.039973800585583266,0.5848445239283316,0.043946777754594456
