,Thal_LGN_R,Paracentral_Lobule_L,SN_pc_L,Thal_AV_R,Cerebellum_6_L,Frontal_Inf_Oper_R,Temporal_Mid_R,Vermis_8,Thal_Re_R,Rolandic_Oper_R,Precentral_R,Frontal_Sup_Medial_L,Precuneus_R,Postcentral_L,Amygdala_R,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Thal_MGN_L,SN_pr_L,ACC_sub_L,Vermis_10,Parietal_Sup_R,Olfactory_R,Heschl_R,Fusiform_L,Thal_MDm_R,SupraMarginal_L,Thal_PuI_R,Angular_R,Precentral_L,SupraMarginal_R,Frontal_Mid_2_R,Frontal_Inf_Orb_2_R,Thal_LGN_L,Supp_Motor_Area_L,Cerebellum_7b_R,Thal_PuI_L,Thal_LP_R,Caudate_R,Thal_IL_R,OFCpost_R,Frontal_Mid_2_L,Cuneus_L,Thal_VPL_R,OFCmed_L,Thal_VL_L,Red_N_L,Vermis_1_2,Thal_MDl_R,Temporal_Inf_R,OFCant_R,Thal_PuM_R,LC_L,Precuneus_L,Angular_L,Cerebellum_Crus2_R,Olfactory_L,Thal_VL_R,Cuneus_R,Calcarine_R,SN_pc_R,Putamen_R,Cerebellum_Crus1_L,Hippocampus_L,Thal_PuA_L,Cerebellum_8_R,Parietal_Inf_R,Cerebellum_3_L,Lingual_L,SN_pr_R,Raphe_D,Cerebellum_10_R,VTA_L,Insula_R,Thal_MDm_L,Vermis_4_5,Putamen_L,Cingulate_Mid_R,Temporal_Mid_L,Thal_VPL_L,Temporal_Pole_Mid_L,Temporal_Pole_Sup_L,Thal_PuL_L,Occipital_Mid_R,ACC_pre_R,Cerebellum_4_5_L,OFClat_R,Cerebellum_3_R,Cerebellum_9_L,Thal_LP_L,Frontal_Sup_2_R,Frontal_Sup_Medial_R,Thal_VA_L,Vermis_6,Thal_VA_R
Thal_LGN_R,1.0,0.5244337332772934,-0.44447414568994253,0.4661560144167515,0.1578995395219076,0.5536836579153285,0.2857570480397335,0.015773224173881457,-0.1640986545590295,0.6351157743126599,0.6307978675926119,0.2879090367571401,0.6197319047181634,0.5284271775082532,0.10643340604713589,0.395517323052284,0.047217251589162915,0.800944354088886,-0.37273894421041387,0.10724321338350337,0.5663942018668611,0.2173135739906059,0.02355587658908804,0.22733980433869863,0.1025972695732268,0.54130680254427,0.32538240307545,-0.026543191912095015,0.2541985592227115,0.541849616096251,0.6554115806784044,0.41207228518065253,0.20068108176257593,0.8030115460345808,0.5901436279582962,-0.031486195337639786,0.4496811271717358,-0.16840065486528427,0.3576638685429238,0.4684722971834678,0.3718032339302488,0.32564521531797946,0.3184968453856786,0.6731982984400378,-0.1887133584331455,0.7395117516508141,0.43894220170410103,-0.2844402734795999,0.714026891326506,-0.01299263192721106,0.007192936098309414,-0.13362666637264406,-0.506791085334228,0.5534765796378283,0.530043338284304,-0.25501859066626276,0.18604274082752242,0.6816099666417267,0.566452784338672,0.2578336090669143,0.30694523435389176,0.3744334587061028,-0.2397917339374202,0.492314948803967,-0.16887472157433775,-0.25080683438397944,-0.08915679244354655,0.13264860518822427,0.44568509602721895,-0.18047970879269903,0.17858718602427037,-0.08612238465732476,-0.18970605685084252,0.20048877704950327,0.44710146319104294,0.12560036825796722,0.007262788589644721,0.2881494601173491,-0.016635245394607343,0.4797028282253674,-0.3413166097535079,0.10302563881911751,0.2806797431435281,0.1218580849620378,0.27536726245367327,0.09098034813825172,-0.024616354301735043,0.02835945914439935,-0.08437599477850291,0.36535665539630635,0.4025325170867209,0.40701733593942113,0.651173207762071,0.29412803428491663,0.5710889339730146
Paracentral_Lobule_L,0.5244337332772934,1.0,-0.239026296590756,0.422531951210889,-0.041270160970597165,0.5010827852925797,0.47468531339882064,0.0013581000621880773,0.004270930392777785,0.3955290565335301,0.6291098712025097,0.26189709661445953,0.6291186780218352,0.5848445239283316,0.13332655931236603,0.17764325954973056,0.02698809466533898,0.5269839423886132,-0.20516449839007517,-0.05779152167587898,0.20417184772932778,0.24622397673624222,0.09286330790537527,0.044356374041484146,0.06593154058050525,0.45587739829141244,0.4609036642416004,-0.1497245924969022,0.3876470653649104,0.5836117808117935,0.5171142022349193,0.3494374410175292,0.2882623772253614,0.4821131702230355,0.7319713035887152,-0.08603206956014901,0.21749671069659723,0.06735471885179649,0.23920137713299153,0.341336182447844,0.33209279692105204,0.36460966165642655,0.5450781212773205,0.3211280230011943,-0.2511868235384143,0.4401953364297293,0.26973556343214494,0.039973800585583266,0.5674470482537886,0.1760449643872375,-0.07748988553094846,-0.24715657739725577,-0.46814915115978806,0.6622248496969133,0.5893447291319385,-0.08345321078031859,0.08977901087840166,0.34655749199117136,0.6012679620321232,0.3893984737471102,0.3075604687673676,0.22792068259410003,-0.31234904660172874,0.2544655231060764,-0.1645865352323131,0.015856138214783197,0.045166050059267215,0.08717477047864772,0.2783978311764968,0.004249696346292251,-0.021056807300040267,0.1270318951478736,0.11156274975303565,0.15484486332340439,0.3789073804851536,0.10136819220863229,-0.022197833078084445,0.2558241038172566,-0.008073848789605416,0.20468601639918754,-0.4769879128243759,0.05352081151734203,0.27624020066155724,0.2660796067036571,0.26917141957641183,0.03693605237642435,0.092388362778586,0.05389567275104597,-0.033614905661772554,0.0001479905521193485,0.2862435531122145,0.43101373953883293,0.4229982287228343,0.23068346236116952,0.30334206320856466
SN_pc_L,-0.44447414568994253,-0.239026296590756,1.0,-0.4717923518087076,0.41345242743257277,-0.03730469206483321,0.29876180694248927,0.5425111153911708,0.39465489164244527,-0.025112242885948814,-0.42261222740980536,0.10177160861165,-0.07989045293671966,-0.520496243783596,0.03675020282936512,0.18690282679224005,0.4421199914178167,-0.25122410935551487,0.7691363810317067,0.4501611201760737,0.013233533801651326,-0.15030908726655326,0.574277384805677,0.21929994868229422,0.4335232993087843,-0.1754125700360799,-0.24871103401784062,0.14203975571323685,0.002251695974173115,-0.5731743875058107,-0.4569334864703645,-0.19962754577248967,0.40359536325488254,-0.3915914431955339,-0.3439384837482836,0.37953125102273644,0.19566779820345453,0.4901657902463317,0.19893710786266136,0.06504919994878611,0.06426727913543558,-0.24084739650897527,-0.1593808987301527,-0.3443846364108282,0.6064250430452001,-0.3306393151413777,0.02558516375046356,0.4680269829656671,-0.5042756103916766,0.5252904532908924,0.4419465388610105,0.5636122365467912,0.6350899970998432,-0.05545612501314441,-0.39084870875325434,0.4228936617287466,0.4185397431621872,-0.31385482473103515,-0.3029025742040572,0.2774660635511827,0.39829156841936836,0.08186090102951846,0.478106966066677,-0.07559689901396453,0.5445826572051536,0.5909022821517453,0.13873194798801247,0.2961427111091132,0.2081683568035731,0.5487472825768108,0.0751228701789331,0.5994902495724586,0.5697795745952715,0.27498476074241845,0.04544220104644132,0.48348018083398503,0.5486298870397618,0.2817382293949618,0.4678651879707118,-0.1960339060938358,0.7276478285396603,0.37454961154341204,-0.02437147656335304,-0.12386451396223747,0.1630359157032853,0.38700033686468543,0.36506785911743495,0.4621223082651706,0.6820217212985227,-0.11546586866188642,-0.03706388521196375,-0.09120960486177705,-0.4866568598321505,0.35547160523095256,-0.22134365844809217
Thal_AV_R,0.4661560144167515,0.422531951210889,-0.4717923518087076,1.0,0.11084868561476462,0.5577093636814636,0.2807371181969278,0.09942721310266331,-0.023003976743396586,0.4076391937722959,0.5747720247306362,0.3700495853488086,0.4951939897298059,0.7022414417191344,0.09038258630359454,0.20241078212377017,0.021199351112829588,0.35439020129262544,-0.22743808852139033,-0.1982721006326971,0.3902590791394183,0.07458111592038622,-0.2771651377453781,0.30833194155835136,0.07553701435280806,0.6111729821980186,0.41071990120225077,-0.05247058983067976,0.1409249942892638,0.6948406843123376,0.6259316409463123,0.5436997926936309,0.02429811882118926,0.3786200751291088,0.6525578435617805,-0.023943726660524835,0.08772089137879695,-0.2936630091714043,0.18621378088426666,0.37272258191138585,0.4236576064397324,0.5414735478025792,0.41303934529436,0.7200829664157721,-0.5804237740756495,0.6928465296554297,0.43693551473004805,-0.05174293417236274,0.60329723829822,-0.03932841109317027,-0.36788343214141433,-0.19637743539553454,-0.38975863325655696,0.47879420687844293,0.40047719738174864,-0.012766572199500273,-0.05646223915390704,0.739202101094309,0.4921901843755878,0.26641687610154746,0.11398433939679418,0.26781461267499235,-0.10075276702071854,0.43605439783057603,-0.3687573339420646,-0.05474043422915944,-0.06877565513816106,0.24269237966690343,0.3096228103834185,-0.21230661222763458,0.04559772094189963,0.04288428968436718,-0.042511176485625565,0.22153794703177723,0.3489872230711747,0.12341999354116626,-0.17577480502720805,0.19351037922598627,-0.022440773361901527,0.6366977720382697,-0.6220022751343897,-0.13490123922053562,0.4001219673490404,0.15602234900401746,0.2855424967395867,0.0946082199936054,-0.25701416830295143,-0.09567915932283517,-0.10997359599083521,0.16115463849940698,0.4576340497906975,0.49424852631264377,0.8526382074245983,0.1273948392281755,0.6337823886846646
Cerebellum_6_L,0.1578995395219076,-0.041270160970597165,0.41345242743257277,0.11084868561476462,1.0,0.5035625874569476,0.4110256492932094,0.7779663670805703,0.1558368898229659,0.5662263054548561,0.08184082106141298,0.5873187266822955,0.41517255735779485,0.12264576593208842,0.2447934406674451,0.5873442993225788,0.6019632541858543,0.32531950594153974,0.4659945550642328,0.49992463788797636,0.597343881154111,-0.14001858953912272,0.4052314690042314,0.5978439909254452,0.8628893694347616,0.4213773198148086,0.2735139568799164,0.29794871308890963,0.12289332213724549,0.13484920111998389,-0.05321219795900673,0.3178769262030304,0.41610345762861145,0.290078381231041,0.19669074947130755,0.27148160526712417,0.4503805927594469,0.2818922615159218,0.5135675740586013,0.5233034888718203,0.6013128386194585,0.3040047515416222,-0.06728414396929007,0.3818501158150506,0.26955497946023316,0.46102498870251146,0.38387826861408075,0.3277552713071852,0.04032330509824109,0.4179709149870929,0.33486564497392446,0.5323533442969837,0.4632427961750546,0.3592605317679184,-0.08067630522422077,0.3001046082163294,0.5326098043624063,0.4352446708630113,-0.05851568785793715,0.4754731820981999,0.5278110904833397,0.49601159205705536,0.5483679296742128,0.6581487024982327,0.4310006930910905,0.4260725324916711,-0.09581680115262954,0.48440207091703796,0.7259885209466198,0.2988550062041921,0.19623444579451577,0.4799664139998817,0.22119340990708608,0.5554234886569485,0.5576979390433559,0.8300846416168598,0.578460471858679,0.6796882162548541,0.7648329947783935,0.48637998746400474,0.3922121435362171,0.6131821634609332,0.3239790526700524,-0.285313482725371,0.5153803809283636,0.8510268036285372,0.17038799737369106,0.6199564794261876,0.7201742544074038,0.4065930470189878,0.5013000081508567,0.44809480824123077,0.26231137266451965,0.7829053045220432,0.4801250738428003
Frontal_Inf_Oper_R,0.5536836579153285,0.5010827852925797,-0.03730469206483321,0.5577093636814636,0.5035625874569476,1.0,0.701611757849187,0.39810888652950405,0.017530317775201535,0.8594146152032406,0.6289218732901432,0.6381366584547473,0.8240577241988982,0.45918058917506915,0.4996715784238729,0.7738017286909354,0.45433895558142345,0.5096934729803074,0.21966448081346018,0.3385919075361104,0.6127604360825857,-0.05790673889176368,0.31831405919594014,0.6341470345515613,0.5681818674174347,0.7274055450072684,0.46799110077115674,0.1955465912677083,0.2969428971140668,0.4582468828171463,0.402183169993095,0.5701582189327582,0.5662781201014784,0.4076293611257335,0.6591369538827294,-0.08921368623879297,0.2456978497225982,0.2156323602759626,0.6865872403842912,0.6262386097425559,0.7531473269398136,0.38551452022150473,0.45312258426052576,0.6615598699222186,-0.04129979368397764,0.7692973574543629,0.43050153870489366,0.2933744423920374,0.3491104662654587,0.40591490169541133,0.1629554904831403,0.32455072878920954,0.05557883527025742,0.7840290831139481,0.3150358918812527,0.043624014626377265,0.48011880458542455,0.7883993419208917,0.5192001162089128,0.6575065170054398,0.4421460827999639,0.6868414672487084,0.037913211769381325,0.6892524616767334,0.10724176624824486,0.10301286743069737,-0.031722591348883306,0.5098066514233435,0.5629746407526791,0.26615241123934547,-0.005213847788699021,0.43008375712848124,0.23767540576400584,0.63623291894182,0.6724593409061598,0.6025835203602542,0.3015239787547831,0.7630884077755584,0.420005591016703,0.6062907736527198,-0.17429742415103622,0.42618326332794054,0.37841850408546995,0.14754162550996933,0.6768462519359121,0.4702745473813008,0.27254225970264295,0.3941750585842448,0.4610583613887875,0.3683245186213979,0.5912422632759955,0.7701458745963388,0.722286591434704,0.45466535294196697,0.7940501702482204
Temporal_Mid_R,0.2857570480397335,0.47468531339882064,0.29876180694248927,0.2807371181969278,0.4110256492932094,0.701611757849187,1.0,0.5219180167417334,0.16635646221551953,0.593026873313076,0.2568972028386661,0.43745678233512547,0.7173206327064305,0.3257318931472257,0.28791785426369104,0.5357714127197051,0.3667631715259022,0.42014800223094145,0.3395463863562186,0.3207924745471056,0.5527729719384703,-0.034829082067600846,0.49970567072380917,0.4993954517165135,0.464115484597938,0.5952684667342785,0.35490110944478276,-0.04665848278487287,0.29647726047370876,0.1876412862932584,0.2117419012618968,0.203259869018188,0.7494979890129454,0.15199964179120537,0.4017733823889791,0.29463697590216015,0.20622420283926463,0.4664510299837115,0.5488300206468979,0.4893934585218104,0.5433378223707047,0.19012008261645383,0.6511901674790699,0.35942084249018913,0.15672945591172552,0.44390990813650355,0.43173850532621627,0.3846734908939455,0.159152106575488,0.8462445170940674,0.3692409475073769,0.2466477221223342,0.00940145424906183,0.7401966083151293,0.2724707938721696,0.32616705597005047,0.42068644133880156,0.43072407550137704,0.5550812043520938,0.8127174068891526,0.5520621229126074,0.38673112049463787,0.04330547065564444,0.3289746864461904,0.1388913245963053,0.44504161080437576,0.14957968380561193,0.5198649195807362,0.6029680317019068,0.3670115860142447,-0.07340349026422163,0.7260159824984456,0.4315370174839018,0.6132275883480978,0.4829841761887184,0.6126907137429124,0.231845321507312,0.6876235747482311,0.3375743442673188,0.3295538872355857,0.026604777881278588,0.4633392135444864,0.3804376614573627,0.3905015669342286,0.42310837578250243,0.4428569205250542,0.4812427626402381,0.4338393310919212,0.5555185557912163,0.10437053178162725,0.26317576769126466,0.4754159841321392,0.35262284471649874,0.5397799896996197,0.41298583100753516
Vermis_8,0.015773224173881457,0.0013581000621880773,0.5425111153911708,0.09942721310266331,0.7779663670805703,0.39810888652950405,0.5219180167417334,1.0,0.343770944665274,0.4275018751843219,-0.030162454228842103,0.6311505816262091,0.24105944468949564,0.03943949872516058,0.0899126084376514,0.5225441389558284,0.4619290660626833,0.2627085450649889,0.4174766037900908,0.3968674024279384,0.5163830319739718,-0.06129161566697401,0.411858334056312,0.48972233291665745,0.6474909906182872,0.32008029255006154,0.08730916119503454,0.07384834226433545,0.1251879601518738,0.0919203032612314,-0.1130788194200769,0.4034190661865624,0.43112564063742825,0.12373115509321578,0.18400568554849156,0.5922235907729435,0.4553682754370402,0.3631541789005457,0.4300167408202802,0.48072957855646864,0.5295331814292502,0.4367517601597168,0.09534259521270425,0.21902512571575172,0.1226651751716878,0.2870857445626653,0.4246751841546603,0.285453381146731,0.06323947769980512,0.5853385478947944,0.26551091367706764,0.43034324507879484,0.39630578844367176,0.19501017755956515,-0.2144111337141948,0.6156456094650238,0.4497604675044709,0.29757777039595806,-0.033570824882821225,0.4773479532735621,0.6142730487961662,0.2833402270218901,0.6534973264154199,0.354759011350288,0.33926863115826505,0.7167698914454652,-0.0818794021438662,0.4270826229949436,0.5577112642485146,0.27787344904607414,0.23698355086514614,0.5407195699269202,0.14993063149975394,0.5284744105772011,0.36260507216041454,0.6847067067778432,0.4454874198457168,0.49219384089906454,0.5880126950486589,0.28204996633895874,0.3902233854652601,0.4852483425165628,0.1903434336418746,-0.05876528472974987,0.3917196606737335,0.7130454922245983,0.08005615715878006,0.635250176730219,0.6840760681182952,0.1536785972928939,0.5798248807208155,0.49664304743510335,0.14210072161069714,0.6775523516145802,0.33316146423555726
Thal_Re_R,-0.1640986545590295,0.004270930392777785,0.39465489164244527,-0.023003976743396586,0.1558368898229659,0.017530317775201535,0.16635646221551953,0.343770944665274,1.0,0.0952309122779284,-0.22735519166713755,0.24354794439948999,-0.032268304207295845,-0.19278577267658376,0.0808438493778605,0.19841740689991047,0.29585665891901103,-0.1036122506106458,0.22793629525567072,0.3855887023198592,-0.055651442606296606,-0.08831409191485513,0.4025606117375473,0.10832289609249186,0.2212320335455873,-0.13162954118705594,-0.1935300801866112,-0.0801084616134052,-0.054703537253081164,-0.15416160384285932,-0.255210576525338,-0.009038976386705097,0.33874260605257206,-0.07478531854592749,-0.09510438212404741,0.16713985499377534,0.09253347825564655,0.3231110542330966,0.29277439374136593,0.45974549390059444,0.1707491492092604,0.04248514937723442,-0.04836472474270185,-0.20908667260057795,0.27818104892697726,-0.12235019116487304,-0.07437330092112218,0.18422190609261763,-0.1365932799371271,0.2272194817821109,0.24196428745365328,0.2834312561374885,0.24842906456978783,-0.07575936467690723,-0.16023230138893957,0.11861632483569254,0.2604123677388,-0.0857127729686788,-0.21379059409112294,0.01193444135194842,0.2793492163957977,0.1263005841707762,0.1003786442387164,0.03431774562316904,0.38533793856252085,0.26562520352282387,0.18523894130396992,0.23793257017808983,0.02152886122906198,0.36286684726948254,0.1960750818356348,0.14556831070822654,0.033087333065646506,0.2519870835522815,-0.06653236149828771,0.20378486519216937,0.33354248096414796,0.2045880530324793,0.1571754908293721,-0.1525967178471612,0.298780723337118,0.33300303288574684,0.06454647037459793,-0.05271064683014258,0.15740845372948004,0.20781439289192075,0.22467951867095423,0.3870835206293299,0.1615971825939669,-0.14774242539511614,0.11618186523121421,0.11701547002656021,-0.07847945524150766,0.1994709204866347,0.06021357471242226
Rolandic_Oper_R,0.6351157743126599,0.3955290565335301,-0.025112242885948814,0.4076391937722959,0.5662263054548561,0.8594146152032406,0.593026873313076,0.4275018751843219,0.0952309122779284,1.0,0.4635940278509703,0.6748402841026405,0.7952813540324531,0.38982396380270795,0.5608713962137761,0.8523916553913063,0.525698086832244,0.605586973132263,0.2047382919016018,0.5601612273521798,0.7117489187024486,0.021256996288221794,0.46736407122607265,0.726522148428166,0.5652049551708291,0.649216146557946,0.3944054769630247,0.18077113634831327,0.2863649585822149,0.40020283253998734,0.36601806828384026,0.46303640922312145,0.6147713496565022,0.5172500490444499,0.4880896141657197,-0.06681343937293353,0.2852358573210181,0.24952774595704988,0.8062448571675166,0.7192402568638852,0.7472031700856094,0.33165000214714985,0.40191988986408766,0.5807179851807976,0.13777887447358533,0.7239403787530848,0.3482969340435953,0.23962233035312203,0.33434431235219886,0.38897117271333265,0.39236795422122783,0.3648899570797641,0.03832646017172453,0.7164128997268177,0.3134835308174796,-0.07243589351005289,0.6284161890356229,0.7318692528331258,0.5129097121868786,0.5693314882595651,0.46686644399956917,0.7862083516300907,-0.06581860381567355,0.727097568164148,0.2046154891457012,-0.0012647518441463142,-0.015111869848055745,0.5149984173819666,0.622409656557291,0.34716973353055186,0.08793302448174593,0.3376961485898579,0.1374155232157694,0.7250170605546027,0.6365592359995114,0.6235495158272931,0.418758988822192,0.8098777218679929,0.4205466869244187,0.47872826034561056,-0.009877553916386828,0.539651054979927,0.36363418477281007,0.22213072019889646,0.6609401211761631,0.5033299036952974,0.3953651618069378,0.47387018596900976,0.41113091368583055,0.4744915205203315,0.5764864504115446,0.6517544959003755,0.6084296068355927,0.5621742823789797,0.7951526507145168
