,Thal_LP_L,OFCmed_L,Vermis_4_5,LC_R,Cerebellum_10_L,Cerebellum_8_L,Thal_PuA_L,Temporal_Sup_L,Angular_R,Thal_MDm_R,Thal_AV_L,Parietal_Sup_R,OFCpost_L,Fusiform_L,Cerebellum_3_R,Paracentral_Lobule_L,Occipital_Inf_R,Vermis_8,N_Acc_L,SN_pc_L,Vermis_7,Cerebellum_10_R,Thal_MGN_L,Rectus_R,Calcarine_R,Cerebellum_3_L,Cerebellum_4_5_L,ACC_pre_R,Amygdala_L,Olfactory_R,Temporal_Pole_Mid_R,Supp_Motor_Area_R,Frontal_Sup_2_R,ACC_sub_R,ACC_sup_L,Cerebellum_Crus1_L,Lingual_R,ACC_pre_L,Rectus_L,Caudate_L,Frontal_Med_Orb_L,Occipital_Inf_L,ACC_sup_R,Thal_PuL_L,Frontal_Mid_2_L,Caudate_R,Parietal_Inf_L,Raphe_M,Cingulate_Post_R,Red_N_R,Putamen_L,Frontal_Sup_2_L,Occipital_Mid_L,Temporal_Pole_Sup_L,Cerebellum_8_R,Temporal_Pole_Mid_L,Thal_VPL_L,Thal_MDl_R,Cerebellum_7b_R,OFClat_L,OFCmed_R,Angular_L,ParaHippocampal_L,Cerebellum_Crus1_R,Temporal_Pole_Sup_R,SN_pr_L,Vermis_1_2,Frontal_Mid_2_R,LC_L,Cerebellum_7b_L,Thal_LGN_R,Precentral_R,Vermis_3,Thal_PuI_L,Precentral_L,Frontal_Sup_Medial_R,Frontal_Inf_Orb_2_L,Thal_AV_R,Temporal_Inf_R,Rolandic_Oper_L,Vermis_9,Putamen_R,Temporal_Inf_L,Thal_PuM_L,Cuneus_L
Thal_LP_L,1.0,-0.09613414610133776,0.5925597699291766,0.13007804642788984,-0.03802941227642528,0.03879495202520042,0.37216579066629224,0.34257446371111505,0.4952532464532262,0.060391185360880256,0.4705821340588436,0.39641536835352936,-0.16617473744004302,0.5901968771683435,0.24798971548561824,0.2246709406677184,0.4143348926598938,0.18385189315280567,0.13074607184486073,0.348031682731171,0.14603339427891773,-0.25605144178584077,-0.039827197399082005,0.15836247019352778,0.4880710750494896,0.3269209805587768,0.4329817684322736,-0.13699840514442174,0.10872753210270165,0.062409782311361274,-0.11508980448044949,0.30447098266133543,0.1036793108903282,0.24653515137722734,0.0013197623855570803,-0.07481274185568294,0.5223480867390213,-0.0611415745606887,0.002251070050608492,0.1254316410784397,0.12999782433867155,0.22846084533949604,-0.15356444370619313,0.4698799104077131,0.35777099702275517,0.2579834530969361,0.7009440376899237,-0.12715385521997605,0.4901754668642426,0.1583756471680498,0.10558180886266141,0.07637358470482736,0.6357932648153103,0.08701161219602377,0.029648230423380616,-0.2198709002853148,0.5532178738715808,0.3283549855410333,0.21787041333898793,-0.085708462572772,-0.00239469378613605,0.7554259861682052,0.331260878099711,0.17698363993753696,-0.126926496696831,0.4050013700455657,0.4000412534571175,0.24851066455819085,0.4495555995667516,0.05997425041530131,0.15509902993951472,0.13043964611806605,0.3207338557807959,0.4300659100815525,0.1625516858261856,0.20409532047285225,-0.0689286439906544,0.3332822322395922,0.44140657652923876,0.2703439643983046,0.2502407712860526,0.20762465116461015,0.3886615789998847,0.4848095715319691,0.5348607441777596
OFCmed_L,-0.09613414610133776,1.0,-0.07525912934989702,-0.1978516937493822,0.038977457307309483,0.12159003906952233,0.3179024040289912,-0.16572979440547642,0.051064031289846,0.10028977758227527,0.016551033403312185,0.1719698784695414,-0.051618723370665004,-0.12134111166070345,0.12117595637944727,0.09647408233246368,-0.1676602906995718,-0.08803546673675157,0.1985368214597317,0.2208302724220454,-0.19746839693818685,0.1694140387545487,0.2520876696514845,0.32523824817961644,0.020929832359528933,-0.027748441570342106,0.14863683006702455,-0.21915073732306264,0.09742567361822489,-0.3672291473869718,-0.09917411805394685,0.2516919276410753,0.0028059597885825315,-0.22641321391967267,-0.028981512787607806,0.1542448688643555,0.024067405990120416,-0.1567495653701894,0.14676802169211145,0.010670969311810578,0.04364852880564554,-0.2835006921735471,0.020987577489284752,0.13009847896445745,0.19486075495674895,0.12943642261991456,0.21249695901750723,0.024739773280653018,0.09899227325073527,0.034025186593237874,-0.13124826828393982,-0.11984921251928914,-0.05117110881803562,-0.04022169660121858,0.14417861872873627,-0.2360470280759194,0.0321150902502027,0.025314815150726342,0.11462901311869714,0.1561910558155652,0.10944142782905747,-0.010028673376150635,0.17042008976385684,-0.13362911691649174,-0.2198245891358686,-0.05122679758838955,0.14113568694211928,0.11569273149080411,-0.057389166851859706,-0.026858554253010487,0.12843633490320905,0.14909895586842886,0.11684159059228377,0.018298542530457033,0.264858885415377,-0.11537526756471449,-0.1709158415639052,0.20568395670586911,-0.08411253545825594,-0.33614227676978486,-0.19285583463350667,-0.16898413777232543,-0.14107245173667404,0.045836678218326564,-0.114524213878323
Vermis_4_5,0.5925597699291766,-0.07525912934989702,1.0,0.4206126641248299,-0.00686939743668282,-0.12209456634458818,0.34117544133784855,0.29562710427931704,0.562946439527827,0.011827338484425284,0.43899502166822496,0.24665265764581962,-0.35331619120001245,0.5919978297272525,0.5647448080546567,0.27819404970363415,0.7061089697955935,0.5673467323067,0.1903319307033926,0.20729326393389202,0.35270774460075843,-0.07617701912503445,0.08984343690125758,0.05582508123589407,0.7345310184826694,0.037714400633161185,0.6129258020832513,-0.04569574997214668,-0.026381163752051746,-0.0029754059548070142,-0.007267374269966435,0.2958401497103829,0.22586082373476812,0.1433667931810334,0.06531437704272013,-0.03581030830284132,0.8737745167986452,0.07157476682360091,-0.0043139682782776965,0.22097124648536012,0.18317897361370414,0.17185193714344582,-0.08156049188748492,0.4698972724634068,0.5340697206715173,0.46935454346805594,0.6487900877333009,0.23235195677004217,0.6821396963251332,0.06166377779031485,0.31184256634152646,0.3138286018021501,0.4407949029350666,-0.08197922804486388,-0.10473581107343223,-0.037258264766816714,0.6097135252397083,0.3719816065820897,0.22292700826286885,-0.05884857140696331,-0.2891247147582238,0.5534311747749945,0.4422719947025548,0.5790814403053456,0.30334901534764674,0.43773844839423776,0.41484237078328334,0.39679060812213174,0.3449176076282449,-0.1240579295272646,0.2874691367448432,0.287662557694139,0.38258546338597194,0.4913246804363541,0.26405136636068555,0.29565804210552793,-0.009060903947242207,0.25489997089765587,0.818377904546287,0.2805066909636542,0.6401387320414547,0.4713999945718705,0.19131134413704678,0.5228657483604369,0.5365841195011597
LC_R,0.13007804642788984,-0.1978516937493822,0.4206126641248299,1.0,-0.14075546618033594,-0.2694319239392961,-0.06172932900915388,-0.13502180020696705,0.3545695983365291,0.09014689225019346,0.0761463663757138,0.13823464226540091,-0.076336748179417,-0.08202454399662758,0.550131670805847,-0.045818198689332366,0.28553575221089716,0.3219629284599378,0.3016516498978507,-0.07397997321514976,0.1880358488221478,-0.0925845041571655,-0.2475454312467425,-0.0391270216343489,0.3469781383529037,-0.18173949777252105,0.19522860243392492,-0.10395426494427278,-0.3076757984219811,0.2602456548621736,0.07295926211091062,0.05907830131216303,-0.059707216429071695,0.0741998575683345,-0.1368009926137598,-0.2827145825350931,0.27062421319910757,0.041949403914477414,0.13983328217879878,0.1008116081589278,0.2466187366567148,-0.03112482728577717,-0.18322155680640423,0.17461772641466802,0.19477248465868682,0.1589160477164832,0.14095826593122587,0.1682087293746323,0.24747431781948595,0.24351416721139088,0.07762648588876084,0.1440191214044958,-0.0033153000083544107,-0.4224477302483501,-0.20583591732308215,0.16727220728315487,0.276844314145013,0.05373538113080173,-0.19069050825413497,-0.2551652684138445,-0.12632736899909905,0.12480186251421695,0.09683938014265661,0.38444168464225,0.3273399655976441,0.46788697456651146,0.22736596031034786,-0.09372873085199673,0.044688095251313543,-0.3350706726124476,-0.13781657577200962,0.02307996241765269,0.22515631935482605,0.3259159727746875,-0.037173750192083806,0.12451213063178257,-0.2580878091316277,0.04098532129402756,0.426887999485386,-0.053183079258317875,0.32649917661969796,0.14637993283211756,-0.32012594627994495,0.13823726888543791,0.14289927269034108
Cerebellum_10_L,-0.03802941227642528,0.038977457307309483,-0.00686939743668282,-0.14075546618033594,1.0,0.049206511660054894,0.06447348837893499,0.5281013515917898,-0.1584782702053475,0.2675121110833607,-0.1244645680078765,-0.25495509804798905,0.0007924309076595966,0.27104440890673226,-0.39901043646760564,0.4466223108491853,0.06780817630716653,0.11921458868934062,0.074549341223794,-0.0738138573623021,-0.08561679406406725,0.5773210496243683,0.2686040440468607,0.019666508001960094,-0.11857758226202707,-0.1077396715035692,0.12406678241545759,0.427494392824699,0.44185520158655195,-0.09890880006323877,-0.12912061705863032,0.26304387196509665,0.29172248776863335,-0.022492466620635993,0.3248611781383161,-0.08087958846903841,0.15338529966384326,0.09498152104909727,0.009082416766825363,0.2756384622485431,0.13077485950924872,0.2698598494197129,0.23054715905747153,0.21969324489463538,0.24766117035027274,0.39800556719971303,0.006040712828438052,-0.13135379575891204,0.13724659371035056,0.023432183261939243,0.4772995929116268,0.3551001098563301,-0.1206690095562133,0.15846961607911272,-0.0013385461553244514,0.05331483954242226,0.13983835534388236,0.020523539311346983,0.09824502146016412,0.08445735337494406,0.10672328822537858,-0.14783452065774969,0.19482696269184926,-0.13380420496315895,-0.01790447173310327,-0.3709159672552595,-0.4070654002924086,0.3385015943160574,0.2643371250542211,0.0709798749453152,0.3518570216014359,0.3848686952703279,0.3179688405141163,0.19214777145636916,0.39334445651816013,0.22860257777017656,0.41933790289562306,-0.010065139202042493,0.04551435145488166,0.33944965011820605,0.012733861830490703,0.2610463016128784,0.3675043876041349,0.20955505112810166,-0.2658444752035173
Cerebellum_8_L,0.03879495202520042,0.12159003906952233,-0.12209456634458818,-0.2694319239392961,0.049206511660054894,1.0,0.1003792724666033,-0.005562056706494598,-0.26204856312722363,0.36050225029367816,0.12249110786085803,0.08256911256881276,0.5082815777188359,0.41096588298471703,-0.09608941948412857,0.058094978138775906,-0.13350073078075175,-0.3544049343975119,-0.2903661025735559,0.4011616461029768,0.3204197736861581,0.1345024168929489,0.05445072493233986,-0.07011488071931145,-0.07357044806059906,0.3329303233421404,0.09900122996652609,-0.013900314419903406,0.13385760669784263,0.10793080354665176,0.15878712462598887,0.13898624163185724,0.06253366193056513,-0.01605051128337632,0.14217947164297176,0.7395773336090753,-0.2559571208319363,-0.20377157034962884,-0.7189451952882608,0.2667006215178565,-0.7329621636621652,0.020561968952608357,0.34095782431128574,0.005171147029710101,-0.07223480855791402,0.02828356509358284,-0.013578843691663041,-0.36111843102242974,-0.2204141847693785,0.2149933651296224,-0.10591577851234092,-0.279701182494509,0.12096149025829277,0.706915744971141,0.9233255079285804,0.17740593137643432,0.010329411307694367,0.2048242185726078,0.6819806473151365,0.7621147424571575,0.5767560835114969,0.07476169610120346,0.14591008537258088,0.030432938862472992,0.060523874402208924,-0.27291202988306146,-0.025898050898968336,0.2677184078271301,0.38561203681767703,0.8916074445712223,0.27578909241694377,0.0895748035194127,0.12469452316151186,-0.005828938690098455,-0.006978769526406721,-0.33442802063771165,0.21818999010329376,0.30969286384001504,-0.2300427924683136,-0.20488812183743577,-0.06463545128356003,0.07167245705925954,0.3734832835083265,-0.09304378845077481,0.025385789891638366
Thal_PuA_L,0.37216579066629224,0.3179024040289912,0.34117544133784855,-0.06172932900915388,0.06447348837893499,0.1003792724666033,1.0,0.27119528808125365,0.44442735293043717,-0.004114796950463475,0.26224254495259425,0.4765383409268517,-0.2354825489775686,0.35802178597256135,0.05804762274503931,0.4858963686983175,0.04613187002245877,-0.07724017533662304,0.13296226211855594,0.3486780272639261,-0.15005009415474443,-0.04703184223665208,0.3493068925801706,0.3335771939877471,0.5033967827540717,0.381785485089578,0.41630836607372773,-0.13802094795902733,0.3287664155556041,-0.42241647183720377,-0.055283680097005725,0.5300461350396981,0.297272955240308,-0.04232024204136279,0.12067844898234457,0.2669821809257173,0.45921964879627675,7.912527690772277e-05,0.12021553430967355,0.07399421680732711,0.1892408630066529,0.10157024152598013,-0.07389934298014983,0.6542216507723302,0.4352790533543147,0.34133182719239635,0.500218531429981,0.07337077210475902,0.5702598766174672,-0.031163209792884908,0.1660031419880887,0.10125939570872305,0.4718552308155496,0.0896629947983008,0.09027223204569242,-0.22877628951642995,0.5850999144737693,0.33814056190461916,0.2437771524442413,0.052207892588665636,-0.0780370823047199,0.4148055055810662,0.3082855796018274,-0.13668791913136757,-0.2678914872480187,0.18185100069078983,0.4074198217847744,0.44770154847681,0.38745793818314606,0.03168098839387493,0.33678264318272655,0.479130103094694,0.31799814558021827,0.47153507227464686,0.5457939939495796,0.2374841524113965,0.03430772008408167,0.352690025254674,0.06300100857631258,0.11291743166569312,-0.118294542249027,0.16046351120717478,0.33370825920821356,0.729668501516461,0.41325480627436334
Temporal_Sup_L,0.34257446371111505,-0.16572979440547642,0.29562710427931704,-0.13502180020696705,0.5281013515917898,-0.005562056706494598,0.27119528808125365,1.0,0.14246796798219816,-0.0018151777662243974,0.007853119529549629,0.16340055281928825,-0.03792416515328714,0.642661963155326,-0.4142300869912554,0.7078219547675225,0.13295340286759644,0.004835254376718759,0.07922687189863495,0.11310034066633842,-0.08027683518760209,0.0407526111833791,0.3771847476487454,0.020993845254019778,0.2064941465186164,0.4058789019336425,0.2809780754232405,0.5358577335840075,0.4672111616624962,-0.1403538793094152,0.045300801528103674,0.4797555187843258,0.6297412815718922,-0.012788115963301528,0.5605796618276233,-0.02723802756685551,0.39303282878200174,0.2849102857274271,0.17043578151141667,0.24933986490716487,0.307053493564698,0.5352027576435122,0.19588545439717586,0.4593088394305175,0.3308337327950233,0.5358308543066,0.30426563471422546,-0.018098908380947885,0.40458545736032697,-0.015974952917905145,0.7621296169255062,0.6731861829484475,0.44383393405383925,0.2575017235707152,0.015624335350617602,0.05766366807329792,0.45621115400993417,0.09190452473310043,0.11398005576243697,-0.06386607443011962,-0.1405470803389301,0.3970939518375235,0.26147223401492403,-0.21187662473517335,-0.10244909920017167,-0.29588248841172654,-0.06786051154463196,0.5770603516126934,0.5225208764618644,0.13859463472630712,0.4518267241358579,0.5704294992246861,0.26994096757595115,0.4068556825985355,0.538034169583149,0.6552644325647221,0.6950973850823103,-0.12983268506028217,0.04367573574831936,0.8872529539455575,0.016864574430159273,0.5405638727532655,0.7657159249172223,0.580728575055784,0.3282854594371671
Angular_R,0.4952532464532262,0.051064031289846,0.562946439527827,0.3545695983365291,-0.1584782702053475,-0.26204856312722363,0.44442735293043717,0.14246796798219816,1.0,-0.09214203985739346,0.15419821911322842,0.6620982195364317,-0.3297837086828301,0.18047093531676558,0.3693588651587819,0.38937320720862206,0.46611543005959677,0.24578780557282842,0.2191720426284801,0.1506344425275655,0.11896090638404289,-0.21500513163441623,-0.08339653482942208,0.09745145232353158,0.6951291639148586,0.1360334642768608,0.2828964432788265,-0.2653667179737002,-0.18047612413576244,-0.09261309833154037,0.07485582857298649,0.5043490149787142,0.11167958856051327,-0.11366352963722816,-0.2194924894185484,-0.19408273949242616,0.6051958157818139,-0.24202547011371525,0.2900300787226156,-0.19521978775092014,0.4111029679068474,0.05960114962760997,-0.3101081854230167,0.5827450208715219,0.4487301798055666,0.18295402997091023,0.619241957562629,0.08233729663197266,0.5736170781887471,0.08450877614948572,0.07855651928717058,0.12938117564614654,0.5883890560370975,-0.2556968358823358,-0.1331297242382314,-0.10089290428832753,0.5708013595763869,0.12341567477099125,0.04848189676460695,-0.2285716179137698,-0.26697214186805523,0.6167778133754606,0.10035804300442633,0.24460990093005713,0.054508235777469806,0.4522840120007677,0.3843247379594942,0.19042731583046588,0.16063430339310827,-0.20029805182211388,-0.009879001894170028,0.3152524544154754,0.1839746095007144,0.5101558332312578,0.40334578022566825,0.18484308930636653,-0.29588814647418793,0.13427129511698951,0.4717188230457318,0.08763997211633935,0.24386819887099453,0.12706449469673295,0.01227389363792091,0.638743101907258,0.6711550378490712
Thal_MDm_R,0.060391185360880256,0.10028977758227527,0.011827338484425284,0.09014689225019346,0.2675121110833607,0.36050225029367816,-0.004114796950463475,-0.0018151777662243974,-0.09214203985739346,1.0,0.37675402120786805,0.0477337825516231,0.39748687462381554,0.21993126618661374,-0.03334820332021782,0.20549512518103977,-0.18306966076485257,-0.2153845678436057,0.10381927247924796,0.3127656517513031,-0.2469636864733497,0.5585403951253839,0.27819289421196153,-0.02124644626224764,-0.08625998947594464,0.04971123417137189,0.5542102309749247,0.27825305247084997,0.21102000124258824,0.39082049333621116,-0.332201558078768,0.3023858585788243,0.2923245712613439,0.2092728357472841,0.37446903538761145,-0.1213021166381483,-0.03382234429796894,0.05722065079483843,-0.2920750057028353,0.5961668704596942,-0.16947152504759783,0.0680404052067809,0.6066475418083018,0.1291670789768059,0.4466615090955655,0.29965432537182907,0.1961317581806321,-0.5302700915883927,0.1629406508800083,0.5516141211578264,0.19925377552817108,0.1389949050571687,-0.28897849481264903,0.17725813029937346,0.40232225515103187,0.013118101341892122,0.2104436032292813,0.5099076058455037,0.049985008261243594,0.24901552671424565,0.6303926922538337,-0.06828271807969939,0.5443243447407735,-0.1296102574733579,-0.015557882464130235,-0.2038899797397879,0.07103977692076985,0.37776975946746716,0.3492608615465066,0.1964868529166707,0.5390776898554427,0.243602462989967,0.7022774820213279,0.2958500858553683,0.23808470459751838,0.05666951871574957,0.21443916225171922,0.6023627836075065,-0.018566008630752057,-0.24226630665372115,-0.2771489947463779,0.2955999815592512,0.13860367641573154,0.012302367892640607,-0.2793971204523328
