,Red_N_L,Paracentral_Lobule_R,Vermis_3,Pallidum_R,Parietal_Inf_R,Temporal_Mid_R,N_Acc_L,SupraMarginal_L,Cuneus_R,Insula_R,Frontal_Med_Orb_L,OFCant_L,ParaHippocampal_L,Vermis_6,Putamen_R,Vermis_7,Paracentral_Lobule_L,Thal_VA_R,Vermis_8,OFCmed_L,Red_N_R,Thal_AV_L,Calcarine_R,Frontal_Inf_Orb_2_R,N_Acc_R,Thal_Re_L,Cerebellum_Crus2_L,Temporal_Sup_R,Supp_Motor_Area_L,Vermis_4_5,Occipital_Mid_L,Hippocampus_R,Thal_LGN_R,Thal_PuL_L,OFCpost_L,Thal_PuL_R,Cerebellum_3_L,Supp_Motor_Area_R,Raphe_D,Caudate_R,VTA_L,Cerebellum_7b_L,Temporal_Inf_L,Cerebellum_4_5_L,VTA_R,Temporal_Mid_L,Olfactory_R,Vermis_10,Pallidum_L,Thal_MDm_L,Parietal_Inf_L,Cerebellum_4_5_R,Cerebellum_9_R,Cerebellum_6_L,Precentral_R,Thal_VPL_L,Amygdala_R,SN_pc_R,SN_pr_R,Insula_L,ACC_pre_L,Angular_L,OFCant_R,Thal_MDl_R,Rolandic_Oper_L,Cingulate_Mid_R,Thal_MDm_R,Precuneus_L,Thal_IL_L,Cerebellum_Crus1_R,Occipital_Mid_R,Thal_PuM_L,Lingual_L,Thal_MGN_L,SupraMarginal_R,Cerebellum_8_R,Putamen_L,Cuneus_L,Calcarine_L,Cerebellum_8_L,Postcentral_L,Angular_R,Cingulate_Mid_L,ACC_sub_R,Parietal_Sup_L,Cerebellum_7b_R,LC_L,Rolandic_Oper_R,Cerebellum_3_R,Frontal_Sup_Medial_R,OFClat_L,Thal_VL_R,Temporal_Pole_Sup_R,Thal_VL_L,Frontal_Med_Orb_R,Heschl_L,Frontal_Inf_Oper_L,LC_R,Cerebellum_6_R,Rectus_L,Temporal_Sup_L,Thal_LP_L,Cingulate_Post_L,ACC_pre_R,Thal_PuM_R,Amygdala_L,Cerebellum_9_L,Frontal_Inf_Orb_2_L,Vermis_9,Cerebellum_10_L
Red_N_L,1.0,0.3883049195102451,0.7547048820164951,0.3664645653318049,0.16957323897858229,0.18964816227631387,0.34371756204036596,0.3861354854137793,0.13021665100349614,0.4421018102263232,0.23093661580972652,0.39673052673865333,0.6138204928929469,0.37876412977942536,0.5578445354795665,0.47228831006594496,0.5812239810867956,0.4245400308234264,0.2628869438676045,0.36639878270288967,0.5026092917363497,0.4817616860081872,0.4665100813261766,0.3951620201272644,0.04004409682337416,-0.03405105523251378,0.43382830083079443,0.4336989389314455,0.5400189678709347,0.6207862212300387,0.06625318466773306,0.6815243008716224,0.08699421838042759,0.42178338082453654,0.3190376839965872,0.36891868054607324,0.5691581570643168,0.4968675328859335,0.5224296797314998,0.6494825672647064,0.30454286040264156,0.766328262415436,0.5240492618070747,0.6512118600934983,0.49653338958655613,0.5316858101845666,0.2369759735979969,0.518643986048732,0.2654852067099294,0.41861434711664036,0.15466027555682987,0.5027774346167551,0.5920482185584699,0.5794599154383729,0.6814105057800424,0.621043223880498,0.3532390710678169,0.4031602687704217,0.721087961835577,0.5235186204877684,0.6167565823630831,0.03743314853405557,0.41176822197446966,0.3872062660804028,0.5469089567936365,0.5064665622361517,0.17807538926484598,0.06188128342737107,0.5479531525809634,0.4122542441760603,-0.16768498974418236,0.6140597024152495,0.2824126528102166,0.3332489599853318,0.33149918797096656,0.4927530532510234,0.43969963542178925,0.04224846923633466,0.4206074433266697,0.6267657659533505,0.22578411572026197,-0.06796755942968136,0.05149217379433114,0.4852327477312217,-0.17192528222570025,0.2549041773305288,-0.09353071245933232,0.5521088269246754,0.5383815712410411,0.5567622673083611,0.19955607396863975,0.5761925254198633,0.36704410992401365,0.5891522820684605,0.5156672282419197,0.5313028532918183,0.38214689118655976,0.029251735523134165,0.6122874772635291,0.37382174629368137,0.6443489963744438,0.5448727176587391,0.28001619009549866,0.6803377915551226,0.419725111487596,0.4536859933019835,0.6769385107701676,0.6515138218641015,0.46051147322054653,0.4894944278027293
Paracentral_Lobule_R,0.3883049195102451,1.0,0.6590513429358033,0.47487200337756996,0.6739685205793335,0.26802790444238167,0.5013718100722845,0.44239943197553666,0.5127960425929082,0.6676018001953788,0.17110435251266345,0.2084985823216303,0.6312053845636393,0.42948372311583444,0.7499849885162406,0.09449026694455676,0.8571306322177983,0.3903002673522104,0.010691053567625824,0.23400106544511487,0.448327406127551,0.29466769654086167,0.5192172700370328,0.4451792661224701,0.25876689146674886,0.3086267446847956,0.1474918772173615,0.6312785800084126,0.8078158848831241,0.7325065731172113,0.2433828061576755,0.5164833423391907,0.3567633210969439,0.5811184169479212,0.41258086020207074,0.5690798479234358,0.6483286770883933,0.8122104402635755,0.37505364333970687,0.5969337813624751,0.2416238118271681,0.3028698539360588,0.5497028735566843,0.7531459508524687,0.38513918930841157,0.38408390020634275,0.35075616997726355,0.5271413917094846,0.565870738195005,0.7752516111452231,0.5014045077557635,0.6918562208970717,0.2812364399059623,0.3796934354694083,0.7379940889371637,0.5941401251057924,0.3502308061155739,0.19231436095358193,0.39368970508421736,0.44270255027550454,0.4436452491507627,0.32729285294756244,0.2717760148584389,0.3165735414951731,0.6128863980659175,0.7529775011706327,0.620625857656785,0.6533628331398135,0.6192889548764308,0.1805200936320081,0.24089744231292637,0.5856545020479751,0.47854152940944966,0.338232773281539,0.6996314295223309,0.31088233320968706,0.5793942717781908,0.5287098377780487,0.4580177174490969,0.25609759178095787,0.5699926231341907,0.49994113657746464,0.6793114059634017,0.32564345875709094,0.37047885276779835,0.003588545139619152,0.27251572610632363,0.5650077215808538,0.6930407437446687,0.6796146803373683,0.30980231406382575,0.6689685230383147,0.13025813639310477,0.5134360364743444,0.20961576536901105,0.48215795975955006,0.5583642408474231,0.35238454126212815,0.4327217336468289,0.19131627847914703,0.5944987556661008,0.6470509292412906,0.6129437224781104,0.5932923334152876,0.6032792166454228,0.338765895536597,0.23976160087641502,0.367294855231121,0.02492844233816899,0.6708186996454826
Vermis_3,0.7547048820164951,0.6590513429358033,1.0,0.431845333246824,0.4781878984044865,0.36041098158426815,0.4303971758951996,0.5618748834450706,0.4452454096530027,0.6136654483839132,0.08749127665884338,0.36066114694921597,0.7235807648855217,0.5040660644675442,0.7703194866665162,0.4236313392315913,0.8492598054894526,0.47228068423006203,0.2978566741295833,0.36418817190670977,0.4352746704332983,0.44446805110488286,0.6478001157539984,0.36236548379123934,0.16901013873381654,0.05884895348283773,0.39986879655638613,0.6577395413386947,0.7140544453424639,0.806095665309637,0.15391670176296543,0.6764748096124398,0.14422775591338116,0.7039914273834066,0.39837857549046574,0.5825313606714236,0.7254659911034959,0.7797313206457971,0.5723698061776004,0.7957197746752572,0.4283075330715927,0.5789189755043154,0.6362145968851836,0.8236909075833415,0.5341605127598591,0.47965030343969944,0.3544016829947085,0.6785192760172203,0.39181506101195074,0.6452057217261397,0.41767135908638064,0.7409281825135292,0.60217207986953,0.5900429782055926,0.8493332391069555,0.727229393724364,0.3113140831397252,0.5525306695353039,0.6450693140994966,0.5003019591379464,0.5853388745737443,0.2368888595969909,0.4018797185704339,0.3106454509867114,0.723147932984444,0.7457422296021179,0.4328922407949358,0.34464025606592413,0.6535052805700647,0.4384215980387842,0.009781320417513634,0.8089194942467636,0.44785894948959504,0.42004862464149756,0.6557633861469851,0.5270438382830969,0.5283496846116144,0.3099288837029298,0.5678230837221695,0.6042070398551032,0.5542299043463018,0.1980240241726277,0.454951160949347,0.4306772930897044,0.1288260761163437,0.13405726859380884,0.0061717017998368755,0.6251103523227332,0.7578021232893839,0.8014472275692521,0.17728680273817668,0.6987485194603413,0.42289787412738616,0.6426234244743343,0.39028519522706406,0.6314611500370536,0.6014125575126723,0.1497631680605375,0.672740094586071,0.43776537413289957,0.6819598494254865,0.7654602827070178,0.4792314174140609,0.7524579901927203,0.5794218115446633,0.43902889892624447,0.6292273004847254,0.5001114421567304,0.3754016195353417,0.7011652276561985
Pallidum_R,0.3664645653318049,0.47487200337756996,0.431845333246824,1.0,0.08157089413892916,0.0004140999949436832,-0.05755493250565309,-0.11928520586954511,-0.18702450778082014,0.6269589046544789,0.5496256164634241,0.3887116100568969,0.7503742511272878,-0.016576057950432037,0.6907100959897294,-0.05866960764219948,0.4787707322396727,0.7657605436331669,0.07024861416560235,0.12001303650916335,0.33704101316766255,0.6534468510884957,0.1261875092605559,0.6443183926017263,-0.3563340703241208,0.23275960260372364,0.11763411531484366,0.3746699188838615,0.5656482465920715,0.5047626302343373,-0.44845032427698994,0.7375627998280023,0.16377098780484411,0.5900732600124672,-0.13151373179615883,-0.08096884748652265,0.1760834233881861,0.44390797687739847,0.4845583595783388,0.7226616308724817,0.13564760282310034,0.3500122289889515,0.39156082735162917,0.5740948271069368,0.12738945991345396,-0.0723927881251929,0.18219767298447456,0.26543820152381387,0.5664749931479842,0.3873364828494162,-0.15212463889891736,0.24013559650322358,0.07795615437203478,0.04571338104591435,0.5561258936901006,0.41787358313200906,0.5909217960867559,-0.02797087477973387,0.5295427340177025,0.5654770443457201,0.7352019112265232,-0.42024756281675607,0.3146919958683157,0.03797509030356096,0.4900462153397134,0.3137765980121021,0.43452852461038105,-0.05151804831960892,0.3038915919775999,0.08523424246313015,-0.476995868033751,0.6381951462291244,-0.16821921335043485,0.6951536224902218,0.21662021641263013,-0.029657163057021187,0.6557246150498136,-0.1805496728612964,-0.050109922686998466,0.06978886172844848,-0.006421165818269232,-0.19871086118052667,0.11453370092541612,0.765130412878462,-0.3125690781905356,-0.06571163407809899,0.11466910704096259,0.38681060150374796,0.5073513976415737,0.5522458210640507,0.29717037816739594,0.39824197933547295,0.07845415704855276,0.7211382655565265,0.7119673614717775,0.37461510965752154,0.3612918991555193,0.036437260119897924,0.2748126786715038,0.3877168809939456,0.4897778495146438,0.5346726167721371,0.25228257551694067,0.6620755932419701,0.31416931469818593,0.6806569839785899,0.09902879773104167,0.47142863371620336,0.00020908064083790122,0.5540933342334978
Parietal_Inf_R,0.16957323897858229,0.6739685205793335,0.4781878984044865,0.08157089413892916,1.0,0.44861239798142616,0.5847627670378761,0.6243996842419959,0.7917960826295071,0.4906709124182943,-0.08449167254787793,-0.1610011758377263,0.2162767791104538,0.545599960506965,0.420542657363872,0.2521254361438414,0.6986390585494721,0.10075987641295645,0.11278807247506975,0.11301070985783776,0.3914038462328091,-0.030871473563237054,0.665569834321018,0.1547938508399894,0.4270781415721145,0.2169963395459973,0.06584518431974667,0.561416936250703,0.562097068795233,0.5624331594455828,0.55536588328181,0.1307241143438382,0.2669965548462093,0.5082462671954145,0.5806701440686645,0.7505614515168643,0.6654475594663988,0.7560622777092335,0.12424044939183404,0.2553360407116781,0.380015543202974,0.18433192480574168,0.4614284335646467,0.47434850733512685,0.3904179992446993,0.4660882325476036,0.4110543166178676,0.5363196918503191,0.31895104031942584,0.6096813598422286,0.7948641806667185,0.6619867630898199,0.3414464401113559,0.5186877691488929,0.4748848578329789,0.2866000015469473,-0.023618628369246216,0.29231784299246866,0.08693413897523569,0.21602060045399396,-0.01709421356286283,0.6592681214004132,-0.03153044473051889,0.0648286737899386,0.43927850369822274,0.6544672268207328,0.5184461398478419,0.8026073537070063,0.6219321867267299,0.2500834188863348,0.6202381261089285,0.3165625341276588,0.6976824958930447,-0.05479810175182346,0.9056662568850248,0.3852276983564691,0.41568936159377456,0.7999166691292036,0.7267546539946969,0.38735837105276594,0.762782762205761,0.8279396351041736,0.8599816768712202,-0.13936394324604046,0.7712823020607285,0.08821141002098754,0.08307643921724553,0.3099480745964418,0.4174123097689807,0.5284788370067184,0.021998143254576587,0.43931214629710286,0.2382093829382355,0.07745533759963737,-0.21654333624635733,0.3219565579356964,0.48690283605149187,0.4571501241475858,0.43643608139058926,-0.14095043371394914,0.4229412519000448,0.507956267861105,0.5522101859424603,0.17776036525485622,0.43649888891949706,-0.0711941571770681,0.31599842256763666,0.19609561828530833,0.15385671899177894,0.42517076833929657
Temporal_Mid_R,0.18964816227631387,0.26802790444238167,0.36041098158426815,0.0004140999949436832,0.44861239798142616,1.0,0.3975256527123976,0.437412319371716,0.43905807237445843,0.37307791963825726,0.054619905103306686,-0.22192380770189937,-0.005029658747337987,0.7945890981254761,0.15044435309567003,0.6834343230136769,0.40400926400324116,-0.055048007688793976,0.5811420464875646,0.05623403847301239,0.36461750515273544,-0.13656904787427848,0.7707448962859086,0.2356397580937229,0.32640020181888163,-0.06310233171340444,0.23820354099135282,0.6209812263483916,0.20570269416745424,0.4209049553338908,0.2301048743758192,0.35191689279390165,0.13177695553450236,0.10648469757591414,0.5378887067693794,0.3827365587264343,0.3619564570722358,0.4303186949317835,0.020434290946930594,0.28001011327283337,0.5277527634781962,0.2041509589409824,-0.02903739438855319,0.3189248594747515,0.28953273960966547,0.05904357416305306,0.21881504101021484,0.6109098320760605,-0.02987539740240105,0.2273675371580656,0.5524937352121866,0.5799757884859641,0.5717344542552412,0.534624351467484,0.40344035086374885,-0.026940789450506965,0.16946847560276676,0.6488655864360138,0.029215698666785514,0.09139934443139197,-0.08751383601880741,0.22555961544046088,-0.20760658879770563,-0.32828847799024574,0.2883704153017446,0.27634989154462736,0.2509175098834453,0.4845075059191242,0.4536864921806863,0.6967196590576796,0.5174898742976352,0.14979447949076424,0.5765527811125813,-0.0761813565930727,0.6053572355107845,0.4626319401193492,0.28136156774223264,0.46507234467209185,0.7247844753745223,0.3726186725713706,0.6154635396585866,0.45120646219824495,0.3640388186868703,-0.10101126365904352,0.4773791330708169,0.5776319036871443,-0.32585334502153335,0.3405655317299563,0.4547416111463966,0.28903466304326697,-0.32942398733931993,0.3090969382566793,0.7370008319389054,-0.16941699768933322,-0.14954450095434943,0.2859548835841145,0.5202580119668173,0.05488264231834767,0.6789283487753858,-0.09585401079840973,0.041300704991893984,0.22935822480094445,0.22098256786835388,0.07715761067269815,0.2284811294612585,-0.31175032190100094,0.5185330668533729,-0.1333540928049982,0.6165758042250065,0.40459990177953614
N_Acc_L,0.34371756204036596,0.5013718100722845,0.4303971758951996,-0.05755493250565309,0.5847627670378761,0.3975256527123976,1.0,0.5305554595625195,0.5104465977545992,0.3277702038344334,0.07842535328833308,-0.22311503980862368,0.15730842276786117,0.6067196573886081,0.2792128609572608,0.45079051054785907,0.6154982737135707,-0.10988184790011409,0.13902888965054055,0.0677721425586996,0.5490416700450358,0.027076495908755962,0.622843102423262,0.37485101128484966,0.6054379984179575,0.19647292043638606,0.3559099751440136,0.36118969722632205,0.5017946042794807,0.5420830485497005,0.5940025487045341,0.24463834076253543,0.20512042585059384,0.2726776284583622,0.7087351422559635,0.7410482199377226,0.6262040166029962,0.6345593119094386,0.0033176376107146447,0.23054149723585562,0.3485514626548731,0.3482841661510762,0.36063405013050237,0.3981019637859549,0.48050035781536266,0.5617759161120064,0.4118034053629525,0.518420591023265,0.2743602615661215,0.5297922913346469,0.6328734420040558,0.5688328104128437,0.5063401981165868,0.6027428898344324,0.533084654754617,0.31921910412029897,0.19206345665246424,0.3839234559695647,0.23196790420102695,0.111284876445171,-0.07345081677660939,0.5802780181225002,-0.11943368493377232,0.23102682816818612,0.4148485147031765,0.5902171907523762,0.29764717363766624,0.563651954220483,0.6379517749499959,0.5308813862217762,0.5117554054269147,0.22509305297131402,0.7355510638928191,-0.052044156650500537,0.5366723882729495,0.563282439408938,0.29439147052374703,0.6389676026621468,0.6785208160684393,0.42529238517989454,0.60994366861803,0.5803481613300355,0.5621228751537463,-0.06345133233054687,0.4869670609061583,0.3757726119435733,0.03765893931367083,0.2764767015465584,0.3585069794929522,0.40739725348476624,-0.07176647039219279,0.5748022503897795,0.3423544206772178,0.051296028506573665,-0.15625100071508527,0.32858117384945656,0.5131970198037569,0.3764717463062434,0.53247322449797,-0.13132078181952847,0.35467544038168786,0.4312156685875051,0.5121778015288747,0.2328834107618051,0.5800369818942944,-0.09035764839124132,0.4611850877889857,0.20851114908904714,0.34077468002894773,0.35104484958089976
SupraMarginal_L,0.3861354854137793,0.44239943197553666,0.5618748834450706,-0.11928520586954511,0.6243996842419959,0.437412319371716,0.5305554595625195,1.0,0.7628098567320455,0.336130185730803,-0.2583311604119293,-0.07360734540221557,0.21044940235132145,0.5574767779776733,0.334968580163435,0.40969896610063145,0.5585204212652692,0.030420076038276258,0.20306829213966962,0.1322080495146708,0.3066524966700218,-0.014673552773511712,0.6694414924355526,-0.007957657040432636,0.4352524791870745,0.03436692886853577,0.14767038613675434,0.5867507877111925,0.3297590168146666,0.5001699514404854,0.5830571045485365,0.16574664845608286,0.13757592228938223,0.4010261231314839,0.4742040172819583,0.6946552474418028,0.6675011252536922,0.5649757224638926,0.12222861786766546,0.26040830282937755,0.3743320661900888,0.26919592165257095,0.369792575326898,0.47212968818079976,0.4495983031961708,0.5679735466702063,0.3678988342498878,0.5408914747774319,0.20824727514171093,0.4736765710504506,0.7584878231516865,0.6414905388647916,0.45709650141966446,0.6453894878865858,0.45961055161232034,0.3553136008365568,-0.12112353501874379,0.42537973015058,0.1785451021989828,0.16708094757985958,-0.0038153835580002284,0.6854262526505805,0.03894871951843845,0.19483797780033502,0.49912488734518234,0.6328735973054349,0.30641207464981257,0.5749434966756249,0.5578937732724772,0.3133892809027632,0.44443012183295655,0.2671339014500159,0.6723402734076409,-0.12607881122371423,0.6408808945736848,0.542659051038984,0.2534635343983211,0.6484887611009396,0.6946636752336545,0.5025617289609602,0.7071907656573078,0.5418713070511783,0.579702651813904,-0.15496466565858646,0.5606875039564718,0.14193493245323036,0.05885105419814816,0.45998930756836176,0.4386943229571523,0.4177848857040696,-0.06329337099144057,0.3977164165980248,0.3931848192145183,0.10674088970253724,-0.1559853589881267,0.2910528680693664,0.5830354409687241,0.24225937059672273,0.5403569012648624,-0.029857299554741423,0.5373300993535243,0.41789099152371256,0.5301488739578316,0.1880405615047369,0.4479184806417295,-0.12902427870497607,0.4483577860508477,0.13536075140118048,0.28412171294153915,0.4729763293530772
Cuneus_R,0.13021665100349614,0.5127960425929082,0.4452454096530027,-0.18702450778082014,0.7917960826295071,0.43905807237445843,0.5104465977545992,0.7628098567320455,1.0,0.3764365587500126,-0.3701398098575383,-0.09229904451591629,0.06593103198370481,0.5347949099240021,0.32584242293870946,0.28659200556063624,0.5465234167451497,-0.06591964464392522,0.2492444208139852,0.23681277529488182,0.21629883537598138,-0.23884522274730885,0.6181341120781715,-0.1384728350629545,0.5564447037328661,0.19419275095248573,-0.09433134894481007,0.5365631741050759,0.30549549344432014,0.45879415798277595,0.5915181337684678,-0.014864801710976192,0.3193298328251256,0.35391114703785426,0.5606366494641801,0.7446806178085046,0.6276855540231562,0.5171463427019525,0.032537043647495024,0.12148958946544605,0.3270333766528461,0.02340050414695144,0.33518044557335364,0.3677816482641918,0.27907803436873363,0.5008877688960846,0.41324801835791575,0.5442764391476557,0.19512535058056527,0.549874702779846,0.8149945252655395,0.6292660860118776,0.34799146219168287,0.4775415988495223,0.3051125291081895,0.2766368266860252,-0.21971075288771513,0.30799755806186896,-0.05547235818145843,0.17598991582429593,-0.10317232597193055,0.7587168804880626,0.026815126115176793,0.15920160908926978,0.376078946449743,0.5526738604381266,0.5290837613659043,0.7873333751085236,0.5604594096735619,0.22621724535083293,0.6520421420962017,0.1906295277764789,0.6873368975078761,-0.26704228875619596,0.7118461986314413,0.4145223589670755,0.2987155595475677,0.8342976303208793,0.7237847945463297,0.43957853392380264,0.7708172353461332,0.7752366976272357,0.740028383993751,-0.2923660186921909,0.794969292743534,0.058250522717256926,-0.04270241728368465,0.3413471130473189,0.40182251215285564,0.3548672928518873,0.04354354578028549,0.35848813588320955,0.2297093192293308,-0.06138101465237913,-0.3529752771552902,0.2963817679652004,0.469437411269209,0.4907410347307185,0.3447453827852409,-0.07007256754521507,0.3395680678632792,0.33840567539628513,0.5324488797228613,0.07315395163328058,0.4928926913405389,-0.2272066763852339,0.28762522868648344,0.03406549848382948,0.11742977605469243,0.3206937521802054
Insula_R,0.4421018102263232,0.6676018001953788,0.6136654483839132,0.6269589046544789,0.4906709124182943,0.37307791963825726,0.3277702038344334,0.336130185730803,0.3764365587500126,1.0,0.19886859421839911,0.1231524754105093,0.610498563858476,0.4621503995457779,0.6409338168123818,0.2646113238662845,0.7093447942907308,0.5746903097799421,0.16151834383692495,0.14926355651615908,0.4798514716585559,0.3088918576221955,0.5364310116923275,0.6210570160633784,0.011738072289697978,0.31766124867512735,0.12511156177214344,0.6804783227785085,0.6812088420184644,0.6965718721417228,0.08688137219367212,0.6583506886479945,0.5096055774874652,0.6042424829348537,0.44994353514963964,0.411714915141152,0.6356703951143311,0.676431157662041,0.2817358461760546,0.6247335110797159,0.3561908963376424,0.3376590151166763,0.4010754534473919,0.6694145532224837,0.22681433346223356,0.2815582076751971,0.695140019192033,0.5885875168178022,0.5514017356575576,0.6077404152558593,0.3331844060351709,0.6366807441507201,0.33711790679176945,0.44742024644517076,0.7035338112510382,0.4244994630835216,0.30324457754707423,0.2809426048986853,0.507901950428988,0.8270703787599353,0.5766192642536099,0.05823805999466086,0.13305301669703803,-0.0075198722041250375,0.7439615554594383,0.4559674890096185,0.7323538165353104,0.3874796035014104,0.5922733518012113,0.3557861615656721,0.07632495525661426,0.4957824656693864,0.4360839776622975,0.344878819330756,0.571043770729352,0.35692287967190955,0.8939501365986605,0.2956078506272408,0.48986074033843047,0.3304450209695822,0.4543970406063538,0.28533483824054523,0.4341883822858844,0.5526023939615115,0.19824983475349794,0.18615879734623703,0.05481024164307914,0.6887058904423478,0.7034844891960174,0.7004857160462206,0.12952641360221742,0.46795565950536916,0.3798729681063467,0.3953923557311042,0.382139750053707,0.5013086586439454,0.6268046485652662,0.3177172420648885,0.535186088117246,0.10996930330546101,0.5603266163453944,0.5478061471773844,0.4715071333965388,0.5762747536785923,0.47748970201721863,0.29666765346833773,0.34742461663628205,0.433727458970968,0.23536292601944056,0.7141579360289766
