,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_Re_L,Red_N_L,Precentral_L,Frontal_Inf_Orb_2_R
SN_pc_R,1.0,0.009144102105618118,0.3677901072141877,0.463648042809285,-0.1958933457611139,0.24833851358156148,0.25490326890010273,0.41493710896559527,0.5646567342187401,0.3853821227718355,0.12637383015492365,-0.0758134841874542,0.19231436095358193,0.5802983274412048,0.165698441199476,0.20687137121342647,-0.26629170178489436,0.4031602687704217,0.359598622484671,0.11252571723616916
Thal_MDl_L,0.009144102105618118,1.0,0.6321563507242773,0.2287150109936829,0.3766948694031226,0.5316772079818742,-0.35733203573861205,-0.5007537972824176,0.1334015859318837,0.10396702163723934,0.6258893857682342,0.0334829529327695,0.27189856713974675,-0.006108965462587705,0.5826863758836742,0.45900603159722003,0.13913068637232634,0.4321304120810559,0.07251370516137227,0.42720166279403765
OFCpost_R,0.3677901072141877,0.6321563507242773,1.0,0.3818304947629277,0.13327042930498295,0.7010870634268088,-0.11525621595363084,-0.0745660655772504,0.4373739945932048,0.3611906031138381,0.691202556716136,-0.12356765698158043,0.34021470361022627,0.5035328203620713,0.6826769998260555,0.5187219380983442,-0.1188557807045225,0.6611542724197776,0.2457689480888008,0.4593771143838128
Temporal_Sup_R,0.463648042809285,0.2287150109936829,0.3818304947629277,1.0,0.20058489073884597,0.42065702810617145,0.36576708633789673,0.24612989614152905,0.6214435224811414,0.4968550251361628,0.11018301261538525,0.34452947819371943,0.6312785800084126,0.304771405005907,0.22998422489421466,0.5770966186680815,0.17799378900461507,0.4336989389314455,0.6911581224750001,0.35851648880435566
OFClat_L,-0.1958933457611139,0.3766948694031226,0.13327042930498295,0.20058489073884597,1.0,0.02380377987215634,-0.02079389720607576,-0.6184329794433837,-0.13090580982282052,0.1003738852225358,0.17717974466498088,0.32795581214049635,0.30980231406382575,-0.4100993937606345,0.26525619047658777,0.41200438546823703,0.43091278696606167,0.19955607396863975,-0.049122621210555016,0.08479099919526668
Heschl_R,0.24833851358156148,0.5316772079818742,0.7010870634268088,0.42065702810617145,0.02380377987215634,1.0,-0.04436866306480248,-0.06324665126779362,0.27425562859811553,0.13338845632558907,0.7236476199061118,-0.0306439610677916,0.46625440777651367,0.27707858089156506,0.47867609957565177,0.5202171063403442,-0.08376014997977642,0.4701193461561058,0.2663029468249748,0.4427310472857071
Cuneus_L,0.25490326890010273,-0.35733203573861205,-0.11525621595363084,0.36576708633789673,-0.02079389720607576,-0.04436866306480248,1.0,0.4393408689142187,0.07464894903364633,0.08718241581785556,-0.17386757031128583,0.2964537511391758,0.5287098377780487,0.09766645312263644,-0.08736852941085241,0.2983953404598606,0.243076738434868,0.04224846923633466,0.5518075614967176,0.003376201182000511
Occipital_Inf_R,0.41493710896559527,-0.5007537972824176,-0.0745660655772504,0.24612989614152905,-0.6184329794433837,-0.06324665126779362,0.4393408689142187,1.0,0.4421179145373052,0.22812469065463417,-0.2890846729648161,0.06442732530164459,0.025623526187498826,0.6110077436895271,-0.12216047120284314,-0.12576770437045667,-0.14687805622265718,0.022610280681131162,0.3393428174689065,0.15053554712604944
Temporal_Inf_R,0.5646567342187401,0.1334015859318837,0.4373739945932048,0.6214435224811414,-0.13090580982282052,0.27425562859811553,0.07464894903364633,0.4421179145373052,1.0,0.8003313611808872,-0.0015124727826640759,0.0658632967540758,0.08464836404787007,0.624283107969628,0.30234038668944807,0.06297332492823203,-0.07140768610688372,0.25830768020402267,0.46094480773540203,0.23500886604095014
Vermis_8,0.3853821227718355,0.10396702163723934,0.3611906031138381,0.4968550251361628,0.1003738852225358,0.13338845632558907,0.08718241581785556,0.22812469065463417,0.8003313611808872,1.0,-0.04471110197734055,0.13419572035673716,0.010691053567625824,0.45139395955911205,0.18710578261946495,0.10336383975615926,0.1392877716925735,0.2628869438676045,0.4166753223029373,0.07653487972364476
Thal_AV_L,0.12637383015492365,0.6258893857682342,0.691202556716136,0.11018301261538525,0.17717974466498088,0.7236476199061118,-0.17386757031128583,-0.2890846729648161,-0.0015124727826640759,-0.04471110197734055,1.0,-0.21784533771045458,0.29466769654086167,0.1842894447999913,0.5840438685188131,0.5460536433920407,-0.15033807219107473,0.4817616860081872,-0.01344534726479249,0.4085334707904443
Thal_LGN_R,-0.0758134841874542,0.0334829529327695,-0.12356765698158043,0.34452947819371943,0.32795581214049635,-0.0306439610677916,0.2964537511391758,0.06442732530164459,0.0658632967540758,0.13419572035673716,-0.21784533771045458,1.0,0.3567633210969439,-0.13233199312935254,-0.0743229484392445,0.23149402656942933,0.7453316845789223,0.08699421838042759,0.23481822518770784,0.3335745782703929
