,Thal_PuL_L,Frontal_Inf_Oper_R,Vermis_8,ACC_pre_L,Thal_Re_L,Frontal_Mid_2_R,Occipital_Sup_L,Precuneus_R,Thal_VPL_L,Cerebellum_7b_L,Vermis_10,Parietal_Sup_R,ACC_sup_L,Cerebellum_3_R,Thal_AV_R,Occipital_Mid_R,ACC_pre_R,Cingulate_Mid_L,Rectus_L,Caudate_R,Amygdala_L,Calcarine_R,Rectus_R,Thal_MDm_R,Occipital_Inf_R,Thal_PuA_L,Pallidum_R,OFCpost_R,Angular_R,Fusiform_L,Hippocampus_R,Occipital_Inf_L,Cingulate_Post_R,OFCant_R,Thal_VA_L,Cerebellum_10_L,Heschl_R,SN_pr_R,Thal_LGN_R,Frontal_Mid_2_L,Insula_L,ACC_sup_R,Temporal_Pole_Mid_R,SupraMarginal_L,Temporal_Sup_R,Parietal_Inf_R,Cerebellum_8_R,OFClat_L,Thal_VL_R,OFCmed_L,SN_pc_L,Occipital_Mid_L,Thal_LP_L,Insula_R,Raphe_M,Thal_PuM_R,Thal_VA_R,Thal_VL_L,Thal_MDm_L,Frontal_Inf_Oper_L,OFCmed_R,Frontal_Sup_2_R,Frontal_Inf_Orb_2_R,LC_L,Red_N_L,Cerebellum_9_R,Temporal_Pole_Sup_L,ACC_sub_R,Temporal_Pole_Mid_L,Cerebellum_7b_R,Parietal_Inf_L,SN_pr_L,Frontal_Sup_Medial_R,N_Acc_R,Thal_MDl_R
Thal_PuL_L,1.0,0.5364716196200464,0.07429816788258133,0.5279766421196588,0.1908654358595022,0.6803671057032855,0.10776693381633906,0.37387356713462266,0.6325168024119497,0.3660806560744888,0.4795416738289915,0.08480697128637527,0.7806873524354505,0.5340360869575262,0.4857958394827671,-0.11917604282851345,0.623666065794961,0.573304377353827,0.271273411322279,0.6994469065009108,0.46552766436519716,0.4159851444122293,0.2179993811701577,0.4643318478185711,-0.08180751475271385,0.6120282436421183,0.5900732600124672,0.5468128266712773,0.22200056906564142,0.6152432453693368,0.5139072089079034,0.028004872928982925,0.3709626691894529,0.26341155576917863,0.5173353730697298,0.5834301761134341,0.6270691358256,0.5030055422008664,0.11239137507110082,0.6722038741814185,0.4002483995299304,0.7876822971238125,-0.09269734071749702,0.4010261231314839,0.489618244388749,0.5082462671954145,0.3007090849550179,0.16422051197931337,0.5499671548118814,0.1644355648999908,0.5187418075745169,0.05086244615463286,0.8038632344469764,0.6042424829348537,0.28342327116157795,0.5196322710700312,0.6105162380008329,0.6504110245611557,0.6438560229259248,0.5459989934670223,0.24679629627586808,0.7530953596822183,0.3852629486232114,0.07714031998835151,0.42178338082453654,0.2956907106272302,0.29175213334671857,0.377618304607935,0.19781496581792143,-0.07073381032746855,0.3725660505398466,0.444539094784807,0.7573035449413825,-0.004926584669646694,0.15600372614789793
Frontal_Inf_Oper_R,0.5364716196200464,1.0,-0.05231470228369332,0.5078604118864783,-0.021844267876443217,0.6880424651215284,0.03595226367199676,0.3532913427012813,0.30733554025080834,0.4522953952885273,0.4746614481148381,-0.04922891393007408,0.7352634075880609,0.5286544866437809,0.5261226560591354,-0.05358576642875101,0.5802255262337253,0.3236806515262719,0.027546724170463496,0.5981985622905659,0.3879805427301403,0.5040894132476211,0.005558397564206685,0.35282950471498176,0.22302059615260836,0.49113053336527424,0.5010805756614919,0.4772576786559533,0.1443747915203454,0.5650764577699241,0.6102513121959138,0.17444402346269733,0.17561321228685975,-0.046792727734868464,0.4966230154714457,0.6643686690072047,0.6655231608914973,0.7178489548873086,0.18172949186919743,0.6433224508737463,0.6828788921795818,0.6010075913790306,-0.1610973134194019,0.32976038996495965,0.48976779821801386,0.39098544149558945,0.45419225585141176,-0.08528693823537108,0.3261910819865074,-0.04394484790988853,0.5817605259414971,0.029188145831076408,0.45477666190017313,0.7776861403640669,0.3892860674669135,0.3886596113134781,0.5551978449259761,0.4128567433192642,0.39200066510287385,0.6157957855285298,0.08520298737558203,0.7341161087032327,0.5570366085299809,0.13718664932891023,0.510798298247966,0.3155271996922288,0.3391864644611185,0.5053160166521805,-0.07279689776557187,0.23671642345429877,0.1586158238674384,0.4302722216193371,0.7838819295105286,-0.13862967960145903,-0.061849661480275944
Vermis_8,0.07429816788258133,-0.05231470228369332,1.0,0.10631707397757172,0.1392877716925735,0.23984959314233686,-0.012709112614340438,0.07910625105825111,0.1681229971667249,0.25379598796434305,0.601330461066132,-0.11471027733552412,0.13031416276829974,0.4137059278899778,0.02794318956142414,0.052302885647107056,0.20401823692776586,0.10123444622617472,0.38817081567144057,0.34839530777199557,-0.08218302087630101,0.4212437793747928,0.3152438674866386,0.23800303276448526,0.22812469065463417,0.22688925131521118,0.07024861416560235,0.3611906031138381,0.05789009876552633,0.14069859383273814,0.35183150079082076,0.22804932918460685,0.10812083187614537,0.3503512532135042,0.18070324438023647,0.14650229711606844,0.13338845632558907,0.010900874372438949,0.13419572035673716,0.15617210377464233,0.09757163113124966,0.30639348427455637,0.5020268728586057,0.20306829213966962,0.4968550251361628,0.11278807247506975,0.354515140117613,0.1003738852225358,0.3790091798770985,0.5206792046403415,-0.14218393821856964,-0.03916059885332606,0.2206242086963631,0.16151834383692495,0.499339308197693,0.2661380462675438,0.04548989978201104,0.10115008245204488,0.1970116088545926,0.35756817611972286,0.24556118546320646,0.13375563086700162,0.07653487972364476,-0.6707175561331831,0.2628869438676045,0.6260405578691703,0.19931748206841937,0.09986016505990891,-0.1533873871774647,0.3923461876717958,0.3217199006405477,0.17916616035176666,0.12549214080178683,0.3253860976715661,0.059372808506514725
ACC_pre_L,0.5279766421196588,0.5078604118864783,0.10631707397757172,1.0,0.10548324735169001,0.7425350875400235,-0.3629418070355759,0.04854436501887902,0.6553748228093065,0.46034379799534886,0.29564418183361396,-0.2946219607077091,0.5550291824833884,0.5354822904767952,0.21742756780357603,-0.5401098556413786,0.8428258699819404,-0.09862035056470761,0.6255558171483309,0.8038816742323593,0.7878035349635504,0.1064146037876254,0.6101796088226459,0.29561850155138003,-0.41688207158994545,0.5779634860704366,0.7352019112265232,0.7086934052502597,-0.30309061749760763,0.4878599502640803,0.7447370510254117,-0.2700636442653421,0.18413424664751563,0.6033856690550075,0.5284423291421568,0.5037956458321848,0.6318432215977641,0.6975253120697622,0.17516872448361248,0.7022611002022769,0.7220729110450588,0.5441302429788667,-0.21635253797331921,-0.0038153835580002284,0.38675469881988955,-0.01709421356286283,0.1202651773799317,0.5033028105878371,0.4796674691429268,0.40748476499068376,0.5562383029778027,-0.3351138735109631,0.5330512790970464,0.5766192642536099,0.12408524649906034,0.37726769310024366,0.7527064005844264,0.8214662402886082,0.4099921600083764,0.25553888377628675,0.6925954177783945,0.7573645479046219,0.457673092530505,0.0076589439937515165,0.6167565823630831,0.1923660671681319,0.2761089056124291,0.8158284563989139,0.21515379820388433,-0.06104359914369628,-0.16773531866803523,0.6755883528913754,0.6474255959670163,-0.31989930849505727,0.3083427139526899
Thal_Re_L,0.1908654358595022,-0.021844267876443217,0.1392877716925735,0.10548324735169001,1.0,0.08125722938494004,0.21159770890470486,0.3176030854724181,0.33689142052934423,-0.10009312081338993,0.21336949291732654,0.3229783248784491,0.09486090665920004,0.3686252566445175,-0.18047726699871217,0.18089417754794024,0.09453054072099573,0.29864406949090544,0.13402213966152027,0.04120860177609349,0.06585602580403227,-0.016044899047378994,0.4409261116896278,0.6517849126263403,-0.14687805622265718,-0.08763977020444495,0.23275960260372364,-0.1188557807045225,0.20007261892346068,0.15731272053428694,0.12781688863828786,0.08415563986179787,0.1985518396973379,0.2839284798638651,0.3973576157287628,0.14552984342365383,-0.08376014997977642,-0.09432303730127443,0.7453316845789223,0.19312808622298075,0.23481845415721306,0.19034240288739623,0.1046386795757345,0.03436692886853577,0.17799378900461507,0.2169963395459973,-0.05700035449673599,0.43091278696606167,0.43951087765523583,0.38804761675361854,-0.12181941476442708,0.2263698514264558,0.2609666517265359,0.31766124867512735,-0.08971787319642466,0.2766897634115514,-0.026230248055193136,0.10626839295212534,0.4439876124326276,0.13369359847007006,0.058252647549268566,0.04798780737537471,0.37277998311139815,0.03386931678321408,-0.03405105523251378,0.02602871125963344,-0.0985401926474265,0.2153944381008006,0.08996704043788444,-0.10416880902940655,0.2803907273078512,0.13414825806821684,-0.031349790722923494,0.45728095940455277,0.3929171619262853
Frontal_Mid_2_R,0.6803671057032855,0.6880424651215284,0.23984959314233686,0.7425350875400235,0.08125722938494004,1.0,-0.11129186777912332,0.3359011669268632,0.6931247320997126,0.6320159499697363,0.6056491704925351,-0.06095562639315884,0.7772322334905859,0.7199901633560748,0.4557299731295108,-0.19278096941928213,0.8031722650535456,0.3426073737600827,0.4312421320410304,0.8577979539774285,0.5680491413325679,0.5476526754115038,0.4265249968211524,0.3952774322297982,-0.05567952674117806,0.6439372015158902,0.6530999676191805,0.7389208763050945,0.034761554570069644,0.7999168108054784,0.811164093341698,0.05926005526221626,0.18837181396084907,0.46837980295207765,0.5178515023466084,0.7614538474859355,0.7069665735906383,0.7172255473334819,0.15847426544690968,0.8331225534996268,0.5995813399756523,0.7652584488032568,-0.04404436201948159,0.4225589827032428,0.6890263465582012,0.4159565630241972,0.34250852672259413,0.25745455604991935,0.6611172338915525,0.3624562853802645,0.5154545547107927,-0.03939731166600387,0.7183529141690727,0.6893213801153446,0.39951975124598355,0.4763433440018244,0.6642980873663975,0.7383171433381589,0.5987560230615289,0.5535428040016327,0.43571197596837336,0.9070784726293201,0.5123061437718689,-0.011131221775340275,0.7114063752282718,0.42837657410413243,0.343195825382056,0.6132337756866265,0.0409875144881784,0.07467204599295747,0.23281723781254404,0.6528064563318213,0.8067276067016701,-0.027331047082264973,0.28536091007115877
Occipital_Sup_L,0.10776693381633906,0.03595226367199676,-0.012709112614340438,-0.3629418070355759,0.21159770890470486,-0.11129186777912332,1.0,0.6887938302519786,0.016122179031323944,0.0023675734838443097,0.29060046768739106,0.6886638931023454,0.22577448492890825,0.04493468618881452,0.19381780152234634,0.7535440393357145,-0.20732294033798132,0.6009766531116882,-0.3168878861414038,-0.1994782843402377,-0.3977399467441273,0.4663100690705542,-0.30847810323709934,0.34113521140556075,0.4829553051936877,-0.10756965632146798,-0.3672724703873186,-0.26441366837956254,0.8714053798554929,0.0979692116309261,-0.23625926039431797,0.5875396257133855,0.45330156666082105,-0.2723303019342169,0.11124050041164621,0.03549471436858979,-0.2438166880114989,-0.19835443399132585,0.27121148656921745,0.04178626682833914,-0.02639871994964697,0.23656787396888107,0.3373313241586353,0.5587567863002854,0.18518182678612224,0.6425962555331711,0.4565907360514947,-0.13260985059233166,0.21808824250857853,-0.08256099366642441,-0.11098290108962108,0.8268228995217909,0.13410600555261848,0.14926968126451676,0.13015397055758868,0.4469133974008281,-0.2544641879653578,-0.28307861241564386,0.45827832510360045,0.34958660384751894,-0.5357311839738653,-0.0824468651291422,-0.06415843517319571,0.06083305389245754,-0.03884320445347662,0.3102916369113713,0.18453477038903773,-0.4371952039048071,0.08138146750355119,0.2270249814762743,0.776363080870898,-0.11478089047073659,0.08992420646438887,0.5628468922036473,0.043448385290446305
Precuneus_R,0.37387356713462266,0.3532913427012813,0.07910625105825111,0.04854436501887902,0.3176030854724181,0.3359011669268632,0.6887938302519786,1.0,0.29101472864219136,0.07168444203137507,0.48141998274581926,0.702106917417418,0.4809673734106575,0.4613930222644093,0.3147346836743907,0.5393622407075238,0.2011494101742209,0.7557159401899318,-0.01803796049176692,0.2622659332473687,0.006338659565775927,0.5275367660086223,0.07845649119646445,0.6059508002583162,0.21226614726469253,0.16280497047225292,0.1261505511426175,0.010106788389076747,0.7863617284447562,0.3840745655251503,0.1714396876822384,0.28564940648340587,0.586483565160803,0.045517995304480675,0.44909283045697856,0.4333480140120527,0.15568728808705942,0.05890064068630214,0.3730789651789817,0.4489478158359976,0.26470110713006517,0.5252805477178865,0.11667583450600727,0.6127960748270004,0.565305691155107,0.7908039574781802,0.32379908082304726,0.16628197987898508,0.46302328476163024,0.10445647002084629,0.07228919489176078,0.5195135746899112,0.4087338465140744,0.48915712125697025,0.19805401033441883,0.6438624236255954,0.1377247710658845,0.1291574937216659,0.6819398918244627,0.5619484335978808,-0.19089664342498103,0.3481464567389321,0.15561878078389133,0.18430540800072312,0.11387381241963453,0.24800015193331723,0.0960163142195116,-0.03939279412747091,0.16614048961155475,0.05764655656081764,0.7408120166487406,0.23044162080008757,0.44384999868056835,0.4622343702254824,0.1925480278682213
Thal_VPL_L,0.6325168024119497,0.30733554025080834,0.1681229971667249,0.6553748228093065,0.33689142052934423,0.6931247320997126,0.016122179031323944,0.29101472864219136,1.0,0.38488913999869345,0.4282970379432797,0.11694023286121459,0.6330029170354428,0.6596024853011686,0.15767053776729276,-0.13716584962270567,0.7604464507679337,0.32915841948684604,0.6042490013040024,0.7124278995047597,0.5571841083528768,0.2858734819733454,0.6354756794597594,0.43609922556810465,-0.3386868437357373,0.4845609855629282,0.41787358313200906,0.5035929736473692,0.038662146287418715,0.5835042941141229,0.5905740667743405,0.03193530784242598,0.306896426471443,0.7153431502873348,0.48175810201579067,0.5393445260809477,0.3576305312715894,0.4926611768226194,0.28963372624265354,0.6394727709267828,0.39914674971985215,0.7100649730624085,0.10139991089049469,0.3553136008365568,0.499017872495648,0.2866000015469473,0.211790093100928,0.6162247144163538,0.8097631980599856,0.5979314302218869,0.20784364825985963,0.12375195326689536,0.7517813523957763,0.4244994630835216,0.09885204044548684,0.5502182609922436,0.37478840449857415,0.7506842406927913,0.7066625531130266,0.2916000795614539,0.44014976853202836,0.667211212547603,0.3252836859109908,0.11644338849078466,0.621043223880498,0.2974603142569842,0.2085403877112043,0.47453302099989697,0.298564389360397,-0.14216344853592786,0.279584149493938,0.6799800439331857,0.553847239441756,0.2814296861807285,0.6886917711716461
Cerebellum_7b_L,0.3660806560744888,0.4522953952885273,0.25379598796434305,0.46034379799534886,-0.10009312081338993,0.6320159499697363,0.0023675734838443097,0.07168444203137507,0.38488913999869345,1.0,0.49004969028183204,-0.2896651278571318,0.541616617063188,0.3518605938220177,0.5399798197517203,-0.17854029929225007,0.4701315853234371,0.05738623578432355,0.20406501498145557,0.5190078670407304,0.36965403953261233,0.4943581893980469,0.10447178751011188,0.030488672509968773,0.1593561232815961,0.6196493115178883,0.3500122289889515,0.7029088508742779,-0.057776299571300364,0.66313743153027,0.5845531154940059,0.3621420787294476,0.13364871757335742,0.2227805680909904,0.30920121414001667,0.39501401746034237,0.5115816574621536,0.5540906456772389,-0.043429913246640375,0.43682429381768045,0.3904310366600616,0.46789357500660866,0.06233392383383848,0.26919592165257095,0.28852119101284873,0.18433192480574168,0.5451710714949101,-0.01633365416817111,0.4869878797697246,0.18432876240886525,0.5148924274559825,0.05358016596327158,0.4656993119800593,0.3376590151166763,0.5456030229867285,0.41116515478250043,0.4238990929175223,0.5147434881347586,0.38861829956273775,0.38452300306627507,0.1783918821897557,0.6229777083356162,0.4422067637055606,-0.2554569761333574,0.766328262415436,0.6918660676181535,0.6473526543162001,0.371371585813801,0.00016408690104741135,0.3444576580447468,0.11163234047900242,0.5627560574600095,0.45821988724451795,-0.06141359287960441,0.2036800156393382
