,OFCant_L,Occipital_Inf_R,SupraMarginal_R,Fusiform_L,Insula_L,Frontal_Mid_2_R,Postcentral_L,Thal_PuI_R,Cerebellum_8_L,Vermis_4_5,OFClat_R,Putamen_R,Temporal_Sup_R,Thal_VA_R,Cerebellum_9_R,N_Acc_L,OFCpost_R,Thal_LP_L,Rolandic_Oper_R,Temporal_Mid_R,Thal_MDl_L,Temporal_Mid_L,LC_L,Hippocampus_R,Red_N_R,Frontal_Inf_Oper_L,Parietal_Sup_R,Vermis_9,Insula_R,OFCant_R,Cerebellum_Crus2_L,Thal_LGN_L,ACC_pre_L,Thal_LP_R,ParaHippocampal_R,Thal_MDl_R,Cerebellum_7b_L,Thal_PuL_L,Pallidum_L,Cerebellum_3_L,Thal_MDm_R,Temporal_Pole_Sup_L,Thal_AV_L,Cerebellum_10_R,Putamen_L,Frontal_Inf_Oper_R,Vermis_1_2,ACC_sup_L,Temporal_Inf_R,ACC_sup_R,Angular_L,Thal_VPL_R,Calcarine_R,OFCpost_L,Rectus_L,ACC_sub_R,Raphe_D,Vermis_3,OFClat_L,Vermis_8,Frontal_Inf_Orb_2_L,Vermis_7,Thal_PuM_L,Cingulate_Post_L,Cerebellum_9_L,Paracentral_Lobule_R,Fusiform_R,Parietal_Inf_R,Rolandic_Oper_L,Thal_VL_L,Vermis_6,Frontal_Sup_Medial_L,Occipital_Sup_R,Cuneus_L,Frontal_Inf_Tri_R,Cerebellum_Crus1_R,SN_pr_R,Red_N_L,Precentral_R,Heschl_L,Thal_IL_L,Cerebellum_7b_R,Thal_AV_R,Lingual_L,Occipital_Inf_L,Temporal_Pole_Sup_R,Cerebellum_3_R,Temporal_Pole_Mid_R,N_Acc_R,Thal_VL_R,Thal_VPL_L,Cerebellum_10_L,Occipital_Sup_L,Cuneus_R,Supp_Motor_Area_L,Amygdala_R,Olfactory_R,Cerebellum_Crus2_R,OFCmed_L,Precuneus_L,Frontal_Med_Orb_L,Cerebellum_8_R,Temporal_Pole_Mid_L,Thal_PuA_R,Parietal_Sup_L,Frontal_Inf_Tri_L,ACC_pre_R,Cerebellum_6_L,Hippocampus_L,Occipital_Mid_L
OFCant_L,1.0,-0.000831056022914022,0.09959043688402554,0.09066695775525935,0.25135403283244595,0.38855611600622497,0.1811305463797203,0.16569272701462054,0.36729593230569973,-0.01761845895120851,0.381831168195952,0.34020984825599876,-0.0035168318272366917,0.04607869467456331,0.11120355239718997,-0.02633597958897868,0.5138293448734607,-0.0836220704498175,0.21931115457606223,-0.017761710501707228,0.19440479910889077,0.03247334766840669,0.33498210173072296,0.26220902331779505,0.18937334701010547,0.29831948173846196,-0.05480288753086784,0.27027009365226423,0.2630654124050159,0.5486427610234094,0.1865007430654703,0.07692784890353051,0.29790089323682556,-0.16481736111612458,0.10250988155313649,0.1813148029157432,-0.10951068364745949,0.2180263495276841,0.021859737736323933,0.22552121121925398,0.14684726128115794,0.18792115550204672,-0.15444196177424394,-0.04679442811384199,0.2322067505659998,0.29555140189261486,0.15991810324966954,0.4949157343524222,0.22268377749811455,0.45304264379654735,0.06959148005996901,0.08538504186662467,0.16606379133015065,0.21584890472006338,0.07620231612623504,0.37116775627611115,-0.13829391680470188,0.10654565616478769,0.31465802404849424,0.11639234309272659,0.1783396037948927,0.14939985593446722,0.011832564131226752,0.2657551199593931,0.18609694689508802,-0.08700330299141731,-0.038782591598513244,-0.04555450120738944,0.21001195926622013,0.08682688591464341,-0.013328910130808199,0.4927089498083939,-0.02145159710117957,-0.035118863563811754,0.33392655455369785,-0.03416314589241764,0.2047380763773607,0.058471876001038404,0.23807572441969965,0.1624642620952105,0.35912038533036267,-0.18312922945701282,-0.130109374879106,0.06702629031061512,-0.051536603659972764,0.2588267259905924,0.12154086540178959,0.1392371652073869,-0.189292259663633,-0.1799513811126695,0.027841362797760633,0.007291075231799791,-0.003335116437054115,0.0401108633397285,0.34517265744369574,-0.013853209942403714,-0.0842268456450923,0.048626414059013426,0.1639823041070669,-0.09701595862714293,0.2909382750572239,0.1958769900060392,0.47177786694265417,0.34983899585276174,-0.033814594612176806,0.3282594045619186,0.5026236201043304,0.23297250557119326,0.017957834667137393,-0.05637934607699681
Occipital_Inf_R,-0.000831056022914022,1.0,-0.21388839591175435,0.3991364931657171,0.07290657239018881,-0.46378369931113156,0.20793434611843026,-0.26290008781005053,-0.0714418536728478,-0.016733558556032743,-0.3574108766943502,-0.25469450649724323,-0.485058528624331,-0.22745663204566238,-0.09642879442211107,0.015887324749568263,-0.2160209146526191,0.21105398254189334,-0.4822049460975534,0.7293678797419516,0.13409347023710017,0.5115813874676195,-0.028766384138154848,-0.25372589490312064,-0.110153155133728,0.19103209207002933,0.9258453524133803,-0.12856038355820548,-0.30748055170491895,-0.20940261970005747,0.24064369784581016,0.0672530106484949,-0.11362636171093635,-0.09088477081513344,-0.2704795322551991,-0.2633033382514536,0.03839397043555401,0.25805169199067307,-0.05645831146177127,-0.1472895904036912,-0.10419504960746599,-0.02209075978290707,-0.010879363841097793,-0.06437045619196874,-0.07145805877365394,-0.44685607782209935,-0.25486939269422254,-0.21956122671507172,0.4909857483495561,-0.2296296432014325,0.5803204483064184,-0.34846355563643866,-0.03563701976320705,-0.10986984936094804,-0.06474858855577038,-0.18986126126328898,0.04008105711176335,-0.11237608937542996,-0.09994143594190338,-0.17191807186514377,0.0679131872527442,-0.0908795276743262,0.014427950621300742,-0.03129452081894308,-0.07532240658405658,-0.0773249852621846,0.03716387459319669,0.056959458265551946,0.09803611720049023,-0.04664570297766021,0.40332242523931355,-0.13198728818533426,0.9307823711301467,0.8512647686361975,-0.4832978733223098,0.550328456513511,-0.17806408691670367,0.007420880318813767,-0.32150514119296625,0.2989960275084139,-0.0029987158261351636,-0.06348374615711494,-0.08798857170341583,0.5448522153001691,0.9050396262768288,-0.28843021002607994,-0.30910205868621893,-0.16918168751628307,-0.12079789777953562,-0.22701217448185115,0.07639429777088942,-0.10240865321002696,0.9150340260050761,0.9024741860769836,-0.18596919622128855,-0.13538396370721104,-0.1726719955967569,0.14095847186447444,-0.09566901934437687,0.3407695707283004,-0.005793274471897672,-0.23362479109181236,-0.038540651649037805,-0.2518734384692399,0.8926985794356836,0.14771328903008696,-0.1869034662073884,0.12963219290922806,0.0571043793953273,0.9190274115842499
SupraMarginal_R,0.09959043688402554,-0.21388839591175435,1.0,-0.137380614378724,-0.4820326574314448,0.01597967214305048,0.6312192794867402,0.364857370360032,-0.23916821473669236,0.08181658362693547,-0.26392465090051,-0.25023790820310043,-0.13260071558016573,0.12832411840361557,-0.4641728964223212,0.09354559770094047,0.07484740734609518,-0.18129744541453688,-0.10211317972355967,-0.08958516136207151,-0.04074001483502967,-0.2843871115232742,0.3988438494823206,-0.1321372961712881,-0.15895730989728762,-0.025488236885174643,-0.14484385194493007,0.2949696742344275,-0.3096052357256849,-0.07094995823764741,0.11547510606119023,0.6260846777374245,-0.5923136965239497,0.09108047881214153,-0.010399077766809863,0.2756275814936654,0.10318468666910174,0.026102162394414284,-0.2203213873144834,0.5595193519740327,0.43835461461703307,-0.47094147674703646,0.17550165243257518,-0.7844632784194349,-0.11595078569417167,-0.012409559337979695,-0.08634785218473527,0.1595318460155779,0.06805082270397064,-0.203259920555393,0.454670066162106,0.2401204413653626,0.315468452243862,-0.5035596824263758,-0.40534810093805707,0.25573442000338226,-0.30286134538024156,0.5975009156038755,-0.4057140844645054,0.3414565651682251,-0.5234536324223474,0.12066313280987,0.03260826156986543,0.3904462168542214,-0.14291580178685964,0.7142881746277534,0.10390275858043167,0.7548830485746143,-0.5969673002307224,0.07836515922049316,-0.142329694178299,-0.2805591694233282,-0.2806658867098144,0.14285307423938562,0.053604162768206176,-0.04511318534859806,-0.220825573867377,0.01632929262466004,0.8269433896026763,-0.24843299632715374,0.02048161879230461,0.2629986004971416,-0.18633085734680227,-0.08534254636862228,-0.24798561752688011,-0.11851701067551547,0.17206877679752877,-0.641573387099567,0.014434685468362744,0.016479300680884035,0.14407263398727238,-0.6537276763859651,-0.23532853565516654,-0.05428753620503078,0.5126929958248538,-0.5478097193784106,-0.6303994925758608,-0.2881173488952444,-0.7359349579701604,0.720167640333909,-0.20264591549940694,0.3086208019231587,-0.1028544656380032,0.3154389689497206,-0.0772638248554459,-0.1246683704373374,-0.28339539044319634,0.16615828092518284,-0.5697312017034767,-0.12221542453696771
Fusiform_L,0.09066695775525935,0.3991364931657171,-0.137380614378724,1.0,0.3315402202752158,0.2222608648040513,0.2818884583176724,0.02026952046651987,0.36033630698886465,0.1347096862209762,0.2843367417805316,0.2845987732557336,-0.106962460489347,0.24773653618431965,-0.023236424543669608,0.2865458817538688,0.06666824915557039,0.2447257228255533,0.08854335495140755,0.28937103292509775,0.14293535477257135,0.13240944375308633,0.11086528154630342,0.35802277684888545,0.14989845185201311,0.4178688133628096,0.3253110565223859,-0.018950303151065013,0.04696017298867274,0.28488331304067166,0.07815294253965958,0.010646607243346307,0.41041963009211946,0.007792872264047114,0.5171590737302166,-0.01645200632209261,0.1050560534055646,0.1281664520565434,0.43997615070659674,0.2997989307590437,0.22294999596950432,0.07125744965298221,0.19275370911756284,0.016784466542932943,0.39551869816960444,0.14132942446089383,0.1285142053773673,0.23785011660864722,0.3273529545973267,0.2340439783559597,0.21810152783959544,0.04012068863284667,-0.07279473656036713,0.19041641937478043,0.3413892331307195,0.19911034858589488,0.29792119510322695,0.17830840573305173,0.20335620194586118,0.09120329293852165,0.3568895659424528,0.05135800191940814,0.28950148780040347,0.2851180948594173,-0.17450250017676117,0.035201194709032296,0.4803726113885493,0.015370717096415173,0.31239149677614053,0.23615304663122305,0.05490018590304169,0.32411181172153014,0.3514470167431059,0.2997962377405234,0.09810925566141415,0.46903042074248547,0.12624054389461076,0.087317559600783,0.07336416723156564,0.26061232903808945,0.33674087767614364,-0.002486605040100535,0.231253041667486,0.20748522203104025,0.357759495999224,0.038860186969679016,0.16968327816807893,0.0912385665675303,0.15803316765401038,0.24098660163214827,0.2800674603236277,0.1499275909989515,0.4065166537344058,0.38309136727014,0.2670793219603367,0.06518241476004433,0.28259848438667956,0.05974846346079935,0.22713228360314697,0.15732957996619815,0.10142486314964975,0.4126265951135857,-0.18614061774373802,0.14240129676598434,0.3454338574925582,0.4433601115952346,0.30569271138425413,0.5173924572805856,0.35850982636745754,0.31467881968849326
Insula_L,0.25135403283244595,0.07290657239018881,-0.4820326574314448,0.3315402202752158,1.0,0.6277936960132848,-0.008500959735737603,0.16557190356559284,0.6258239835448277,0.2506241630817195,0.5314636176816087,0.7640567418121829,0.30792638248241944,0.5752268164531307,0.7459373531283215,0.38579552980832754,0.5211118010280114,0.36217436336614434,0.6419172483818372,0.20395412102439847,0.4081728217902077,0.5636225827897351,-0.06701526692865267,0.5275690619362761,0.6566870531467803,0.7323868971042998,-0.024589798869883786,0.2934000701323174,0.7254574909963247,0.2866350428413982,0.23397156546228642,-0.2365447062823906,0.8269775810945806,0.07979602992885881,0.4189912161276434,0.1338897484726404,0.28929277643635387,0.4330950397749842,0.6651972104412658,0.1712034160542882,0.12745240018636073,0.7619797039500729,-0.22697812576116028,0.5008402932102965,0.6946328084487418,0.6912898406945749,0.5205061985691698,0.5977353162877557,0.1906742785424398,0.7847958677050553,-0.06603042095520074,0.34798853946973135,0.2827836267950836,0.6299803698670131,0.2836439587782352,0.21044763721742404,-0.040467367278924936,-0.05175502337429198,0.6561138797241328,0.2039163083185349,0.8414503440419271,0.009454945321806366,0.508852426621183,0.363110924954278,0.6117416932859363,-0.5302247856575716,0.22833303207852862,-0.6162346642881846,0.8293833433075108,0.6240422591707875,0.1849127356796021,0.7586970827358248,0.07726666195864904,-0.08902726696712623,0.5271185538193184,0.021310913593177466,0.607518484841797,0.34023892370389264,-0.214478993962859,0.7519787939383462,0.6445199539961692,-0.4066600525668255,0.13028852904841567,0.33750281566888685,0.09482769758046522,0.7248508435950777,0.307660203205885,0.5822615555474516,0.18391250460514,0.4576861169166873,0.4763052238784546,0.5700501183155134,0.07369144732270826,0.10020117662282503,0.22726341565958638,0.5727312821069285,0.5963064046242486,0.2199211667911454,0.5640340033832615,-0.41780047676932874,-0.01812677796282398,0.029781606187771092,0.35978110993232515,0.36508200287411785,-0.049387586392501286,0.7302880057269865,0.7755679545147298,0.3883622052049611,0.5887032482581429,0.0033803656159295805
Frontal_Mid_2_R,0.38855611600622497,-0.46378369931113156,0.01597967214305048,0.2222608648040513,0.6277936960132848,1.0,0.20959898988610423,0.4111859043159414,0.6059172508193514,0.1904276275791943,0.7691690898592282,0.8469386416792637,0.47035469747628805,0.6589050710720298,0.453142439703347,0.3463308910831506,0.5486217911848776,0.20998016151849452,0.848329018967659,-0.2486060509271056,0.3479837873978815,0.0076934474688288386,0.14873715455350794,0.7693381600898861,0.5870224476351812,0.628532501494967,-0.5234852227969754,0.31993745344351743,0.6714485865444081,0.46673628232098435,0.051945487614049546,0.06051684725356579,0.6888726224775131,0.14552787611751014,0.688137483480698,0.4939762081945813,0.11988399021778867,0.2711378887205921,0.6207122268543158,0.4466224227567172,0.39610977987399515,0.41043275128940987,-0.13249046216793506,0.22757999839052134,0.6653825434508115,0.920099500407348,0.6643651134910974,0.845195005015269,0.05201941706032124,0.8688998569613963,-0.23783302246295926,0.6591659706183084,0.2685371662321237,0.4191731067550261,0.24181363726091304,0.5242710143216915,-0.05313897676420619,0.1986460306406792,0.5345565374920387,0.3310830903504134,0.5169187192876101,0.13113674942332715,0.45871148456181066,0.6123644929485804,0.33167945063321713,-0.06436555728062703,0.3381437648822022,-0.3052258048916404,0.5245950574582345,0.6229926416977064,-0.06735243029536322,0.8239207803935027,-0.47951506287873663,-0.4656759441290716,0.8917289282728199,-0.1194862732071025,0.5996438545369273,0.3710573844510977,0.4156355803763396,0.40689905772896134,0.6011065999894933,-0.18108597386679073,0.06883878727724983,-0.07015591660534852,-0.48768511234419387,0.6468237064336677,0.49628220292017594,0.3836990594228415,0.14457285881488982,0.5079774750504983,0.4629776416575639,0.3670481009860807,-0.45943134385516393,-0.3772678462557183,0.6636138195466622,0.29906278408396336,0.3876346197523812,-0.028205283005134682,0.311556452784378,-0.25687182739687003,0.09466839075137737,0.48395319696957434,0.274943131173035,0.6345797294147993,-0.5153903905287346,0.6690206866256941,0.830290018544055,0.44614622782068103,0.36810977707525433,-0.5342039787327739
Postcentral_L,0.1811305463797203,0.20793434611843026,0.6312192794867402,0.2818884583176724,-0.008500959735737603,0.20959898988610423,1.0,0.3650138093002015,0.07876836881668778,0.1826409939901524,-0.20643663707741497,0.012024523265745686,-0.22408162338638898,0.3779857296999508,-0.16494994275945135,0.4054366485226322,0.14922883872964612,0.29089633469239473,0.05137392595069122,0.2655622517961976,0.38575647707575805,0.16223368507074415,0.29914333274415555,0.1655265346729221,0.17681563311274326,0.49921611927854853,0.2193937887144204,0.22679363416344558,-0.14550465319863326,0.03015497307683964,0.2308410169607755,0.7237000507131348,-0.2149459736233427,0.18025398186053254,0.23013285526118032,0.24293836820066725,0.29050485008050647,0.40051094841525225,0.15938751892387581,0.654561773631369,0.595264502985177,-0.27521187190148066,-0.022121534350750857,-0.5711987027138975,0.24157581658270064,0.1446395773104864,0.19568135911845966,0.4255998787851031,0.350784549536229,0.04978110315419463,0.7567369683076373,0.43113654009403085,0.3868176710135692,-0.3407795283892002,-0.2771611081695551,0.45742428865980744,-0.2342064950902885,0.5052320582260252,-0.2302264597840199,0.4278774297186928,-0.11220623358676975,0.025590334998920806,0.45283704488845616,0.7316518811314225,-0.032380649606875124,0.6598662017748264,0.3222648982516044,0.5047241645418908,-0.128323671750624,0.4924584053858057,0.19459892830543002,0.10928630359389328,0.14478779018287252,0.45758450600541106,0.1433858768741927,0.29162376573436605,0.05320158010586715,0.2783067113559571,0.7376297016214917,0.3143171519525736,0.38229026735048593,0.06055367388883969,-0.19231299504262864,0.26460140069870186,0.1699267681042647,-0.0009414638399517348,0.27951769927185904,-0.5268140730855856,0.04503300698695425,0.23532098118738629,0.49852782471726176,-0.36990245390914006,0.1937074277956271,0.370497393314699,0.7291435070319341,-0.5068833602232771,-0.4502956323117826,-0.16830494549877428,-0.5973249206109484,0.7691102758303205,-0.16527451268027687,0.43794972505979457,0.006455435642240123,0.43081058315056187,0.27793790589021977,0.4286477832879896,0.01844945873212105,0.5617837651081861,-0.18585458471997335,0.25280600146881077
Thal_PuI_R,0.16569272701462054,-0.26290008781005053,0.364857370360032,0.02026952046651987,0.16557190356559284,0.4111859043159414,0.3650138093002015,1.0,0.48702570960077574,0.14844716767305888,0.26108153235945813,0.35798584081820617,0.4771363905648587,0.37901359170854226,0.2826214607875199,0.09368585713071988,0.4732669649892314,-0.09563020240147645,0.35140389239992664,-0.06740154253981494,0.21709932460568834,0.01906047686626477,0.28019529772590435,0.49273888808258043,0.5458074120160374,0.3515893659106724,-0.23931928931165888,0.2645197669732929,0.3472937058848919,0.37967948078340585,0.00460667198471255,0.3374702289695055,0.024035762209045013,-0.10679884597384812,0.4684215790382667,0.2430992296340423,0.27339257373011316,0.1840699913558172,0.31082372310755957,0.33224405859069894,0.4465357188140673,0.1468456671923787,0.13884379625182436,-0.045040011665679634,0.4566348886830874,0.43723375288279237,0.4613456622282839,0.39905876696729453,-0.01178132773357837,0.21983303505029891,-0.053346509839657164,0.5089183838388153,0.3952658390617427,0.21841916795014543,0.16954144524914816,0.36226607046557424,-0.0840465596034066,0.2160983145496855,0.20440552552649108,0.11355462237222551,-0.04262319545104679,-0.21301058340778473,0.28045666152346954,0.49576723383593363,0.28299717278262865,0.2912808467283201,0.5126627074083702,0.035591878122235764,0.12823710875498984,0.4183476717694291,0.02958879932839366,0.20466335466871177,-0.3064028767918022,-0.13780500066786647,0.4006121943459903,-0.20244741256570983,0.4840521965272525,0.2300662243696989,0.5286514297419209,0.2679783414547076,0.4241661305950994,-0.021953036891707155,0.3150537398090713,0.21240006746263576,-0.29053322706530693,0.2945943291027082,0.5951330840440113,0.015361330865213832,0.010199630967465444,0.32832000530301064,0.2698401886267547,0.13313728558774854,-0.26141361398239416,-0.2560412686424472,0.6377014923748804,0.10996221332846723,0.12577630276555482,-0.060551055103258034,-0.0834643867735758,0.19297096508312808,0.0025040327279129623,0.3583919594414802,0.017938654259047514,0.5536013910773335,-0.285163670576452,0.2827117327339961,0.1739349944220238,0.15871509556537167,0.28767672028202357,-0.2885285613664146
Cerebellum_8_L,0.36729593230569973,-0.0714418536728478,-0.23916821473669236,0.36033630698886465,0.6258239835448277,0.6059172508193514,0.07876836881668778,0.48702570960077574,1.0,0.2660880902878076,0.5998163434016116,0.6959641004455495,0.6169260228915797,0.32305527229311226,0.6165232379031804,0.1722346683168864,0.4968892887079776,0.08941269066649418,0.5881096271012062,0.010918363297535344,0.3646018221549118,0.31103759109505835,0.11294996907242373,0.6622943651374539,0.6636415946251569,0.5249361899461263,-0.14673482868983675,0.2548526569827466,0.6626668537758141,0.43798869299964716,0.0771437411963791,-0.19205387095284662,0.5951012025328334,-0.11368715755763102,0.609102811031837,0.23881259458726437,0.22300390559186825,0.3200236641401433,0.480633220983684,0.12728476765137836,0.16643436853805194,0.5023328464303192,-0.13767363898346116,0.49619278521645427,0.5895772928831331,0.5761217464006394,0.6061603639561295,0.5118470645264313,0.06960291860035518,0.6127415537713415,-0.20571619958263804,0.3257277933826253,0.2805755041654714,0.6336525392785209,0.46169589119281956,0.3606221311904649,-0.006185836469507169,0.023781368541635175,0.5980006797571931,0.18030368507825464,0.513423520644667,-0.0547773076236378,0.25816281129047036,0.4038021938714855,0.4480381098404239,-0.22701287350431057,0.5071797457823249,-0.37649864493701657,0.6837534261146667,0.4054485555956005,0.17612422151185647,0.6391781721019691,-0.10405318154355814,-0.19626694557473015,0.5267736204473858,0.004931889749149245,0.6979346462572456,0.4217939094369561,0.06066269622706452,0.5341395051835278,0.549945233058829,-0.09855360347303978,0.20507083448438657,0.33528396662105386,-0.1359567967160494,0.5634560257212968,0.5853898700795401,0.5422896456065245,0.050561249239120434,0.21414699397205128,0.22089052102157658,0.6181973566042768,-0.07148728633571655,-0.09887659351659742,0.4365172319445068,0.529403151397352,0.561637923038411,0.16974911737526152,0.4845837556549201,-0.275580543257373,0.31285944871558274,0.4642647182442036,0.2759796068393933,0.367765530014426,-0.22060623871690369,0.5316556387153077,0.5990862196135655,0.28604488454095944,0.63383471121745,-0.1997056399023587
Vermis_4_5,-0.01761845895120851,-0.016733558556032743,0.08181658362693547,0.1347096862209762,0.2506241630817195,0.1904276275791943,0.1826409939901524,0.14844716767305888,0.2660880902878076,1.0,-0.07756966874012317,0.07437479329371273,0.3835056313452605,0.30780267219370444,0.3128117380789173,0.25288783454123337,0.3892992593142576,0.23006457698140353,0.22864080297605324,-0.0420284829059592,-0.09363709531344214,0.43560109031671584,0.28739165816893125,0.06641433047532301,0.31330528589967765,0.14070408702277062,-0.12607249580978536,0.48135469679625625,0.27350054790599665,0.05056263493285502,0.04623000469737189,-0.21276555625207902,0.07628240227318904,-0.16600528666837064,0.34999395997983374,0.04108025847246595,0.2594109330640218,0.4113420930330332,0.09671877202234162,0.3576592650225307,-0.10611353529498468,0.1208181637130788,-0.07574301881969756,0.002368772017456267,0.05614014558130107,0.24295575434412997,0.07121254565943713,0.1142885759856888,0.22634229352002477,0.2300120252590329,0.23765096506657357,-0.09997529551833381,0.6476827098980621,0.055382497895627804,-0.08684383431986033,0.020741775565898235,-0.23068318000133306,0.5477172930177334,-0.155231175614627,0.4797098954893863,0.11599680414342409,0.10135456710409484,-0.006661949717241594,0.1851753784890364,0.4750661608786726,0.029643093286065517,0.3340602661816474,-0.02676102093494962,0.11942182328147664,0.17865266007902347,-0.04669788577059405,0.09722636832080447,-0.08437128223462718,0.0017291130859712059,0.018294288234930383,-0.11446720330702304,0.18466510161240893,0.27755659093394097,0.03691445865076212,0.14052757223461398,0.3627077398411305,-0.14237530862259018,-0.1396935782644423,0.5361258123548215,-0.14073323588622305,0.4492363589165382,0.39757972872709874,-0.07175342175960854,0.2583691071259332,0.17035540647320224,0.20912489320504848,0.09906593573175859,-0.09970368416508699,0.1137928130537897,0.19345363352553172,0.18328739992486412,0.16804983474320417,0.18238014732934846,0.06582919166248355,0.06680930573124495,-0.030835549461861986,0.22340570098187063,0.03001748458978674,0.07397101665090852,-0.14386502087474973,0.07140641299245243,0.15636360765436694,0.25385985698854396,-0.10263622665486238,-0.08195235583969747
