,Temporal_Pole_Sup_R,Thal_MGN_L,Insula_L,OFCpost_R,Cerebellum_4_5_L,ACC_sub_L,Cerebellum_Crus1_R,Lingual_L,Thal_LGN_R,Cerebellum_Crus2_R,Thal_IL_R,ParaHippocampal_L,OFCant_L,Thal_MDl_R,Temporal_Sup_R,Olfactory_R,Frontal_Sup_2_L,OFClat_L,Lingual_R,Raphe_D,Thal_MDm_R,Thal_VA_L,Temporal_Sup_L,Cerebellum_10_R,Frontal_Inf_Tri_L,Occipital_Mid_R,Calcarine_L,Caudate_R,Vermis_3,SN_pr_L,Thal_MDl_L,Frontal_Inf_Orb_2_L,Temporal_Inf_L,Putamen_R,Thal_VL_L,Cuneus_R,Frontal_Sup_Medial_R,Cerebellum_Crus2_L,OFCmed_L,Cerebellum_9_L,Thal_PuA_R,Angular_L,Precuneus_L,Precuneus_R,Putamen_L,Frontal_Mid_2_L,Temporal_Pole_Sup_L,Frontal_Mid_2_R,Cingulate_Mid_R,Cerebellum_6_L
Temporal_Pole_Sup_R,1.0,0.3359120251731449,0.7248508435950777,0.6927288261810932,0.4353967138485984,-0.03817395468739117,-0.32636168553258843,0.2039823530147882,0.4612157915624953,0.14962178929708972,0.15676174597573184,0.3495663538301475,0.2588267259905924,0.31622074875592465,0.5702244966250961,0.3854404621250457,0.54443568905132,0.4744640170873201,0.42573367071349655,-0.3109966986236062,0.12859259580195254,0.2683281535041878,0.5608005084667876,0.3171671929009836,0.37853520385307793,-0.3324881202156433,0.25516021333709266,0.5668468094673489,0.3303433543239426,0.5110544231722893,0.24057560335484893,0.5283786688688618,0.14490552001997115,0.5986451403486927,0.44399115719178833,-0.19103904807895783,0.6502053935812406,0.3364122630494665,0.4205840812076782,0.782814290582149,0.4417473475373155,-0.11633018840434217,-0.3839077966372724,-0.1227208732717568,0.40588631796274627,0.4661434788749032,0.7666740276847922,0.6468237064336677,0.4953715037099389,0.3505645725911592
Thal_MGN_L,0.3359120251731449,1.0,0.5322416731309529,0.3655118911982522,0.34707231843103126,0.13590492440219315,0.20210122521213228,0.3303686660731497,0.23569847964224092,0.15386128358516246,0.4446803441640878,0.3321187820758262,0.304357314243312,0.29526748388713914,0.12845098495861915,0.19733300286610445,0.620121964072098,0.41680655775930614,0.2179858645873149,-0.08862379890144191,0.4054209555311952,0.309297373289429,0.5088475750797564,0.10538694892125257,0.6176323434551547,0.22406102621728935,0.3358520527054818,0.4890359301135084,-0.04789582845314006,0.495440776780285,0.4618094729567522,0.3935696942684101,0.30515481851734105,0.4945008900657906,0.5756202568904057,0.21856373800569223,0.40325292387074485,0.24439451994428904,0.12461136213337876,0.2677148372569148,0.48645595131165026,0.21962249489942307,0.11496442844676746,0.18201292138234346,0.5543955862795255,0.5941765951439228,0.33454445707348984,0.4532070780978975,0.5280214280130836,0.4080209611322948
Insula_L,0.7248508435950777,0.5322416731309529,1.0,0.5211118010280114,0.24062509717592923,0.07497828567095523,0.021310913593177466,0.33750281566888685,0.4384072952513538,0.2199211667911454,0.31045078244434043,0.435507990067238,0.25135403283244595,0.1338897484726404,0.30792638248241944,0.5963064046242486,0.752411800100735,0.6561138797241328,0.2846290576145712,-0.040467367278924936,0.12745240018636073,0.4130039415839771,0.7917882401815848,0.5008402932102965,0.7302880057269865,0.10095987303512917,0.19518304450062435,0.8037252832507313,-0.05175502337429198,0.6054706056601489,0.4081728217902077,0.8414503440419271,0.45448413343879607,0.7640567418121829,0.6240422591707875,0.10020117662282503,0.779606241249986,0.23397156546228642,0.5640340033832615,0.6117416932859363,0.36508200287411785,-0.06603042095520074,-0.41780047676932874,-0.25489291476012627,0.6946328084487418,0.7268603037524682,0.7619797039500729,0.6277936960132848,0.4698827873498923,0.3883622052049611
OFCpost_R,0.6927288261810932,0.3655118911982522,0.5211118010280114,1.0,0.3994090241668993,-0.3116172379383317,-0.25119487540104907,0.29545024806871395,0.5015457162730073,0.12909099895570122,0.32726897137953775,0.5180755025303044,0.5138293448734607,0.19322928310699364,0.3594471049403955,0.27482660892912275,0.47839341060721746,0.4032345919396018,0.39553817450538126,-0.30724782639503834,0.05572868444349606,-0.1486299101659897,0.3810429236336472,0.04578478365676472,0.2605771897817766,-0.22989443145487082,0.13962358211872983,0.4174696829567926,0.30892015820228746,0.4289862753092528,-0.02557736716205781,0.25540396646226177,-0.07964324990348239,0.4184181571177001,0.24309559525528382,-0.15224031110368566,0.44164313092235097,0.22745878023203148,0.2616508210711988,0.5467672860850273,0.501350913516631,-0.003723475276643576,-0.19008312476312572,0.08040722002185748,0.3326071970222977,0.36854565728247085,0.5289027464397583,0.5486217911848776,0.47738101702570024,0.2942384430005141
Cerebellum_4_5_L,0.4353967138485984,0.34707231843103126,0.24062509717592923,0.3994090241668993,1.0,0.05039885292893681,0.06133561797312235,0.06351329536510443,0.1540063911583917,-0.1758155120942719,0.3476786775649544,0.13587578305431877,0.19997530935621946,0.38677478710002633,0.15925976384158347,-0.12677334979718044,0.39484491106293174,0.1425622223303944,0.31345567298901933,-0.33728249968860424,0.5062765118506736,0.30995638219691085,0.06738197461375359,-0.3594897173020527,0.37626181864780267,-0.17746935307120437,0.4658255986647504,0.17164214924243174,0.7409737626577121,0.3918278241387708,0.3047079812149302,0.15753308154278037,0.21010814255097254,0.294574582231046,0.47910068384072224,-0.01715734411187577,0.2925946591467207,0.29443285966779786,-0.22479694587200383,0.21385659070811747,0.5203492315707033,0.36993734933690614,0.3916395645145078,0.577280422457603,0.34420278047723024,0.385297945233196,0.17721487599923766,0.5559175007524564,0.6199555978649015,0.7918538697213116
ACC_sub_L,-0.03817395468739117,0.13590492440219315,0.07497828567095523,-0.3116172379383317,0.05039885292893681,1.0,0.09045000342801522,-0.2143775529818869,-0.36867066518155434,-0.20198061095345016,-0.13824241120707734,0.04471677340337815,0.14313485541621143,0.3507079178157304,0.07360172964454086,-0.09243835664322106,0.2570729825383493,0.26184748569479976,-0.4432277411840575,0.1741520517768072,0.27753855371003144,0.4057158858786248,0.09661982838624804,0.3293229709186048,0.3195214321058054,-0.07460472880778161,-0.1584889918855538,0.3219573234547916,-0.29464639003774923,0.037577775993795644,0.546944816126444,0.22187717070624083,0.3281999214926153,0.297176855426503,0.16307352501305594,-0.12929704957615074,0.34861732230259157,0.04493273146969826,0.149405367808503,-0.17973701171368897,0.03257647184466504,-0.15965159516278027,-0.19665630409200532,-0.15971841803747797,0.10171971001200421,0.3049242883285364,0.07320999306761515,0.255681370811547,0.2611957635339083,0.12130952013947299
Cerebellum_Crus1_R,-0.32636168553258843,0.20210122521213228,0.021310913593177466,-0.25119487540104907,0.06133561797312235,0.09045000342801522,1.0,0.21080387070702947,-0.15914445617584724,0.005835579252305341,0.26880531299415406,0.012028409626829578,-0.03416314589241764,-0.10900626050487137,-0.4218514593891238,-0.03160594909174804,0.15476345391085133,-0.03635571841267094,-0.127145235707178,0.10892180265610338,0.011851018907157354,0.07588908171728151,-0.01421279369798782,-0.11903300328264901,0.19419600603872278,0.6100380507109011,0.1601580583762341,-0.034508286814994286,-0.05480129113078845,0.057160396429558065,0.04554205779627401,0.08414859721666243,0.1615795486228241,-0.05443175382892373,0.048957921976702526,0.5586578678286379,-0.07141520589788136,-0.04294363883093266,-0.1339832322330481,-0.3416405405878797,-0.0905962344408437,0.38799720411870653,0.3600470083112839,0.2793838775823697,0.053303661396934876,0.14484760464186255,-0.19395928883860764,-0.1194862732071025,-0.0836811239267659,0.2795977690787282
Lingual_L,0.2039823530147882,0.3303686660731497,0.33750281566888685,0.29545024806871395,0.06351329536510443,-0.2143775529818869,0.21080387070702947,1.0,0.30745380086866053,0.2322273187040707,0.09663925610035846,0.3824937690023047,0.06702629031061512,-0.15488912634071528,0.14580509534343858,0.06964740465791698,0.2088546238932426,0.002890890103784067,0.6745705937630463,-0.13320590033678378,-0.11923264994441836,0.10246613178824446,0.5534199956631468,0.1347478112843304,0.26067837084418366,0.5025550202312244,0.6166861175233223,0.048346462356531825,0.13131990735438837,0.37361811857060756,0.15382937945053687,0.11677650257876154,0.1556556710564377,0.034735254082781136,0.22448417776493948,0.5941342749202011,0.03189485253601791,0.18972940171903116,0.02775222658374571,0.41417001970721773,-0.004623608142984431,0.44072592750942813,0.22366132670204336,0.21325852847839227,0.1278047427251513,0.21624960785921435,0.21079041386985248,-0.07015591660534852,0.10590821251614528,0.1465327341514195
Thal_LGN_R,0.4612157915624953,0.23569847964224092,0.4384072952513538,0.5015457162730073,0.1540063911583917,-0.36867066518155434,-0.15914445617584724,0.30745380086866053,1.0,0.22719220273255872,0.3249562757054012,0.33544326405958724,-0.02402575645207573,-0.11929525085996728,0.45662051304418944,0.5331069825388113,0.3326493188511549,0.16004351415999468,0.4854371336003851,0.08862777572641972,-0.010642657209451118,-0.07030371682044613,0.2965634139995094,0.22761601415752783,0.2286444562186151,-0.21927049602658757,0.005252564496634023,0.3720195709084053,0.09582118003180995,0.42286941874781714,-0.13921229155828885,0.18321351572350209,-0.05116098139412542,0.42037470374155117,0.3894920992292192,-0.16785571576362174,0.27774515203672356,-0.06217446630613866,0.22508719336767738,0.354131348345086,0.39826655104097825,-0.21142661616900377,-0.14852017272450405,-0.051832195713495954,0.463975767785199,0.22131066648918385,0.24006081555793746,0.42225952279386186,0.3027582969602954,0.14019451721109288
Cerebellum_Crus2_R,0.14962178929708972,0.15386128358516246,0.2199211667911454,0.12909099895570122,-0.1758155120942719,-0.20198061095345016,0.005835579252305341,0.2322273187040707,0.22719220273255872,1.0,-0.008925610395223863,0.11269651893537337,0.048626414059013426,-0.27793142327457065,0.1881231276379847,0.2614917751380687,0.1262918374191244,0.0886805347752731,0.2439086976043728,0.010859934010860392,-0.17195562282390275,-0.055257244075268636,0.2011100360026831,0.2510560075906673,0.028606700695757832,0.178196511691871,0.06263177827044872,0.1463691443328735,-0.10536125098374283,0.12840720707670678,-0.12491569459548149,0.10397528405355339,0.05278815911131259,0.10098663535174265,-0.02469378668556714,0.1264320170426957,0.09701989468812365,-0.11989720412291432,0.21882839410258095,0.23377598655873574,0.008552124139933295,-0.05684851650370796,-0.166816793950981,-0.19363457276945695,0.08846832790949716,0.09571649331655246,0.18136014832604974,-0.028205283005134682,-0.10994485627591898,-0.13900206827561323
