,Occipital_Sup_R,Cingulate_Mid_R,Temporal_Pole_Mid_L,Vermis_10,Cerebellum_7b_R,Temporal_Pole_Mid_R,Olfactory_L,Rolandic_Oper_L,Cingulate_Mid_L,Temporal_Mid_R,Fusiform_L,Supp_Motor_Area_L,Thal_MGN_R,Cuneus_R,Temporal_Mid_L,Frontal_Sup_2_L,Amygdala_L,Parietal_Inf_L,ACC_pre_L,Thal_PuI_R,SupraMarginal_R,Thal_PuL_R,Cingulate_Post_R,SN_pr_L,Vermis_1_2,Thal_LGN_L,Precuneus_R,Cerebellum_3_L,Occipital_Sup_L,Supp_Motor_Area_R,OFCant_R,Raphe_D,Frontal_Inf_Oper_L,OFCmed_L,Thal_PuL_L,VTA_L,Thal_AV_L,Putamen_L,Cerebellum_10_R,SN_pr_R,Thal_IL_R,N_Acc_R,SupraMarginal_L,Rectus_R,Cerebellum_Crus2_L,Frontal_Sup_2_R,Temporal_Inf_R,Thal_VL_R,LC_R,Lingual_L,Thal_LGN_R,Heschl_R,Putamen_R,Cerebellum_Crus1_L,Pallidum_R,Parietal_Sup_R,ACC_sub_L,Pallidum_L,Olfactory_R,OFCmed_R,Heschl_L,Calcarine_R,LC_L,Frontal_Inf_Orb_2_L,Cerebellum_6_L,Frontal_Mid_2_L,Frontal_Mid_2_R,OFClat_L,Thal_PuA_R,Cingulate_Post_L,Cerebellum_4_5_L,Occipital_Inf_L,Parietal_Sup_L,Insula_R,Precentral_L,Vermis_9,Thal_LP_L,Red_N_L,Frontal_Med_Orb_L,Thal_VPL_L,Cerebellum_Crus1_R,Occipital_Mid_L,Cerebellum_9_L,Thal_AV_R,ACC_sub_R,Insula_L,Thal_MDm_L,Vermis_6,SN_pc_R,Cerebellum_Crus2_R,Vermis_4_5,Thal_VA_L,ACC_sup_R,Cerebellum_9_R,Caudate_R,Rolandic_Oper_R,OFCant_L,Thal_MDm_R,N_Acc_L,Thal_MDl_L,Vermis_8,Temporal_Inf_L,Frontal_Inf_Tri_L,Cerebellum_6_R,Red_N_R
Occipital_Sup_R,1.0,0.5500415771310525,0.003194382513808235,0.15467543787338903,0.18162442817620095,0.18216520143986484,0.18344459967466384,0.41473449272773877,0.6352007691836142,0.7428941385934056,0.38397620550852546,0.5265907232522007,0.10114905767236984,0.834382370805789,0.4469005608396828,0.4924995271094749,0.10623614421418619,0.7379008451904728,-0.024315673563822485,0.4968483939609157,0.5648914103537452,0.2959765381468096,0.23898155423383055,0.03962056081419517,0.1604827126906184,0.6201246552389497,0.7903445911638225,0.22730644226222135,0.8431311110301405,0.6020690351765556,-0.12942936340798766,0.45318061631915385,0.45551652333937936,0.0891750439941612,0.41265033579897753,-0.2934108607431747,-0.30263233447694937,0.19037303113862095,0.4325031789178817,-0.06876663491011721,0.496444001431344,0.4196327855269345,0.5790175204887025,0.004090894743364673,0.4450535780586871,0.43627528850753466,0.3808508405301961,0.10765174134538143,0.3360253992803534,0.7359343927603906,0.27600286405495916,0.44241148925351403,-0.04418345246659699,0.5956581558524948,0.18685013853317045,0.7826045073460919,-0.19217124249573647,-0.07298394670768288,0.12049850018173484,-0.09280711438693252,0.11886987645464209,0.7771696365060945,0.3840065523920806,0.20430608872775177,0.5506939800380188,0.45237969650069454,0.5692860022232306,-0.18080790882654083,0.6015231483066633,0.1920460702217765,0.4462544354354083,0.5846296144488647,0.8399044228598456,0.42277781216009547,0.6162015402157389,0.32945068504707714,0.392862742763006,0.21120231632541958,-0.19406210721278225,0.4203729309762574,0.5243748592516446,0.8302156259129257,0.3018998423470177,0.015838138079211566,-0.16654093454311392,0.4647142589736667,0.11669049302043362,0.5723433731381786,-0.05830958285976821,0.2608126152251189,0.5814278408784469,0.042267611682265734,0.40549088690667795,0.4609743352643682,0.32478149925469496,0.4245784663709551,-0.07349351889749957,0.0636550042216929,0.3587325994697366,-0.20410356869547733,0.6138117879098282,0.14686843704990535,0.5002691309657725,0.5914756020960803,0.151047119181348
Cingulate_Mid_R,0.5500415771310525,1.0,0.3855997222119917,0.6387585702517986,0.16689039708325423,0.20823237179935117,0.3001904979556748,0.6757265851413368,0.8929112579129385,0.5876004570988503,0.5143448024178484,0.8018682820170218,0.3256665520167482,0.4040479198560921,0.6325399363765822,0.7835679405976583,0.17384232633219981,0.8193636256587513,0.41082143688194733,0.42921560615619286,0.7786767502931677,0.6039220198132792,0.6422302212044715,0.037092951178313266,0.40176696728374567,0.5815488024194779,0.7384981602422763,0.6116643151575212,0.4966438153804331,0.8831016665520642,0.31469112351261264,0.42029130818679855,0.742483384185887,0.1472722637351477,0.7143081585356045,0.04191142695902236,0.19693993315630393,0.46613054431837764,0.6611144217384242,0.15943738538966315,0.40087991702590203,0.22251567897127392,0.847011264273599,0.2134041523918368,0.12947731537706023,0.7929574214138092,0.28411849463823824,0.6358807475412025,0.22259355446645493,0.612316886835931,0.3556821866361264,0.7253966032101716,0.5491007510495945,0.4422736212558534,0.46883285919317935,0.564943562385869,0.20883721485352735,0.3497601464637381,0.3576023883544233,0.35737182804210177,0.4874006977975925,0.4703263042149067,0.28879146138227785,0.4487297350466814,0.6802890437809388,0.7336569373684766,0.7671597400353544,0.3272857774286116,0.44083211918736875,0.410619830138554,0.7310573187802418,0.1306411644253836,0.656076473369295,0.6344342301001614,0.8575121916334735,0.6974229713715158,0.6674739028843923,0.46612288041928196,0.13484868174200917,0.756133398134992,0.31604628694293785,0.4249552260676535,0.721587893287427,0.136150216720463,0.2425248088894653,0.6234308374619064,0.49423226753670235,0.41600123670278094,0.2322661630455826,0.3170978094797839,0.7667558479775736,0.42503022299381443,0.7743234179767131,0.6896281649953626,0.6754087897094667,0.7192694362148352,0.0830440428928061,0.39331869612245934,0.2563108703052152,0.36064485361418136,0.3417831156766371,0.47666709369888177,0.7780473751704062,0.5002805879431892,0.5280227657472134
Temporal_Pole_Mid_L,0.003194382513808235,0.3855997222119917,1.0,0.5301711238770522,0.09654518787618152,0.30521865236150936,0.3930527197630356,0.3313533707825108,0.14789911640533038,0.13667722685417932,0.4089880809869822,0.5457344193896717,0.39279938674404785,-0.11476532433408111,0.3948212457555646,0.5930723407870757,0.46193773411167416,0.3629409675099379,0.7874393941356874,0.03493013641659326,0.24310796482981434,0.5466539544303738,0.4376123246344195,0.09392046348978138,0.2546131545806959,0.008395184251297035,0.2901801945181921,0.46760307249151184,-0.060566849813058724,0.4159589527304073,0.7579563643629802,-0.0700543261397047,0.3931969015940073,0.43482568596792354,0.5221202388540488,0.39282660256645896,0.7461136559340578,0.42749653098807927,0.2768185817056821,0.43481364479909607,-0.10824429545695793,-0.3528762271617333,0.4744378689954784,0.5920215311092489,-0.03409473219250537,0.6716508811369097,0.16593974513308685,0.786390994051207,-0.15467417603762162,0.2683194390612339,0.13171126312696926,0.43488855279253236,0.7899096235559436,0.14600913133343627,0.6663096480674642,0.11587516716561334,0.798346842521965,0.7767497987358174,0.49489374545619713,0.6680594884590704,0.41594566926728077,0.14881891948599774,-0.24382831386341886,0.591517960915095,0.5030190044633133,0.7140396682849073,0.5722969112567375,0.8266746312333855,-0.015625201620250696,0.27002100841029403,0.5113003132551192,-0.251590676884734,0.12429835036250649,0.3758316071278776,0.35130983587519515,0.5759311334978074,0.5482243044677454,0.38147879470691426,0.32850051277189923,0.5704790912986812,0.08345543934144271,-0.05380108766378242,0.5321933565176696,0.34594498844462684,0.7027795084773806,0.2541286852959453,0.6028160630474221,0.18253828166612768,0.4466113931011328,0.23436106639532975,0.47542937165982346,0.5946966783151099,0.6254461589857355,0.49049780102083784,0.7222526930249397,0.30220235467613127,0.40884896333687765,0.4487904085186521,-0.1765191881558045,0.7765274345506938,0.10738544395541988,0.4138558416073482,0.6350504077273834,0.25501042465278473,0.5616498245008925
Vermis_10,0.15467543787338903,0.6387585702517986,0.5301711238770522,1.0,0.02609655789204998,0.14641679135936217,0.2582528322039373,0.5541848152954697,0.5140664719774076,0.26547305897379886,0.5119785768167019,0.6401626149743742,0.39419801029687035,-0.020359155480070053,0.47253607684491866,0.654032971062984,0.17209809206452384,0.5342233286522421,0.5943979570188425,0.3248204871322694,0.5789040324317622,0.6367332069273935,0.6077251577983505,0.19339826087473913,0.48656373675994485,0.36747455809244006,0.47954649138643535,0.6107271403831986,0.09834094032336822,0.6188051063138093,0.6481707022858065,-0.005919927897187645,0.5584400862196199,0.13234406321767966,0.6837628354894546,0.029773821103596294,0.4599353414032787,0.5374938538365321,0.5210886331088019,0.07779615277320469,0.37551197754555343,0.1259267073218271,0.5840497071494938,0.45065678751410193,-0.18052322629512754,0.6657011328384927,0.14785399221446135,0.74018160617308,0.05093024501309393,0.3485387599615218,0.16912584944948159,0.6394017701113023,0.6992761689065582,0.1546857533656571,0.4977876413509357,0.29075986014933525,0.47682413940493984,0.4644800905643247,0.4231899122544103,0.4899448803518431,0.49746573560130825,0.0957781927138021,0.15373447963690945,0.4331906545525025,0.5646750058023399,0.685410716369623,0.597378097445699,0.624386162166593,0.2890836927129527,0.3535259243783997,0.7437716445429708,-0.252343414347739,0.31062779628075904,0.6316749904798624,0.6295742697100951,0.7447138487864363,0.6426053828399114,0.298914203137083,0.22934598628189978,0.743435059957744,0.07342939520908016,0.0004861295161703689,0.7908306556954039,0.07128948652146803,0.4976241105574361,0.5476279731068164,0.6122593307190014,0.18534380355706273,0.5130512157179365,0.21760507100489743,0.6160178564242361,0.5102091442350326,0.6739278320686066,0.6297018839797466,0.6773217746432675,0.5026805125961173,0.09291225551743036,0.3724389067645921,0.192438138632119,0.5125183412715918,-0.019259771496739634,0.5343235366240994,0.6341295615623006,0.2080038361448478,0.5254217105996909
Cerebellum_7b_R,0.18162442817620095,0.16689039708325423,0.09654518787618152,0.02609655789204998,1.0,0.31162379919084454,-0.11375241833870638,0.20163801217984814,0.22559455532443393,0.4190019484854881,0.15571032413054167,0.22344931578934712,0.1021727638002847,0.26409336982249976,0.37348964852134214,0.29481644238223004,0.24965505672752672,0.2505275337369772,-0.018216701010362966,0.33894749360391413,0.06334524615656541,0.13667153732442996,0.26080826299657844,-0.21803072393568232,0.14418385381727888,0.2544062124158097,0.11220986278260467,-0.023490715241707143,0.32812649912372244,0.21966272612922624,-0.04101851660392674,0.03935752352684937,0.2199434548614319,-0.1030433394929924,0.17525170634279308,-0.07022971639838893,0.06641588953229402,-0.07345234709147423,0.2462405377623339,-0.2749545118637503,0.25436764686294505,0.04163560795940641,0.30210377374519704,0.05879904325579115,0.5465627623379751,0.07326143599253608,0.4898858920590495,0.10893357970861033,0.36470544422475165,0.45166563967511975,0.09842716396125822,0.17528680658503287,-0.07543482589156347,0.515929955438079,-0.07872330521012753,-0.03984738245632935,0.03832704517952982,0.0989626141055579,-0.10465076803015257,0.07077234234334462,-0.04999967863278448,0.3811829762769245,0.133086369917296,-0.009068594493328192,0.3715321906622057,0.21936674855919555,0.079383190977495,-0.019907496874991385,0.23736747719710455,0.3961153737088672,0.14291505828460796,0.42295331564119976,0.1846090061629871,0.0523201495857491,0.3018177288190488,0.1033869362907997,0.11830447173622634,-0.052031728517772366,0.024966673594570308,0.18890251408970798,0.6334030185685929,0.3721523983766846,0.06110168840204751,-0.06832919077801437,0.03297901450865571,0.2374564406633089,0.1509052910116876,0.3822355461202976,-0.13655679383360284,0.7226411885174364,0.28410385826834544,0.20362942821018745,0.14443525925354403,0.45322307233565223,0.1452354038157796,0.18063906763531026,-0.05522050066027858,0.3877709431277682,-0.005221712439177826,0.1066131581956082,0.6070234037457917,-0.008941390958862691,0.18856365799514707,0.5492015857846674,0.028912850600274792
Temporal_Pole_Mid_R,0.18216520143986484,0.20823237179935117,0.30521865236150936,0.14641679135936217,0.31162379919084454,1.0,0.0822214420871947,0.28646532493771887,0.16812457470919598,0.41244303371628266,0.412867327346973,0.35821531870653517,0.09894891074528227,0.19584802054436945,0.1829167595818919,0.4200260122556996,0.5982621528042795,0.22188324178030483,0.3771093398213777,0.3434923153619083,0.20048742125643604,0.3699565831759936,0.21802938674020614,-0.1585694555990541,0.22047310051966135,0.02456789552289587,0.20289717818847197,0.20871819487966595,0.17543104310856192,0.2749763860521989,0.15350101115627376,0.354491957093571,0.17170782377417565,-0.049662396966969204,0.39344071697368876,0.2530253167966457,0.2797875559400071,-0.15180114805966383,0.0742111687738354,0.41049733995683846,-0.05482038473375919,-0.06364144138333139,0.24340652619900915,-0.010192012576157653,0.36141763894829154,0.39728005697006846,0.5073174104527368,0.30094192314474527,0.03012419849700139,0.2193857528084,0.4913775630049293,0.33804101516824947,0.19484024652424575,0.2824864940024109,0.2281636765222529,0.02413787595313355,0.3811735600652573,0.29448574049532966,0.3233481042429395,0.00039780602904056613,0.29255175079005824,0.219362395709801,-0.35582128085552434,0.27989546945064236,0.3862274904348041,0.39822786475740035,0.39060747903874615,0.03556422636252331,-0.06455054818329138,0.21978028537152014,0.2653263095250207,-0.007932723719086694,0.15495811952951005,0.14001418392542003,0.2305098981051974,0.2685547047014386,0.29693309226658715,0.03564902770157656,0.41464473382961814,0.2731585558803419,0.2981296750871817,0.18932092914110188,0.2715840243960377,0.42064034199580186,0.2501212785177096,0.256858832318768,0.25370283702814955,0.4151484057744848,-0.2066519538057056,0.21899470280555275,0.3486807106954264,0.21507317904323198,0.2914553048939222,0.38217850085022487,0.5003637652441044,0.2674986064848294,0.6506864396801256,0.3975670942435304,-0.19344044380818676,0.18853669755035496,0.1858684683152896,0.23010616262148548,0.38375934239147214,0.540821628042004,0.13350049662631325
Olfactory_L,0.18344459967466384,0.3001904979556748,0.3930527197630356,0.2582528322039373,-0.11375241833870638,0.0822214420871947,1.0,0.3715600371197006,0.273082668127375,0.1508174133832609,0.20582016360954336,0.3004035375506817,0.1456054189904537,0.07181020292291056,0.1468964747213285,0.41552746380854244,0.23240080267135954,0.39287800745291973,0.5271310293284843,-0.0015360625015168766,0.2892672154892505,0.2582354754479468,0.23242389096832333,0.46779407829550823,0.14593977371241904,0.1045062433119855,0.3294236512047052,0.3509188387166274,0.14096112353143106,0.30449644830405115,0.5142517411776153,0.3189980686283727,0.4851827666543922,0.5352844352868398,0.34953305387675,-0.010598756413675994,0.18428382894470638,0.5969774891951609,0.2747726000798409,0.4215564075427628,-0.02128618355077518,0.13947035654322393,0.36664648345399026,0.4511376701503108,-0.0009622378996270587,0.42465343512057596,0.05557976555038121,0.33843463440425486,0.05314471249000688,0.20561693855852922,0.012503300796324958,0.2596623214153848,0.4316573118481097,0.029147182680017543,0.35714543868543963,0.3079679408155179,0.3630864023908037,0.3616296455902553,0.7634822050916636,0.4002376953581363,0.37781877829246563,0.16270149945606519,-0.09499089835870275,0.7998819247864789,0.23488028248471204,0.457909585272483,0.42639237175958716,0.3463870133065184,0.045140411973033784,0.10854251413512322,0.26248328055843195,-0.10378168089091395,0.32270715729406274,0.4567277124404224,0.36481336028574585,0.28350429167097196,0.39274983367339883,0.635425716195538,0.0928808308403846,0.39546765771280395,0.0016248172456273162,0.09239334417974832,0.2892835484270103,0.3589328764339553,0.49098756833336105,0.5263799618915094,0.2732795681506446,0.05601107110782307,0.3591175753222762,0.15388076529625913,0.27102339497889844,0.22645030340796396,0.48236596341680604,0.28274249961570985,0.4361526412878115,0.3570512196960659,0.2499600364896728,-0.07443178073896929,0.48088690813710205,0.26712229618073047,0.09403769609688119,0.13380824123852633,0.48970357913611845,0.122950807842435,0.4089377620566222
Rolandic_Oper_L,0.41473449272773877,0.6757265851413368,0.3313533707825108,0.5541848152954697,0.20163801217984814,0.28646532493771887,0.3715600371197006,1.0,0.637906607994872,0.5377817483822825,0.6546672225611186,0.6837372491677438,0.1888625969603717,0.3835405205376247,0.6914650913906386,0.693474840102571,0.45979924474709233,0.5974013844645993,0.5304167390386957,0.4855695889652478,0.6404336464685039,0.5775440769355769,0.5450490720490972,0.33382096401620476,0.5064264392760843,0.6272338806766059,0.5765317530837892,0.6652488382613237,0.44181088338567265,0.7211174425301269,0.366874842593168,0.46578269169739506,0.8664683238125358,0.30902951329172346,0.7803460197405429,-0.17051191423580667,0.2626639717903692,0.449811769432893,0.6003448085609162,0.23460145460712895,0.41636604735803334,0.2509784950375756,0.7422474744279851,0.4705301197153508,0.3241411520194643,0.6616636715781216,0.390219876447042,0.5899178743897822,0.32084695953127146,0.6125660321127269,0.4580888934186377,0.63368496962535,0.43166974652385987,0.4361303964790313,0.34983583121011785,0.31343837262101776,0.2957691890982495,0.23748718289862494,0.5439288068034293,0.2474697213259899,0.643883232334017,0.40851014692388743,0.18901453071100127,0.5420078577531732,0.6470997220590026,0.641070618815192,0.6732417604105105,0.2615661825677966,0.3748442540530904,0.3627326187370432,0.7242135924927201,0.23009286547879007,0.45399093327914875,0.7868191655897335,0.7092567774613668,0.6014273730112623,0.6917851976369378,0.32626298091748807,0.2411144485742489,0.7605870229848459,0.35670072561721405,0.361321245831325,0.6493838119375616,0.20038649630529184,0.45426825142226207,0.7939507852589666,0.6008066252989742,0.4897363477079825,0.23466728747754614,0.3816524051757935,0.6884227460809427,0.4016543980306383,0.7188384401191547,0.7198234869706955,0.6758814725097375,0.8611644100950886,0.13581466128165992,0.3120105390340113,0.41540707320568543,0.30872374144895176,0.34833026415187146,0.5934322933903111,0.7721515002574292,0.4905102746209318,0.5501458387549503
Cingulate_Mid_L,0.6352007691836142,0.8929112579129385,0.14789911640533038,0.5140664719774076,0.22559455532443393,0.16812457470919598,0.273082668127375,0.637906607994872,1.0,0.5629831211124268,0.4593992396120595,0.7014951218231771,0.2822733435224032,0.557371066963464,0.5627927346874014,0.7376792913792566,0.09874792556781131,0.8013409589486864,0.24726129738883193,0.4535400213972376,0.6824134861432423,0.39401206566005526,0.5294443053343371,0.0034385510077823795,0.32172245410986827,0.6321365683609025,0.7148122561704262,0.42586047047925063,0.6465981718675199,0.8065783000887702,0.12657584292825869,0.5301945106635815,0.6645026137309351,0.059842055319123996,0.6220416763360093,-0.10075564850370743,-0.005283351418670789,0.35344317333650443,0.6478644519199831,0.0424647246022887,0.4221719320817261,0.34397134664143275,0.7699628259434433,0.07527683000383036,0.23133109746936045,0.6352988309441956,0.24857955498247553,0.4152330050916218,0.36411830685411983,0.6034576584650935,0.302051692746011,0.6264586806406339,0.3013962485278934,0.46251668823060055,0.29190389057964305,0.5890084022538876,0.0038229337726099362,0.14120679853050466,0.25314911267729806,0.1495838011020291,0.4976006465213757,0.5391040089016247,0.36583290376043875,0.38693383239636964,0.5684280380178057,0.6131314741017847,0.6542878910274893,0.058098565876282725,0.4548732886389803,0.46672191804906943,0.6120363469593234,0.25731755082867186,0.7530475065728574,0.5895235430024458,0.8819635593942117,0.5264925732673111,0.5497874652233603,0.4537761097796928,0.08845352106943992,0.6655615384606822,0.33541821753613377,0.548217351153557,0.5626753773945258,0.11139189661688698,0.07965801193824952,0.6216892776912273,0.3826690403579431,0.41446152107510503,0.10148023628870272,0.34207562469972974,0.6792065916514892,0.2776204659599789,0.6670999510011485,0.6183678941812483,0.5263605167007647,0.7074718520129291,0.019633198995857443,0.2340620651984495,0.3948908990606149,0.171514282584196,0.3845114644163066,0.3757105409345131,0.6557318003580423,0.5003358697709351,0.4365709991363159
Temporal_Mid_R,0.7428941385934056,0.5876004570988503,0.13667722685417932,0.26547305897379886,0.4190019484854881,0.41244303371628266,0.1508174133832609,0.5377817483822825,0.5629831211124268,1.0,0.5501589784832915,0.594528569578185,0.05133126495280915,0.7097307263365262,0.5588662002844608,0.509548294377099,0.35897996186810305,0.5870351413962902,0.15283290635711816,0.6462894159006598,0.5755418053235797,0.49050831511836035,0.36152161050401,0.03901284127824921,0.2825687923564441,0.5495518830930163,0.7173903764185267,0.473971199582043,0.6227176452732158,0.6035817416488388,0.02579860255882165,0.41267883058191157,0.5663316117494629,0.14262826995939296,0.5246672632428379,-0.15589930940856606,-0.018407972931011842,0.258625603428833,0.3258534034774066,0.011439648145642321,0.46517413546634806,0.280031415266012,0.6111402152628397,0.11313484317785027,0.5322971748994999,0.4882111946502102,0.7468477625532458,0.2987956745268655,0.2811889354226808,0.7839224214536991,0.40923686997505665,0.5358735352725313,0.15575398634298404,0.6714724277082926,0.25865323323707295,0.3950882836710926,0.004681626360153856,0.1019769896049535,0.2378802251806783,0.012481288311582845,0.15064789095277492,0.6593901418489415,0.16590903542863114,0.28631325534653107,0.7345379013804907,0.48854625315473865,0.5850934040166578,-0.020458340830675194,0.49917365328114827,0.26296432305236117,0.5683268776876604,0.4913283391982802,0.5409238109686771,0.4639410903055801,0.6027842206837422,0.4589060356740563,0.4495116872307459,0.12879436961361135,-0.016209612947636474,0.48198938112499834,0.7599298771967841,0.6523450267363408,0.42325082313311657,0.06811883918595543,0.029856538499000745,0.6055820752203148,0.2692530114522908,0.7265412160685492,0.05026352474394869,0.5862493531359567,0.6894796069189016,0.25629992056932527,0.4337864401163629,0.6593797613597231,0.4806742855618512,0.5880317330512951,0.04505696969617629,0.18366315544604161,0.2211273886350187,-0.020738436083836527,0.6692665092237483,0.2528988240838667,0.5507570076755763,0.7710618138023916,0.2073992319202532
