,Cingulate_Post_L,Cerebellum_Crus1_L,Vermis_7,Thal_PuL_L,Occipital_Inf_R,Frontal_Mid_2_L,Vermis_3,Raphe_D,Thal_MGN_L,ACC_sup_L,Thal_IL_L,Cerebellum_7b_R,Cerebellum_6_L,VTA_R,Supp_Motor_Area_L,Temporal_Mid_L,Cerebellum_Crus1_R,Supp_Motor_Area_R,Lingual_L,Olfactory_R,Precentral_L,Hippocampus_R,Amygdala_R,Frontal_Inf_Orb_2_R,Thal_MDm_L,Occipital_Inf_L,Cerebellum_7b_L,OFCmed_L,Paracentral_Lobule_L,Thal_VL_L,Cerebellum_4_5_R,Frontal_Inf_Tri_R,Thal_MDm_R,Temporal_Sup_R,Thal_PuM_L,Cuneus_L,Paracentral_Lobule_R,OFClat_R,Vermis_10,Thal_VL_R,Thal_MGN_R,SN_pr_R,Temporal_Pole_Mid_L,OFCpost_L,Parietal_Inf_L,Insula_L,Precentral_R,Frontal_Sup_Medial_L,Temporal_Mid_R,Frontal_Inf_Oper_L,Rectus_L,Parietal_Inf_R,ACC_sub_R,Occipital_Mid_R,Frontal_Mid_2_R,Thal_PuL_R,ACC_pre_L,Thal_AV_R,Occipital_Sup_R,Rolandic_Oper_R,Thal_MDl_R,Lingual_R,Thal_IL_R,Temporal_Pole_Mid_R,ParaHippocampal_R,Vermis_9,Thal_MDl_L,Occipital_Sup_L,Vermis_6,Temporal_Pole_Sup_L,Cerebellum_3_R,Precuneus_R,Pallidum_R,Cerebellum_3_L,Cingulate_Post_R,Occipital_Mid_L,Precuneus_L,Cingulate_Mid_L,Thal_VA_R,Temporal_Inf_R,Temporal_Pole_Sup_R,Caudate_L,Vermis_1_2,Amygdala_L,Hippocampus_L,LC_L,Thal_LGN_R,Thal_PuI_R,VTA_L,Angular_R,Postcentral_L,Red_N_L,Thal_VPL_R,Parietal_Sup_R,OFCant_L,Rectus_R,Olfactory_L,Frontal_Inf_Oper_R,Calcarine_L,Cingulate_Mid_R,Thal_PuI_L,Cerebellum_8_L,Calcarine_R,Frontal_Med_Orb_L,Temporal_Inf_L,Frontal_Inf_Tri_L,ACC_pre_R,Thal_LP_R,Cerebellum_10_L,Red_N_R,OFClat_L,Thal_PuA_L,Frontal_Sup_Medial_R,Cerebellum_Crus2_R,Caudate_R
Cingulate_Post_L,1.0,0.3574379824367534,0.04006812222880898,0.3454763684068069,0.08519467675390373,0.4979378640746534,0.2635062487320957,0.13483847707177093,0.0530620733408086,0.35828215512329686,0.1753125511137626,0.3961153737088672,0.3275340388732578,0.14954643521015992,0.33560413361231056,0.5921321678470058,0.2924028922979137,0.32396745613713335,0.35656857410044607,0.11971977207176067,0.3941432129344854,0.42826210071985465,0.2409934953691616,0.26989044557040726,0.33262351734607065,0.1365483746355837,0.38764699639897476,0.048364852762099085,0.3313176568485875,0.35485824240031677,0.37659314058714155,0.11068548765279086,0.24667657626449255,0.33413022475439846,0.4256732456622043,0.3742237166575836,0.4382776514018284,0.2040237349055022,0.3535259243783997,0.3158489657792036,0.24025467130734773,-0.0006299595299055208,0.27002100841029403,0.22790711585326762,0.46117834498149485,0.4320981899718643,0.3096230645732321,0.632019507226213,0.26296432305236117,0.3240231674135996,0.09808502695730956,0.19250299798796416,0.23774747162956403,0.126380925874517,0.23042066612582707,0.1601316288125957,0.2526868328729058,0.07946676449888883,0.1920460702217765,0.44236166511625635,0.11179638858480055,0.3279685911180238,0.16255089616179205,0.21978028537152014,0.3686552606246834,0.1751967873845383,0.30202194221363166,0.3653610639736671,0.28617785116828964,0.35722563869530993,0.37630468439318,0.4253506077142855,0.042602224004741236,0.13115669137689956,0.7964543876218834,0.4025731967245396,0.5195203724644766,0.46672191804906943,0.08987397107927647,0.1027211841614909,0.29610652568248497,0.37398571248889834,0.2719944298064024,0.2264572570197255,0.36160684932047704,0.14887388218762432,0.15765026939218205,0.221550740831678,-0.15951339664842906,0.1994789653645621,0.3810446570057374,0.29636400146268216,0.40949784791910054,0.17681868931467667,0.10637039850264214,0.20963878692826285,0.10854251413512322,0.2601831304949789,0.26444515494174403,0.410619830138554,0.2486423951348033,0.18786422738225741,0.31241395051187404,0.3824410005968507,0.32045803283553803,0.3126530507796067,0.3528797136204834,0.08267845834551761,0.3857198891279007,0.36216602542432064,0.20467701142938374,0.30406140717039404,0.4087790541308973,0.2876075736374046,0.2719777174542136
Cerebellum_Crus1_L,0.3574379824367534,1.0,0.5158124022667815,0.36195132819690595,0.5654983926681239,0.43235683819114445,0.14271246817197733,0.23969178607507818,0.13366649646451143,0.31754791562087203,0.07700181567038844,0.515929955438079,0.7402273374396995,0.18458007469118723,0.5096620923171578,0.5183649191855646,0.8542786191709538,0.5018277433857005,0.7392326555729256,0.061647277552083046,0.45703082389921823,0.3588557271678037,0.15220295451220345,0.12430174466079978,0.26899043071686035,0.6284588731720656,0.4352032202252125,0.031222980307678273,0.3672189988588697,0.24897364635234193,0.6057737844026769,0.3517860192638813,0.259851990770295,0.39404960302702463,0.35871032594232716,0.65768682693547,0.5362894413513017,-0.04743882246385971,0.1546857533656571,0.1616043268704033,0.30419399665952007,-0.06401457399536065,0.14600913133343627,0.14141801967798662,0.45899320061808313,0.3735227910257741,0.4813874495510842,0.4809938077075592,0.6714724277082926,0.4028046815561953,0.05032868501310647,0.36004950609823017,0.004769009135884102,0.5635183657798254,0.4693814208088268,0.17377876571526463,0.10497869991873111,0.1675854126478199,0.5956581558524948,0.385348806562839,0.43583799177411336,0.7439648300179047,0.33092606421574594,0.2824864940024109,0.4081206242931764,0.3677014776481946,0.07564051445802705,0.5994189229939382,0.8341248913145848,0.49076070852401626,0.3142940408474138,0.6197048830274651,0.19576487041871046,0.1903623002715945,0.29160771762226173,0.6184197489365937,0.5283134690057809,0.46251668823060055,-0.06056275608517588,0.5439987204830217,0.6807111566635785,0.4172898865434685,0.28508249021460885,0.3226881561335046,0.3605384096631478,0.21214394323476818,0.3442968146291154,0.4026961861165274,-0.20019360465565816,0.45905285218286507,0.4457412752357748,-0.04346478610455348,0.4037743166315033,0.28555794142342167,0.07314389591100239,0.12519189233206632,0.029147182680017543,0.4207705579871698,0.6840854462126983,0.4422736212558534,0.31778471907475925,0.5821549354017627,0.7172591819353253,0.0012799708274618678,0.2837003507659921,0.48302961945805467,0.24362963086766035,0.1208795142184086,0.4259715446423005,0.09675821970564606,-0.03024867981522203,0.32216975012727156,0.3779284959047482,0.38693069397502233,0.3454261560880526
Vermis_7,0.04006812222880898,0.5158124022667815,1.0,0.17525906111218703,0.561759343824895,0.09401269630807671,0.17837573839040521,-0.05768112723300671,0.047109491449083836,0.127187961727185,-0.16921455213365844,0.4316776940886236,0.42644293767061303,0.053920993412698216,0.19875056750029862,0.42751682991717954,0.6215297881081799,0.23399183267420634,0.5202885970342159,-0.10507434044406552,0.15528684581140728,0.20255697798399303,0.1528020421561704,-0.09636706383189643,0.16491330565426496,0.5713872542001324,-0.06377663623556805,-0.02036132406300673,0.07900637254881598,-0.02596020674676376,0.3855305555950749,0.17972046217539941,0.12096140987205012,0.3043134756214559,0.2652555143756057,0.42311538227646733,0.09082473812292532,0.06410673174530553,0.05882558258422273,0.07842423834382943,-0.06831444612225533,-0.36378461845381704,-0.07952226572127373,0.11827372165509123,0.11157011466989084,0.2630472090363866,0.18010811381946035,0.12241019983659428,0.5095663217419861,0.26672635725353366,0.08211934343941817,-0.0006162336026937273,-0.0015828235181268818,0.3326681784135484,0.12990518503015502,0.1936996112434451,-0.06440773099911078,-0.31825673758808803,0.29525130571687896,0.18609563730803055,0.21821172470304318,0.3342270437909862,0.4420599746510054,0.10687322387110516,0.18071711095081117,0.2458278178295265,-0.049656172985476005,0.30799317656184544,0.5074202768504071,0.32186252444425095,0.29233638805907136,0.17788596602267798,-0.03462136604383715,0.17461879775980624,0.10339971912655162,0.3274157172412262,0.0994354517349328,0.13296982236443336,0.09515179316065052,0.5768500952179609,0.5227788970256424,0.13521150533518156,0.22178528176252907,0.27569679899887034,0.17685515751823264,0.3305233620462885,0.2147272050910561,0.39267902044270503,-0.33711397873630616,0.11737607745106704,0.10149650884070209,-0.1963343301840754,0.36186881334301224,-0.06261373086240617,-0.37688650655772205,0.17022405783415348,-0.17630761083804433,0.26120985010917697,0.37178341421875555,0.12885193590253227,-0.026528076564899302,0.4472411474711612,0.3441820960138756,-0.16900540277234552,0.23777523089170752,0.18325951406469027,0.0726001438770389,0.02078845181925168,0.11761732815320287,0.0678824042070123,-0.06703857514393265,0.03214683792375454,0.1364056702464198,0.4584563438900104,0.07834582044698167
Thal_PuL_L,0.3454763684068069,0.36195132819690595,0.17525906111218703,1.0,0.10022041664097749,0.749194793322116,0.8065130412993105,0.34056390187037544,0.5460441674396105,0.8528135742856962,0.5158148570817108,0.17525170634279308,0.7282981573485853,0.3986258325293563,0.7808590753544479,0.6400249843698651,0.26433614299646835,0.7379216877355176,0.5845477674080211,0.5593109972422609,0.7453622216540576,0.8062074619233199,0.4479679199098868,0.5772991364498417,0.7255121457403937,0.02948987348767236,0.6212903189241537,0.2448610727537839,0.6200778982819081,0.6828795480299926,0.7918937366606494,0.7518210962442291,0.40186256101320544,0.7764366533571007,0.9074360514749794,0.43150821367745285,0.4607841466781345,0.45093686713492315,0.6837628354894546,0.7505169576379981,0.31931392839634903,0.34996827169842193,0.5221202388540488,0.5220671773438514,0.6658488750079687,0.6823102108216985,0.7017341996309766,0.717557387782882,0.5246672632428379,0.6766120774541659,0.4314726312539133,0.5291373046532445,0.4525186098754861,0.24044845294935574,0.7641718134902906,0.8309828853048393,0.6387669770259177,0.328939231761183,0.41265033579897753,0.7098926325624727,0.46990571160290223,0.5436130917340197,0.3886145809737953,0.39344071697368876,0.77397740879256,0.7682047720112429,0.4298292757257774,0.357834305689787,0.4354061027904892,0.5792842015510729,0.771345441082157,0.5759234219651846,0.44136549035720724,0.6769526336954345,0.5987738551464801,0.2608160344383122,0.5363276592705247,0.6220416763360093,0.3799693464786841,0.37123956415544074,0.4312175887299305,0.7667286406688872,0.4797444233744269,0.4406484622387789,0.7993868079817386,-0.010797337151380303,0.4945334756367702,0.49693226646932037,0.005626029777139971,0.4184322451150187,0.7290295211931114,0.265573647461389,0.860538602995488,0.3719038913168534,0.27693047747785043,0.4583083775288881,0.34953305387675,0.789149153031864,0.3341916348073025,0.7143081585356045,0.6047212176345411,0.6421327162362003,0.3514425148631514,0.1273968765464583,0.5926497477868345,0.8146891700049371,0.7516317569698342,0.7607277169116888,0.7787736423845122,0.47539582960951127,0.40118833908690493,0.8573171295661797,0.7594207515435026,0.3433232033342608,0.7936570947788464
Occipital_Inf_R,0.08519467675390373,0.5654983926681239,0.561759343824895,0.10022041664097749,1.0,-0.021274744952333998,-0.062155766515531195,0.27577656696315217,0.006056446803581524,0.03392793810860718,-0.09154124056067996,0.4914097165977275,0.3846781663290843,-0.02674997682276604,0.07530452716367148,0.3019276454178334,0.6577561810201892,0.12890708868533374,0.5212398070667517,-0.15497929633241597,0.07602105059256764,0.11079089298337855,-0.043065720376958126,-0.10420131995604455,-0.08446269157787657,0.7168978048368951,-0.07712306685076752,-0.09722485131580734,0.017981637209080328,-0.14860999488073257,0.3638224705121657,0.017324727067997772,0.19014420011601907,0.12869625067397583,0.08827604383655688,0.4159946160272576,0.028740865074520106,-0.3303941752873391,-0.24238725995138033,-0.1606989633389327,-0.055601973864950915,-0.06406113058025144,-0.1844404247632646,-0.2228259895477875,0.03502341056984919,0.23126463846013415,0.023297005324058085,0.130912910070242,0.47366942546079016,0.11139494892913818,-0.25427904442187693,-0.012207202744834913,-0.2575479939383598,0.49382029792772214,0.08191832428572207,-0.013610414485233792,-0.16981389660807938,0.01633545299064552,0.33891617053758694,0.16731597391514377,0.12051234843465153,0.4905622214558252,0.15769754635801608,0.28921620133067333,0.11236902064393836,0.05353308548038705,-0.1946495917785236,0.4099692007318536,0.623272004202785,0.21644241532432063,0.1363616467410031,0.1539037087204317,-0.2689112706197202,-0.032081302661540835,0.03626325232597409,0.4210622199887164,0.08296564595391422,0.12732120242911618,-0.3265660545285182,0.5663839599977725,0.688734103336272,0.08180582274649395,0.2029536897412232,0.30416468356464593,0.16596004553276061,0.07154343593688205,0.2764499109699673,0.22699876338081518,-0.18475174878700104,0.1282414962750245,0.05708539495186561,-0.13189230104653396,0.19664352252634515,-0.09506961077010999,-0.07564847612492162,-0.16499842918787241,-0.13637590069420116,0.08054469783960863,0.4503704579108205,0.06775654018801752,0.18684503068624714,0.3779117464238944,0.5292291171585701,-0.04674601270708217,0.12590440185314383,0.08561840408989277,-0.04184112323347128,-0.1825132929863545,0.14359809181901115,-0.09077948084902662,-0.3769814803846417,0.11986377274859668,0.039136239919482604,0.3336553619346778,-0.06979550403982406
Frontal_Mid_2_L,0.4979378640746534,0.43235683819114445,0.09401269630807671,0.749194793322116,-0.021274744952333998,1.0,0.6742267957215897,0.22379654562915857,0.4107388424989935,0.803684691397267,0.4581138790428833,0.21936674855919555,0.72425316228581,0.31375898652934286,0.8189305992456947,0.6682308850266986,0.29123119177008805,0.7636187791911303,0.6054062080986996,0.5524028934979782,0.7420325580485182,0.760183134942111,0.5204439209456195,0.5964182427056461,0.6649946953058578,0.045697214953924745,0.5747888644388454,0.31311342068182646,0.6671601913916563,0.7723669706129919,0.7278455384385772,0.7301664314431758,0.4259601201240745,0.6729179970226131,0.8051611383448642,0.49266443120640263,0.5851385191506921,0.5213237710611471,0.685410716369623,0.7761088640667138,0.44595775868967075,0.258795476394003,0.7140396682849073,0.6398447104883411,0.7541369735690769,0.5833991128849646,0.7039919356253567,0.850276909960249,0.48854625315473865,0.6715506596380267,0.4800601604400849,0.5274527088267048,0.5854356085247362,0.20187001184090594,0.8684932615837252,0.6782449619668469,0.7448117644846743,0.2671865012989079,0.45237969650069454,0.5666342131406419,0.4344977226878959,0.6052881551567133,0.28692899025326934,0.39822786475740035,0.7610633014733161,0.7410344668557621,0.5643972837957104,0.3795707416125896,0.41323864757774087,0.74530664140146,0.6031930534820613,0.6913399472648258,0.6571649300797816,0.5802249485964615,0.6611378542931912,0.3962929019772153,0.7107044020407424,0.6131314741017847,0.49968699116668064,0.2785474448680786,0.404323230065531,0.8016061536287054,0.36212509451360775,0.4713845551061293,0.7698383413721931,0.1382484937809359,0.33663130523955886,0.4068997850974705,0.06040443777952704,0.42070139971468906,0.7498664039147365,0.41822065246463996,0.740088099655854,0.49464731246751603,0.3008360154003738,0.5140166344370319,0.457909585272483,0.7287223726283095,0.45607064113250484,0.7336569373684766,0.5152849280495612,0.4962095013785399,0.4669769632788,0.2681418845075586,0.5222202150451815,0.9144416841160464,0.8770945004337467,0.6572797309608399,0.6465400703402392,0.6180983167165175,0.5935470489362742,0.6890338794859971,0.8594879676150984,0.3613452746818812,0.8758433486941019
Vermis_3,0.2635062487320957,0.14271246817197733,0.17837573839040521,0.8065130412993105,-0.062155766515531195,0.6742267957215897,1.0,0.14894212352652483,0.6170994421311523,0.7509121080011602,0.5070064942242567,0.022904226903820952,0.6343630248154479,0.27607449431304953,0.6622850866128661,0.5845102419655407,0.13419912610489737,0.642877979427672,0.3629453310165832,0.5582542102640016,0.6116293855202736,0.8095479952406346,0.6214551029187921,0.5058633326457033,0.7177644069726645,-0.21443393008138675,0.38497973274439323,0.3243412252244089,0.48449940414158826,0.7331089952081213,0.649350526374271,0.6838107749665847,0.46251717723770724,0.7055090651937124,0.8353153185001654,0.19700622900702724,0.3670475998430253,0.6000606313201501,0.7572669989792865,0.8701703313050908,0.18148117498640254,0.352196601459917,0.6066269951090795,0.652196275287618,0.4548315073763835,0.5368333308351086,0.570779913477648,0.579362699231473,0.3684005039087385,0.6097602744447738,0.5131226978188381,0.30248088471101536,0.6077140085636509,-0.10683526974677077,0.6151561515083397,0.804428031374328,0.7182514108428764,0.21664943039977821,0.13569837547426372,0.5777391398845774,0.42393878541940067,0.267351175679758,0.21991198354977545,0.3291406327369396,0.7799851837483486,0.8142654998993422,0.6734471006759641,0.007121174102916299,0.3184223137331776,0.5244966465526728,0.8225131003746989,0.40115179506666915,0.5406266545949155,0.8054866572764922,0.5818958349101453,-0.07872542913780332,0.3231709145167027,0.46499898778111254,0.6520062862207301,0.410051802165469,0.26000664817605723,0.733517323526538,0.49419299219455803,0.44244651096899784,0.8195645150294639,-0.0680649425509575,0.3763046394111071,0.36457198929807544,0.15630875522352117,0.13429592292655226,0.5429003957134486,0.40336388965540354,0.7782190734732368,0.1355529797475501,0.21814375436791197,0.5244527779674903,0.3328135073285145,0.6697744930280505,0.02375734414933421,0.6279449875212112,0.5082308306167088,0.6516231636453127,0.033432197902732066,0.23386272967513544,0.7206243968161825,0.6962548395457001,0.7603784350139233,0.6532641519419875,0.6384175949680412,0.6425814974613991,0.6506111321788046,0.6190215092390536,0.7150122334452229,0.26919098149425735,0.7676046976290197
Raphe_D,0.13483847707177093,0.23969178607507818,-0.05768112723300671,0.34056390187037544,0.27577656696315217,0.22379654562915857,0.14894212352652483,1.0,0.027117580377668433,0.44063065054701905,0.4237148481632432,0.03935752352684937,0.25539440222628124,-0.053194478587833265,0.28237034986165677,0.16990759993104254,0.1855051410236294,0.39232437293460193,0.3359121502282294,0.2948654636044755,0.45912627805569983,0.3718244136175024,0.13994480976525317,0.29777134605612227,0.022471620116392275,0.2294308492102754,0.16490491419240808,0.17721121928995495,0.38883608997838714,0.04816087665188698,0.3668950098448238,0.3361932567898526,0.0027263362820077737,0.37586641240543756,0.2299481767417809,0.356489339575409,0.1528806999677915,-0.31954944817296527,-0.005919927897187645,0.0488627135580101,-0.1165683572480519,0.49696756042011236,-0.0700543261397047,-0.21875985793978353,0.4187133526977726,0.4334203127903987,0.34458644646829306,0.464105695678026,0.41267883058191157,0.43825744940566563,-0.2879846601726526,0.49882483679778244,-0.11064949056582178,0.5048347774232275,0.3776960354291454,0.1282832218059901,0.11338849087116783,0.4156911151008669,0.45318061631915385,0.5639371467148063,-0.02619217227777191,0.440431083862463,-0.002898010839244134,0.354491957093571,0.3723280224002885,0.113486764600969,-0.12813732859430582,0.5143889513114677,0.3440314309944322,0.03144854482716727,0.3115916617963672,0.36138677503629313,0.06226150815177288,0.2937199970120441,0.1258842729950806,0.4631416521944382,0.4143997175241721,0.5301945106635815,-0.3672858050691816,0.20184013116463062,0.39009332546302977,0.2607697630463289,0.14811479665458588,0.2616263129238348,0.375786661484912,-0.09429829238634893,0.2661500031192045,0.15993960495344473,0.1004035900107263,0.5105268505066891,0.5008078826618737,0.432280451393554,0.2461576487696863,0.35428458352391823,0.34012792725511687,-0.1474842240163001,0.3189980686283727,0.3643449890621638,0.3522583005020223,0.42029130818679855,0.5193696651556874,0.20154089619467414,0.41362923266686547,0.11204320950614068,0.08602888267833936,0.3788087827651107,0.25871331198786773,0.19506341527322113,0.2661778436690921,0.2683494091757721,-0.34393392444553667,0.5484643222431999,0.3229324962149618,0.14259589489927857,0.28399050932288394
Thal_MGN_L,0.0530620733408086,0.13366649646451143,0.047109491449083836,0.5460441674396105,0.006056446803581524,0.4107388424989935,0.6170994421311523,0.027117580377668433,1.0,0.3218684582326243,0.6464994694963804,0.04365942896144595,0.3873739436461389,0.3050341624501259,0.40186752097935646,0.2216480025232829,0.08403767167172135,0.23671759429231762,0.038472119313878575,0.5146580455037986,0.18221278729513576,0.43529992395961864,0.47045332312650023,0.35257177408347046,0.6397500154400617,-0.295012067580425,0.43838428005430335,0.10934274630095364,0.08025064218012033,0.5980356597471111,0.29643944434235125,0.33666023202236667,0.4008220676756344,0.2497925498202377,0.4507773603891604,-0.12254121478587801,0.09437787279112893,0.3203910928706319,0.3659438310192699,0.5539937104592326,0.4032486351877154,0.4801927980008032,0.5124083615328096,0.39478200786173095,0.04060264644490669,0.18014261531944267,0.13287627707596966,0.26790464704685185,0.15291023799735592,0.21809762389689857,0.4617593381893954,-0.03559463471216401,0.5888170526761675,-0.2424099121238977,0.36714433570405763,0.5317447287222958,0.6293858206927068,0.533722501465609,-0.12867609187933765,0.21896697503231421,0.606499195514816,0.07474442401632048,-0.053327558699360914,0.529975532552195,0.5560022516286295,0.48208343961689676,0.5422238226295016,-0.2266876710151009,0.27279921660711226,0.3448778468857161,0.42156279269781827,0.13078705190223486,0.39620044918217023,0.41047742796795866,0.20202094168535104,-0.2487986395896801,-0.02561165733951809,0.06736667508607808,0.3679180982937119,0.34518671769497233,0.2761343661397397,0.5984782163330725,0.2180072174830818,0.5460693286086233,0.6203315760302324,-0.47782425589246247,0.5692797851405774,0.23030653988570096,0.29886033064502987,-0.14497103123701657,0.12710590507312233,-0.02411290509767278,0.41827690572818615,-0.20016514873622293,0.5848317019699802,0.36437645999787266,0.18163110664588675,0.2699377112337424,-0.1863501602480944,0.20080378264487478,0.5347862440724013,0.6383321192509012,-0.11750076187735313,0.29021769442788226,0.5419628817111466,0.4276066614753138,0.4327742693646794,0.4662636356376465,0.46418301665761064,0.17503546036843612,0.43752781475588415,0.403628525533476,0.33064597372248583,0.03889927370079341,0.5782475289243657
ACC_sup_L,0.35828215512329686,0.31754791562087203,0.127187961727185,0.8528135742856962,0.03392793810860718,0.803684691397267,0.7509121080011602,0.44063065054701905,0.3218684582326243,1.0,0.49992209478395516,0.19232325146359885,0.6680768927031949,0.2955594390394411,0.7706856046965737,0.6071374324682082,0.24452411080874223,0.8178820393871021,0.600197894745065,0.5422776644711578,0.8825964199835715,0.7995174316877696,0.448891583086585,0.597825395166213,0.6732085860758484,0.05454343192417724,0.5211598575964873,0.3145605022363796,0.7584286912639153,0.6430568517937575,0.7675373146518235,0.7652531532019186,0.3293103317573089,0.7811261300718313,0.8789218858927151,0.4862289763090786,0.5268043924070456,0.5050266106635878,0.6836998306106478,0.7536070463216639,0.2983705445070009,0.2527933032035284,0.49464466576153715,0.5789778416061543,0.7960120809778509,0.7256659377512991,0.8026136054432429,0.8184790632085611,0.5120099704986367,0.7753571364033627,0.41208226017371063,0.6698575174148468,0.4400590415056373,0.29374272366311843,0.7837973985694021,0.7211736985803918,0.6570344338564654,0.24256598822912445,0.4806106131215307,0.7346434399271088,0.32541102204981576,0.5700923374113149,0.4214283808458367,0.2470532078332333,0.7207391340856614,0.7363597334778182,0.4081003059270989,0.448604616699941,0.34219106694487694,0.5958055147231779,0.6996660465329437,0.6192555410511266,0.5000085711450619,0.6533201833934769,0.5885705434802084,0.35747810945702,0.6776756787989865,0.7763120830987648,0.38150675934282174,0.30307546814078445,0.3719977893654251,0.7147496776373307,0.3765109964478862,0.32861836795090904,0.74863660071733,0.16570665727114917,0.3177485531682932,0.41278233962240646,0.03342078963205108,0.5342553045140991,0.8746505758615912,0.5197374561944144,0.8130968185968966,0.5344691908417326,0.13761610123457055,0.4651216284522965,0.4649375048531935,0.8118489025680207,0.42435633692224506,0.8287671676586081,0.5426280951733111,0.4926195051584811,0.4282140624193873,0.06936140038823775,0.4897209993557143,0.8709216002676311,0.8531040853237428,0.6612803922943603,0.684067456288842,0.5947958957644768,0.41112769005167665,0.799727318167165,0.8476340377179853,0.4403244399412507,0.8003079490122226
