,ACC_sub_L,Thal_IL_R,Cerebellum_9_R,OFCpost_R,Frontal_Mid_2_L,Thal_PuA_R,Thal_VA_L,Lingual_L,Thal_PuA_L,Parietal_Inf_R,Frontal_Inf_Tri_R,Temporal_Pole_Sup_R,Olfactory_L,Cingulate_Post_R,Putamen_R,Frontal_Inf_Orb_2_R,Paracentral_Lobule_R,Temporal_Pole_Mid_R,Occipital_Sup_R,Vermis_1_2,Thal_MDm_L,OFClat_L,Thal_MDl_R,Cingulate_Mid_L,Olfactory_R,Cerebellum_6_L,Thal_PuL_L,OFCpost_L,Cerebellum_7b_L,Calcarine_L,VTA_R,Vermis_6,Insula_R,Cerebellum_10_R,Cerebellum_9_L,SN_pr_R,Occipital_Sup_L,Caudate_R,Thal_LGN_L,ParaHippocampal_R,Thal_Re_R,N_Acc_R,Occipital_Mid_R,Red_N_L,Vermis_4_5,Precuneus_R,Postcentral_R,LC_L,Red_N_R,Thal_LGN_R,OFCant_L,Insula_L,Frontal_Inf_Oper_R,Amygdala_L,Fusiform_L,Rolandic_Oper_R,Thal_VPL_L,Frontal_Sup_2_L,Thal_VA_R,Frontal_Inf_Tri_L,Thal_IL_L,Thal_LP_R,N_Acc_L,Temporal_Mid_R,Precuneus_L,Occipital_Mid_L,Putamen_L,ACC_sub_R,Cerebellum_Crus2_R,Thal_VL_L,Thal_PuM_L,ACC_sup_L,Temporal_Inf_R,Angular_R,Hippocampus_R,Temporal_Inf_L,VTA_L,Temporal_Sup_R,Frontal_Inf_Oper_L,ACC_sup_R,Rectus_R,Frontal_Sup_Medial_L,Temporal_Mid_L,Cingulate_Mid_R,OFCmed_L,Vermis_9,Temporal_Pole_Mid_L,Cerebellum_4_5_R,Rolandic_Oper_L,OFCant_R,Cuneus_R,Raphe_D,Pallidum_R,Caudate_L,ACC_pre_L,SN_pc_L,Cerebellum_Crus2_L,Heschl_R,OFClat_R,Thal_AV_R,LC_R,Supp_Motor_Area_R,Frontal_Sup_Medial_R,SN_pc_R,Thal_MDm_R,Raphe_M,Calcarine_R,OFCmed_R,Fusiform_R,Supp_Motor_Area_L,Occipital_Inf_L,Temporal_Pole_Sup_L,Paracentral_Lobule_L,Thal_LP_L,Precentral_R,Cerebellum_8_R,Cerebellum_10_L,Thal_PuM_R,Temporal_Sup_L,Cerebellum_4_5_L
ACC_sub_L,1.0,-0.12143874089228415,0.3797341154795316,0.49514983177360644,0.5993451131472715,-0.20894023916562715,0.5234087608165913,0.0475992569739821,0.25961149883942397,-0.05875769066832095,0.4318184722474309,0.1570555506965982,0.3630864023908037,0.328955054876434,0.6888009022216501,0.3907464405228966,0.1797233889806822,0.3811735600652573,-0.19217124249573647,0.1733604191129472,0.6778270288863896,0.8024134387409874,0.4070657807567707,0.0038229337726099362,0.5699111061269154,0.3386716980313337,0.4368495202057721,0.6638641028574699,0.35235125483357843,-0.11971944112973133,0.27580133050388683,0.0775235614283598,0.37261780178508236,0.179138430025612,0.47335173284968307,0.3582706279039586,-0.24970239004800984,0.6835795671683946,-0.14375331768841765,0.5137354857624264,0.12238387337845943,-0.2760442370523185,-0.40367586608647416,0.2070889493473712,0.3058661558221673,0.12636317883994053,0.19067857259481671,-0.32988119867418975,0.4343423584299475,0.20396968499396004,0.44705807043375434,0.2011602335280291,0.26984356667339915,0.4517303136938458,0.3942687493688847,0.18444209146070747,0.46668705245331976,0.47307686969657375,0.6397001068874336,0.5134937245479138,0.5628628895119636,0.4594015708736212,-0.12805596664017366,0.004681626360153856,0.08838026042849632,-0.255846417448853,0.32892764569774563,0.870578734622041,0.14039325303040476,0.7688776960007417,0.44762537890102055,0.38929840626320367,0.17913433181828597,-0.194003202058733,0.4151770153866488,0.38418141131070394,0.35599122080589757,0.27236841504143217,0.3046943674474964,0.5260779100413324,0.6246822724557107,0.4076720559116962,0.25130329989414235,0.20883721485352735,0.2944946690573738,0.4810238285323628,0.798346842521965,0.25758437736646733,0.2957691890982495,0.7883680534924589,-0.2943569773153683,-0.205289227227057,0.6005261624114443,0.658039028702614,0.8486840705748568,0.1987044440673556,-0.08142635025227911,0.27899954695645623,0.6117118874823648,0.34486240860773065,-0.2503604878732753,0.2552204095363272,0.4947747731626406,0.5097558623465552,0.3597908973096478,0.26095551686578944,-0.0774858888728795,0.5062643715137091,0.2084639116532045,0.41096626645437134,-0.4184834047532725,0.5687858360198164,0.14867098544376928,0.44800054620589663,0.16126502125945436,-0.021120967928371082,0.37130161809701895,-0.2306832524441116,0.4395933122491654,0.4014006169551512
Thal_IL_R,-0.12143874089228415,1.0,0.4738898347594769,0.4045910118794332,0.28692899025326934,0.6786840388440926,0.05185049123621942,0.5035391411888919,0.3953676151310477,0.4901585320075846,0.36626513782652803,0.18709933943185644,-0.02128618355077518,0.27338282370136074,-0.04135930198927649,0.2096903151362676,0.3902350268024567,-0.05482038473375919,0.496444001431344,0.19165238147352806,0.3773682038518023,-0.036979861244012584,0.3130847109494755,0.4221719320817261,0.03911592170599505,0.3601235853074283,0.3886145809737953,0.24880459396984875,0.316671079119343,0.45283279410414595,0.3149120921072696,0.2328505735316337,0.5392713095963657,0.495207643453165,0.3677613817245797,-0.43179414189339294,0.4878457418908055,0.20493445824728126,0.7273146382341538,0.18111188063902905,-0.4139418431925036,0.6338248547868777,0.4427034727957555,-0.11660183070264128,0.3911157451948026,0.4360234374189013,0.5106371868903944,0.5304592424415862,-0.058274445138254256,0.2238264951366441,-0.355405215330894,0.45870945258097473,0.5121497907852609,0.01760321339777355,0.36171270320365717,0.3196235024177959,0.42382387111068065,0.34117687991033013,0.1554697261218557,0.32023222197900186,-0.1969642897377878,0.33804236658925463,0.47246965509928723,0.46517413546634806,0.4554686743814796,0.4394299197874974,0.26469732383779454,0.0002645295765498239,0.28875915832772,-0.03367057257122581,0.4885077615270984,0.4214283808458367,0.1677471755427959,0.4886768393783992,0.3382989728499227,0.24931321590668074,-0.5310740814635798,0.4449711026382163,0.3613163911408147,0.33893256277814254,0.20077043361325844,0.32181264680853455,0.4436996848421947,0.40087991702590203,-0.20415421824021357,0.2961106755941615,-0.10824429545695793,0.4710227539935475,0.41636604735803334,0.07694213530795761,0.31669246927111094,-0.002898010839244134,-0.015938456665803038,0.14681990392533872,-0.017952186845126936,0.18062931423120562,0.2579479694872758,0.36415766430677854,0.34641778842844884,-0.22132438225002304,0.3201899769534694,0.42072662040900083,0.35476269550548734,0.29927757180671505,0.14012143316920042,0.3933724066977058,0.36399914937806543,-0.022593640544547232,0.3315258968508095,0.4028600676267853,0.3857819919874279,0.1757608525055506,0.42655462104205893,0.3903333306875862,0.5449882079192131,0.26405263381698635,0.35463907480582957,0.5745831165713169,0.3504557818591526,0.47038678288289903
Cerebellum_9_R,0.3797341154795316,0.4738898347594769,1.0,0.6414861991273496,0.7461568612011028,0.4032584227765615,0.4751884295317605,0.7503284266874334,0.6744586131937034,0.4313150970498423,0.6703077576073873,0.5994986140270144,0.28274249961570985,0.5719360803448998,0.5359777649725026,0.49605234182409197,0.5054842440456708,0.38217850085022487,0.4609743352643682,0.5093572132052576,0.6563042949243479,0.38316950536957545,0.4816568616913302,0.6183678941812483,0.4558194508422507,0.8653291088351194,0.8225393365011668,0.5918398815142267,0.564340764536359,0.4832527751716261,0.35175363939932425,0.6249289666664432,0.7042183239052398,0.7253260733546676,0.81059011686445,0.11946024693583618,0.40523472207184846,0.7290430070822187,0.5612167368834439,0.7556112088982078,-0.03961074525333742,0.2307404021368456,0.3198460478484007,0.20978078112009726,0.7970866089104337,0.5967782067279166,0.6646800235342339,0.13950080644344762,0.4466019130004646,0.465801752863156,0.12386520934880453,0.6713791733737596,0.737648503082863,0.4440837689097591,0.746696636210263,0.6062745389619351,0.827610558826026,0.7275803502859248,0.3921157303994847,0.7988626449375145,0.3759947555861146,0.5866470458998433,0.24411249832635837,0.6593797613597231,0.5399538551165183,0.36260263651649455,0.5303019578269597,0.38372658794295295,0.5581025166630555,0.6342697928406149,0.844065733552328,0.7870535547085148,0.567337747870047,0.37642031443073415,0.7745539805127956,0.5440414060598783,-0.07111555881600455,0.74030903243226,0.6746786671450068,0.7401574882022282,0.45275225492516674,0.6923162617481627,0.6936084370633139,0.6896281649953626,0.19192032969671435,0.8208102020196405,0.49049780102083784,0.8702682745027663,0.7198234869706955,0.38606703483430665,0.3815392143396576,0.22633083454078,0.45080678026612153,0.7353381655759376,0.5444224761957824,0.32760053167576714,0.47076158259249856,0.6237597055966494,0.47369937130377443,0.1820568079879626,0.19054202716274618,0.7517309152268272,0.7182131197261825,0.3286123699743658,0.44010386372932503,0.4461253441621795,0.48909882079285305,0.28457065457715963,0.7422019055053434,0.7697701059511906,0.27315101745420045,0.732582919718917,0.6157440487070437,0.7547096626542419,0.6841068574101904,0.5922030347939348,0.7330914094628913,0.4996640990417051,0.813482075247495,0.8222730290968289
OFCpost_R,0.49514983177360644,0.4045910118794332,0.6414861991273496,1.0,0.6046241353160793,0.22264569647089522,0.32371136617621954,0.43109208523345094,0.5021209379627702,0.332556687816954,0.4975539778015099,0.3860426272481828,0.5967961065719579,0.3729045296602659,0.41431552008969863,0.7482137458886283,0.40761411747586074,0.2889183748239789,0.2707405952851335,0.2346648398125288,0.6156880030765897,0.4155021902295762,0.3678452109533372,0.3190492420905534,0.6994485076215431,0.5080309800071918,0.6154526412215668,0.7417865375483104,0.5509941315396528,0.29327716155664074,0.5369799634435157,0.29175415203359256,0.6972811213816466,0.48009440218764954,0.5364286288259336,0.15483041127873137,0.21450176664693427,0.5928248329452189,0.3658385251685405,0.5913217234121163,-0.09838419268231295,0.3772005535785403,0.1398586914674284,0.2364674314872344,0.47361774981870836,0.4596053713821033,0.4684910016932128,-0.002165372135260047,0.22504257260561156,0.34324513338480633,0.20845582507838362,0.6133892861993803,0.4897598027468916,0.46984896088556827,0.5768361863397632,0.40227412320619166,0.6257544740528086,0.5674681767570896,0.3338353070207135,0.5928556551154546,0.4892607940497942,0.5286344908567806,0.5123046945000441,0.3990085915555094,0.39053070261770734,0.17212093147736318,0.6041561634973694,0.5724657209292798,0.3282943787936788,0.5195402530815368,0.5929836191118325,0.5603672637040873,0.3100114837181164,0.24761454048366371,0.6731794709741967,0.4072345635700778,-0.29520562438544723,0.48837456080156116,0.45439633288135706,0.5477574848340835,0.5513587559931906,0.48012236734991265,0.41927255031799726,0.37487976303500936,0.25441964977950765,0.4952451375974038,0.4505373593270381,0.5240454457290065,0.517520820148935,0.6581263599465325,0.1174769070265787,0.04036407342001479,0.32985425465316215,0.5779776826095828,0.5888851656281774,0.4606430626586817,0.27274814876349524,0.36927103676907214,0.6583382464994286,0.2680252737439415,0.07067137424368737,0.41902954162871364,0.4929348582347767,0.5566630925026207,0.1597841192142814,0.43570396453916965,0.2594272229760341,0.36825488540335,0.5275900184309107,0.5153915384600983,0.06054995874511587,0.588589597815431,0.39984797710487,0.611511377457028,0.42438848263362045,0.27515451183943707,0.5475263980766796,0.2275177920522596,0.5372389170569932,0.5711156369060962
Frontal_Mid_2_L,0.5993451131472715,0.28692899025326934,0.7461568612011028,0.6046241353160793,1.0,0.3242513853209516,0.5582526176401598,0.6054062080986996,0.6890338794859971,0.5274527088267048,0.7301664314431758,0.404323230065531,0.457909585272483,0.6611378542931912,0.6711135080629358,0.5964182427056461,0.5851385191506921,0.39822786475740035,0.45237969650069454,0.36212509451360775,0.6649946953058578,0.5935470489362742,0.4344977226878959,0.6131314741017847,0.5524028934979782,0.72425316228581,0.749194793322116,0.6398447104883411,0.5747888644388454,0.45607064113250484,0.31375898652934286,0.41323864757774087,0.7023258937315838,0.6629362483494974,0.7418612983494011,0.258795476394003,0.3795707416125896,0.8758433486941019,0.4479306427995739,0.7610633014733161,0.12174197233595788,0.10656865591340273,0.20187001184090594,0.41822065246463996,0.7630129993788364,0.6913399472648258,0.7350783014431255,0.1382484937809359,0.6180983167165175,0.33663130523955886,0.3008360154003738,0.5833991128849646,0.7287223726283095,0.4713845551061293,0.6108700547606442,0.5666342131406419,0.8027830097800245,0.9340347098922459,0.49968699116668064,0.9144416841160464,0.4581138790428833,0.6572797309608399,0.1650080903197528,0.48854625315473865,0.7107044020407424,0.3962929019772153,0.4965389327652664,0.5854356085247362,0.3613452746818812,0.7723669706129919,0.8051611383448642,0.803684691397267,0.2785474448680786,0.42070139971468906,0.760183134942111,0.5222202150451815,0.06040443777952704,0.6729179970226131,0.6715506596380267,0.8531758361413878,0.5140166344370319,0.850276909960249,0.6682308850266986,0.7336569373684766,0.31311342068182646,0.7410344668557621,0.7140396682849073,0.7278455384385772,0.641070618815192,0.62302108061709,0.28574128329719256,0.22379654562915857,0.6571649300797816,0.8016061536287054,0.7448117644846743,0.3530643804264296,0.18596607705489027,0.6889337247495327,0.5213237710611471,0.2671865012989079,0.08647646025731828,0.7636187791911303,0.8594879676150984,0.38535994356820935,0.4259601201240745,0.31091588423736,0.4669769632788,0.4897670024901566,0.544205610032419,0.8189305992456947,0.045697214953924745,0.74530664140146,0.6671601913916563,0.7816527876727758,0.7039919356253567,0.24861502045851977,0.6465400703402392,0.3558826199118678,0.8245408786006584,0.7802857801680383
Thal_PuA_R,-0.20894023916562715,0.6786840388440926,0.4032584227765615,0.22264569647089522,0.3242513853209516,1.0,0.0463210506759613,0.6146061745899084,0.36028688653892693,0.5016982186728017,0.3850384677866704,0.28867312417182456,0.045140411973033784,0.39409583890082256,-0.08562376434355347,0.1467011079507412,0.380567175830435,-0.06455054818329138,0.6015231483066633,0.24821810514889084,0.10411884913945639,-0.01007525778242607,0.040291792178253925,0.4548732886389803,-0.08548857134779218,0.3619462008062018,0.3426774806639886,0.16217245015112247,0.10273293704280193,0.5594307565503363,0.04881166686853596,0.2964116045586629,0.3892236121664191,0.44876775093380056,0.2522813797741484,-0.37216579914502385,0.6042344185891283,0.15332866797993247,0.7796396348912038,0.1857191724590297,-0.2644379913055133,0.34884778186325854,0.5009639625037958,0.18638598904765932,0.39444798849671536,0.45993026311819674,0.5242486031804742,0.6242363002424499,0.1502553229181319,0.06435374369334465,-0.4667629532067162,0.44789818618769334,0.4971335754307459,0.03518928410880712,0.2579099867071325,0.3990381111521706,0.40459717676556967,0.36834668638261836,0.14622698075452936,0.3207749439402088,-0.34336856904907104,0.26366017280520043,0.38215170889256095,0.49917365328114827,0.5205921741445096,0.5752145972213342,0.22353496366612377,-0.11488138009322083,0.31296080718674196,-0.03956797337564834,0.47105564074346884,0.39714623507624774,0.21057608539393893,0.5321723779082592,0.4091690560328656,0.2800954391846783,-0.5190060369634926,0.5071023702361875,0.36700090648759703,0.36972692841781657,0.04812993455466541,0.4290281476919981,0.6135259242971507,0.44083211918736875,0.00361755183673707,0.2516158978869036,-0.015625201620250696,0.4758374639819078,0.3748442540530904,-0.017049668746849777,0.43231287000113783,0.12220270856141553,-0.07137060619340743,0.1271415761590565,-0.09193359614980957,0.19398282684409007,0.23000402193001698,0.4743894688862153,0.19048801957387124,-0.3866352973304208,0.3742266270464672,0.4595055268705635,0.42308580244032234,0.2037524189498938,0.18962896281498628,0.18357926692928717,0.4751513992307256,0.1139467350481383,0.261728333836784,0.3907509935822994,0.5380267466490968,0.2813300806290499,0.46599384914942826,0.3624498279449545,0.5345694237495572,0.2949966420267431,0.22943564898815952,0.6553247510806121,0.45152760908974876,0.40151577823379925
Thal_VA_L,0.5234087608165913,0.05185049123621942,0.4751884295317605,0.32371136617621954,0.5582526176401598,0.0463210506759613,1.0,0.2833643823965827,0.3619041092555718,0.14130304352578243,0.4825876783789487,0.23051816075887185,0.22645030340796396,0.43236969473216663,0.6585482916371092,0.2183866269588212,0.36392909984215505,0.21507317904323198,0.042267611682265734,0.4010166299775015,0.5498678000933996,0.6009246548943851,0.36418916263074064,0.2776204659599789,0.29758853693145987,0.5098459670567249,0.5239277841953891,0.5028439298513865,0.47988552831777104,0.12344329414592232,0.18830443955556178,0.2735966974441632,0.33342742063163533,0.31495859109662794,0.5478665513325084,0.26490917471108405,-0.02016240028087973,0.5845664963189818,0.09078721114420828,0.5329062299295042,0.20416115208878444,-0.23481130507076453,-0.11229793446838908,0.19754430305577728,0.521863135581584,0.3373954310678844,0.36605997724046513,-0.14977027089121814,0.371933825758787,0.19199288880739437,0.2470063783817002,0.2847885696525242,0.4322681958168943,0.2564803219975128,0.37439643331851813,0.38371358181591214,0.5242778468236098,0.507505906476234,0.568786280110485,0.5250308104642095,0.37729524697913436,0.46104206199289555,-0.1708351964409114,0.25629992056932527,0.2555058604340757,-0.034978937763807116,0.3855264068636163,0.49169265901654646,0.2821776226214268,0.6751913484648211,0.5225761471446292,0.45563520431798865,0.23120117869419055,0.056651706120412364,0.4600675959441055,0.35260210251233753,0.3417575208765589,0.441894328427889,0.43256957706592486,0.5122007308906339,0.4330234249658571,0.44787158679925626,0.393182769420726,0.42503022299381443,0.23273763987005433,0.5493245899112111,0.5946966783151099,0.453530841238595,0.4016543980306383,0.5291591690848171,-0.006395530406610289,-0.023196551124113594,0.5408373313100717,0.602770403239567,0.5546173894347858,0.13471818948422304,0.03528816868885789,0.43484153674703113,0.44682211877863715,0.2964916665887701,-0.0730435690956561,0.43725120412004315,0.4899916706901275,0.31546485114988376,0.3865189118878272,0.25479464474391694,0.15668974968474375,0.4158552378929161,0.318111078851872,0.5629271809395555,-0.1741459788017302,0.5181298144761304,0.3172148532553298,0.44592863361256746,0.40861185482885143,0.15189219793380598,0.5523872222869792,0.033832996163377566,0.5009081060628247,0.5165840260746326
Lingual_L,0.0475992569739821,0.5035391411888919,0.7503284266874334,0.43109208523345094,0.6054062080986996,0.6146061745899084,0.2833643823965827,1.0,0.5625574491356615,0.5058423139742623,0.5742603521438371,0.6520847633729348,0.20561693855852922,0.44919834682340065,0.22488324518278388,0.3048447419009624,0.4888968335451797,0.2193857528084,0.7359343927603906,0.41953610896614874,0.3473022593695691,0.08384961024051182,0.2735782145304834,0.6034576584650935,0.1946065469555208,0.8249440954543292,0.5845477674080211,0.3160189695746207,0.3871777290296571,0.8678170715250692,0.18766821480851903,0.7626172813339421,0.5915168972328064,0.6128602503398725,0.49118156980648686,-0.054890384891839596,0.6966643265216989,0.508212955842428,0.7173624164165838,0.5936056328364335,-0.062328049046916995,0.2961186087656593,0.6397369670007884,0.17367382873326587,0.8156387449641609,0.6929484667434133,0.6107747659132685,0.35047563322669695,0.3285539505365109,0.31906625099502794,-0.09495165455458165,0.5973415062472358,0.6758517905451907,0.3575912605737132,0.6331186647239702,0.5778734422708549,0.6211355542705888,0.6191537939058006,0.09387985340276264,0.6727908396232449,0.1002171432272676,0.40114607385189893,0.29186867190753457,0.7839224214536991,0.6584778143722892,0.7037170595207609,0.33648115053321725,0.08777069473415726,0.5333655126603264,0.3211373865398103,0.6166719358899642,0.600197894745065,0.5167835230646615,0.5594315393869405,0.6069926706812491,0.35159494322767293,-0.2894705720941541,0.651006152057645,0.6128950626891084,0.5474999828216202,0.25107306007704633,0.6358336528322118,0.6900653168361084,0.612316886835931,0.18507274698473275,0.5660463972077767,0.2683194390612339,0.8473918779153179,0.6125660321127269,0.07611043177432783,0.7414267547318114,0.3359121502282294,0.31184433753080715,0.4994887941728867,0.22851003140727558,0.23587753317887342,0.6000483196479443,0.5603805335854797,0.16605794180466105,0.021006770338020772,0.44664091456417604,0.6579455786949963,0.5795461032028507,0.09139375302877646,0.2395138605302157,0.21315647195494644,0.8605627585642828,0.08967855469983715,0.7732410136249073,0.6284706994364813,0.6635801474910148,0.6518126368742507,0.5337836320330503,0.5745206542406224,0.6496689648443315,0.6282012868780464,0.5179073555959367,0.6529171624762383,0.7162820154707055,0.7195287246622801
Thal_PuA_L,0.25961149883942397,0.3953676151310477,0.6744586131937034,0.5021209379627702,0.6890338794859971,0.36028688653892693,0.3619041092555718,0.5625574491356615,1.0,0.6258856544372384,0.6843656125289298,0.39655749813565927,0.3611311163891943,0.4750749539013524,0.438215653687855,0.5430066862551117,0.36637315015129324,0.4827661686422757,0.5282029642843316,0.3434608973159149,0.5704757404784597,0.13859320776471995,0.41172784560130143,0.6498551089240924,0.47607194031881417,0.6203218458036944,0.8573171295661797,0.2799137218803672,0.6283660352349494,0.44578183726477133,0.3454654309775276,0.3989466950811031,0.6571040843796119,0.5685205486360769,0.673153538712742,0.41652594139378374,0.4933850637229887,0.7151990913556919,0.56179133332483,0.7006152074915243,0.12181531643807512,0.21146975687957376,0.41035606879145936,0.2621002419387262,0.6872095334510648,0.570623350575048,0.7116932442008563,-0.05317195455843612,0.3501980642871837,0.49762059560235183,0.3878593773667122,0.6175835715453161,0.7018474493316998,0.40722928534882746,0.5895462069857768,0.6673105332987144,0.8173865360241405,0.7191744883710556,0.14398857853459246,0.7618538020937935,0.44343078397277713,0.7289755930631541,0.21622009602663148,0.5347620630456106,0.5918496310583092,0.4241416556608835,0.38892490339295466,0.22934606427497825,0.2489744127590827,0.5022291167846485,0.8202829815937712,0.799727318167165,0.256005928755944,0.5296724609212786,0.716913126540675,0.40764075466587224,0.03990648381334728,0.6857674888704164,0.5944637484750984,0.7850611311939275,0.26082799849281724,0.7184283771967,0.4964754688326431,0.6892009247305548,0.09939605911295042,0.607547908487769,0.3738252735761599,0.7155957846478157,0.6671436005590713,0.2896585055278065,0.36521747675219274,0.5484643222431999,0.38845857651714727,0.6267660725236853,0.4876113582375736,0.2987652881039556,0.26591233064353914,0.6903133373462912,0.22135252920928478,0.417224819358992,0.20038959800043915,0.6908268923533479,0.7137325991678748,0.10307745306672614,0.34183889752605634,0.25979839507284996,0.46007850705857345,0.09277677657153577,0.6071980555403197,0.7285112743750128,0.09870829404053919,0.42136188627832455,0.6177931658947267,0.7980781236780052,0.6664891803501226,0.2051761623150738,0.7016871798457626,0.624131867464191,0.693287901467796,0.6921989530191468
Parietal_Inf_R,-0.05875769066832095,0.4901585320075846,0.4313150970498423,0.332556687816954,0.5274527088267048,0.5016982186728017,0.14130304352578243,0.5058423139742623,0.6258856544372384,1.0,0.6023911690134263,0.17064492892508937,0.3476620010651506,0.3496338742918324,0.20445288468205203,0.44115032872947657,0.6798762038632149,0.08738049980014863,0.7783359161081249,0.1937451733297834,0.26940892112957426,0.022149111227202405,0.17619474857627693,0.7381780692938869,0.2887538451080929,0.4581565695811694,0.5291373046532445,0.22614742296768964,0.41279350830330347,0.566177298475667,0.07692842070993668,0.2765302881621889,0.5328230051010584,0.5306579394672262,0.4942597988133947,0.08472887263892671,0.6903410525812906,0.44903663653629744,0.5694895384244699,0.3946522547871911,-0.008755783774955289,0.3743679759459244,0.6358453223548104,0.4221948655218235,0.5558327922077841,0.7781382339080108,0.8864087188876271,0.34373884351827017,0.29293645985353595,0.22738149068126506,0.02577788851260145,0.544013518089091,0.6708764076102813,0.0063373635065648625,0.27521701969388856,0.5642692890737023,0.5473894742816233,0.6240693059408113,0.04546486206001456,0.5757336713514799,0.19256369076219637,0.4684795372231747,0.38883929080818597,0.5160077471679371,0.8268632716174659,0.5871775887419062,0.3481508569372099,-0.0012271793153646776,0.1163783578360167,0.1736383701557076,0.5251085169322358,0.6698575174148468,0.08012196110844773,0.899248560116744,0.4782784033018484,0.21956265680349726,-0.15349335119231258,0.5920946793486273,0.5592313754751159,0.6101098962133245,0.07156601266659944,0.5740883688941533,0.3586148464686311,0.7163905973742514,0.10562853774089029,0.4003875096493645,0.135496758827048,0.5268599229827946,0.4955369881204105,0.1429598498884147,0.5200735654050497,0.49882483679778244,0.24953338457799862,0.2980340269390895,0.18525613163432425,0.35042873290195586,0.15235789824610949,0.5880995220744779,0.170544060065636,0.12687970309051994,0.3393785953897123,0.7420975263591912,0.6083509190096302,0.11768834018096903,0.11954765326363308,0.06930682940509719,0.5353046666250396,0.12261776676565429,0.3617202748955945,0.634575638762622,0.21693446606128575,0.19922062557568182,0.7994227080221871,0.5105540942432526,0.8222803311873466,0.05469780060578685,0.4412373511401911,0.5658288750807831,0.4256278506396441,0.49132845983169193
