,Fusiform_L,Frontal_Inf_Tri_R,Insula_L,OFCant_R,Thal_IL_R,Cerebellum_6_L,ACC_pre_R,Precentral_R,Thal_MGN_R,Hippocampus_L,Cerebellum_Crus2_R,Pallidum_L,Amygdala_R,ParaHippocampal_L,Temporal_Pole_Mid_L,Postcentral_R,ACC_sub_R,Occipital_Sup_L,Precentral_L,Cerebellum_9_R,OFCpost_R,Temporal_Pole_Mid_R,Cerebellum_Crus2_L,Temporal_Inf_L,Calcarine_L,Raphe_M,Thal_VPL_R,Vermis_1_2,Caudate_L,Fusiform_R,ParaHippocampal_R,Vermis_7,LC_L,Supp_Motor_Area_R,Frontal_Inf_Oper_R,OFCmed_R,Parietal_Inf_L,Thal_AV_R,Heschl_L,Rectus_L,Calcarine_R,Rolandic_Oper_R,OFCant_L,Cerebellum_10_L,ACC_sub_L,N_Acc_R,Frontal_Med_Orb_L,Frontal_Sup_Medial_L,OFCmed_L,Red_N_L,Frontal_Med_Orb_R,Angular_R,Frontal_Inf_Orb_2_R,Cerebellum_6_R,Thal_LGN_R
Fusiform_L,1.0,0.5400491288400281,0.46975006400407693,0.3463649079472168,0.36171270320365717,0.7643023266542167,0.5535249456905076,0.48170639015981476,0.3604441034705851,0.8001891559129994,0.2553106505020217,0.22780335991773334,0.5266857636797704,0.8087329987878084,0.4089880809869822,0.43857024644285525,0.38240178555432025,0.283377949721462,0.49223118922698816,0.746696636210263,0.5768361863397632,0.412867327346973,0.5020525940800816,0.787550825218115,0.4031154632449491,0.38236556460325744,0.7100988590250177,0.41502621002837975,0.7159319480226591,0.747110128542802,0.760825785982766,0.43074573273189737,-0.015297588114464892,0.5373691616914722,0.6090735549329469,0.1508792740101315,0.3696713421464939,0.30059588875744614,0.5660440108342667,0.40418135983979164,0.4240285604064262,0.47666638063486927,0.23881008130715844,0.5964968853359133,0.3942687493688847,0.1722752589485409,0.19687796549375508,0.5420410700106543,0.14259956047834127,0.09486170929413512,0.33549870361173945,0.20504685636497286,0.3994871562070424,0.6324997863431218,0.5768841389769358
Frontal_Inf_Tri_R,0.5400491288400281,1.0,0.65000563622173,0.500216662056622,0.36626513782652803,0.6850262587151777,0.7697987006218282,0.7752799183286346,0.23053616472849348,0.6641154255939083,0.26067249998890235,0.4127201263162684,0.42093489938055584,0.5460956524415868,0.5102729422705151,0.7758860354522575,0.4726334377782501,0.31107675853538647,0.6748267418751004,0.6703077576073873,0.4975539778015099,0.2624833183609663,0.08709437042876615,0.4401362472798355,0.39721559079220836,0.21867308755192225,0.7092135646639293,0.4408645513678937,0.7019888842658611,0.5098025483111894,0.7010573284131096,0.17972046217539941,0.1440322161248334,0.7829751240040099,0.8748477278345985,0.3530624965832014,0.6234532258707154,0.21874419244504598,0.5415884994272526,0.4012459856269109,0.40417474863198133,0.7137253663083508,0.169717676279807,0.6099313055788222,0.4318184722474309,0.14910531808796165,0.15406698423582738,0.6950806394095451,0.35733619744568784,0.33038819915049733,0.21751822370241203,0.47047812105315073,0.6209351479863066,0.4229454930974678,0.37140755152085886
Insula_L,0.46975006400407693,0.65000563622173,1.0,0.3616570697346694,0.45870945258097473,0.5815547663462064,0.5753951960460469,0.6241765730479268,0.10986947461699038,0.5806508744756453,0.4660300561370705,0.1896111814283163,0.39623867809619584,0.542714026854139,0.2541286852959453,0.6145293068794718,0.379889021185511,0.5122296780587386,0.6950473647281282,0.6713791733737596,0.6133892861993803,0.256858832318768,0.23682336086042663,0.3629102248436467,0.4291406494162658,0.1453675490304096,0.6251479859085192,0.5130262110695945,0.5123591650759779,0.6013964037663397,0.6025834054989812,0.2630472090363866,0.20511554302775642,0.6431825476075709,0.7125232830608863,0.24241363547624128,0.6588715405781486,0.10672291987483018,0.49608385614326633,0.3354998887881664,0.4383903291846957,0.8005096902416408,0.053757345622212405,0.6263810694684637,0.2011602335280291,0.4361126319264386,0.14171010826794272,0.6750401226930831,0.28123766288505053,0.43418984141640343,0.09549431084205322,0.4985657781962248,0.7305388125876764,0.45374993688691445,0.24038618175121598
OFCant_R,0.3463649079472168,0.500216662056622,0.3616570697346694,1.0,0.07694213530795761,0.3157278627506946,0.6709496552136134,0.3458434137564708,0.358887016348652,0.5458801851541807,0.17399013005426076,0.6067807505021544,0.6119122210092797,0.560514055846113,0.7579563643629802,0.36560628987403543,0.8277595859505258,-0.1906471326817063,0.34120846771105673,0.38606703483430665,0.6581263599465325,0.15350101115627376,-0.24692031448003224,0.40635657191578956,-0.06444832521307771,0.3258018075485904,0.4023335929467454,0.1934139344949497,0.6203378393123176,0.1599292803399624,0.5485087517383002,-0.13398655612223312,-0.1366246967106475,0.34461661791182463,0.37698303523456705,0.717215372254786,0.31101955673033577,0.23658596192152284,0.40500614995112194,0.7996211642539607,-0.09320948486819987,0.2916928825007293,0.2983740023498782,0.4643617674738117,0.7883680534924589,-0.11590112012075297,0.38750090921558067,0.4443230497615332,0.3802304463723424,0.3663625098644616,0.48580732612784133,-0.03153614243262726,0.5916191686512046,-0.019623747834152203,0.04392469395000533
Thal_IL_R,0.36171270320365717,0.36626513782652803,0.45870945258097473,0.07694213530795761,1.0,0.3601235853074283,0.2243072684850181,0.5449882079192131,0.19329282293086458,0.1467899893138554,0.28875915832772,-0.23775158515030712,0.09075896423935172,0.20730132482128535,-0.10824429545695793,0.5106371868903944,0.0002645295765498239,0.4878457418908055,0.42445022087250356,0.4738898347594769,0.4045910118794332,-0.05482038473375919,0.2579479694872758,0.24931321590668074,0.45283279410414595,0.3933724066977058,0.5711438821903692,0.19165238147352806,0.14681990392533872,0.3315258968508095,0.18111188063902905,0.4420599746510054,0.5304592424415862,0.42072662040900083,0.5121497907852609,-0.022593640544547232,0.4808850998388332,-0.22132438225002304,0.05688046858341902,0.24601802775064024,0.36399914937806543,0.3196235024177959,-0.355405215330894,0.35463907480582957,-0.12143874089228415,0.6338248547868777,-0.19729804125611072,0.32181264680853455,-0.20415421824021357,-0.11660183070264128,-0.1193676542293168,0.4886768393783992,0.2096903151362676,0.25401095783455546,0.2238264951366441
Cerebellum_6_L,0.7643023266542167,0.6850262587151777,0.5815547663462064,0.3157278627506946,0.3601235853074283,1.0,0.6174626729219846,0.6859088089811641,0.37865551508183226,0.6995698521860889,0.4583647835922631,0.4571597798228861,0.37110176225529257,0.5996480436041487,0.5030190044633133,0.6276631382933873,0.30239522950804837,0.4397359017266238,0.6953810514349559,0.8653291088351194,0.5080309800071918,0.3862274904348041,0.4884077338711969,0.5220900493212286,0.6037210985066471,0.37865969438214003,0.7043542625056608,0.5529202050413327,0.7028317403442577,0.79470835040377,0.7586873410335316,0.42644293767061303,0.08928683317482229,0.7448322461224794,0.7075161390699728,0.244542510038536,0.5943341104617423,0.27033199824679593,0.4862350269229696,0.33024616775427446,0.6313055920907207,0.5870113895066729,0.20078040272361353,0.702170607328471,0.3386716980313337,0.10704186612366481,0.0582935886722208,0.6438249830971249,0.20921618465189126,0.1677253819757823,0.15797438964000865,0.4286136832606302,0.4014145408707836,0.8280607769066125,0.43272465316160624
ACC_pre_R,0.5535249456905076,0.7697987006218282,0.5753951960460469,0.6709496552136134,0.2243072684850181,0.6174626729219846,1.0,0.6605032384246948,0.3286935148776397,0.7961866254725359,0.38128596858821034,0.5773290697142086,0.5267840952384854,0.7027054656443437,0.7383930420789587,0.7029659304472521,0.6715816049608605,0.2168565381355571,0.6863970483876599,0.6957024042839752,0.5439206554970047,0.309088671419068,0.08242346428951974,0.5606614503732132,0.287670719822452,0.26644405349355565,0.7458823589527338,0.3619648829612514,0.822218915572426,0.43045621560883035,0.7081479723082693,0.0726001438770389,0.0733699939755706,0.7127380184354978,0.7066348307818108,0.5983229483465874,0.6498332962834652,0.23231754614151215,0.5501017049043246,0.5153536104943395,0.3096865953077886,0.612302562449956,0.2162420197569285,0.6321319709843732,0.6497931008735712,-0.031376028819938284,0.3138968851575603,0.8360035660373583,0.38683501804000503,0.525968904274209,0.3624049690098999,0.2884202466676018,0.560945209923713,0.3615001579804622,0.26998005607137826
Precentral_R,0.48170639015981476,0.7752799183286346,0.6241765730479268,0.3458434137564708,0.5449882079192131,0.6859088089811641,0.6605032384246948,1.0,0.3151813267858419,0.522970992591159,0.31240717957863806,0.29493167597789427,0.28296178075836564,0.4567180389765833,0.3346533213577348,0.9561619200883613,0.201917059117732,0.5496256697974305,0.8860840788327103,0.6841068574101904,0.42438848263362045,0.10223503164000347,0.15384451916279376,0.4236520460380816,0.5287580849032093,0.28326043954973484,0.740060327087653,0.3937308284554069,0.5441828013549289,0.4863823553409613,0.5892448369346444,0.18010811381946035,0.3909504613022947,0.9167450433274235,0.8607088111537309,0.31622523049152323,0.8232724200562264,0.061149825229010295,0.4265835281832491,0.2274587929785554,0.5083464618058359,0.7177810891639175,-0.024365256424151875,0.6432693874441947,0.16126502125945436,0.2982926610193729,0.06824482513423565,0.7333764233584094,0.13069590643900267,0.3595391481789133,0.13367873023365393,0.682566404965387,0.47346999700332476,0.4641638360321497,0.3020951689185202
Thal_MGN_R,0.3604441034705851,0.23053616472849348,0.10986947461699038,0.358887016348652,0.19329282293086458,0.37865551508183226,0.3286935148776397,0.3151813267858419,1.0,0.2501038752870175,-0.0303359930908994,0.34554447092465934,0.021442086776375952,0.318925577401953,0.39279938674404785,0.3243492313581632,0.3109135519112726,0.10830661609446741,0.27568667068412417,0.3826356567409784,0.4025607816781073,0.09894891074528227,0.12308175786616099,0.18510420171250194,0.22910873151807445,0.26290174777454595,0.29272024500924965,0.1355990501243504,0.44114926474207355,0.36197824385986926,0.30241743998023596,-0.06831444612225533,-0.08503381564543755,0.28713539541638916,0.283211741875273,0.12734111101978354,0.2983775848623502,0.3702844095543127,0.39465599373773264,0.3417341880218905,0.28978927963278084,0.066889671654778,0.2722406685339886,0.3860541706662099,0.4078946997123208,0.2117012226303745,0.008894563587303025,0.3342646403826658,-0.11534960591374926,-0.026802938337607878,0.1971570139804696,0.13129617782409334,0.2949465340524919,0.34347246619533506,0.2930213892510517
Hippocampus_L,0.8001891559129994,0.6641154255939083,0.5806508744756453,0.5458801851541807,0.1467899893138554,0.6995698521860889,0.7961866254725359,0.522970992591159,0.2501038752870175,1.0,0.3204388530946627,0.5022300001744788,0.7249609441205357,0.9026145034257831,0.6631195003247612,0.5596898142982141,0.5674891502700543,0.22721596221755977,0.5916807236155366,0.7553579816200446,0.6262533518156883,0.48617061758530306,0.31864112445430165,0.7174154822090076,0.2838571539775446,0.2662391474722586,0.7453117791570646,0.42329858240319634,0.8587031398023826,0.6233767679419536,0.871284591720804,0.17685515751823264,-0.1370823098825668,0.6319034205968925,0.6326989071707415,0.4584453917402793,0.5250196397947996,0.4164234257991103,0.6256833754796483,0.45360170683648543,0.31791770110810125,0.6201069849384808,0.39787077788981806,0.6418417734081444,0.5503729091050956,-0.028807014881379045,0.30538734244545396,0.720566508013176,0.44367285112050087,0.46782173983934916,0.36256016066490737,0.2307645535990422,0.5727271587793855,0.5267770267580001,0.49550538351490914
