,Pallidum_R,Vermis_4_5,Supp_Motor_Area_R,Olfactory_R,Temporal_Sup_R,Insula_L,Cerebellum_6_R,Frontal_Mid_2_R,OFCmed_R,Temporal_Pole_Mid_L,Hippocampus_L,Cerebellum_3_L,Thal_PuM_L,Paracentral_Lobule_R,ParaHippocampal_R,Vermis_9,Occipital_Inf_L,Thal_VA_L,N_Acc_R,SupraMarginal_L,Cerebellum_4_5_R,Calcarine_L,Temporal_Pole_Sup_R,OFCpost_R,Occipital_Sup_L,Red_N_R,Temporal_Sup_L,Cingulate_Post_L,Rectus_L,Precentral_R,Heschl_R,ACC_sup_L,Thal_LGN_L,Temporal_Inf_R,Thal_VL_L,OFClat_R,ACC_sub_R,SN_pc_R,Red_N_L,ACC_pre_L
Pallidum_R,1.0,0.16524525299995835,0.3333770554117545,0.43213281261036507,0.4423197759707835,0.3142937615027752,-0.33192670078981357,0.21979936901713193,0.6050032131471942,-0.5755990324044354,0.4770911168630462,0.45677019423522724,-0.1599274290181998,0.2825507861314765,0.6595153380484039,-0.49788777729584766,-0.4763251552405141,0.19259577659842814,0.028752729429114623,-0.4676292137433945,0.29000442905588836,-0.5081402113175689,0.05865321116495233,-0.03225581797433249,-0.5293805898590177,0.1494878392035583,-0.23232109473836837,0.2447219441154182,0.6233512117836599,0.4517049851346754,0.3884569314530738,0.10221212135223999,0.04230203054140404,-0.35237492449263463,0.5479958705508765,0.7336546480418175,0.44195866820045665,0.37033938629154173,-0.1479905301950957,0.6870970280194512
Vermis_4_5,0.16524525299995835,1.0,0.16181171230383318,0.23421188105343843,0.013893177790933638,0.39336359161883167,0.3068142228095819,0.31389743920716157,0.14780205430165533,0.20998921719157343,0.4859482842380264,0.5137370225244314,-0.04753924077014861,0.4384899173447091,0.235177149359701,0.2117417078134113,0.16015203393316227,0.43807450728790837,0.023999817852845648,0.23414272139150938,0.599791027809219,0.09656615316678914,0.21388026175557848,0.3027089284661865,-0.0082773184783787,0.16745570205694443,0.4308123981847203,0.18841912966920613,0.15198817161323688,-0.1243643609521941,0.2718052864669242,-0.05009227129521714,0.23928986440829628,0.11597824663440569,0.35632996226286606,0.004226650780705454,0.19007192539239004,0.06704724931997058,0.17815779864962072,0.09845159459970881
Supp_Motor_Area_R,0.3333770554117545,0.16181171230383318,1.0,0.43586188940883047,0.6317889938995105,0.5126890891411274,0.2652040788438882,0.26392475569335444,0.18288709248348095,-0.28852826666270354,0.15366975477423525,0.15444619898487075,0.2772600632519871,0.43022148145696054,0.36863010163198606,0.06453250248951391,-0.06721074542340714,-0.07785667793887545,0.10429041362189143,-0.3991459432433568,0.2574403814908778,-0.0028647626372881093,0.45629604396116236,-0.0654081213381361,-0.11266336409685634,-0.011320597877805063,-0.2605956784697832,-0.011710456827310816,0.35663671602715447,0.6106269808205032,0.2184515584812467,-0.39035838549118995,-0.056358500835455225,0.3267857412136817,0.22329209587740415,0.3072149789279146,0.04826247100597966,0.39719941538763937,-0.11571167319460283,0.33867636853302646
Olfactory_R,0.43213281261036507,0.23421188105343843,0.43586188940883047,1.0,0.3118781884258404,0.5997143180044654,-0.05243191977940058,0.2863479159812304,0.6106681022924755,-0.12252947913438506,0.5015822762690811,0.4981373456365017,-0.2488923774648124,0.3752843708189727,0.6026134408241488,-0.007573221668128822,-0.21078485088809631,0.06561039614613469,-0.11753708580637437,-0.2329348852810266,0.36222157517250614,-0.43262687724769106,0.40969696093905195,0.2695576108374141,-0.3965753028494422,-0.09338260202585037,0.11368051852982251,0.13011494463330164,0.5143632227622477,0.1418309262718398,0.1566683727297306,-0.15858740169554889,-0.2868974438500248,0.17804705709205593,0.4796272687041624,0.4485322432016834,0.30347079067045296,0.5231582353554828,-0.04121172790602726,0.612949448388916
Temporal_Sup_R,0.4423197759707835,0.013893177790933638,0.6317889938995105,0.3118781884258404,1.0,0.3071928135337076,0.3232482884855373,0.09975048687365413,0.2598162415335036,-0.44952022611474174,0.09256793146316873,0.0877263414318622,0.5332499703162116,0.31848328075441684,0.5462673946132377,-0.06396175118856572,-0.2369270507915888,-0.08510992739537444,-0.03686024894814532,-0.7669925689688596,0.18964187195867188,-0.009914625012231148,0.600620569166329,-0.3067056393914664,-0.23226696801567245,-0.0669359740599369,-0.4273788356257687,0.06505551551864329,0.49453254887597414,0.760981937492728,0.21598624014942552,-0.40929362471636865,0.07014102964664759,0.23454210923229799,0.3563082359501476,0.5079950221345125,0.20774020313569497,0.3406432755482929,-0.500967938650121,0.4396814042758365
Insula_L,0.3142937615027752,0.39336359161883167,0.5126890891411274,0.5997143180044654,0.3071928135337076,1.0,0.3492330309541842,0.4941140126018854,0.39809563948332566,0.06091457352133846,0.30437317089238713,0.47871397841569396,-0.11410529955163187,0.49513459029138157,0.3517467691273496,0.35121727311062817,0.22314341156432943,0.2800422330194024,-0.16362987587182987,-0.03430016076023348,0.47605504932286025,0.0411044566013078,0.5377522385920814,0.5187351578498827,-0.06698247858004706,0.02012037774962958,0.12032298643175961,-0.0604777831281147,0.43291943852177034,0.016879085200346196,0.5084251403191276,-0.42538884555315065,-0.007598615268667007,0.2626536096659554,0.4662321946041165,0.19476089692610832,0.14981437558074603,0.38322643879927293,0.023950621344396898,0.3574197730390742
Cerebellum_6_R,-0.33192670078981357,0.3068142228095819,0.2652040788438882,-0.05243191977940058,0.3232482884855373,0.3492330309541842,1.0,0.11655523015220766,-0.21174114537890035,0.37944545426300597,-0.1742720513784335,-0.05760517052948081,0.43948486125435915,0.3984504771234736,-0.12320943098651545,0.7093584607450211,0.4885885985584162,0.07910477474786122,-0.10475184113499789,0.014020036263802028,0.2927365552332368,0.5836020814899101,0.5421706734413179,0.12105581728957222,0.343497348768219,-0.13085714101732432,0.09210417182273731,-0.043804148276528336,-0.05937937539089196,0.010005475171573746,0.09987420544582926,-0.49509483221469575,0.16853416959596204,0.582029359463713,0.01746911436511278,-0.3341482953559137,-0.22155591138595776,-0.05627965161016133,-0.1778350724244107,-0.26527365497269145
Frontal_Mid_2_R,0.21979936901713193,0.31389743920716157,0.26392475569335444,0.2863479159812304,0.09975048687365413,0.4941140126018854,0.11655523015220766,1.0,0.4182073781893548,0.12401749354127493,0.4491064090696109,0.5409664120253679,-0.17644629003768678,0.5063516970378364,0.31654758376703424,0.08016582846988472,0.30400071280638596,0.5405339789813038,-0.382834598465241,0.11466316319034285,0.3874068574524179,0.20654542060328387,0.33780771700373957,0.42781301063659194,0.09833235950218043,-0.08457263350089106,0.40266355157809425,-0.14106283420083182,0.44151670993699177,-0.051701591059579236,0.2853532576629296,-0.15502721818298776,0.06609808433276747,-0.15355513130665507,0.3678174416201685,0.12844871526682583,0.23238249154507415,0.14343795058853515,-0.07669472543616314,0.3085952899215389
OFCmed_R,0.6050032131471942,0.14780205430165533,0.18288709248348095,0.6106681022924755,0.2598162415335036,0.39809563948332566,-0.21174114537890035,0.4182073781893548,1.0,-0.2767963459042695,0.5644643562404357,0.5824211535360502,-0.43474384954502493,0.4258091722541348,0.733726226191243,-0.33430695398991467,-0.31854964080944786,0.27270923889720367,-0.4202837056782939,-0.3127143222981601,0.27068243486569776,-0.4527997456053135,0.08403029910495093,0.20956491550884956,-0.624351468847075,-0.13015059219251324,0.12781470275303392,0.04054750781669316,0.7489159450339723,0.16784624633758222,0.3632171801629873,0.036584387464435375,-0.17796517328519257,-0.38769040522442094,0.6883825147205472,0.6816789795511569,0.5487669591776354,0.31668103562153577,-0.3209443996965833,0.7615833097378726
Temporal_Pole_Mid_L,-0.5755990324044354,0.20998921719157343,-0.28852826666270354,-0.12252947913438506,-0.44952022611474174,0.06091457352133846,0.37944545426300597,0.12401749354127493,-0.2767963459042695,1.0,-0.14097255517972243,-0.038375334180667735,-0.12761560946881542,0.03778722683434811,-0.34650158645695484,0.47981923067973203,0.4454718147141434,0.12036995552272331,-0.09987720886573732,0.5321842259669185,0.1599677999474443,0.31338708129031473,0.11927658448079446,0.3918182461398106,0.39227998080370996,0.0030631275994669185,0.39773354264190175,-0.24080078191972326,-0.3431787609166406,-0.5019697223730653,-0.2760520472091868,-0.059127526906824206,0.15618704293555713,0.44392903240432857,-0.15627591448655098,-0.5946493440398573,-0.20761021309839547,-0.29436052478165475,0.2128176108168323,-0.4778380603471691
Hippocampus_L,0.4770911168630462,0.4859482842380264,0.15366975477423525,0.5015822762690811,0.09256793146316873,0.30437317089238713,-0.1742720513784335,0.4491064090696109,0.5644643562404357,-0.14097255517972243,1.0,0.7300355671250762,-0.235382442821934,0.5146649890462415,0.6903445550529282,-0.260791641059658,-0.25412260294837924,0.34393185640416435,-0.3438702256149743,0.07687860997630168,0.4078427366334152,-0.31771015258291657,0.09729021164611942,0.18544579543603093,-0.3054386493112296,-0.1262539879623655,0.5722735420772458,0.41790934488986614,0.620812091518603,0.011247100922596662,0.20295475451058398,0.27352873446591247,-0.07860874216361749,-0.26972084022981807,0.43161902303478134,0.44155055425002976,0.4546220073075756,0.42475397217458943,-0.13677866043206027,0.5514241628081507
