,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_L,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VL_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_VA_L,Caudate_L,Parietal_Inf_R,Thal_IL_L,Thal_VPL_R,Frontal_Sup_Medial_L,VTA_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_IL_R,Postcentral_R,Cerebellum_9_L,Lingual_L,SN_pr_L,Thal_LP_L,Red_N_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,ACC_pre_R,Olfactory_L,Thal_MGN_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuI_L,Temporal_Mid_L,Thal_VA_R,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus1_L,Thal_LGN_L,Hippocampus_L,Thal_MDm_L,Thal_MGN_R,Cuneus_R,Thal_PuL_R,OFCmed_R,Vermis_10,ACC_sub_R,ACC_sup_R,Calcarine_L,Occipital_Mid_L,Cerebellum_10_L,ParaHippocampal_R,Thal_PuA_L,Supp_Motor_Area_R,Parietal_Sup_R,OFCant_R,Cerebellum_3_L,Temporal_Pole_Sup_L,Temporal_Pole_Mid_R,Cingulate_Mid_L,Frontal_Inf_Tri_L,Frontal_Sup_2_R,Caudate_R,Thal_LP_R,Cingulate_Mid_R,Vermis_4_5,VTA_L,Red_N_L,Raphe_M
SN_pc_R,1.0,0.40836501618008325,0.14002912980382562,0.4827375069443166,0.020652279844534677,0.3863286576342437,0.2493188285439886,0.1953873221394564,0.4750089528299197,0.39879116405953435,0.12307878716071166,0.21618974192180426,-0.0089295229211562,0.15251493604481048,0.13786715351416087,0.2923389427530697,-0.014294795009953511,0.38027827958237154,-0.0970035222487793,0.27460196380444196,0.30572591053133585,0.41136536884221114,0.10472347248565826,0.19531203268706865,0.07661078650404769,0.29480069341697124,0.30867967892489584,0.12268634947420633,0.1004915008306141,0.05655109414008708,0.24423906675506976,0.2977865102509294,0.11844167003245565,0.21408248315019146,0.20293530744038424,-0.15259668869650167,0.16840623663758844,0.3356322303009944,-0.09877485928843589,0.40667738940065634,0.41710410770525547,0.26412987716672875,-0.18040512585505386,0.41384024719470275,0.24421904811927903,0.2100615514968545,0.16140815746154583,0.34261247479338053,-0.08595104813213648,0.3320090097485435,0.4214597200224435,0.24054160515702785,0.15074306782413197,0.09626726692210302,0.24966312565218332,0.1985078299172326,0.2918102490176156,0.6570473280531527,-0.07978567412103435,0.2045685545444878,0.36758406261223736,0.48417224686048477,0.2150067897784955,0.39523776266859895,-0.19872826719916423,0.418496444960187,0.2050459090421709,-0.009928855700415367,0.21693246187818452,-0.10725974220526688,0.34580383271645204,0.17807426827354952,0.23768881417548104,-0.132424415609996,0.19867556033623288,0.16919520665224266,0.3558450637274915,-0.09846515223582629,0.07873081264780632,0.22412526465849325,0.4481930067964738,0.5456304056995385,-0.1219339539287029,0.2600744195370125,0.19449672561843692,-0.26706120440590153,0.15949737845758288,-0.20411687233668788,0.32688781638596204,0.27088313409665854,0.14384048189542742,0.16317594988806308,0.31943020283704804,0.33748868220399025,0.3792156268943518,-0.05761190939936515,0.04466845747806583,0.24670177995705822,0.18437771330745253,0.34865246693734664,0.30416460814425694,0.33178116271039293,0.34981069920013125,0.44473759394388845,0.34385080277987007,0.26222127152362595,0.1715771839391177,0.2683586699608251,0.34076359241195814,0.21609234530782542
Thal_MDl_L,0.40836501618008325,1.0,0.2285881772784101,0.5585198345910597,0.11616850353096352,0.5930545345665874,0.10153686329960676,-0.020269563732347815,0.1949999648188966,0.5279994625214622,0.23485302915451323,0.6072477793898914,0.38714064153954,0.04017874000369622,0.27543615026425367,0.2727034901969551,0.6120813932736201,0.6259062153809366,0.24148231422884048,0.13774152327470385,0.3114997366754984,0.20112094176416337,0.5857060416262582,0.09141952500207975,0.06772587550132894,0.5334118789840149,0.44602749777199063,-0.05660161379701947,0.1408291231251076,0.21688297926383499,0.24849894938808775,0.4588388207586686,-0.031517491942196094,0.5005667789656348,0.43226933235826254,0.20615250360064336,0.07508524392340668,0.08622228484872911,0.1613528920541952,0.21930387807954665,0.19354862416418597,0.6978139733708882,0.435332787423495,0.6616002858743742,0.5019942028338862,0.30312225431107936,0.35155387921643105,0.6921941349287823,-0.045483843708151166,0.562192013231441,0.6193051387631066,0.4014130323205257,0.4024594040157978,-0.18135873681455078,0.30584318870229,-0.1338058724522424,0.2701845980153722,0.4366119924436077,0.023494676742892392,0.08775784837147778,0.3629900330913119,0.43592667392528955,0.3970110933423304,0.3839296768121678,0.18382833741261428,0.5168478046663829,0.565247236023894,0.1659513125432194,0.3438390626499022,0.21388223511962862,0.3942187272274713,0.3357864839642705,0.4488121465824774,0.47791092469852703,0.33100024816996904,0.41087067098636487,0.2342644499399247,-0.009576171632579369,0.1812443666822176,0.50444021920392,0.7042988086250456,0.5643458414561329,0.24410102589363147,0.2849583208781788,0.3432486460983851,0.2512275756910499,0.35376218794633296,-0.1275633834781862,0.6601365790433424,0.40535827084523685,0.07594755293867676,0.1261259638628123,0.39009335432351566,0.36682300611379753,0.45511402257428474,-0.07550120465042809,0.19350119165572838,0.39196077844668287,0.13148723563644726,-0.021855724842738764,0.4113806270435344,0.5121962881283272,0.1569022919880146,0.5855417725930883,0.4842543099981985,0.4085651517147331,0.5067063050570941,0.034212947149838656,0.4062982050474406,0.23565255948031638
OFCpost_R,0.14002912980382562,0.2285881772784101,1.0,0.13786574589053965,0.6277513259774375,0.5086943694219384,-0.002899647726456662,-0.5287097230003402,-0.16578870373124707,0.4649229158630391,-0.46366818348673206,0.6147368383549014,0.6102142571645046,0.15923277630450405,-0.35704803929230283,0.5259935395351187,0.21129442867435616,0.43201787855104173,0.5616193767819629,0.20507894670132953,0.0501240917560447,0.5815259395259121,0.337278052821762,0.3165270225203741,-0.5358852819451203,0.5934766602721493,0.4560235649127817,0.3107240563251552,0.3509619727836874,-0.06389880369716097,-0.3249353017283892,0.18845031989901226,-0.07169852973539088,0.568560377120986,0.20974269779153834,0.045353173107666664,-0.4904874377691777,-0.34231682038372924,0.5506708603687435,0.38830040540021094,0.31604291319361066,0.5433581454431823,-0.08895775600869066,0.153274207198662,0.24345522482687865,0.06955605211364775,0.6290073845513758,0.49674256561350116,-0.016809515217746335,-0.16830041355819017,0.46864167114706645,0.6940651900248471,0.6247969741178506,0.24396551311552786,-0.12445001674006875,-0.03881097321535479,-0.4023824654440931,-0.0033501914830697693,-0.016075505886031554,-0.4905240960949185,-0.36758460725437603,0.5434987431140605,0.11710754904350935,0.04055706667820189,0.8022410767576243,0.06649763707166441,-0.15112175224872906,0.8156667523210346,0.8060591227409006,0.13768910306255763,0.5844120940922896,0.4087645965409091,0.1694125213060313,-0.04749225439452705,0.7471214191279745,0.2318038584260667,0.6524067029553777,0.18159337145232995,-0.5255570758964051,0.040500816178897406,0.22486494879346017,0.019402178892030456,0.6525511323372065,-0.0993725858599741,0.011461128140588502,0.4631784027541306,0.24759476497556052,-0.2763443475497151,0.5097592789210448,-0.31732410949239004,-0.3231828175483816,0.33226365275678593,0.5027270061901856,0.031706098363750275,0.05575230703186063,0.20496055647265854,0.8643533633091336,0.45458035097334926,0.06998205594126825,-0.1426467223445775,-0.07507133855128813,0.3095008456432428,0.03080025546715752,0.6123327448584771,0.3670704045459852,-0.1663995878578785,0.2963862174541302,-0.32664414887502213,0.3078659746788454,0.03483429903030133
Temporal_Sup_R,0.4827375069443166,0.5585198345910597,0.13786574589053965,1.0,0.11842934762998768,0.6783328670334466,0.19069697878778852,0.08157968577850518,0.4539413952711062,0.24511702014442777,0.11338018439368426,0.3553292017033429,0.26869645498358397,0.19769953444625146,0.1909732946950334,0.16069996719960256,0.26629379144744875,0.6480331393785191,0.10192050912091441,0.4569590130480109,0.25998751048718943,0.3300028973121934,0.2999676640802222,0.3565644703330746,-0.0001288702496592766,0.6431946084817236,0.48474429300468,0.14737715529015274,0.2758947500314503,0.4193548219071717,0.18681607594488195,0.5765203179300603,0.18514427668627087,0.501723679295886,0.609395044067551,-0.024360646046267618,0.1032704976135865,0.45244566204306896,0.1872816327143675,0.3557165508377178,0.4010049176973158,0.4294638019979211,0.02157763666775305,0.6481234645913777,0.7157201530676641,0.34286084317426313,0.3903043047576187,0.43163478156302504,0.040191751047686144,0.36911987099226845,0.527509834314471,0.3553176052768383,0.2752547642210122,-0.0049764452919216495,0.3869775259917014,-0.04594979667352314,0.3122143711287089,0.5116144334320364,0.13527995642985113,0.03873204355928405,0.2969644513441793,0.28308130575704804,0.5326111614907653,0.2988794814079124,-0.08046571800710599,0.76488158297517,0.3580291504680275,-0.007674289653676119,0.15886904250271425,0.2462170083653332,0.5101157583357743,0.4873610687748256,0.3210581234359537,0.042578139038681226,0.368786179590005,0.5654613269946314,0.36128731619822024,0.16145082226911248,0.007480617215915092,0.4303337584469733,0.6333689751930741,0.7345708155780074,0.15206950703842118,0.4115411032818934,0.535785391823428,0.1504374256112417,0.24266532688965173,0.012974185322263115,0.5767260013359948,0.45741262989733544,0.039149529022284725,0.32710931188847064,0.6186464678308697,0.37384173831096695,0.6245695114132624,0.04275594407539733,-0.008128159450869725,0.5461254033929215,-0.1828389180087394,0.09141362571089669,0.730327952520876,0.44424722974085934,0.3701236870993962,0.7340752523570306,0.5181244149639963,0.6422111832311225,0.5783434185648387,-0.03911407276425233,0.3997927086167487,0.37451288266938987
OFClat_L,0.020652279844534677,0.11616850353096352,0.6277513259774375,0.11842934762998768,1.0,0.33264538029022733,-0.10136008414218398,-0.823670258405967,-0.36835201652045413,0.3477698018656094,-0.6375644850833279,0.5001434078654324,0.7843386396611303,0.5466774269491342,-0.5524052142157383,-0.0038954559531633546,0.2553657916121385,0.38702209346832905,0.6437767174072988,0.4115805979580278,-0.1137924706903343,0.6748814262863688,0.33223631395229,0.49634939741355677,-0.7835431019038563,0.6658804649140576,0.6246112530426463,0.5569454957997242,0.5994830619280221,0.09871893868859616,-0.6479812172377596,0.31870423266773434,0.010097705497216215,0.6842953580733208,0.3441620796555189,-0.17800128938022142,-0.7669169221369367,-0.14136251561441068,0.7815695295428222,0.5920182603530805,0.48887137705105804,0.5545432807497671,0.02737046543857128,0.10486329361365795,0.2796587854922845,0.13205108671444624,0.7474376984808054,0.3996144920626514,0.3127332157633738,-0.21055604666098265,0.46107836030729865,0.5255685639130957,0.5462737501961822,0.09926484377483097,0.15502062386826182,-0.3528799138165433,-0.662265992801716,-0.02678031308193966,0.1505794810031162,-0.7314844046410683,-0.6534470325330712,0.670084904151703,0.1458586502585196,-0.08579337791544327,0.5628372805737941,0.010313307735006475,-0.21861313138140412,0.6141053877363843,0.6897337437316856,-0.08217680055963048,0.5431729286239916,0.33549213029187397,0.18966748983231227,-0.05542789976447635,0.6588602720647332,0.3689388629476069,0.588775204016437,0.4287167289862214,-0.6914634611606735,0.19870570883246036,0.3067103367478159,-2.3702978843496032e-05,0.7693572706240173,-0.08622961548481144,0.11221835261469694,0.5095569317131933,0.13506943867840931,-0.4283638216047786,0.38122187688480275,-0.44247206495135444,-0.5869328877287973,0.4399710047383585,0.6836179702967667,-0.07214337830997389,0.26696437393188677,0.5250027472117312,0.8131907205499368,0.7203416074929981,-0.16787971335661833,-0.5471861682884506,0.049435197746590887,0.38582321684338766,0.3513205589898421,0.493080573498232,0.20817674069211198,-0.014654417124381876,0.3479768644665876,-0.660247004423878,0.26523038977456936,0.027306310098059682
Heschl_R,0.3863286576342437,0.5930545345665874,0.5086943694219384,0.6783328670334466,0.33264538029022733,1.0,-0.06439940579219905,-0.2131000208639939,0.15888520809291753,0.5617637347334662,0.05119544475807042,0.7348514158651273,0.5932594069826104,0.05596626584092355,0.14161482774946282,0.4191439971886671,0.582913532039869,0.7012387267672612,0.39757026660898903,0.24932536728749832,0.47146248660780554,0.3785132811656566,0.5076538125767948,0.22064281986357723,-0.13073010834628765,0.733471267444776,0.59223581150561,-0.0068671779996343895,0.22430737760147432,0.20185999690296108,0.050199520091533376,0.5694520136651036,-0.1289072202297839,0.7205424270976759,0.5053913288987503,0.09312808852952988,-0.07651922041803218,-0.0023159860357688648,0.4280547418104558,0.3526305035227952,0.35773712980654504,0.7086796736527554,0.3236933344762576,0.6469759165985693,0.6552576279200477,0.13936586653965008,0.5532584593493705,0.741410858853513,-0.10682787059069963,0.20902996170078222,0.7099445188431326,0.6032319825990706,0.6974692824372098,-0.0302138596669122,0.004117390183971003,-0.15191709773903492,0.1236034790016187,0.3452391855546701,0.011470100321312892,-0.13925805388899928,0.057906874889216496,0.5097765414823037,0.404438508924735,0.2926783603263724,0.33577771860328437,0.4971141022708947,0.4517247415655242,0.35811732724743667,0.5410941112536036,0.3157275732950307,0.5698810914629164,0.40924388946057305,0.45908275610893134,0.3264892657718751,0.6878078027063435,0.5984234744924389,0.4231424977523448,0.019553679834701708,-0.03526722852597142,0.5150390543339438,0.7587474582048933,0.36155530193302193,0.5195402667593607,0.142307093000288,0.3319018752340346,0.3727232397417561,0.29751802694167884,-0.12006655446696891,0.7435053942570337,0.21488977222374334,-0.21316871818525002,0.24935886537294186,0.5925879781034944,0.2215212304720737,0.456165584389507,-0.06139185132491318,0.3922912297874708,0.6208080529136684,0.1320586391825222,0.026601448050709568,0.4347032001950279,0.5559434757040633,0.15772670587256446,0.7872947359890818,0.7376553060674211,0.3773127557023148,0.6101973637339477,-0.04586744423724618,0.5718760172979653,0.28857229166827647
Cuneus_L,0.2493188285439886,0.10153686329960676,-0.002899647726456662,0.19069697878778852,-0.10136008414218398,-0.06439940579219905,1.0,0.06575563147130249,-0.1430255169940375,-0.08794613891315908,-0.2601342160178645,-0.03554373620387037,-0.1266435988131834,0.4780055827164462,-0.1912358040209653,-0.2793305791973505,0.05076741822358891,0.19045852054862594,-0.13155583242703064,0.4763390308049782,-0.2520201460486473,0.021068665819238528,0.13689740149413102,0.5104086476664814,-0.1097680044707506,-0.06107896555532439,0.13667108626645733,0.5439313014286411,0.590824070564046,0.526986349731849,0.13299099537680317,0.11361422415322318,0.8860608596187436,0.04251181914373948,0.4927841521761789,0.09854902106470305,-0.1610177661266087,0.36495537041247933,-0.09769272256603422,0.19955182837606594,0.2781847014967118,-0.15400338710974132,-0.24499035345331624,0.1257709394618513,0.34823905779171144,0.8073520120143053,-0.2758427587614463,0.057504169541716006,0.6411705896169554,0.5802676809785774,-0.14633126506021019,0.2898575462207615,-0.18563335841996467,0.11033170577744038,0.260663534158308,-0.059557178505485774,-0.10286159623048527,0.5571288411248483,0.5853702228807856,-0.008510282136354432,0.40175262328919403,0.06932334642860834,0.32316476259720955,-0.040853621424452605,-0.19720332177515,0.17060068964361183,0.06286047635162403,-0.0013734357894138313,-0.10444431085684408,-0.3078574525676777,0.411901537373267,-0.06654958560013205,0.017142868711393772,0.13542134182962637,-0.34329250816679135,0.016867047290167823,-0.13590125836459577,0.598553474022873,-0.14341439962966798,-0.39820655813188616,-0.04082069374928623,0.4843879669063271,-0.3254498493702974,0.7796650856368019,0.4032139815308057,-0.12930120742171244,0.578457000402599,-0.1642702878177407,0.1069261655763775,0.48324279388678865,0.7259158988360489,0.36418425474703053,0.008017638990046323,0.10416941144510021,0.46592771577466374,0.5811476920779128,-0.043859082554188425,-0.12864035937505797,0.08121708082412116,0.0718579503134161,0.47336550081402384,0.07515343098276947,0.4404029773289329,0.019372834292826973,-0.1302176395632556,0.41871307509103295,0.2760967923156897,0.25710957326197836,0.016152118511471636,-0.25558158592530617
Occipital_Inf_R,0.1953873221394564,-0.020269563732347815,-0.5287097230003402,0.08157968577850518,-0.823670258405967,-0.2131000208639939,0.06575563147130249,1.0,0.6764572792457013,-0.2571459621115366,0.7868389022423338,-0.3491678503029724,-0.742196841144335,-0.5191823308595375,0.7337523924384753,0.25593047227301186,-0.21702432545950137,-0.12254863691529465,-0.5437130508732195,-0.28344723413037354,0.35726988018059086,-0.3755214990539586,-0.27179082264884674,-0.39115492319492673,0.907518706410784,-0.46783694604752296,-0.4997229630673654,-0.5725158671640136,-0.6472723156712349,-0.1275924436182817,0.809849396189126,-0.06921466899575589,-0.05652584251846373,-0.5883393577668485,-0.2682645725678635,0.17192276473869467,0.937992915563411,0.16843208763987685,-0.8338292044234349,-0.2782144828209775,-0.18629851961487323,-0.3468138834506079,-0.040257828833931905,0.08570285688888354,-0.18263157992481083,-0.1639210193655694,-0.532676780253136,-0.2421545315161072,-0.4331808133029263,0.23231768416144932,-0.19162102374798437,-0.2961048654673844,-0.5015197900430273,0.1827160856079947,-0.2440752382836583,0.5788200307875258,0.8775085859514965,0.17176808723193557,-0.25712441483745746,0.9176516072789348,0.7747034491598288,-0.5833947282472643,-0.017736428410493336,0.2973429645196486,-0.518417610941701,0.2999724043665609,0.3623509674305791,-0.4633356551948839,-0.6284460602503119,0.10849492709152193,-0.34646575516304506,-0.31068979505796995,-0.08119526392506489,0.014724923375967647,-0.44446642266699865,-0.20794136694080967,-0.32286156251838083,-0.6083439574252095,0.8033942964658747,0.0706224309474891,-0.07875086698990513,0.13369837972613158,-0.7183741243115954,0.16506284350280698,-0.019371611522406906,-0.6679488037836183,-0.09625611112247882,0.5633079507972594,-0.13201674922790882,0.5635618036148116,0.6091218065630185,-0.43453914628192514,-0.46883729824165804,0.278853980814018,-0.09411765972936824,-0.6615708266362476,-0.7240191929278345,-0.5412991135040949,0.31319172545457585,0.7048404402675633,0.03551567405919704,-0.02519367463021693,-0.0922553712242906,-0.2548941339478625,0.06084146274068202,0.14894082357528812,-0.216218173853417,0.6491622826880246,-0.03479467263011594,0.2553951115326809
Temporal_Inf_R,0.4750089528299197,0.1949999648188966,-0.16578870373124707,0.4539413952711062,-0.36835201652045413,0.15888520809291753,-0.1430255169940375,0.6764572792457013,1.0,-0.016809619942058162,0.5948255474784283,-0.12956879805314403,-0.34961359426385774,-0.26023755037491775,0.6119710581641652,0.5030644409239781,-0.24254346927127085,0.1322848941159213,-0.2520689502510185,0.029888147816043334,0.49729462603836044,0.21115373702348764,-0.2984529468908374,-0.14018416661583905,0.525028284451175,0.12472811710181886,-0.06931660202807818,-0.29200936062531635,-0.4448164878315452,-0.36412388514181415,0.5022563785680842,0.15921201894987286,-0.2455108872790988,-0.1789382776069528,-0.16555784855260539,-0.10848419739501548,0.711175811580347,0.264472968798101,-0.485556780221802,0.17571695680397617,0.1840621951951573,0.012223503117816456,-0.16815089727709692,0.29008791802922806,-0.12054389582388832,-0.1464504795656044,0.05063206432897209,0.045377503221145095,-0.656233367756313,0.03936370422520819,0.2679401326225713,-0.09147067143451024,-0.11231113523363867,0.27533431112842727,-0.0030112747750160544,0.556669306159574,0.7925449338315467,0.21861469815968446,-0.6050723041905759,0.6469874701974191,0.4587395210974291,-0.17300763435812655,0.06897618046959315,0.48143430786454555,-0.22941288317351816,0.4334897306458807,0.22722853172171406,-0.24438647619739312,-0.2681350352652533,0.22573282061327568,-0.11634784688700052,0.038501233506509656,0.07643462502116917,-0.26283491760382094,0.0718954703892644,0.10775656947362629,0.3367017307842168,-0.6032819831876635,0.480415598595946,0.41778553008549824,0.252353573620713,0.3223942890378632,-0.32615571247355507,0.09409051185770138,0.054719874921110544,-0.4391141226123553,-0.2500860578069564,0.36851590817028806,0.14643052588464614,0.3357905905338993,0.14009143799108562,-0.31172481489123954,0.15253506029393088,0.4575849010359576,0.08054040308708717,-0.6204726028977627,-0.3099960357733133,0.0832587831534538,0.01435347780720108,0.5483748955344453,0.04850440062338701,0.23212500098747413,0.1082733813423904,0.2173185330728177,0.3472433340405052,0.13953504991586982,-0.027146088772809975,0.18099920664663316,0.20766319584687748,0.44364232357463673
SN_pr_R,0.39879116405953435,0.5279994625214622,0.4649229158630391,0.24511702014442777,0.3477698018656094,0.5617637347334662,-0.08794613891315908,-0.2571459621115366,-0.016809619942058162,1.0,0.07710755945833063,0.7167079190005391,0.609477254665434,-0.015591269410867388,0.18053284912217524,0.36447102922394214,0.5484209058870815,0.5050147353299074,0.6116510739425841,0.014878318641200658,0.5104569217292775,0.26194006288180266,0.5049276256830146,0.040795066071952865,-0.0697889022306503,0.5746766174584546,0.45979750545917214,-0.09287690386141959,0.1210151896404859,0.08074841428495196,0.11880186611818101,0.4033162767594691,-0.23483043924590843,0.6127858324644686,0.34451096901454087,0.4684838385123043,-0.09094757244756531,-0.28921074159022503,0.47715017565179435,0.2503363200196963,0.1960534467053954,0.7352943912899227,0.49838522749795017,0.49874343017418993,0.2961698472777424,-0.016964151670778076,0.5261716207460012,0.6316236508692694,-0.11299269678492,0.11956300648943248,0.7010428665824696,0.4732593492161049,0.6708509140554663,0.07768536656718501,-0.1237689557191252,-0.059189344945276355,0.057088836842527996,0.1940378765992482,0.0004972869241771778,-0.107043677942848,-0.013043429275090751,0.6265195797017497,0.16008684138750992,0.4922135886466736,0.3524728335529238,0.3519104129448339,0.4468012849328166,0.3991129094763543,0.6757276289809848,0.03821105175432441,0.37633547251838695,0.25339182356471834,0.4617682733899244,0.40768616341673103,0.5252415145031876,0.41433010099865747,0.2736060130468724,-0.08027208403221817,0.05683015640232604,0.4391466990626977,0.6318932022862399,0.11273755532315449,0.5314991237968771,0.040764730201505305,0.04980061298470465,0.33540132089747704,0.38082430890324737,-0.14119999343868792,0.5493637491253055,-0.03040080442418644,-0.1638344376987439,0.2399950194080105,0.48058112164691236,0.35852870196258235,0.28763725015077535,-0.09515681920176022,0.4222387955869366,0.44145915755782933,0.3027822494341207,-0.05819033645475443,0.1516837880385551,0.4515170739719509,0.06158241944715625,0.540055931529961,0.5026067692802189,0.08838143580287212,0.429227318864043,-0.09610920609388142,0.7006952594778904,0.30665089059050527
