,Putamen_R,Caudate_R,ParaHippocampal_R,Thal_AV_R,Pallidum_L,Cerebellum_6_R,SN_pr_L,Cerebellum_4_5_L,Occipital_Sup_R,Vermis_7,Cerebellum_7b_R,Supp_Motor_Area_L,Frontal_Sup_Medial_L,Heschl_L,Frontal_Inf_Orb_2_R,OFCpost_R,Cuneus_L,Olfactory_L,Caudate_L,Thal_MGN_L,Temporal_Pole_Mid_R,Thal_AV_L,Postcentral_L,Amygdala_L,Rectus_L,Thal_VPL_L,Cingulate_Post_R,Frontal_Mid_2_R,Cerebellum_4_5_R,OFCmed_R,Lingual_L,Cuneus_R,Cerebellum_Crus2_L,Calcarine_R,Postcentral_R,Temporal_Mid_L,Temporal_Inf_L,Hippocampus_L,Vermis_9,Vermis_10,Cerebellum_10_L,Parietal_Sup_R,Precuneus_L,Rolandic_Oper_R,N_Acc_L,OFCmed_L,Pallidum_R,Thal_MDm_L,SupraMarginal_R,ParaHippocampal_L,ACC_sub_R,Temporal_Mid_R,Cerebellum_Crus1_L,Occipital_Mid_L,Frontal_Inf_Orb_2_L,Cerebellum_Crus2_R,Thal_IL_R,Thal_VL_L,Thal_VA_L,SupraMarginal_L,Olfactory_R,Cerebellum_6_L,SN_pc_R,Thal_PuA_L,OFClat_L,Occipital_Mid_R,Cerebellum_10_R,Cerebellum_7b_L,Temporal_Pole_Sup_L,Frontal_Inf_Tri_R,SN_pc_L,Thal_PuM_L,Vermis_4_5,Frontal_Mid_2_L,Parietal_Inf_R,ACC_sub_L,Occipital_Sup_L,Lingual_R,VTA_L,Occipital_Inf_R,OFCant_R,Red_N_L,Fusiform_L,Thal_PuI_R,Thal_VA_R,ACC_pre_L,Cerebellum_9_L,Thal_Re_L,Cerebellum_8_L,Supp_Motor_Area_R,Amygdala_R,Thal_PuI_L,Angular_R,Temporal_Inf_R,Precuneus_R,Cerebellum_3_R,Precentral_L,ACC_sup_R,Thal_MDl_R,Thal_LP_L,Heschl_R,Thal_PuA_R,Putamen_L,Vermis_8,ACC_sup_L,Parietal_Sup_L,Thal_PuM_R,Raphe_D,Vermis_6,SN_pr_R,Cerebellum_9_R,Vermis_1_2,Fusiform_R,Frontal_Inf_Oper_R,Red_N_R
Putamen_R,1.0,0.060897545044968825,0.023607371218830185,0.19372127518425467,0.13444921942923777,-0.04840126927577552,0.07332244472160056,0.48501553818778365,0.39093517076223944,0.017897093402280597,-0.0453748317792678,0.5316020374919173,0.1803957334844174,0.4848438778115876,-0.20899763916430458,-0.24603938707004552,0.3405248035198426,-0.019554973855742834,0.379248974698442,-0.11508651667211774,-0.2257118534044634,0.3346775705934597,0.23112071577578194,0.16810929602711755,-0.45327004235071644,0.19173277800226954,0.3260057520528502,-0.00530507838676251,0.35446265488657486,0.1603338975457255,0.2724270671506015,0.3907524324392411,0.012849935194653793,0.2939827109581931,0.6055181208945316,0.5484873103549781,0.36385566657981283,0.34636211360631874,0.009493944478075927,0.45088398244962524,0.27112998791534765,0.3195982792594353,0.3152107507625954,0.5653801168696766,0.012632817441841427,0.04572983461287451,0.6388788893751324,0.30113392469246664,0.6238541900230736,0.2738649013181867,-0.030026048317008672,-0.2633162804035812,0.10675949577840016,0.3038955875207096,0.22996634951405603,-0.22828256900079377,0.4381469547460774,0.19245382770108102,-0.16920558792066587,0.32279784722478655,-0.1719432148967693,0.09143199705131161,0.013360993561042965,0.00019981917722088934,-0.01542186401638317,0.2064755148723184,0.297597953395774,0.345976414148394,0.14546409646169287,-0.03182854321390588,0.16399613435190394,0.22965515432861966,0.35370385815285166,0.14895689029233736,0.5528194529406011,-0.0895819673289864,0.42656264499708196,0.30175731435943487,0.2126335043869168,-0.06917983355288146,-0.14853802703694266,0.09406770537851639,0.441597999409908,0.3217875329781648,-0.14425350367906525,-0.17599783126157886,-0.06256720228207857,0.06207289874921802,-0.0007735632765595491,0.532951625347917,-0.4995527804068309,0.3290419647877058,0.39853828775588707,-0.37801980089072856,0.3546834217763941,0.22668510118670154,0.2554422622798178,0.27903831932861195,0.3865518765485,0.3690791706095148,0.20699758752813666,0.09388131320358971,0.08502220960031771,0.014500823158686619,0.3061323283856385,0.08753935423472835,0.17805210004859062,-0.036297010177053717,0.0776381144271776,0.11214868230675828,0.002231073460438751,0.34758009203922935,-0.08250812069269224,0.2633805878332126,-0.11979860246195709
Caudate_R,0.060897545044968825,1.0,0.7655249689315966,0.12225415343998582,0.15508717088348767,0.03417319173609083,0.5607166170517938,0.5071395528566017,-0.002785945054529206,-0.24962902417922175,-0.3031006825474485,0.5713332380942356,0.6740546070852849,0.5790654743717224,0.6319376233046311,0.6123327448584771,0.019372834292826973,0.5839654367596917,0.739393611451381,0.33095428887404404,0.006421875051760623,0.7179230145967738,0.4331847833655637,0.48842788684047744,-0.027874851361065857,0.8009410018284766,0.28016239941231946,0.5496445778228319,0.7770938553970412,0.31742751489412085,0.02640969622081013,0.20619092355624283,-0.30973717804652967,0.08384613857085152,0.1176943683756237,0.08726558525449868,0.10481577552130647,0.6751972598365132,0.04220123220004188,0.3718103607789068,0.44026073329892684,0.08467298567926772,0.3582944144448015,0.6639135556167516,0.5637482714326647,0.5513528052166724,0.07460104166179832,0.5479411168181813,0.28951422079216255,0.7212562154975717,-0.10854988806691805,0.2967739092179965,-0.19909763590204,-0.1887110758888794,0.5513734013324023,-0.05678785955187281,0.4275470473921242,0.7883103185157762,0.7091479607685849,0.43398023888217063,0.6327352134671741,0.004660782863079098,0.44473759394388845,0.34247119537322324,0.493080573498232,-0.04419787198863254,0.686077754101089,-0.029533103852112504,-0.005427380473883866,0.8386197209588607,0.08680521870858908,0.5643933237156875,0.6771982800272632,0.5596323969060977,0.02105301762747561,0.5840426233455875,0.18747396685434306,-0.0003423371422750974,-0.21399798310599213,-0.2548941339478625,0.45680584608838964,0.49770705155310263,0.2951675754300064,0.6515827919195007,0.7678276237925525,0.42773634101572233,-0.20931077793884034,0.4689823102295166,-0.15486922669339442,0.5016671079791061,0.3678312040502513,0.45236584233377525,0.2121444446234325,0.2173185330728177,0.33442091460742435,0.6552759364729914,0.41123532776353605,0.7597693689048949,0.4973237859058987,0.5178221964340982,0.7872947359890818,0.4298530217815709,0.38179643332414126,-0.11259199785101157,0.7830653067243524,0.20609323876537408,0.5285930013055652,0.2981919774763517,0.01654680023488751,0.540055931529961,-0.2178243832058622,0.6298738121068644,0.29012263394713506,0.6722001752374028,0.23981787327905166
ParaHippocampal_R,0.023607371218830185,0.7655249689315966,1.0,0.13637047004443673,0.27861627769279124,-0.17034863356208974,0.6284164026839554,0.3012189405901811,0.041154489525921885,-0.5214631590835217,-0.5201809791241588,0.5227623648659362,0.5309816224973043,0.4074200697957993,0.7633909525281103,0.5027270061901856,0.008017638990046323,0.5566439622871523,0.594668601800198,0.10860597862083893,-0.2990868151741925,0.5656460833796879,0.5998748214189048,0.6871123631803676,-0.19051827904873472,0.7272065659215626,0.24050637521187795,0.6648869169338402,0.7391491258095029,0.4548572099855944,-0.271076539135925,0.2147328877863338,-0.5384712405357056,-0.19414548276752813,0.0004735179196488188,-0.04988319711677572,0.024137403307974994,0.6106892067186367,-0.16221704488683014,0.20216405413024713,0.45351787374905234,0.29181549971926984,0.5322327148213333,0.4812761777899023,0.5873438231237874,0.4930343634168064,0.1425649156923667,0.3865722581800706,0.13176542228330515,0.7729201955305376,-0.21106277395801742,0.20415257757503508,-0.42207474969424297,-0.38046444508058674,0.4731793199929401,-0.16459876405815102,0.23441334456329688,0.6578782026968141,0.78099516120629,0.6012156666833831,0.6412933288936639,-0.20837522279577375,0.31943020283704804,0.2902667538582772,0.6836179702967667,-0.0809962568407011,0.7861666993534612,-0.3393640529623089,-0.2879230075126385,0.6842668067140033,-0.07884780586178958,0.4229339227158462,0.608530794218721,0.6316856197777858,0.08576774505962792,0.43437162659508843,0.2742690362645513,-0.30137381220881004,-0.5531832576184519,-0.46883729824165804,0.555386628483628,0.5096053816009753,0.07325044056646074,0.6938766393544753,0.6869212372252838,0.318986511616491,-0.43701793741075423,0.6144997235478717,-0.3255963636624393,0.5593105531682031,0.10029757984452284,0.3961962826939992,0.3550635035610445,0.15253506029393088,0.5555979885424115,0.5733068177149399,0.6429431952785367,0.5951898811147613,0.4714414836235874,0.38727475214043305,0.5925879781034944,0.3347732241294085,0.5407626940340978,-0.3346259668461014,0.5868496359644135,0.49657135981674755,0.43100881055203233,0.19570571705863107,-0.33175861000486306,0.48058112164691236,-0.5192961820319424,0.5082890175816052,0.1432078211686634,0.42196650247202455,0.22063711489503782
Thal_AV_R,0.19372127518425467,0.12225415343998582,0.13637047004443673,1.0,0.4832374772386233,0.11022995941428407,-0.07529566800787467,0.13388810546134067,0.4295214535160213,-0.015593603640064327,0.12381634130826732,0.24641679846662531,-0.15910483043084117,-0.17986017812765248,0.11322013166508117,-0.34231682038372924,0.36495537041247933,-0.2837798157362601,-0.1341450362579313,-0.0768311984002264,0.06890964826330837,-0.30261382569094336,0.28047067243949414,-0.15231945008739567,-0.10599145262780738,0.09463637951142162,0.3319976574477615,0.11166021918278862,0.04130995442426718,-0.26130874615474803,0.2363847953792482,0.37732858250623164,-0.02053118647214315,0.2132918910924454,0.17190476869883983,-0.2926147405065553,-0.33077269350868477,0.09369597070949466,-0.02014678026514353,0.025947343131701935,0.12685498570039921,0.2664945877338232,0.22502550797478038,0.22521392010933694,-0.2526684162107658,0.06712862575806752,0.37062617590590347,0.5988864032879657,0.27208127105457464,-0.047325671696952336,-0.11191093680454678,0.3904067067553115,-0.0523674326212189,0.20843825649981015,-0.29734227674736263,0.09778089746406855,0.4555512738668361,-0.23431462130502173,-0.16681661776096252,0.16498482291577532,-0.3664785710607521,0.03464940249686268,0.3356322303009944,0.08724022779496825,-0.14136251561441068,0.5985428748494523,0.09936313693743304,-0.0384376427651203,-0.28977695026964384,0.2988878931762986,-0.3142564887074578,0.16350992925142055,0.08674272947870286,0.1393718302611164,0.2538495878067677,-0.25166347505243025,0.4151265721310699,0.21596933998557016,0.054898406539056525,0.16843208763987685,-0.31842450126126426,-0.1408394425926345,-0.022206528332954886,0.01307361332844907,-0.21236973489218317,-0.40445109204442503,0.06750384989423633,-0.3763459841388229,0.09424010601087571,0.3415477348701001,-0.2897467284750715,0.06990743224823,0.48084095047180764,0.264472968798101,0.3043955980680108,0.19906813837458312,0.394833281219123,-0.01998558338869575,0.45259687319980035,0.21135352971705765,-0.0023159860357688648,-0.0018012676712242989,0.5040692988699612,-0.028524936634849687,0.12175425334253412,0.3173392204103529,-0.11035390248116174,-0.12271889245205637,0.01448595209419654,-0.28921074159022503,-0.021234892074122727,0.12105108967473731,0.19513094284975652,0.2506198437912781,-0.00565082962536503
Pallidum_L,0.13444921942923777,0.15508717088348767,0.27861627769279124,0.4832374772386233,1.0,-0.24471488559160537,0.24116479832444726,-0.017182535251684634,0.2987849317927134,-0.38734024432744496,-0.252853184922878,0.30447135899971883,-0.16240602868959603,-0.09561786875177078,0.16935442831605346,-0.12445001674006875,0.260663534158308,-0.07230370312195951,-0.011599359529833275,-0.1342752794741305,-0.27554993007392176,-0.16971939610328562,0.3948368874209306,0.16564244891952232,-0.3584759394571085,0.08355751534246342,0.1925782576635891,0.15924756180590746,0.129034783031125,0.18312796925813632,-0.032417900425684106,0.2174644663829893,-0.4184014366495925,-0.13703786776900617,0.16174823994670606,-0.26659447786274226,-0.3333638258738792,0.0067681141344038106,-0.36477512886428515,0.002544269177375087,0.277444680549071,0.43954509086906607,0.44785186746431255,0.24647907529148533,-0.22802641594234765,0.38181254704617124,0.6827382703453617,0.5343640582477409,0.18471977842105253,0.09029854907056925,-0.43126325777416236,0.11631258430639418,-0.4055803246053859,-0.07686753703590689,-0.16343423847984534,-0.11066405634436709,0.2925651835653848,-0.014328993195353561,0.07546762916178756,0.22386956931277385,-0.07311977694344012,-0.2802209873201458,0.24966312565218332,-0.015906649000275414,0.15502062386826182,0.22673924398410766,0.2622940662704428,-0.28879771679366584,-0.5946730377038263,0.16825236951162806,-0.36525617316655606,-0.07078209384516906,0.06025061034578008,0.11665758750723994,0.32839419682268095,-0.2934983711475123,0.40093938725939293,-0.14179598431145765,-0.29051384027364946,-0.2440752382836583,-0.03052316589227272,-0.2560228625878705,-0.2798954599336001,0.09730720063405127,-0.1315136146791021,-0.23732305328523187,-0.31099799935808076,-0.185938607030793,-0.2840318678688832,0.32530311448574933,-0.4380194936732378,-0.12043854178027201,0.4488697969080146,-0.0030112747750160544,0.45955694938672925,0.07137590698282907,0.480678501388457,-0.04042945250709659,0.6987323886226198,0.1968451305416696,0.004117390183971003,-0.07900039567233191,0.8069737412513873,-0.3490139874518549,0.03307573166576847,0.5030745608108688,-0.21055129913650447,-0.45724570091779343,-0.31967279431521867,-0.1237689557191252,-0.38350085496087744,0.04864962152066256,-0.13995799319719163,0.08043750805255859,-0.03080912947512066
Cerebellum_6_R,-0.04840126927577552,0.03417319173609083,-0.17034863356208974,0.11022995941428407,-0.24471488559160537,1.0,-0.36021340510137584,0.2709958515530514,-0.2612452320773428,0.8950657377995184,0.8133425345640438,-0.12001062620780886,-0.14537305212259813,0.008991915982354328,-0.23615805713064608,-0.4023824654440931,-0.10286159623048527,-0.4013057848473803,0.073340455319985,0.26131373319385603,0.6212783999527538,-0.04475689788972223,-0.3732317108532538,-0.6113665476084833,0.5141281395021348,0.06552598869307313,0.5240029695321482,-0.1499161922089693,0.061485701227733,-0.47166524743807464,0.7585867043084775,0.17719681896341052,0.8079285673941607,0.7898375057351738,-0.38479586772401,0.21138570789086114,0.24640290729972136,0.28910887848696404,0.8906868203019751,-0.05391415472841108,-0.4118499775359022,-0.7788116973517624,-0.6338413771376024,-0.03147940933393828,-0.2757683959007447,-0.15105554945312055,-0.37085443049271355,0.19689495347462335,-0.15556867981231237,-0.26152099881519464,0.5579207791983429,0.7619790033766602,0.8737790140542916,0.4305364865750724,-0.37238107421760064,0.847626629666343,0.18960688744758555,0.019471260253684335,-0.22289830442953898,-0.0676846331836704,-0.4057651246713285,0.9525373726080425,0.2918102490176156,0.43068952097464863,-0.662265992801716,0.3668945512466458,-0.24780112227147064,0.19611830725158946,0.29472368671045296,0.07484860198426828,0.27276620291479503,0.561805867887584,0.05315927031039187,-0.20496187109681308,-0.5920997834337977,-0.09385999199142313,-0.180192975634926,0.7036204709316611,0.5163186563763419,0.8775085859514965,-0.5839332044651954,0.24331265485380135,0.628543356794829,-0.0289085688990305,-0.15188001775643806,-0.451959660499368,0.898481162375059,-0.2986069038952895,0.8660152449534054,0.0656736309146012,0.41425163165250256,0.1648384932701278,-0.4152363725882037,0.7925449338315467,-0.5107118258069271,0.21043344939315092,-0.23394143314882382,0.15730484841778025,-0.26990315971604245,0.10313369512085731,0.1236034790016187,0.479650698593682,-0.10019321217302908,0.9135507184938901,0.13213970073508968,-0.6489821974968799,0.39823099019980535,0.6288065886815484,0.8470181559505929,0.057088836842527996,0.8849255522282546,0.38755016074766946,0.9306237327163481,0.47892533209910254,0.48523660206762775
SN_pr_L,0.07332244472160056,0.5607166170517938,0.6284164026839554,-0.07529566800787467,0.24116479832444726,-0.36021340510137584,1.0,0.20028189761350265,0.03842708415266891,-0.5390820748064334,-0.6154055188333388,0.3913945774890099,0.49691931708636655,0.43176569234489093,0.5494252298218811,0.5434987431140605,0.06932334642860834,0.6812074875580275,0.5745600117434394,-0.09667568379209049,-0.28731149551548074,0.5861755168770283,0.3310220200936388,0.6004856472750881,-0.3106035616843126,0.5009798996619825,0.0767690059602181,0.4899691759592657,0.5810293055212348,0.4165256664511214,-0.2582510469799794,0.11455532510873166,-0.531443378820599,-0.2840489466778376,0.10548173924490369,0.12247598818775049,0.14979240879681502,0.5072274272888093,-0.2828143297948518,0.23329754949946474,0.3616021314728224,0.3599421293275504,0.5113028066510984,0.3445393216414365,0.6112439332835061,0.3790734967255134,0.19429710832246463,0.24681085913953354,0.13235434410908675,0.7028435487506797,-0.5203675688993779,-0.12336754348760995,-0.4063402092487688,-0.3295215254564528,0.5968444446818809,-0.3373530495790431,0.29724308452590176,0.6304455918975614,0.5860358059076289,0.26900787119218234,0.6497833657632758,-0.28774862323385236,0.48417224686048477,0.1412683211958947,0.670084904151703,-0.2559491191942046,0.6202498493461667,-0.23031900848939507,0.029494090376256877,0.41119371630611984,-0.021118646130449985,0.24783552665525788,0.4177279012078919,0.5069256780816824,0.19798985944251632,0.3606280551269883,0.25721649777358085,-0.33256208000399257,-0.2611608982704496,-0.5833947282472643,0.6232385418075387,0.4409266183975422,0.0656891434303195,0.4618876132348592,0.541299340937033,0.4563248334398291,-0.47713905818290303,0.4810105671435567,-0.38680928485961913,0.3569556635302645,0.11087866117766418,0.2861587678928865,0.2708032468777265,-0.17300763435812655,0.4861361700222279,0.45155730870800254,0.30763555154781647,0.47828692267933887,0.4221646322407554,0.2728917651928074,0.5097765414823037,0.26215499245500523,0.27928756383343356,-0.387164436902248,0.4802123940780581,0.39358530939815395,0.2995749533672775,0.13314187683965975,-0.33888713251504454,0.6265195797017497,-0.5147538291171619,0.34635179184411113,-0.13795883984965857,0.14145096664182052,0.18185029237658598
Cerebellum_4_5_L,0.48501553818778365,0.5071395528566017,0.3012189405901811,0.13388810546134067,-0.017182535251684634,0.2709958515530514,0.20028189761350265,1.0,0.4475383552208054,0.17272342544500008,0.1312313571998535,0.6964066877200132,0.5870545557974063,0.5689152169622952,0.1619898404019588,0.12947985990135058,0.5352272467019155,0.1650236365003678,0.5608680769757981,0.13711893448015122,0.21601249881906928,0.5240897743959028,0.4550295630089549,0.09008966558346608,0.03055013937148038,0.46821205111862557,0.5322735225637543,0.35237453134366764,0.631186690896806,0.0020002835779978005,0.5766324175399054,0.6455977931019767,0.1381915102835978,0.6318120343385867,0.5465875207557173,0.4997706250719697,0.23106200213595582,0.5116179845335541,0.26392678034254735,0.7941948113121756,0.4788197642131606,0.15063253351659833,0.3663968684691289,0.714679250802499,0.2825123223769055,0.08472411746225927,0.237121472323229,0.5404202670662918,0.6490288425140437,0.43551689961549717,0.11319307920726987,0.23863136035255295,0.18770332730200584,0.538383766315693,0.3955518398125035,0.027060515125206283,0.6382546826033889,0.4500440085004764,0.14512294021216696,0.5621076144808241,0.049408568036131535,0.322821590428179,0.32196767563804385,0.33398612330955446,-0.00694038059865247,0.4233164369852347,0.47483867263522167,0.5682499010548224,0.3134146417545477,0.4665603449571258,0.3941207816384062,0.504952458499867,0.7639555991507907,0.42551502443275646,0.3601201791967813,0.09734552412684275,0.48084825537801473,0.6524334774904327,0.37101275531842565,0.15135263182636405,0.008425308102258087,0.43911789203138957,0.6546593198094821,0.5397623430321985,0.1538119021940146,0.21954857260274882,0.19712165343867274,0.2136993761557331,0.22445080371905496,0.6411214999796372,0.031413525635315596,0.47798952157327435,0.4146144362122894,0.0472452306144463,0.3848936335418068,0.7267999158278348,0.40714440447220007,0.5763928792665574,0.3786071073319631,0.5430497659030444,0.4459852452991993,0.4400299199264057,0.10347001712213404,0.1295641306298421,0.6261013405291662,0.12510721284859475,0.4629034031959294,0.20719180254129432,0.4950431636060089,0.3492436670093853,0.24782627063528082,0.7199824290042316,0.3232017138670903,0.7058407224797025,0.13003358595658082
Occipital_Sup_R,0.39093517076223944,-0.002785945054529206,0.041154489525921885,0.4295214535160213,0.2987849317927134,-0.2612452320773428,0.03842708415266891,0.4475383552208054,1.0,-0.2517785682802624,-0.061990293312231756,0.47434134660744603,0.24195517717485987,-0.005718108992762137,0.06440958508654489,-0.07169852973539088,0.8860608596187436,-0.1422034085580833,-0.011926683222058627,-0.24537856692428953,-0.03281689258174594,-0.10479380551884673,0.579232141782361,-0.035566414023272326,-0.1721407490682826,-0.043690934885524745,0.22075606020696417,0.2523875287830472,0.001943101362827034,-0.09295857884947052,0.22541996699923716,0.7513959457810199,-0.2058004440575884,0.21617576682985234,0.6977311234205912,0.04150805247889564,-0.29475286628543407,-0.08333389311171882,-0.3341746697752767,0.5089014486666812,0.4160514341238857,0.7356987232839606,0.6747034333732359,0.39307727573770895,-0.03593329889031294,-0.08466007162918213,0.4989594377973244,0.472912026227584,0.6311466145808469,0.05208364260817155,-0.21067176284165381,-0.0037073504073858493,-0.27495175295066604,0.588077227190054,0.11156936896041249,-0.31395240090172055,0.5300566247151633,-0.20677811286690717,-0.25156780637063614,0.435192737282342,-0.26048142025309573,-0.2620305055705545,0.11844167003245565,0.011627272920280388,0.010097705497216215,0.7301994284886716,0.14810458214908348,0.3532884291210605,0.013649876943298963,0.11995685747650925,0.0016115558222550442,-0.059607473487468185,0.23863199786549208,0.32130116712424606,0.7931064470584217,-0.31977911623924254,0.7673436895204415,0.33629702069189227,0.16165085094663184,-0.05652584251846373,-0.04431559481820069,-0.09062105806933148,-0.06552179352109018,0.08495565774065628,-0.3246355180871025,0.08618950499115949,-0.16117356860256157,-0.13883707832972195,-0.15221890147798353,0.43653402907391453,-0.4494982089013324,0.008894165483690882,0.8689649461283608,-0.2455108872790988,0.6600451407218003,0.27612053697200173,0.5161688234351404,0.009325102178685363,0.4186122336096059,0.31385575431470614,-0.1289072202297839,-0.052740600309095234,0.16425868279469644,-0.4027736523875018,0.1384697315809744,0.6500385867046177,-0.16348963927837556,-0.36933188769571806,-0.0377569636308806,-0.23483043924590843,-0.1872898631273269,0.048072028096574924,-0.23873719269415306,0.12631360269107747,-0.19191937436151882
Vermis_7,0.017897093402280597,-0.24962902417922175,-0.5214631590835217,-0.015593603640064327,-0.38734024432744496,0.8950657377995184,-0.5390820748064334,0.17272342544500008,-0.2517785682802624,1.0,0.8701639768095449,-0.25101339240722914,-0.2858937401843411,-0.07148570678647974,-0.5228681876705666,-0.5358852819451203,-0.1097680044707506,-0.5179913661601574,-0.1508248918575969,0.15699633951524206,0.6122520388199346,-0.18211814763948875,-0.5675416656621143,-0.7111799741139807,0.5128096522460617,-0.21259633189740426,0.33578132968153607,-0.4131624169314792,-0.1825570676501497,-0.5643762789398725,0.734252612067749,0.04463355707658835,0.9176363796536543,0.7537246783624562,-0.23242481066965806,0.2820678017861658,0.3084941705550648,0.03678844896814806,0.8506456643698961,-0.059757009778539275,-0.4872666625245079,-0.7735359607709069,-0.7561602721287783,-0.16318938673802824,-0.37693859175426114,-0.32652918198286046,-0.38169614118927314,-0.01614732198984264,-0.09550680120191037,-0.4691233018696521,0.6073110511579497,0.4862585469015546,0.9488557274190201,0.5234521637579389,-0.41008948502009324,0.7187448504351224,0.03715919379086939,-0.18158673410232357,-0.45974616001488483,-0.30706419745703695,-0.5643500692096421,0.8994236917967928,0.07661078650404769,0.25521790692148133,-0.7835431019038563,0.2984559422892833,-0.4992064649408106,0.3944918335179042,0.416178413975189,-0.1773763939557748,0.3541443380209058,0.32466926714010497,-0.13549819427395585,-0.40472987800024657,-0.4812100859901202,-0.22159329711142806,-0.3136357966610561,0.7307325670418514,0.6634815872059728,0.907518706410784,-0.71454528603589,0.07318238262446929,0.5739318978772768,-0.22196751266958192,-0.36772947472654305,-0.4654653227530257,0.9253414679609989,-0.4078627326546194,0.8592292239177327,-0.15005056165579186,0.2882793485868424,-0.005537680704431988,-0.4952877824854441,0.525028284451175,-0.6701683489568689,-0.04823616804869029,-0.4917679456505075,-0.07018078994046026,-0.42113222418566143,-0.0415139436441159,-0.13073010834628765,0.30020053535985103,-0.3562355160458194,0.931764926625544,-0.07287739696386034,-0.794413365771295,0.21232248455459807,0.4921750098277563,0.8747002328002789,-0.0697889022306503,0.9822730361545423,0.16210716465953146,0.6938620921395218,0.29983199281395706,0.32573846342885826
