,Caudate_R,VTA_L,Caudate_L,Rectus_R,Putamen_R,Rolandic_Oper_R,Cingulate_Mid_R,Temporal_Pole_Mid_R,Lingual_R,Cerebellum_6_L,Cerebellum_3_L,Calcarine_L,Occipital_Mid_L,Thal_IL_L,Frontal_Inf_Oper_L,Rolandic_Oper_L,Thal_PuL_L,Cerebellum_Crus2_L,OFCpost_L,Occipital_Sup_R,Cerebellum_7b_R,Thal_PuL_R,Rectus_L,Pallidum_R,Frontal_Inf_Orb_2_R,Occipital_Inf_L,Frontal_Inf_Orb_2_L,Frontal_Inf_Tri_R,Thal_LP_L,Thal_VPL_R,Thal_Re_L,Supp_Motor_Area_L,Cingulate_Mid_L,Temporal_Pole_Sup_L,N_Acc_L,Raphe_D,Putamen_L,Parietal_Inf_R,Cingulate_Post_L,VTA_R,Pallidum_L,OFCant_R,OFCant_L,Cerebellum_Crus1_L,Frontal_Inf_Tri_L,Red_N_L,Amygdala_R,Thal_LGN_R,Temporal_Mid_L,Temporal_Pole_Sup_R,Cerebellum_9_L,Cerebellum_Crus2_R,Postcentral_R,ACC_pre_L,Cerebellum_7b_L,Thal_PuA_L,Insula_L,Thal_PuA_R,Frontal_Sup_2_L,Vermis_6,Cerebellum_9_R,Thal_MDm_L,Thal_AV_R,Thal_PuI_L,Occipital_Mid_R,Vermis_10,Thal_LP_R,Temporal_Inf_L,Cerebellum_3_R,ACC_sub_R,Parietal_Sup_R,Parietal_Inf_L,Precentral_R,SN_pr_L,ACC_sub_L,Insula_R,Fusiform_R,Frontal_Inf_Oper_R,N_Acc_R,Thal_IL_R,Thal_LGN_L,Thal_AV_L,Vermis_9,Olfactory_R,Supp_Motor_Area_R,OFClat_L,ParaHippocampal_L,SN_pc_L,Cingulate_Post_R,Calcarine_R,ACC_pre_R,Thal_MDm_R,Thal_PuM_L,ACC_sup_L,ACC_sup_R,Precuneus_R,Frontal_Med_Orb_R,Cuneus_R,Hippocampus_L,Vermis_4_5,Paracentral_Lobule_R,Raphe_M,Red_N_R,Cerebellum_4_5_L,Cerebellum_Crus1_R,Cerebellum_4_5_R,Cerebellum_10_R,Cerebellum_10_L,Vermis_7,Vermis_8,Hippocampus_R,Thal_VPL_L,Postcentral_L,ParaHippocampal_R,Frontal_Mid_2_L,Temporal_Sup_R,Cerebellum_8_L,Paracentral_Lobule_L,Precuneus_L,Occipital_Inf_R,Heschl_R,OFCpost_R,Temporal_Pole_Mid_L,Cerebellum_6_R,Angular_R
Caudate_R,1.0,0.6461549942286873,0.5507908727264976,0.09559885751346651,0.32520417727453665,0.4827122918973029,0.33706432447080054,0.35152776213861214,0.2925043413290578,0.47783068543574986,0.18872037238553546,-0.07510729127914939,-0.21418698154840876,0.5454674305703515,0.2692677056517944,0.5974447301415049,0.06272935883641767,0.10479418417074732,0.24869515746256954,-0.049430952195765265,0.11557919652405856,0.5572607665065537,0.27113110300553644,0.8898401105285199,0.26435630305729024,-0.13945319996778163,0.38657803627705223,0.5078241444477922,0.20114809503333883,0.3125422028603481,0.5713318733768777,-0.09956583865107718,-0.042411659328293466,0.41002074601914634,0.2832151487065753,0.08348617579067209,0.6669304982416651,-0.19418309881523724,0.21306215249658103,-0.17905457141441256,0.62500156635364,0.2596618094374097,0.36273464789900195,0.18825176387392667,0.37232650610092044,-0.0020595567292676516,0.20686614292322483,-0.04886045181230377,0.2932838695553041,0.3808971216559171,0.28706402671944964,0.3602437736210182,0.20693992487683696,0.3937210020981902,0.239001398652698,0.09795255898242566,0.6992587875072297,0.5506823228092168,0.22348106798451017,0.10893142443374124,0.391640050176792,-0.19179086624855207,-0.15121477559849217,0.020771575912846382,-0.09616730253634981,0.39567981016095777,0.29835487545868605,0.36920208562516077,0.07493792973818526,0.1968877857146247,0.19568320813571793,-0.3212034264557119,0.2793927985532059,0.3539647758455686,0.18431371700076946,0.5339632880291282,0.5697870520653554,0.6296654281393592,0.8080737539691905,-0.2351830890178426,0.13359654270552865,0.5367094434227231,0.4532180472108716,0.5704574871378729,-0.046803821994614955,0.2895759250218578,0.2147085130062278,0.15282132161410245,0.4891674178752076,0.27251159239329215,0.6040159977619938,0.412860385754748,0.4704527835928568,0.5696616807561987,0.3926781770676852,0.10459033740359504,0.10078231428459977,-0.24943204263413016,0.6540774447359761,0.40823513809716044,0.05876793901046181,0.27807385073940066,0.5130116356188599,0.4547485751781454,0.1679221575703426,0.32964316943884575,-0.0976316526235142,-0.19676437867915655,0.21042867025258624,0.2661346099601602,0.7384901950267434,0.3957700034342043,-0.21826886959535804,0.4150662278297588,0.18594624596809514,0.4535213736485114,0.4660325407513428,0.21275411361811125,0.09349988216184682,-0.0852274297097325,0.009362442496724658,0.35476939065031526,0.23352885522987654,0.45979771289814264,0.021533137169464877
VTA_L,0.6461549942286873,1.0,0.12111728236819887,-0.11699104140133197,-0.08539922735779845,0.02760940441681156,0.062290051678113044,0.014199860554915306,-0.011636797257347656,0.14194330981584363,-0.22061290281834606,-0.24325295190558976,-0.20162940669341325,0.7066810386697328,-0.18760161976279277,0.14069146794811793,-0.0938038794926668,0.21189400231228336,-0.042680355858343254,-0.1237938734354111,0.17431764317711876,0.6683411306260405,0.15273329243909978,0.5415491597251737,-0.11564148807829171,-0.10593357751145605,-0.08075671793646617,0.02877877709111837,0.13434246095196917,-0.14119077727576432,0.12190630900871154,-0.19651926669173755,-0.31044624499403406,-0.00653960180161345,-0.07779199781874768,-0.16634030722237575,0.410994784450585,-0.07690620846172613,-0.13767254188195394,-0.030172958849564387,0.42452079576817153,0.3575497680439242,0.37703566173552855,0.08325915409466998,0.061611902000721336,-0.06997040968186659,-0.2011033266729592,-0.15291734951055497,0.17080452383775138,-0.055315307966743,-0.17000556001379363,0.3135728202376505,0.07900503500690396,0.12645081149581816,0.3138780031487807,0.014038945978984713,0.25299882348118086,0.4554595034176695,-0.1752387131446599,-0.14158977806885953,0.10555550849482472,-0.5293418811579922,-0.30076479543464313,-0.09014757554562054,-0.030509325590811816,0.15385045846555837,-0.14128759745072145,0.022674044088302838,-0.4301304651522526,-0.1333365289682145,0.3184479167187833,-0.34363483082921387,0.009228837437895814,0.1553361203624927,-0.2501008359911203,0.12860997964511853,0.26868231363124434,0.17235889715254074,0.5631543734333249,-0.7189359458112915,-0.11601085404502935,0.5885761244957314,0.1818996718487109,0.3087281707943654,-0.21407546224103827,0.16198271551940194,-0.09555386948484257,-0.26777850434307554,0.027842721740635894,0.11945694673231232,0.18243546889614595,0.21431584031181786,0.19283390543084758,0.2357142876684982,-0.16820681713991373,-0.04366337158480608,0.04227805945747903,-0.40931212473381995,0.22561052856867195,-0.037218621455301845,0.09141846427799905,-0.11050524097207716,0.5266642750119416,0.02026252954642152,0.04187985237181056,-0.10157869011674629,-0.5048942745048873,-0.6184786351466622,0.28151841186568455,0.06841765352211585,0.43744103039707155,0.27721285554437974,-0.26901569573856315,-0.016749371224325717,-0.08930756984250159,0.011084873477940588,0.1446755625849675,0.261347354364843,-0.09458863970462257,-0.28008407771887284,-0.19859642149108736,0.2752162149467933,-0.13835460359037818,0.15695363988848124,0.07133833563337214
Caudate_L,0.5507908727264976,0.12111728236819887,1.0,0.2127204599306791,0.655670562874267,0.7271584015439758,0.37275523753676604,0.4777968186928364,0.5110050365607799,0.681248189450205,0.43223400322725725,0.3504839336191899,0.05928013861609793,0.15554676036760998,0.48468070988739975,0.5706935786962476,0.15300313120897602,0.15393078381366943,0.22832529797009488,-0.1517401189708596,0.09942874829882001,0.09594392021801144,0.16560425405295875,0.5694612944364854,0.3754241705439515,0.14828567459147107,0.4914920951388683,0.5436252936040911,0.24244932606409217,0.5603086517030098,0.5901671515777862,-0.14757170678128098,0.2798546502282674,0.5504730134056203,0.5005626857590976,0.2883632616191741,0.7098642885497133,-0.20306923686676645,0.5002427520511722,-0.03079143867626551,0.6054669095813743,0.17537385834730143,0.157954580666103,0.3911371451658292,0.19326666535415526,0.2838505083888283,0.29638702647567106,0.21082711718882363,0.3105550511192243,0.4844000091932251,0.48947410628734916,0.39195331181552806,0.026156358429810348,0.7131899004771377,0.2227775947995103,0.42425800139503883,0.7127428524586985,0.299003955556624,0.1667866936879648,0.386020882957807,0.4942111330318109,0.2749265730941952,0.19098560065777948,0.2658551123590622,-0.022483961392541493,0.40066159242584093,0.6001175240646008,0.5983484683824336,0.5642173619832519,0.3642039682000605,0.12710682855417332,-0.11910798364249144,0.12957495516644046,0.28810637056203414,0.4743370914886979,0.6855381850158773,0.7081096004818936,0.5668672716581895,0.5824367229527417,0.2500900777968444,0.48293101381674547,0.15743288551304166,0.38197785101468074,0.4811489145738323,-0.08861418784527406,0.13080923980723186,0.4644683747018331,0.5865569963950117,0.5395799162183165,0.35260094266832254,0.6594466728573258,0.39751969581307295,0.5405175041157004,0.5993461442201945,0.679049592898752,0.2642703007015577,0.16954193504874437,0.1641591809430812,0.6281409358022902,0.583429016970443,-0.004449237179745346,0.15117559249878215,0.2097698351634167,0.7258215049324497,0.3495305976745719,0.5800988467954188,0.3064428504864961,0.2904440154111708,0.21371041636788204,0.37941045219822866,0.6639622226796499,0.53707213700671,-0.0059882128678929395,0.6380591828957536,0.08348138625658472,0.5396120443526208,0.572292836891321,0.10802022552527968,0.27213544106905313,0.2941681117679306,0.1070161313641758,0.5317796150575047,0.46543389707447685,0.5575449880003125,-0.007342867586254005
Rectus_R,0.09559885751346651,-0.11699104140133197,0.2127204599306791,1.0,0.35717848668945446,0.25323608124776703,-0.23474607207586,0.7549999445013025,-0.28431718991088256,-0.07720767965288378,0.2287746336135699,-0.38074459463548427,-0.3795911518586803,-0.44897531230320736,0.09584084687253665,0.015758658648978054,0.021403766918324546,-0.5245701174310865,-0.254418247440796,-0.36363274314846195,-0.6134481681858461,-0.4894183132180152,0.8647506775311415,0.05236077397893648,-0.27322891072590205,-0.4481997695772709,0.4756407139648856,0.01896897961645032,-0.0997347238255842,0.17792490083616572,0.21122034739782042,-0.4908227321240936,-0.09848781214606907,0.47701850455801276,0.6801968147919015,-0.2671569117106743,0.004205348113390942,-0.29609317888285813,-0.0793526000360399,-0.714463381819105,0.0739707472571387,0.6976436073751149,0.7380375732530892,-0.29608393973538694,-0.08296746906115628,-0.5798319520367521,0.5006831554838543,-0.5124110845689103,-0.1816045351706367,-0.016179188400715822,0.1734142935875413,0.017718994218872776,-0.6635986230262905,0.38559324596666283,-0.42224775880032644,-0.15555633920106038,0.03785807963259183,0.5210797604009616,0.09104822516467552,-0.2987075594155214,0.22899174435027295,-0.16875419842339073,0.23181767969481742,0.028743424016766387,-0.504950155926005,0.22823795979516576,0.3868551330210845,0.19609219112503984,0.34559000392192263,0.6636785663076626,-0.10077944604271051,-0.2827315427004049,-0.5344950561487798,0.7218038401495949,0.7609188909365912,-0.1412236430354421,-0.11410705118099863,0.09512687877789809,0.13119148789479673,0.14273043999775392,0.14740103078274275,-0.24072175524023984,0.04264086903136927,0.3936240398476723,-0.4708332716102263,0.632179136753953,-0.13852209932279808,0.42980393360245056,-0.01847898905339761,-0.47824684400486606,0.17809224671816362,0.40149957588920054,0.05115438073400474,-0.09188762005763215,0.1977294918241908,-0.4392986351545389,0.8010475570773883,-0.3452581002482487,0.3044306282088207,-0.08192351798506566,-0.02280727871748727,0.4542029807908811,0.5909880347003984,0.13552527063354639,-0.3736866556704254,-0.1611081676814181,0.18938548351465156,0.023145523057975168,-0.41214604055033743,-0.23709382564395587,0.13066158273061354,0.2509984116071504,-0.30811874538357165,0.24635338226173767,-0.12418071666599251,-0.2419107417621484,0.05097932638805708,-0.14092492549556443,-0.32028070852892077,-0.44523797904333806,-0.053566237736962424,-0.19529485033531724,0.7296460186441377,-0.13918037336656253,-0.6510318872052407
Putamen_R,0.32520417727453665,-0.08539922735779845,0.655670562874267,0.35717848668945446,1.0,0.6941316512442132,0.33695270742810607,0.46971643783102907,0.400501130641599,0.4643861944136532,0.6747649197492284,0.32589210624688025,0.08536157365122322,-0.022812930042942266,0.4471814528018751,0.18647875355493548,-0.007352118000368665,-0.3187547443696134,0.2555086207474688,-0.24665717686890182,-0.1450059835907816,-0.11819716233889073,0.3196795315024935,0.4836406188424642,0.20414531354039236,-0.2505608149736984,0.4244474813333069,0.44271038400791674,0.11860457021608542,0.5560791356504627,0.512476079948571,-0.07936713186821683,0.42146999480186903,0.42332542515523053,0.34166705004188586,0.3167980753924141,0.622796646889662,-0.23147149060915018,0.6199658205777899,-0.06751737081764823,0.4953447894889048,0.04700795405271338,0.06239797164597577,-0.037995903651619874,0.03358235291226062,0.2840485066952528,0.5983298024687725,0.3622936202813197,0.06378063142116865,0.3575368036416498,0.5183035671645365,0.13773893605705864,0.024082304841132548,0.46020294575360154,-0.24140217924376825,0.2651858012053316,0.5038678358773049,0.11260210815696277,0.14207262044463992,0.35063305490822594,0.43994436324379826,0.35115744890152206,0.061755716687292954,0.3682764673355807,0.038309485729436626,0.30087591337121955,0.49521697459402897,0.3126259183548952,0.6719210239283918,0.6704163427655281,-0.09238078107405544,-0.038706432172573316,0.16421981832773022,0.27554546907240557,0.6084281249975104,0.47660543608418404,0.5311080522652748,0.41351878604513614,0.3410700348447136,0.5010634976691756,0.5738038347783277,0.16766386639642333,0.36985958136009195,0.6435105369846772,0.06671397722256187,0.013359006487553534,0.603625030765692,0.6394758990763489,0.5186995445320057,0.18739421802887063,0.4805099980017149,0.4585827668627885,0.3721305193197165,0.1609169735058585,0.614732316822353,0.23743955285438853,0.20790305964788386,0.24999552006634695,0.5679746682761943,0.5005751894373905,-0.305907545579491,0.22949604205582647,0.11031951191673615,0.7431618938746698,0.12428436026465925,0.5289959989139925,0.40990930917896556,0.37248231592969683,-0.07664208746084356,0.20501047567515596,0.5858856973782075,0.48032958771474776,0.12260617681129073,0.799184818169244,-0.029669855431360588,0.4664861345046946,0.45396343899414204,-0.19102189298531816,0.33747251628035296,0.19071170232804377,-0.04697197491376447,0.25719821310906643,0.5857658385466201,0.3547832066633867,-0.06779638640011491
Rolandic_Oper_R,0.4827122918973029,0.02760940441681156,0.7271584015439758,0.25323608124776703,0.6941316512442132,1.0,0.5743943492541548,0.6204657230791689,0.6478280876933983,0.7221642291719819,0.4974043903711462,0.5020178811662763,0.2188097272936412,0.029266533940386783,0.7073430059357657,0.660104648979092,0.04378394411838614,0.052137604541765734,0.3452762171648009,-0.24690243656618382,-0.03428916386002952,-0.01198894491040032,0.22884863876824602,0.5419147094375408,0.42770341834204767,0.12788854481925732,0.6721571003010021,0.6938680597327911,0.07150357416882985,0.7155348250438135,0.4696656420967934,-0.013309958662926346,0.5338867796819252,0.6414330946743629,0.4873364299397526,0.3775273919844255,0.6918433771092803,-0.281040465223079,0.6653044604671847,-0.032598666871731505,0.45601314477969895,0.14362419049385722,0.13217080576494902,0.3137017821928895,0.35392962427752334,0.21764127005743275,0.4431361003217137,0.23662631623989447,0.4894630331656135,0.6249884194612635,0.5972224179657143,0.36696108159486024,0.10783646526664892,0.6750271012068068,0.12696566501730394,0.29520594648815784,0.7593641252126833,0.29137582638183573,0.275189256625257,0.42615388246344804,0.6017849698367863,0.4255126780412677,0.1953624065811244,0.3500819571747709,-0.022030598190602213,0.3460736402897939,0.676241640833766,0.6261404484245717,0.572239026735721,0.40006643745127657,-0.011637357298338358,-0.09503673092773221,0.2543937932745649,0.29714234904378506,0.5427338671784817,0.6780541854351065,0.6611887046073954,0.7053797008371628,0.4911755830829804,0.42152641436848054,0.4476506413196444,0.14100588278810158,0.48547491840901186,0.509262926312545,0.1321090054140124,0.22293353293244858,0.534322391317608,0.5335001973704295,0.7353748233477857,0.4939158517348797,0.7665004632834357,0.5641211070635684,0.4955917449900468,0.5289631388390765,0.8203965748757059,0.47629061125374406,0.1189927259200699,0.3607784607739871,0.6611916011139637,0.659533640827929,-0.14648292533654145,0.16170772366050917,0.2122916629593595,0.6744781491694266,0.3330973070634039,0.5820229146367611,0.4580935171703577,0.3954856866734622,0.10595067323562701,0.3386808083230772,0.7046670089540938,0.44084327349167285,0.16085797714622743,0.6925475068329054,0.21168547547084163,0.7191472578098408,0.52765813820167,-0.19656327000172155,0.4095853274486877,0.31513485787489265,0.21790633855206715,0.5106563189784498,0.6043582809262829,0.6476585108472733,0.0008986306593664681
Cingulate_Mid_R,0.33706432447080054,0.062290051678113044,0.37275523753676604,-0.23474607207586,0.33695270742810607,0.5743943492541548,1.0,0.1553422316084662,0.7957829639187758,0.521858615733834,0.24199021638997378,0.660096880630296,0.6435517699386348,0.2678250219830178,0.7406711894997091,0.5855721435463083,0.18204903965802513,0.2436852249671702,0.5538072251668928,0.06862326254810777,0.3546984846713829,0.29513521783117946,-0.18339928328664246,0.3445700073981735,0.6379652936836617,0.30271081899897123,0.5220813573102899,0.7644431406044868,0.16117101063185071,0.22682242878809006,0.16511145826847864,0.6684517787701935,0.7591192985712394,0.35300534284069884,0.013692175530265704,0.5144561999829658,0.4425302567815255,0.11024861297773342,0.7123258947706145,0.4491424151094326,0.28304009147265496,-0.21557422849966534,-0.2669498373881011,0.1906546389648766,0.6622639999449776,0.37210942394552626,0.15662493025217566,0.5492178894904551,0.778534732444049,0.6752950013161888,0.3335952460925078,-0.002859212626405031,0.7187484701155974,0.445562084186066,0.23106235955595641,0.28237057541095856,0.5108172289797877,-0.27658338565868473,0.5188190326538041,0.6517657310771702,0.32279100987794723,0.37535371082086627,0.040158184795322543,0.2671547988289929,0.32404141802303593,0.13829319310120053,0.12185075455986911,0.34544884705227696,0.14929516729787623,0.06483391152996998,0.008084541532806517,0.3385641001599791,0.7852932001687355,-0.22520972847755036,-0.01658142447519183,0.637022705816092,0.5977558718569363,0.7438851032311763,0.24066259240698906,0.29936663279637266,0.16639188996180349,0.3115682443626703,0.3630214516402227,0.22145412852236293,0.761478135961067,0.057635567903627054,0.664846549337449,-0.08945847991033257,0.8217139607711234,0.7840708160347162,0.6670374008378983,0.2885693974132598,0.23826582583130376,0.6134647561754121,0.6826293687207637,0.8448784414379257,-0.2689863311066902,0.5540788599186699,0.24305781017585712,0.6181190333153699,-0.1682361663222179,0.023716017046453965,-0.29992921706750963,0.2899888075588465,0.16203686319816793,0.54302434226298,0.22502243403880764,0.25600228391841673,0.34532319123431837,0.4552180816721175,0.5032815152154656,0.049825680119699726,0.6165037405290726,0.43597300690418656,0.6077842720509536,0.7503263344687271,0.3597421033132155,-0.2840685419642977,0.7346839756052551,0.5957835417586571,0.36985299028045765,0.5149221623578736,0.06868439217926935,0.4421350438833732,0.5520249791305132
Temporal_Pole_Mid_R,0.35152776213861214,0.014199860554915306,0.4777968186928364,0.7549999445013025,0.46971643783102907,0.6204657230791689,0.1553422316084662,1.0,0.1779780102929243,0.39516803369468195,0.3901419747351496,-0.033955517508753294,-0.20832098744705854,-0.2963563538456504,0.4118749829456486,0.3968809802112482,0.016404025437436038,-0.19281320548255698,-0.015957812626671113,-0.23645440158126643,-0.4041570413751914,-0.34103635173065694,0.7154401189071549,0.25850441050476086,0.05852495396560849,-0.1473995851164747,0.7171417812275804,0.4045461962007723,-0.06553270346663126,0.4491485347698097,0.3172939675500057,-0.3658117298850976,0.1229547806137284,0.8213952131893554,0.7605345123127599,-0.05988015177419861,0.34541172088086086,-0.36614130740547485,0.19332861637554058,-0.5671511348741969,0.3305017796898631,0.5914162299095403,0.6358830312788427,0.11876178424611626,0.16377302198887506,-0.3906686320376033,0.515176165584205,-0.369104973869503,0.21455873008774282,0.3609723779847384,0.488570529243979,0.3282569796775165,-0.41721966780090286,0.6198185509810357,-0.06504800423620047,-0.08993445521236533,0.43364819578846037,0.5880530513106531,0.24137422749621595,0.05312718862143815,0.5861207568707281,-0.04035585550176196,0.3009828983558582,0.09927416202525736,-0.3323077358795829,0.43556584019205297,0.6363781658767377,0.5811139645563383,0.4365759647982305,0.6372957186384376,-0.005699761557378631,-0.33680980622509554,-0.23372561402795777,0.7227397155695893,0.7608746151865214,0.23427881205431877,0.3313536270452287,0.49814047876720674,0.29688275602349196,0.16813977258847593,0.265038994290791,-0.16339138195625738,0.3817346909981068,0.45292983349733507,-0.2538632349984594,0.7026227141906234,0.08996856246739661,0.5285219266927842,0.3707683089631821,-0.0844261613902283,0.49950880063715614,0.4787654869478124,0.2505176281968472,0.2335592352528887,0.48475432391222073,-0.10047892731822662,0.5473747481544375,-0.08465506712625913,0.5651918380575731,0.3236405431243682,-0.010998603903372225,0.4820996104067237,0.5862055924210168,0.3979610685579096,0.004068156096900541,0.15095008869578586,0.36171366507682323,0.21012544593449972,-0.09554309589188235,0.14378519035100287,0.44457801383541756,0.30006946985451294,-0.23950193704731493,0.444058255740343,0.07421504240635055,0.18970373101071117,0.3933801446147221,-0.19684141411259481,-0.11189197767471441,-0.10384124453737868,0.08528054539584966,0.10692165814141008,0.8616615560042538,0.35152701083037174,-0.5080846625248917
Lingual_R,0.2925043413290578,-0.011636797257347656,0.5110050365607799,-0.28431718991088256,0.400501130641599,0.6478280876933983,0.7957829639187758,0.1779780102929243,1.0,0.8009261605164082,0.4185526380976762,0.7969048411539785,0.5770872812810907,0.20134300019360019,0.6704612928316906,0.5586784727691612,0.13364420163084298,0.45582763514301095,0.5766533466526199,0.13648897877527802,0.42080246958009404,0.15637095349498858,-0.2758858082674205,0.32829357558386546,0.6723984570847319,0.5268099576297243,0.4257197788471757,0.7148131894812706,0.10275652909029664,0.42080281799755964,0.2274762171444903,0.40368142589283657,0.6529182831366462,0.41963059864072966,0.08962684019677523,0.6271552390281289,0.5453385923894084,-0.029937838626259046,0.6757287470346416,0.4813350071308384,0.34605296751700143,-0.32525943325097345,-0.30713217691391664,0.5471351671533113,0.4400132015661462,0.5260012183985938,0.08637841896428969,0.5685676394557622,0.7153727772673618,0.697738047874178,0.5236899089036239,0.33238099275235344,0.5633910733494594,0.41000689344085484,0.459973611423661,0.3484106781416784,0.6303541479767766,-0.20929418572895084,0.32967915568178807,0.8545553417177344,0.4863610322517997,0.48329784513387924,0.08795601650351205,0.26850890370469704,0.44057166191974506,0.3017107826802794,0.2827334726292208,0.5760845473691669,0.3637778453759684,0.03053431405660088,0.05469216724165012,0.15893938356594617,0.6638082857112237,-0.16528098499936925,0.08333184777473326,0.6902027854919369,0.7999832798092482,0.6917418389158564,0.23484958756172872,0.3894351829560405,0.3516281206223904,0.20405663570971427,0.48599389394149595,0.20969192286183858,0.551417236399873,-0.04894197792735217,0.664500804839839,0.2263215994324988,0.777376439744822,0.8417622604894955,0.5967229319609075,0.2140391402047664,0.38378329235172914,0.5470022862940286,0.6585364777761963,0.7940471748940319,-0.3007666784190547,0.7038689930804359,0.36885679190548837,0.81763981503605,-0.07137193494904875,0.006572854237776349,-0.27114972602634596,0.5493731657508255,0.5239561484046684,0.7550572012420882,0.37389304073432655,0.4262508650961904,0.5192695967886412,0.6604575746120533,0.5464450923787334,0.16768152108115583,0.43698278094860116,0.5072103051326685,0.3760284099531363,0.7558817265726765,0.5519381260628654,-0.1595431814281074,0.624059191404281,0.7973956014290305,0.2867594927030283,0.6512468282172966,0.148946123122686,0.7551983233898288,0.44724886333196057
Cerebellum_6_L,0.47783068543574986,0.14194330981584363,0.681248189450205,-0.07720767965288378,0.4643861944136532,0.7221642291719819,0.521858615733834,0.39516803369468195,0.8009261605164082,1.0,0.48454059499170704,0.5975933089651959,0.17194196826999894,0.1705440934970175,0.569100281215324,0.5998150885532427,-0.015158080494024926,0.38789776546981347,0.42662835194606813,0.05601678018770206,0.2373543492281615,0.08407136127037215,-0.03516597445700835,0.4722289661850409,0.6013572586437345,0.3397127318949569,0.49151940319306653,0.6563239592797752,0.002030811159312774,0.6011090648047943,0.31109567358223733,0.03337506438974266,0.3537825046699004,0.6051511318502937,0.34514415913954805,0.381255310960977,0.6847852607149232,-0.291243585268439,0.5518901188931125,0.16845076114223498,0.5759475599838997,-0.07826689581707232,-0.03679063709975563,0.6755584787116888,0.3327197773210957,0.37016781864889897,0.2302001192925068,0.2939441756010773,0.5093329589028688,0.6271737824119196,0.7097351096120094,0.6094522629322333,0.2578667414824377,0.5137491198124752,0.4669708779804471,0.25648356854132626,0.7912986906918843,0.1887290977127563,0.2775525946028769,0.6787303290936747,0.7474803212481187,0.35539871341336954,0.13697024639553934,0.13750834496646044,0.19604577245660584,0.5322246320603178,0.5136208449429392,0.7510155601920566,0.4814870501989584,0.18446840197495745,0.08607547749291082,-0.12046335134243534,0.3674059417816493,0.18754954001539775,0.28054841063961805,0.7141295846591132,0.9006754209814423,0.6720236646388337,0.41818264035394814,0.244042702958409,0.4349988752044946,0.12518022540545296,0.7153768296672302,0.3583844583006216,0.17771072599999407,0.141257706302262,0.5553964933623251,0.49897450182472836,0.6885649733238102,0.584268029727147,0.5924405188083331,0.27093046214666505,0.4514858823522693,0.5360682497834007,0.6241938260990144,0.45087673442864074,-0.12037709397389748,0.38564429507598774,0.6488293575749261,0.8211199436144353,-0.030994967414859527,0.17583337291597934,0.10618925490152246,0.7474202379677591,0.6390185944433894,0.7079475671526934,0.4346975162118836,0.4121273044279863,0.5139989204394719,0.6953589199842892,0.6991595917826906,0.3236863024309996,0.03513786064335534,0.6351856389389108,0.24667142469870212,0.705464229938332,0.7818111819486736,-0.005725846373470234,0.3067785259543572,0.5325508795837656,0.24992511991807617,0.636556901734683,0.3582358085549564,0.924707685277443,0.0643261397931394
