,Amygdala_L,LC_R,Putamen_R,Cerebellum_3_R,ACC_pre_R,Thal_PuI_R,OFCmed_L,Cingulate_Post_R,Cerebellum_9_R,Frontal_Sup_Medial_R,Vermis_10,Fusiform_L,Thal_AV_R,Vermis_7,Occipital_Sup_R,Vermis_1_2,Thal_MDl_L,Amygdala_R,Thal_PuL_L,OFCant_R,Cerebellum_10_R,Rectus_R,Insula_R,Raphe_D,Temporal_Sup_R,Precentral_L,Temporal_Sup_L,Frontal_Mid_2_L,Thal_MDm_R,Cerebellum_6_L,Paracentral_Lobule_R,Pallidum_R,Cerebellum_3_L,Cerebellum_8_L,Heschl_L,Frontal_Sup_2_R,Precentral_R,Thal_PuM_L,OFCant_L,Occipital_Inf_L,VTA_L,Frontal_Inf_Tri_R,VTA_R,Caudate_L,Occipital_Sup_L,ParaHippocampal_L,Thal_PuA_L,Frontal_Inf_Orb_2_L,Thal_IL_R,Raphe_M,N_Acc_R,Thal_VL_L,Temporal_Pole_Sup_L,Calcarine_L,Fusiform_R,Thal_MDm_L,Lingual_R,Occipital_Mid_L,Frontal_Inf_Tri_L,SN_pc_R,Rectus_L,Vermis_8,Lingual_L,Rolandic_Oper_R,ACC_sup_L,Thal_LGN_R,Thal_PuA_R,Vermis_9,Vermis_3,Cuneus_L,Thal_VL_R,Thal_VA_L,Frontal_Mid_2_R,Temporal_Pole_Mid_R,Thal_IL_L,Thal_LP_L,Parietal_Sup_R,Paracentral_Lobule_L,Frontal_Med_Orb_R,Thal_AV_L,Cerebellum_8_R,Thal_LP_R,Cingulate_Post_L,Frontal_Sup_2_L,LC_L,Occipital_Mid_R,Pallidum_L,Cerebellum_Crus1_L,Cerebellum_4_5_L,ACC_sup_R,Thal_LGN_L,Rolandic_Oper_L,OFClat_L,Cerebellum_4_5_R,Angular_L,ParaHippocampal_R,Thal_VA_R,OFCpost_L,Precuneus_R,Frontal_Inf_Oper_R
Amygdala_L,1.0,-0.10169593900903759,0.3237994670868871,-0.019304812576813674,0.25693085483313166,0.21611820263266554,0.21360099067530047,0.1120931237013541,-0.261573629797528,0.19978197368750497,0.3808817898522634,-0.07075517372561295,0.11029780034499113,-0.1459546426111697,-0.17784590104962017,0.083308403264091,0.43591708913469207,-0.340893504670773,0.10521701997179952,0.18788989602355158,0.07834014474288058,0.19386727073024676,-0.09899251327210129,0.45631650371162,0.06876629782343763,0.31523431499915716,0.15003732393828442,0.2749557013838876,0.29639246677970865,-0.2596410938545286,0.10260081346777794,0.06310274446917775,0.3969129670597062,0.14620432219486112,0.23257764762847205,0.04392476085101278,0.033899284123229255,0.07368917500882192,0.22996415868169728,-0.1792242684647055,0.10673338951269522,0.15385849127908918,0.30451229929436,0.2240046495169142,-0.047209677790694314,-0.044953047340905265,0.056297551569083525,0.03321575242367041,0.4714132376923339,0.33650433476922237,0.06489669322906344,0.02815426539544979,-0.078299755782227,-0.13548352338461453,0.07526780883973581,0.17067446908051553,-0.09449185099503211,-0.008091480673903325,0.2761538742344023,0.33749436046497244,0.2093083291670514,-0.3501104513467267,-0.17279524169328697,-0.0881885842979961,0.17924202108991058,0.3431136346198559,0.15163055893636967,-0.2639019670559722,0.22973417176511413,-0.11023106441507736,0.30765100061404266,0.37950859939245285,0.058645993502111034,-0.38891351467819985,0.3900258023621009,-0.1132434531545414,0.027497587876479768,0.22027305907420963,0.23075907743327936,-0.14734497549311226,-0.2179051705628616,0.5011375045205765,0.13048217884930507,0.20154524550234693,0.3698548678142879,-0.13474699977169458,0.4241487841390732,-0.36672891033761057,0.10122058821598966,0.06982609406219768,0.36242855917203326,0.10461694335405361,-0.2972445192594715,0.36224738216570057,-0.15359482254679477,0.11239751831546857,-0.1170232680785424,0.08689425738359256,0.1202525641837367,0.1567530428219294
LC_R,-0.10169593900903759,1.0,0.06701774355946367,0.16152913237922342,-0.18548068974043538,0.3801888172057531,-0.18052226097161533,0.5248384687225524,0.1705378959425856,0.2533030862708235,0.13973494987912102,0.43781660007354434,0.11329796676611364,0.2252823270975635,0.3045085766369603,0.31957162530858996,0.2998009737684393,0.10943401975637555,0.18333990260306887,-0.115317330507772,0.14685129519245327,-0.13892516864266877,0.26235669413719515,-0.01236330074243832,0.09839223548317873,0.32590931218843044,0.46394033029429127,0.32178659141705085,0.37401738107332116,0.3366146045936466,0.4551809861585428,0.3163808661282536,0.35092630760019383,0.25420894696592894,0.3947953242956688,0.42136794493834906,0.5276310876880111,0.5334269070387301,-0.2188871202435002,0.10470288988991139,0.26590072287010663,0.2845386540381443,0.14238792089039404,0.1174284701715967,0.26580806694449294,0.4492391303680204,0.07934779873423208,0.06507696563043686,0.34527983973215165,0.14347243225406864,-0.05236998481064636,0.5416256282119066,0.037814015985559876,0.48708337448070244,0.25280218377342073,0.4873339572136463,0.4814243171279293,0.1904527624676193,0.39587172075127885,0.08779155968663166,-0.11664578445134142,0.29695323104689575,0.33436341051642443,0.24836170946568917,0.4275180841789986,0.2321967529519904,0.438859624294398,0.36778068544078174,0.4341564347600679,0.27355623049644817,0.44453624783387,0.3581208053899639,0.5243743733072239,0.40570651343758174,0.22473147584967082,0.5430597442737972,0.4899596270658417,0.3677967495405842,-0.09410008250936959,-0.18164914754265818,0.3802984833189635,0.3319627855728565,0.46133448972021984,0.21620171387556691,0.05224213683092735,0.1697991639785281,0.15966628473657424,0.07969728742767047,0.5287048123730812,-0.07423244354827005,0.08962373216599184,0.33274806802285617,0.17480691547003435,0.249018050895238,0.40084119174260174,0.05858133220300501,0.21692134125191567,-0.102734889232616,0.4969177895251158,0.32915971885323947
Putamen_R,0.3237994670868871,0.06701774355946367,1.0,0.6118478120231637,0.5147184966393538,0.367370230955903,0.45217970312505434,0.40421621304172434,0.0974356852460137,0.5888114109361635,0.7320116638153722,-0.1839011317106943,0.5439129299876407,0.220356472316338,-0.09297260557085285,0.36491147597376256,0.6651320462946791,-0.3359552513130938,0.5941161705575285,0.23758039988812152,0.1919325724228456,0.32186379043444885,0.3110928037652309,0.2251436337405672,0.5149572808819501,0.6367160682770772,0.1773721633270582,0.6928615485808813,0.5417967633989796,-0.43564188957088584,0.2713127150462222,0.6063053143343669,0.5911944373211,0.29676911855674937,0.38926066942512155,0.3013921816286221,0.2646430838463942,0.2697236983536041,0.4319368387462857,-0.40335381883932986,0.2931517429555005,0.7379620376997147,0.38341202808148395,0.7831268442876309,0.08287650262932147,0.12517286159352223,0.28257619203044165,0.39185302889836354,0.517041361971986,0.020408043395471833,0.1359226909755654,0.375564346159732,0.31104558738725085,-0.046464282799577206,0.3163029858293696,0.4023947243963203,0.014417995190634691,-0.07632238175160494,0.4487823825288515,0.4417915216214362,0.3529503069733384,-0.3056773827665366,-0.06510706998115412,0.3385236028610202,0.3378830820291532,0.6814546934528739,0.31398228706134035,-0.2992432403601134,0.5175259465663546,0.049088262685393305,0.5502384911734574,0.6247459295718566,0.1816526599688221,-0.06269468159494788,0.5732115553299962,0.3250895623539075,0.20872228430943743,0.38955948339813734,0.3097410823205411,0.24540542561095421,-0.5819049080682601,0.5097834803398691,0.430077550260134,0.5647898623612881,0.4098215105470725,0.053241071088135146,0.5601260209806972,-0.45479650623036005,0.2690296476936372,0.5480151143071939,0.35151612447680497,0.45171174258185043,-0.32023201371790067,0.8283688814704888,-0.09814246607341849,0.7659848673093345,0.27991049656644534,0.5821399334736341,0.3023475952747707,0.6088928274803816
Cerebellum_3_R,-0.019304812576813674,0.16152913237922342,0.6118478120231637,1.0,0.08873835813344329,0.33336704287836394,0.12844614293695575,0.44464381458154456,0.25180447922068155,0.41873316303217184,0.7134241317310123,0.07578137912872193,0.40385510346566966,0.24697352731141323,0.08660902533834441,0.660661129334213,0.36664354575143915,-0.344585983301968,0.44211579297957077,-0.01251587882289132,0.13985227635535755,0.04059310776593997,0.24421125247141917,-0.11398477846576932,0.3360701990849136,0.5187294649330488,0.11885202581496203,0.5374444875409138,0.26445159235090904,-0.17459276678313504,0.3884581109899177,0.34850502664755967,0.5118129832295901,0.3986764591148798,0.2805504391688794,0.29744372967947524,0.4605246302670205,0.2902292887714633,0.12313238679965084,-0.2931488124826654,0.20084697611466545,0.5728456173006236,0.2774269278050002,0.6090479376936445,0.09779629958959687,0.3762672779234399,0.47482919717706723,0.13267156589040222,0.18887965598020345,-0.08872758604628699,-0.05029963447460266,0.3456294026750348,0.30457783852106335,0.15920513205667639,0.3415374261227487,0.23378394011828396,0.14827008555147256,-0.13057779726101135,0.33846600455771075,0.3065413510864807,0.05162419047072317,-0.11887986549509555,0.1799402511658861,0.17867568386222576,0.2075858217901723,0.6174941840477766,0.38866865701565084,-0.10225500269061062,0.624414964849679,0.10329433194516868,0.3776941360047148,0.2822675255516005,0.26160825967410334,0.06915182955676526,0.3121100896157632,0.3500965378439758,0.3457784375656004,0.45534444551978337,0.02992951348969538,0.32967875362902027,-0.32038459789304935,0.29811166691383617,0.5049411628562364,0.4187004262000887,0.32042990676160027,0.04873546196666634,0.29110807582500914,-0.16614967216580104,0.45252891377262483,0.48180991780353244,0.3008360939552507,0.2788359981220191,-0.16519835274869846,0.6513856036486194,0.07924862211926828,0.7118695028474197,0.29960392646645667,0.34921195077150413,0.3514890069646597,0.48062812311426556
ACC_pre_R,0.25693085483313166,-0.18548068974043538,0.5147184966393538,0.08873835813344329,1.0,-0.06236046641693103,0.799764144446307,-0.03641759542352941,-0.15600883232843388,0.3825589575720119,0.3011012772884803,-0.1737370570113192,0.2006785378655251,0.0013099335139013766,-0.3091351765843504,0.12624657924143282,0.2789579493235995,-0.1191592005982628,0.23845457426247504,0.5410718152043074,-0.10277405580381237,0.6866118972842344,-0.056716725712095795,0.2496853763149982,0.07132069380265096,0.3871276975871766,0.1896809510661562,0.3989471350982011,0.16841705202924304,-0.41025404134215265,-0.09787113519567223,0.1853184651029993,0.19597458997448738,0.054003350312192375,0.32527856540157235,-0.014636273475045813,-0.2853778879180894,-0.04329133025730267,0.7810747492039728,-0.05182577526618582,-0.028072375701620696,0.1998514869837199,0.0824608186590918,0.4484839619749518,0.0817032041243536,-0.06844889213918288,0.13046702012024464,0.4853278187273441,0.14739242851374948,-0.11591589589525143,0.2527796456679816,0.006969875338465137,0.08411113735000544,-0.28833514900995927,-0.023361756204336472,0.03888171220165736,-0.25759631589490206,0.3057827478763148,0.2410580963480739,0.20525816538376887,0.7150236795321863,-0.3053115797637987,-0.1964171025051614,-0.020867406530271276,0.06612929976105907,0.181885464785076,-0.16891534155416174,-0.34129036867951495,0.09865165318632987,0.020452640320744266,0.10426351036195454,0.2349171656829963,-0.2088378523501784,-0.2569994899848099,0.3146846683537015,0.005389704776478664,-0.2000502487571016,0.05292893081393449,0.7194631566626706,0.20357272014076994,-0.45541925219040696,0.16096594184766314,0.012819814640993504,0.4251707141521766,0.32070656416478266,0.018074108151086555,0.37836931233826904,-0.20348667196492384,0.0017733616963385357,0.22402555536579563,0.17460003022234716,0.47218196772683385,-0.1637326992808903,0.37952464778542716,-0.14700491768601667,0.34253257227983,-0.002052582804921048,0.4464931152594083,-0.10170148634843335,0.04731879692528485
Thal_PuI_R,0.21611820263266554,0.3801888172057531,0.367370230955903,0.33336704287836394,-0.06236046641693103,1.0,-0.166326726477187,0.629750818069305,0.35209844949123426,0.6443601827141421,0.6356493579176964,0.4611873825851959,0.09940996629405767,0.25900438001903453,0.37641102948032434,0.4982585721211322,0.34431766829044075,-0.12997228874453978,0.18733603471585425,-0.11192343883652633,0.45848611918038723,-0.18718985876883365,0.500584707163275,0.48542466526412137,0.41284099311518724,0.6140321255677879,0.3993756084813963,0.6363637628667421,0.1491121133705819,0.2557598238032576,0.7760302957957365,0.3504974466493015,0.6677870527713033,0.44200020009944835,0.443209675151546,0.7271062062543485,0.7115016540119629,0.5818134058204377,-0.17644606614636613,-0.10284717222567906,0.209947720546758,0.4768528560361758,0.20162992345321534,0.3380282529546554,0.3161552910898777,0.6182554488681555,0.4968074149206488,0.24434170226040877,0.33609025573868595,0.5399289072787258,-0.04923133776841963,0.25589536419254505,0.2065024463558974,0.45335570681514126,0.5681795099753265,0.2325407737934267,0.5695363566690345,0.10022994562994585,0.5584390294797716,0.16705260241358183,-0.12147687554394067,0.26737889463941134,0.3462520811830769,0.4797854589718942,0.6512424117709887,0.5817583540641726,0.44053221990594843,0.3568803614892236,0.68796343046798,0.1698906527781869,0.3606138897600406,0.3341096116086739,0.6916225605902308,0.3043250375893975,0.6600989731517328,0.28854363820652834,0.7532201655947364,0.7482535123387292,-0.1143990464848688,0.0105975996532381,0.24300064532108334,0.43803166265238913,0.7109602983099887,0.5741056079939817,0.41405391836645833,0.19571198808092907,0.36616441322041793,-0.17498493163039955,0.6293243492531647,0.29169848233253626,0.6318401336325015,0.4132157523297088,0.030317119735962184,0.5610278476353188,0.44217987467704684,0.5055558027225927,0.34160274167853405,-0.08431386915725768,0.789193591563764,0.6054791938599271
OFCmed_L,0.21360099067530047,-0.18052226097161533,0.45217970312505434,0.12844614293695575,0.799764144446307,-0.166326726477187,1.0,-0.1466377718861311,-0.0997893567377815,0.20511271580418683,0.24591786096120063,-0.23149034430524582,0.1995208002364076,0.046594357505722286,-0.33152284894481865,0.10216701715947371,0.1433740171446685,-0.0369560385575378,0.2834949905173187,0.7894696792636582,-0.3153372838691267,0.9253158540403705,-0.18088800312409625,0.021712692536371755,-0.05309348724224054,0.30185066367732566,0.13592168863254434,0.2490790547980752,0.09106876252342634,-0.399769498273198,-0.2685452726955329,0.15608422231833494,0.08614630452423204,0.05010213941451767,0.25889335591380314,-0.22687236174806408,-0.41610174461327254,-0.15511633787798634,0.9350723535447185,0.12029041520258389,-0.09099221338582125,0.03885127523014394,0.10977483745500423,0.3569570034545527,0.1439806823542846,-0.17266683719935771,0.10541917585588467,0.3472743703338035,0.06190921041877456,-0.2480690208641056,0.4402575181483074,-0.030497954940312363,0.24199270085414806,-0.3148219844297646,-0.18717561398806776,0.00127375125129798,-0.34663192046400726,0.42372014000415875,0.16838703090501553,0.1976525131865872,0.9327219743230795,-0.3499450627658857,-0.17304512514758796,-0.1677882378374218,-0.12790975707787489,0.08150496025291724,-0.13730399717148262,-0.3797069371697903,0.007883530795400079,0.07352890466209935,0.040750837501331884,0.10707167944724587,-0.38569030227228274,-0.30639957705435966,0.12642423613378873,-0.06568515490841899,-0.3198488575224013,-0.009587325605767682,0.9135802685870618,0.2592873429131874,-0.5117326045541888,0.03714513267901018,-0.07364506926465744,0.3433336070690838,0.2687430145250045,0.058021964237338707,0.2685127415727109,0.016224078264063142,-0.059041054093763784,0.13135452091556027,0.023036779865341563,0.39367230593754554,-0.14867573621079594,0.24468139820296197,-0.14152509297577318,0.25668636912147497,0.008379555231596105,0.6065127941080423,-0.26233180323955413,-0.12920902424184566
Cingulate_Post_R,0.1120931237013541,0.5248384687225524,0.40421621304172434,0.44464381458154456,-0.03641759542352941,0.629750818069305,-0.1466377718861311,1.0,0.45682684277990127,0.7434424336702862,0.6143091181222821,0.5481018069709561,0.1378312094846851,0.24394047388690202,0.5643565481976023,0.5750359311493414,0.5579468692013213,0.09218935287814152,0.3284611796489303,-0.14412230346875818,0.5372741649687134,-0.19749787864264445,0.6587602932595034,0.28544689108072474,0.4658484275034848,0.7720522695182305,0.5873378622894574,0.7848319929315274,0.47851754744050295,0.4120864279897478,0.853479129704416,0.5629979775475367,0.7558484584662539,0.5185849576394631,0.6022778816760997,0.815296648541903,0.8593774914257886,0.8615683035092675,-0.1344477506751677,0.03558225392623525,0.16083241234546988,0.7005598431234422,0.08743800727972871,0.5084924657879226,0.5410191050081775,0.5861841870007549,0.33182161904733903,0.28778892123473987,0.652115536991815,0.47300764626225317,-0.2176323988154135,0.706029435176848,0.18871589283948728,0.7407925469170795,0.7326826698536943,0.6596878979021876,0.7711133475093928,0.2721342893247708,0.7381697989261223,0.03902725358124082,-0.1469966436336131,0.42871321711899124,0.6233587397404413,0.5281034782833837,0.7093715153141552,0.5672782254545886,0.7522912757069731,0.5047254101540761,0.8210374665377667,0.5042090189139538,0.7164769558356381,0.642503181447641,0.7930189741264047,0.3401944035993543,0.5729167246148528,0.6506746010255137,0.867269373167963,0.7598586722066083,-0.11381876133206718,-0.04975210386585134,0.2807729765781042,0.727446395700905,0.9241975452130132,0.6652861851620148,0.2839018912000917,0.36132681524368354,0.3255567483303794,-0.061693704492070164,0.8530169468267961,0.3585892962193868,0.5150218148925503,0.5393081182315627,0.11510813257723826,0.6721217258062567,0.6051615375492791,0.44745003883643236,0.48023332566697824,-0.07388881714439588,0.9006650940698303,0.7828183710854383
Cerebellum_9_R,-0.261573629797528,0.1705378959425856,0.0974356852460137,0.25180447922068155,-0.15600883232843388,0.35209844949123426,-0.0997893567377815,0.45682684277990127,1.0,0.38698292045349475,0.296143250289722,0.3743868951540394,-0.18462526282412312,-0.015035714817986597,0.5641430403205409,0.2511582222406436,-0.07648740307524053,0.4503957856378053,0.024695616053335128,-0.008043882614709966,0.2565532080744962,-0.03295805933758602,0.7533662791798073,0.13383549472663872,0.46665012619513513,0.33911660495671003,0.15962043964038838,0.3177470735831269,-0.19389103718823283,0.6401927006483756,0.4888776056976042,0.20199797626748311,0.363641799731697,0.2375948753720262,0.20489970888207076,0.4069760082970603,0.38892869191612256,0.4216489316380916,-0.05681931115387761,0.46243175845950707,-0.3804687348041847,0.21582678782387338,-0.43815232790723546,0.017991894745116158,0.6396109364594068,0.15278702563599647,0.3965893821687546,0.05145993124535803,0.019438829756784237,0.3123235965596136,0.05336713554174668,0.12757501986265382,0.4529621577503413,0.6775522448591453,0.4643529242117299,0.016074176857751407,0.6771933309135808,0.405632004211312,0.2614577059920802,-0.4246272127393113,0.0015334667484145292,0.6473482277218339,0.7250179164088512,0.5627523548142973,0.16043201213333189,0.023286911062674207,0.37101163079114036,0.7530531274873157,0.3878118800770716,0.5703569821604781,0.10860341358393802,0.05679235085590513,0.23959847878986637,0.3898435321031694,0.13063605373641843,0.12887363805130722,0.5736811302668621,0.4341872192530924,-0.047966980460373836,0.08668445526883858,0.2883642811524292,0.08493228017011716,0.4884741408930061,0.3269098787021891,0.19909490356130738,0.5541785668312496,-0.17414566278423832,0.5035106938510437,0.4843681861040264,0.13447245157979795,0.24271624418849388,0.3381462978338189,0.36638560449187346,0.13815873110130855,0.5963673628056833,0.2868972954810092,0.3622439915663219,-0.08366053279545406,0.4476975493800246,0.41230210060118266
Frontal_Sup_Medial_R,0.19978197368750497,0.2533030862708235,0.5888114109361635,0.41873316303217184,0.3825589575720119,0.6443601827141421,0.20511271580418683,0.7434424336702862,0.38698292045349475,1.0,0.7256238674410181,0.4565291991186453,0.24710132294746753,0.2845720603396789,0.26524993166414707,0.5915971384017665,0.5229878763622787,-0.01824229663171583,0.35320800759622567,0.09091752010401422,0.5043964442533108,0.12714328584270443,0.617731545863937,0.46189358489013627,0.4696732156997659,0.845407460175176,0.6074321246236586,0.9280884207856929,0.3228853749054908,0.15020209306127935,0.7802814768992583,0.561630178288939,0.740112069951794,0.4877913713191507,0.6709705514975118,0.84880372290901,0.627098451747572,0.6631097933797606,0.20198495157760263,-0.01897922645377085,0.09986613108170625,0.695081324349924,0.14425567240045034,0.6796179950427336,0.4056059810957489,0.5720848359628993,0.5568149213241401,0.6404567786915513,0.48859546095802886,0.3788921868735449,-0.06247980208600934,0.44761404298413027,0.23658085841397727,0.4370314750246768,0.6100719813222739,0.43779581313309107,0.5182841796489849,0.3045535697214468,0.7518254282157681,0.102078484352351,0.1763148310975468,0.2924181470254175,0.3794192537722584,0.5576809430697892,0.7279181153477727,0.553929050548986,0.4984837572477441,0.33993377045912404,0.7583494436626904,0.2739024129115749,0.5199473173143954,0.525008177432538,0.6269028918515759,0.24619393195202122,0.720578762315582,0.4168502852043376,0.7264208817542239,0.7586797956724127,0.2067072500998601,0.19298841738500447,0.07631169627481138,0.5775556930408886,0.8044011803067755,0.8655649465331292,0.4718513895141883,0.23916796199512125,0.49024425674428146,-0.1738526682595851,0.7124076777010877,0.5991163212819693,0.6199328628219241,0.7279127567108208,0.021222332942233458,0.7508090935798786,0.4257365916160442,0.6757126217943724,0.5073559951531074,0.11587834563537296,0.7812065731402539,0.7178780954258086
