,Heschl_R,Thal_AV_R,Calcarine_L,SupraMarginal_L,Cerebellum_Crus1_R,Red_N_R,Cerebellum_10_R,Thal_VL_R,Frontal_Med_Orb_R,Frontal_Inf_Orb_2_L,Thal_MDl_L,Occipital_Sup_R,Cerebellum_7b_L,Caudate_L,Occipital_Inf_L,Temporal_Pole_Sup_L,Thal_MDm_R,Frontal_Inf_Orb_2_R,Rectus_R,Precuneus_L,Thal_MDm_L,N_Acc_R,ACC_pre_R,Frontal_Inf_Tri_R,Pallidum_R,OFCpost_R,Parietal_Inf_L,Thal_LGN_R,Precentral_L,Vermis_1_2,Temporal_Pole_Mid_L,Fusiform_L,Frontal_Sup_Medial_R,Thal_VL_L,LC_R
Heschl_R,1.0,0.281100071726789,-0.07375378443099678,-0.10348555854776031,0.12079879822314737,0.14527077732923302,0.21785182315064305,0.15954105302631286,0.01461013183743611,0.17108520991658582,0.3230494320642938,-0.0848009918141973,-0.0931362330743553,0.4086300664004085,-0.32693641635865783,0.25349429275405627,0.12733345952895556,0.492664971149125,0.02864281311602791,0.1547664930401213,0.046523640927766945,0.0642794988008931,0.25926984564204947,0.5463929078375698,0.3236290297111532,-0.037068679267851644,0.03318352790469319,0.2572826920783493,0.20294687155072003,0.044647962385892775,0.2288535466325873,-0.22483803635143512,0.37757720482655,0.030314151534360585,-0.13342534074022855
Thal_AV_R,0.281100071726789,1.0,-0.19319834964556284,0.009670302153014416,-0.016344432998815217,0.7009305273548948,0.14128581415176597,0.3482823316615245,0.1466760333648092,0.2513585401213728,0.42246901845337315,-0.44825689523261636,-0.013954267900869025,0.4472807146897412,-0.3931835044770834,-0.001518194878162097,0.5035093485868012,0.3922486071038601,0.16301004742744465,0.1391131966925436,0.39276516489242885,0.12329144621081937,0.2006785378655251,0.3839884424684541,0.49708527224891635,0.2136467752063525,0.030972982854935646,0.534348217461705,0.2758788950193059,0.2875989177926034,0.34250113962860707,-0.040099782190290346,0.24710132294746753,0.3006289218940722,0.11329796676611364
Calcarine_L,-0.07375378443099678,-0.19319834964556284,1.0,0.7496118989388072,0.17215610482531504,-0.22021309896852911,0.449641617533095,0.43696498218146124,-0.18524401131121515,0.07863148220532659,0.11178851684629186,0.731332659482498,0.518281556218126,-0.011737945147150014,0.4943141739345445,0.16680882566399857,0.16280358162921246,-0.14404001669297076,-0.25807486860723783,0.6894877262827962,0.388682554002422,-0.15951505988764553,-0.28833514900995927,0.23221445566547183,0.33883332673772537,0.07940029257012159,0.6449455080952596,0.20498256665706058,0.469519282915039,0.35325333144861326,-0.05573778293861809,0.7296582558928932,0.4370314750246768,0.5164091535536293,0.48708337448070244
SupraMarginal_L,-0.10348555854776031,0.009670302153014416,0.7496118989388072,1.0,0.07935306266597955,-0.012947949490664528,0.3157117546636374,0.5020962435737965,0.1110451910928446,0.4854851288574021,0.23611460290140124,0.4594553446179548,0.562984574520237,0.25744131546278576,0.41810454444121437,0.0856729870708605,0.2676844881382098,0.05516326121475117,0.04278785726750971,0.851716978774535,0.44146657313714344,-0.1084634513230474,0.08437953569216552,0.2775887120881754,0.4845929103195784,0.07211642703107167,0.8994620596366947,0.3591669169437435,0.7404648023406581,0.5375881426794852,0.10979458199518861,0.7428272621191241,0.6654867909120634,0.5570845913294397,0.4938643216669142
Cerebellum_Crus1_R,0.12079879822314737,-0.016344432998815217,0.17215610482531504,0.07935306266597955,1.0,-0.022889131213743464,-0.13496307780177152,0.03806898951524315,0.4484082029662077,-0.06199347536219119,-0.09263982938069815,0.09462168021978803,0.2231460104240795,-0.009658707314071844,0.4069807543727042,0.5271882748642044,-0.0753923698806994,0.10176976410301676,0.4922993239344858,-0.006049536468237594,-0.0297057963288756,0.32169231843888385,0.19237416264270538,0.008349039951940094,0.05908219102030439,0.5403914645270148,0.0907590957095491,-0.11589048187517018,0.07602549312487829,-0.033526290305237905,0.41723095668386356,-0.06841214644714617,-0.0078218950771526,0.05707517076866824,0.011084152174271309
Red_N_R,0.14527077732923302,0.7009305273548948,-0.22021309896852911,-0.012947949490664528,-0.022889131213743464,1.0,0.10275656636820077,0.443452912404428,0.2721435763883515,0.1934014303075915,0.4956264459397331,-0.41608854792174843,-0.1667098192669052,0.5340597323154217,-0.4779853802018938,0.10019050793023074,0.6060450053736661,0.3720874835588492,0.2768216737130224,0.17568987317157392,0.46593894565961985,0.1799554956062942,0.2572112701032648,0.3739418525789099,0.49348375255646265,0.21022584981254713,0.08638632532809255,0.5935183714969452,0.307979256018399,0.3414399122002925,0.3332465155669425,-0.1191073666328477,0.19331153564976739,0.3439274064176425,0.0726217586716899
Cerebellum_10_R,0.21785182315064305,0.14128581415176597,0.449641617533095,0.3157117546636374,-0.13496307780177152,0.10275656636820077,1.0,0.3015245331750869,-0.2968784732680431,0.24971447882169362,0.28376123065346515,0.312471411497196,0.11518863174173412,0.2837225272778836,-0.1411110827919069,-0.0042376765052889905,0.21507342614080507,0.3093115180256228,-0.35395158311366925,0.48722578277242884,0.2941286473072776,-0.2740403271517803,-0.10277405580381237,0.4490230876320733,0.2891649692346142,-0.1292650538717024,0.3775973252351132,0.37924205525993226,0.31157663345047,0.3006247658377991,0.06769884589184315,0.4555249154291242,0.5043964442533108,0.2600425000640065,0.14685129519245327
Thal_VL_R,0.15954105302631286,0.3482823316615245,0.43696498218146124,0.5020962435737965,0.03806898951524315,0.443452912404428,0.3015245331750869,1.0,0.0578193839749716,0.2169771302004826,0.8350154157664516,0.1709965011193161,0.2489659399841069,0.4749343674592627,-0.0995591393191401,0.08748998009070838,0.8690696490871849,0.21797075314692713,0.03150836776565072,0.6276593124167444,0.8812707390883074,-0.0012799632277338392,0.10426351036195454,0.6774696071330115,0.6443221348495607,-0.023163570254404454,0.5140322726757824,0.5807517228680632,0.6457703527498323,0.32862830930592574,-0.06474398711432958,0.19457503562856696,0.5199473173143954,0.8970299209654781,0.44453624783387
Frontal_Med_Orb_R,0.01461013183743611,0.1466760333648092,-0.18524401131121515,0.1110451910928446,0.4484082029662077,0.2721435763883515,-0.2968784732680431,0.0578193839749716,1.0,0.2908587740859124,0.1200845706923859,-0.28172749279242737,0.20474495038233712,0.21585376338511686,0.2806762140994778,0.28435317929968423,0.05888844340790952,0.24444153454620218,0.9277502761391574,0.033413499073850564,0.02543736882318533,0.5420365301504539,0.7194631566626706,-0.040231660869493,0.13157809225986333,0.306462136726697,0.21456731412140947,0.027471253616890852,0.2841458918898664,0.07812401527561208,0.2686848432635375,-0.11827657992620631,0.2067072500998601,-0.014948488190010087,-0.09410008250936959
Frontal_Inf_Orb_2_L,0.17108520991658582,0.2513585401213728,0.07863148220532659,0.4854851288574021,-0.06199347536219119,0.1934014303075915,0.24971447882169362,0.2169771302004826,0.2908587740859124,1.0,0.21846617811117955,-0.06090136500808366,0.18964221825146535,0.49418676762193636,0.04079178779172875,-0.08813499784897698,0.22226304491566345,0.5353748802670738,0.27305636600111344,0.43293562830072324,0.2873896218490782,-0.00018050565650844328,0.4853278187273441,0.28986605000534654,0.5632670175003317,0.12636187371754778,0.4858358517364799,0.283640643913523,0.4391553373543397,0.27162990032467277,0.3171959200700725,0.33198411088745616,0.6404567786915513,0.21992934689743407,0.06507696563043686
