,Caudate_L,Cerebellum_3_L,Cingulate_Post_R,Vermis_1_2,N_Acc_R,LC_L,Thal_LP_L,Frontal_Sup_Medial_R,Thal_IL_R,Cerebellum_7b_L,Occipital_Inf_L,Olfactory_R,Thal_PuA_L,Cerebellum_8_R,Occipital_Sup_L,Frontal_Mid_2_L,Occipital_Mid_R,Rolandic_Oper_R,Temporal_Pole_Sup_R,Temporal_Sup_R,Thal_MDm_L,Vermis_9,Paracentral_Lobule_L,Angular_R,Cerebellum_10_L,Angular_L,ParaHippocampal_L,Occipital_Sup_R,Putamen_L,Cerebellum_6_R,Lingual_R,Postcentral_L,Raphe_M,Temporal_Inf_L,Thal_PuM_L,Thal_LP_R,ACC_pre_L,OFCant_R,Temporal_Sup_L,Precuneus_R
Caudate_L,1.0,0.6001715736945853,0.5084924657879226,0.515150487056579,-0.10071429355198826,0.30985864385414397,0.3226449417301565,0.6796179950427336,0.4622413288784896,0.12014263796522767,-0.43839451580634786,-0.15731857671863433,0.3058229205834093,-0.4488561379083579,0.06659167136450725,0.7694965296132474,0.06543792781692548,0.3516500127549201,-0.24301658384711464,0.4777435357000619,0.453685620992573,-0.24573418184240603,0.4376608921060308,0.41620127745631,-0.26442521552188797,-0.034840283976716714,0.3433235719761492,-0.019175189326924177,0.7683382330041876,-0.027941289574090006,0.09452857800445935,0.6490095968479366,-0.01510132100382675,-0.5308441140324873,0.33121216575903967,0.5432656254696984,0.41498949230653165,0.09730183894198749,0.30865441653774556,0.4035712867742317
Cerebellum_3_L,0.6001715736945853,1.0,0.7558484584662539,0.6085377982862605,-0.06138315013127557,0.44453004200822815,0.39335024840038996,0.740112069951794,0.6476227196834174,0.41218206935857327,-0.07169300981523317,-0.0014366398504392548,0.3871494961605169,0.019188304503181226,0.4456441784087842,0.8181814076642921,0.23604776365078176,0.39329383970484416,-0.04374729997893921,0.45090359977054534,0.4906521050712972,0.24421165605386272,0.773877635615045,0.5457468218116843,-0.0371268048375363,0.40793193740724737,0.45769985724190904,0.32684730813416835,0.6682010546064336,0.3267016476902669,0.5204490578662752,0.850447580605327,0.563363758400017,-0.07129708070060992,0.6987957830032875,0.6895828553101209,0.2690945723973128,-0.002112686622488236,0.5183258230567008,0.7440555814988111
Cingulate_Post_R,0.5084924657879226,0.7558484584662539,1.0,0.5750359311493414,-0.2176323988154135,0.2839018912000917,0.6506746010255137,0.7434424336702862,0.652115536991815,0.42928144542755725,0.03558225392623525,-0.13335257863926112,0.33182161904733903,0.2807729765781042,0.5410191050081775,0.7848319929315274,0.36132681524368354,0.5281034782833837,0.19028386947472326,0.4658484275034848,0.6596878979021876,0.5047254101540761,0.7598586722066083,0.563337625384919,0.2876821922504255,0.6051615375492791,0.5861841870007549,0.5643565481976023,0.5758313847119055,0.6358758956502144,0.7711133475093928,0.8344388892843895,0.47300764626225317,0.18161170746265637,0.8615683035092675,0.727446395700905,0.11852236754822082,-0.14412230346875818,0.5873378622894574,0.9006650940698303
Vermis_1_2,0.515150487056579,0.6085377982862605,0.5750359311493414,1.0,-0.14896753034597246,0.45236278171141386,0.3241630697934531,0.5915971384017665,0.16115047155301082,0.3639412774209098,-0.08867889984770393,-0.043164281552950726,0.6864831587269599,0.08658951638806422,0.2566361351469285,0.6369956193266252,0.02058052139951453,0.13827979683732855,0.20199267553707548,0.1573413153519173,0.2827823863977852,0.2054541272747641,0.704603740195978,0.2758253963468671,0.19854694028793846,0.31294675787218645,0.6432643628932918,0.14635383914710162,0.4755060983124353,0.2484636394845058,0.3547991521529444,0.7113237843637995,0.08924992105394669,0.04497914859033684,0.4278574985367759,0.3206170045507579,0.07044201093312097,-0.05210676204464194,0.5313851112304682,0.5743736142638372
N_Acc_R,-0.10071429355198826,-0.06138315013127557,-0.2176323988154135,-0.14896753034597246,1.0,0.0009519688515833681,-0.1437162362448104,-0.06247980208600934,-0.026481370717461566,-0.07851101662028709,0.13621820561246523,0.6778062308554113,0.00692336315148488,-0.13791950070445963,-0.05512732558903017,-0.07211231819691301,-0.016071854549424208,-0.015560338378249097,0.08155519901081668,-0.06982912156224347,-0.050125330168127785,-0.13491519226015533,-0.07690262673150473,-0.17442084930922463,-0.2079588705164271,-0.13932694555387193,-0.15299764805692784,-0.21880092242347193,0.01285203136924685,-0.2560657320246331,-0.2374453105355577,-0.12273807853557753,-0.07811214045356234,-0.07008317389641938,-0.11926223965422701,-0.06827085377492502,0.2517247344945348,0.5878578364544257,-0.09426636824246555,-0.1984806913505979
LC_L,0.30985864385414397,0.44453004200822815,0.2839018912000917,0.45236278171141386,0.0009519688515833681,1.0,0.05728958774241414,0.4718513895141883,0.07282558722035073,0.204223388405771,-0.03206053409077332,0.06736288258579311,0.6891655378226794,-0.14225515668988212,0.3147258784238297,0.5060032437668504,0.16768624160360462,0.20616083536491603,-0.17988319189181942,0.2610347822132091,-0.07737457018406042,0.08066118523569632,0.4859872464998959,0.35561413191109237,-0.06963621658244924,0.2083071054435722,0.20696293948005562,0.09882899748185914,0.32510812171527304,0.0001851707845223312,0.18571947462223073,0.5171186658813134,0.1886787857597962,-0.1947143563910596,0.18189520262707526,0.28183674995933394,0.30223726726770794,0.06803815864527683,0.2981300376227484,0.30627057984009115
Thal_LP_L,0.3226449417301565,0.39335024840038996,0.6506746010255137,0.3241630697934531,-0.1437162362448104,0.05728958774241414,1.0,0.4168502852043376,0.5968652523663908,0.2836491893561317,-0.012559593527559396,-0.20375913399715598,-0.01957664622636314,0.1568832229563916,0.3115901471196975,0.4985100167077479,0.1031138524247019,0.27790621932313037,0.1662600583690688,0.16860028760151596,0.7123075326096074,0.2308673299416763,0.3902609704985627,0.21109370604839475,0.25533948039575566,0.37574906466139324,0.40569816956047405,0.2813384495731607,0.4980687970002352,0.4178791829971302,0.440796090186692,0.5145720242721132,0.16639805078122813,0.11534573965044105,0.7255344109563435,0.5315217833168375,0.30599012438639717,-0.06519016888370376,0.46161672232150425,0.5506215957868967
Frontal_Sup_Medial_R,0.6796179950427336,0.740112069951794,0.7434424336702862,0.5915971384017665,-0.06247980208600934,0.4718513895141883,0.4168502852043376,1.0,0.48859546095802886,0.41145299753633924,-0.01897922645377085,0.014964479683278405,0.5568149213241401,0.07631169627481138,0.4056059810957489,0.9280884207856929,0.23916796199512125,0.5576809430697892,0.05912334299273376,0.4696732156997659,0.43779581313309107,0.33993377045912404,0.7586797956724127,0.47391760412207284,0.1716452293608555,0.4257365916160442,0.5720848359628993,0.26524993166414707,0.7041235340499525,0.38132338284729467,0.5182841796489849,0.8701583842884225,0.3788921868735449,-0.03007556424147364,0.6631097933797606,0.5775556930408886,0.34988993443905264,0.09091752010401422,0.6074321246236586,0.7812065731402539
Thal_IL_R,0.4622413288784896,0.6476227196834174,0.652115536991815,0.16115047155301082,-0.026481370717461566,0.07282558722035073,0.5968652523663908,0.48859546095802886,1.0,0.26171117481608525,-0.10881191469249814,-0.08269128283383091,-0.18985982885530958,-0.017972452537813766,0.2614825354823286,0.5962294845364616,0.07012784046975665,0.2652770885069168,-0.17819471976983714,0.27646481640636555,0.8310877100670878,0.05471881195280902,0.42039676251800423,0.2672569612098302,-0.10064121001727272,0.20075709188412277,0.14727874557275786,0.15416696283478187,0.6697893058677725,0.25207219785322854,0.3174040065405656,0.5823317021318631,0.4658854859320083,-0.13013307578056635,0.6876822962000392,0.8375920204264704,0.45640107417404047,0.07616247512857167,0.43179545841657735,0.5361165019307962
Cerebellum_7b_L,0.12014263796522767,0.41218206935857327,0.42928144542755725,0.3639412774209098,-0.07851101662028709,0.204223388405771,0.2836491893561317,0.41145299753633924,0.26171117481608525,1.0,0.4516565673078698,0.05260315040770485,0.24740351719559303,0.2637421457158177,0.5841951898369915,0.4250633820925955,0.2794759329230831,0.09282455388737616,0.10872047829266313,0.04632595434398168,0.2572172341940112,0.44675976855228794,0.47772421904971135,0.2573744696244123,0.22393311643928512,0.48021066068157986,0.26909132418368015,0.35753632573517824,0.23456638870340493,0.3679186542818067,0.4573068539945211,0.5569443805365808,0.37685920716580673,0.3357045982672592,0.4905594097284283,0.2513008479536836,0.17592032492491957,0.18684849963145952,0.4773017117763937,0.4165208872003291
