,Occipital_Inf_R,Pallidum_L,Cerebellum_7b_L,OFClat_L,Calcarine_L,SN_pr_L,Temporal_Pole_Sup_L,ACC_sup_R,Putamen_R,Pallidum_R,Hippocampus_R,Caudate_R,Frontal_Med_Orb_L,Angular_R,Parietal_Sup_L,Thal_PuA_L,Fusiform_R,Thal_VA_R,Parietal_Inf_L,Vermis_4_5,Raphe_D,SN_pc_R,Occipital_Sup_L,Vermis_6,Thal_IL_L,N_Acc_L,Cerebellum_7b_R,Temporal_Inf_L,Temporal_Pole_Mid_L,OFCmed_L,Vermis_9,Parietal_Inf_R,Cerebellum_8_R,Frontal_Inf_Tri_L,Olfactory_R,ACC_pre_R,Thal_PuL_L,LC_R,Frontal_Mid_2_R,Temporal_Pole_Sup_R,Heschl_R,Red_N_L,Cerebellum_6_R,Cuneus_L,Fusiform_L,Thal_IL_R,Cerebellum_4_5_R,Cingulate_Post_R,Rolandic_Oper_L,VTA_R
Occipital_Inf_R,1.0,-0.172377397316789,0.11051022624946436,0.462598353261491,0.402104400568146,-0.08690828207747889,0.3429622590867363,-0.3437859306343478,-0.2542735499313092,0.07871115370410019,-0.21448820888525205,0.11167514121968083,-0.22270675685765554,-0.08976626255384049,0.009037373999190353,-0.23143588148831473,0.030010849697855113,0.14712819720003836,0.015158809206353811,0.060631141457333726,-0.1771727386711494,-0.08833487194915737,0.21147533052420064,0.23131834244207736,-0.20385560917605466,0.3546429636024648,0.4614670031354984,0.5075100151039433,-0.0005634664794108437,-0.07886799031024114,0.38507422753973614,0.15301540200831718,0.4411201818950551,0.015715049407941502,0.32087633262399795,-0.26964385953098136,-0.015109589111119806,0.2462439875868398,0.17620787164540536,0.45371546179545374,-0.23344088703224755,-0.10660098106518588,0.35446390213982637,0.18083998056117034,0.21932020753891857,0.04393242228289669,-0.27850832227271705,0.04877326645258165,0.013095881835115208,-0.1028393980450287
Pallidum_L,-0.172377397316789,1.0,0.11971048289512569,-0.36867481565590027,0.043806991943744836,0.6325718647450921,-0.19154593167303383,0.27682479152995243,0.5601260209806972,0.5630806467491121,0.6209013654574809,0.5636122938769814,0.31017696010246415,-0.04212410940934993,0.43289135543453827,0.2816347616537322,0.10718161575142628,0.45474776173559533,0.38493324403471774,0.27968690408002833,0.21897111767315086,0.7813920785056722,-0.02296054897592608,-0.35784594426948085,0.6906461200081664,0.02517640806454509,0.08599674476328696,-0.09053533756583924,0.07501186915561092,0.2685127415727109,-0.1453725534499588,0.1593289426602762,-0.03874151202908249,0.6188800363991979,-0.010628752488694153,0.37836931233826904,0.4339393634751102,0.15966628473657424,0.3721856645076358,-0.05729228764993453,0.1676020370871732,0.7179949589217743,-0.022617141937500602,-0.18731827257008657,0.2879782850168239,0.46009703937656404,0.5603108676626738,0.3255567483303794,0.4774976508261762,0.5335167296645955
Cerebellum_7b_L,0.11051022624946436,0.11971048289512569,1.0,0.1428175789662461,0.518281556218126,-0.01213182490447853,0.020542750217542576,-0.022881684502076192,0.04006166531767915,0.1796686109170826,0.03462515061936765,0.17481760456101728,0.1422676484634946,0.2573744696244123,0.5351311003191666,0.24740351719559303,0.34465136885345293,0.2807614521902701,0.5311038376783096,0.5366826948801751,0.2962178759151968,-0.1616920894182835,0.5841951898369915,0.3416524661869436,0.26721308083375234,0.04349436095719593,0.2428463535690583,0.3357045982672592,0.00840040158328903,0.16533316865881317,0.44675976855228794,0.2336698763167138,0.2637421457158177,0.5490047435060234,0.05260315040770485,0.12777110903924224,0.011335512551631313,0.2711158461573168,0.32640813721603607,0.10872047829266313,-0.0931362330743553,-0.09194380392894468,0.3679186542818067,0.5354566366904678,0.4910857156944456,0.26171117481608525,0.22232085856692138,0.42928144542755725,0.45272061558762283,-0.27976640086334903
OFClat_L,0.462598353261491,-0.36867481565590027,0.1428175789662461,1.0,0.4134665516102642,-0.2935827629282147,0.2039903517925756,-0.09935961507621678,-0.32023201371790067,-0.0184426697289081,-0.36794803850145097,-0.07210846454481937,-0.2604113436316172,0.12831832081787473,0.11647889268945083,-0.008781273830349594,0.15774300203374217,-0.008883009766616587,0.13392608381870363,0.19547833203699105,-0.07387740390759358,-0.393772820602736,0.3070737541262882,0.45864085552925027,-0.1636400006099311,0.191249289514978,0.1352047162212819,0.4482200394410602,0.03618922757849369,-0.14867573621079594,0.509229805822318,0.2851571767406152,0.44634019449361667,-0.050765260709989685,0.14786621599063507,-0.1637326992808903,-0.25143639373558613,0.17480691547003435,0.13580131982320756,0.35992429986874336,-0.17420425961499356,-0.4262742844517697,0.43613325074433584,0.30278916269364303,0.29490921925692476,-0.13047671305586866,-0.28578690954834335,0.11510813257723826,0.10372020199891471,-0.2499904621551549
Calcarine_L,0.402104400568146,0.043806991943744836,0.518281556218126,0.4134665516102642,1.0,-0.09244843414023958,0.16680882566399857,-0.05651395485022622,-0.046464282799577206,0.33883332673772537,-0.06505372236168622,0.4183740142620401,-0.37544079996020185,0.4298188535321666,0.67243984126696,0.24845712127444536,0.62990750243775,0.4736623625032985,0.6449455080952596,0.8060879557157755,0.17361189285420317,-0.18593359065405907,0.7177416360108889,0.6741202045883811,0.29500852515427806,-0.009964267501297365,0.32404031929740335,0.6653884828827634,-0.05573778293861809,-0.3148219844297646,0.858164100022534,0.6883458901032791,0.654149969291038,0.5643633925981173,0.0030415164611794047,-0.28833514900995927,0.04461689681153034,0.48708337448070244,0.6665607216302051,0.4776870329145183,-0.07375378443099678,-0.20159835735531076,0.8379817243281303,0.6858358816833249,0.7296582558928932,0.3545520396954113,0.19228358915797278,0.7407925469170795,0.4156399240384162,-0.21861636502205886
SN_pr_L,-0.08690828207747889,0.6325718647450921,-0.01213182490447853,-0.2935827629282147,-0.09244843414023958,1.0,0.04369580118115367,0.31499958904452724,0.5700184975843912,0.4828497091523021,0.749451425988595,0.5248376894742938,0.3153452303601745,0.015809224004759283,0.28426512501405216,0.05002314029714753,0.10424149126817439,0.20967373285733104,0.24742540544765482,0.07496658320354513,0.07031041561842713,0.6963908840845119,-0.08223790414412675,-0.4579078994821189,0.4774000673649638,-0.0505049609836273,-0.019895953850437336,-0.3361642906150514,0.17247623293146247,0.2878492689953414,-0.35349245710708854,0.0711859810852052,-0.24445683649740885,0.421368056213744,0.008757263386928322,0.23303540853995883,0.5415740999587774,0.24381007867088503,0.26885129496644555,-0.11459789092395122,0.12166978629412475,0.7909839113322025,-0.1158197721030921,-0.18174117021417968,-0.006092770734291703,0.5400559001836676,0.5545688270144975,0.3200578321486409,0.2724571530411476,0.7610385273546154
Temporal_Pole_Sup_L,0.3429622590867363,-0.19154593167303383,0.020542750217542576,0.2039903517925756,0.16680882566399857,0.04369580118115367,1.0,0.243082139772595,0.31104558738725085,0.09414492912465454,0.22088422599347085,-0.08395630956336299,0.18959186835621555,0.3813344102257429,0.19904930203273422,0.19402538619310403,0.21602820934027445,0.1029058695550758,0.2115970520445989,0.16730095756428556,-0.018762016095372445,-0.12346109730257425,0.23640183340108775,0.3596214336826364,0.02647246518766058,0.2355606878613285,0.10679811427540166,-0.16243667276133553,0.4003463287038243,0.24199270085414806,0.11566502620235336,0.08193318091469136,-0.1624119349733862,-0.0514835767444986,0.2947967329688257,0.08411113735000544,0.14671228078309848,0.037814015985559876,-0.034888460933585476,0.09739151251954907,0.25349429275405627,0.018640445878070924,0.043175877232712066,0.20468085558364438,-0.1419904772510767,0.03845229764653425,0.21911119692375514,0.18871589283948728,0.08894726551624732,-0.002845968387245246
ACC_sup_R,-0.3437859306343478,0.27682479152995243,-0.022881684502076192,-0.09935961507621678,-0.05651395485022622,0.31499958904452724,0.243082139772595,1.0,0.5480151143071939,0.3799241478651622,0.5051184437502031,0.24209305347665747,0.18476416801275347,0.31050793145400923,0.39755145613547427,0.4269425111797151,0.3127582803347608,0.33056580791306256,0.26985410344615895,0.27812883254234777,-0.014410576301126592,0.07960044390491552,-0.13623327464256418,0.025634223735760905,0.34014925900003484,-0.22788861763226514,-0.3670710579767705,-0.3904107317535265,0.477237726755227,0.13135452091556027,-0.07380045459804753,0.17894201115979938,-0.2790750434449413,0.19726723864902562,-0.14353583630627267,0.22402555536579563,0.3445208074725285,-0.07423244354827005,0.20977316538864976,-0.038289921049325895,0.500017331707533,0.36723961205387984,0.004330414037404571,-0.18903751082792775,0.040974362603303505,0.19242937535770904,0.5587292924124272,0.3585892962193868,0.2913423351793873,0.24318494980244273
Putamen_R,-0.2542735499313092,0.5601260209806972,0.04006166531767915,-0.32023201371790067,-0.046464282799577206,0.5700184975843912,0.31104558738725085,0.5480151143071939,1.0,0.6063053143343669,0.8812076660260308,0.37085721604230226,0.4967692182085558,0.38726597640055715,0.41692363553185996,0.28257619203044165,0.3163029858293696,0.27991049656644534,0.4219264447765925,0.24992585873558149,0.2251436337405672,0.4417915216214362,0.08287650262932147,-0.09811269900702814,0.5732115553299962,-0.06941841129278223,-0.22627449129273164,-0.6270513357223982,0.36544892968796844,0.45217970312505434,-0.2992432403601134,0.03916955503570902,-0.5819049080682601,0.4487823825288515,0.01760862319858679,0.5147184966393538,0.5941161705575285,0.06701774355946367,0.1816526599688221,-0.3164591535515055,0.5145069223812383,0.6667119169114117,-0.17719717258704268,0.049088262685393305,-0.1839011317106943,0.517041361971986,0.8283688814704888,0.40421621304172434,0.45171174258185043,0.38341202808148395
Pallidum_R,0.07871115370410019,0.5630806467491121,0.1796686109170826,-0.0184426697289081,0.33883332673772537,0.4828497091523021,0.09414492912465454,0.3799241478651622,0.6063053143343669,1.0,0.5488808647133251,0.6628966285237301,0.11585000072871954,0.13716779314366256,0.48249283215035593,0.207690128445681,0.30458953795469396,0.6154512809461076,0.4667846495219172,0.4098339668615274,0.0646616223850447,0.392071778481765,0.16864559571954327,0.024428044066701127,0.4308681581522881,-0.03754352359489909,0.0734986802133092,-0.023056196102364614,0.25431615293540744,0.15608422231833494,0.15450121061422709,0.25628482234693467,-0.0014490802504276456,0.6402929058256573,0.0021179283318697286,0.1853184651029993,0.5113191369010336,0.3163808661282536,0.5228150542126934,0.16899198002777274,0.3236290297111532,0.5141841177249495,0.2129763039770344,0.12583868701312517,0.26425025061098106,0.5380659253465914,0.5529495395200332,0.5629979775475367,0.5452111205430478,0.3220796397759901
Hippocampus_R,-0.21448820888525205,0.6209013654574809,0.03462515061936765,-0.36794803850145097,-0.06505372236168622,0.749451425988595,0.22088422599347085,0.5051184437502031,0.8812076660260308,0.5488808647133251,1.0,0.5163564531252182,0.4338248017215202,0.2619108029097059,0.42102421805730855,0.22025520265683504,0.28341052115216514,0.2670343062995245,0.4056758924856161,0.238359368540384,0.17360844028207845,0.6010722869029698,-0.012999206628924734,-0.27791233731861426,0.5802622427514726,-0.13046835579889296,-0.12163722892113243,-0.5685417117695004,0.2608999254595033,0.36052031424773995,-0.4105548285437608,0.09737621041824099,-0.5240269485426436,0.5066246861450484,-0.01814241156727093,0.38223732889802453,0.6285461435606389,0.1457270703513574,0.3051952718522092,-0.2470101579066191,0.32948584528468144,0.8057724700303608,-0.1403477190389483,-0.050737404699179395,-0.12489798023317637,0.6008486554882568,0.8540170064169889,0.4604115049898268,0.40472515530790326,0.5756264894884355
