,Occipital_Inf_L,Thal_AV_L,Cerebellum_4_5_R,Postcentral_L,Thal_PuL_R,Thal_PuI_R,Hippocampus_L,Cerebellum_7b_L,Rolandic_Oper_L,Lingual_R,Thal_PuI_L,Vermis_1_2,Putamen_L,Calcarine_R,Cerebellum_7b_R,Thal_MGN_R,Thal_MDm_L,Cerebellum_8_L,Thal_LGN_R,Cerebellum_3_R,Fusiform_L,Temporal_Pole_Mid_L,ParaHippocampal_L,Hippocampus_R,Precentral_L,Lingual_L,Occipital_Mid_L,Thal_AV_R,Occipital_Inf_R,Cerebellum_10_L,Parietal_Sup_R,OFClat_R,Rectus_L,Amygdala_R,ACC_pre_R,Insula_L,Thal_PuA_L,Amygdala_L,ACC_sup_R,Occipital_Mid_R,VTA_L,ACC_pre_L,OFCpost_R,Fusiform_R,Thal_VPL_R,LC_R,Thal_PuM_R,Temporal_Inf_L,ACC_sub_R,Cingulate_Post_L,Frontal_Inf_Oper_R,Vermis_6,Temporal_Mid_R,Cuneus_L,Caudate_R,Frontal_Sup_Medial_R,Heschl_L,Olfactory_L,Putamen_R,Thal_VL_R,SN_pr_R,Vermis_8,Thal_VA_R,SN_pr_L,SN_pc_R,Calcarine_L,Rolandic_Oper_R,Thal_MDm_R,Heschl_R,VTA_R,SupraMarginal_L,Frontal_Mid_2_L,Angular_R,Frontal_Inf_Tri_R,ACC_sub_L,Parietal_Sup_L,Temporal_Sup_L,OFCant_L,Vermis_3,Olfactory_R,Precuneus_L,Thal_MDl_R,Thal_LP_R,Paracentral_Lobule_R,Cerebellum_6_L,Supp_Motor_Area_R,Cerebellum_Crus2_R,Pallidum_R,Frontal_Mid_2_R,Cerebellum_6_R,Pallidum_L,Temporal_Mid_L,Red_N_L,Cerebellum_Crus2_L,Vermis_7
Occipital_Inf_L,1.0,-0.11357366793941948,-0.37294300636690375,0.08744360456427644,0.12000100886736685,-0.10284717222567906,-0.2546496409100897,0.4516565673078698,0.24068072841711907,0.37963062128891134,0.1402563597910533,-0.08867889984770393,-0.19299960565493657,0.40133665268703095,0.42268388693665315,-0.09693383596603157,-0.08320195362442373,0.09540882566477524,-0.3594196020871552,-0.2931488124826654,0.45043282557694503,-0.020743536433582167,0.004405625360917266,-0.5087649858018304,0.04703202176488016,0.6255523416043938,0.7501863269451535,-0.3931835044770834,0.4589818448920808,0.43057037738066267,0.1561782716417952,0.13662395441027042,0.24504440655637108,0.5371361341034621,-0.05182577526618582,0.5150842343617369,0.012313970216230293,-0.1792242684647055,-0.4124383877768814,0.34133556130520515,-0.4928293403043401,-0.08504753516640269,0.28299677538774654,0.04429082361206777,-0.08787726982014718,0.10470288988991139,-0.09997871132138894,0.6646159690143516,0.10879571708136707,0.021815400020896023,-0.2555169172468625,0.5217686340357071,0.2338318394954408,0.5512248395013029,-0.12137339441863738,-0.01897922645377085,0.18843968915578793,0.0867511695403621,-0.40335381883932986,-0.0995591393191401,-0.12687111986074115,0.49560599767392344,0.15712565787707078,-0.39140248637039754,-0.40383809477165944,0.4943141739345445,-0.07281142162993925,-0.2478642799445125,-0.32693641635865783,-0.4822867218652916,0.41810454444121437,-0.10024980383773473,-0.0022448776753740906,-0.42864041525868796,0.11601416707927356,0.15667634127118396,0.3002551441928497,0.12326403630937896,-0.07211236206041309,0.2510886462579093,0.08459813555423029,-0.2503759952751786,-0.13074159100391194,0.036658661678673835,0.7219582094570277,-0.04082333591264365,0.5094027420385803,-0.06698664251691978,0.0049281868793560075,0.3918270106491164,-0.21973254440560375,0.6891897071301062,-0.4705868464208492,0.5758218119170432,-0.21554738713174787
Thal_AV_L,-0.11357366793941948,1.0,0.17678192116056962,0.15925162362762962,-0.11867202115313487,0.0105975996532381,0.17769270054243064,0.014039065925414856,0.21785008640445744,-0.1391477035191751,0.08813927215202916,0.2955025132851667,0.18141497015440444,-0.1492891883099921,0.06098974757490794,0.1816128584623267,-0.16948302741710058,0.14380124185570378,0.15526286612127443,0.32967875362902027,0.059876536046185994,0.41285286842406815,0.1823942635582766,0.18513821943530245,0.16906014250398887,-0.07313639280484567,-0.057994178902805386,0.32968687583061496,-0.22488805281961963,-0.04091757788087417,0.002401407580227851,0.3460661548351146,0.19903504399682795,-0.30027453138334426,0.20357272014076994,-0.1302529611729459,0.42131195506654034,-0.14734497549311226,0.32780671103659415,-0.15501695972735308,-0.05335703568508666,0.019209862192324484,0.20864753193457658,-0.03501471702016261,-0.08727745186808152,-0.18164914754265818,0.1718860038085863,-0.11870766466824367,0.15217082069009033,0.10393323508630092,-0.04709755143070835,0.03689507311306316,-0.19716184859436536,-0.24118264844715329,-0.05002528937063043,0.19298841738500447,0.1288680795077305,0.18534748717561206,0.24540542561095421,-0.19839955036923115,0.16677631064283172,-0.10126687317387317,0.30887859177911203,0.01335619029910531,0.16085064721419975,-0.16640170921783792,-0.02351244830231147,-0.18151659817878849,0.2138748407575627,0.03472993519129736,0.028264636249055702,0.2196614625256426,-0.020294911803351225,0.06651350562515337,0.1777419345086386,0.10846352933375186,0.1108168354416869,0.2396009675641645,0.11637561931420023,0.05957350137868929,0.07648182642467147,0.0326324858982209,-0.23731174364392277,0.05702209399041718,-0.17393841157545617,0.0359402208178026,0.05412090963100119,0.12336145681327267,-0.06322361759266479,-0.11255907230627882,0.21196113502601296,-0.12604337802081375,0.08940037225596244,-0.23063170730452376,0.10442016361117124
Cerebellum_4_5_R,-0.37294300636690375,0.17678192116056962,1.0,0.7834405705075479,0.28698318385864063,0.5610278476353188,0.7577265965648349,0.22232085856692138,0.5554361439362717,0.31730724454852544,0.39003665501906226,0.5809463463651632,0.7667052730818762,0.3198700056144836,-0.1974120415987077,0.381145272182228,0.4939884046147543,0.4611568141790837,0.7967604179014937,0.6513856036486194,0.15735943993151047,0.2761411759739139,0.44290043964425013,0.8540170064169889,0.7927948601032775,0.14453894566396844,0.0004973727200453149,0.4666707508116824,-0.27850832227271705,-0.20261465110307558,0.5035484111694977,0.19502609579236072,0.14509164038316813,-0.293811613688199,0.37952464778542716,0.15562192462730726,0.40769266622613765,0.36224738216570057,0.5587292924124272,0.09580827909525816,0.30822294318800575,0.45773729002025815,-0.12067705968187263,0.6125948208415489,0.6722732155999847,0.249018050895238,0.6796654087826927,-0.4049373435752675,-0.001805165455426185,0.6995297906257549,0.7379680973821069,0.008816684311482515,0.0008962227674625602,0.16466522328303443,0.549182423793686,0.7508090935798786,0.5566134424201297,0.009184913767793174,0.8283688814704888,0.6352212093183977,0.019594826013318876,-0.09480977254093194,0.33876676719254956,0.5545688270144975,0.37505730722990993,0.19228358915797278,0.39828868022526137,0.5361481080408603,0.40050080704694446,0.39053712855539896,0.42715881606356454,0.854483255290346,0.47886491112812085,0.8203057576168525,0.21803584487785893,0.6773393344196167,0.40026041689216374,0.2657805943441336,0.7806825135726312,-0.10649720556301365,0.710764118010205,0.42387795517379456,0.6938354334956414,0.5575632119730014,-0.20117092585646534,0.6028319250505317,-0.1823959097807247,0.5529495395200332,0.4776298771631167,0.15636854175601853,0.5603108676626738,-0.0972499139633208,0.5612465637751699,-0.5001921253382746,0.26403806683451175
Postcentral_L,0.08744360456427644,0.15925162362762962,0.7834405705075479,1.0,0.4544075968601392,0.6527289629003975,0.7473501231315174,0.5569443805365808,0.7553758161126772,0.588460103129777,0.6333811076256067,0.7113237843637995,0.7205676317380175,0.595289554668857,0.05942513965834728,0.4828039386753078,0.5177549006587129,0.5811605018687567,0.6636328495577308,0.5323851126250627,0.5251492945794094,0.15980062658256466,0.5855286992478803,0.5895034078395198,0.9769022339433525,0.533372364201551,0.4420814347321852,0.2396118446944899,-0.1095802978250228,0.1406117628029087,0.7653218398009255,0.23364441357288154,0.18644643523508703,-0.07686915292261308,0.29971362183154476,0.5728540862691813,0.533243821489593,0.2600333343607326,0.4069044821534992,0.2689444194670379,0.08540714169386124,0.35954586964507906,-0.02499591239571354,0.605851894732434,0.7141811549305773,0.38735341017729663,0.7654868901691365,0.041580839759772704,-0.07693678903132083,0.8819054400745894,0.6926152884001395,0.2705838425057952,0.1085091725391814,0.4500475724499805,0.5714153974383337,0.8701583842884225,0.7931251414208175,-0.013054970451225377,0.5865743422141992,0.6293538141512347,-0.014108319500504661,0.24238173473487648,0.5509626496040075,0.3799468798820831,0.19720011482959604,0.5677980785410203,0.3877967012881542,0.4107770424949139,0.193646466975816,0.13826398836692466,0.7982104043530215,0.9325844094196404,0.5197415152315099,0.6296562860343662,0.1834925763565287,0.9260682325551315,0.7235492751876066,0.2292205905279338,0.873109664002958,-0.016944129604835552,0.9318754286084968,0.36264529597250755,0.6362460322894379,0.7992982005404932,0.24688037373414637,0.8017219934718751,-0.06576400172917256,0.5454894484029293,0.6500155303915356,0.41074593223007916,0.5473026755614541,0.39655199305163114,0.31813264509615224,-0.2448294808640134,0.17868341787578118
Thal_PuL_R,0.12000100886736685,-0.11867202115313487,0.28698318385864063,0.4544075968601392,1.0,0.46374650793818284,0.26148502905733356,0.2942806067116658,0.18559575524311472,0.5318354264857961,0.47520934078883387,0.14751310770635076,0.21860081473254034,0.55626276915709,0.10099936455772593,0.37550367506069404,0.10007599385326671,0.2964922239255744,0.3132936157838983,0.10801625312635645,0.32119680885119933,-0.29985098024812357,0.3269099042113178,0.04956401009694056,0.4236962385632153,0.4663578709826385,0.2055046243883387,-0.17370818200098992,-0.042609001914677765,0.16760410492507535,0.5452905289242559,-0.0679666138230831,-0.24124113530958127,0.07326391976983558,-0.050115312811467555,0.3617092714574032,0.16820945969447304,0.10199897520728289,-0.09053857215759382,0.4050832871367849,-0.07281311246532411,0.05734532444675673,-0.25234460678327314,0.5011234976145826,0.48608074080185915,0.1701405859723183,0.5624861495717431,0.18838641638480993,-0.14306874902885694,0.4111526892815624,0.5257082441448369,0.2539609046508578,0.35264214437988173,0.4337975784216063,0.2795110741307194,0.3844154109338924,0.23029624885169234,-0.12628705406848564,0.09619431532043295,0.2942150220693487,-0.20385610933292753,0.3059078044560519,0.042033729678988885,-0.12879123666583817,-0.09841327641624752,0.4908549924563206,0.3735101209200294,0.12325483499635238,0.12088091800530787,-0.1339212853020064,0.4136160967723252,0.4175953203256037,0.492632101943789,0.2921233273106647,-0.23195599195869962,0.5018690056622024,0.2752153871082672,-0.20790061138620436,0.41300427506362297,-0.0303142392863048,0.5047926293717249,0.4522032407567174,0.3722695388706584,0.5357153273474905,0.3473282488993585,0.5638826379730717,-0.03554660353733197,0.09224557098646415,0.4828812316360051,0.4337106925626301,0.1284949113291894,0.3724193907848517,-0.19648566046531873,0.07623685120156463,-0.12121903051164125
Thal_PuI_R,-0.10284717222567906,0.0105975996532381,0.5610278476353188,0.6527289629003975,0.46374650793818284,1.0,0.5533538369106858,0.2935708537165304,0.4132157523297088,0.5695363566690345,0.6797456626569595,0.4982585721211322,0.34140678003741787,0.48962725806879764,0.12917433107117887,0.5727290006261012,0.2325407737934267,0.44200020009944835,0.5817583540641726,0.33336704287836394,0.4611873825851959,0.04864710469733399,0.6182554488681555,0.40483975413820483,0.6140321255677879,0.3462520811830769,0.10022994562994585,0.09940996629405767,0.01875762122474748,0.15069180385262382,0.7532201655947364,0.03055715929006513,-0.12147687554394067,-0.12997228874453978,-0.06236046641693103,0.38546275449182066,0.4968074149206488,0.21611820263266554,0.29169848233253626,0.19571198808092907,0.209947720546758,0.010660011357478462,-0.2274759955355978,0.5681795099753265,0.5906994301423317,0.3801888172057531,0.6776209091280039,0.1362022046175837,-0.11388544601148737,0.7109602983099887,0.6054791938599271,0.21221566387761803,0.23005329027924246,0.1698906527781869,0.4472584993242265,0.6443601827141421,0.443209675151546,0.0940758113227122,0.367370230955903,0.3606138897600406,0.06710914764565544,0.26737889463941134,0.34160274167853405,0.2682842306314597,0.16705260241358183,0.45335570681514126,0.4797854589718942,0.1491121133705819,0.22339854225944275,0.20162992345321534,0.5290058656712507,0.6363637628667421,0.42835133825770394,0.4768528560361758,-0.21119896599521398,0.7189725999970314,0.3993756084813963,-0.17644606614636613,0.68796343046798,0.09132187300106553,0.7367625151927764,0.5209057570402928,0.43803166265238913,0.7760302957957365,0.2557598238032576,0.8110717565042752,-0.10344302882513018,0.3504974466493015,0.6916225605902308,0.4151691318697653,0.36616441322041793,0.28922523996642385,0.11592513052003266,-0.07218809378248058,0.25900438001903453
Hippocampus_L,-0.2546496409100897,0.17769270054243064,0.7577265965648349,0.7473501231315174,0.26148502905733356,0.5533538369106858,1.0,0.21906348986069057,0.6055735839425966,0.3213747478065166,0.42436917790746365,0.6579313360428443,0.7604210396244772,0.1940058267415812,0.06551586256157207,0.4996984658095527,0.612529097662403,0.5646017279235943,0.7839758640223299,0.47878375364822684,0.48876809397343735,0.2077792433828368,0.7318229121074451,0.6976276021313187,0.7350043018548734,0.12526480389874134,0.11304705618854695,0.5132086688995495,-0.12422452895974698,0.19690157328070745,0.5944174005847342,0.04294198756486507,0.07681948530095883,-0.3723010624374387,0.25212679936167515,0.4543597845145837,0.4041254822482208,0.27833210619479787,0.3936093189690187,-0.11101518009623766,0.4933450366236059,0.37961406656682034,-0.012333230048126564,0.4251333376465623,0.6640940886762773,0.41864882900823164,0.58268815892992,-0.02502346049714049,-0.09926705679226332,0.7160322032251629,0.5127998049601175,-0.1625557566021444,-0.18222817019820678,0.02036667577750097,0.7541324250806429,0.690240300974626,0.7263249713878698,-0.0016549248407152146,0.5795750423085386,0.6363491113298138,0.30933728131174654,-0.02836068777095686,0.5091004001986822,0.6890907359252096,0.6490981558788156,0.31309080734468575,0.13803424358549804,0.621298985519442,0.11841957912445074,0.6042685297010811,0.5695838592620133,0.7487102918014786,0.18715698652026455,0.5594134399992071,0.04743714788788904,0.7113608903536106,0.7245943512005837,0.06343923245221475,0.7282157646351123,-0.11555067453885945,0.7293667227538334,0.47108857969579876,0.5652957091531668,0.6471578659586066,-0.030603121694900634,0.7023757421232768,-0.26519435053726875,0.6290343282200558,0.6632033771085308,0.3043666052760973,0.8082830755152514,0.24819886433023147,0.6296593941835231,-0.4118823310158267,0.30912826650941655
Cerebellum_7b_L,0.4516565673078698,0.014039065925414856,0.22232085856692138,0.5569443805365808,0.2942806067116658,0.2935708537165304,0.21906348986069057,1.0,0.45272061558762283,0.4573068539945211,0.4335487837036328,0.3639412774209098,0.23456638870340493,0.5010361282229118,0.2428463535690583,0.20674897203434642,0.2572172341940112,0.4105501294340883,0.1040896471548681,0.12402581462390026,0.4910857156944456,0.00840040158328903,0.26909132418368015,0.03462515061936765,0.5683111662288465,0.578576173626467,0.552208571561537,-0.013954267900869025,0.11051022624946436,0.22393311643928512,0.422571206671955,0.17970943894659427,0.22128785916035681,0.24887600638524543,0.12777110903924224,0.5312250871431086,0.24740351719559303,0.06480791937382087,-0.022881684502076192,0.2794759329230831,-0.28274863484738927,0.17592032492491957,0.12931214751139744,0.34465136885345293,0.35644650724309634,0.2711158461573168,0.3397344997084294,0.3357045982672592,-0.08137356599869976,0.4360849930318937,0.2297856900904511,0.3416524661869436,0.1400156066007547,0.5354566366904678,0.17481760456101728,0.41145299753633924,0.4700389624086185,-0.09395561109456516,0.04006166531767915,0.2489659399841069,-0.12354030854288163,0.27258805969376576,0.2807614521902701,-0.01213182490447853,-0.1616920894182835,0.518281556218126,0.09282455388737616,0.07857155722120321,-0.0931362330743553,-0.27976640086334903,0.562984574520237,0.4250633820925955,0.2573744696244123,0.11941579128108785,0.1588569777916674,0.5351311003191666,0.4773017117763937,0.2055570302431982,0.44460014132557335,0.05260315040770485,0.489737549985156,0.035994630565690446,0.2513008479536836,0.43217567667282,0.4453574945445835,0.39670235395281567,0.06877737805832532,0.1796686109170826,0.32640813721603607,0.3679186542818067,0.11971048289512569,0.4973923608335793,-0.09194380392894468,0.1405402524651938,-0.1129398861064325
Rolandic_Oper_L,0.24068072841711907,0.21785008640445744,0.5554361439362717,0.7553758161126772,0.18559575524311472,0.4132157523297088,0.6055735839425966,0.45272061558762283,1.0,0.40919946130946,0.4131310349004893,0.5168012880233906,0.627215853779049,0.37788819938852886,0.10419386631756627,0.3532514564466776,0.3933817300929574,0.4180677428189697,0.391769671255689,0.2788359981220191,0.49949979025853364,0.30373242340368034,0.48072045993511286,0.40472515530790326,0.7437943798638438,0.39731661909570026,0.57348265658568,0.2473501850818332,0.013095881835115208,0.27836643479525675,0.5240226235336841,0.33116837510065966,0.39500257063695204,0.06190133528978627,0.47218196772683385,0.5749170841350306,0.4668446229835173,0.10461694335405361,0.2913423351793873,0.13532120885007964,0.026668037074425485,0.42142312843333124,0.10577659372922797,0.3638944543152935,0.4278418682628902,0.33274806802285617,0.44163219397447984,0.127952631011132,0.059366865502307395,0.6090874199226014,0.3811089144690145,0.22257666380265595,-0.09484501489148686,0.3515293554538912,0.43229286755068036,0.7279127567108208,0.778082607041079,0.15475217625412416,0.45171174258185043,0.45079993839185606,0.058317483504648555,0.2473713908808989,0.5379479988740163,0.2724571530411476,0.15629300112222502,0.4156399240384162,0.23561828551199945,0.30454592123951124,0.14251344845950978,0.10482029637720376,0.7901035139134749,0.7107966487423419,0.24385904819000984,0.3640255148897154,0.3261015552868294,0.7067922098496391,0.7563006180695636,0.3835148485629459,0.5748624730922111,0.11968656150844534,0.7073482876949879,0.269449174062537,0.36647727131709334,0.5066092499511037,0.2503576168548668,0.490468511974657,0.09448059807599593,0.5452111205430478,0.44318853272005143,0.3132176754953573,0.4774976508261762,0.4209904385081359,0.23221006122937057,-0.1098873715438791,0.15900173791177005
Lingual_R,0.37963062128891134,-0.1391477035191751,0.31730724454852544,0.588460103129777,0.5318354264857961,0.5695363566690345,0.3213747478065166,0.4573068539945211,0.40919946130946,1.0,0.6277552775105582,0.3547991521529444,0.198767277470085,0.907536088177778,0.15369001367836743,0.23273214292960945,0.3075833828135147,0.3812403644737574,0.23338962507678299,0.14827008555147256,0.7144047285969921,-0.006678393046596702,0.5356438092086774,-0.03915198719044791,0.4864540420329333,0.8490516284835511,0.4401415942039279,-0.21344247784091816,0.270871173775307,0.5120072751231335,0.8455109627626664,-0.006840231487693973,-0.28464113599989327,0.368738150786081,-0.25759631589490206,0.6678656149157374,0.3236435794557292,-0.09449185099503211,0.06406333954016329,0.5810377084862315,-0.10245618212016828,-0.16885440547122765,-0.0666191257503623,0.8013102714574346,0.4729475950715901,0.4814243171279293,0.6961468139583513,0.5359275769928464,-0.18235901609041982,0.7204129034193348,0.5740235018095119,0.6934509876794682,0.6669096700823851,0.6561074706532755,0.36309763068875145,0.5182841796489849,0.41206532492564035,-0.20670515968507663,0.014417995190634691,0.3817830740758031,-0.05463224660000948,0.783386767861936,0.3721651790233964,-0.09149458485649051,-0.27994179530535507,0.9098977587735254,0.5719672910825698,0.08198779693495184,0.05199510119080154,-0.19455087283221675,0.6973847063001537,0.47824751279040306,0.5740132488279884,0.36646318193051153,-0.3329434652354788,0.7292616046172102,0.462779263964976,-0.31885707126666973,0.5877263748497497,-0.037576402942105624,0.7243507927613096,0.0943976592172479,0.439243523384035,0.7648997174273555,0.7911490060878654,0.7021457322038347,0.16375759093462883,0.2566783096075175,0.6704104516865356,0.8644668642408135,-0.015364730668996,0.7036476340161715,-0.265856544117406,0.3134359585530081,0.11360890036860367
