,Temporal_Mid_R,Cingulate_Post_R,Thal_IL_R,Frontal_Mid_2_R,Red_N_R,Thal_PuA_R,Cerebellum_8_L,Thal_PuL_R,OFCant_L,Olfactory_R,OFCmed_R,Heschl_L,Occipital_Inf_R,Thal_VL_L,Cingulate_Post_L,Postcentral_L,Temporal_Mid_L,Cerebellum_8_R,Paracentral_Lobule_R,Thal_PuI_L,VTA_L,Olfactory_L,Cerebellum_Crus2_L,Putamen_L,LC_L,Frontal_Sup_2_R,Fusiform_L,Cuneus_L,Thal_LP_R,Frontal_Inf_Orb_2_R,Thal_VPL_L,Precentral_L,Cerebellum_Crus1_L,Temporal_Pole_Mid_L,Parietal_Sup_L,Thal_MGN_L,Cerebellum_Crus2_R,Cerebellum_9_R,Thal_LGN_L,Fusiform_R,ACC_pre_L,Cerebellum_Crus1_R,Thal_MDm_L,Vermis_9,Putamen_R,OFCant_R,OFClat_L,Thal_VA_R,Thal_PuA_L,Frontal_Inf_Orb_2_L,Caudate_R,Rectus_R,Occipital_Mid_L,Temporal_Pole_Sup_R,SN_pc_L,Temporal_Pole_Mid_R,Raphe_M,Thal_LP_L,N_Acc_R,Frontal_Inf_Oper_R,Frontal_Inf_Tri_R,Hippocampus_L,Pallidum_L,ParaHippocampal_L,Cerebellum_6_R,Temporal_Sup_L,Hippocampus_R,VTA_R,Vermis_6,Amygdala_R,Thal_MDm_R,Thal_PuM_L,Thal_VPL_R,Frontal_Med_Orb_R,Angular_L,ACC_sup_R,Supp_Motor_Area_L,Calcarine_R,SupraMarginal_R,Frontal_Sup_2_L,Paracentral_Lobule_L,Thal_PuI_R,Cerebellum_4_5_R,Thal_PuL_L,Precentral_R,OFCpost_R,Thal_IL_L,Angular_R,Cerebellum_7b_L,Cerebellum_4_5_L,Raphe_D,Temporal_Inf_R,Red_N_L,Vermis_8,Precuneus_L,Cerebellum_9_L,Vermis_10,ACC_sub_L,Occipital_Sup_L,ACC_pre_R,Cingulate_Mid_L,Vermis_4_5,Thal_PuM_R,Cerebellum_3_R,N_Acc_L,SN_pr_R,Parietal_Inf_L,Parietal_Sup_R,Temporal_Inf_L,Temporal_Sup_R,Frontal_Sup_Medial_L,ACC_sup_L,Thal_LGN_R,Frontal_Mid_2_L,Cerebellum_7b_R
Temporal_Mid_R,1.0,0.46690918427336003,-0.13528924438768855,0.2121133980218701,0.40525553055719543,0.01908464988867026,-0.10982459584489003,0.1072209919479261,0.4711185735777419,0.5170111886240656,-0.224460101820477,0.5776904889201926,0.6118229324083898,-0.41979924448709216,0.39252036056343736,0.38355641451081446,-0.24706275972244413,0.5116871616590835,0.4281641445122406,0.32811097901780156,-0.029269661202008152,0.020324854350631437,0.15688444000644627,0.4632934726777626,0.15885582376965915,0.30660918598824244,-0.07551571018296638,0.4383359116498377,0.11582762352681394,0.5541244900876178,-0.024912024612303355,0.43913860056845716,-0.2861528446377924,0.5584258177566772,0.3384440857433434,0.009871048436052576,0.538621607375219,0.45054927806378037,-0.12021607029922676,0.5332647110050743,0.4322785543605517,0.6612813191019243,0.4527020125957617,0.3473847766476146,0.09425088112433602,-0.1830477540619836,-0.47153816819750866,-0.06962906985680294,0.4057059656859705,-0.11279509987930729,0.4099862351783988,-0.10849177497529046,0.2338638927226588,0.6054799496864819,0.13754412586080672,0.6141552347566265,-0.025685610476325154,0.39873497231561356,0.3213948606754178,0.5001251977701471,0.4839445166538951,-0.1329895311508989,0.024637782835459327,-0.23910212199247083,0.4978957746839972,0.10204477660900113,0.3197535012114036,0.0875522623229769,0.37700558959495506,0.3858521634058528,0.4014311589366251,0.40932576271367255,0.10185794050086446,0.042988058750795914,0.3377186965411435,0.33368540842326305,0.46794301141530525,0.544353785858978,0.2770858974877956,0.6015079199162334,0.48523611404374906,0.21690901671386925,0.3124488242222109,0.14432425296205556,0.17120392363524525,0.1966418587378074,0.05936188524314994,0.3258356169086161,-0.09083306110971023,0.21384146611697566,0.35351995124042324,0.5484032495336074,0.4492409282901539,-0.03439302255770007,0.43518129630208446,0.5392789397013688,0.40037887263279814,-0.03754939064613872,0.3140391212610104,0.4217080483027335,0.4098886338143141,0.2321367318456607,0.10385532503488862,0.5913035953170078,-0.35648635915802285,0.3282955253757002,0.45536180715926294,0.06671003364200742,-0.39916600662956897,0.8344356291975515,0.41619610401011004,0.3051821563043333,0.02450009018975255,0.5185491011586814,0.4675816221037695
Cingulate_Post_R,0.46690918427336003,1.0,0.07856455484170129,0.3541885652828402,0.5005215157481311,0.06295737450013283,0.2623647055987082,0.19327071020071795,0.22716843534065978,0.5159323778584627,-0.0636011855290329,0.2973417024284006,0.21943838084567707,0.026368853040631305,0.8785248249040615,0.21835105991380552,-0.048237128066381287,0.36564100534004784,0.5139645289298808,0.16316801365561773,-0.06488944334317613,0.4017196440720673,0.05370836144946098,0.44003465893860644,0.14791130966170138,0.3886933654502975,-0.015359663967643123,0.3386979827483553,0.1617727684332566,0.28271630937461206,0.2456875214618795,0.20531794868496178,-0.15556718559580418,0.2275031764439363,0.28687661117480423,0.04365826709485658,0.3411524721947934,0.19153438345855034,0.129033417630658,0.3434002068708865,0.3880492699484819,0.20014123349654897,0.21515094235517604,0.25838667549789596,0.3077572682311617,-0.189470749034595,-0.23766003118694187,-0.011965196029021154,0.31160155757455216,-0.015673402618676044,0.56574337099127,-0.10698137998465954,0.05414397355510772,0.28916984251143185,0.3212737154654175,0.1598407942607093,0.04231122686012021,0.2867176682435791,0.47750230667665017,0.1997653160329399,0.26568396380754217,0.28248947092204085,0.38475368936859067,-0.08416469303844556,0.44188371945854865,0.11634103003939421,0.21265244564104593,-0.10927573768761928,0.34137172364587426,0.6101113429318838,0.2830975474537097,0.27814434852735975,0.15410401396769643,0.013731444143319163,0.3464769481410958,0.3708249762554297,0.3722556718055354,0.408688902575669,0.4013373972318812,0.5162828154383204,0.4264894391591726,0.22112027390956074,0.41264517643071047,0.23136220740080052,0.1535827150372665,0.17737278951568275,0.055682548152893786,0.5095353887002548,0.15638318260975528,0.2622252278060471,0.43054411903240536,0.11438484141507672,0.4970862467224056,-0.08364576819907464,0.4239799632555123,0.4790894238074409,0.43706601140769286,-0.015715974578817404,0.14707582831415594,0.49756206571052675,0.33935888803409603,0.30667529233346463,0.3162374141177415,0.45568243385868035,-0.052465338061284436,0.5704087860625408,0.31811700685729055,0.21929860616206287,-0.24478451834245024,0.5811263226077141,0.5779519282520615,0.2762440868929061,0.09567728016769644,0.34828022665321545,0.18070779416264982
Thal_IL_R,-0.13528924438768855,0.07856455484170129,1.0,-0.14864579791283547,-0.034612285427582386,0.4199207195511086,0.265209744534321,-0.11243834486541077,-0.2170326591441376,-0.20242016398565307,0.4144173460463974,-0.34480026045696216,-0.1887383252169529,0.3668020405757849,0.10025570683349201,-0.28104386936568704,0.2535801844445025,0.1659870342855562,-0.10338087346213157,-0.049833329769127174,-0.006495785030953597,0.31025744043900927,-0.22388165491480277,0.08645509605930908,0.42224641208596775,-0.09454479399523993,0.5503253925219292,-0.26690576074381855,0.24588678777336126,-0.09676721043276797,-0.19676348937683094,-0.27189717832894994,0.5481480158669029,-0.22445934488734504,-0.36280606392401593,0.5026831743488793,-0.05659857216978912,0.2967264574716075,-0.08500806882002056,0.31182537104733843,0.05290597573050422,0.10759287031999039,0.5018442415328731,0.20231637668889565,0.3340626729757222,0.2391976486076032,0.28017513067993044,0.5064470130802554,-0.4167042447827454,0.19227792360899565,0.1330365190311016,0.30489981549670936,-0.27090186774399055,0.17737372769979778,0.12211074864398087,0.1107511224722228,0.24063046941733351,-0.472032447367768,0.18324693514890616,-0.252654770685145,-0.1132119799420198,0.6595507727170776,0.508129647633936,0.5118086950368924,0.37959672710687764,0.086884936870748,0.4140142378669306,-0.20482446631170786,0.3469951402272357,0.039397632299722596,0.11225584192273996,-0.3343485183671744,-0.12227186657816969,0.2462502321750134,-0.2731953652933743,-0.3047893887801361,-0.20478601231690177,-0.2993427215374247,-0.24189141267067035,-0.20416056829423898,-0.2516045510333345,-0.20210859332621803,0.10288748315205858,-0.3492432520157768,-0.3820553649980211,0.25597473134703896,0.5785389648187884,-0.2668937378446241,0.017836727291783795,0.20537938467594324,0.024772985713056198,0.23975725564075823,0.0937235925336726,0.4400273015716736,-0.29302419992244416,0.317213532669804,0.3123021543960796,0.33089296344086344,-0.280649352922391,-0.12167801864339567,-0.08759513005874994,0.012058969799323398,0.32648823208726785,-0.16132986394408785,0.41928250993571936,0.023860306850656772,-0.30560019725669363,-0.35509387911467016,0.5190845743456536,-0.1004650692604654,-0.048986021200905186,-0.10758502506282061,0.15432822100349988,-0.18388663736449723,-0.1390450494846463
Frontal_Mid_2_R,0.2121133980218701,0.3541885652828402,-0.14864579791283547,1.0,0.36663462441402983,-0.353063985127067,0.3148824286391572,0.19212590063146748,0.013287973679597475,0.32815175668638635,-0.15233077859254715,0.27643477743161954,0.05562803228403189,-2.962753316253171e-05,0.2348443700101866,0.3679057033478463,0.21045317739516026,0.0305892505089889,0.5753605374833328,0.18377136398545343,-0.020206004471699773,0.17229680707697256,5.666612533676732e-05,0.20319371368195052,0.009125875600130425,0.7376100630135769,0.056069068208184934,0.3725982829337253,-0.1017482966725265,0.1521120021500538,0.1761733040012438,0.37279463235448623,0.0332325997610648,-0.00026938780230767104,0.4139152577548519,-0.19295240657982687,-0.07393651794924018,-0.03266062185910524,0.06466433766936068,0.055599322849908636,0.274460630630902,-0.21039302925847103,0.16450674504120713,-0.014461418240564863,0.0461955821654671,-0.13735905568322496,0.006465048570481494,-0.20871685459978867,0.2757613646916935,0.14944215151086096,0.39519768303441277,-0.21776355165843178,0.16875888219185392,-0.040632405364634465,0.09440268731068624,-0.17217543288991288,0.046124138183954604,0.3672925455879499,0.046324863940646624,0.3226359709695031,0.5414899689402748,0.14563136947077698,0.10665144045347608,-0.06214165179057105,0.08942736973313095,0.25839929020736513,-0.15082791907967788,0.016748386335627204,-0.07072330293977451,0.31937495132323435,0.12307713851245795,0.2514668305209704,0.21028757117615945,-0.25949014209445953,0.27470822938949246,0.409923275370309,0.6464477686056295,0.36082435838958754,0.7909358414153088,0.4046244235482362,0.6107755667608423,0.2593248034789119,0.21267292627291884,0.2605057239554972,0.7452464269528476,0.10050454500817212,-0.08659982907399588,0.681342867329848,0.21520253464734868,0.07342296905403838,0.31453071250487064,-0.15836664725585817,0.2722102017770711,-0.12624078198036776,0.6059222649226564,0.1746379266899089,0.24340024513084363,-0.16946970126086666,0.24133933939977312,0.5028665101152745,0.40380835905523305,0.18558376907571908,-0.11103655166485137,0.20480824317028062,-0.143934804072843,0.32768445076306285,0.39595049123414067,0.5507587852885005,-0.018746205482259515,0.299050432149808,0.4533623809850313,0.17449004604946283,0.19629720209774162,0.3841109825985391,-0.05877126437246866
Red_N_R,0.40525553055719543,0.5005215157481311,-0.034612285427582386,0.36663462441402983,1.0,-0.3385471875975077,0.17981042492520086,0.5140217716281293,-0.052203195255592263,0.7361935195909981,-0.517710876110904,0.550004534027712,0.5861512183410569,-0.3206690250645295,0.48178506711346086,0.3516554504652926,0.15218365712246829,0.30371934681397317,0.46926479289363454,0.35867980961159507,0.14719811905347774,0.458375610353228,0.41771432426585053,0.18760369826086384,-0.2730418806404082,0.21550408377166688,-0.23629271613505679,0.5346493284605458,-0.20459769837797936,0.12773995844771285,0.5077396715667317,0.34750998921360915,-0.23749002565610589,0.42760093835312674,0.3463699876433127,-0.31960045895933614,0.423924158518173,-0.06113405919007231,0.4382698720659723,-0.006303057264909564,0.15126538869014688,0.1322580086028256,0.06746797557920929,0.25973783530698163,-0.11492869885219341,-0.5758819464811132,-0.5281712576800005,-0.4610112962088954,0.5901016529620869,-0.15261916332214193,0.15882250329862807,-0.5752377729887034,0.29599433193488456,-0.01017056617450402,0.11752837748435607,-0.0214548560363774,-0.3098607385375615,0.598324776495717,-0.025995478987137888,0.313255295029012,0.3074100446667584,-0.042335044922030905,-0.06982414958414686,-0.5856377270951472,0.15515103081706122,0.23581973243353133,-0.31213395032865715,-0.2366040597218295,0.01916587289586828,0.5153727008730222,0.6005025936580891,0.6003096862145935,0.5048545082267715,-0.4730570079762457,0.5021339618896855,0.6266614340890906,0.3722370250754571,0.6858545912886285,0.487347474824758,0.3124687052679725,0.34819287401011684,0.6781568819692797,0.1723493922763996,0.6320094626727447,0.3072874264955231,-0.22729417894381693,-0.37484844240068865,0.5627547968646556,0.233963608410604,-0.0927824965366759,0.8183198466629386,-0.24864646921200823,0.8125077053300482,-0.5319329325729801,0.40204089054956793,0.14274318175097125,0.1706373486889654,-0.40584829096665587,0.37975394533934514,0.49273484389987254,0.36674713308600937,0.07830861746292883,-0.17456116590337978,0.5517841903356823,-0.5159916308468966,0.5089212707367892,0.4125081173044836,0.26211038627322236,-0.44962759759171533,0.38088618161471016,0.2902501220326889,0.5065584505498479,0.3707979630844205,0.38781459983581834,0.3658496689406564
Thal_PuA_R,0.01908464988867026,0.06295737450013283,0.4199207195511086,-0.353063985127067,-0.3385471875975077,1.0,-0.04208964656500215,-0.6674461405980618,0.20938505746272343,-0.4085005244368587,0.6017140176505222,-0.39211503267737047,-0.3175708630842505,0.36411043012240873,0.07602823600163622,-0.4083146374026373,-0.39376603977234403,0.15206617250130186,-0.09011959148102877,-0.2939699375018454,-0.252917915566693,-0.2005981673905211,-0.2729774900184862,0.4499887820327291,0.4891039358321504,-0.02352015983044518,0.3467095581604713,-0.5381998475289326,0.7534721516537644,0.3522229450156711,-0.5733819419489488,-0.34735603500822204,0.1941612943591737,-0.1726526662090065,-0.5395231862113026,0.6608816878035669,0.08796732932117834,0.4229196096383913,-0.4475038154824546,0.5225272907497682,0.2723227435599459,0.27694765619864176,0.19485312584117206,0.12164761983752338,0.6239336278487433,0.5365648312961657,0.3748655290208938,0.8080164042247827,-0.6344897634871143,0.3992675534425919,0.2253903749193745,0.6120652853363995,-0.5652656033587745,0.4016094357698643,0.30655191715537206,0.2881457214582255,0.359260139996598,-0.7130348625981595,0.5560241878500163,-0.005827022985854725,-0.030311809594748912,0.2967533988193649,0.5793691329435655,0.5802019964927524,0.4197193482492347,-0.22300828174929427,0.6607838339507235,-0.08243115900835929,0.48307690820827226,0.09989820079790078,-0.4215168013276801,-0.6452923894921931,-0.681742737041908,0.7097647003662237,-0.6426595210455116,-0.6368358684196648,-0.16786502326309904,-0.4681207250060861,-0.5647557515368874,0.01572546214481759,-0.20255814717845855,-0.6507465432102075,0.29440124176011945,-0.7357338243816719,-0.511174113592372,0.4002622641735625,0.7135683784531914,-0.5664352460994635,-0.139633112795571,0.4665748703899511,-0.08014926252423428,0.5897806249864496,-0.002751773449124116,0.5330953747935719,-0.41675359151382113,0.34327826523486304,0.3496105092873463,0.6728767739305226,-0.5932649735655424,-0.38349353555280324,-0.07891348659653252,0.26607613750857184,0.8328043769234535,-0.022253476958968937,0.6698676717181788,0.1295300818483731,-0.47454282697067846,-0.5889331049785913,0.32660842287967606,0.1504030389323834,-0.0009899709514719537,-0.32509860995568907,-0.5366839639515588,-0.22318875653725287,-0.03909972884552443
Cerebellum_8_L,-0.10982459584489003,0.2623647055987082,0.265209744534321,0.3148824286391572,0.17981042492520086,-0.04208964656500215,1.0,0.4139875794977147,-0.042924543014545305,0.20701029862263484,-0.16631797492559916,-0.0324604930757842,0.09971004865231947,0.24074877489918736,0.2170108570838312,-0.3548851225839649,0.40639871947552453,0.5359855108374685,-0.01797633944231212,0.3384536759374712,0.2653698034053586,0.48229081922993405,0.4900514216937317,0.09943738533328997,0.127364922608714,0.21590509730411628,0.39535830129308563,0.010706348796862669,0.16527935410067846,0.06332509479129968,0.3864895761992081,-0.39347154239052984,0.47516213238681676,0.16167782817520726,-0.1730230563177055,0.11200355624788443,0.2707140156574901,0.3651284119596101,0.3411011651291021,-0.06203494085851417,-0.07653452689726001,0.0014937927797169573,0.17083403211992979,0.5479505035575377,0.29679112829740384,0.0549219089735489,0.1349394334023446,-0.12232478345440091,0.18912035942821553,0.1841770723657295,0.3396748003512053,-0.20996248045235538,-0.2630170048026743,-0.009812234030491933,0.404731003475634,0.009119009658902597,-0.22680180671905545,0.06431800489663599,0.06140931513615235,-0.205905238418766,0.16171213362037384,0.38072600969620735,0.3528504668988234,-0.035851920177135205,0.17767945723503314,0.2571104109963855,-0.06559144188666935,0.2894073295600856,0.1895894104951194,0.13969977999811223,0.18032565496286734,0.22252173667144964,0.38071659159887977,-0.08487893608594753,-0.10067254966895031,0.049627182630730134,-0.057172018027383406,0.08531102054948102,0.2691242564634181,-0.10220501699567479,-0.08699284348639796,0.30825989521774505,0.11619753846768476,0.11877364029620761,-0.09399712243396248,0.2525629165533169,0.2206655528250076,0.19267247626438533,0.8007722131133295,0.006830090264502214,-0.007760221258232618,-0.2786875771475635,0.052746918475128524,-0.06279961082015524,0.021101992660393924,0.3857657371017593,0.4209143004225998,0.0389323250865703,-0.047341686817822734,0.0751584389718032,-0.050722643962856556,0.05432761496958455,0.1619766330887177,0.2286945178883747,0.1653906818081234,0.1462781771474374,-0.26343818557259824,0.10479458797113182,0.25483315637489806,0.04008228023566229,0.1676855776519383,0.07195041013296183,0.4544508367913424,-0.22876887681712194,0.3574950929427145
Thal_PuL_R,0.1072209919479261,0.19327071020071795,-0.11243834486541077,0.19212590063146748,0.5140217716281293,-0.6674461405980618,0.4139875794977147,1.0,-0.2449338337853553,0.6498809394605575,-0.7347328210141859,0.40084292116968173,0.5798552892386789,-0.33172453949245134,0.18222164795135407,0.1329965805470506,0.4001518108706544,0.316374760284179,-0.05299688769448785,0.5602963545307885,0.40518506034160545,0.4839364133422536,0.5701638938479315,-0.32929042507644074,-0.3330124123046903,-0.18980419102849364,-0.1696540062803151,0.5433198859280697,-0.5117047131429823,-0.28482352911868264,0.8059802088148271,0.01431971859986138,-0.024088854080858417,0.3919100009090006,0.35131199323268036,-0.4886566805034761,0.31097877918850153,-0.06081902429905439,0.624762303495879,-0.46502095335483634,-0.29370276052932276,0.07842500252872968,-0.01908261121334875,0.37823970190415296,-0.4267638830532661,-0.6723680134436667,-0.5524303872824318,-0.8278567227957594,0.7832606895843403,-0.45876981537409706,-0.011216752532752523,-0.7507467355961157,0.41149371454183514,-0.3002570139262882,-0.10554121841581844,-0.07430732828533024,-0.5217439276563873,0.7413803304076919,-0.38545785200758753,-0.2333161334937776,-0.03354110639274427,-0.12906571505542658,-0.30988351039867745,-0.6845776888597136,-0.17341641441431177,0.1527678838173364,-0.5696805163016783,0.15104271744851502,-0.21254413249456164,-0.00400806395525143,0.7105357675638467,0.8489154217855654,0.9364668005222401,-0.7182825850179146,0.6098245408891321,0.6872963960689842,-0.09780389570613089,0.5001504751961205,0.5061534900436445,-0.1359971873272336,-0.023745361346917987,0.8641290076465229,-0.3191864813430249,0.8208352775904533,0.07694928288661985,-0.37935923168295754,-0.5098358347599774,0.5259958979655927,0.46163552633422283,-0.567295368210762,0.11342630113503532,-0.5498068274562046,0.1346871643850357,-0.5257207587239217,0.27311989242234425,-0.00520940885262587,-0.073004732792476,-0.6336049057480322,0.5324834323434312,0.40880980731328115,-0.11339909721801363,-0.3939520536490595,-0.5556070645950993,0.23367433270612717,-0.6363364378300751,-0.03757777125228464,0.2946463091333109,0.3969802971471574,-0.3079348589643458,-0.05236245159268931,0.0029465882941571084,0.40463577493161323,0.8012435394306314,0.09445462746920098,0.4229161912010657
OFCant_L,0.4711185735777419,0.22716843534065978,-0.2170326591441376,0.013287973679597475,-0.052203195255592263,0.20938505746272343,-0.042924543014545305,-0.2449338337853553,1.0,-0.0010616795250294312,0.1686963322173773,0.33090884528620607,0.0990891510094247,0.2129167473338106,0.23055925916847508,0.16081943390458245,-0.18310870064753154,0.30060428879227147,0.3284738626259074,0.2489349193805892,0.09435435341981993,-0.24551904770921398,-0.023728890067725193,0.5770202679100417,0.3346896669052565,0.3950164809119631,0.008723974696665436,-0.0222853136721232,0.34069491367058646,0.6980423588427362,-0.10234047911929797,0.2591977829727303,-0.2882914086004152,0.22840072429470265,-0.010755966985240882,0.3090400715806231,0.20895446862425965,0.4309415090195019,-0.16241955218641124,0.4523460902966147,0.5471443934667319,0.3296264074632129,0.0825040316305689,0.062295544807031,0.3838191380417608,0.407501306653111,0.12822393843635008,0.22661567444089212,-0.007226171381984871,0.3431921837385563,0.3602821278958188,0.38541713869781447,-0.1200392338922754,0.5679655973978077,0.3059374188067016,0.5262969020141344,0.11420604141874006,-0.08929448974323248,0.4203055683204344,0.45863119110675116,0.38160498844734725,-0.044833448158027187,0.2520838300354664,0.13620944698128976,0.2959385833414185,0.2603199957683367,0.49967962867852406,0.5079022910756307,0.28454632279547376,0.31992613854037555,-0.18702769215894285,-0.09076576402737052,-0.1506168519579552,0.5018119682943196,-0.07507626217870694,-0.11690500619547624,0.34741388618833385,0.17281222508209568,-0.1137895461294208,0.6079944961084858,0.24539831701358905,-0.1653972001330651,0.45236066460485247,-0.25014642878997584,0.0018406032688381944,0.6009434860136179,0.28102190636287344,-0.12470188067954117,0.058842445716373995,0.4969092510516476,0.04100742691494797,0.4467952684668569,0.03578790828528986,0.14191870991285774,0.10887908005413742,0.45063736809002874,0.4031133629427517,0.28954406660468224,-0.16380963008360433,0.13336485242644855,0.5270230522459577,0.5216880794727148,0.27662383478639463,0.4220889235764285,0.09895671306274634,0.16952576635674269,0.08504610647109623,-0.13107828753533204,-0.17896859206694418,0.5773908195967481,0.45538858813189304,0.19094243797891314,-0.14565851920438372,0.29664948171848443,0.20815351406847996
Olfactory_R,0.5170111886240656,0.5159323778584627,-0.20242016398565307,0.32815175668638635,0.7361935195909981,-0.4085005244368587,0.20701029862263484,0.6498809394605575,-0.0010616795250294312,1.0,-0.6359932076375018,0.6163447303637702,0.6759046010766204,-0.4779672270756304,0.4902348389324681,0.26334695016677506,-0.07552342896924989,0.4698360756852396,0.24698596584798094,0.5577617019495029,0.18174049901671196,0.46476662668740315,0.4817838045563048,0.1438864370921931,-0.30154057562687614,0.06923939080563353,-0.3376776942918731,0.579880199360953,-0.22873379605911864,0.12382264482050329,0.5262674890023157,0.2244133101017843,-0.34422526221659466,0.575664655943295,0.4677644303561418,-0.36920502767392804,0.5546475346551609,0.021814672620997483,0.47464595242261387,-0.05881922130796195,0.18095503301194915,0.2538907941789173,0.27775734765534765,0.3682875923655346,-0.1996899869589889,-0.744121370784176,-0.7738378907624868,-0.5461198782680511,0.7479191599127676,-0.4545535710983198,0.39418338627834465,-0.6544293170847922,0.36525735726354674,0.06449908076076721,0.037558587180358365,0.1561228102006172,-0.3455685784345662,0.7794857085333048,0.08651919210363004,0.20067144957386682,0.3516443987191678,-0.07130640600112874,-0.11664499809565057,-0.6819874941093305,0.09656208880934739,0.027181859391192553,-0.262969527717573,-0.12376492348860417,-0.006092639079818428,0.4632778131491096,0.7336933521058474,0.8017962739107937,0.6243718218621661,-0.5366204346806362,0.5880073282659065,0.7822467493095442,0.24446426859255382,0.6129174151615726,0.5908949933042541,0.2744350218219607,0.28888471322758175,0.7472123737364973,-0.027583136726678184,0.6962333549067714,0.22769394817970426,-0.2513016675322859,-0.3510861457955786,0.6349523037240636,0.22714993848290002,-0.28452181145045913,0.3903411688308734,-0.2160556569287414,0.509494899782181,-0.5575497679232052,0.4307923173052569,0.25251296404016793,0.13848411526601606,-0.5264283688113214,0.5118495188120131,0.666120715952728,0.1245147594088984,-0.11597598779228958,-0.20086530718978726,0.5645243155155457,-0.6741889344083107,0.41843719102336346,0.44602854376446355,0.3695470124637201,-0.6284364669005541,0.4328002877549125,0.28188341153695123,0.4323463722217299,0.5153113216973672,0.3237072508007663,0.5121896427679498
