,Calcarine_L,Cerebellum_9_L,Thal_LP_L,Cingulate_Post_R,Cuneus_L,Thal_MDm_L,Frontal_Inf_Orb_2_L,Temporal_Mid_R,Thal_MDm_R,Heschl_L,Precentral_R,Thal_VL_L,Thal_LGN_R,SN_pr_R,Lingual_R,Thal_MDl_R,Cerebellum_7b_L,Putamen_R,Temporal_Pole_Mid_R,Olfactory_R
Calcarine_L,1.0,0.06723365142082526,0.7533749208181089,0.3175036525419227,0.8645449893191088,0.10191503648142002,-0.3621108151839673,0.4484781102630209,0.6637380696200835,0.46341227579497407,0.304285765887201,-0.48882378684131,0.41378716074332494,0.15799851486494323,0.5216351899661765,0.4862897854866742,0.20052630306266903,-0.39855594492208707,-0.01007750203985437,0.6186149054620523
Cerebellum_9_L,0.06723365142082526,1.0,-0.01273579238387914,0.4790894238074409,0.03351837393084244,0.46143424518762005,0.2634067939408505,0.5392789397013688,0.12958156101790044,0.272768262976382,-0.16423589928801532,0.2675438064303211,0.06250656515727794,0.4110558869084254,0.2510572368674686,0.16210963121620175,0.33219135153708035,0.6098644215856512,0.6185354563711549,0.25251296404016793
Thal_LP_L,0.7533749208181089,-0.01273579238387914,1.0,0.2867176682435791,0.7754063900332754,0.014158740460611476,-0.5444945068770485,0.39873497231561356,0.6480123966328953,0.6559271254088991,0.45783453571109123,-0.5829857470480909,0.4609932727553378,0.14627965753864255,0.2588558175016136,0.4571736163995879,0.16617510794453688,-0.4616693478589887,0.003004192805472872,0.7794857085333048
Cingulate_Post_R,0.3175036525419227,0.4790894238074409,0.2867176682435791,1.0,0.3386979827483553,0.21515094235517604,-0.015673402618676044,0.46690918427336003,0.2830975474537097,0.2973417024284006,0.1535827150372665,0.026368853040631305,0.09567728016769644,0.5704087860625408,0.46276609070675473,0.21429732105605637,0.15638318260975528,0.3077572682311617,0.1598407942607093,0.5159323778584627
Cuneus_L,0.8645449893191088,0.03351837393084244,0.7754063900332754,0.3386979827483553,1.0,0.09698062356044876,-0.31090760867277295,0.4383359116498377,0.5874593167712813,0.4994547928641212,0.5338167172992686,-0.4416105793843131,0.36109102626867606,0.19940232428049903,0.42341160836185915,0.43535750525700057,0.021773108927228002,-0.43850490296031985,-0.07493538418702168,0.579880199360953
Thal_MDm_L,0.10191503648142002,0.46143424518762005,0.014158740460611476,0.21515094235517604,0.09698062356044876,1.0,-0.09245782490922458,0.4527020125957617,0.4175274101107835,0.06533062971632056,-0.0299179889027204,-0.073140191111344,0.2534493169809288,0.1677975618839014,0.17411200471244276,0.3484358223162127,-0.062205026557275354,0.1994582838307108,0.41806862880136514,0.27775734765534765
Frontal_Inf_Orb_2_L,-0.3621108151839673,0.2634067939408505,-0.5444945068770485,-0.015673402618676044,-0.31090760867277295,-0.09245782490922458,1.0,-0.11279509987930729,-0.4416219332815756,-0.04261920431893707,0.06401087496113372,0.5850220018935872,-0.2772281557472789,0.3156339842929891,0.18096842780914693,-0.279602156266857,0.2229994873399293,0.5942043347187231,-0.024705950343816667,-0.4545535710983198
Temporal_Mid_R,0.4484781102630209,0.5392789397013688,0.39873497231561356,0.46690918427336003,0.4383359116498377,0.4527020125957617,-0.11279509987930729,1.0,0.4014311589366251,0.5776904889201926,0.17120392363524525,-0.41979924448709216,0.02450009018975255,0.3282955253757002,0.4714802836842736,0.12379726276778909,-0.09083306110971023,0.09425088112433602,0.6141552347566265,0.5170111886240656
Thal_MDm_R,0.6637380696200835,0.12958156101790044,0.6480123966328953,0.2830975474537097,0.5874593167712813,0.4175274101107835,-0.4416219332815756,0.4014311589366251,1.0,0.45058830826112717,0.09385146896231332,-0.4824683905434815,0.7167477992064554,0.18069580970396004,0.3500442569995769,0.7897344160904676,0.1391056360398412,-0.3170330417951298,0.09685530435630571,0.7336933521058474
Heschl_L,0.46341227579497407,0.272768262976382,0.6559271254088991,0.2973417024284006,0.4994547928641212,0.06533062971632056,-0.04261920431893707,0.5776904889201926,0.45058830826112717,1.0,0.34937393644321413,-0.3226158572634332,0.2671096969187903,0.3775846086802149,0.4457721258134473,0.27815982593445804,0.13127994456940636,0.003415930859481774,0.3730453488592118,0.6163447303637702
