,Amygdala_R,OFClat_L,Frontal_Inf_Orb_2_L,ACC_sup_R,Temporal_Pole_Mid_L,Cerebellum_9_R,Frontal_Sup_2_R,Vermis_10,Temporal_Mid_L,Rectus_L,Occipital_Mid_L,Thal_AV_L,Thal_MGN_R,Cerebellum_Crus2_L,Thal_VL_R,Hippocampus_L,Precentral_R,Thal_PuM_R,Thal_PuA_R,Heschl_L,Vermis_9,VTA_R,Cerebellum_7b_L,LC_R,Vermis_3,Thal_LP_L,Parietal_Sup_R,Frontal_Inf_Orb_2_R,Pallidum_L,Paracentral_Lobule_L,Cerebellum_10_L,Heschl_R,Vermis_6,Rectus_R,Fusiform_L,Temporal_Inf_L,Parietal_Inf_R,Vermis_7,Frontal_Sup_Medial_L,Cerebellum_9_L,Frontal_Sup_Medial_R,Thal_MDm_L,Thal_PuI_L,Parietal_Inf_L,Occipital_Sup_R,Occipital_Inf_L,OFCpost_L,Cerebellum_10_R,SN_pr_L,SupraMarginal_R,Cuneus_L,ACC_sub_L,Occipital_Inf_R,Insula_L,N_Acc_R,Olfactory_L,Thal_VL_L,Temporal_Pole_Sup_R,OFCpost_R,SupraMarginal_L,Lingual_L,Putamen_R,Cerebellum_8_L,ParaHippocampal_L,Thal_VPL_L,Frontal_Inf_Oper_R,Supp_Motor_Area_R,Angular_R,LC_L,Cerebellum_3_L,Temporal_Sup_L,Temporal_Inf_R,Lingual_R,N_Acc_L,Cerebellum_7b_R,Occipital_Mid_R,ACC_sub_R,Putamen_L,Frontal_Med_Orb_R,Thal_IL_L,OFCmed_L,Cingulate_Post_R,Vermis_8,ParaHippocampal_R,Cerebellum_4_5_L,Angular_L,Precentral_L,OFCant_L,Thal_PuL_L,Cingulate_Mid_L
Amygdala_R,1.0,-0.0787614543980493,0.24089070777306415,0.32983624655620214,0.2746764882161463,0.1043214884149193,0.483121035490723,0.48382643780089196,-0.04800847707801613,0.008158162705943993,-0.013560633419937173,0.18377322302905372,-0.3499470427869504,0.11420490493594637,0.257459882098256,0.4031144112669327,0.25042218660732557,0.32943428708955985,0.09989820079790078,0.4765504275848061,0.08102430917788792,-0.165962138756287,0.16254728253943104,0.5031638403341576,0.5279410557313147,0.2043394205232843,0.14729764997355735,0.44966659394663416,0.4118656535541312,0.44031386652508575,0.214971371379702,0.2150829203349677,0.17069530147345627,0.024604661587103487,-0.03131769834308255,-0.2672407083367124,0.10422114196067568,0.20273215782177448,0.591431198364021,0.4741478776580311,0.6030921995345273,0.22393342302770922,0.24868480604764112,0.30237717350661986,0.16564740823859186,-0.31870088091456933,0.41766102534330235,0.11182625095191603,0.545197728949895,0.2682541968104466,0.19697382048851253,0.045144305275748496,0.1259266834722252,0.5403253828680659,0.47425905044907374,0.419885630712207,0.13568178343941287,0.3745988606111618,0.33046770315741464,0.14350143671994614,0.20498920435010537,0.43741950609085456,0.13969977999811223,-0.06767436705403254,0.1952279987318295,0.5314935607334207,0.5026960705485854,0.30891537067953884,0.02541497342045272,0.3776770089859729,0.325064111321673,0.08675172629914298,0.3866300055117513,-0.04438673960321604,0.12027325699952365,0.086531095684281,0.18299672376173529,0.6071027524252844,0.11488076378909828,0.1001451212929098,0.28902592911616865,0.6101113429318838,-0.23553503347213883,0.2481528821355747,0.308151031352381,0.20230213542485256,0.3266741431256767,0.31992613854037555,0.15394034341413695,0.5141712056831995
OFClat_L,-0.0787614543980493,1.0,0.7408025568954759,-0.6532804448843351,-0.5873638431106757,0.03271775989695129,0.23858291988477423,0.15486213241695254,0.31851432726131906,0.7020246250926228,-0.4063199385362407,-0.39792079805098046,0.5548554263807738,-0.3943341794753225,-0.2570187162237032,0.41068677587070446,-0.03618246405708522,0.3231394204543415,0.3748655290208938,-0.4903449756633292,-0.34027662844326534,0.16324194945906154,0.06934385456430978,0.12590673963764637,-0.44326528393795966,-0.7006619620468647,-0.19498762678442416,0.06393571156550111,0.39506679052308913,-0.12413990472117079,0.5043319953625961,0.06554664256304008,0.023735135688296764,0.668221190696217,0.5102551579560363,0.7148182478932955,-0.15840318331102507,-0.06052144054982154,0.047479182192766464,0.02579612007323451,-0.05517336085845792,-0.16001033632626488,-0.3930778901164085,-0.40067396023342056,-0.5134443517635893,-0.15350094143353954,0.04802906406963713,0.6332362488110719,-0.47931383206604306,-0.32595887123905604,-0.47765015030548363,0.6155781643310999,-0.720467869601248,-0.14315752585923186,0.0867672694970056,-0.13731634796240155,0.7438814635753931,-0.0136401493175279,0.4795420736541071,-0.28009804896481716,-0.6280189760915016,0.44348225119506574,0.1349394334023446,0.7512563693736731,-0.3346337537165755,-0.023942333997220594,0.04507362768084192,-0.4032761154304244,0.3664907357167835,-0.1865371436258546,0.2526074781398582,0.07241962196792659,-0.21112480373519074,0.7945965518742527,-0.5171801425239194,-0.6142808285573522,0.4882414438572746,0.13324701556339685,0.5570285316136415,0.4494105994728713,0.5207985972401827,-0.23766003118694187,0.47612967951458723,0.43003311323857485,0.4151975285158776,-0.5530609515760749,-0.19843105620047163,0.12822393843635008,-0.589799288391722,0.12280862615356859
Frontal_Inf_Orb_2_L,0.24089070777306415,0.7408025568954759,1.0,-0.4186448639459698,-0.17469101289374536,0.21872399390886832,0.5091885704483611,0.4241101227790566,0.3009119101822406,0.5471862548433066,-0.3725599781924426,-0.35696119470030885,0.25148236008721664,-0.10318712989644563,-0.14668770726389121,0.35746156375714133,0.06401087496113372,0.4325402514254195,0.3992675534425919,-0.04261920431893707,-0.11228798451350389,0.12417088849857007,0.2229994873399293,0.26011758533327534,0.028080211608787955,-0.5444945068770485,-0.215387904259907,0.5135288428321172,0.510521259321838,0.11977284578345623,0.38416687128224847,0.29646124880537666,0.18819546600862377,0.44234192815185513,0.4710298350701316,0.5005594578501029,-0.19774867744841415,0.13565340346350152,0.37640279310988245,0.2634067939408505,0.2896842424474936,-0.09245782490922458,-0.11066729925015303,-0.23085990682444057,-0.3799405028535499,-0.1648217608453914,0.39183674261594087,0.3627253455653549,-0.03434411838537597,-0.23749179492010739,-0.31090760867277295,0.642731863617595,-0.3376488347766987,0.38991253197848813,0.23690752275003563,-0.01880045161249787,0.5850220018935872,0.21155633143261435,0.5564987489447228,-0.18584391785017895,-0.3806419847268555,0.5942043347187231,0.1841770723657295,0.5126823509775805,-0.21528255502398164,0.3710117345615263,0.36168180303813774,-0.3169056916241346,0.3202672600448689,0.279178630475584,0.5019213803853537,0.1743924923036766,0.18096842780914693,0.6602320992730469,-0.15751688157218746,-0.5222761215732444,0.41455527999122804,0.5624819131086229,0.5387440962552034,0.4433017372144778,0.5043500208985957,-0.015673402618676044,0.2601357659151564,0.48154726102976986,0.6502299301451345,-0.4413772730813212,0.04541887291541765,0.3431921837385563,-0.4697757052176707,0.4854398409656923
ACC_sup_R,0.32983624655620214,-0.6532804448843351,-0.4186448639459698,1.0,0.44640128741205926,-0.1534698692967484,0.13164365028526154,-0.08088353377448784,0.11613473889124855,-0.6469374581099081,0.5367261925415383,0.6355423679773187,-0.6614351104612294,0.3157433390104389,0.6305468291888516,-0.08228240872925008,0.46074693661340405,-0.45044252749113756,-0.6368358684196648,0.6515746344823343,0.10660133922219489,-0.12353095894526912,0.09215005668842806,0.038638911904545874,0.4803230031072779,0.8563540247405236,0.5045296902057452,-0.056760524843007316,-0.32868681288989005,0.3574210582644875,-0.26345518196398476,-0.21105593853045576,-0.13076320397935576,-0.692823878798186,-0.2978518967642667,-0.5276896544230677,0.4727894742654366,-0.10760738742954802,0.28016419652191665,0.006495583071438637,0.2602879080525483,0.08221379598575188,0.5331773247103736,0.6070331100163538,0.7040593539253639,0.14531548728285357,0.14583701937412596,-0.31264742760964925,0.6482873490837153,0.6518191879523542,0.7226762944664985,-0.6410681128737472,0.5605763516304754,0.32472078816866595,-0.157794900347938,0.43661772594569315,-0.4134326836101488,-0.1265980534351515,-0.3239926796204225,0.5860265352364052,0.640268831585359,-0.36505693866772604,0.049627182630730134,-0.6404230522832536,0.6314789941289422,0.212282302038524,0.2599801622785872,0.6734040637818619,-0.34038557667772523,0.2515798268666348,0.17961399243463416,-0.3255779326510916,0.3381071923253055,-0.7270980964887752,0.2868589965775536,0.692455848718443,-0.5613874562994522,-0.06228956799866265,-0.6540547196933981,-0.534005065769939,-0.44355523585638795,0.3708249762554297,-0.5671404282332014,-0.4475259329120306,-0.28905048635227726,0.7599526601946178,0.4366521448448822,-0.11690500619547624,0.8105160502727442,0.2557598323953562
Temporal_Pole_Mid_L,0.2746764882161463,-0.5873638431106757,-0.17469101289374536,0.44640128741205926,1.0,0.40838651192890624,0.08818395444258856,0.25100911750155647,-0.04027558016552649,-0.3960130586815326,0.0987527499887805,0.22491765133013855,-0.45783806525074655,0.6905186964642276,0.3425330468272063,-0.19565455891141206,0.00041843022631120205,-0.05436936599596082,-0.1726526662090065,0.6120384577806358,0.6054639367700341,0.14136430108761036,0.23100167416300615,0.08492683564551301,0.603774434739152,0.4832726372399385,-0.01626471045497846,0.29615201091817384,-0.09749894454125699,0.1579742797632171,-0.5101278447923788,0.25071614027530104,0.17998021864336197,-0.4809245607404789,-0.1676349119516772,-0.4228021262939136,-0.08493091692996856,0.24959324646713982,0.25458308270825847,0.3438931509474915,0.24166366739609052,0.161667074981542,0.5430371575421208,0.22996098259453684,0.233234236052897,0.11541938059504775,0.42873019996814793,-0.6048416394445779,0.5085840210451937,0.10212548457326422,0.2963595829720144,-0.18997261756950423,0.7857801958671363,0.462326582292218,0.04189865870693353,0.31165757635381686,-0.421642731919753,0.33363474702819107,-0.003323141361933836,0.14124530783764738,0.6028797455607757,0.006667992157803641,0.16167782817520726,-0.5815212162415434,0.34929013418322546,0.29620105539576574,0.12978443529891767,0.1432350870525562,-0.11773318711228196,0.5306661346682645,0.22628621986915784,0.08093639427890097,0.4422981573584695,-0.4675870506634194,0.8069012607177379,0.31749548912806613,-0.22499963956464666,0.20172215114988007,-0.22004079275362845,-0.15093942789862808,-0.3001867745999376,0.2275031764439363,-0.43664366759835455,-0.16920304881392778,-0.012963028015292683,0.3004967149496372,0.2114511031008431,0.22840072429470265,0.39043266326963216,0.23312762082132166
Cerebellum_9_R,0.1043214884149193,0.03271775989695129,0.21872399390886832,-0.1534698692967484,0.40838651192890624,1.0,0.22050924320514909,0.6719512182469544,-0.08391235779604725,0.2468600090338851,-0.34871302749008054,-0.028009530937999547,0.23995240051107436,0.14365246874006812,0.03179817681683054,0.17656730223083061,-0.34137435319975246,0.42593245000723057,0.4229196096383913,0.15082459141925705,0.6725406223258525,0.40120132296113575,0.26411128607753626,0.22925752153012902,0.2897645741200213,-0.1604722828593687,-0.39438087552589507,0.4699174959871261,0.429058874431269,0.023310490608519346,0.2297248385034694,0.6668322510428168,0.7193510650020845,0.1717084863173258,0.4186496564142633,0.14332422685642363,-0.3759936569284935,0.7607586085251405,0.33590790201928744,0.7489351935164774,0.28994481661543303,0.3714724105516216,0.26014101079744045,-0.13281497740287532,-0.20128109392741828,-0.10266591642836138,0.3717383951884506,0.027668963869056578,0.008781773969926467,-0.2094941842427126,-0.1035206347741778,0.3439455311819917,0.28036747292451253,0.24010702082350957,0.44496782220699244,0.1010294463052011,0.11240806133444183,0.6577235372410895,0.5507220003914199,-0.2608047361758076,0.14120456458208971,0.5252120729717493,0.3651284119596101,0.2155605911875112,-0.16338030776291224,0.06194991232390082,0.037743008173624394,-0.24205660884761318,0.6183152796973234,0.2334720057037661,0.1805380979832556,0.6457663089291433,0.34387782190140354,0.2449200157050848,0.49382866844994694,-0.23848514050777025,0.3631110611701718,0.40863094053763843,0.3685226377227536,0.5457633508276731,0.2064700112992152,0.19153438345855034,0.46395749484693555,0.491606777662655,0.41717530862247676,-0.19407512063855809,-0.05643478912833129,0.4309415090195019,-0.36120719530738754,0.16710298348507366
Frontal_Sup_2_R,0.483121035490723,0.23858291988477423,0.5091885704483611,0.13164365028526154,0.08818395444258856,0.22050924320514909,1.0,0.4528311318252208,0.09814199343234677,0.24964220240355073,-0.08279095542366464,0.13189483946013655,-0.19197865626310764,-0.0605637886476984,0.08817943731978432,0.2172259055072761,0.6546203368956875,0.22115528654809555,-0.02352015983044518,0.38628954609324556,-0.005444232785150661,0.12960005644615227,0.1650340468326684,0.28128313622203643,0.3297198130130987,0.06993095739278427,0.3370589189837575,0.5242641330744593,0.3457061536530307,0.7632871996229404,0.323902068059078,0.14633784449629705,0.2054786645973206,0.11863256381643725,0.12205527509587503,0.014528456072222355,0.3807135638192166,0.26622773978426073,0.6716321833950166,0.35425769687688186,0.771133194161813,0.12745904775906147,0.04770349555601661,0.34685399193562255,0.17575063318928746,-0.29649538000939135,0.44325010199989484,0.2582987704792897,0.2593581074523006,0.4120692798402143,0.1526472075454842,0.1914875768341875,-0.06741605040304627,0.41242492252183216,0.3510083511459504,0.07848518743851163,0.1571406106340112,0.37594023117893044,0.5335837848853767,0.0533093469202773,-0.10976673706135669,0.4475773425473415,0.21590509730411628,0.16642750952911986,-0.055159937165303354,0.5849378324055036,0.836605675909874,0.33041507399680903,0.22283555051310674,0.41726502146968664,0.47890125500964353,0.21452885840206617,0.4135965909625129,0.17214755571495627,-0.03598167936887471,-0.07247657684895237,0.2072852284200011,0.5530943816134689,0.20536474436359517,0.15333235281497837,0.334596016729778,0.3886933654502975,0.0896831421047628,0.35850047941743673,0.5374016779588474,0.0613385431108132,0.5274795929491672,0.3950164809119631,-0.09446628706940856,0.7185375751508305
Vermis_10,0.48382643780089196,0.15486213241695254,0.4241101227790566,-0.08088353377448784,0.25100911750155647,0.6719512182469544,0.4528311318252208,1.0,0.011608109953603885,0.2773347790403131,-0.2822823449898046,0.029074209225910995,0.03320468723424217,0.12055779729915557,0.17468172159507211,0.47017818880435425,-0.06124109144836672,0.4780879970330516,0.3496105092873463,0.16743202045080374,0.4970919267246889,0.16666833791902258,0.40643472024235006,0.48631206649267417,0.4052464704122731,-0.13122335530957369,-0.1497254109021185,0.5258810299397739,0.6236374731387978,0.21739086011065697,0.4274447847774957,0.549705196985468,0.5708554432417648,0.2788517216804268,0.43443800679658884,0.16256851008640089,-0.11846736789375656,0.6141923896126394,0.5226101112516993,0.8213583015508116,0.46639262632330647,0.36965981988425584,0.2437227888735101,-0.04313842805953678,-0.09666092749394786,-0.16463777872159027,0.44018567489537164,0.2786718016638193,0.21087511943232196,0.03031789318064647,-0.03077198856896332,0.42084479589608564,0.11261511657236162,0.3512062450845418,0.5576153676551863,0.2201442348004464,0.3302761829818938,0.5778215614944131,0.5783388309598315,-0.1629282953606988,0.12755817026772664,0.6549470229238056,0.4209143004225998,0.2847779859794379,-0.029175557971398165,0.2767803250303729,0.2696208877606924,0.004437555921905927,0.49341712340417376,0.285508769161197,0.28252740027653184,0.4279259977718951,0.3760666937454879,0.32125466428895044,0.27943476600817835,-0.23010238185762105,0.4182570305158494,0.6057314585697764,0.40050729373082594,0.5348554747661,0.4069671537284523,0.43706601140769286,0.28335318909246016,0.49982146068451316,0.484747087762476,-0.14580322515629232,0.02549162311972109,0.4031133629427517,-0.24009934842866812,0.33015377527715223
Temporal_Mid_L,-0.04800847707801613,0.31851432726131906,0.3009119101822406,0.11613473889124855,-0.04027558016552649,-0.08391235779604725,0.09814199343234677,0.011608109953603885,1.0,-0.18183519007377352,0.07960173637996652,0.18055619730108322,0.05759495313782516,0.1460052017527402,0.4863720187209095,0.2862009605063807,0.154246573308814,-0.3422079847548206,-0.39376603977234403,0.047960924486493826,-0.062255073093396875,0.10468366164515341,0.3489933144233664,-0.029158318610622593,0.04164697566845851,0.01158803573633109,0.11289817928105525,-0.25148521345282127,-0.02805655069747097,-0.0755966660748492,-0.012722707656836535,-0.15073425793128725,-0.22174719569710247,-0.21380601072421526,0.35954129636916704,0.46777412085498177,0.09481353726203477,-0.13074664803082253,0.042145343162817026,-0.08173487421033539,-0.18694960922399792,-0.1106491200264288,0.17138033556604013,-0.027271111075333844,0.03387218751503218,0.3816962148864133,0.1526392624735465,0.12503218720634685,0.04391279357843941,0.13505577418493706,0.10647613752576517,-0.12321842793382926,0.041901411194621395,0.01751033643173033,-0.48008127842350884,0.4007431686500755,0.28988343869312266,-0.2285692047193412,0.012446548116437875,0.38778174919841474,0.12100829703868095,-0.10412077752107535,0.40639871947552453,0.03648809967133089,0.4092501354535413,-0.06635025003196471,0.09010203492085095,0.10045730284158384,-0.042456046654352604,0.0610322631492228,0.7061050354874978,-0.45003243036850293,0.14414140331785838,-0.008499622780883037,-0.05872396151347814,-0.029778171951130687,-0.1922875710665793,-0.18240239308194897,-0.31756257324398374,-0.19109502128063455,-0.17058493064188512,-0.048237128066381287,-0.13203799373602884,-0.22944459479213328,-0.00444013166315834,0.13631362883740475,0.04519221304819121,-0.18310870064753154,0.2639911207160106,0.2559226446475125
Rectus_L,0.008158162705943993,0.7020246250926228,0.5471862548433066,-0.6469374581099081,-0.3960130586815326,0.2468600090338851,0.24964220240355073,0.2773347790403131,-0.18183519007377352,1.0,-0.3925163972988197,-0.38396753649079773,0.5086308237066114,-0.4715899420186224,-0.39577867143011647,0.21028151928061578,-0.15071298741320885,0.43755833460826005,0.5125203651302829,-0.27731661574033084,-0.23630706367084214,0.30865549583282115,-0.11149739794922435,0.1689605620108894,-0.3989450708620338,-0.6282941379997047,-0.2708445021732897,0.436989241329986,0.4447097108346518,-0.011448178247154083,0.5718003725906607,0.32391356883685624,0.17774116807283397,0.8847922972375418,0.24750905513371058,0.33400685477990427,-0.3141638900130824,0.09107386143139551,0.1249223191864598,0.2663985647153187,0.22537120023947108,-0.03538404614521062,-0.3384680940519922,-0.2516141260157845,-0.4472934407025168,-0.4178837808951859,0.22324545526547324,0.5278849394796665,-0.4441407394795062,-0.40638121561830687,-0.463691551057917,0.7275685784011087,-0.5638265307994713,0.09932221652419833,0.43379800435956,-0.43539575505791134,0.5837367547664281,0.41712713224014286,0.6493141146055937,-0.3613107827537115,-0.6420909452938617,0.547886465094024,-0.14345873971400241,0.7214981320329658,-0.5080359720094049,0.17742006093091495,0.09376771831131459,-0.4406421383981597,0.5256508620809898,-0.1101793349266566,0.06484877331892619,0.49794274683269524,-0.1476810085126499,0.6835852971982118,-0.38968839859920035,-0.5080456635400665,0.6566002950200048,0.38558627074261054,0.8569819573653926,0.5668015431515838,0.773797070033129,-0.10406830625636991,0.5768339859603803,0.6801177631973481,0.5005540023581087,-0.5056891376154666,-0.04345913006380078,0.557684677153712,-0.7149014410101867,0.17687576303502198
