,Vermis_3,OFClat_L,Caudate_L,Cerebellum_Crus2_L,Precentral_R,Cerebellum_8_R,SN_pc_L,Temporal_Sup_R,OFCpost_L,Thal_LGN_L,Cerebellum_6_L,Heschl_R,Fusiform_R,Thal_PuL_L,Angular_L,Cerebellum_6_R,Thal_MDm_R,Occipital_Sup_R,ACC_pre_L,Frontal_Inf_Tri_R,Heschl_L,Thal_AV_R,Thal_PuL_R,Vermis_9,Thal_LGN_R,Cerebellum_10_L,Vermis_6,Thal_PuM_L,SupraMarginal_R,Thal_VA_L,Temporal_Inf_R,Rectus_L,N_Acc_R,Parietal_Sup_R,Thal_MDl_R,Frontal_Sup_Medial_R,ACC_pre_R,Supp_Motor_Area_R,Thal_PuA_L,Occipital_Sup_L,Precentral_L,Lingual_R,Frontal_Sup_2_L,Rolandic_Oper_R,Cerebellum_9_L,Fusiform_L,Parietal_Inf_R,Cerebellum_3_L,N_Acc_L,Frontal_Inf_Oper_L,SupraMarginal_L,LC_L,ACC_sup_L,Cerebellum_Crus1_L,Temporal_Mid_R,Frontal_Mid_2_R,Hippocampus_R,Temporal_Pole_Sup_R,Parietal_Inf_L,Frontal_Med_Orb_L,Cerebellum_8_L,Thal_IL_R,Temporal_Pole_Mid_L,Putamen_L,Thal_LP_L,Insula_L,Thal_MDl_L,Temporal_Pole_Mid_R,Vermis_1_2,Cerebellum_Crus2_R,Frontal_Inf_Oper_R,Precuneus_R,Paracentral_Lobule_L,Occipital_Inf_L,Occipital_Mid_R,Rectus_R,Vermis_7,ACC_sub_L,Amygdala_L,SN_pr_R,OFCant_L,Vermis_4_5,Occipital_Mid_L,Parietal_Sup_L,Thal_AV_L,Frontal_Sup_2_R,Cerebellum_4_5_L,Temporal_Sup_L,Raphe_D,Cuneus_R,Occipital_Inf_R,Postcentral_R,Vermis_10,Pallidum_L,Calcarine_R,Olfactory_L,Cerebellum_Crus1_R,Thal_PuI_L,Precuneus_L,Frontal_Med_Orb_R
Vermis_3,1.0,0.29834401030841856,0.7338115769308293,-0.4412296219887719,-0.01189372412886398,-0.3156602060296277,-0.029398961079609175,-0.14512973665875614,0.6007477373312137,0.25058054833314786,-0.032861516502391865,0.2234132311478769,0.2576544193829534,0.16959404500330447,-0.5814979802308555,-0.19561138926871177,0.27085632018464534,-0.2246681391096031,0.5851160323889844,0.3509802031874709,0.5503453379775461,-0.46691087502396866,0.7403227578279191,-0.1469826562140316,0.19058790801109737,0.6765556793522285,-0.30836123139897403,0.7660162104776275,-0.27029452387357006,0.5443677108607116,0.05395123896749657,0.5424509616784292,0.7113785985259897,-0.27545211679988235,0.5270461364805255,0.39366527053267997,0.495579610733164,-0.02067887504263654,0.7539014647020547,-0.5222218898266223,-0.2824473428288194,-0.20786894862691882,0.26511955739143245,0.35728210868067123,-0.20394856254615656,0.6349203358470812,-0.17960303134664315,0.3409792403219428,0.6261043688799186,0.3257306591163787,-0.49997072649449614,0.4846360777863527,0.3434864303705445,-0.32539033722113675,-0.1765818307955943,0.29855816747334457,0.5836633724703643,-0.14928984893337685,-0.4920369904501435,0.5421825946568183,-0.12183348734707751,0.6177027547030918,-0.07609807451970821,0.8046307940107759,0.26208286640855355,0.31826787700053366,-0.4219150209468856,-0.03999785786540123,-0.2996271866284998,-0.38272686009634005,0.4324040131288376,-0.06758840499244032,-0.1909575386102332,-0.28704662909003287,-0.19285597944977045,0.49352602955175556,-0.01782436471136781,0.4929092611606844,0.6775376407965412,-0.14139170826050243,0.5470005530366037,0.5355793047882612,-0.5282821806853957,-0.40459067602561527,-0.13045268714965685,0.300620193965018,0.6758573844910067,0.12853236820375985,-0.3048417604853743,-0.5928271592100218,-0.28616499343020824,-0.01950842072650544,0.3163215169011706,0.7261320196410633,-0.48499561914301476,-0.0017195156332836322,-0.5321245518394813,0.544058240111821,-0.2589325948430107,0.5372603241843079
OFClat_L,0.29834401030841856,1.0,0.30628211744103034,-0.3301091821467806,0.23071894773343046,-0.23685553216115107,0.2699398399804396,0.015130263059645734,0.6200062851225487,0.5473049335232192,-0.2482323068205185,0.27971288879666706,0.05604523204644662,-0.09870108405336774,-0.19526143887254968,-0.2935522988564932,-0.01073187097337861,-0.0845212822728508,0.4917370095298231,0.5100269581529592,0.13473545282985255,-0.34534200079707056,0.2575919941790996,-0.28204812122505746,0.3611152432966373,0.34448136518765116,-0.3072549889266456,0.4387362888377007,0.1230578188202914,0.22164658175034388,-0.13077429624749717,0.4812562032083103,0.42014032343297786,-0.014548830995068835,0.3202404807482833,0.3737087208624805,0.5347995473388104,0.09397071247106308,0.3671657640162192,-0.15864617027773026,-0.033998206720389466,-0.21357273430578327,0.24399066204525105,0.34596806182382633,-0.27995619672651656,0.2509758121848074,0.08886093804752844,0.15515650991475563,0.11721031517401863,0.13899364471881845,-0.263910128344288,0.2694475940115767,0.24585933732343346,-0.2705045394427922,-0.20161581895298997,0.41293361421612984,0.3406434946190976,-0.18346591871769205,-0.10703332058850151,0.21244856343544674,-0.1700691975382572,0.4781963091773328,-0.32419265267791453,0.509270235625702,0.23623510636434183,0.2981506331874092,-0.22126057344742736,-0.1980122286468643,-0.19412245982084753,-0.1981254330028968,0.4729941420554681,0.05323690483767239,0.10950264077824812,-0.19638676749812772,-0.13309355431670883,0.31493810431835334,-0.29851796960851945,0.36931835359159965,0.6201432147100449,-0.05648989168084077,0.5351577854349991,0.07097897406066737,-0.24379564305148527,-0.09483513866445313,-0.18477750881408456,0.31815781328779374,0.1903615849652261,-0.06283111855923909,-0.27147469342261743,-0.20907186411462875,-0.20506786623166673,0.19545216991690456,0.1387405148941135,0.18441393575624174,-0.21386016319535828,-0.2969764290780704,-0.17024079459882763,0.353265065666725,0.023031261528038686,0.2579783966812731
Caudate_L,0.7338115769308293,0.30628211744103034,1.0,-0.3454771045684358,-0.1880482828000208,-0.27156697793570095,-0.08614488697190018,-0.360994296915706,0.7351361424035758,0.31071371008478377,0.13448825165162806,0.15858472765418294,0.16433839582219237,0.31904619760593433,-0.5618056816920055,-0.16282275552321307,0.3697562294733364,-0.4146312971340333,0.778891547847169,0.08176715499500113,0.7068316849879063,-0.3318078812951256,0.72713236266031,-0.09170260919842523,0.11351210752362823,0.6846775652140136,-0.2451598300624355,0.823862942480681,-0.41191137964617724,0.6547789719061342,-0.01925544411098426,0.576927676711937,0.6140736648945221,-0.4632699484175742,0.43938461660574774,0.35546744485004894,0.5061633815071837,-0.16640305554164347,0.734135440489349,-0.6294410865392702,-0.3482720165353005,-0.16490392657841588,0.26733636414623746,0.18488039513539092,-0.14456033227202403,0.8013615446317862,-0.22085022955846717,0.23214076098231665,0.8383586461623922,0.5021070168139476,-0.33896094065769966,0.4784965846645802,0.5987399450894324,-0.2917752572403403,-0.283314201996091,0.06924654673620134,0.5031210891563817,-0.17304619800380397,-0.5039551269339482,0.6579656201440139,-0.0033235371025931116,0.5006330606568263,0.06570248263745104,0.7757404674388764,0.2839498066435713,0.3353035727908815,-0.44684309939140276,-0.04553389726379554,-0.32134570501601545,-0.3660802172171237,0.18887520217868473,-0.19270075085851704,-0.3578882982293698,-0.28054393719162124,-0.3727252848669244,0.6042000781062299,0.02060367417029266,0.6808072893141455,0.6921884200974523,-0.27094889202162936,0.51986702587883,0.5065850083745329,-0.5687569865294717,-0.5552169611092722,-0.12546932312825676,0.14636966544507213,0.5523950253155678,0.36291838948158256,-0.24588531813679768,-0.7019423524478611,-0.4082292012305485,-0.16824114769681714,0.21699527570770574,0.8252053487219114,-0.43029037928037844,0.15270737479283306,-0.52144234653681,0.6911139508535692,-0.3005890592443146,0.6413908197504941
Cerebellum_Crus2_L,-0.4412296219887719,-0.3301091821467806,-0.3454771045684358,1.0,-0.33790864626195805,0.7861208479016979,-0.07827625090343346,0.6208174018383402,-0.3686121535028789,-0.1268465557664901,0.6533348631892437,-0.2729202809059905,0.3469032625813422,0.34976746265453723,0.556829788189739,0.7549114326856018,0.3269221917725957,-0.06630929141719202,-0.4277622956887499,-0.0323278199300493,-0.026902531899219487,0.4552094777474284,-0.49012504000784196,0.68305652710251,-0.5881677640696145,-0.6090068514439467,0.8261280570227333,-0.5167499258869052,-0.048284156075973264,-0.2996145003999338,0.5343285329102655,-0.721578572098103,-0.41845075285999594,-0.05193885643420579,-0.5653949956815374,0.0755780562773943,-0.3430252503749846,0.12150759164545008,-0.4037884257239185,0.48541158451241345,0.4098734455177213,0.8136228688029287,0.19878910450677287,0.2036219451109773,0.8027239481680205,-0.14565391050009352,-0.4218515726614025,0.36500073553673695,-0.4278898383790817,0.12828514402901153,0.5880345360414775,-0.6747546456114537,0.06558413391697245,0.7959555571953825,0.6660258845110315,-0.2724679095738053,-0.1409406634375571,0.6834458435619776,0.40226198433123167,-0.5847950989305353,0.7560456012726782,-0.6604820412271087,0.6346150981451132,-0.322456598623342,0.14658907147156244,0.3081782170255156,0.569739718720136,0.5890570482624267,0.6859944954995363,0.7984355975237892,-0.25904307642284985,0.10344113776534458,-0.10379759251676549,0.7654584913132332,0.14072715140838404,-0.629617550800115,0.6705330629903953,-0.5664828798227945,-0.6768605903440867,0.3639533155051861,-0.576117251881821,0.2382523967542136,0.41671778876414883,0.09725933360624173,0.20820550665563786,-0.20228863749090645,0.09734362167434925,0.29129845428609147,0.6477064096764915,0.4028982449650115,0.20842238219821332,-0.32209247269352115,0.03622641252645681,-0.133611429270186,0.8681255788084146,0.16494989906989765,0.7031064263611335,-0.4891412220618537,-0.03818070288248581,-0.5620343066658772
Precentral_R,-0.01189372412886398,0.23071894773343046,-0.1880482828000208,-0.33790864626195805,1.0,-0.4608158681294105,0.6371280025624759,-0.07346966745004054,-0.259540748654711,-0.13694719568583635,-0.37888781743357025,0.774310580934298,-0.6541323501396638,-0.4529324868517789,0.22857779926315497,-0.5915601301409096,-0.21023089416602372,0.02063245341329814,-0.05973249920902506,0.3367805417479125,-0.18166760237592455,0.21076765566303662,-0.3186577360721375,-0.252096704216093,0.8180443865915726,-0.06844887514725045,-0.46343932051976094,-0.043415744696150955,0.9097329317304556,-0.4288990967468059,-0.7800820421889662,0.09075857966897181,-0.26473022571563426,0.2686215348267078,-0.0922736419996023,0.22613148142672,0.16046084115718484,0.6876143997708246,-0.2555569728490912,-0.07035423323345842,0.2561739261457871,-0.3680857548760695,0.11509261098979216,0.17511544994176267,-0.47881720003686823,-0.13271430626877925,0.8742312599272113,0.08697776066501074,-0.27842798568843075,-0.013670727180710978,0.10626186499132255,0.20528919743234847,-0.1625214996171298,-0.08519352198798393,-0.6010791304357441,0.8515135201136167,-0.09569821918513308,-0.6499076504906136,0.4046833006374939,-0.2517759150797168,-0.3433415087890373,0.19737331700224423,-0.5952879279715974,-0.11308413267202458,-0.022207096173554097,-0.11742257507816198,0.05860869884700965,-0.7481493416082284,0.1940041376609351,-0.4124012345647342,0.5478080082720107,0.7332092171413608,0.8800197427894808,-0.5147578809730599,-0.2032775877565195,-0.03282398769545456,-0.6336231616957042,0.2119755854870521,0.18205274024131482,0.07261608594350673,-0.013671223047268217,-0.28878502167025927,-0.0018117623750116584,0.25642634471677506,-0.038403488463242735,0.8120290370999494,-0.05328080918667759,0.03656730674219348,-0.0918575425861867,0.25057985540877786,-0.22593073850108172,0.9743355596977455,0.46988038455118086,-0.17804390560797612,-0.18111261858086752,0.042746573148822915,-0.2833237262402882,0.029232371004507533,0.7579678683124158,-0.2555762126491868
Cerebellum_8_R,-0.3156602060296277,-0.23685553216115107,-0.27156697793570095,0.7861208479016979,-0.4608158681294105,1.0,-0.19648484567191696,0.6929389970193025,-0.2883280410925142,-0.11095555585683466,0.7172150070333327,-0.3805510381425963,0.47597516212369906,0.4471908554364885,0.3919571851018994,0.9458839553321324,0.3614083892221059,-0.14775999702064554,-0.3931697797820628,0.018475378366452418,0.0016020062433886074,0.3831724082523452,-0.38373825772433234,0.7770420537995129,-0.6802858931270948,-0.47244870983329085,0.9380942141761008,-0.3866555578640508,-0.22992266277657844,-0.21220359458734656,0.7137181470161895,-0.6886544409473315,-0.2789953874051115,-0.09584150390755582,-0.528193338366476,0.10038785897348274,-0.3093464380934529,0.06432039320622947,-0.2555281875372906,0.42687883305216406,0.40860201880223174,0.8916828224411707,0.2528912181406994,0.18490055275056497,0.9370624498776488,-0.14969352874731695,-0.6128227756068022,0.41696224584536296,-0.3665579866799007,0.09098611995499803,0.43583460062206303,-0.7175960963773786,0.020346474183450085,0.8232682973758175,0.8237212021609601,-0.33922054931963835,-0.05636288960823051,0.8979563207426807,0.24167399491514402,-0.5180506224531302,0.8644775227035704,-0.6122038226013026,0.8059139961791456,-0.20373969120944205,0.3063210074211338,0.377365167525249,0.5700407479775127,0.8223614916255054,0.6755127757026713,0.9581531983644384,-0.2020244842990413,-0.04022456952036789,-0.24354271041245087,0.788647712655222,0.08405246670359476,-0.6587978421571407,0.8329204363171512,-0.6195544814825539,-0.6616812601445826,0.5078262278122381,-0.48314684141240816,0.3610705531790431,0.26746842389835135,-0.019753414032902938,0.14455556165418978,-0.27477837091362245,0.1947334445393308,0.29244013396399804,0.6456411667465114,0.24214092672248433,0.18578051652937405,-0.4796326112200848,0.12360193064879656,-0.05397480254786856,0.8309975474729379,0.06594937736501405,0.7042875195128774,-0.48269225771647617,-0.28545999050503884,-0.49966431358685315
SN_pc_L,-0.029398961079609175,0.2699398399804396,-0.08614488697190018,-0.07827625090343346,0.6371280025624759,-0.19648484567191696,1.0,0.10369439781594059,-0.08267135531234127,0.1586737543536331,-0.09918924027088084,0.5495961238735959,-0.36214360157220465,-0.14537193002201312,0.3432153202386542,-0.25864158367618784,0.04053628683719953,-0.02614856059392134,0.00588251651453508,0.2304713628444588,0.05897728586705114,0.22447576222784468,-0.27387178493040554,-0.07386438343432805,0.41944251568727997,-0.15265643110957972,-0.14610344679321857,-0.025284654982655943,0.6525631578004166,-0.4075308201096918,-0.4434951906382335,-0.04016658068679532,-0.2567780059283389,0.10416004942331455,-0.19495789423990179,0.25808851845951375,0.16227974004833234,0.5696174950984282,-0.21926013223609642,-0.003665129390776297,0.3328592304474055,-0.03974407260446559,0.2218251533208716,0.25827715148209324,-0.16552470055144106,0.01405725720464874,0.5555601938384682,0.2812422275663719,-0.2693688304642773,0.26237198573577847,0.3134023393040804,-0.0004495716082868894,0.10004149916636994,0.09761445042464058,-0.3060733353935917,0.5634087517804076,0.12050638302272411,-0.36765953729876955,0.4839052789218726,-0.20769175962438957,-0.11058585626982728,-0.00414992790508311,-0.33509377423507036,-0.0879149810532499,0.04662023526171875,0.1045488260820987,0.22956011947399282,-0.4525622451700156,0.3087066597991786,-0.1567215532092261,0.335702874143603,0.6540614518480723,0.6438885703809395,-0.23772244142413876,-0.2135111608968928,-0.13351125398306973,-0.3274643272873782,0.27168526222184025,0.11811462306682895,0.21379104207097518,-0.15634273638041774,0.004564714629954506,0.1892924729653103,0.17016431974953766,0.034751329907402186,0.5949938287179924,0.12983093405330828,0.26299112652828344,0.24507181677567239,0.22238192099045337,-0.19656983237030787,0.6644248868288546,0.4435740542710025,-0.05465616879983106,0.0931425388763962,0.3264504801061117,-0.08574799818271434,-0.04121463183991701,0.6581164916138158,-0.24178929221378076
Temporal_Sup_R,-0.14512973665875614,0.015130263059645734,-0.360994296915706,0.6208174018383402,-0.07346966745004054,0.6929389970193025,0.10369439781594059,1.0,-0.21916926500424064,0.014552790133460097,0.3786175224702273,-0.04003496414561913,0.5488580777050678,0.26734670398078964,0.5137944121711464,0.6600120626108867,0.38138774343344484,0.13872952646409334,-0.256685851434857,0.5034667090867899,-0.02215052479378609,0.25251974702297564,-0.30514338558870996,0.4792551420833122,-0.32226739232559276,-0.34317243460479113,0.6565443388854507,-0.3301063160883917,0.18688615735458058,-0.4106645686265992,0.607517312571902,-0.4920364282709693,-0.14062061067697526,0.1959827908698353,-0.35005919404101543,0.46724821308946063,0.10054890653460391,0.3226563752760497,-0.2863775359343494,0.5802559510278877,0.5322144086003896,0.7189287392119817,0.4811592491938177,0.610152368032818,0.6304638405434381,-0.24165821103331311,-0.30773829245738804,0.445120524259621,-0.5655574686353853,0.14848868036566426,0.4072431219873373,-0.44950298581887765,0.039007787682055255,0.6223638420352969,0.7940523429613688,0.15027923355047076,0.2029030141632197,0.7059155338908566,0.4551105325759495,-0.5317037719433602,0.561969645105584,-0.272882305450749,0.3986907300226522,-0.021079088341423493,0.36162083138494455,0.5565735552808398,0.6644368654517054,0.5449249734882563,0.6049909984291529,0.7386312807498543,0.2308258729404169,0.29873584613910165,0.14511526638213582,0.6554908699125518,0.26665047644496676,-0.5307628526865747,0.4967614093697631,-0.5169431037477944,-0.45401158875589204,0.6295443672996112,-0.3002606415773348,0.38010870287137305,0.4394848345522236,0.27868408248938237,0.16955514045569967,0.16042496978270213,0.32354583598406883,0.22151249603142037,0.5205327632513249,0.47281964307089125,0.31452461408594373,-0.0883493289232233,0.18397527417828463,-0.05744697173464407,0.7657470589094565,0.02455559508972586,0.6719844050978981,-0.45499338354232854,0.10569543547400524,-0.4704927003240329
OFCpost_L,0.6007477373312137,0.6200062851225487,0.7351361424035758,-0.3686121535028789,-0.259540748654711,-0.2883280410925142,-0.08267135531234127,-0.21916926500424064,1.0,0.549941601358242,-0.05307635452515791,-0.03432213177900283,0.28643762358737,0.2054737973133439,-0.6108352703131205,-0.19187091656200767,0.18366715695184108,-0.21645995940941098,0.7333994575603907,0.21828730252048664,0.5200575639139479,-0.5762801898369727,0.7304174302178167,-0.2833800595780503,0.03602370305466125,0.6467946453252333,-0.2900674097528415,0.7290383740047073,-0.4357846339902754,0.6604603010619505,0.09907320215971309,0.6660427643253716,0.697876890459821,-0.3472772299070858,0.5911867855066926,0.20564050265236686,0.5391367340390877,-0.4164741797713073,0.70344020689049,-0.45686546557682584,-0.49210800394525767,-0.19825796847700503,0.0678975157019065,0.19809176871926568,-0.21820852752239567,0.6288294498689999,-0.25212122317988483,0.1426831410004836,0.6930846135452081,0.22752721129056225,-0.531198779012703,0.47385499222705413,0.3661771419377875,-0.4333464355441244,-0.1488537284976444,-0.0065033412351270855,0.5775902518888613,-0.07174509526684414,-0.5880151562416889,0.6901394961637467,-0.14705595711660124,0.5363187320104545,-0.018507362734141868,0.7738224434296144,0.21075910210083632,0.3462527592486782,-0.4480198777736742,0.0449061685582101,-0.5182135634263383,-0.3411265855424841,0.23762125820309304,-0.39090371873880225,-0.4589737122417826,-0.1986632200236415,-0.17649345495662688,0.6422566020316168,-0.0348620206138679,0.6029872981441269,0.7564459984843505,-0.2665158809365454,0.6899968765786331,0.3634353487873826,-0.48750932567680705,-0.46582897802123946,-0.2107543249309492,-0.046424832893703936,0.39262868846898635,0.03417654916041212,-0.34526640740940606,-0.5949359491089259,-0.2683005103679596,-0.2637494384913995,-0.10454586161194271,0.6362370330889978,-0.4135985247411264,-0.09176526174548481,-0.40694602560079,0.6544308928020696,-0.4009949255281084,0.7281258888542587
Thal_LGN_L,0.25058054833314786,0.5473049335232192,0.31071371008478377,-0.1268465557664901,-0.13694719568583635,-0.11095555585683466,0.1586737543536331,0.014552790133460097,0.549941601358242,1.0,-0.12171850898253055,-0.07729902171362778,0.15016821022947502,-0.08334185351579514,-0.2758204508938498,-0.07707889576942302,0.09701451969727733,-0.044311679394996584,0.49609313697053564,0.23523545837825996,0.1959089312880966,-0.5631861864736054,0.3528943613259939,-0.2019029466678491,0.05956457772100625,0.09736686241663613,-0.1168097383878081,0.3391403500844647,-0.20303608765787948,0.5044177337638152,0.10388736302408964,0.2059089338856037,0.45918136782142605,-0.13734014931897906,0.3923809816677361,0.18287137528011327,0.3504254067052627,-0.15137078577643878,0.4988396299233835,-0.13437872356945427,-0.17262525672471712,-0.10464790891783243,-0.0006045660177715431,0.18883596350007056,-0.06519943689323496,0.20785570191506866,-0.1664122405138355,0.14283562976203265,0.19942344759526903,0.15406514547729236,-0.3038875160268535,-0.01867554884708754,0.3048319399246213,-0.16141610655889876,-0.058190637977536826,0.06521588630098464,0.280691341594224,-0.03200144696230881,-0.18449986552157993,0.2786444161044242,-0.1215407534869634,0.24113657503233055,-0.13669159917513393,0.4123446472585825,-0.061145678846742255,0.2611523636852931,-0.3862907379706961,0.087448710325841,-0.1583949038016919,-0.07491950289771716,0.18315280078732304,-0.2163207591084382,-0.17728566560644904,-0.04112865257604399,-0.0431244045100495,0.12239902460533453,-0.06628693877116755,0.18710202514029664,0.4528330703785997,-0.08215482362199664,0.3172632261574719,0.15252021033426627,-0.09846429627968563,-0.15265116635814616,-0.29082964412494455,0.008824285393975024,0.20342648563908583,-0.21809084851621968,0.04810045265904316,-0.2416770787065722,-0.13156076684501275,-0.10850719807049365,0.03628218700709715,0.17033905551133305,-0.11947587772722751,-0.14485922966350387,-0.015152502317336822,0.2949517361303298,-0.1831254115640606,0.27399234923929017
