,Cingulate_Mid_R,Vermis_7,Thal_PuA_L,Thal_PuM_R,Temporal_Pole_Sup_L,Cuneus_L,Fusiform_R,Thal_PuA_R,Thal_PuM_L,Occipital_Inf_R,Temporal_Sup_R,Temporal_Pole_Mid_R,Thal_MDm_R,Cerebellum_6_R,Thal_LP_L,Frontal_Sup_Medial_R,SN_pc_R,Calcarine_L,Rectus_L,Frontal_Inf_Tri_R,Occipital_Mid_L,Vermis_6,Frontal_Sup_2_L,Thal_VA_L,Red_N_R,Cerebellum_4_5_L,Cerebellum_3_L,Cingulate_Mid_L,Cerebellum_Crus1_L,Angular_L
Cingulate_Mid_R,1.0,0.04003621347225546,0.3868824902810616,0.4750032790566058,0.3438514781088078,0.2660953432985331,0.6037022454156158,0.30031566240301855,0.5441591703858246,0.22539058542419313,0.7075854303811661,-0.03853536425522248,0.45513854012238875,0.560115321263887,0.3915832611982799,0.7209308646224416,0.5618392274921101,0.3760554669195022,0.15040726934567092,0.6903056718102021,0.48995248766459515,0.5917860651447521,0.6531134320422588,0.4475804468435044,0.24160238890512606,0.6472572423769817,0.6065584406491809,0.8328565702078167,0.22194301904219893,0.557720307852528
Vermis_7,0.04003621347225546,1.0,-0.06783914314155352,-0.17765068214135418,-0.04881983691277013,0.009616789712382747,-0.13049345839833093,-0.2265812967520896,0.007447399784747399,-0.11562392500719204,-0.10135849844751468,0.02299401478469356,-0.09026652555298154,-0.16542748099667118,-0.2817185089988652,-0.11099775878075117,-0.0755902048283963,0.004739989101900136,0.007634955551831962,-0.029972973357201716,-0.01309980314876268,-0.14689307972252202,-0.14568100873466122,-0.044228838863273646,-0.2497774423414957,-0.13391292377938882,-0.09755999730212327,0.07798654394129215,-0.05375543320105101,0.058646413417936596
Thal_PuA_L,0.3868824902810616,-0.06783914314155352,1.0,0.6567863189034984,0.24899972684438554,0.26762376361455775,0.22365208729086697,0.5454380864236912,0.5979094697460723,0.03760313775956228,0.44957236280477514,0.05323024421588786,0.3992991276637516,0.2345013377636585,0.4924700433743173,0.2580676199949186,0.12177353569570261,0.4862520651829921,-0.0813060391702352,0.4305373412320723,0.208586989039604,0.39511808511291524,0.24913603792924272,0.42695802936506216,0.439142139896509,0.3137940524375539,0.24972823625652402,0.3235934634142727,-0.02096364107717027,0.17745585022998875
Thal_PuM_R,0.4750032790566058,-0.17765068214135418,0.6567863189034984,1.0,0.04254047279801355,0.46640760583202145,0.41066698843758076,0.6828137153585122,0.629895118938011,0.20214616137226887,0.43019880279989575,-0.1578047566546211,0.4141704511093383,0.48924160704987857,0.6633746003152543,0.35595506366862706,0.31959770502347135,0.4434302962632057,0.11964224989243262,0.40389358337816356,0.546524634924536,0.40780712196248303,0.4610624153204409,0.4109465262105884,0.5547037872928187,0.5655731899390797,0.2827268194530568,0.4736157173785046,0.16626022722353515,0.5009963537210612
Temporal_Pole_Sup_L,0.3438514781088078,-0.04881983691277013,0.24899972684438554,0.04254047279801355,1.0,0.08325497944170152,0.17046027670259592,0.10705558549336146,0.3240128159835228,0.02233809330216219,0.40764651244303335,0.37365735107187376,0.18606889252590225,0.21632659548122915,0.2942602456194918,0.42128411122021775,0.2901038037175345,0.37957469496940377,0.14284169886908638,0.5544923408281723,0.08499001731306625,0.5181349168368071,0.3475371174534905,0.180375666814443,0.02650899709797871,0.24767445957558895,0.6049150760963856,0.10780364414526987,0.49792766422591006,-0.1332664651994271
Cuneus_L,0.2660953432985331,0.009616789712382747,0.26762376361455775,0.46640760583202145,0.08325497944170152,1.0,0.02514325784381091,0.23251728194429663,0.6097724978893102,0.06377098272315111,0.18704668147583,-0.1856570424129907,-0.0026654042760554677,0.1329126452820272,0.11267284696063216,0.10993244816448344,0.01231643294608235,0.7826133812867563,0.09333369260366682,0.16273245252568352,0.527273682803851,0.1966908286496621,0.28657712712533734,-0.08775570195091115,-0.030898593301898866,0.23791845146950338,0.055522361131551914,0.4406960506197071,0.12150034446235486,0.374954462816576
Fusiform_R,0.6037022454156158,-0.13049345839833093,0.22365208729086697,0.41066698843758076,0.17046027670259592,0.02514325784381091,1.0,0.21309944344941184,0.3039602765836935,0.3543269771625341,0.6715310444358158,-0.035859471284997085,0.6158668284497315,0.9131092746803252,0.372834560721893,0.5637105257554743,0.7139874601041549,0.21559637824820327,0.20535517284675014,0.611127279915269,0.40653479526237296,0.6547607536099896,0.5866119145346589,0.6395915850243102,0.4148892654478739,0.840313809785429,0.6070653532328716,0.4529526282305314,0.2213041677444769,0.4794125575409827
Thal_PuA_R,0.30031566240301855,-0.2265812967520896,0.5454380864236912,0.6828137153585122,0.10705558549336146,0.23251728194429663,0.21309944344941184,1.0,0.5705342903019723,0.05145301350456012,0.34058550635515783,-0.04590354683554696,0.10678373981839061,0.34213779105043657,0.4338028064807918,0.323293535703206,0.1787306430717375,0.3429994965964718,-0.09728769130475674,0.35768224124734194,0.25136837185436917,0.26542828083877906,0.34620848583457053,0.3544559439688984,0.5809604554656106,0.29622359074897675,0.1482280887429586,0.2569166138775483,0.07510812286242302,0.20162358211324302
Thal_PuM_L,0.5441591703858246,0.007447399784747399,0.5979094697460723,0.629895118938011,0.3240128159835228,0.6097724978893102,0.3039602765836935,0.5705342903019723,1.0,0.07354961403181984,0.4893488718556465,0.013849626338221054,0.2712961351605647,0.3698749032303559,0.3625128009336992,0.4825992084047283,0.41229094887186174,0.7757955011682548,0.1354428572602857,0.5644184212336321,0.3414741508035809,0.49531219095384105,0.47664937759160314,0.4052406928117142,0.2599316460798525,0.3950414884325328,0.40171657757412443,0.4847709755135971,0.15213141378703132,0.22723808874844945
Occipital_Inf_R,0.22539058542419313,-0.11562392500719204,0.03760313775956228,0.20214616137226887,0.02233809330216219,0.06377098272315111,0.3543269771625341,0.05145301350456012,0.07354961403181984,1.0,0.2646777606000088,0.012865433283397426,0.2645176965952258,0.2791086387680921,0.21774518267826365,0.18297274383949705,0.16109457773482216,0.07339704505590826,0.24111471667847068,0.226852112339748,0.14687125642329904,0.2922976970842952,0.14386121892274323,0.11874712106020976,0.08465028438040856,0.2494069104711431,0.24565102191116556,0.1804365047032792,0.053517837986149626,0.19824331801194184
