,Vermis_4_5,Occipital_Sup_L,SupraMarginal_L,Temporal_Pole_Sup_R,Cerebellum_9_L,ACC_sub_L,Heschl_L,Occipital_Mid_L,Insula_R,Occipital_Sup_R,Putamen_R,ACC_sub_R,ACC_pre_L,Temporal_Pole_Sup_L,Caudate_L,ACC_sup_L,Frontal_Med_Orb_L,OFCpost_R,Thal_MGN_R,Cerebellum_7b_R,Temporal_Mid_R,Cerebellum_10_R,SN_pr_L,VTA_R,Temporal_Mid_L,VTA_L,Cerebellum_4_5_L,Temporal_Inf_L,Precentral_R,Cerebellum_Crus2_R,Thal_VL_L,Caudate_R,Vermis_1_2,Supp_Motor_Area_R,Cerebellum_6_L,Rectus_L,Thal_VPL_L,SupraMarginal_R,Paracentral_Lobule_L,Thal_MGN_L,Calcarine_R,Cuneus_L,SN_pc_L,Cerebellum_7b_L,Parietal_Sup_L,Angular_L,Calcarine_L,ParaHippocampal_L,Heschl_R,Amygdala_L,Insula_L,Thal_AV_L,Pallidum_L,Thal_VA_L,Cerebellum_Crus1_R,Cuneus_R,Supp_Motor_Area_L,Thal_MDl_R,Cerebellum_3_R,ACC_sup_R,Vermis_7,Fusiform_L,Vermis_8,Frontal_Mid_2_R,Occipital_Inf_L,ParaHippocampal_R,Thal_AV_R,Cingulate_Mid_R,OFClat_L,Olfactory_L,Thal_LP_R,Rectus_R,Thal_LGN_R,Lingual_L,Parietal_Sup_R,Frontal_Inf_Orb_2_R,Thal_IL_R,OFCmed_R,SN_pc_R,Temporal_Sup_L,OFCmed_L,Frontal_Sup_Medial_R,Cingulate_Post_L,Precuneus_R,ACC_pre_R,Thal_VA_R,Red_N_R,Cerebellum_9_R,Occipital_Inf_R,Cerebellum_10_L,Frontal_Sup_2_R,Thal_LGN_L,Postcentral_L,Thal_VL_R,Vermis_3,Thal_MDl_L,Temporal_Sup_R,Thal_VPL_R,Precuneus_L,Raphe_D
Vermis_4_5,1.0,0.17260581646905537,0.2539332306286279,0.7012045252206874,0.650431576120037,0.2407417478348657,0.5947719876791233,-0.10315223667747042,0.6224144297331818,0.14938542995071968,0.7961595148581462,0.1895566891645491,0.2387697540176928,0.5607328424739977,0.670860527842916,0.5923739281111402,0.20123403216996236,0.5775942726632576,0.48458850468383985,0.15627748275508124,0.7994553595089257,0.6881625416614862,0.7724591081659306,0.055209474779826156,0.7775639095737865,0.23490766047466535,0.8971402130033241,0.8045692548594576,0.5900881684241154,0.15145740977576605,0.6964062765827408,0.6670415195715026,0.5884321830578688,0.6763949418775483,0.4579373771069663,0.07330417643750312,0.6321634700603658,0.558094208982026,0.07239593337675125,0.4771737021529343,0.6969350965490408,0.5463379951064586,0.6045621206984386,0.19128215299685733,-0.03341745651630622,0.23938246864423252,0.6480169088044789,0.7503276839782109,0.5747079042931139,0.3664231001020589,0.715290707378963,0.5434319734929557,0.7505073359640535,0.6228719616555207,0.09392362264332635,0.3966764166233978,0.46300867200029033,0.4071231512874603,0.8384555799728662,0.5862135821203409,0.04354354494319983,0.7330382890137284,0.3999643711382879,0.5210449215261438,0.14299714547233888,0.66803949620499,0.2154134728913089,0.8723001480502319,0.21556397316936413,0.36351610690914277,0.17621293938418872,0.13633800960555778,0.6166489676371106,0.7042883102476273,0.33729458786512745,0.5651332024749439,0.6095036590612805,0.30226592353698967,0.42174801583092536,0.7841409782997727,0.4068654764131895,0.3128312818921081,0.6779583382395064,0.6778192086982461,0.2151151857116451,0.6598758937737915,0.5972823414432206,0.6129088213709327,0.09997119830626416,0.6010229505397461,0.3703810932117208,0.5588661190643397,0.5120626090770389,0.6406064294048672,0.8821596024281084,0.49117126732029276,0.7735308823433009,0.6044759618510206,0.6489876961165425,-0.13072326925580788
Occipital_Sup_L,0.17260581646905537,1.0,0.8116185407730675,0.23695129234424703,0.09141911967900754,0.028264487604410853,-0.31564214487778536,0.3680844318095327,0.19111396586308207,0.8662546053859177,0.13262589185572354,0.12228630186724497,-0.3985550814566699,0.26280859907002213,0.2953598271505018,0.4839721593059232,0.03845478414758359,0.10484892692359314,-0.18702451225611338,0.039720731264368855,0.3801769508934585,0.4062844229750095,0.19330289656558658,-0.08370551556192624,0.34530886493083285,0.49908676998414386,0.23291247098431458,0.025222956161125486,0.2856549834915526,-0.12647145840978913,0.32330697633990996,0.27298778832649795,0.34437679766260576,0.21962859795727954,-0.02523488552750492,0.04380084690688957,0.28075672499700155,0.7338639925808018,0.5525320930283258,-0.12541876045742387,0.2700239045723263,0.6865967967723507,-0.008089707891377508,0.08929449215414974,0.2674998203344905,0.8697344732691898,0.637672164611364,0.26014553130440493,0.2643353218201044,0.2369938885959464,0.20822621467492589,0.03961618621199336,0.02658292878655015,0.08840129265847749,0.12023157110729721,0.8236381995735987,0.08625237659333644,0.41519759939025,0.1081083837436589,0.3662891060553769,0.14731735358171638,0.2035055880264202,0.1809697623091433,-0.2647596887114258,0.21957732577878286,0.2739152370752366,0.3244934148177806,0.37223596899921874,-0.34333170173435495,0.2992656661476701,0.15100160775241647,0.12404945434466515,0.04167361441541098,0.33763180157610184,0.27092053033659913,-0.009606991186019941,0.1352087795448248,0.09238500050200105,0.1874853423126968,0.28360721551992973,-0.0912484901402304,-0.4306019640015936,0.23240469929160534,0.644741379633885,-0.3428462658698491,0.2309993888980837,0.16335912853974985,0.10393386896855239,-0.07513050720831728,0.033647867317514284,-0.32944604256265025,0.19305945364591762,0.3998986147338729,0.21318740212181944,0.1405322972920673,0.44474547840812667,0.2777437227313666,0.266122782683974,0.7157928255049313,-0.008192846099645943
SupraMarginal_L,0.2539332306286279,0.8116185407730675,1.0,0.3058467334824879,0.1420479206385487,0.16841104670484167,-0.16420133256085503,0.24691413961484082,0.2423928223568309,0.8041222516488868,0.18387382861005808,0.23236193807243158,-0.4531715230676549,0.17849224452797482,0.337797095772917,0.5390111695571624,0.14783345247227417,0.1310623004632661,-0.24152858475494554,-0.06953521995286562,0.39478291132872273,0.32607116459657665,0.2577510886413392,-0.1623139504839315,0.4045687367526361,0.36311043778610896,0.2613127862588449,0.08667532072041806,0.4535839026799776,-0.23362633139879188,0.295397993743431,0.3739240255722525,0.4707090995406438,0.38461203633627133,-0.11239450063843096,0.16387329259961736,0.31725787367867375,0.7059440833654793,0.5714393264766306,-0.08587945245728908,0.21274332518669123,0.6647144625320741,0.15157943419560305,-0.1114032176337832,0.33588987793404196,0.8207930706525988,0.544931518495599,0.2942147042075245,0.3593548413428336,0.08727129500043872,0.31985947850726215,0.17479821364170475,0.03543168068615932,0.08493568986521058,0.0020342245231914076,0.7743791545770429,0.31516843568851616,0.3326737498517443,0.13552571545921838,0.4602501298672566,-0.020313331224584747,0.24593646466566363,0.16652746109831643,-0.16826769667571484,0.0888446624723598,0.3129272912606234,0.48979311891111854,0.5020284278460007,-0.015442929314904656,0.2641834188962532,0.2976843685884532,0.13003383834672708,0.12872561080310094,0.24325198392509015,0.2662025363813416,0.10096253290602261,0.20638027683688653,0.12496253250726441,0.10141835062764132,0.37891147364588734,0.05304950413186783,-0.35135163991332613,0.2885168967129694,0.6671328878356815,-0.4090575795627888,0.11351867854794631,0.1640538829178473,0.05521217068834651,-0.18571893007963194,0.0929113000822311,-0.18294413611617694,0.3836022701374185,0.6597289090254679,0.2788395119488525,0.30117921186851393,0.4955831269616711,0.2819387917795746,0.3734437838243125,0.6693112554639435,-0.08033844892265271
Temporal_Pole_Sup_R,0.7012045252206874,0.23695129234424703,0.3058467334824879,1.0,0.4968649278399731,0.45142374316201533,0.5685406043191001,-0.09058559824584432,0.7343909128919602,0.1338337427706098,0.7821589505897839,0.4254090320356588,-0.06392833635388447,0.8643158360283641,0.7394787308487534,0.7900675076970001,0.24168947560070023,0.6750022308149608,0.5708250264261119,0.19994303798977744,0.6525672944006204,0.4969182199949265,0.6515109557583701,0.0546333403537352,0.7561022383293768,0.10074784403434636,0.7062643881535208,0.7192835085309746,0.2735359393319959,0.13705181547326398,0.6608978270044269,0.7255779615258828,0.5072084955767628,0.36590750954997775,0.24251434782501338,0.3865666841321419,0.5470749084851141,0.5434787075662386,0.15751857330401225,0.4012459572082703,0.4031694541389243,0.49528438169161626,0.4745591289946966,0.08073447759227316,-0.014775644134213724,0.2135667965970377,0.49866139190993886,0.7140620238622641,0.3863721206809763,0.2733615356556696,0.6513035247163277,0.5688565001598543,0.680597153800095,0.7375941935372441,0.10918352525325933,0.2649973289664784,0.15582919609719226,0.3286469324519009,0.5465051511835423,0.804477870367206,-0.020050452760249842,0.5787801797814497,0.3347351004124707,0.22819162231101567,0.11120354075797594,0.721899690395954,0.03198095657003936,0.6812878615667922,0.011034471809603055,0.34395292248473447,0.02143801754813225,0.49903713921599413,0.6180855178245145,0.4955708899356868,0.2279086654910736,0.6399119106377025,0.5599509283531827,0.39572953603987077,0.2083285093293799,0.7763401186586447,0.2810665846124907,-0.031214655017790634,0.535788017337598,0.5541124036244659,-0.009561216598171019,0.6863822176559273,0.5551661243662998,0.47928156951536716,-0.07433150451692347,0.5211774080764758,0.031027911057230156,0.33142197177077976,0.4964464862701325,0.6968171515404368,0.6716435352868942,0.3916037689263722,0.8039952696195825,0.6296856278087704,0.5398825547609379,-0.1298079759626138
Cerebellum_9_L,0.650431576120037,0.09141911967900754,0.1420479206385487,0.4968649278399731,1.0,0.07697209335355089,0.5387917140949792,0.09326229914638322,0.4544096008425664,-0.03368071441942814,0.472798135750148,0.08963626507789271,0.2791557487267049,0.4287973164122438,0.4905127716969751,0.31251572472550376,-0.01878819877589929,0.40781685470563,0.3802218067475316,0.6071420413527906,0.664509556078206,0.8395419142524165,0.5385094838017296,0.08046497122654546,0.6732192393474967,0.28050337455679003,0.6076408197919123,0.6820906923401032,0.5381828702363926,0.5740611440498267,0.47060649251866726,0.5293149407403671,0.2616020821979785,0.573296733177067,0.732152556216648,-0.03273601416076034,0.39231070150742153,0.39790936756014034,-0.05726972538873646,0.2462070060719285,0.7859749725273675,0.35238735584163194,0.4022737710780276,0.4962341724457821,-0.007723070126702918,0.06692617241308711,0.6883130314820923,0.5338003849660959,0.3696642717442676,0.2242397252403885,0.6459666379218874,0.5702312539951319,0.48997850121529407,0.47948710338596234,0.5485761702522746,0.2048264552105339,0.4801708574841949,0.22202564560117335,0.7848841819225617,0.3893988315348132,0.4577349521342355,0.642252532999802,0.7944812510893636,0.5834272908951218,0.23714366286777547,0.5168401891801289,0.20622081642923817,0.6510006249551838,0.31259157792088527,0.263984897061263,0.26155239559269683,0.006316271521563262,0.5126107926913979,0.798688309450665,0.011242799758054528,0.3967232927962628,0.4796781384517,0.1446983447871244,0.377158911712109,0.685492365661877,0.19993977498254875,0.4334955556283312,0.5020511753617556,0.4583570405577662,0.2500297435452466,0.4271209976055047,0.43539078860365915,0.8532245604173442,0.4060904103268578,0.8870619785402649,0.4840910738080197,0.4114712142813075,0.43530788483142774,0.49025421794747104,0.4876282954653487,0.3580514318649414,0.5985909583519425,0.5028451941934731,0.45777389143081126,0.03236842064658821
ACC_sub_L,0.2407417478348657,0.028264487604410853,0.16841104670484167,0.45142374316201533,0.07697209335355089,1.0,0.30267076148941374,-0.5688551418129925,0.17491004947386787,0.1505141902245788,0.42682553442901555,0.5743328661994958,-0.3124033020076127,0.474691498640845,0.24154443423171026,0.47160713518115244,0.677562305505418,0.24915801237393387,0.2775171445163734,-0.28208472313677124,0.004357259350405211,0.1120526311055122,0.17380302926902608,-0.19751942894010513,0.013796872970152052,-0.38439229063599145,0.17397929017352834,0.11717128202939389,-0.07928787949554127,-0.3994852805147657,0.08753781345800778,0.28016012915625343,0.46967786935416433,-0.08860221130936106,-0.39568474446775154,0.6211771734016311,0.022336461698730076,0.3097507033299642,0.16363184435673836,0.3172974195041423,-0.10339586955667668,0.19295174134800183,0.4437480762555385,-0.42577907404912174,0.26959712366702293,0.08018632002000357,0.06754547748190093,0.2250388342651182,-0.1311613849004321,-0.4376311407405026,-0.10358792824684943,0.2933731770654338,0.4137660105130973,0.31018897886055014,-0.3762330009088222,0.0668194911908508,-0.10725500517534829,-0.20648483138185877,0.23936461794745223,0.510269941034088,-0.43358309052176397,-0.06701679303162464,0.07050945670423236,-0.19897695453510802,-0.5308219341052347,0.3508758766216183,-0.10609712496147718,0.20103601126823642,0.05455581452176286,0.18375958822291297,-0.14572656631005407,0.6473223551577452,0.33471503512624773,-0.17075513221269642,0.3048178284297964,0.46979432187474834,0.20542606213585385,0.7169420781582013,-0.16290885759485363,0.13064008353583667,0.19976664089689064,-0.3967859875680414,0.1243120638073291,0.22153535640913752,-0.21459686666961092,0.32180651676870414,0.3168340842647613,-0.1717983775923307,-0.6468085303939575,0.22520988371368406,-0.3783753067215125,0.07742878500963395,0.06286448287563218,0.2620231560233964,0.3339488782371357,-0.07270234237733872,0.09074975199974458,0.13738225978063429,0.2133266038486055,-0.18506419312885064
Heschl_L,0.5947719876791233,-0.31564214487778536,-0.16420133256085503,0.5685406043191001,0.5387917140949792,0.30267076148941374,1.0,-0.23515378615965504,0.43703477447153305,-0.3050094691342268,0.58829260564374,0.27527850853099944,0.2864582705359162,0.4833607128391686,0.3801155042740218,0.25968467196486755,0.21710267765113028,0.437711920522535,0.579645791616147,0.21959077687159825,0.49936811349654187,0.3797164058793932,0.5224877193775511,0.2894688312825442,0.578108489980104,-0.07783358693134436,0.5156379100421571,0.7484653142394853,0.38833133520777624,0.2759140383619544,0.3734938330942074,0.48441313272816655,0.10321483971605545,0.45014125623932283,0.45535865608504944,0.1558968891335942,0.270527495945831,0.07772625465006451,-0.25791293541769966,0.4705582190447704,0.43500560339091315,0.08665271011705655,0.5485551373725014,0.14945143533538952,-0.034783737686716436,-0.1996872680222349,0.20451184972735623,0.46311284870342917,0.31808821863026876,-0.05832418878386034,0.5137518515133783,0.5875001425969784,0.6933518652126832,0.49714104161672795,0.1123494962175169,-0.09970455930426163,0.4402836456592091,-0.12230951241855974,0.5772520900388756,0.3394840720528924,0.07018663554906746,0.5333285913028889,0.28142796105633866,0.5813692978279585,-0.030517873458398105,0.5661664277673736,0.20444146412891076,0.5541817928210435,0.4899968659735996,0.27374501699649983,0.22651441362740768,0.12619158637400907,0.7068484995638349,0.36627897098049905,0.0001910016332601066,0.5936017209291057,0.559127082175612,0.3578003568409612,0.21355089865025406,0.5841265441158819,0.22711199445350194,0.40710034276788254,0.3965956496486956,0.2043730831090065,0.2499188476544547,0.45550263392810986,0.4537575545174943,0.48591422515911964,0.18326368492782935,0.5258230472078111,0.4553264031232148,0.43812992119016503,0.2501873333421071,0.46872321292528424,0.5026410847900957,0.07584543338653103,0.5190664321539481,0.40764008964072684,0.14391120546930639,0.014640840297785233
Occipital_Mid_L,-0.10315223667747042,0.3680844318095327,0.24691413961484082,-0.09058559824584432,0.09326229914638322,-0.5688551418129925,-0.23515378615965504,1.0,0.06749832042229159,0.19432901535046126,-0.24408916169659142,-0.23584674328458724,0.09526316752652382,-0.058065077351657314,0.062497206757465215,-0.09306219972741828,-0.6020438312441644,-0.08008163636115295,-0.26607712686746365,0.4318314326150133,0.3204220866027733,0.08972791757108563,-0.0878918569072254,0.13928388396423552,0.24809313433697971,0.5467360167199814,-0.029913020715199946,0.1146739956837707,0.22366914151190023,0.4783563385651586,0.048192972240356395,0.02779894652034176,-0.23434590944304945,0.1741314035250588,0.4672544173847488,-0.28648675663906414,-0.03721715020923661,0.0450807357868428,0.10768256190849039,-0.45079125085361826,0.1717528008034794,0.07134338597280097,-0.32507575147389967,0.5438399641526119,-0.14517876716085668,0.17297402270698722,0.19865010050275533,-0.0665205569473877,0.17992807898265345,0.3243583095078913,0.2753410081340905,-0.010171535950929822,-0.23581836283018864,-0.08767680956824628,0.6008163068815597,0.19014601071503928,0.15803879165554902,0.19038325383181215,-0.09495081763931604,-0.02692631279397662,0.628822561162914,0.33778915546773397,0.2087933634856163,0.1387677205698805,0.7901015269642108,-0.07808613986100205,0.2103246149092566,-0.007621983742774661,-0.18838620575584808,-0.016886685703394234,0.19138928949758047,-0.2896681844050947,-0.1263061578849138,0.30596815536361,-0.3625403434381661,-0.2579116364136806,-0.031627388517546914,-0.48967577161571996,0.002097442275985347,0.0895708698563894,-0.2718922235468312,0.19993885662851624,-0.07231236683454532,-0.01541665568372988,0.09233874109425248,-0.1573071833029642,-0.1849470247264726,0.30562877474343225,0.680548560517243,-0.072367603261682,0.2309368663650993,-0.039442787310801725,0.2002086355506546,0.0065007250419008055,-0.12150632477056574,0.2808148533872344,0.15027048244259636,0.14256076954593044,0.055511262235493665,0.2079448654959827
Insula_R,0.6224144297331818,0.19111396586308207,0.2423928223568309,0.7343909128919602,0.4544096008425664,0.17491004947386787,0.43703477447153305,0.06749832042229159,1.0,0.10938064704456164,0.5792714772693891,0.4115983731204234,0.26172813571339615,0.6633709876004072,0.7474096457210875,0.6359823715927332,-0.028650633962196758,0.7380388281321177,0.4410636942051621,0.11778866644122644,0.6136122825980351,0.45713848323285705,0.6524388243479211,0.09115012407363786,0.7250438977088063,0.2591310199566433,0.7135584567014731,0.6331963113362431,0.3736307302156843,0.14392547215940954,0.7049785978028992,0.7248204612666127,0.4004824893221325,0.3440646179641134,0.34100268651553806,0.2866967065308452,0.6095002328101407,0.4728394691698955,0.05166570705732864,0.3455377352776037,0.35620307999782125,0.35209118294520564,0.4472061548734042,0.14495520382835622,-0.09241741605026291,0.15503526395929623,0.3774354001111898,0.7415164252128752,0.5535017967776136,0.38794626817026046,0.8135378653023656,0.49484596346670784,0.5185977821512228,0.6590328782477082,0.09737541664187846,0.25403082039957825,0.13623574335601304,0.5386830262152076,0.41060963207237267,0.6403243878250925,-0.0008991724056638635,0.6589880135087998,0.2793714292646353,0.3697665191660313,0.20190264919715947,0.704321312950396,0.11838937443001381,0.5747613161732058,0.034225228302275805,0.4932273865846024,0.11011253189320326,0.3345875762223101,0.5299666060392709,0.5118283870781807,0.21005280209209176,0.7028097340290029,0.5336428537870874,0.16662968706678272,0.31632186815361596,0.7205706898582644,0.44508917434354034,0.17717836446181226,0.4531304383299678,0.4012354712445609,0.32655336918685934,0.5612269063553409,0.48449480251818156,0.5204316623142907,0.08179817072416119,0.4665489135105003,0.20101907030602517,0.3200333394378316,0.4731492831760905,0.7031967082755792,0.5726075997881362,0.5053575509965317,0.8543991588384815,0.7094153378786948,0.35883303553125767,-0.003828583654384299
Occipital_Sup_R,0.14938542995071968,0.8662546053859177,0.8041222516488868,0.1338337427706098,-0.03368071441942814,0.1505141902245788,-0.3050094691342268,0.19432901535046126,0.10938064704456164,1.0,0.14392733285822992,0.1985872983303981,-0.5135307376506344,0.152323950153863,0.22092716607081184,0.5166709478309662,0.18143493393536594,0.05295314849697297,-0.27717108536568125,-0.190989271187093,0.3052689074784852,0.28842216540812354,0.16322732257916575,-0.12038864670078339,0.19834734815660993,0.35318928158547824,0.2066582060665245,-0.08616883819276915,0.28798775652221104,-0.32495770579231004,0.22874059777830266,0.19003316694845734,0.39558636754837356,0.14001801945136458,-0.237372433865811,0.1562210245195665,0.17554661556467174,0.7230624485978416,0.6580273501753955,-0.17932407910934384,0.1325929082552989,0.6701337747568756,0.1020125167624129,-0.07599582237222523,0.37410478876303205,0.9182828671681013,0.5071347507614594,0.17651204064323334,0.273416896332932,0.07273459605692625,0.07513848613248054,-0.008231154393160977,0.028650221959366933,-0.0004344211795557677,-0.10508774454459362,0.8864583721525537,0.0194116612279866,0.3444644707263558,0.044273935913583855,0.37345240223077364,-0.06074446939784765,0.11375872222015196,0.023444777053377545,-0.40730998485929915,0.016008986649209887,0.24748430955340364,0.33618697620440824,0.3278001387024297,-0.3266158070334891,0.24326838416117563,0.12551436116784037,0.17371817043369334,0.01018148972132574,0.15932776653616149,0.4336888357333352,-0.007599331054826973,0.09430289943287097,0.2213489977391681,0.11357510141357172,0.14794047443252067,-0.0012100510493105374,-0.583486154979367,0.18698627054123018,0.5812935460659705,-0.45487761569926133,0.158298975358691,0.1311230947009626,-0.10139551729559175,-0.2447432047783481,-0.03397147642560146,-0.4723388937120328,0.1438907186271012,0.2707856642895951,0.14191385890750058,0.15757143771678206,0.39641821261086196,0.18013964005750221,0.20393086454869352,0.6602660812249781,-0.0682495489176505
