,OFCmed_L,Paracentral_Lobule_L,Vermis_10,Cerebellum_9_L,Cuneus_R,Red_N_R,Hippocampus_R,Cingulate_Post_R,Cingulate_Post_L,Thal_MDl_L,OFCant_L,Putamen_L,Thal_IL_R,Precuneus_R,Occipital_Inf_R,Supp_Motor_Area_L,Thal_LGN_L,Calcarine_L,Frontal_Sup_Medial_R,Paracentral_Lobule_R,ACC_sup_R,VTA_R,Postcentral_L,Cerebellum_Crus1_L,OFCmed_R,Thal_VA_L,Thal_AV_L,Thal_PuL_L,Caudate_R,Lingual_L,Occipital_Mid_R,Cuneus_L,Thal_VL_L,Pallidum_R,Thal_MGN_L,Rectus_L,SN_pc_R,Thal_PuI_L,Occipital_Sup_R,Raphe_D,Thal_LP_L,Insula_L,SN_pr_R,Thal_MDm_R,Cerebellum_10_R,Thal_PuM_R,N_Acc_R,Occipital_Sup_L,Cerebellum_3_R,Temporal_Sup_R,ParaHippocampal_L,SupraMarginal_R,Temporal_Pole_Sup_L,Temporal_Inf_R,Frontal_Med_Orb_L,Frontal_Mid_2_L,Frontal_Inf_Tri_L,Frontal_Mid_2_R,Temporal_Inf_L,Vermis_1_2,OFCpost_L,Vermis_7,Heschl_L,Thal_VL_R,Caudate_L
OFCmed_L,1.0,0.02326977869678036,0.3493629207246658,0.19993977498254875,0.1413232370729523,0.24945214343350822,0.34307068288393183,0.2716003010140566,0.2285153534267982,0.20368091640491434,0.5327715415074774,0.3510547379503623,0.1943823701671442,0.18692085248885768,-0.1592846960697658,0.08749752904301049,0.22793425712128065,0.0903954212374573,0.1670846426644139,0.12475007804318461,0.2025405937772664,-0.28977916102253487,0.29630578511796885,-0.11942114708120469,0.3157954246228847,0.3023167378406277,0.22375983576238728,0.22089725907059515,0.30372294322173216,0.17428429538339474,-0.11961439569102456,0.052438581024224024,0.29864099673467165,0.283962286569903,0.30067510084465493,0.06255239198703223,0.19140078637003025,0.2755682569702265,-0.0012100510493105374,0.054389410810798115,0.16893691568122163,0.39955258161118584,0.34552987592497686,0.17698304715247662,0.2681082835510459,0.148867036655071,0.3453362210428798,-0.0912484901402304,0.2971139494418661,0.35282447686394625,0.43347021369201943,0.27355315162559246,0.2838108312865281,0.23701550724934742,0.20952900554758583,0.22924853878086857,0.3904871438322666,0.290847830675217,0.31905519127120774,0.41173912908416427,0.38525507322714575,-0.2840181057977418,0.22711199445350194,0.2926655112339549,0.3226028774612474
Paracentral_Lobule_L,0.02326977869678036,1.0,-0.014395886870998858,-0.05726972538873646,0.5385453151550245,0.0868586409085753,0.08026526030013546,0.15920866446877224,0.15930399246351418,0.2609325980089794,-0.09793416542880909,0.19358799149427708,-0.061419020983624784,0.38890406707763087,-0.2391584786060129,-0.023267992627616245,0.04629342589562674,0.28718544873017215,-0.44743897867265103,0.6763119292674938,0.3250055718111679,-0.18496582912285112,0.2817668883628247,-0.18878862511624603,0.16704066458909803,0.01527515314454064,-0.03461083759165925,0.023818194439712656,0.0973517631564926,0.018884547978228222,0.5239799323713544,0.4365555568019029,0.11372533468827721,0.08627868141241306,-0.15487772034710756,0.1388151384458859,-0.036908030397088204,0.0675540553137333,0.6580273501753955,-0.0873302712093594,-0.17946912883502725,0.02968329896625865,0.24482854864339473,0.2946664559368327,0.11500207921857576,0.34561539202406166,0.027514488395487372,0.5525320930283258,-0.013857549457589153,0.12089404518969382,0.0810521613923384,0.5556359628246942,0.16017060086088666,-0.026301957513623044,0.09640122501774125,-0.3641993134088988,-0.25028889321841863,-0.31700898869057564,-0.07512533154968506,0.35570314359298577,-0.0534979737355889,-0.04110996101391002,-0.25791293541769966,0.08006825647218511,0.15822590975263373
Vermis_10,0.3493629207246658,-0.014395886870998858,1.0,0.7757351243727446,0.2781495432815606,0.4210999719007431,0.49725778561646683,0.6674189232687865,0.6018740308988576,0.3783781999155608,0.1617902658316334,0.6142733436918504,0.42086433325760525,0.5179233543187557,0.2656461479442315,0.19773517585813705,0.16070327030300013,0.694206337942148,0.2855977177136094,-0.009159073659504175,0.5197254831476442,0.07850442690285184,0.3800372154987333,0.43907375794523973,0.12784077343156058,0.5867477362539989,0.46887897439764886,0.28721409882032384,0.5267888859508406,0.7486525746935291,-0.02689682369226593,0.4414018124292152,0.5533277684420403,0.44087595323043666,0.18479290359140813,-0.04923957765980739,0.47157669327651847,0.4624842360359742,0.03633107701036491,-0.04406928784523409,0.18479720674930492,0.6515850427697787,0.4858572957362351,0.37500247100623507,0.7327707839482791,0.2791268083476806,0.49010212353177385,0.1278688384752603,0.7775380702028547,0.6757177824993273,0.5856137801585101,0.4888899715598165,0.5974205319178293,0.7321196837976964,-0.010853219832062248,0.3468011040403349,0.5137568325995804,0.4334574492568337,0.6170639281317338,0.3031067084322016,0.5098107677588336,0.3886308515336956,0.4538687248521092,0.5192215659610121,0.5926268651985718
Cerebellum_9_L,0.19993977498254875,-0.05726972538873646,0.7757351243727446,1.0,0.2048264552105339,0.43539078860365915,0.5153817105207643,0.5887325570700371,0.5020511753617556,0.3580514318649414,0.22783385272451379,0.5293467404869848,0.4796781384517,0.4583570405577662,0.4060904103268578,0.4801708574841949,0.4114712142813075,0.6883130314820923,0.4334955556283312,-0.15781348891713848,0.3893988315348132,0.08046497122654546,0.43530788483142774,0.5548687631736492,0.1446983447871244,0.47948710338596234,0.5702312539951319,0.18502245321514646,0.5293149407403671,0.798688309450665,0.004655368758312694,0.35238735584163194,0.47060649251866726,0.4385648685940028,0.2462070060719285,-0.03273601416076034,0.377158911712109,0.3945573683015399,-0.03368071441942814,0.03236842064658821,0.128605589563207,0.6459666379218874,0.3737117271821516,0.3463074997091698,0.8395419142524165,0.24795758947710103,0.4309178966619401,0.09141911967900754,0.7848841819225617,0.5985909583519425,0.5338003849660959,0.39790936756014034,0.4287973164122438,0.7395422152140185,-0.01878819877589929,0.5074653639174513,0.5749671877540937,0.5834272908951218,0.6820906923401032,0.2616020821979785,0.41250107180207035,0.4577349521342355,0.5387917140949792,0.49025421794747104,0.4905127716969751
Cuneus_R,0.1413232370729523,0.5385453151550245,0.2781495432815606,0.2048264552105339,1.0,0.2341550108664638,0.4340443939625814,0.5543658171675012,0.46661037981598574,0.5533619483388339,-0.1831109851402632,0.4429024078462711,0.27064001568025176,0.7860072292523371,-0.09442295085139864,0.1934645145075802,0.3014105817512171,0.7051348160367571,-0.3388263248842224,0.6834902168966929,0.4154556711871113,-0.08547555411284814,0.41198410645523914,-0.04532994233695603,0.21459886654107896,0.1626240094351447,0.16874157679929216,0.20578012375575683,0.3611545869223155,0.41668702601022795,0.7889473939374063,0.7832210513267005,0.41554813968926124,0.25967716351297565,-0.05936574614125406,-0.030468795476818,0.321394221843417,0.33023042002676944,0.8864583721525537,-0.04224056091883259,0.12611040103737525,0.3152705741914958,0.4675581334955539,0.6291360903824212,0.4797035161695887,0.7288284897751311,0.08108784207215686,0.8236381995735987,0.28426190451707983,0.39839793325350664,0.3631058997545176,0.7790326362154871,0.2450456516976464,0.2043977453120403,0.1550200608036918,-0.34128043131081975,-0.16044886838317776,-0.1387505983598035,0.1726734452836887,0.4713596334172153,0.14500518456784053,0.02196908770382278,-0.09970455930426163,0.30204371420762033,0.36913016133717763
Red_N_R,0.24945214343350822,0.0868586409085753,0.4210999719007431,0.43539078860365915,0.2341550108664638,1.0,0.8324975711787068,0.3786986834172462,0.31760930395241604,0.5434995966837894,0.28987891263160315,0.7145549478648763,0.8146263099074238,0.3406361685284252,-0.10155556977396846,0.2876597007713018,0.5622263496630298,0.34052108911587503,0.14306054728571632,0.183807281851668,0.4962725575983044,0.19302623362490814,0.2657911799041264,0.053530660877139015,0.5064109584224492,0.7627739175868904,0.7039636311522792,0.36328852451034394,0.7819484776001029,0.4564070587102823,0.10000708393328028,0.32478866683952773,0.8090546917934375,0.7211469156847125,0.6202060481862192,0.10133245687490954,0.584591813535876,0.576450387338029,0.1311230947009626,0.12891982460654555,0.12533551293070896,0.4897528055002341,0.7115414174864085,0.5929190198823759,0.49386273673789244,0.38436936385691683,0.654184098216268,0.16335912853974985,0.4358929171373142,0.6277277310485863,0.8150069403862784,0.47278568940453736,0.571865373199884,0.4964407244506245,0.34132582300718173,0.15372493514529104,0.3168209279899014,0.39865830087608195,0.5573457625652048,0.5101157434838175,0.39213617763042596,-0.14018951672649627,0.4537575545174943,0.8158898929598386,0.7303892480246764
Hippocampus_R,0.34307068288393183,0.08026526030013546,0.49725778561646683,0.5153817105207643,0.4340443939625814,0.8324975711787068,1.0,0.5684441890160539,0.48330649162693046,0.7164187305181798,0.26727440773594363,0.7933201557153674,0.8360761161487837,0.5394478931119188,0.02171400815666912,0.39492006729812174,0.6641015570772368,0.4767338948537327,0.24590642325366108,0.25518132453250186,0.5495876008875988,0.10108135815448807,0.49375473837144973,0.1494425781177048,0.33517338407425923,0.7587195753592828,0.6826213143349783,0.44334894936268743,0.8669459712377721,0.6063709764093793,0.18899053655891648,0.4569963420164604,0.9244332046844885,0.6557036604850822,0.6437993231481585,0.061469503161496915,0.5601069770490392,0.7599624012559762,0.23824563034268811,0.12938318115668507,0.22140329356762578,0.7370569364971207,0.8263844085364589,0.7996487803816009,0.5826642777270343,0.6664402817665575,0.5827416154765755,0.2969177819240181,0.47197821190633726,0.8157169321915833,0.9139831554448655,0.572062208309719,0.5724238243248458,0.594415541398343,0.15362573021246373,0.2493581128343119,0.4491509795655544,0.49272749335283655,0.6986065014064304,0.5921317336450828,0.5487276363600754,-0.09882172529651599,0.4648185167935104,0.8629625358554587,0.8097803418307062
Cingulate_Post_R,0.2716003010140566,0.15920866446877224,0.6674189232687865,0.5887325570700371,0.5543658171675012,0.3786986834172462,0.5684441890160539,1.0,0.9028694636689223,0.4047933163897109,0.14504776449752982,0.6830709369716862,0.4039489834324399,0.8846150399933159,0.05096259605829124,0.39705450411628707,0.4425725499625505,0.7774961339558413,0.12772031494686922,0.17593405520434094,0.5155377994632963,0.008288212317223284,0.5209632834105266,0.18682820212125095,0.16147703834594607,0.44529169672811164,0.32994448505260665,0.31200647807316634,0.48839999499834275,0.6729749561957338,0.1787904244916748,0.767708799234426,0.5647168026901176,0.5522458921625626,0.3542095308334136,-0.020248874209065137,0.37724048244670283,0.46672732007950374,0.2558034172916957,-0.10436202317222863,0.1189705532266668,0.639280515619767,0.47055211465026464,0.42923361043722685,0.6566645962016664,0.4665112714840626,0.45126561696342643,0.3336588636596713,0.7271177714196111,0.6893247114156368,0.6004396333765979,0.5934152635453773,0.4678092421474866,0.6227670140180007,0.14519377963228233,0.1861115137878592,0.4094599334809634,0.3271490208707824,0.6008992492259058,0.4606751325549513,0.4260241620161347,0.0976444895629008,0.4434642831179098,0.43055002341481474,0.4925126686644345
Cingulate_Post_L,0.2285153534267982,0.15930399246351418,0.6018740308988576,0.5020511753617556,0.46661037981598574,0.31760930395241604,0.48330649162693046,0.9028694636689223,1.0,0.4270430381968108,0.1573460630012879,0.5993524013991628,0.3658373338365514,0.7796796541633159,0.03490373018610184,0.3143064722106417,0.30206864726042953,0.6976157226731287,0.1298471731844188,0.168528877671297,0.5079341033565239,0.021885488077166983,0.4172382063659392,0.1619867225801535,0.10484587930187539,0.365735246715968,0.30135091731632146,0.22671193430939113,0.4534233924840815,0.5453049694819472,0.09851706696294835,0.7658153278623083,0.4796617450422741,0.48357311643123685,0.2360184041796714,-0.011689565669837365,0.2799473151398027,0.42604128311515405,0.18698627054123018,-0.05236442843415156,0.09127972948716524,0.5840481628268053,0.38829311041609094,0.3624670049353516,0.4812214553834992,0.39487189227080755,0.42592884258541397,0.23240469929160534,0.5913306716644724,0.6092108183525778,0.4814080733453036,0.4999811887766783,0.39051552454545774,0.5455820638528457,0.15369058346095624,0.13283644204255562,0.3621194555736837,0.28089308190909973,0.49269279358455376,0.42342197457953834,0.3680930176593054,0.112062919255764,0.3965956496486956,0.4097871665327428,0.4588970434328064
Thal_MDl_L,0.20368091640491434,0.2609325980089794,0.3783781999155608,0.3580514318649414,0.5533619483388339,0.5434995966837894,0.7164187305181798,0.4047933163897109,0.4270430381968108,1.0,0.05119199575518283,0.5032910444331171,0.6286973820419878,0.4658334850428673,0.09899819980190562,0.27267333466534294,0.37376880342244556,0.5074080274110241,0.16263428524927953,0.38865076617826716,0.4850105168305367,0.01855720505366868,0.4714240372873809,0.20075449286028194,0.032349097334334116,0.46659424567438396,0.5796494852195822,0.3797042290747425,0.7461663870428094,0.5300804530530154,0.37435423561535447,0.48147852699035304,0.7030990842387709,0.2613155500082379,0.09870670642671393,-0.10877022171386672,0.4650872922911749,0.7203659776658009,0.39641821261086196,0.09289630334094894,0.2344296714042563,0.627564505570427,0.6224199068819524,0.8624531365382535,0.3815205411763732,0.7456670715820202,0.28558067474146454,0.44474547840812667,0.2696420707294936,0.638681208617695,0.6340143440525638,0.5957586157032194,0.35403547980580125,0.45349134987301737,-0.01535105489526595,0.08917388131050638,0.294584807778275,0.3179554301203561,0.43714669410549845,0.5397720044395635,0.3386500354095645,0.033281403026595296,0.07584543338653103,0.7170867323039862,0.7137239588768357
