,ACC_sub_L,Frontal_Med_Orb_R,Fusiform_R,Pallidum_L,N_Acc_L,Olfactory_R,Frontal_Sup_2_R,Thal_IL_R,Pallidum_R,ACC_pre_R,Cerebellum_9_L,Cuneus_R,Temporal_Pole_Mid_L,Precuneus_R,Insula_R,Thal_VA_R,Vermis_6,ParaHippocampal_L,Lingual_R,Thal_VL_L,ACC_pre_L,Thal_PuA_L,SN_pc_R,Thal_PuA_R,Cerebellum_Crus2_R,Postcentral_L,Amygdala_R,SupraMarginal_L,Occipital_Inf_R,OFCant_R,ACC_sup_R,Fusiform_L,Temporal_Mid_L,Paracentral_Lobule_R,Cingulate_Post_R,Insula_L,Thal_AV_R,Parietal_Inf_L,Frontal_Inf_Orb_2_R,Temporal_Pole_Mid_R,Temporal_Sup_R,Thal_PuL_L,Cuneus_L,OFCant_L,Cerebellum_3_R,Cerebellum_10_R,Parietal_Inf_R,Thal_PuI_L,Temporal_Sup_L,SN_pr_R,Thal_LGN_R,Occipital_Inf_L,Frontal_Inf_Orb_2_L,Red_N_L,SN_pc_L,LC_L,Vermis_3,Angular_L,Cerebellum_8_R,Paracentral_Lobule_L,Precuneus_L,Frontal_Sup_2_L,Vermis_9,Rectus_R,Cerebellum_Crus1_R,Frontal_Sup_Medial_R,Vermis_10,Temporal_Pole_Sup_R,Angular_R,Thal_VPL_L
ACC_sub_L,1.0,0.6985570553812955,0.0935778740169748,0.4137660105130973,0.17740274422370447,0.42227577317316906,-0.3783753067215125,0.20542606213585385,0.49389274401629646,-0.21459686666961092,0.07697209335355089,0.0668194911908508,0.809630307118026,0.22153535640913752,0.17491004947386787,0.32180651676870414,-0.36630089935979043,0.2250388342651182,-0.15395003683556985,0.08753781345800778,-0.3124033020076127,0.12751614333757658,-0.16290885759485363,-0.3570338574254325,-0.3994852805147657,0.06286448287563218,0.03927936280199357,0.16841104670484167,-0.6468085303939575,0.036170539714755735,0.510269941034088,-0.06701679303162464,0.013796872970152052,0.21769560941669455,0.1368633887185588,-0.10358792824684943,-0.10609712496147718,0.22402469201550432,0.46979432187474834,0.6293801252165023,0.09074975199974458,-0.14478129558377872,0.19295174134800183,0.4239344200919587,0.23936461794745223,0.1120526311055122,0.4343644422008283,-0.02121878264569038,0.13064008353583667,0.041179962602330575,0.33471503512624773,-0.5308219341052347,0.5459651884957231,0.43449844125004977,0.4437480762555385,0.15213268016792478,0.3339488782371357,0.08018632002000357,-0.28775917788239525,0.16363184435673836,0.2133266038486055,-0.365131870774127,0.10785258678933314,0.6473223551577452,-0.3762330009088222,-0.3967859875680414,0.0808470210069836,0.45142374316201533,0.22807604946274646,0.022336461698730076
Frontal_Med_Orb_R,0.6985570553812955,1.0,-0.1667349454349157,0.1776591967477925,0.22299122557808604,0.272738670689958,-0.6137025696222588,0.02069607251961466,0.3528100558351934,-0.44741399265472587,-0.08547558351563188,0.07289337308732392,0.5085362531997415,0.12833892560347782,-0.006551337841227281,0.19368064727888062,-0.2247597059821583,-0.04478449883341144,-0.25940962744170354,-0.10874446984622715,-0.5747670225313105,-0.09759746097491492,-0.21168217295661104,-0.3966617962096046,-0.23149286360156449,-0.10240873812713394,-0.04810486250075724,0.2219249935368676,-0.4628345564572928,-0.2530777038346869,0.4197035891889207,-0.19304740986360408,-0.11059611428713803,0.15422213475702834,-0.02144521720504249,-0.2840763137348487,-0.10681851344183399,0.2832095177793814,0.28751721653351126,0.6573620565737647,-0.08285791414889503,-0.2566239474871216,0.2134374178537899,-0.1055827339664543,0.05263649511687746,-0.01697839428186707,0.46827294349342047,-0.25897564828339514,-0.09201362212056047,-0.0819969227709121,0.18189364066079045,-0.27001348895310695,0.32168759879058545,0.0848799128792153,0.01877083914172437,0.09724249953542582,0.058641657456317796,0.1710679196795026,-0.31417986936952114,0.26846019206135224,0.15947442211449134,-0.5881719933951478,0.04948335242098033,0.5851239926710258,-0.10854740894118015,-0.6494959443129403,-0.0693252290056231,0.35741322733488795,0.2192898240483931,-0.24710620326472832
Fusiform_R,0.0935778740169748,-0.1667349454349157,1.0,0.6836481639343878,0.41543513728917286,0.28511206492419405,0.45119101101284503,0.5987773209535561,0.5962589079985877,0.3401559961901581,0.7898230564883217,0.14620168914889078,0.24858146157643887,0.444312849807253,0.6191073282978815,0.6557533471942212,0.5870755584481286,0.7073529716607577,0.7818641551005338,0.6743947294975723,0.374908519264445,0.43385694177244044,0.4549057024194516,0.4253113690376123,0.46565390061340434,0.34064263800910644,0.3744226093495416,-0.07370457067779797,0.3444467787507496,0.31426053137829885,0.46102795853718054,0.7097221043484576,0.7401714475789405,-0.13926516586832569,0.6869693138595343,0.7103024788103236,0.015138721030593844,-0.014257357760710408,0.491208990494422,0.24675313044248592,0.7850718250453994,0.3573516296324299,0.3303034515160685,0.34866384411147083,0.7777364494923515,0.7095749492032329,-0.1051539701414456,0.5665385694012914,0.7731548337830167,0.5253350761077291,0.600023839751009,0.22172984461927708,0.5034322532225283,0.5815810097072626,0.49189136425733476,0.33735184147056624,0.6039102431032535,-0.02012206362037846,0.6990250939166052,-0.14476316975488843,0.42435317381631915,0.408734855003032,0.5833380937556594,0.12951065153428304,0.3358935463279942,0.43448937257865516,0.8227920939809503,0.6537418746795192,0.10933058181474274,0.5649324250221257
Pallidum_L,0.4137660105130973,0.1776591967477925,0.6836481639343878,1.0,0.5102578621516676,0.40593816164117347,0.2184936554074998,0.5803703963553268,0.8442065202427561,0.2406453312813602,0.48997850121529407,0.178142658434993,0.5616499815060074,0.4468286268314469,0.5185977821512228,0.7230412490976523,0.2648954982167984,0.6815732100001579,0.5232751539947786,0.6375523681946167,0.23947541137169973,0.37709305616209865,0.2876006090425757,0.11850290259592113,0.07624648136055674,0.307937829057819,0.4391464967075895,0.03543168068615932,-0.01667616013378214,0.3167984571214317,0.49566059872370827,0.5887074915665182,0.6265379888472881,0.03426232596204472,0.5619869600212707,0.5194099297608289,0.08548309668920508,0.08657550576402938,0.634114965824327,0.40148546972484006,0.6725733473280416,0.2565928975583092,0.30253175443227587,0.37818455299844983,0.5944840602502318,0.5732021515381257,0.14024095371720163,0.42422988196050837,0.6541758289914221,0.5654635716202534,0.7004553503226475,-0.059589386660462484,0.687938070076544,0.766227456724598,0.7015011949955967,0.39060491832170935,0.6725622173831457,0.09697977209353867,0.29809706102788236,0.04975409835552686,0.4149483495985978,0.2019787922561395,0.33952023053212205,0.3202079926642927,-0.006241869664866842,0.2015151419381713,0.5046688783541664,0.680597153800095,0.2204588951682228,0.5493200043342752
N_Acc_L,0.17740274422370447,0.22299122557808604,0.41543513728917286,0.5102578621516676,1.0,0.4385546088278738,0.1397625795287883,0.5970451387626751,0.6094205193502484,0.1895214563927412,0.3822865166968741,0.3157345221575736,0.23272746558920743,0.3791877677538868,0.5354211509535041,0.5511447281851487,0.3781528654083993,0.5545708097299773,0.4467862301181758,0.5665499376347651,0.1439636140703111,0.34071646730839183,0.3920450838610275,0.3073963118783288,0.16089483827470363,0.30080045706989994,0.5550069411893163,0.28387759698649684,0.1281589556862455,0.34943792396852663,0.4043301302607958,0.5960904295025952,0.5933591117612617,0.1002418825018936,0.37479554217387745,0.4752963361109677,0.5308521167717604,0.1670617248118848,0.5018895982278768,0.18018227064836465,0.5463564649759003,0.3026856749933574,0.3182158057449404,-0.0003563463537458218,0.31518821532811486,0.4699841361932047,0.2202334614434742,0.3298866133804618,0.512504046354421,0.5120121948667287,0.6603424982048522,0.08217152842087165,0.5645318389767504,0.5082977140261963,0.43841058533307853,0.3519353235628815,0.3255380965625294,0.3190791132518749,0.3246412709493059,0.048355854022955266,0.33346359008206955,0.1357204295840283,0.2621114107734905,0.13103752659363996,0.11213823219994747,0.07554004932764305,0.2626439693297581,0.4851496615465911,0.3210062278950544,0.451169464577204
Olfactory_R,0.42227577317316906,0.272738670689958,0.28511206492419405,0.40593816164117347,0.4385546088278738,1.0,-0.07703206293343794,0.3822336227063143,0.4490147945869609,0.07924391498021373,0.17378139531003076,0.03028043864735339,0.4335375061251843,0.1624616332770307,0.6050423965056295,0.3504998846804714,0.05799889208248467,0.39332000297492953,0.11084000808181958,0.3418733135156047,-0.044093177308924286,0.2683509358573339,-0.14772182916098672,0.0208429627323193,-0.0933495566525924,0.16791417263080669,0.44726864087046386,0.1726928338301777,-0.15490585607761215,0.324153538544435,0.47283090250538506,0.3133993079121044,0.33382063958217373,0.08079859865092429,0.21517719150388942,0.37824973418517754,0.12740073027081103,0.08646565746832442,0.5449248070340268,0.3886615417128167,0.4408783501327861,-0.06623540824073028,0.1875830789115281,0.25513648031085,0.14208086161034564,0.14307201920799598,0.2052990419109885,0.22827388847973418,0.2928472776859636,0.3728539826380584,0.4958648419506213,-0.06164804847848463,0.5700614959090358,0.43598975988914684,0.34958647777771146,0.21161320211694754,0.3651556725036404,0.10275716318275263,0.032451626588260354,0.003926247733077335,0.16456680009533328,-0.06318509490801567,0.07110267893913513,0.46231409074611646,-0.1482410652960195,-0.10263704710106968,0.15823538135599302,0.5729704801645756,0.11609554273583747,0.2521230605887459
Frontal_Sup_2_R,-0.3783753067215125,-0.6137025696222588,0.45119101101284503,0.2184936554074998,0.1397625795287883,-0.07703206293343794,1.0,0.2642558967021863,0.0736531837282592,0.5694675992133442,0.4840910738080197,-0.21545816421678832,-0.41691831065628154,0.013557301400854723,0.20101907030602517,0.03550371771905644,0.4953623788912352,0.25342508839215816,0.5458920269320073,0.2364188321951308,0.686939303569652,0.14231823600740215,0.23807737240131982,0.19592755600195702,0.48518447055389446,0.40693786216771327,0.3835206593964662,-0.18294413611617694,0.5840633170501502,0.5615894591869509,-0.18684728935988296,0.5182783173692226,0.4359998210474942,-0.4925728614069921,0.2210545372855598,0.5543014765319707,0.2830599828934183,-0.2651579264522385,0.1726250869149679,-0.45269021473319354,0.2963136114168542,0.18512930843912523,-0.1782885226120158,0.3256360058399012,0.36126329649035016,0.2640974507832058,-0.329935442222824,0.2842014600781317,0.4235561938695899,0.14121506263246444,0.27238840823320737,0.3361400855110351,0.18432625175981335,0.2229031208775339,0.2333749161239289,0.07752174369135896,0.28491325847201865,-0.353865177004775,0.6365750086739345,-0.3619295579926349,-0.06430554480024862,0.973509260239488,0.3161939691306285,-0.42193253899654193,0.3501048862455931,0.9496702822991596,0.29866894272750216,0.031027911057230156,-0.2746133124886778,0.28510748853607165
Thal_IL_R,0.20542606213585385,0.02069607251961466,0.5987773209535561,0.5803703963553268,0.5970451387626751,0.3822336227063143,0.2642558967021863,1.0,0.647285785031292,0.3561145901028267,0.4796781384517,0.27064001568025176,0.354756380475429,0.3418243062861912,0.5336428537870874,0.7126665661301896,0.3527901244384902,0.7839795003182032,0.5453690663901768,0.8063795087428071,0.33437995526802144,0.7244536007888267,0.5397610713793252,0.5134884440864697,0.19289104062206774,0.29937653445303875,0.5863532075574254,0.20638027683688653,0.07510506949102891,0.43220435067966423,0.5427588385031386,0.7496753248102771,0.6638183894269084,0.07098100790626384,0.4039489834324399,0.5787496323268433,0.4757604407099339,0.06748857997778597,0.5579412939594269,0.2511084969538277,0.6745788490641715,0.25542976925854405,0.3136589475590479,0.20926512882308665,0.4280661393279085,0.44489486141414875,0.0182651191894721,0.6687405819111808,0.6499709543746635,0.6238874436075162,0.9080677038229725,0.03448865631241449,0.6181867452049886,0.6728339458579572,0.563950391474209,0.3206660534887752,0.5128107102148506,0.19788777724242118,0.3924783154921659,-0.061419020983624784,0.3097201479896203,0.25288834797601084,0.3230057011992205,0.016979944749580363,0.01392633655765282,0.2372469485500286,0.42086433325760525,0.5599509283531827,0.25672605741957455,0.6264830776046937
Pallidum_R,0.49389274401629646,0.3528100558351934,0.5962589079985877,0.8442065202427561,0.6094205193502484,0.4490147945869609,0.0736531837282592,0.647285785031292,1.0,0.1179241263114531,0.4385648685940028,0.25967716351297565,0.6014280322178627,0.46856126343084115,0.511451382430969,0.7731321580115958,0.2248738474564908,0.6711488385073894,0.48805333191235767,0.6250046497027856,0.08355009151401818,0.3940798398934105,0.3764517229710946,0.11836404134666632,0.05095247731190695,0.23103587582401136,0.4834118043948505,0.16121777474943547,-0.10590255128554696,0.2534644635077402,0.5937997946998272,0.5543731947980816,0.5595428476814013,0.09802912932878681,0.5522458921625626,0.4650878785222326,0.20911232724068693,0.12300268639168012,0.6968753278004202,0.5086192765986967,0.6300755194781896,0.24651958132606708,0.4226464707241082,0.29715771883306574,0.5679891857123653,0.5214772802326001,0.26094729024852154,0.3526462347290405,0.564859272096693,0.5568680950513675,0.749736281109598,-0.09745484792531899,0.6951754459480991,0.743345225079788,0.6634779531680616,0.48435803235487834,0.6403401813131168,0.21699280553656447,0.22843798292512787,0.08627868141241306,0.4410823954118373,0.04337786601355554,0.29429786798629765,0.33593522813772786,-0.03713183602349968,0.018966537113344756,0.44087595323043666,0.6702495549341277,0.27263049678999723,0.4840623398607709
ACC_pre_R,-0.21459686666961092,-0.44741399265472587,0.3401559961901581,0.2406453312813602,0.1895214563927412,0.07924391498021373,0.5694675992133442,0.3561145901028267,0.1179241263114531,1.0,0.2500297435452466,-0.319071184603784,-0.18240423501441044,-0.2337927854673015,0.32655336918685934,0.16197518101059746,0.2575791236895925,0.27571482406870956,0.3104290167321191,0.2815555654771864,0.9491281194290065,0.18998491724348765,0.20111127318382352,0.22529504378405943,0.3176490336133707,-0.0678292046149982,0.0635495515565721,-0.4090575795627888,0.36819752028028596,0.46302606178902,-0.07825180157739091,0.40256847363881937,0.16260565031981722,-0.26624217729908295,-0.026433816892269195,0.332527237282641,-0.004473229017438102,-0.40646888532444403,0.2939526338833375,-0.19974307827094023,0.28246248499450854,0.18274099051579434,-0.3194846141997261,0.15241281060295842,0.10985685936366485,0.09527320300265306,-0.5474111837934291,0.394958421521414,0.15564842632284115,0.23466003163077354,0.3267143711792361,0.12127581003572427,0.30229323490965065,0.20154030556033234,0.2665233894961234,-0.010253640878522163,0.18693629951055288,-0.45366947137506025,0.40833223902597776,-0.4006584106577482,-0.2685509979908934,0.583415517314892,0.09274086052551755,-0.182816926364526,0.14371646677104336,0.7334538238797528,0.18402300994091766,-0.009561216598171019,-0.3273464238319499,0.22300703750398504
