,Cerebellum_Crus1_R,Raphe_D,Red_N_R,ACC_sup_L,Postcentral_R,ACC_pre_R,Thal_VL_L,Heschl_L,Cingulate_Mid_R,Temporal_Pole_Sup_L,Cerebellum_7b_R,Angular_L,Thal_MGN_R,Cerebellum_Crus2_R,Occipital_Inf_R,Supp_Motor_Area_L,ACC_sub_L,Temporal_Pole_Mid_L,Frontal_Inf_Oper_R,Thal_MDm_L,Thal_MDl_L,Vermis_6,ACC_sub_R,Temporal_Pole_Mid_R,Calcarine_L
Cerebellum_Crus1_R,1.0,0.15572735079688485,-0.0772637643696912,-0.19910139786969971,0.3146116590244585,-0.1502065706432237,0.0773721309241196,0.10020230950429594,0.13349337286337337,-0.4737905379553721,0.48102800244313876,0.20536071759310628,0.21384437081762658,0.29329136236292386,0.3548080882018075,0.05259535780347758,-0.17076555171630192,0.12316105967549498,0.33587676597548777,-0.0993725512347526,0.437711919719195,0.15082815218954063,-0.23558278861351692,0.39901799727143794,0.34551005463627216
Raphe_D,0.15572735079688485,1.0,0.34241529750313354,-0.05118378582325176,0.24200140148032664,-0.22361641046822117,0.1722026586645179,0.16420866627344996,0.17097919006914883,-0.10957697341659338,0.2399157792275415,0.4296438995662037,0.2892701165615571,0.10727677410850005,0.3155550735703709,0.41546286639950986,-0.14859331528375572,0.06669822577095548,0.30685381576770066,0.09441696338879596,0.17143734988509968,0.564615434315076,-0.22523558520660947,0.21321665439933804,0.510829192746879
Red_N_R,-0.0772637643696912,0.34241529750313354,1.0,0.3053848273354487,0.1421151074366474,0.4158686034206692,0.3774439793702598,0.08544798106609057,0.14379564388422664,0.36214040416855325,-0.2108904476609189,-0.012836491702231428,-0.016393545629541057,0.26282480321049156,-0.2633982063844373,0.566873906666415,0.14572108376749474,0.09289665281494813,0.4582383314873126,0.41126308667124334,-0.0976437946527691,0.12153345463602833,0.29784388449535937,-0.08756448550594678,0.14541426324025825
ACC_sup_L,-0.19910139786969971,-0.05118378582325176,0.3053848273354487,1.0,-0.2512104066674279,0.484915183384316,0.4574913004401381,0.07720920254892939,0.16930012971503003,0.36997582264160234,-0.22485860546133643,-0.22425590168454884,-0.3063270703853638,0.07704330475127015,-0.22134550543380424,0.17569530090212693,0.22920916494464022,-0.13471618274188757,0.16755117512029397,0.24117117316865944,-0.01754660838942126,-0.05321426280743643,0.3473226371195666,-0.23683186589688116,-0.09625644594859491
Postcentral_R,0.3146116590244585,0.24200140148032664,0.1421151074366474,-0.2512104066674279,1.0,-0.27150825701248277,0.2785526490233292,0.37525956643447594,0.40149764313426944,-0.20017917303247873,0.14973300921521548,0.3832320546756763,0.7521132305154263,-0.06452647822825466,0.16069044802183463,0.4416116197534475,-0.24347879346143442,0.2237816906698435,0.45893719699783986,0.4009709952667523,0.3523870141610586,0.17980625522895097,-0.23577131527733672,0.32368391226988946,0.6291175702287889
ACC_pre_R,-0.1502065706432237,-0.22361641046822117,0.4158686034206692,0.484915183384316,-0.27150825701248277,1.0,0.22447320701333284,-0.001671575558187795,-0.14218285878197706,0.5107722192500326,-0.4417844484894293,-0.4891499593512072,-0.5055537922116659,0.2564727165204445,-0.3494132231505861,0.01764633711008644,0.39447547644888536,-0.025183540704367836,0.2636634878851538,0.20513049333578895,-0.25794322262347125,-0.3578820355561568,0.5433674249513377,-0.3637060921816559,-0.3739184385007761
Thal_VL_L,0.0773721309241196,0.1722026586645179,0.3774439793702598,0.4574913004401381,0.2785526490233292,0.22447320701333284,1.0,0.35466165864980037,0.357776371966994,0.163600660054545,-0.13542761029358324,0.12070788939952826,0.2550556293504385,0.15218491610918486,0.04752149204161674,0.40595714903218794,-0.19298350839992517,0.11047913358542548,0.5170408527502246,0.5490564155590466,0.3236969821489242,0.2073073166664935,0.10262787916334201,0.035841616673467636,0.4063442680518577
Heschl_L,0.10020230950429594,0.16420866627344996,0.08544798106609057,0.07720920254892939,0.37525956643447594,-0.001671575558187795,0.35466165864980037,1.0,0.5468552184267284,-0.0379053661633903,0.05105185109165768,0.23349488961247988,0.32923264409830855,-0.047877670251520114,0.07340890740487219,0.3220929754676269,-0.2391612380555409,0.23476951277184516,0.4720867741789959,0.37788202894568507,0.30472563532307045,0.11170924936555517,-0.14025539419660515,0.17298906752723667,0.41918692419997355
Cingulate_Mid_R,0.13349337286337337,0.17097919006914883,0.14379564388422664,0.16930012971503003,0.40149764313426944,-0.14218285878197706,0.357776371966994,0.5468552184267284,1.0,-0.25946515135299725,0.086783498494716,0.4108932111852265,0.3793035778583899,-0.07059829846167519,0.19993787225686036,0.3747155970412367,-0.17970758013014812,-0.03546263775445475,0.3041546573812989,0.21487188131255006,0.2345695593302544,0.061969297398393595,-0.20819114047477577,0.2207340987928876,0.43605930821058786
Temporal_Pole_Sup_L,-0.4737905379553721,-0.10957697341659338,0.36214040416855325,0.36997582264160234,-0.20017917303247873,0.5107722192500326,0.163600660054545,-0.0379053661633903,-0.25946515135299725,1.0,-0.3862432516200368,-0.4844783597393871,-0.2634705821015172,0.09217443803815342,-0.5081259226020366,0.08218465101804227,0.3043619885048912,-0.00944628117604517,-0.011457726386895862,0.3434829820775762,-0.4261991983442656,-0.15084779585196073,0.46309131147348787,-0.35600351411768205,-0.4136002774991286
