,Thal_IL_L,Thal_PuI_R,Cerebellum_10_R,LC_R,Frontal_Sup_2_R,Cerebellum_Crus2_R,OFCant_R,Raphe_M,Rolandic_Oper_L,Vermis_6,OFCant_L,SupraMarginal_R,Temporal_Pole_Mid_L,Temporal_Pole_Sup_L,Parietal_Inf_L,Frontal_Sup_2_L,SN_pr_L,Vermis_9,Thal_VL_L,Cerebellum_4_5_R,Precentral_L,Cingulate_Post_L,Thal_PuL_R,Cingulate_Mid_L,Thal_AV_L,SN_pc_L,Heschl_L,Frontal_Mid_2_R,Frontal_Inf_Oper_R,Caudate_R,N_Acc_L,Angular_L,Lingual_R,Cerebellum_8_L,ParaHippocampal_L,SupraMarginal_L,Cerebellum_7b_L,Occipital_Sup_L,Precuneus_L,OFCmed_R,Temporal_Pole_Sup_R,Cerebellum_9_R,Occipital_Inf_L,Rolandic_Oper_R,Cerebellum_10_L,Pallidum_R,ACC_sup_L,Hippocampus_L,OFCmed_L,Cingulate_Post_R,Vermis_7,Frontal_Sup_Medial_R,Frontal_Med_Orb_R,Parietal_Sup_R,Frontal_Inf_Orb_2_R,Frontal_Sup_Medial_L,Paracentral_Lobule_R,Temporal_Inf_R,ACC_sub_R,Cerebellum_7b_R,Thal_PuM_R,Angular_R,Thal_LGN_L,Paracentral_Lobule_L,Vermis_3
Thal_IL_L,1.0,-0.20488301104623313,-0.1252092548705477,0.010947047321049766,0.0517635145360826,0.10651753300622194,-0.025322068316614814,-0.021379511908838307,-0.07244590878965321,0.2316444491666153,-0.045818990812306115,-0.03338603298102268,-0.0957487454976191,0.07274329273554546,0.060358930321949764,-0.06877773614244635,-0.21463390777536326,0.20446662039440247,0.16246868191871072,0.042426415180773364,-0.08058030043082812,-0.08968742536612397,0.04505231132497877,-0.014460192088258638,-0.03289234219149823,0.22268832350026332,0.01615018915792438,0.02317006053677065,-0.04775086213879102,0.23576008551018002,0.06111625864866257,0.13857068567981626,0.169489894740237,-0.013898048334992873,0.0649843977685997,0.06127896101570771,-0.03894648456731514,0.17774948382797887,0.028544211273477168,0.0425720104813087,0.0843824049458386,0.14247515861979473,0.1179357060975904,-0.004282396089772316,0.1717746180860152,0.1900002940850363,0.12108343561620889,-0.0031530524064056855,-0.12283722853754708,-0.12205302104497814,0.007441095871888557,0.06391393207333808,-0.1269611285788348,0.008700918514694898,-0.0020460554887520572,0.08320329377811486,0.07693002086046764,0.08760574457558638,-0.3279770354742706,0.18764390217336446,-0.24287955146763401,-0.019973129405961552,-0.013114937471481675,0.037532996196561724,0.03207816903787724
Thal_PuI_R,-0.20488301104623313,1.0,0.5495033974061114,0.24731538867311645,0.5505834499571622,-0.01829191810528633,0.2689771740446857,0.2995938138375161,0.2836413695606015,0.14121329356083703,0.06332339062350784,0.08109444904777291,0.09171626318243677,0.175273994207019,0.2664434784013102,0.4202706550750135,-0.08570026786297495,-0.037147493709565015,0.49706742580105295,0.5478967877030443,0.40497027883887876,0.3832922376140689,0.22074898650563468,0.4082474288074729,0.04752644595770129,0.023640843539495995,0.15843731175482267,0.5585093695601477,0.4698847595778925,0.48979671603954905,0.1421383138661783,0.05228242980879503,0.26545667785048904,0.32525994867710617,0.505269126700184,0.3313709417154073,-0.0013336696787648867,0.0697750612573598,0.47898067183947424,-0.0516451423680327,0.11707342269251779,0.04457884968779313,-0.22435686823347534,0.47353908035316084,0.08416325090592844,0.5275194340337277,0.30152835561032365,0.6061291988184092,0.33326604921953096,0.39144388744529013,0.007561228471234542,0.33182551844250463,0.12765120110398778,-0.16293676784405278,0.4899831665504751,0.39544045725634874,0.4376375673658786,0.2574586345060343,0.4798262860298902,-0.14984447273732937,0.7018829261456081,0.048300818909449456,0.2774969981924167,0.30385125702576193,0.28214990581162175
Cerebellum_10_R,-0.1252092548705477,0.5495033974061114,1.0,0.23907187973573615,0.6307108280759465,0.15725031363361044,0.1999830896080064,0.4485982522250227,0.2888774759504749,-0.2804774158849115,0.03987731374782756,-0.058472295696662485,0.04976679715515176,-0.01026321283872237,0.41646977292400905,0.5637473928273983,-0.02044410430559054,-0.4541720617943189,0.4300264984616198,0.631730356571194,0.4345345996537908,0.5510000287337512,0.21663372033812775,0.4610493034928802,-0.198861900146642,-0.09642011246592884,0.1357966553171261,0.601971564330374,0.45180745558084234,0.5520292390411492,0.1722331178078204,-0.07517250336658997,0.09753201840323546,0.6913221449671705,0.319182034511232,0.25654124981004384,-0.4443558794259466,-0.2213677007031605,0.5003640316721191,-0.3535669435642497,0.15748034623551535,-0.3782849380985303,-0.6190007354039324,0.4921701310551237,-0.3483168869984793,0.5656223171374644,0.32939120714778375,0.5263223688051853,0.19533536704065022,0.5906729998513582,-0.062141449751185664,0.4203611793878772,-0.04992452939226624,-0.21341109386792256,0.679133107846309,0.298579545618686,0.38812953133090344,0.3528472300975133,0.23329603687524797,-0.36024224733536325,0.4255416926198111,0.040094109117776736,0.006993670570561126,0.3676025214370802,0.2665465914627268
LC_R,0.010947047321049766,0.24731538867311645,0.23907187973573615,1.0,0.5713703134834631,0.13997670932981424,0.4690969715968291,0.4570351520162947,0.25644346771426213,-0.2672935432325112,-0.010039381466424708,-0.565419809065968,-0.1120786994292014,0.7221476577541864,-0.36521584411005453,0.35153090039692564,0.008794374983224084,-0.24019682009909818,0.0994473415932482,0.34082823785189953,0.07698719959027939,0.2839888317868495,0.5098121843514509,-0.07264462688614641,-0.40154758815143266,-0.037920517932306524,-0.21130026967998727,0.3193052734429452,-0.08353830694857067,0.2081492391177257,0.13162566931282135,-0.5112371123107948,-0.49240135728310386,-0.04814498142466511,0.32335241236180184,-0.030248360091191622,-0.47996529773019875,-0.5998764263955593,-0.14674724434356257,0.25255225840667894,-0.3424222523873616,-0.19600912182408428,-0.6195219255634166,-0.01904552912596308,-0.030355529901824843,0.19529960079495187,0.46504051562745913,0.32280848737326684,0.3501308790857617,0.27856460437025915,-0.09219047389852038,0.5659623541207568,0.22403937775915833,-0.7389165782075316,0.050476677431355435,0.3849011941376656,0.21072424498821896,-0.15805662013023786,0.49776095124714437,-0.42568821349712077,0.2957974746187497,-0.6636883834971388,0.04534710360389666,-0.17855600863373378,-0.5718717838196528
Frontal_Sup_2_R,0.0517635145360826,0.5505834499571622,0.6307108280759465,0.5713703134834631,1.0,0.29096259137495706,0.542676583691824,0.5780369458073057,0.6059999265264567,-0.03554821752196701,0.14758793045559163,-0.1259644885933309,-0.01634526376821105,0.5057539326332646,0.2144442389004446,0.7717676107040077,-0.11421605295986821,-0.26031888342794746,0.5325362154349784,0.780731869278549,0.6371765861982108,0.6340454430067569,0.51599813872352,0.45161471597746855,-0.33233360094902575,0.12646315552629203,0.1473238424020611,0.8229210635388651,0.4475265296775452,0.7054181837467559,0.3404212935350988,-0.1514740863498302,0.03404033211815815,0.3179089352742349,0.5408026280316248,0.43688396877568597,-0.3958402783256905,-0.22605964600022477,0.4429550910801321,0.10183314294173904,-0.05069770442268697,-0.12403754010981977,-0.5176084934656712,0.4947581640344214,-0.06250761663772623,0.5335164534051704,0.5852528591765985,0.7930648120202985,0.4007844784261483,0.6296106192790859,-0.19354397410215332,0.7885185069046595,0.19923709042623236,-0.4364813930099627,0.43060209399165783,0.5349500382517095,0.6845535508992071,0.020709406635334028,0.40330349895502465,-0.38627013754921197,0.535493143211267,-0.2500100080352913,0.39637135389382383,0.4157712591130292,0.051673298925066516
Cerebellum_Crus2_R,0.10651753300622194,-0.01829191810528633,0.15725031363361044,0.13997670932981424,0.29096259137495706,1.0,0.21409726297052908,0.19093580288278683,0.3307781775177905,0.08515882525903955,0.3142110795842149,-0.04282943041801763,0.06456595531999935,0.09217443803815342,-0.04692917764715155,0.2965929910407385,0.052077906530420624,-0.08869761819829558,0.15218491610918486,0.2216884016065798,0.1452864613159929,0.1254929223097652,0.17854092852353878,0.023115192807738653,-0.3711449356493311,-0.004494913334958493,-0.047877670251520114,0.2634110951812456,0.18271546638292854,0.23394230546740166,0.13306442711314212,-0.19732205295314917,0.06275733663074107,0.11384439624927803,-0.017745384272233777,0.08582446884641708,-0.23535706163549908,-0.18371367495560906,0.06728357809702819,0.2914321024438779,0.2255150943998001,-0.016997294096519736,-0.2445035743586715,0.17528186854219557,0.04194636463529589,0.06389160725866308,0.07704330475127015,0.2638466859623927,0.14152981798936773,0.17179258807341588,-0.25074395936817123,0.31086754846578474,0.06964700483653019,-0.3095832718195512,0.15242577263169038,0.2147165426949721,0.21814758559935427,0.1615422528242979,0.03270523735039772,0.01972964745541279,0.0645054898562125,-0.15883707078406692,0.1705416667474471,0.08967851893827249,0.008778766233706752
OFCant_R,-0.025322068316614814,0.2689771740446857,0.1999830896080064,0.4690969715968291,0.542676583691824,0.21409726297052908,1.0,0.4049879484149852,0.37793604714393914,-0.05996205267511406,0.6682779598434317,-0.26622453951698805,-0.04997423970774519,0.5206568199688562,-0.22660962472909735,0.51801037348943,-0.14414524576732007,-0.17334062412665208,0.19905430119123316,0.3295066022378695,0.07278748852364327,0.27061197351490524,0.44766101760024785,-0.07375899560824223,-0.6043950171676977,-0.19191615105579612,-0.12318932797195364,0.4868233734184412,0.058863338547969477,0.21927258428261423,0.5416700491816641,-0.30647045809834905,-0.14564201016878728,-0.07412836491796006,0.18975329035337815,0.08030955260764677,-0.22379427087249465,-0.3653234655108934,-0.09699997600619656,0.4747404463274475,0.03565761811668135,-0.023786201508166252,-0.3361158997159276,0.18726180398668113,0.1356587900267415,0.19399663416747095,0.48627234343492304,0.29051830034415593,0.7247259340480247,0.27259573821095423,-0.12948519330610303,0.3929792755427807,0.21751501896229733,-0.5482136171780396,0.38655737142476226,0.5052728170033537,0.1713681007278645,-0.006422523083089361,0.5405261826846358,-0.3201364852038095,0.26007662326576586,-0.4133814063714225,0.12530516896931765,-0.14834427059381727,-0.28870950997430844
Raphe_M,-0.021379511908838307,0.2995938138375161,0.4485982522250227,0.4570351520162947,0.5780369458073057,0.19093580288278683,0.4049879484149852,1.0,0.32042803259106895,-0.1560190815728655,0.037332533834321634,-0.33428864158513855,-0.1145578188293936,0.41015777263825576,-0.1329384604136395,0.4447883155258414,-0.1140943924464967,-0.35158445580011594,0.36449193298256954,0.45133530268825306,0.24200337117244222,0.30417820885301683,0.5072568258466694,0.049910610499314584,-0.4714423356841195,-0.050347074142614114,0.06851744969920086,0.4391313105342931,0.21513679690734433,0.3653172680778268,0.13886589931716994,-0.40423783864868884,-0.19697458351915778,0.13603236395786117,0.4133694074532572,0.05946664182721509,-0.44326544166370285,-0.44884610654400997,0.017169719503053498,0.0049908023004529905,-0.12130261909445257,-0.2042416404567331,-0.5557405800685135,0.19663072911545476,-0.1493885999975555,0.37024367799451957,0.52432121553874,0.4466467587372723,0.29433738533362724,0.2986395567942207,0.10919624723520166,0.503120226969746,0.25415478776383793,-0.5562127782293279,0.25279983487662133,0.4463446667863546,0.34835317439566094,0.03362282710655098,0.3196070204178406,-0.5304144027009313,0.31266063409031064,-0.45383226598835175,0.015898558422692843,0.05476446194248558,-0.25924133425633356
Rolandic_Oper_L,-0.07244590878965321,0.2836413695606015,0.2888774759504749,0.25644346771426213,0.6059999265264567,0.3307781775177905,0.37793604714393914,0.32042803259106895,1.0,0.10122058265126938,0.31161556189369294,0.1891688952938096,0.09335515483175394,0.337242084652444,0.21625771703863975,0.6914569070279729,-0.054895433848035226,-0.09511638934615872,0.3764034724546008,0.5149421052753362,0.6143318827751495,0.4023971483364915,0.3918698998429204,0.35671762152651926,-0.2747234622438616,0.02618928733810822,0.4699308209642886,0.6083297687389615,0.597192585404651,0.5170725345061031,0.33609566067495544,-0.02009980196132635,0.15389930844399527,0.08715336888111272,0.18380522218505865,0.5734801364115005,-0.1539057976673275,-0.05804634512633803,0.2719563468889852,0.2036069379782964,0.08383578179291828,0.05108973845297823,-0.20339558317199916,0.6445531046163367,0.10636297011887028,0.21944684716104282,0.31965588903770337,0.5735420837643712,0.25065855002999465,0.3707061147725739,-0.12336604599719295,0.5068167087469805,0.15950555766384714,-0.20537473348513957,0.28814288317708225,0.4472287075348706,0.5574406421889917,-0.032456467421329155,0.33048963529306413,-0.10913690612659867,0.459399228571368,-0.0005958755092128153,0.49825444573488725,0.30093684061364334,0.15912874917180478
Vermis_6,0.2316444491666153,0.14121329356083703,-0.2804774158849115,-0.2672935432325112,-0.03554821752196701,0.08515882525903955,-0.05996205267511406,-0.1560190815728655,0.10122058265126938,1.0,0.027688953133701174,0.40920090171723633,-0.09879499237355484,-0.15084779585196073,0.30721811644521096,-0.20420044752843244,-0.020630097853368144,0.8204588531969769,0.2073073166664935,0.1843600560973593,0.09222388589877697,-0.1587656835166886,-0.031708072588058266,0.19471865072992633,0.2706152873407121,0.3137970972277696,0.11170924936555517,0.1337864413228086,0.22280836047431613,0.12267368403308913,-0.009488146381182916,0.5982097305839162,0.7649224344523534,-0.2979799743981569,0.12509120129214765,0.38851031089548693,0.7174112724699698,0.6873507713654723,0.3423239492115786,0.30064620402812575,0.329760431672552,0.8723352246757146,0.7294990155419986,0.2935495902393373,0.7064635114310194,-0.001688822601839888,-0.05321426280743643,0.1813771055879178,-0.12214986710363103,-0.22210638346076236,0.3099887471529,-0.22608044663602064,-0.09303543734428625,0.24132888771016056,-0.0733635794597389,-0.10024930323055627,0.2635147451917535,0.2674412722889527,-0.07228532696057824,0.5050669428641005,0.20914831785834953,0.41324520005749354,0.3569440927110592,0.22324558871276487,0.45469728767718204
