,Cerebellum_Crus2_L,Precuneus_R,Frontal_Inf_Orb_2_L,Thal_PuA_R,OFCant_L,Cerebellum_Crus1_R,Lingual_R,Amygdala_R,Thal_MGN_L,Cerebellum_9_L,SupraMarginal_L,Thal_VPL_R,Thal_MGN_R,Thal_IL_R,Cerebellum_7b_L,Temporal_Pole_Mid_R,ACC_pre_L,Temporal_Pole_Sup_R,Red_N_L,Vermis_10,Cuneus_L,Cingulate_Mid_L,Red_N_R,ParaHippocampal_L,Vermis_8,Frontal_Sup_2_R,OFClat_L,SN_pr_L,Putamen_L,Thal_IL_L,Frontal_Mid_2_L,Frontal_Inf_Oper_L,Raphe_D,Insula_L,Frontal_Med_Orb_R,Hippocampus_R,Occipital_Sup_L,N_Acc_L,Temporal_Pole_Sup_L,Postcentral_L,Insula_R,Cerebellum_Crus2_R,Cerebellum_6_L,Cerebellum_10_R,Vermis_1_2,Thal_PuM_L,Thal_LGN_L,Angular_R,Cerebellum_3_L,ACC_sub_R,Heschl_R,Paracentral_Lobule_L,SN_pr_R,Thal_LP_L,Occipital_Inf_R,Caudate_R,Thal_VL_R,Amygdala_L,Heschl_L,Thal_VPL_L,Temporal_Mid_L,SN_pc_L,Rectus_R,Cingulate_Post_L,ACC_sub_L,Cerebellum_7b_R,SN_pc_R,Pallidum_L,ACC_sup_L,Angular_L,Fusiform_R,Putamen_R,VTA_L,Frontal_Med_Orb_L,ACC_pre_R,Olfactory_L,Frontal_Sup_2_L,Precentral_L,Precuneus_L,Frontal_Inf_Tri_L,Thal_PuL_R,Rolandic_Oper_L,Precentral_R,Calcarine_R,OFCpost_L,Thal_PuI_R,Cingulate_Mid_R,Hippocampus_L,Supp_Motor_Area_L,ParaHippocampal_R,OFClat_R,Rectus_L,Olfactory_R,Occipital_Inf_L,Frontal_Sup_Medial_R,Frontal_Inf_Oper_R,Vermis_4_5,Thal_LGN_R,Supp_Motor_Area_R,Thal_Re_L,Vermis_7,Fusiform_L,Frontal_Sup_Medial_L,Thal_AV_R,Vermis_9,Paracentral_Lobule_R,Thal_MDl_L,Cuneus_R,Frontal_Inf_Tri_R,Pallidum_R,Cerebellum_3_R,Temporal_Pole_Mid_L,Thal_VL_L,Postcentral_R,Thal_PuI_L
Cerebellum_Crus2_L,1.0,0.6093502860758269,0.38243933899371374,0.15097042012879336,0.19973767819871627,0.7370610174434713,0.7720268799261812,0.07134502866375074,0.10366264893674229,0.7389258870677979,0.00016250057646647226,0.297585708331222,0.12609088690853426,0.21175751192250353,0.9324537451064856,0.4781377807713816,0.45291915736651306,0.50900128477241,-0.08941805821161289,0.6448947931359362,0.44504694716750226,0.61628891144899,0.25442737537001026,0.22308032022947408,0.6029041301368794,0.6360637565241967,0.6086509402131567,0.2824525023456828,0.22900021083235533,-0.23120279315333386,0.3576442545105917,0.41670235487640195,0.25536067673322416,0.3358916554753789,0.3901629088457349,0.24271052053864847,-0.3339502050549663,0.31906794229743046,0.5916881287280521,0.13959289420557278,0.5855379741902601,0.7055724907303231,0.7769612230468439,0.48722322518965494,0.3028694970201991,0.6050953323090604,0.24785021757626302,-0.31285581307924337,0.49435587569177475,0.31562822552834935,0.4167928052136021,-0.13469539236876282,0.4055650842331073,0.5352860470833979,-0.030878801217888004,0.27568117763903577,0.35659643461734775,0.024161175434746728,0.4384006365903727,0.36619685964978943,0.6588635076091837,0.4056644685922511,0.1268223305849354,0.7197585855879591,0.2839335758148606,0.7095200879226642,0.561074755601815,0.4199771015206367,0.5028559012428172,-0.30940530821684503,0.6535061063413564,-0.043665735313025235,0.013562842261625069,0.4790276383288715,0.545581125481818,0.3766553431605919,0.5282908605838562,0.30035813484713053,0.7142423106760523,0.35454481567813095,0.38052846323838413,0.4354927883125892,0.41522311844429466,0.7348409011953241,0.21595215548090604,0.2716001130221814,0.5868910090048581,0.5465836992840589,0.43649264124191944,0.33425890975917955,0.37269218458534975,0.5721099796442146,0.2568174683372744,0.5991340924284815,0.6231013700643917,0.3641163541229531,0.6738895699430775,0.019606532417803996,0.48062447440823786,-0.05231565016421802,0.6137047103137202,0.614039517111854,0.5670695888226364,0.46294904228191974,0.6408212878770192,0.09837873545445101,0.12913915498372555,0.1115973656275509,0.4649588681236007,-0.1621687960772826,0.5015417139193091,0.6477999351516659,0.022406352555264793,0.3188316532214299,0.09021978556897732
Precuneus_R,0.6093502860758269,1.0,0.4171456072291385,0.09002593236275369,0.3939384594373061,0.7498665083070203,0.7614222395997469,0.0612752898474591,-0.034823128394659224,0.696283384412565,0.3699886191649202,0.3496899176516461,0.04111556662885737,0.32691334071488154,0.6916384069303189,0.4934641315480242,0.4886611463695098,0.5796872427385871,-0.05182044488578555,0.627136462766775,0.8115142135687239,0.8469584389678357,0.3051304720568507,0.11993827046898427,0.47819321216233956,0.6978613550586261,0.5978678839522958,0.1769247813723547,0.20531030431232983,-0.18061786018963258,0.5509251606666447,0.6020739633570625,0.33967330864737233,0.5548375544445422,0.40687145271145403,0.25401134982803547,0.040103244975972945,0.1856871282590942,0.6088071474761984,0.4350125449717167,0.5879614847568585,0.6241500304015779,0.6639422898352529,0.5536018522110939,0.5388546571644214,0.4986541467724506,0.34644606075972495,0.01171069432399855,0.4701334521954578,0.3498101498889502,0.537931396028552,-0.11890392604349828,0.31612667726616106,0.6639372778722713,0.06311432391297539,0.1851395564202904,0.4358526146157804,0.24158536429447192,0.48653490610916317,0.18144675482319927,0.6222885806369751,0.27362332632355807,0.13992967659817163,0.883443477579101,0.349415076270869,0.5901968024467659,0.407281942381767,0.2103072769390084,0.5888632229409143,-0.09865331969923408,0.6575809827088179,0.07719942837665457,-0.14876499311415167,0.4512700872058373,0.6132396471691797,0.25726119854023494,0.658473468544364,0.5942715444811064,0.9109409969086738,0.5352853061582628,0.4720909386912186,0.5857771135229702,0.4986915736136061,0.8342052977626336,0.31413824010430536,0.20724448400728115,0.8141721190373996,0.4777504098488391,0.6911640585625998,0.239790302979062,0.5669870253588635,0.4310390600022495,0.254081829097222,0.2937334636412866,0.7226389338193258,0.5853644520431948,0.6316323598559433,-0.09068556706228242,0.6358591761395624,-0.09374351920316305,0.4748458236609079,0.5135554087498339,0.6360811966348935,0.5779462823068685,0.5705547500855289,-0.06414126921575486,0.08751974262772527,0.4381874923747596,0.6955559148300225,-0.11848379046461,0.44189000549018165,0.43213359647156213,-0.08308589132235743,0.5072756716266733,0.1168216981207547
Frontal_Inf_Orb_2_L,0.38243933899371374,0.4171456072291385,1.0,0.06810186029671025,0.6888714522724044,0.5291988940610954,0.34046100399712553,0.17298063894262036,0.273765826443057,0.5367340489411436,0.3433671523390157,0.1840500965994668,0.19142852899362958,0.17012451696706957,0.4450885296936304,0.7151635296464343,0.6515851675690902,0.735967783146388,0.0884259254885923,0.431405649220572,0.44192222857558466,0.5990201236746332,0.21428365209340605,0.36158538675543606,0.25892965466507545,0.5734054780312479,0.7638073270519742,0.2846649162171898,0.3432044231298448,0.1251490674490057,0.628213135419927,0.7961591479965222,0.11950401418268825,0.7675612793630646,0.4932820025455216,0.4408774195263886,-0.011429696435659952,0.297461937824381,0.7925849647823133,0.47569712366730255,0.7211240482441368,0.432009328280841,0.5420332657385298,0.44106943482595923,0.34330556665502104,0.408755166673265,0.2975040561982441,-0.09217925155872274,0.25672127145727536,0.5761031926673457,0.5646893411310006,-0.11006070705693259,0.39650212445362437,0.5136449048166921,0.005118653332335444,0.6246852872347555,0.25849496455940457,0.34626454021287434,0.6679324870106876,0.0918110917381259,0.6698159385178849,0.3794348423995132,0.4495082733864779,0.47859985139678174,0.6203071412487913,0.41323626632459015,0.4171734808453771,0.38636612519710023,0.7769878548191517,0.10237456323671362,0.6048686119056254,0.2515986062489523,-0.07717470073280598,0.5781137499054863,0.655115716178954,0.6583388940527343,0.5826632907955634,0.6521238643271382,0.37484293594402746,0.7305305225811304,0.5018519881140104,0.6639923476615665,0.43038143315504196,0.42112388518945243,0.7485540130819981,0.16653303989554596,0.5920599915837313,0.663816945672061,0.5699307807840094,0.49575730436962473,0.6491943377916517,0.5168826389865214,0.3105814542869857,0.1789325155987524,0.5456543463983103,0.6970047182676731,0.2684474777716056,0.13749921604747864,0.482619617898484,0.19071570362241824,0.28823877566951195,0.48886518690740155,0.6403441946895726,0.33080367970137586,0.3819459264471276,-0.1677934918757632,0.2747960126179726,0.08790006819464327,0.6582329712212694,0.27404240902383686,0.3140346864879911,0.6407558536244309,0.21046509761131332,0.33602266849519274,0.13640857600322823
Thal_PuA_R,0.15097042012879336,0.09002593236275369,0.06810186029671025,1.0,0.17616777858392912,0.040750183120326765,0.32097033538842706,0.512546374680726,0.40623405379682304,0.23623762025890743,0.002072593273795326,0.5713382028224864,0.3305274391005375,0.5347717277597523,0.11524379749037547,0.12639085927978852,0.33277205958945366,0.1298126759436964,0.027007306877968127,0.3187002188809021,0.059295149532733266,-0.041259900773571355,0.29701923691967413,0.46449034399903977,0.43100117067317756,0.09172193210638907,0.033830167356527135,0.30659814362384197,0.4385348077179255,0.14447895184608642,0.09691832301134258,-0.016018899194142573,0.31221417541814545,0.09761282549335193,0.3687367694062205,0.552887741590215,0.22043089802831575,0.38002378308708534,0.16830518269590047,-0.08203726880332703,0.18925756476775987,0.1832611428901907,0.27463579365978685,0.02213388507603374,0.21129802696754574,0.36328488396633907,0.13885419953270242,-0.042978935886763485,0.3864511232166506,0.1286728056757765,-0.01711660216294582,0.1566166452096406,0.16523698980670745,-0.04278612228850035,0.10274329735347303,0.231960227340779,0.5718642904171849,0.28811757456600323,-0.04443359540824673,0.3546808348384708,0.27887422392754946,0.4213218817257234,0.36758999697182315,0.16387722001521537,0.16374657015286664,0.2557803296383738,0.06246320679851118,0.3512638907019278,0.058171926649610774,0.08575087605043706,0.3122308480250259,0.49398848983282856,0.016719274329375564,0.26557649285629553,0.34360375084643713,0.28882180632592536,0.17105860870061854,-0.03503201109973565,0.1382330023551231,0.021937829675691887,0.2558481137586966,-0.09689976104531257,-0.3150684875485721,0.18302462512856216,0.16143411833686108,0.414087374626268,-0.053062446698922204,0.4284440569944517,-0.16431337331901533,0.40594228042178576,0.1614816943067336,0.30276318752823633,0.5054541293262034,0.2461231488989052,0.04114991325438783,0.0859011358563963,0.28148962234345015,0.10753893666029636,-0.26126159692254713,0.03352457400221865,0.161156671473063,0.3829529003427043,0.0979581280532502,0.2335829450253036,0.30258909988003435,-0.010881757894120467,0.2187397534326594,0.015351538085452929,0.14657965445408586,0.4458439087246973,0.45816252008163627,0.15119208544981402,0.39905969470742325,-0.2512042865887224,0.22363961977410948
OFCant_L,0.19973767819871627,0.3939384594373061,0.6888714522724044,0.17616777858392912,1.0,0.5051806275187808,0.2847171951716476,0.28606788071689593,0.47646203345175747,0.4404773379277852,0.3708696472845687,0.19665939824044634,0.3226950424586239,0.3372839615516731,0.2502216603381735,0.7080615555242891,0.5883310252549337,0.5652686611051004,0.31821907328859395,0.28462654645906493,0.48006191520665353,0.4532713140695003,0.27483289153041607,0.5338440614877534,0.21431711244134904,0.4329789765589265,0.49122417704006593,0.25050691366091077,0.30456725645028465,0.38897801615439476,0.5149862213219011,0.648629884556533,0.06232126328437966,0.6016861205569523,0.5285810649881094,0.4870360674145239,0.2851812870905976,0.2432336085394389,0.5783497911140946,0.4728014734186384,0.5628955622249028,0.4761276748321947,0.43635226282082246,0.3941826719544009,0.23912299560337844,0.3397730738114098,0.4070010996431435,0.24224008913565648,0.30458292167362194,0.519655177557834,0.4904641346178527,0.07407484434132973,0.4145107703593957,0.3881864469291934,0.22507036823072468,0.6698227844360977,0.32715378871427464,0.3710175117339478,0.4325454236595931,0.3158986569422778,0.5512905776604036,0.46007125596829385,0.49811804353325684,0.35708089350578504,0.38037259786249195,0.3825970219312735,0.2865801303197514,0.420252084561027,0.5654840419377147,0.26568856599144786,0.602770178303845,0.5235693590198834,-0.09853145346328351,0.6156131577559565,0.5976176636459306,0.548540926000412,0.4892143277121023,0.5687309367346862,0.31565656991120533,0.6362893814708159,0.4194576129698571,0.46422013007997104,0.18720165477827078,0.3388908284651845,0.6603718425292783,0.19826042657644996,0.4294488615737564,0.619720551440901,0.4963742984868024,0.5499094315750014,0.5996715402254102,0.34324443426468776,0.5004325046959612,0.07602135593813328,0.4246426962007487,0.5714799650550799,0.23395261478657065,0.16172529190549817,0.3616784043110485,0.3553412001436657,0.3231481224615671,0.5643868448812327,0.5465203429064436,0.18604413175295426,0.30024938120687406,-0.10901032800779216,0.37395973086251244,0.12775631067673943,0.5407659066834629,0.47572982313808887,0.3414232873790333,0.4359545295081994,0.448220694248291,0.16662771008365188,0.333407085022628
Cerebellum_Crus1_R,0.7370610174434713,0.7498665083070203,0.5291988940610954,0.040750183120326765,0.5051806275187808,1.0,0.7219112204797146,0.11668886945657947,0.12115453141695441,0.8071904192055019,0.43827782937932785,0.24824309464647176,0.07887342238758767,0.2626993366260326,0.7497642795927102,0.6774343766972223,0.5089431960590175,0.6220229056223987,0.16776328206145427,0.6886795278319245,0.6451667316458569,0.761320428894713,0.20671114756920916,0.2797016138350376,0.5761544400320332,0.6098420556214775,0.5924399392074521,0.1607826188347746,0.14443561283885775,0.015109913202577301,0.5165112230290528,0.65394899585253,0.16750768945558459,0.5452644614394326,0.3822031313602818,0.33135403078602055,0.00819599167983212,0.09888931930192707,0.6227566743058679,0.5136182806340447,0.6528851074602691,0.8811233254070276,0.785438811012423,0.6334266318943279,0.3839814892762441,0.5579260792746993,0.4238345225904362,0.005118044087584703,0.5211534832626827,0.4583317704233549,0.6948708877872362,-0.17028650988533803,0.3919934942767187,0.6503625191929757,0.08953461199620205,0.4217434182276373,0.35490220559791513,0.26526073506784836,0.5633360712317034,0.2843668381930889,0.6101485329544565,0.2970605950905896,0.222726555704439,0.7651453426862046,0.3123274354878212,0.7847105678827144,0.4132615099628469,0.25335960156655174,0.6382155007132143,-0.020365879221006543,0.8337715262102182,0.16367968895587318,-0.08590230282322989,0.45057961117037093,0.544021301768583,0.32581942290862204,0.5966650491044191,0.6278803933572217,0.7761804688699558,0.5728007676605082,0.5564879781142805,0.6001104358176899,0.4285666908398484,0.8291489970654939,0.4517792570910874,0.09847937858505583,0.7334058458950955,0.5707313950332576,0.6104455025261236,0.38877485764913267,0.4583256452082323,0.4233817490909823,0.34998026085293815,0.2669340842531326,0.679834212113835,0.6160432693137894,0.5212789427500908,-0.03765380224830752,0.6086287061025523,0.1485060819130252,0.6425054622784822,0.571341511700309,0.6464170764906746,0.38384448778286195,0.70275746325497,0.08546846201461172,0.31375590107416,0.15967732325355166,0.5492265230366441,0.01636471794265375,0.4214327828306737,0.4960830756998335,0.12457550470372643,0.395685897520619,0.21152159988726474
Lingual_R,0.7720268799261812,0.7614222395997469,0.34046100399712553,0.32097033538842706,0.2847171951716476,0.7219112204797146,1.0,0.3008615345763748,0.16572423838004038,0.8305360560110842,0.19539749499408093,0.5312765947713914,0.21260323776775633,0.43867533935914377,0.7582326079338227,0.4536980020783571,0.5621876580060692,0.5480871487366005,-0.07771288740757668,0.8432445609107279,0.6195463937927126,0.6266861849802613,0.38383180050604504,0.40008621047752896,0.7699386982530999,0.5379764782057351,0.5095964403522465,0.27723115399252196,0.3292066627508921,-0.10243448567955982,0.41516366301971136,0.3717154527914491,0.41746980978736964,0.4142283422485288,0.523792998385013,0.47112221715205665,-0.0027018683206532224,0.3496804938415323,0.589234832471538,0.27733426342888534,0.6023669521197809,0.6817246338824586,0.8771186500818962,0.5771398214522437,0.3889468022367521,0.6691833853513378,0.39021849816548904,-0.11605148259985634,0.5578922998412966,0.35222493391525733,0.42882506440243334,-0.09976383228584366,0.30008552226841456,0.5369333145634767,-0.06740626635427846,0.2731019399773342,0.6667420777334183,0.26159548078456507,0.35711709227461297,0.42248043041521754,0.6478324395207936,0.39624619742866535,0.207936206030038,0.7880264298602243,0.27715282702518296,0.655717711418562,0.3745264474854162,0.4052144282808499,0.4875191061473684,-0.04380401744890204,0.7146923043334081,0.21970746436410005,-0.09443986183165677,0.512154613722843,0.6155294849127887,0.3563481214859674,0.5692993977150759,0.41476638018385925,0.8507192081108629,0.34749722519380555,0.4379573734453397,0.3881621885663526,0.2484217006385528,0.8371077050603768,0.2887131146083775,0.31805553990901503,0.5922974713463444,0.641401434621682,0.4106314334765494,0.41069035882564703,0.4418172500720703,0.4899734497243814,0.4069438655250137,0.3071114636329048,0.5643384712264564,0.40562046644396316,0.7568907609049751,0.0024922846253816132,0.3435200113543812,-0.06767780780176301,0.6888701572710932,0.5583785111435334,0.49856057889535105,0.5630783485205781,0.7999094890861539,0.04976586941823434,0.16904085889666487,0.1991370244692885,0.4566837255297978,0.021051201316702163,0.4681026421263551,0.5012255455375912,0.14442718228038975,0.21966349312720998,0.24368213971637698
Amygdala_R,0.07134502866375074,0.0612752898474591,0.17298063894262036,0.512546374680726,0.28606788071689593,0.11668886945657947,0.3008615345763748,1.0,0.458359922875404,0.2766204630774862,0.023318109869037762,0.4297179560678879,0.3195841288882276,0.4171013585709905,0.01804831333274667,0.18661480450300783,0.439466340894461,0.07218504025850549,0.14588617949739324,0.355865383632339,0.1185341560684933,-0.06884176143186495,0.38357564957506063,0.672018530157927,0.43764410742124227,0.11761135012356039,0.0253726435841262,0.2649452708903975,0.520988953877705,0.382437444185541,0.09087161083492404,-0.02954495989641757,0.26621427229366523,0.09992575909030005,0.4421359474145175,0.7006761703438169,0.3297064270047569,0.41986234570293035,0.12474238721717923,-0.03130228661429368,0.19055831469950638,0.1616089790609758,0.2708475495862141,0.1829183390115039,0.14560912460714687,0.21483794934584277,0.1871709930478643,0.15228775482581888,0.3861165521646696,0.3258822971701666,-0.08586674107105487,0.08940290853736876,0.19210056464723432,-0.08716530369408727,0.14450315620363852,0.3984445354564909,0.522311740665121,0.5786812089028646,-0.05932554873641845,0.4543531068563634,0.1786254115185001,0.41454571724871636,0.5032312038528265,0.0656786201289077,0.16804609102580695,0.124461342163532,0.07641649589462934,0.37707518357568165,0.1021141675450468,0.2016112119026778,0.3204229238170602,0.6520043165786912,-0.209491864335885,0.36800945476947905,0.33889258274724526,0.4437827107240523,0.1248544477995038,-0.013807128993828535,0.1100075707409317,0.04577079924418775,0.11554389428853341,-0.17739594861371014,-0.21394581285054623,0.10830940427162639,0.2821170583412967,0.28924456660708114,-0.07098135876367548,0.4856828842935073,0.04185667371184515,0.5618104793575219,0.1659536858685183,0.20134065941682275,0.6290053113011916,-0.02377286405797139,0.1092827836290634,0.1155543187218567,0.24708922475279793,0.2702602046598803,-0.15658927769377634,0.22303483326764834,0.26583184574306246,0.3751333310880775,0.17051109304837037,0.190811760892323,0.34956120654498785,0.01175450472342029,0.2720073312731045,0.08982538809975357,0.07582276441231696,0.6313635921667573,0.2768206493930084,0.17413544894426172,0.5453502788604846,-0.18513633718298889,0.181397231723624
Thal_MGN_L,0.10366264893674229,-0.034823128394659224,0.273765826443057,0.40623405379682304,0.47646203345175747,0.12115453141695441,0.16572423838004038,0.458359922875404,1.0,0.12328217742152772,0.03572756505414967,0.17672913603074553,0.24455373253260015,0.25901380667323165,-0.037825000447645994,0.4101781954105923,0.3988795439088154,0.15223260245296466,0.45678000431756394,0.1523046358223891,0.0785940438295196,-0.10817739707023052,0.24374838651077232,0.7183746161133068,0.11617236884723135,0.12840397396260755,0.025132778554918408,0.14297454103256524,0.3960868171749742,0.6758802190661146,0.032726335175773925,0.0818176357223536,-0.2246605999873019,0.13584987473156068,0.36393070370984854,0.5440707650373223,0.31244753226335575,0.32878225205044165,0.18502906079689363,0.06577274646034362,0.2057372652408008,0.1748240351687358,0.18285717677219293,0.0037996529907649242,-0.1598399495262796,0.10522650058280729,0.28381803052537347,0.11750684015073458,0.3061993632305485,0.23412193904504036,-0.0053395699039149,0.27042648080904497,0.4394236599112798,-0.08351125935974522,0.1940608297388072,0.6057151222503074,0.2831870050395107,0.12211002570237464,0.014575185611156106,0.5788068813852388,0.2624776425808675,0.5829709347647305,0.4776514261889039,-0.0693420971984063,0.02267587913120642,0.10564320889475307,0.39591477534231023,0.4114465684012841,0.07595481190630689,0.23178426105563824,0.36141420288226556,0.6004914072592675,-0.03190499042928775,0.45862821070321647,0.3271677088333322,0.4115417043454604,0.09076661855877885,0.0012187795442620583,-0.05604883115424108,0.0541665880605353,0.031997993316393296,-0.06523986601425887,-0.19085046241086537,0.04131006743265508,0.3836826949899107,0.15721303946504,-0.10749847385642847,0.4509092660755961,0.08393427517868741,0.6472309252478863,0.22433947452853187,0.2032102716417387,0.6647494275645732,0.2783570706935253,0.058323963936946124,0.14144060986761392,0.1375867402407246,0.6020436317036648,-0.011174810090470897,0.4100772741050567,0.27139965317794795,0.5417072811863741,0.15945602451144392,0.01728918835876948,0.07529210230787053,-0.07334347589440939,0.28363616794861135,0.12888207335688098,0.09230030217385116,0.6682357127493995,0.3210917232823385,0.2907742888912757,0.7895271136461769,-0.19877530336965352,0.22771712870465038
Cerebellum_9_L,0.7389258870677979,0.696283384412565,0.5367340489411436,0.23623762025890743,0.4404773379277852,0.8071904192055019,0.8305360560110842,0.2766204630774862,0.12328217742152772,1.0,0.29350137889835265,0.4101558252270702,0.2750523128142372,0.32820716790901056,0.8040708027074326,0.6346945907037305,0.6059727725810783,0.6800759812999555,-0.1273153392200635,0.8551344526540523,0.6164212767318771,0.7238520683779675,0.29337202301551973,0.4311811551731638,0.7977387638703453,0.5888435014556079,0.6822159714366152,0.39325730962741784,0.3627439706850079,-0.1392624235352711,0.5782467351715032,0.5995030500761834,0.4106057360672731,0.5625312806766868,0.5971668594417807,0.4805407123524225,-0.011057990531143553,0.3549331597499489,0.7209268841798786,0.43595919828478114,0.7116123730880847,0.7752241518513306,0.9377402346794773,0.7296221641122889,0.45859644160924323,0.7254739100712968,0.37051864909337057,-0.14132191167760266,0.5259815948900272,0.4748536059081774,0.6216902841680133,-0.09862929926129761,0.3800064300742101,0.6319964932439429,-0.108089063755613,0.4230604088487183,0.5593928161404118,0.36973502868784197,0.5224113566006756,0.36086009051790624,0.7364122904275495,0.4373599696948453,0.27971743145958633,0.8039388343243854,0.37427386238145594,0.7886840785803612,0.32312373100563163,0.439062501609674,0.6519668796620653,0.014138433437909137,0.7925037193061718,0.26981561380075386,-0.0887552765366444,0.609230016024082,0.6250770682598537,0.4876984319152628,0.6392156151331312,0.6105811891698496,0.785430806134874,0.6025746341616383,0.5423651639361173,0.5486568585465761,0.313472700562511,0.7997373439234134,0.3955503947030244,0.3014133096227953,0.6967163934558815,0.6749454301679055,0.505212771327849,0.49271409977640124,0.4730975309340525,0.5767404247631363,0.39749664773993587,0.20756741123948103,0.6670810644402364,0.569676421863387,0.6732301861958189,-0.10168997824591561,0.4363765557562595,-0.03725748674424276,0.6593954086391123,0.5702713520028955,0.643195728990186,0.50958150350381,0.9148139495598298,0.0063414086811259505,0.23914272549567592,0.037688441303827966,0.5576163110887624,0.06187125347308763,0.4703229346025381,0.6459059295884818,0.12715714946892315,0.26165922390823704,0.2880520243766962
