,VTA_L,Temporal_Inf_R,SN_pr_L,Amygdala_L,Lingual_L,Vermis_7,Olfactory_R,Thal_IL_R,Occipital_Inf_R,Thal_PuA_L,SN_pc_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,SN_pr_R,Thal_VL_R,Caudate_R,Heschl_R,Postcentral_R,Thal_MDl_R,N_Acc_R,VTA_R,Temporal_Sup_R,Angular_R,Occipital_Sup_R,Cerebellum_Crus1_R,Rolandic_Oper_R,Cerebellum_9_L,ACC_sup_R,Frontal_Inf_Oper_L,Cerebellum_6_L,Supp_Motor_Area_R,Frontal_Mid_2_L,OFCmed_R,Vermis_3,Putamen_R,Parietal_Sup_L,Thal_IL_L,Vermis_9,Thal_MGN_L,Cerebellum_4_5_L,Temporal_Mid_L,Frontal_Inf_Oper_R,Frontal_Med_Orb_L,Occipital_Mid_L,Cerebellum_9_R,Thal_PuI_R,Precentral_L,Thal_VA_L,Cerebellum_8_R,Cuneus_L,Thal_VL_L,Paracentral_Lobule_R,OFCpost_R,Vermis_10,Thal_VPL_L,ParaHippocampal_L,ACC_pre_L,Thal_VA_R,Frontal_Inf_Tri_L,Temporal_Inf_L,Red_N_L,Thal_PuL_R,Frontal_Sup_2_R,Cerebellum_10_L,Pallidum_L,Cingulate_Post_R,Rectus_L,Thal_PuI_L,Caudate_L,Temporal_Sup_L,Frontal_Mid_2_R,Raphe_M,Cingulate_Mid_L,Occipital_Inf_L,ACC_sub_R,SupraMarginal_R,Heschl_L,Cerebellum_Crus1_L,ACC_sup_L,OFCmed_L,Precuneus_R,Cerebellum_3_L,Occipital_Mid_R,ACC_pre_R,Temporal_Pole_Sup_R,Red_N_R,Thal_LGN_R,Olfactory_L,ACC_sub_L,SupraMarginal_L,Insula_L,Occipital_Sup_L,Cerebellum_10_R,Temporal_Pole_Mid_L,Cuneus_R,OFClat_R,Frontal_Sup_Medial_R,Temporal_Pole_Sup_L,SN_pc_L,Thal_MDm_R,Thal_AV_R,Postcentral_L,Thal_PuM_L,Lingual_R,Cerebellum_7b_R,Vermis_4_5,Cerebellum_6_R,Cingulate_Post_L,Angular_L,OFCant_R,OFClat_L,Raphe_D,Frontal_Sup_Medial_L,Thal_VPL_R,Insula_R
VTA_L,1.0,0.13655097879818726,0.05044835161646148,0.17127419207741404,-0.28606936693770085,-0.5655207647116043,0.5254544991640329,0.7263328222772774,-0.40361423651754497,0.1692702411934758,0.14702618768545475,-0.2949125621394279,0.013880595449874675,0.11519590783790412,0.42774519068849537,0.46915927635424626,-0.17838896889480013,-0.6338476044057222,0.12778255638111777,0.7387773233829544,0.385236421553616,0.27913418541111185,-0.5406497993553391,-0.709051467728036,-0.0074070464797859285,-0.09830162353131931,0.17713220261795154,0.3090881369886715,-0.0473349778638345,0.06265103244011623,-0.5640379925750081,-0.20091162541332527,0.49122258357787063,-0.31053278473111134,0.1897800198483127,-0.6975074486087237,-0.05079057700344271,-0.17425984192155303,-0.14872600962952537,0.15686206579222373,0.06117843335061856,0.1732092332506458,0.06724215642703928,-0.7104370679552638,-0.22140934800853315,-0.28531224095626234,-0.5700162089985663,-0.09045382587050876,0.3419876536312612,-0.46281435575919183,0.36054885741371523,-0.5708748529151029,0.08514687695059837,0.240353795765161,0.47335309080097476,0.40845498993499363,0.5563743845958824,0.5826560797593664,0.4843065639658573,0.35251013214438986,0.4144074890150111,0.14979188860776402,-0.457554240324033,0.35374598715208083,0.5676519454528308,0.4283337132077625,-0.37729689215623696,-0.46615434639990894,0.479233561733044,0.11478058344344512,-0.3996097394315863,0.03800294005897961,-0.058214811201090975,-0.20952678491780805,0.6616143304340386,-0.43659037682211715,0.6628529033300364,0.3927125003521213,-0.5580266274290231,0.6520482489717746,-0.5469449980056657,0.25099225806142295,-0.70333373536811,0.11266817472905387,0.39876847953728584,0.42119935986719853,0.5813610659119662,0.5510206635121384,0.5670818948197482,-0.4048607525562346,0.5582226884309499,-0.6743463942175247,0.43196369575304494,0.17919600382868484,-0.821905393436371,-0.07417371530681686,-0.16106755392068034,0.3618300707547089,0.5898599054396999,0.3930748971194293,0.7346836608997117,-0.6314183855378085,0.5518271669681216,-0.15764916439324708,-0.567252838508481,0.43976210911525276,0.4169281359659312,-0.023043713452424255,-0.5929446278854567,-0.4797045831369018,-0.058554528062550217,0.09841009422707771,0.2916493518314354,0.18533206468816127,0.3179892077493932
Temporal_Inf_R,0.13655097879818726,1.0,0.2482786554345876,0.8131849249208596,0.33492576132263807,0.44326055140614284,0.5003091373043732,0.4823613577782266,-0.18345962269644525,0.43096755087683564,0.05457508369749063,-0.5657944514417012,-0.4147019772302272,0.3992678870762111,0.6284346943866542,0.4514775924722136,0.4848604655428138,-0.4446521617287427,0.586612716322942,0.3581326131012455,0.5576626976136126,0.7283578959148562,-0.24259295447174536,-0.19369295550373375,0.8643266991227851,-0.047325711723674106,0.771040850536894,-0.06034982282344384,0.22928759397420576,0.8744402972895512,-0.161092839709154,-0.18992177351538486,0.29285631401923284,-0.08520605443184225,0.6245796053445909,-0.49801728905708315,0.6126137099218468,0.06445364138750731,0.3819700745963262,0.4764421733559034,0.7363776044030994,0.21643133913163137,0.18113239916405463,-0.2706332390020584,0.29545528603284626,0.21897350018529543,-0.47018764999556606,0.6886070878961394,0.8315718253551163,0.002838317252072907,0.6905253291644574,-0.4964703777162274,0.5842265876105766,0.1794853389481236,0.5888307395614505,0.7911218076339809,0.19201159488114855,0.5604240757519346,0.3979805745287418,0.8726398047813482,0.404607780423959,0.29653283782185336,-0.37571262161504365,0.4130572934639062,0.683059446588886,0.6560173416021202,0.44668604439006787,0.4663215642157292,0.5346277352325065,0.655811778239988,-0.00849101281000279,0.20863573691511855,0.3895092650642691,-0.11296846074859854,0.26781756619302216,-0.08359287280169503,0.5782409225739202,0.77108051958585,-0.15303651476276212,0.23618207215306883,-0.15405800517469656,0.5541822215007772,-0.1732454678584985,0.4690665896295758,0.4161110498604986,0.39698671534411567,0.40734546447557196,0.5958869777075272,0.372335764062576,-0.28885884882124485,0.49470242189036934,-0.3448552147243497,0.7428683044449329,0.505228210644831,-0.00040085735309878796,0.3028701578478476,0.08265305801853011,0.43104823501125905,0.4233932548519194,0.564577579274184,0.373528082368958,-0.42254062297555606,0.5995405008352734,0.15566134884744717,-0.16258196331057176,0.6594474267657405,0.8860531470832861,0.32557200697940203,-0.33893884089768694,-0.39920994361015505,0.12018434210071904,-0.397266894346298,-0.13401265222336134,0.6876739987038042,0.5636123685798493
SN_pr_L,0.05044835161646148,0.2482786554345876,1.0,0.2500116015265467,0.29906514722192296,0.0976812531737484,0.22499059656939926,0.11057073195172741,-0.10935473617277555,0.5387737353530785,0.49681862170309105,-0.15788169539671332,-0.06516650309126426,0.6690593798364562,0.4064112108144103,0.3268281380717658,0.4542804956023192,0.19750123470665004,0.4056687843042137,0.08848694122327234,0.25830123403836913,0.384889814279516,-0.0016415382657267205,0.05652101992440437,0.21175818306471944,0.49221912992327543,0.10511247079859157,0.4884418343570907,0.624397636434809,0.2401264541742731,0.33078883467695314,0.5238784350736104,0.04665987820899792,0.30071952818177294,0.6959010827388172,-0.028816977804374592,0.5622325932151657,-0.10844239901325256,-0.1589150603652061,0.47547860719594937,0.3060758053855659,0.6016063342590656,0.07048885986000718,-0.019405312016882174,0.11028810023375736,0.33648210761909864,0.27656767638216195,0.4901206147878809,0.16838875647027188,0.2526481502697404,0.4167723339519046,0.1821738397769603,0.4583444876271361,0.22432389466327668,0.4094732356621941,0.387006505180827,0.17369603316517004,0.3477713163070876,0.48944714854772897,0.24209723494927604,0.4538491462430905,0.20736562952701093,0.31158970670251124,0.3838277694466325,0.3549398127900667,0.3898308451719245,0.24710001724773656,0.20449955111214763,0.42025125045707956,0.4684752897056093,0.4413967276370473,0.06147968025774332,0.6011413788863451,-0.232136350917774,0.0696457681325309,0.2825377605466343,0.16219556785710929,0.13771502959599247,0.3747708129092979,0.036211488032279214,0.2892152373065483,0.3532364439998972,-0.05829159611608733,0.33612041594637154,0.19926444848182334,0.5075762560780553,0.4666480486422703,0.25825637977743465,0.1335747312629712,0.03479689801224672,0.2968265892175338,-0.005099450504536833,0.2581549241923172,0.1500885490067945,0.17093120451137664,0.40016240884189225,0.6017668973927508,0.17085601202997028,0.5485252087955128,0.3481855400289203,0.01953190160217432,0.2479038134366583,0.30824411741064817,0.26090381093374343,-0.034587954169891126,0.48871057140668056,0.23505333660555544,0.4926170896257931,0.00852613921947438,-0.014462877077958982,0.2854902802299546,0.054064412648703646,0.40415292160260247,0.5149738402124951,0.5071304697644885
Amygdala_L,0.17127419207741404,0.8131849249208596,0.2500116015265467,1.0,0.039458686968662816,0.265393079520229,0.786632529752353,0.5774681139904809,-0.5210784421405608,0.5578641043921018,0.08939622414138945,-0.6432785881011771,-0.7050072195934789,0.39820588418423825,0.8099883023005215,0.47991328738478234,0.5000492309108819,-0.5038042072586397,0.819910649251609,0.5150419870121011,0.6186177196144704,0.6251595406457151,-0.5593361082984831,-0.46463707905468316,0.5670943265954841,-0.2519293343884162,0.46945586783206944,-0.15361678976097873,0.14114768397654517,0.5597816150574322,-0.35490253901062957,-0.26802044584661056,0.37918450406587734,-0.3524271470428287,0.5766586059837453,-0.6132626442053789,0.7585184205999873,-0.3493526462947422,0.3168074155504319,0.30645901367891465,0.6079055905672054,0.08075948431135224,0.48767125042601134,-0.5057692163248001,-0.07100048798094002,0.026188218796031826,-0.4026021254161038,0.5242855792833876,0.596414521201187,-0.289063395329834,0.8660609217192172,-0.5690391664626847,0.788091919475694,-0.13801867446733168,0.7817225382390971,0.9018476743617839,0.6006858438117252,0.6241963087596815,0.5696533918290337,0.8706876913138296,0.5252390540751815,0.1386658917881768,-0.46689500511763304,0.41325799794684515,0.7090369940844641,0.45399525760724807,0.6238707051087236,0.2063495578602486,0.7272673082110175,0.7515826628382893,-0.2061431546864393,-0.015729345092924566,0.35032696571050187,-0.30085969172319005,0.5646156849387124,-0.3836478578709124,0.6830077075737613,0.5777898112898602,-0.28531682206423026,0.5642443313123084,-0.34965578745319326,0.3836574341663397,-0.5005437229309049,0.6532100932097518,0.7002298803549247,0.5565894897615404,0.6039547437576782,0.8298149412712191,0.6972518990222998,-0.5561628572919148,0.5415183101982023,-0.5817542715635762,0.8416035498017044,0.7812600849327479,-0.1854040193715848,0.5333975667437194,0.05707373645309778,0.7415531021205533,0.4626446307604211,0.6511167117926289,0.5493005569358265,-0.4650756352148088,0.5874991737233558,-0.12214147685529633,-0.4672217311580401,0.6116073604171649,0.7084598432399605,0.17031572942905435,-0.5561707763755492,-0.5959488116876288,0.4957054003863876,-0.644984704157475,0.10432209575926442,0.8300297193284648,0.5227425463727192
Lingual_L,-0.28606936693770085,0.33492576132263807,0.29906514722192296,0.039458686968662816,1.0,0.31767862895160337,-0.26334463922718315,-0.18042562958131825,0.5336206249613619,-0.0059544659123358145,-0.022624615755721025,0.21788839610026917,0.30757400019642056,0.16514685929308795,-0.10444552190867666,0.13903166887909785,0.524634790044186,0.39298283030409537,-0.09173940243287008,-0.2113429536643014,-0.04531878109587319,0.5433701807059806,0.3857435255303719,0.4292926577385753,0.44863889735038764,0.5473750415713995,0.477238702048927,0.07066540686149833,0.5567020239910336,0.4519004956271252,0.47923445387881775,0.23716064628909572,-0.27410067246316394,0.7194091695911956,0.2810046275151723,0.27400332363834684,0.08732313414035614,0.6539733462744559,0.12237239265416916,0.7836462729372017,0.5328180608776218,0.2457812979026014,0.028572467300628762,0.5123224151947461,0.7284565053348634,0.5190982863471626,0.35371111364071117,0.3520695014147098,0.2538842429591667,0.7481935515773753,-0.003919435319161146,0.40429506637308144,0.05686005551504359,0.5072487295386874,-0.0780399836902065,0.12082883673751851,-0.3232602035163669,-0.14888559871091678,0.0026174535433078467,0.1523639811556822,-0.0615226664213927,0.5005197023393305,0.27792344898750626,-0.1355265768274602,0.002134585504283601,0.31342300039661436,0.0828323102522859,0.6702180527862431,-0.0767240690250093,0.3846476028715452,0.3512818619737684,0.530704750249762,0.4205469733319601,0.3527645555441188,-0.32640419996683584,0.43925045691483106,-0.04790517412553911,0.18784194839440138,0.2921425376425965,-0.380148516503524,0.5811039073303937,0.5992694695901115,0.48009665040863314,0.0869347611775631,0.02474276422315076,-0.07492903898821483,-0.1691711941444869,-0.20126566344066563,-0.31639754227757677,0.37828256234542196,0.12462037442711242,0.5006508719092927,-0.17578552317801516,0.0011300511433821852,0.5278366626269577,-0.11342235278822187,0.3012787274498372,-0.07663795482724932,-0.09067758078646546,-0.04947083171871847,-0.23521538496577896,0.36830321702396446,0.06378556079364929,0.898407264178689,0.6189467177827311,0.48815942797993395,0.2642603474701777,0.5106050926033643,0.36661071764409153,0.1287386257649623,-0.27509153047480417,0.24366467416506232,0.04065712715548982,0.07039830759450752,0.3604023314966832
Vermis_7,-0.5655207647116043,0.44326055140614284,0.0976812531737484,0.265393079520229,0.31767862895160337,1.0,-0.27333354084236283,-0.3889825488762122,0.06794006613404652,0.06989946226511314,0.0011400334519163862,-0.20261102127515385,-0.4004888301308076,0.2921169568699772,-0.06827067960252577,-0.23780133570154258,0.3295672661507712,0.16078057798638776,0.16684511343186265,-0.46909848767862516,0.1317963291561697,0.08373445309292064,0.26439137130231216,0.41820317520655326,0.5512556577119745,0.02833866248235236,0.2824127692937457,-0.15432631338443692,0.07998442405348388,0.5852848348444789,0.4373155416129095,0.1769674335694212,-0.2656143363602186,0.1285109220318017,0.21773247421458305,0.22901033671172238,0.45125962190727875,0.14469356960884225,0.28110062768099653,0.09096072291288158,0.3376579824695375,0.002548716198961777,-0.1667339510859518,0.3437319562285968,0.37841879656475447,0.2714929907687706,0.1244588064702547,0.5921648521441736,0.21664991243048884,0.2090219940618271,0.023392584569977098,0.1271218223854682,0.2036897747633228,-0.15107975706715648,-0.11338424952354126,0.10434805181172961,-0.4792126569197927,-0.16902836055677065,-0.3074414154390676,0.25519432633371864,-0.03302354606174492,-0.01586953334016783,0.24697846747227128,0.10819833452452048,0.026253019426394245,0.029051775279840975,0.5860505494872963,0.6309828519303907,-0.16701799899647124,0.19879972547357921,0.38843756549965164,0.10340866458566692,0.16131623727274907,0.06865400940850545,-0.5484568994631408,0.2500468976265813,-0.3318206552457311,0.2169651484436877,0.5190528574140658,-0.4961748358992281,0.33668885149687033,0.17569868587733053,0.4341660568562489,-0.004721992978309232,-0.3193129278943902,-0.04523665908113148,-0.329773622525206,-0.19347530418897146,-0.39602956206100975,0.21450120458705701,-0.3387632771148593,0.25580373770322273,0.15149852246992174,-0.08344081344096288,0.6506025777912623,0.18225765451753378,0.24015267449813382,-0.2794521822035019,-0.14349930604557717,-0.055559732753640664,-0.4675026872375229,0.23674471502633493,-0.21481701650518104,0.015068861842640668,0.24613342106018754,-0.06402198813085189,0.2132082626017688,0.19486865782049365,0.25978802333567175,0.2167759360885824,0.13815627343566397,-0.3314409928238641,-0.4314914341014279,0.21363753923135162,-0.06389275267202402
Olfactory_R,0.5254544991640329,0.5003091373043732,0.22499059656939926,0.786632529752353,-0.26334463922718315,-0.27333354084236283,1.0,0.7953499260260701,-0.5978633529790478,0.5655594204538986,0.13453496657058603,-0.5594038943515974,-0.5260612229573051,0.2500400127267977,0.8598548721283491,0.6471474938367862,0.23690983379086278,-0.6397456810760169,0.7226172322372011,0.7837071895198169,0.5159535765519804,0.5314314797772199,-0.7106994847137373,-0.716023163761589,0.21144840644088475,-0.31094621932670446,0.2499969835349368,-0.042483680907969584,0.07020956975499315,0.17507539869682684,-0.6433031663672197,-0.3679936843895197,0.5173765029275501,-0.48798947978832147,0.4318897570351388,-0.7583614932517293,0.4934595420134271,-0.4851983868242824,0.04132439549825251,0.12827816236448794,0.3729980852620544,0.09638233074517705,0.5842316297761907,-0.723007555605909,-0.34776129670923406,-0.11019357433917014,-0.4973680049066513,0.17265046014405155,0.4383643335798406,-0.4642114545213361,0.8604784550903903,-0.6902723245774718,0.632661730899165,-0.12625172017585395,0.8577441802488716,0.7930132565295668,0.8894564228396324,0.7255632629002753,0.7355041374512044,0.7039828152810977,0.5082837736681322,0.16616062789063082,-0.6267581458791878,0.35725779825721626,0.684976427885037,0.4055187127666275,0.25105803645504277,-0.19169359786351828,0.8533972458193172,0.6149240830393589,-0.4343994681213693,-0.11519243101608315,0.21663698526303618,-0.3521424254622646,0.8888906048798357,-0.5480342164800729,0.8543004466781026,0.45053622607284954,-0.5655055641209548,0.8482218074167893,-0.5801902498251125,0.20285666835965285,-0.7731014399140861,0.6868582011022455,0.8565613038101004,0.5686087360541061,0.8050787131456532,0.9534631894985348,0.9275640683138136,-0.6448457230442712,0.7063695165584131,-0.7712837129002883,0.7471324601946688,0.8381187020782699,-0.5826349421258414,0.39148583752794824,-0.03758709648621622,0.8960118073291341,0.5736504638954469,0.6864185318689255,0.8039078970145984,-0.5998239529916153,0.7244763519549138,-0.24472020749915466,-0.6702587124763564,0.5663695860729454,0.5363440936193886,0.0178392038521118,-0.6858291613162718,-0.709062481344541,0.4299444953822216,-0.4660770004253905,0.3278248144105018,0.7175749408088854,0.5515615127428953
Thal_IL_R,0.7263328222772774,0.4823613577782266,0.11057073195172741,0.5774681139904809,-0.18042562958131825,-0.3889825488762122,0.7953499260260701,1.0,-0.4832043005740582,0.40627745706821333,0.03540671212669959,-0.4654527936150659,-0.2226238333687585,0.07361141615779047,0.7750042665898665,0.6874903380973576,0.18552229109694232,-0.7589306606847407,0.5332429584363549,0.81487321554559,0.4390643638487134,0.5709034905893874,-0.6445464629490851,-0.7470585598932792,0.3033832220657347,-0.16053734958560592,0.45124722500437126,0.18154657198847882,0.06724350793361589,0.30972691224963383,-0.6307837514032958,-0.31234506255313643,0.5948339818113066,-0.3690663152157236,0.4024061659256473,-0.8507725581980441,0.24619766853495553,-0.17846704351414966,0.07713996814432968,0.2865120101179072,0.4128272921717247,0.2560587125366537,0.3610683788979202,-0.743402643124847,-0.1369836200269353,-0.1465460346259589,-0.6521152917644099,0.13882244105997793,0.6247437483474632,-0.427677359251823,0.7298202790840305,-0.7315965565400575,0.3522147652702344,0.2007325054946074,0.790117239159798,0.7362045030637877,0.7435453103974466,0.8443664611230088,0.7248945461147446,0.6990811815238521,0.5750966209502121,0.2031259508220797,-0.6209388898614411,0.39686539128108894,0.7708252023025906,0.5856584956067549,-0.09512579230625628,-0.28545112640378817,0.7892912922061798,0.47318774245989903,-0.42320998623812073,0.019197107182750757,0.16726122740108315,-0.16998526066817335,0.8698268185995991,-0.5171062685355078,0.9270979653301037,0.6558893583611068,-0.6197204441796493,0.8076120216635663,-0.582425489278061,0.30758052025549265,-0.7437744619530635,0.4599200067904823,0.7004951704615244,0.5828120438418936,0.763307347563428,0.8027260355284088,0.8287465565199384,-0.5254697329551414,0.830586415572611,-0.7820173485281701,0.680343903986843,0.541566460189215,-0.7201746765162415,0.10691644569517948,-0.04849825612866194,0.7045078479714166,0.6425860948716831,0.7809279135240169,0.9210003795355478,-0.7239174727706241,0.8039428019800193,-0.0938808913253093,-0.6113803179409232,0.6660899960995597,0.6948968300057727,0.10534671055655559,-0.6830011582231782,-0.6502976994749261,0.14554192048583275,-0.14611098962997948,0.32353377836931657,0.5286797793112085,0.5801162606682012
Occipital_Inf_R,-0.40361423651754497,-0.18345962269644525,-0.10935473617277555,-0.5210784421405608,0.5336206249613619,0.06794006613404652,-0.5978633529790478,-0.4832043005740582,1.0,-0.31664011594872526,-0.11109954334796383,0.5678565488877413,0.6519875398067727,-0.30205227320232236,-0.5218284771934856,-0.14602715993076146,-0.035663118279848215,0.4830180495547279,-0.510230122590165,-0.42267120767220384,-0.5024457532779909,-0.08462584903988087,0.6947724652303595,0.6782663856817368,0.038643642078017106,0.24369286362081308,0.14212783643429752,-0.1442384860906545,0.15756310305419263,-0.04221612025188943,0.387518309643554,0.07199272530291495,-0.41494545199157584,0.6270857479344932,-0.22288852829857544,0.5850467819419573,-0.4942204851844768,0.7255010054270795,-0.0034320594119105195,0.09117787075114153,0.013817749789945585,-0.04068672403519506,-0.24820927027624562,0.7422425919417557,0.5487585302615934,0.4244856429348125,0.3124415494225228,-0.11483264179847974,-0.09101508315840544,0.7222824090386898,-0.5049501481695483,0.49547460402081933,-0.5138100341438535,0.3787604603600054,-0.5705199473577027,-0.5494932355255622,-0.629496968294405,-0.45170324561363817,-0.44000004734596976,-0.4284621095489322,-0.5688387797546206,0.18389689092657244,0.3256981229397684,-0.4689365270602736,-0.5385845501015005,-0.09290491725276376,-0.36151761536768434,0.32269146260841486,-0.4911927800804064,-0.2827894613376343,0.29432964410719625,0.36361013511060525,0.027634123947351798,0.5232685393883727,-0.547425902797185,0.5545635931178228,-0.426254229362793,-0.1822599711964353,0.21230454926805054,-0.6173930554923344,0.5284734161188211,0.04081893671945012,0.7767115534468011,-0.25418221544735825,-0.3562657787745529,-0.6033707170071944,-0.5313802086524023,-0.6225487159387488,-0.6181691317315322,0.601531627985785,-0.2527281611207298,0.7329767791151419,-0.6766847841444299,-0.3732926878880508,0.5159945237643845,-0.5041058207773746,-0.01395972714864038,-0.43600759324223165,-0.46712565126442007,-0.379020100696144,-0.47938976893811563,0.445168603500216,-0.27274222759090866,0.6392691171962946,0.8045032162329455,-0.22917231020177478,-0.22734086255085287,0.15489357005832072,0.6712278938792183,0.4137220864463867,-0.6359623320363746,0.536742325171348,-0.1881922318559807,-0.4782653529368274,-0.14609504423288408
Thal_PuA_L,0.1692702411934758,0.43096755087683564,0.5387737353530785,0.5578641043921018,-0.0059544659123358145,0.06989946226511314,0.5655594204538986,0.40627745706821333,-0.31664011594872526,1.0,0.1942425711672678,-0.4467931615985553,-0.43915131565010646,0.3369031701605691,0.8198647716564885,0.725405614037289,0.6200731473265338,-0.19546986057448446,0.768360670401098,0.39034760969774407,0.34713301295152615,0.5505409792192979,-0.10669700041826109,-0.1172773251367002,0.20355612538889928,0.23994985442725658,0.10397692781891524,0.3822233585397208,0.5225855393841633,0.29537515479073284,-0.13023582431454603,0.11634202772576825,0.18010956458785732,-0.006944459787040833,0.7186940714036363,-0.32615941205675325,0.6410488267047397,-0.376497185206548,-0.04226123633020769,0.19727180001649594,0.5970762606247385,0.5643873443252969,0.265388198896549,-0.17226673962148426,-0.2714492293340961,0.5193118989850082,-0.11067696977229444,0.538664704090716,0.23085325461753056,0.06553670771594602,0.8048335142580122,-0.3172991027559641,0.502958909277143,0.027835510365432588,0.7951033899955996,0.5539597170248424,0.42331828903726776,0.6996593215655045,0.6375997004392843,0.5072165160410455,0.3631687714225825,0.3068687549642246,-0.14080869933097603,0.37920490271948676,0.5865850258124153,0.602841913215916,0.3544725140340119,0.18702546689732877,0.8119553255435479,0.7522047624322435,0.14793707426630645,0.06001418975371621,0.7204554322145398,-0.21428300499300365,0.36654671216324697,0.07325648910144467,0.5113104187905324,0.2870595996728301,0.14789358645725864,0.32598919341667565,0.06225143474526309,0.285424689262867,-0.25633726385397265,0.5918758716912914,0.39750928022060544,0.4788801537522325,0.7958597987878182,0.5909420192004997,0.43805952070365445,0.03845765992537314,0.5834676531191779,-0.3093336895615975,0.5078742292205936,0.4458441568921248,0.02367951919954331,0.37695653457689704,0.3440043000787662,0.41778014089514726,0.4381163248940596,0.7489438588471945,0.32587090986569783,0.02501085672249056,0.7201267348914074,0.009804487462922153,-0.4410001337745536,0.5329549734238584,0.38247854325745123,0.5983751053228651,-0.057940942472738524,-0.35374069986976975,0.44838398031951815,-0.26208883138141487,0.320141145004782,0.8545165189173805,0.6443870382357154
