,Thal_VA_R,Insula_L,Cingulate_Post_L,Rolandic_Oper_L,Precentral_L,Thal_PuL_L,Frontal_Inf_Tri_L,Vermis_10,Temporal_Pole_Mid_R,ACC_pre_L,Precuneus_R,Heschl_R,Occipital_Inf_L,Thal_LP_R,Fusiform_L,OFCmed_L,Vermis_7,Calcarine_L,Thal_LP_L,Thal_PuI_L,Frontal_Mid_2_L,Thal_IL_R,Cerebellum_Crus2_L,Putamen_R,Cerebellum_8_R,ParaHippocampal_R,Cerebellum_10_L,Red_N_L,Precuneus_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_R,Thal_LGN_R,Temporal_Pole_Mid_L,OFClat_R,SN_pr_R,Thal_PuA_R,Angular_R,Cerebellum_Crus1_R,Cerebellum_8_L,Frontal_Sup_2_R,Paracentral_Lobule_L,Frontal_Sup_2_L,Frontal_Inf_Oper_R,Cerebellum_7b_L,Raphe_D,Thal_Re_L,Amygdala_R,Cuneus_L,Occipital_Mid_L,ACC_sub_R,Cerebellum_4_5_R,Thal_PuM_R,Occipital_Sup_R,Olfactory_R,N_Acc_L,Frontal_Med_Orb_L,Thal_AV_R,Vermis_4_5,VTA_R,Lingual_L,Thal_LGN_L,Parietal_Inf_L,Insula_R,Vermis_8,Cerebellum_4_5_L,Thal_MDl_R,Parietal_Sup_R,Supp_Motor_Area_L,Thal_PuI_R,Temporal_Sup_L,Temporal_Pole_Sup_R,Cerebellum_9_L,Temporal_Mid_R,Cingulate_Mid_R,Vermis_3,Cuneus_R,Pallidum_L,Pallidum_R,SN_pr_L,Thal_VA_L
Thal_VA_R,1.0,0.7796558269539737,0.38371436449068236,0.4814830396292717,-0.5417042946201955,0.5942551025027242,0.7354644634470309,0.1867832865658356,0.21063591366410195,0.6052317923859531,-0.31542761621769133,0.38369159358437105,-0.23715282399550666,0.43068483157875215,0.5610581596226508,0.6264639502857821,-0.16902836055677065,-0.31212740238850767,0.2729983666398365,-0.12688675130247937,-0.11660003399188223,0.8443664611230088,-0.545875136260558,0.6603489848841892,0.5741673819794693,0.7616015862096049,0.5702868517449006,0.565178017183617,-0.36122456306317036,0.4589448326132562,0.6655122938248649,0.8471339547599365,0.47296022622351713,0.2401633282910734,0.2822511848916711,0.5466550644485901,-0.4116317183744552,0.3388498045577071,0.6070427145454945,-0.4048603438650762,-0.5337277912849792,-0.11398860153237322,0.4773618050448528,-0.5551974891738464,-0.2089229676506539,0.48043370834054966,0.6135731057558884,-0.25668652918776275,-0.5711234472451595,0.6819374364110479,0.4082283618572417,0.5240694761043638,-0.48761854328917825,0.7255632629002753,0.2582452104160498,0.2466912454545649,0.7343818397514551,0.6627868581239393,0.5008518449169627,-0.14888559871091678,0.6515986041659576,-0.4835750739148492,0.6251782808110323,0.5873879730748417,0.28315376078775284,0.7251891560868055,-0.6885872781359677,-0.3679339056505041,0.10375781121633058,0.5730796423479521,0.5286114227593208,0.38130453684963383,0.1757470235969033,0.31375713486438234,-0.26059609434460435,-0.43570090815267953,0.8359276887503605,0.9011457871115852,0.3477713163070876,0.4649515979560395
Insula_L,0.7796558269539737,1.0,0.39517720468445655,0.7777358178316931,-0.4117467876257463,0.6701120577927382,0.8169967671603078,0.36345119281577365,0.544157710079808,0.6528222869134164,-0.2366727658092059,0.5026802108459315,-0.04499128379332334,0.45323959929396845,0.7352835500001503,0.6711915904317229,-0.3387632771148593,-0.0916387613366906,0.4700263810709984,-0.07626472398524915,-0.16479839373010413,0.830586415572611,-0.3611256255463457,0.5725153415404628,0.5678332811403852,0.7013412704187535,0.3693832740482709,0.5204663275493372,-0.23060725652399866,0.5123298737770833,0.7288401706233776,0.7551478135814704,0.5477610490188338,0.07547730447114367,0.09393794088516512,0.367991112887819,-0.38010002809698656,0.30123646261746434,0.6982130558859783,-0.4182479712874196,-0.5662773980718148,-0.07878066740603357,0.5463337779164711,-0.4363099192616999,-0.006341156798497315,0.5201779440109839,0.5916860699279732,-0.058896211993294194,-0.46227366929027763,0.7503453516270043,0.5731914793813131,0.48831291306857266,-0.48685354488010635,0.7063695165584131,0.28527896301878924,0.3835195863795261,0.7588123463816256,0.8016797917416704,0.35244133764716773,0.12462037442711242,0.6808430802389068,-0.42590067513593144,0.8678343420584624,0.48217027676286545,0.5091209832123784,0.4845567839977476,-0.6931162246936218,-0.41188650230831136,0.18529749817820754,0.6727762287607585,0.7331141585417142,0.4806257230607443,0.2142927750157498,0.2949659687469975,-0.059916134418225256,-0.4501885539846705,0.7335200299452668,0.8113074660544711,0.2968265892175338,0.2484809290755905
Cingulate_Post_L,0.38371436449068236,0.39517720468445655,1.0,0.5220404330329041,0.1654898327212097,0.5763338885569106,0.40261332971899866,0.40397908081597256,0.05551124519532517,-0.06152697449510059,0.6230108347645661,0.6814759321407051,-0.012224396252056006,0.589029481631264,0.4697209206905284,-0.1597281027804887,0.19486865782049365,0.5503821757127096,0.23896957160557203,0.49152047670847543,0.3967726622155231,0.10534671055655559,-0.12317027571235793,0.661572836877984,0.15808406017852722,0.21728314525128767,0.2866753781152038,0.22722778376676678,0.5503352845405755,0.4738341569075568,0.005784782081934005,0.3385097879489696,0.06867189587248325,0.0959761917766867,0.33141496666828624,0.6734682793069727,0.39357946633264634,0.2118043216687482,0.0696183557585304,0.3036471674773428,0.13130380271910994,0.33628171416266506,0.6789827022402251,0.11309048288883854,0.1296912905898074,0.023608583313415085,0.24209976908962097,0.5580386432888331,0.31343623338970916,-0.07834873979654203,0.5022710881866556,0.7333832991554655,0.3440046899244394,0.0178392038521118,0.2191604397873037,-0.05208679172212665,-0.0036544128501536494,0.5111039097056794,0.19013061340433568,0.5106050926033643,0.6321328944852624,0.3860525684420923,0.5736252563373585,0.20863992321663774,0.528342840699,0.3466302813616677,0.05630293936132456,0.27944121838743435,0.647932877002409,0.5919516385775169,0.0483880611452618,0.21719344707258798,0.6213210323062471,0.8108717559808335,0.5020142425421886,0.39076338699690105,0.383789859778141,0.22855487729985904,0.4926170896257931,0.6153420218909631
Rolandic_Oper_L,0.4814830396292717,0.7777358178316931,0.5220404330329041,1.0,0.05686380631250565,0.4887418363934583,0.6822383630317529,0.4847772419261329,0.5365104529240796,0.40525488021249845,0.11527739173718259,0.5075227998127886,0.06392050343833797,0.4107201865626899,0.6865325517561992,0.3838075714900284,-0.38836154415073454,0.2180886462682443,0.4462623098986552,-0.004379307956328348,0.19277993560659235,0.5367576443216922,-0.003139345361411053,0.45618760270387526,0.2683700982110026,0.33706410810044907,0.20689871957172798,0.36891282575944717,0.1526053463731581,0.39671142264648535,0.469494378186481,0.5446203421079443,0.2284056985362344,-0.019062734942676175,0.11010435239432041,0.3312146089949359,-0.13634702183941871,0.10557152231788637,0.4306333314859296,-0.043249048388918514,-0.2760883448342787,0.29516273951271493,0.6470986984774155,-0.14362689232491083,0.24192067311241056,0.30823591719824267,0.267413064921277,0.2386963891068894,-0.17756625458491343,0.44000623614390433,0.5766233545192787,0.4059991814498744,-0.2475557483544756,0.32858075621745875,0.2986677514684758,0.2384283332353858,0.47311000728138414,0.7688908361165857,0.09808077970402942,0.39529966000496675,0.5484642446141663,-0.07082890917679059,0.7507913242350638,0.21458169500721125,0.6859560834419449,0.20932318910344822,-0.4026593623796015,-0.045484242367162274,0.26630374960230435,0.5769079010117294,0.4729194044589541,0.26530203070970343,0.1334288161398872,0.40599017099079,0.29120548110284294,-0.24553865861400268,0.46678824761705817,0.47331604290285845,0.4112321264035938,0.13867896236656307
Precentral_L,-0.5417042946201955,-0.4117467876257463,0.1654898327212097,0.05686380631250565,1.0,-0.34608941909853314,-0.15299789776637443,-0.16952610101715235,-0.10255801380382841,-0.3194433040059045,0.6576471856371421,0.21290462163427745,0.004139128490518613,-0.06009574840712182,-0.3158975062910935,-0.4671679636095407,0.1244588064702547,0.5700301449311047,-0.30478420085178926,0.16922685997574222,0.678206723597386,-0.6521152917644099,0.4257018246895334,-0.10821999112898248,-0.6074887418770101,-0.5045130763892132,-0.317505904357579,-0.23630792183941104,0.6610672949216075,0.15596174081499747,-0.4036323945804243,-0.34839071920999853,-0.2687506015761898,0.1933270139055004,0.014096337493317153,0.11151415275058268,0.41571439601653143,-0.32720491629763093,-0.6264548699439346,0.7912758073115643,0.8489144740286783,0.7342295128987041,0.14405715481579587,0.4212752559370652,0.11971112373495717,-0.5242146623170495,-0.2949809623245125,0.49107743935611176,0.5535562194486552,-0.487370792621921,-0.02386511025807877,-0.09084384853023177,0.5448764798361274,-0.4973680049066513,0.013308778189136092,-0.03418242900839977,-0.6634516220012601,-0.22675281470967504,-0.3098404277963239,0.35371111364071117,-0.20897824750722563,0.6773230343310743,-0.14967109993367655,-0.4587833029895843,0.09911854687107588,-0.21421214611570166,0.7107605165157346,0.8532192816507421,0.12905369050989454,-0.06082302322118361,-0.27191922969301513,-0.45881509157967265,-0.057072585037471014,0.26028271230819955,0.45970342944273335,0.5987199625000418,-0.5137980189044372,-0.5941505626410346,0.27656767638216195,-0.051304245298238856
Thal_PuL_L,0.5942551025027242,0.6701120577927382,0.5763338885569106,0.4887418363934583,-0.34608941909853314,1.0,0.5070816507660284,0.4439521509052939,0.2546622072709148,0.23888499330595775,0.05477119560901534,0.44991895220121175,0.038248640677939,0.7896819364238129,0.6246652713777365,0.1868395146934914,-0.02339639726582528,0.17509954064052635,0.6195343896603718,0.4272420337464567,-0.1201485005244425,0.4732160147293939,-0.30177590202981563,0.6326061941096306,0.43426011844819146,0.5269944885432222,0.2839087929883075,0.19026931220220078,-0.012399608949181908,0.3703598985778471,0.33010071448868394,0.6440156260447001,0.37235834814095914,0.03382162757026225,0.22718475477117958,0.6027403126435804,0.08783500885666108,0.3453778951947997,0.41249960509234973,-0.327353059205899,-0.3380155245935675,-0.1894347260013153,0.47113611553072676,-0.23508843741641192,0.039707142695686135,0.1757913640882889,0.4506468649896385,0.23714441095763966,-0.008446464066101828,0.2981248295125135,0.4621262463239762,0.8604814236717738,-0.03221596809606623,0.4486693486901398,0.23348864186200063,0.187898044665287,0.4141429256666996,0.6103040111913661,0.24864483582222238,0.2351280514917353,0.77533594077225,-0.06143073557718271,0.7173935611549658,0.34612391957540595,0.3360868182157168,0.500819219020897,-0.3276717284754127,-0.3086001511679235,0.6966596575740409,0.6788747742622864,0.3638445474794387,0.38139018145930853,0.4946734661865311,0.46241367329656374,0.25027606574842515,-0.002239879939458387,0.5169768128107003,0.4895672139886914,0.3587201316815326,0.37609510378234345
Frontal_Inf_Tri_L,0.7354644634470309,0.8169967671603078,0.40261332971899866,0.6822383630317529,-0.15299789776637443,0.5070816507660284,1.0,0.11861049700224337,0.4040412459557977,0.7582791717407018,-0.1710535753875497,0.48411616295883714,-0.4560335064407536,0.49919234396278317,0.5061136864720733,0.6459916186630986,-0.3074414154390676,-0.1560760291161914,0.3809214921495115,-0.08914556043705717,0.180463717084372,0.7248945461147446,-0.4193283087525311,0.6691972177098796,0.35688874349333033,0.7255153289959577,0.49031449018547674,0.6627575581997188,-0.18619295537659186,0.740829188534196,0.822557810924934,0.8308136012882027,0.5963077928471184,0.4925399195384557,0.3095854606552084,0.4175746833276463,-0.45367477939994494,0.1548057189362543,0.4472571111160938,-0.16149293964716754,-0.2840858316264148,0.24216321250336936,0.6083076898814751,-0.5151792596886283,-0.23462431326413602,0.3655851619370822,0.6716180757369362,-0.1861700858696944,-0.5489074405579835,0.7476897960480834,0.5339019137697232,0.38927603735518335,-0.4927809679235259,0.7355041374512044,0.3073156834814011,0.3959854692384009,0.6396927924244453,0.7065440267972068,0.519308064790385,0.0026174535433078467,0.5389828956922402,-0.37784569081283165,0.7937811017965154,0.3968235319703016,0.4240812038551448,0.6508696035627507,-0.5373035968601582,-0.09977962284503242,0.0050331167096469235,0.7021548816585744,0.7111719736811872,0.20922050678740858,0.07504834374668214,0.3888092222412431,-0.12423788671357518,-0.3944158094530907,0.7648235928230769,0.8009410916081867,0.48944714854772897,0.33115616195497327
Vermis_10,0.1867832865658356,0.36345119281577365,0.40397908081597256,0.4847772419261329,-0.16952610101715235,0.4439521509052939,0.11861049700224337,1.0,0.3691731913255222,-0.15915939243305377,0.2577711811668458,0.1447359334152721,0.3213023476805814,0.22636135667542456,0.6790897485967244,-0.0802950324224856,-0.15107975706715648,0.37104628762986247,0.4516880072729962,0.2366740582858034,0.07060461391808118,0.2007325054946074,0.17849590422585337,0.28405850385672726,0.38559025402566643,0.009615777441161969,0.2086563844110687,0.017714935283265332,0.2963784207379823,-0.043920852708537635,-0.02857391156881811,0.11382354343291302,-0.17268628547436934,-0.412947661415475,0.10330367613565294,0.07057841006797443,0.3089881023192946,0.20215347696809668,0.49271372776549943,0.03901939250551966,-0.25330852779051494,0.020565134330976356,0.37084941910152325,0.2857020565099354,0.5892621153815497,0.18522193689517882,-0.1449978245267934,0.42158415971176827,0.19367817278614133,-0.045357757207222016,0.45065285969157454,0.30823644469583283,0.14146082043544997,-0.12625172017585395,0.20207190671453035,-0.1429082647290612,0.18437287415850676,0.4465003925623268,-0.05215063141016743,0.5072487295386874,0.3747476592887021,0.1483308495826711,0.3402482021983634,0.06144204720024484,0.5986363557016376,-0.16432804304392631,-0.11420857716881438,-0.12114379583415824,0.4430628259290673,0.11231224110731028,-0.002544837405125491,0.4906231745576999,0.391760419656899,0.24862917826105999,0.6015539145282887,0.009900568843135017,0.17733129045773574,0.10864337382185706,0.22432389466327668,0.07402906599991936
Temporal_Pole_Mid_R,0.21063591366410195,0.544157710079808,0.05551124519532517,0.5365104529240796,-0.10255801380382841,0.2546622072709148,0.4040412459557977,0.3691731913255222,1.0,0.4821691223531889,-0.24710206874662757,0.1345363916612322,0.17258591843287194,0.16111046972531837,0.43303975625950447,0.45083102347846626,-0.45761250459957675,0.01577522581229064,0.4345858746363369,-0.1627294902354399,-0.16973392055108782,0.4504331051320883,0.15310568441868985,0.052289337469654626,0.27813684233594926,0.1929931692795202,-0.11069401047913514,0.04013189858947567,-0.17168289035331447,0.21291491193104842,0.46962712565764975,0.2858375968048873,0.3966459488238314,-0.22336237822021623,-0.16631629838918538,-0.08022088055043694,-0.28740009827454993,0.055893640753221494,0.5171964320713293,-0.22021686567159185,-0.41900290709749743,0.07139304473833141,0.12643406044948505,-0.041724195482551775,0.18250793110467003,0.3905554977070967,0.20844822510665964,0.08791388078041794,-0.20761911805552502,0.5287139833027413,0.27626951567745306,0.0960113843416758,-0.3567271444012693,0.38269441520495334,-0.029638208795649764,0.4094156455812949,0.5167495703935966,0.38497178536675436,-0.11139145232152337,0.20838956532802289,0.2220417079274402,-0.2606398405211638,0.3648365394086415,-0.05224435274630611,0.3237118783219717,0.02188881308218216,-0.4241251581988946,-0.2956786830006526,0.10957903589897401,0.25984891534010296,0.674526516988046,0.3258703841831172,-0.04917195180477288,-0.12018238840295695,0.13411453157081843,-0.38638856462854937,0.14352273484090716,0.28884735599245176,0.11657070745406664,-0.2596094585059527
ACC_pre_L,0.6052317923859531,0.6528222869134164,-0.06152697449510059,0.40525488021249845,-0.3194433040059045,0.23888499330595775,0.7582791717407018,-0.15915939243305377,0.4821691223531889,1.0,-0.5654590826724188,0.16762535730603867,-0.403782583870778,0.2524642193113948,0.2624884366440375,0.9021422068157309,-0.4792126569197927,-0.51228917555549,0.30496576430228073,-0.388645259137951,-0.25099606259894686,0.7435453103974466,-0.38123662447186346,0.2787862461393594,0.19291662638505094,0.6842247278163269,0.2875695004056365,0.5312867832902779,-0.5898998278106263,0.4885128323245089,0.9252324721503575,0.7439973509719048,0.7533649574117257,0.3912140969614733,0.14704756734471397,0.14000925560466618,-0.7645618459180238,-0.07398743867265917,0.37100752372907897,-0.48241205891261846,-0.46467281694604207,-0.08288314481150479,0.08159746867047173,-0.5922441942930028,-0.3765762716513425,0.4661481940887519,0.6855948671861941,-0.527095686282372,-0.7550716770277716,0.9373017977537048,0.24260074121830283,0.08639956103349393,-0.7757624223986846,0.8894564228396324,0.08136949881769623,0.595343389122759,0.8035663620489649,0.4724796162876888,0.4144403757913301,-0.3232602035163669,0.24766302951980293,-0.6612898709356397,0.4412132985010917,0.25422830052552814,0.10136767006512609,0.5847021554647455,-0.6442730699590248,-0.4274082809359051,-0.275692931159822,0.4835559108975283,0.8661748035991695,0.018151171668378527,-0.3316656875071524,-0.13471731269806453,-0.45701221386043933,-0.6741034293122129,0.5721246674438195,0.7562439948294609,0.17369603316517004,-0.0503687784928596
