,Cerebellum_Crus1_R,Temporal_Pole_Mid_L,Heschl_R,VTA_L,Putamen_R,Vermis_7,Thal_VPL_L,Olfactory_R,Occipital_Inf_R,ACC_sup_L,Calcarine_R,Cerebellum_6_R,Thal_MGN_L,Frontal_Inf_Orb_2_R,SN_pr_L,Thal_AV_L,Thal_PuL_L,Cerebellum_8_L,Cingulate_Mid_R,Frontal_Sup_Medial_R,Rectus_R,Thal_PuI_R,Thal_VA_R,Thal_MDl_R,OFCmed_R,Olfactory_L,Precuneus_R,Cerebellum_7b_L,Frontal_Med_Orb_L,Caudate_L,Hippocampus_L,Frontal_Med_Orb_R,Frontal_Mid_2_R,Thal_IL_L,Cerebellum_4_5_L,Thal_PuL_R,Cingulate_Post_R,ParaHippocampal_L,Parietal_Sup_L,Cuneus_R,Insula_L,Thal_LP_R,Precentral_R,Thal_PuA_L,Vermis_10,Thal_Re_L,Postcentral_R,Supp_Motor_Area_R,Thal_LGN_L,SN_pr_R,ACC_pre_R,Rectus_L,Frontal_Inf_Orb_2_L,Vermis_8,OFCant_L,Temporal_Inf_R,Pallidum_L,Insula_R,Cerebellum_7b_R,ACC_sup_R,Temporal_Sup_R,Cerebellum_3_R,Thal_VL_R,Temporal_Inf_L,Cerebellum_Crus2_R,Cerebellum_Crus2_L,Frontal_Inf_Tri_L,Rolandic_Oper_R,OFCant_R,Temporal_Pole_Sup_L,Vermis_3,Frontal_Inf_Tri_R,Vermis_4_5,Amygdala_R,Putamen_L,Vermis_6,ACC_sub_L,OFCpost_R,Thal_MDl_L,Lingual_R,Occipital_Sup_L,Occipital_Inf_L,Lingual_L,Vermis_1_2,Occipital_Mid_L,Cerebellum_9_R,Thal_MDm_R,Temporal_Sup_L,Thal_PuA_R,Calcarine_L,Occipital_Mid_R,Thal_IL_R,Temporal_Mid_L,Precentral_L,Hippocampus_R
Cerebellum_Crus1_R,1.0,0.223836631986121,0.3674645763313112,-0.0074070464797859285,0.4565296671550457,0.5512556577119745,0.29615669166668074,0.21144840644088475,0.038643642078017106,-0.03835300660369712,0.23958503164282077,0.8023221444668307,0.2484535797083473,0.04366100205503094,0.21175818306471944,0.44987517014949985,0.3453778951947997,0.5628420517269189,0.40086592467625337,0.14025885510336278,0.21237742701653728,0.2044290849008092,0.3388498045577071,0.30567342318394997,0.18978491873693965,0.31115425041941835,-0.0871667572085569,-0.19302076623037873,0.04592046318348771,0.2721606534500485,0.508202353720709,-0.06808215138387326,0.047961070322067555,0.4512256338112837,0.4432937708098486,0.184298626305898,0.4714485883641913,0.5469008524050869,-0.3820153165244156,0.12731997963519612,0.30123646261746434,0.20960947876766578,-0.22686401318015803,0.20355612538889928,0.20215347696809668,0.30239629709739774,-0.3282810567198436,0.025859394110495076,0.2200533418450878,0.23895745879550426,0.22838956244838687,0.2422975824612529,-0.0015997859681018448,0.790817863530127,-0.15509256818509606,0.8643266991227851,0.4503178347413804,0.4055392986631293,0.12542924338022587,-0.08141653792818397,0.5778202626142964,0.028801595369850778,0.34782056280683854,0.7508888987860616,-0.2028156921537215,-0.3778673265060541,0.1548057189362543,0.007483282284270771,-0.1723425442277667,0.20354629814370892,0.024105755502238684,0.17897491842366645,0.501850210591202,0.4488219296894167,0.33167117283049946,0.8704077325923858,0.09373946043020505,0.32905032176080395,0.5212602582551822,0.22939575760474484,-0.19650928140180168,0.100654812150803,0.44863889735038764,0.5495647768306703,-0.10476199088668789,0.575006755810318,0.36244556889336293,0.4510753947054172,0.061908135928351045,0.19895182341755704,0.02821360003535755,0.3033832220657347,0.6289821203789685,-0.32720491629763093,0.40323547869826737
Temporal_Pole_Mid_L,0.223836631986121,1.0,0.35207278279113685,0.17919600382868484,0.33971703045023016,-0.08344081344096288,0.675242124124498,0.8381187020782699,-0.3732926878880508,-0.4521481037762591,-0.2177536629141521,0.4141787236235026,0.15473229626675153,0.7253432321159209,0.1500885490067945,0.5180165298891427,0.37235834814095914,0.3189640937863319,0.0843425090544311,0.02062400399014278,-0.2333083988783964,5.9947721474234746e-05,0.47296022622351713,0.6783216398537772,0.29806162949586607,0.7758557587243162,-0.35701242250521187,-0.44244124003277263,0.6675350151229883,0.6950298729073827,0.651790494266597,0.7008532357692643,-0.3346009841220418,0.5102793870295771,0.1969409131794153,0.2214922688337824,0.2656092019509548,0.6951183338700314,-0.5006652520093601,-0.2729621659013506,0.5477610490188338,0.41082772278991986,-0.4784625601751831,0.4458441568921248,-0.17268628547436934,0.4181772895153182,-0.38448039976300913,-0.4648549644054393,0.24928349924229792,0.22586484604625565,0.7541561182070302,0.4276961746025302,0.6760803010473166,0.3666594577469787,-0.5625880294955955,0.505228210644831,0.49224965139269694,0.48365290835471303,-0.3720033730595279,-0.2532819889814372,0.5349928517815437,-0.055482442944225475,0.7081199969281521,0.6002558623661687,-0.5260566622460373,-0.36528526105455505,0.5963077928471184,-0.28433582519136674,-0.5850041453279682,0.8800971222349078,-0.29678102256938294,0.5223413822262633,0.5016495254671045,0.8411192620178377,0.19446701738514427,0.34709935603727804,0.775483784137376,0.6554796520220945,0.3641337343141354,-0.03456745721300278,-0.48212910533620507,-0.25110755063717755,0.0011300511433821852,0.3646062783039313,-0.44473687464816547,-0.16274459512713782,0.5058497251422674,0.6529190984976998,0.19946085717569567,-0.13609002159086836,-0.5190123354281105,0.541566460189215,0.4177378728859349,-0.2687506015761898,0.5956031166177123
Heschl_R,0.3674645763313112,0.35207278279113685,1.0,-0.17838896889480013,0.6552204539534073,0.3295672661507712,0.48497788107498213,0.23690983379086278,-0.035663118279848215,0.28735821543697027,0.45583613712882237,0.4000521451413531,0.21922310435118675,0.14471186703873834,0.4542804956023192,0.6099552746013591,0.44991895220121175,0.13942697539644713,0.6910431053572111,0.5227598307231411,0.3709072432367147,0.48156617968002646,0.38369159358437105,0.5299466252293628,-0.01787238428169547,0.306608192955378,0.3969225917750518,-0.016684536088035242,0.2919927082825231,0.5151083572216304,0.6443355463367659,0.01510825892658492,0.3580380384024058,0.5580466118654283,0.6033573531171229,0.308536823762778,0.5006738786894953,0.49837798748666234,-0.06602968281556135,0.3526572741945433,0.5026802108459315,0.5103234175798622,0.11461323383832099,0.6200731473265338,0.1447359334152721,0.0956679261182897,0.14019944711129598,0.2681778445391654,0.5785198907157467,0.21834621772467938,0.5589250257298072,0.46838765064824356,0.18894180347006218,0.4345999037592228,-0.1620041297567027,0.4848604655428138,0.43546317239062415,0.6553783513758223,0.009181232126443001,0.26410765503013983,0.7152752335433694,0.3037806541543756,0.4977506692222973,0.4613697131676362,-0.2770178830910426,-0.26589932127770805,0.48411616295883714,0.5011219733043388,-0.2033096723383317,0.2841390374618617,0.31293359170544016,0.659194376805264,0.6118932693666854,0.5374985019377334,0.5789417010136735,0.5048120713654013,0.19202475905116345,0.48543516827753197,0.40917183790531103,0.4565242884700754,0.04778865923807699,0.05757455229215871,0.524634790044186,0.18678633436118147,0.13524174442103534,0.192782024998076,0.5203026125443231,0.7675251356965195,0.605985890942771,0.49989586904505307,0.06319310495964274,0.18552229109694232,0.7253329656907778,0.21290462163427745,0.36698438377666964
VTA_L,-0.0074070464797859285,0.17919600382868484,-0.17838896889480013,1.0,0.1897800198483127,-0.5655207647116043,0.47335309080097476,0.5254544991640329,-0.40361423651754497,-0.5580266274290231,-0.583872701158951,0.4169281359659312,-0.14872600962952537,0.6580918017733632,0.05044835161646148,-0.20104624015329162,0.22067458898969955,0.565069827516377,-0.18185691074508833,-0.16106755392068034,-0.6343839238018402,-0.28531224095626234,0.5826560797593664,0.12778255638111777,0.49122258357787063,0.5510206635121384,-0.5469449980056657,-0.4765410090054794,0.06724215642703928,0.479233561733044,0.2986548316448221,0.5757039095634066,-0.3996097394315863,-0.05079057700344271,0.15686206579222373,0.14979188860776402,0.4283337132077625,0.40845498993499363,-0.6975074486087237,-0.821905393436371,0.5582226884309499,0.07463645817087451,-0.62375819301557,0.1692702411934758,0.240353795765161,0.5065356450649231,-0.6338476044057222,-0.5640379925750081,0.26252330423409836,0.11519590783790412,0.11266817472905387,-0.37729689215623696,0.6378497434965573,0.2455909029396796,-0.315900883607248,0.13655097879818726,0.5676519454528308,0.3179892077493932,-0.567252838508481,0.3090881369886715,0.27913418541111185,0.28430996733060593,0.42774519068849537,0.35251013214438986,0.013880595449874675,-0.2949125621394279,0.4843065639658573,-0.09830162353131931,-0.4797045831369018,0.3618300707547089,-0.31053278473111134,-0.006622206124938896,0.43976210911525276,0.20112863174125004,0.4327299067982982,0.22250313534811106,0.5670818948197482,0.08514687695059837,0.37553556888555906,-0.15764916439324708,-0.6743463942175247,-0.20952678491780805,-0.28606936693770085,0.5957921541258354,-0.7104370679552638,-0.22140934800853315,0.3930748971194293,0.11478058344344512,-0.058378078549913684,-0.5492049485300877,-0.70333373536811,0.7263328222772774,0.06117843335061856,-0.5700162089985663,0.6260358064462391
Putamen_R,0.4565296671550457,0.33971703045023016,0.6552204539534073,0.1897800198483127,1.0,0.21773247421458305,0.6895892476383721,0.4318897570351388,-0.22288852829857544,0.24525871454018758,0.17956207744790145,0.5848077028427896,0.07597187057052716,0.38342906987879893,0.6959010827388172,0.6556627134311964,0.6326061941096306,0.3661565313985108,0.6853705850988546,0.5056798259114211,0.17015886337336725,0.41754539285728554,0.6603489848841892,0.6825002300015381,0.21222634592276432,0.5329168268090568,0.20456662158651515,-0.20379942077402827,0.13690574603794942,0.7056260049002333,0.7966029322193431,0.10438766935211365,0.4200792563286003,0.7340832789184493,0.5188245223717164,0.3912153206818919,0.7339993011410443,0.6801820784065694,-0.2535614074499115,0.10793731035838579,0.5725153415404628,0.6439902344376883,-0.08788112758822622,0.7186940714036363,0.28405850385672726,0.10144347360995305,-0.11552487434866084,0.10980192223641429,0.641493945921476,0.596058184995526,0.5769281062007638,0.4173614845717117,0.3562057225784319,0.5597432069933787,-0.1796395132338359,0.6245796053445909,0.7476749853996455,0.7529246136396981,-0.23679962817717748,0.4743464502820691,0.6958110681736047,0.3046802345357553,0.7041870441831065,0.5696832811200271,-0.23163205641136225,-0.47676705850657647,0.6691972177098796,0.42504157068601417,-0.2646886831189115,0.3145028482805699,0.23491114706364696,0.7405248456720763,0.6720154314317469,0.6177862369658832,0.7681484720815994,0.5120604661589261,0.3282233156164078,0.6497620203497835,0.693164036302067,0.22141492384015188,-0.1837090099133416,-0.31378981680091383,0.2810046275151723,0.4112133996939405,-0.1482760206942555,0.10590307417156104,0.7146565034620556,0.7307254424177388,0.6391631501133702,0.17826669672160264,-0.12109777899575162,0.4024061659256473,0.642824909556607,-0.10821999112898248,0.6229470824800004
Vermis_7,0.5512556577119745,-0.08344081344096288,0.3295672661507712,-0.5655207647116043,0.21773247421458305,1.0,-0.11338424952354126,-0.27333354084236283,0.06794006613404652,0.5190528574140658,0.4326632276773249,0.2132082626017688,0.28110062768099653,-0.5043642125316861,0.0976812531737484,0.5539459585644521,-0.02339639726582528,-0.17276903195775384,0.41862807879794,0.24015267449813382,0.7446899434407239,0.2714929907687706,-0.16902836055677065,0.16684511343186265,-0.2656143363602186,-0.19347530418897146,0.33668885149687033,0.1816760274071767,-0.1667339510859518,-0.16701799899647124,0.1536779122413679,-0.5898074395117553,0.38843756549965164,0.45125962190727875,0.09096072291288158,-0.01586953334016783,0.029051775279840975,0.10434805181172961,0.22901033671172238,0.6506025777912623,-0.3387632771148593,0.085163440905446,0.2660149033515831,0.06989946226511314,-0.15107975706715648,-0.17139150050726362,0.16078057798638776,0.4373155416129095,-0.08360079663740881,0.2921169568699772,-0.004721992978309232,0.5860505494872963,-0.4789903712732778,0.4435089962753342,0.20559191873344804,0.44326055140614284,0.026253019426394245,-0.06389275267202402,0.24613342106018754,-0.15432631338443692,0.08373445309292064,-0.3331395916143781,-0.06827067960252577,0.25519432633371864,-0.4004888301308076,-0.20261102127515385,-0.3074414154390676,0.02833866248235236,0.2167759360885824,-0.2794521822035019,0.1285109220318017,0.10284236380659316,-0.06402198813085189,0.17030085888800678,-0.12686543079389642,0.38564234258694025,-0.39602956206100975,0.2036897747633228,0.037272624417665295,0.015068861842640668,0.25580373770322273,0.06865400940850545,0.31767862895160337,-0.052330693807162376,0.3437319562285968,0.37841879656475447,-0.055559732753640664,0.19879972547357921,0.1309149864544468,0.356187603205895,0.4341660568562489,-0.3889825488762122,0.3376579824695375,0.1244588064702547,-0.19319476018781104
Thal_VPL_L,0.29615669166668074,0.675242124124498,0.48497788107498213,0.47335309080097476,0.6895892476383721,-0.11338424952354126,1.0,0.8577441802488716,-0.5705199473577027,-0.2552828972599668,-0.30172714942488743,0.6468230687683133,0.1021349434284069,0.7645948054967286,0.4094732356621941,0.5675231047011922,0.7084681781504287,0.49578840790000894,0.28759135252844314,0.15614569302453726,-0.24295462239534196,0.19106349298396744,0.8436218091943196,0.8355737237581363,0.4741641973106412,0.8857067740719645,-0.32999011488342805,-0.6220880339195712,0.43321974116616163,0.9491520275777826,0.8849622468246852,0.6028893579579377,-0.190679668516723,0.6302604233321674,0.3302341183206818,0.3646871272254079,0.6674321139092813,0.8629069482632437,-0.6822639606894967,-0.39412956482875583,0.7932270492219311,0.6474201776643821,-0.5862985722820911,0.7951033899955996,0.09220152227935584,0.43277266971680656,-0.552311337917748,-0.45221091138510505,0.639341787327754,0.3743395038801462,0.6458182221801856,0.312627747854959,0.8008294144592298,0.5917226701085939,-0.4494000365382668,0.5888307395614505,0.8276361033652169,0.7241547976621949,-0.6566779920156304,0.2744113787362974,0.6798531858583159,0.1252584373857159,0.9552999666568135,0.7597712850125308,-0.4815343399123953,-0.5898124252431489,0.8183282076784882,0.004266239863861684,-0.6234807925297565,0.745571842895684,-0.2236523545429727,0.5869982416098546,0.7391905949578247,0.8136047118446965,0.6670412690386698,0.5340323187938195,0.7801534252598001,0.6573205425828887,0.7013408272457872,-0.0656513900226932,-0.6636495256167398,-0.30834367823204906,-0.0780399836902065,0.5358628508109905,-0.575275916966213,-0.250499569087295,0.8503738913966405,0.8029687907570201,0.5277300677087615,-0.26440792958465564,-0.6373895296020965,0.790117239159798,0.6153532281827053,-0.42577184986982114,0.9014928453456741
Olfactory_R,0.21144840644088475,0.8381187020782699,0.23690983379086278,0.5254544991640329,0.4318897570351388,-0.27333354084236283,0.8577441802488716,1.0,-0.5978633529790478,-0.5655055641209548,-0.5214136996677307,0.5363440936193886,0.04132439549825251,0.900769178170105,0.22499059656939926,0.44636185036325193,0.4486693486901398,0.5044855274540815,0.005608525563547893,-0.03758709648621622,-0.43585025644756076,-0.11019357433917014,0.7255632629002753,0.7226172322372011,0.5173765029275501,0.9534631894985348,-0.5801902498251125,-0.6810570098314891,0.5842316297761907,0.8533972458193172,0.7099130215658164,0.8129471504282154,-0.4343994681213693,0.4934595420134271,0.12827816236448794,0.16616062789063082,0.4055187127666275,0.7930132565295668,-0.7583614932517293,-0.5826349421258414,0.7063695165584131,0.3979492513872226,-0.702495196648451,0.5655594204538986,-0.12625172017585395,0.49202677388306953,-0.6397456810760169,-0.6433031663672197,0.4004288922861711,0.2500400127267977,0.6868582011022455,0.25105803645504277,0.880024812070656,0.491130434855338,-0.5916579583370203,0.5003091373043732,0.684976427885037,0.5515615127428953,-0.6702587124763564,-0.042483680907969584,0.5314314797772199,-0.04821340818287016,0.8598548721283491,0.7039828152810977,-0.5260612229573051,-0.5594038943515974,0.7355041374512044,-0.31094621932670446,-0.709062481344541,0.8960118073291341,-0.48798947978832147,0.483497554858521,0.5663695860729454,0.8306353575644355,0.37055229471625245,0.3945720782515203,0.9275640683138136,0.632661730899165,0.5445149660469232,-0.24472020749915466,-0.7712837129002883,-0.3521424254622646,-0.26334463922718315,0.4913269866554914,-0.723007555605909,-0.34776129670923406,0.6864185318689255,0.6149240830393589,0.24756602751509638,-0.45377014585975467,-0.7731014399140861,0.7953499260260701,0.3729980852620544,-0.4973680049066513,0.8004641058187362
Occipital_Inf_R,0.038643642078017106,-0.3732926878880508,-0.035663118279848215,-0.40361423651754497,-0.22288852829857544,0.06794006613404652,-0.5705199473577027,-0.5978633529790478,1.0,0.21230454926805054,0.7160565842934389,-0.22734086255085287,-0.0034320594119105195,-0.5679182056272528,-0.10935473617277555,-0.35627847398673634,-0.025378107648187147,-0.08527009724875165,0.11797296850626503,-0.01395972714864038,0.09999996886490196,0.4244856429348125,-0.45170324561363817,-0.510230122590165,-0.41494545199157584,-0.6225487159387488,0.5284734161188211,0.5962135137353293,-0.24820927027624562,-0.4911927800804064,-0.39185952766135923,-0.4236598894877911,0.29432964410719625,-0.4942204851844768,0.09117787075114153,0.18389689092657244,-0.09290491725276376,-0.5494932355255622,0.5850467819419573,0.5159945237643845,-0.2527281611207298,-0.06143724302692851,0.46152629446405047,-0.31664011594872526,0.3787604603600054,-0.22360308354392236,0.4830180495547279,0.387518309643554,-0.02750739136090643,-0.30205227320232236,-0.25418221544735825,-0.36151761536768434,-0.6766208189533913,-0.41616632813239884,0.2548677784863757,-0.18345962269644525,-0.5385845501015005,-0.14609504423288408,0.8045032162329455,-0.1442384860906545,-0.08462584903988087,0.3697340960266299,-0.5218284771934856,-0.4284621095489322,0.6519875398067727,0.5678565488877413,-0.44000004734596976,0.24369286362081308,0.4137220864463867,-0.43600759324223165,0.6270857479344932,-0.2778128415226728,-0.22917231020177478,-0.5279635776404226,-0.11701294211571094,-0.12402052565048258,-0.6181691317315322,-0.5138100341438535,-0.29052618668708163,0.6392691171962946,0.7329767791151419,0.5232685393883727,0.5336206249613619,-0.21769662071018825,0.7422425919417557,0.5487585302615934,-0.379020100696144,-0.2827894613376343,-0.08654852641007764,0.665377753586409,0.7767115534468011,-0.4832043005740582,0.013817749789945585,0.3124415494225228,-0.4097814020310121
ACC_sup_L,-0.03835300660369712,-0.4521481037762591,0.28735821543697027,-0.5580266274290231,0.24525871454018758,0.5190528574140658,-0.2552828972599668,-0.5655055641209548,0.21230454926805054,1.0,0.5745387975305126,-0.30765342007606833,-0.07907607722140243,-0.5933521462314907,0.3747708129092979,0.23984768013383043,-0.02302666947904819,-0.5522561921014145,0.5350482556624812,0.5591558836944088,0.6946276219055991,0.4059657445402018,-0.29938011475088816,-0.004157661045209955,-0.42740103399533297,-0.5086706785107767,0.7552289413448178,0.3664206191566601,-0.31171271038845444,-0.27759323033331024,-0.1104445134036331,-0.7490819275168261,0.7904764722647947,0.26731493901861764,0.06462650204390583,0.08186224918294147,-0.05168597717941482,-0.29401805770425804,0.6778098456086156,0.777313728417694,-0.42059026587802223,0.21784736270097288,0.7758893301424087,0.14789358645725864,-0.03066907592668315,-0.6358588113534287,0.7193009563450239,0.8084775021345133,0.04664382692822858,0.24642091381841164,-0.19173711522467415,0.30202868781259584,-0.5447277631012157,-0.11860001642224184,0.530827894687381,-0.15303651476276212,-0.2251624083698584,-0.05329956978055826,0.2968538833556321,0.4708471759981184,-0.13038652219009242,-0.0155669046973175,-0.2591228263017845,-0.3270137441928245,0.07096146011534336,0.12714978487639342,-0.19104462268551617,0.6273027116546044,0.5183342138188156,-0.5815105269878924,0.5224923186961146,0.18860998109810634,-0.18109298494772477,-0.25308584809360957,0.002575328070685425,-0.1742713490024136,-0.6387315230571323,0.048706406500134566,-0.13834518206023055,0.16955510305832802,0.6283341346547189,-0.07398307056699611,0.2921425376425965,-0.4740280705009277,0.6166884924606588,0.1254369424106235,-0.15245211920166798,0.03962059723571482,0.4026916363552512,0.5298043503512325,0.6128410886799653,-0.6197204441796493,0.014467251220277531,0.6682008052366181,-0.44690614102637694
