,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_Re_L,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VA_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_LP_L,Caudate_L,Parietal_Inf_R,Thal_VPL_L,Vermis_10,Frontal_Sup_Medial_L,VTA_L,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,VTA_R,Postcentral_R,Cerebellum_8_L,Lingual_L,Raphe_D,ACC_sup_R,Red_N_L,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,Thal_PuI_L,Olfactory_L
SN_pc_R,1.0,0.4452922722472927,0.15975138817653328,0.3507895481068546,0.10912635324762678,0.3883578909955445,0.03686657229044192,-0.015186405001875321,0.26231461267447975,0.6047305451265736,0.14809256156539202,0.6010367285231951,0.43959662176847747,0.4666263272969841,-0.010084138380862041,0.562644297342248,0.2637392321044099,0.47292068260231435,0.19865144665508563,0.6747154200140142,0.5926301635640865,0.3784476911997832,0.5384483113156228,0.6403847806715595,0.0,0.6378713410324752,0.27471287579120146,0.06545198167701814,0.3804158700715057,0.4877537796963093,0.0374338062413234,0.2610419309915988,0.08345398732831022,0.5286752670844674,0.6738907629733297,0.016112798028102615,0.05867669859522037,-0.002300504170498035,0.4557266336267302,0.6534583848589585,0.6649090961109309,0.6164263596571168,0.5642556858392345,0.1360408137128574,0.12982021842388855,0.5974081103137597,0.0060237617880205836,0.20496403648419273,0.6002615982611409,0.27205316599995943,0.4207178531957329,0.09306666522367497,0.6141672491219351,0.6846588103790492,0.20633181893729716,0.7116907867047493,0.27876391437610243,0.16217757932641075,0.4579245055797826,0.6510095524603038,0.2120715718395774,0.3489959655294766,0.6027232747292282,0.6996788474242888,0.6506850897790925,0.32720201949656663,0.4228860709805595,0.18906942056367423,0.4064282135616664,0.33077867049875587
Thal_MDl_L,0.4452922722472927,1.0,0.17811587165997364,0.5270215387220313,-0.10721290368132803,0.35779544806434366,-0.25695991578271143,-0.06784074806976957,0.3088038226200263,0.4295006717620412,-0.09160927621429263,0.5610118810996059,0.5372965862081351,0.4154783862483205,0.13368449188267678,0.5061687095920298,0.49663361744688045,0.3780432506588635,0.4418798146766173,0.683061781267295,0.5358273244252755,0.15930258866895705,0.4772608654163053,0.43394543271601355,0.0,0.6080999497550827,0.08762603483157598,0.14851276566299543,0.055022785474732515,0.46813319984417906,-0.04351372797980958,0.6556796981845261,-0.30370918619243453,0.46521929723594435,0.6112349754853571,0.26834358354365784,0.17963143200648182,0.09420261980642512,0.5687378510690014,0.4189618411467753,0.6145372755772556,0.5330920853201763,0.7699366335429455,0.056192985232377576,0.25372109298509643,0.7291098982047448,0.20606215134646705,0.5917479296065103,0.7141807355869011,0.03396549172740929,0.7128490407056847,-0.057471691510330616,0.418704476234068,0.32139365014510035,0.21654142425729403,0.6111533405826929,0.16439911539061872,-0.013422148194226786,0.09635126885577754,0.46782197769797995,-0.03850368454922493,0.2303341328418801,0.5404854082577593,0.4813509432932846,0.4756752794248955,0.17543972321752943,0.6682666913667393,0.38481070357394914,0.5501233573038744,0.30086600975355976
OFCpost_R,0.15975138817653328,0.17811587165997364,1.0,0.11305807069756571,0.08417287166191892,0.3407819154918797,-0.06056904458368224,0.00250641249550935,0.4372783360381761,0.3894201037881109,0.023131901998018043,0.19709470122476688,-0.05778764477069446,0.22560975470597264,-0.3649573059716682,0.5228876383439073,-0.15662277243539088,0.3557100894886453,0.20438744271590392,0.1572002696061663,0.24352893816885773,-0.06916322225397652,0.40858639395904645,0.27898959086517144,0.0,0.33033253188123257,0.20423910041013382,-0.2530299199185193,0.18180973766512176,0.16973471725513667,0.03013006622858198,0.018211528630267083,0.11471596702485454,0.19303560631174077,0.17258759977764415,0.15769071703359255,-0.1537651809631857,-0.2811585646285039,0.5175594417685065,0.20737892811415415,0.28108531208046034,0.28209886866850403,0.04625137911333303,-0.28143630739320963,0.23541148813190357,0.46426061545794156,-0.25161798315210476,-0.06848295807346064,0.4682258425138708,0.18479371277331244,0.042869312449132675,0.18571875156476006,0.29998741147140673,0.3018239478006951,0.30510995791515855,0.41090526191013155,0.6395332625395002,-0.30667620475039375,0.13455273931963257,0.40503083713033755,-0.120417617961058,-0.147629724582536,0.1460018560347699,0.494813233362054,0.4999175807572411,0.6670099269970664,0.31555545850740935,0.04026190443552329,0.2448224312568581,0.5364016570312508
Temporal_Sup_R,0.3507895481068546,0.5270215387220313,0.11305807069756571,1.0,-0.17566275034135584,-0.01946266027993578,-0.19267164747117269,0.14324511331543158,0.5649355155899818,0.3345480797415655,-0.2764389215871648,0.19187333496840048,0.7323373707163942,0.3507623774711048,0.4599705046290145,0.46093682177259204,0.5842355091712044,0.07401786079064622,0.6778035695214368,0.46716069730323195,0.7975949828014757,0.37238727624643414,0.02968977631239116,0.24018834110591628,0.0,0.797558632761612,-0.45238244824640517,0.4826180621280318,0.16085518793784473,0.6498231053347453,-0.28019952385257224,0.6149997153979995,-0.33251455790787676,0.628044045831509,0.2944840896291804,0.7293008146554077,0.09946684997628631,0.2015127179154468,0.3083758121512569,0.43138535815075124,0.33910652392092433,0.17893436154770223,0.6023465221239735,-0.1143326270910636,0.5408473985478679,0.4966346487942166,0.39932910676656114,0.6998858334021573,0.5368678768644912,-0.09405705412756231,0.6534111735560635,-0.5325913914163614,0.0955583577689633,0.09395733529563159,0.41887582308480314,0.47392266988854936,0.08153897649518908,-0.3418120962058494,-0.18475979177673024,0.25476494673441974,-0.08973570160873971,0.5774150261990115,0.727763980778437,0.3244543593556151,0.39011863265344815,0.14675606078182984,0.664729069673126,0.5491092712359951,0.2570439617009863,0.4519429277178914
OFClat_L,0.10912635324762678,-0.10721290368132803,0.08417287166191892,-0.17566275034135584,1.0,0.049747041038296275,-0.04518782715181572,-0.15956720317998002,-0.2042561063870844,-0.03374748244126995,0.12399139990535925,-0.12547304557879177,-0.024149043628837533,-0.05111189753687424,-0.14596807523128905,-0.09016351366774482,-0.09543594816745074,0.007096787283715201,-0.12366893938592947,-0.03252499518792148,0.017128671454857802,0.28329609446817217,0.16226785153115567,0.02616368342018166,0.0,-0.03305477060391678,-0.05158859690907201,0.009331051877329305,0.009936531771762932,-0.1839702977213648,-0.16695291786180175,-0.04287416119733087,0.1850064368409605,-0.039220717409905355,-0.05401679148209031,-0.07230197189409313,-0.1976829916899181,-0.4734692984242298,-0.043307775340809235,0.02156757906165315,0.011636023266810513,0.08667046973905616,-0.07971662280979783,0.01886542935524854,-0.20770660620348666,-0.03818506463115226,-0.10127701353468938,-0.10004864625797305,-0.05207429949551905,0.07868970308682191,-0.1277980392499012,-0.05491297858788583,0.19930213059623672,0.09757631804007179,-0.10768815108309979,0.12406428694407436,0.025984192001000415,0.11990524298517827,0.11448982309029795,0.008455048777928484,0.1463867257754074,-0.06853459984362295,-0.11437409659667272,0.07873418738291026,0.051147471464218545,-0.021814186729397427,-0.01743190059429105,-0.1354352598672101,-0.07244300107146165,0.01687440875463767
Heschl_R,0.3883578909955445,0.35779544806434366,0.3407819154918797,-0.01946266027993578,0.049747041038296275,1.0,0.042134666722523584,-0.08249022212571822,0.42225533134885185,0.11545009123562128,0.419118524653332,0.5288317323938393,0.07465056061565062,0.5565948786472633,-0.04863324896611281,0.32363122593175414,-0.03968578081750596,0.22394240359213466,0.080259286236724,0.2033315451432333,0.08833977982083956,-0.17328806494442367,0.2832597077637349,0.6089453117611924,0.0,0.31241430865220543,0.6075461921642367,-0.027083566317377936,0.575658768768684,0.40257544467970385,0.2464338053286953,0.1846343454814048,0.2807112055205447,0.06304807073818192,0.5207332239576576,-0.0842046574071141,-0.014662270590464547,0.11701672504376151,0.6188933875478311,0.011587675564554117,0.19047862660975565,0.18882045905709385,0.31767772643337705,-0.04570426235932034,0.1704858620402428,0.4384485271965994,-0.2021570750867837,0.04813949637454141,0.29915608491401924,0.6354390986242775,0.027343783372041543,0.3251776468755611,0.16939667663859878,0.2976738206481078,0.31626652433023017,0.4904644105039109,0.0717602380826558,0.048000806816522745,0.707683406284785,0.6303185924724526,-0.016981632321924008,0.25189017588349855,0.107669016260045,0.3037373150985732,0.5788077318475866,0.29472556619459706,0.003051549798663792,-0.10342464612368586,0.17708570503082352,0.14066614754897747
Cuneus_L,0.03686657229044192,-0.25695991578271143,-0.06056904458368224,-0.19267164747117269,-0.04518782715181572,0.042134666722523584,1.0,-0.0780656678345768,-0.17995153550609616,-0.17931474717992057,0.0808782574088209,0.18728801256969405,-0.04037006593782696,0.22801188259478034,0.06875546895364551,-0.09721558848996084,-0.053164277908884,-0.30539022336692057,-0.1921832734042531,-0.07755619418226761,-0.2537605735538056,-0.28299365460896847,-0.17761675780253444,0.3195586395798071,0.0,-0.1666391700822656,0.24206450501159335,-0.05892018520342368,0.5590930718315285,0.2907649318359478,0.3204106762318722,-0.30721170761087735,0.6840116436010456,-0.1083420778214792,0.048689687163553694,-0.24316729287022112,0.19445916760982676,0.08554450896168268,-0.2232983083506477,-0.041317818694831566,-0.09707493623270481,-0.23922598609476273,0.0468638726437066,-0.008465544812836177,-0.23648487433530982,-0.1866741079321759,-0.24335282932553529,-0.28550840279311207,-0.1917971091399493,0.40691321766497657,-0.05750012898663434,-0.05968876916987332,-0.1820430598175795,0.02939661183097106,0.034783745438378325,0.0006847673960887201,-0.08978321258516446,0.08777904441498091,0.2672707084993524,0.2839266746348621,0.3342234690412921,0.298803629081894,-0.2322537984527264,0.04698900174455556,-0.10281698677229065,0.03254582883858669,-0.39290452025839534,-0.17877418913574616,0.07497603798036764,0.07220726017856077
Occipital_Inf_R,-0.015186405001875321,-0.06784074806976957,0.00250641249550935,0.14324511331543158,-0.15956720317998002,-0.08249022212571822,-0.0780656678345768,1.0,0.24933740308954486,0.011506438285991849,-0.012767969361919887,-0.10407639660096725,-0.05464902789123179,-0.15339897864397362,-0.008696934611151643,0.10538128450714848,-0.0172330115577384,0.07053398679094987,0.06124907028852758,0.0021348395423979962,0.14995320483510902,-0.004457223335460623,-0.03364643279978083,-0.14671912319983685,0.0,0.08485894380360234,-0.06334259417468631,0.19595235353064971,-0.08060745217571626,-0.010562943206322629,-0.15557618283005042,0.0386951982719987,-0.18156104079725605,0.059445620065849865,-0.07856836579633746,0.16096921906753012,0.08723207790235843,0.1398058427874933,0.03627799399677274,-0.0031736738432360852,0.04723492961060801,-0.046007981999475166,-0.06590793805878141,0.04582069362300653,0.22610523137178729,0.050618861812594826,0.06408297470245798,0.12894086766272048,0.07746314989703104,-0.23755163383217842,-0.015805046914294456,-0.10816048903138888,-0.033893009682257974,-0.10322025555915615,0.05658310902321886,-0.05588268640721101,0.08987493322301279,-0.14860363551011138,-0.07806810762044761,-0.10953823177964803,-0.08268704814099068,0.041862928638809804,0.05441967524809885,-0.014881491787298744,0.07071883139800007,0.03908975301087997,0.14190485529175142,0.1075477603903801,-0.05865779110044931,0.0113643173604666
Temporal_Inf_R,0.26231461267447975,0.3088038226200263,0.4372783360381761,0.5649355155899818,-0.2042561063870844,0.42225533134885185,-0.17995153550609616,0.24933740308954486,1.0,0.16697298562956228,-0.08800358387887215,0.21048371749680786,0.24843721989104628,0.3673533151792769,0.19314793559044321,0.49924178671556607,0.04098486473946446,0.25442209354867357,0.39307183372411725,0.23018072737170914,0.49025997935345955,0.058812417357420974,0.04975727386016428,0.27655672580056984,0.0,0.5711602135413726,0.003108349421386215,0.2715071820833646,0.30040268503688283,0.525983435282128,-0.03308186134386217,0.34795996756785286,-0.033873699250362224,0.28502782510054314,0.3213268371147296,0.5252117298649929,-0.0015151994701225022,0.25784245088813007,0.5289122139150914,0.09454813287803132,0.1602115159103476,0.10223772923192818,0.2167837195021651,-0.3178855372833917,0.6011067836139306,0.4636793853556462,0.15237311315446211,0.38132414319525487,0.4233483743294062,0.20056904055796906,0.22492449367850362,-0.13872197164282707,-0.0046994326718198575,0.0884034747610857,0.5753011060550566,0.36432182506828603,0.26770661106883614,-0.4145501316893009,0.13269140427912507,0.3566011690131652,-0.2636875226151565,0.3218523890511343,0.49795279669726755,0.23725846580805546,0.4792692583061301,0.42919540172221116,0.4233235072255037,0.23876115571592074,0.06618160038310485,0.3583617070890571
SN_pr_L,0.6047305451265736,0.4295006717620412,0.3894201037881109,0.3345480797415655,-0.03374748244126995,0.11545009123562128,-0.17931474717992057,0.011506438285991849,0.16697298562956228,1.0,-0.07333388262687492,0.453269108425316,0.26873794249190214,0.1945699473366363,-0.336689854963483,0.776847217123525,0.30229561705105207,0.5893126228022485,0.37542878875622426,0.6106297109964056,0.6492045161703064,0.17841318257177774,0.7807899326081076,0.390638322446937,0.0,0.6391813990175383,0.2402493037844316,-0.05541779368229485,-0.010630048398493729,0.21780498373933882,-0.10108888866184425,0.2014497256896716,-0.13201987130803194,0.7272288034412341,0.35974799436482596,0.09010165858494139,0.14145928900571927,-0.28437285608975027,0.5164014794705316,0.8041153874091139,0.7632282991873706,0.6924717641953557,0.42620816011851775,0.17600690314138773,0.057586134250190886,0.7231253895503825,-0.06333217316910203,0.10070897995506732,0.7034741557945848,-0.07399692666387879,0.41145578464942256,0.18291539102993554,0.660689455656815,0.6744963146079276,0.22956858496344473,0.7210521199961771,0.6662747212286347,0.18673865469145345,0.1446496885233619,0.4695680294396774,0.17517442838718733,-0.05353999024043608,0.4183790036821705,0.7267476793357528,0.6877925210623503,0.5261888845774948,0.6119832034168723,0.3150413395541071,0.4775167074453953,0.42735951872315114
Vermis_8,0.14809256156539202,-0.09160927621429263,0.023131901998018043,-0.2764389215871648,0.12399139990535925,0.419118524653332,0.0808782574088209,-0.012767969361919887,-0.08800358387887215,-0.07333388262687492,1.0,0.20594823285856714,-0.2627690383553458,0.09161437641828732,-0.13072111581937784,-0.05826533063548523,-0.20262694692843872,0.03911100810412529,-0.12989449328003258,-0.01656924720450587,-0.19686805179072117,-0.02430113645287452,0.035764960648735515,0.2269652320957005,0.0,-0.12490247211292597,0.33852242701234936,-0.06222560033509363,0.22198777677784348,-0.02049972252627305,0.19343413368579135,-0.26226963749572096,0.1267061307384029,-0.15652781350138092,0.1943717529602665,-0.21710976089123382,-0.15913200016564338,-0.06406335609363405,0.10499640650376177,-0.11982458807233766,-0.03397892872800297,0.031577461260545586,-0.0411844417829233,0.10772854827577968,-0.006530754461619163,-0.013350150895564126,-0.26971603846362624,-0.25216132947445336,-0.14895507944473274,0.2703618050966526,-0.3551785008940715,0.29074610087210323,0.1408958474465761,0.11170535692849748,0.06836275546850235,0.063147620986326,-0.1826941139395072,0.04248010634811082,0.3592560262793473,0.17105245432013133,-0.05860417549634457,-0.010219633637977735,-0.1693936344414677,0.08892594682378585,0.13511556831974697,-0.09424834411707508,-0.21244312575536295,-0.14615104762735884,-0.19207815910592638,-0.2019102124403436
