,Thal_AV_R,OFClat_L,N_Acc_L,Olfactory_R,Parietal_Sup_L,Angular_L,Cerebellum_10_R,Hippocampus_L,Occipital_Mid_L,Thal_VA_R,Vermis_8,ParaHippocampal_R,SN_pc_L,Cerebellum_4_5_L,Cerebellum_8_R,Putamen_L,Thal_PuA_L,Thal_PuL_R,Frontal_Med_Orb_R,Temporal_Sup_L,Red_N_R,Occipital_Mid_R,Cuneus_R,ACC_sup_L,OFCpost_L,Cerebellum_Crus1_R,Cerebellum_7b_L,Thal_MDm_R,Frontal_Inf_Oper_R,Thal_MGN_L,Thal_VL_L,Precentral_R,Temporal_Sup_R,Pallidum_R,Frontal_Sup_Medial_L,Thal_Re_L,Parietal_Inf_R,Vermis_3,Frontal_Sup_2_R,Rolandic_Oper_L,Parietal_Inf_L,ACC_pre_L,Thal_PuM_R,Postcentral_L,Postcentral_R,Cerebellum_9_R,Cerebellum_6_L,Caudate_L,Frontal_Sup_Medial_R,Thal_AV_L,Cerebellum_Crus2_L,ACC_sub_R,Parietal_Sup_R,Thal_LGN_R,Temporal_Inf_L,Thal_LP_R,Cingulate_Post_R,Angular_R,Calcarine_L,SN_pr_R,Frontal_Inf_Oper_L,Thal_PuI_R,Raphe_D,OFCmed_R,Cerebellum_8_L,Cuneus_L,Occipital_Inf_L,Frontal_Inf_Orb_2_L,Rectus_R,Thal_VPL_R,Cingulate_Mid_R,Rectus_L,Thal_MGN_R,Calcarine_R,ParaHippocampal_L,Fusiform_R,Rolandic_Oper_R,Frontal_Mid_2_R,N_Acc_R,Cerebellum_9_L,Olfactory_L,SN_pr_L,Insula_L,Cerebellum_10_L,Thal_PuA_R,Frontal_Sup_2_L,Frontal_Inf_Tri_R,Pallidum_L,Red_N_L,Thal_PuM_L
Thal_AV_R,1.0,-0.043307775340809235,0.48739177083091983,0.491245129150767,0.0012860082816162435,-0.07594149950730604,0.29388817574809284,0.4884868400666285,0.0477829409708103,0.7543403195352595,0.10499640650376177,0.3835590509722657,0.4893035497545134,0.10709853110360257,-0.0548514644059229,0.5682341321183387,0.011822444412583046,0.3816722563630263,0.4346035615019688,0.11460702939805222,0.5058779096165301,-0.04119280752840997,0.010873507924099211,0.5667651037403142,0.5638308411685973,-0.0754090416980331,0.02499849170709337,0.5115633566611929,0.5318607823066646,0.4124033554351657,0.4794449256689334,0.44984941552446256,0.3083758121512569,0.7923376764465375,0.4014119384464802,0.41675244987285653,0.20993471027569338,-0.04020202055627531,0.532927736618669,0.5609516379770398,0.21405161291999955,0.3852091899644042,0.580673380625941,0.45771050381108347,0.5579423623062514,0.03126109712351961,-0.05730636820091333,0.6249680010362219,0.3422332089298758,0.5796107695510427,-0.0646084095100499,0.04388095632951617,0.12273143625131328,0.18816034656526656,-0.0007126019794392607,0.2004276912307493,0.010976558372621986,0.0373796631252078,-0.12003259065410835,0.7477318066255709,0.3954633420980774,0.4366096619236658,0.3930628745274341,0.39045325337384884,-0.014731961543468031,-0.2232983083506477,-0.06249506969419871,-0.12626886773862986,0.4748614220647455,0.2654271799995816,0.656872232628098,0.4157615440820017,0.07161981727921009,0.1076802254737865,0.41130006192456675,0.16508581955122686,0.7766954194537059,0.5481403986821249,0.5717156964500117,-0.0018873959255030976,0.3162268175933309,0.5164014794705316,0.574838425975472,0.10780252045092169,0.32305495081789304,0.4849902993965667,0.30713700356502555,0.6856422873545498,0.732164655088967,0.5741431986607008
OFClat_L,-0.043307775340809235,1.0,-0.01579645403591535,0.0057857258015765085,0.009331051877329305,-0.14617831464975112,-0.05158859690907201,0.058747629161515706,0.08097908434711813,-0.09863135240640179,0.12399139990535925,-0.11592201119305147,-0.10062301710659112,-0.11298218923036188,-0.39868607248369164,0.009616583054498955,0.06328319164202974,-0.007056227694255739,-0.10768815108309979,-0.09543594816745074,0.017128671454857802,-0.20562516423463595,-0.35432467735472356,-0.08587366902175857,0.12006472459127226,-0.4734692984242298,0.32327165257806284,0.04610008291488103,-0.01743190059429105,0.06729035037347103,-0.11872361099344074,-0.034993623748207865,-0.17566275034135584,-0.026789912908279357,0.19930213059623672,-0.12366893938592947,0.07868970308682191,-0.1291396447402797,0.1285672291680463,-0.08468789897730665,0.057149265931268116,0.12809208847882939,-0.05373759661127361,0.02616368342018166,0.008455048777928484,-0.023102405572280195,-0.0167472231647458,-0.05207429949551905,0.14274579173666804,-0.12547304557879177,-0.36049525237325436,0.014495267204534354,0.05839737571237708,-0.024149043628837533,0.01886542935524854,-0.1691125536754311,0.03570611798912085,0.07372647199630067,-0.011058371834218093,0.0779680426803731,-0.021566256760771865,0.16052776297279167,-0.11437409659667272,0.037623015403309014,0.1463867257754074,-0.04518782715181572,0.05767007993397119,0.03618669948713494,-0.021814186729397427,-0.05094399353196277,0.0006421549821865668,0.025984192001000415,-0.08275484200441431,-0.17723957536517224,-0.039220717409905355,-0.21771842723567789,-0.03818506463115226,0.011636023266810513,0.028469896612053187,0.21021034239775746,0.01687440875463767,-0.03374748244126995,0.16226785153115567,0.2259187916200776,-0.04287416119733087,0.08667046973905616,0.09484292515926632,0.12406428694407436,0.051147471464218545,0.005964815324515153
N_Acc_L,0.48739177083091983,-0.01579645403591535,1.0,0.7953752955100549,0.03918684341766681,-0.20927478981566228,0.06350318206820865,0.3701156238073334,-0.06060127993296567,0.4289493859952698,-0.19769855365935865,0.4882053207092903,0.5883149116601812,0.05954199286992053,-0.12347084462972412,0.6596298734657888,-0.21348756167173338,0.3573048422880938,0.2590743748223489,0.03313312194426751,0.4681520138908644,-0.01746721255033867,0.15437441301130309,0.466131605665183,0.3751053182241185,-0.24770822920150737,-0.040503621596812596,0.16618765203807553,0.5904250455154395,0.1986294293882119,0.1944968801766002,0.41571067942784934,0.3486545610385023,0.5799642960732305,0.43303387517563047,0.2898279679227438,-0.10834857179986246,-0.20309518158272355,0.4478248240250235,0.4135496741664645,-0.1029647444081872,0.3125823579740145,0.4911788252540008,0.18293869503855587,0.3310696535175371,-0.16111260817770157,-0.314759444950605,0.6832028373605757,0.3984231096365127,0.11798175979752507,-0.148686737225057,0.38234721457171006,-0.015966189006125876,0.19767712293478715,-0.22552080627967996,-0.03975991337760966,-0.14789932815865162,-0.07396590410068603,-0.24623817087002092,0.6826107644390358,0.1920381970378373,0.2034233801768513,0.2661870089633202,0.6642854794791687,-0.15871812137907806,-0.19723203960044997,-0.09170211206004238,-0.4436492509241729,0.6868271711537446,0.15328791962863453,0.44686760043758167,0.7325082516770637,-0.09734719744467145,0.06954845128918512,0.4481003791784152,0.20340005224463784,0.6236519901986229,0.5142212311569968,0.8719163013329853,-0.14904684110113595,0.6671500062539869,0.54529893305494,0.5510992204129096,-0.027619919129151817,0.25012788904388966,0.49798398161018137,0.3306480848480994,0.518249781155187,0.5918652195372228,0.48253232246459055
Olfactory_R,0.491245129150767,0.0057857258015765085,0.7953752955100549,1.0,-0.10342796952516249,-0.2803422536322713,0.04782679249753344,0.45716535538359415,0.0900026341708306,0.41602652657624556,-0.27022861795162323,0.41993640746596317,0.5615763585136202,-0.08172568381230587,-0.0946497456076762,0.7157476644143512,-0.08421774201023896,0.18366678396193414,0.30345526697395575,-0.05149648246753,0.4694927564908377,-0.021379836616722155,0.1966042884218062,0.5685019064489255,0.30563293143499454,-0.3113211793324763,0.02932833598390997,0.29406418234971055,0.5709495177287401,0.1501480653352904,0.08165478499263443,0.44281692524681865,0.29956345110969884,0.5622063622730387,0.4385016982745694,0.28762823538891136,-0.14192867561148864,-0.19824525306368934,0.5269171055610997,0.3575374831710674,-0.0793943961313203,0.41162667129208447,0.33998061355899123,0.17842645080848385,0.3397418723769212,-0.008470419095573486,-0.10006710910760165,0.6926636535582393,0.46495117433641847,0.25305921302179346,-0.15637719335380218,0.3121194712442356,0.08041491137247875,0.2393180390919428,-0.15324630013837304,0.03182553412683485,-0.11368070771060278,-0.020265246320003788,-0.24512912438108048,0.5583671212640176,0.11806304309012816,0.048384967742242414,0.3053632882774452,0.8225895922003165,0.06564245169136655,-0.08284948467178713,-0.039861539935675705,-0.576973809040076,0.7932652716903172,0.1203978068887734,0.39889623675263236,0.8279369123768818,-0.08106683661495041,0.03968961250268616,0.4420677087046759,0.058420858381003436,0.6324520295130043,0.5811493721733372,0.9122352675644557,0.01363940154358112,0.7632836554005061,0.6471464042750179,0.5809473902669555,0.11246053541833116,0.1902684762751145,0.5079228257084744,0.258252915540765,0.551288204700042,0.5295795428374779,0.2943311996313954
Parietal_Sup_L,0.0012860082816162435,0.009331051877329305,0.03918684341766681,-0.10342796952516249,1.0,0.33845712955028107,-0.326959816736713,0.1786025624899162,-0.06138683730734715,0.24304883564164811,-0.06222560033509363,0.4477374764807889,0.24598318629393745,0.6506845622065633,0.35532295483189613,0.12732504641882866,-0.14110966268482744,0.24607480687910901,0.2574515061934038,0.4576709664150463,0.4008483184889893,0.23651882005195993,0.3363795375496847,0.12550077061294165,-0.1655840655392935,0.24313268288638754,0.019854246852469216,0.09656055227764687,0.2472366922397872,-0.06940059781623618,0.340606708876355,0.2450079597968285,0.4826180621280318,0.22703406335885531,-0.036645316613196754,0.4025495816205135,-0.06562822361293905,0.5259741512739017,-0.038106969407248614,0.2369301653265316,0.012683469649673837,-0.20908155491182934,0.2729574408711841,0.07527668907739368,0.03264746844055747,-0.12071240506987328,-0.08551086648067543,0.07086786779555584,-0.04687472158493588,-0.02232612549623611,-0.04563349285602426,0.03953349591209765,-0.4008206423745821,0.3696617862915203,0.14219069914778268,0.19046546619417581,0.15087924675238162,-0.3961701066496384,0.5295885379045346,0.13708377117324622,0.17066034417715217,0.09833882163420647,0.33475781991336334,-0.04619843295907223,0.03763260272695744,-0.05892018520342368,-0.02872123610098348,0.056578793568401946,-0.07758944603317103,0.2924398785424778,0.23902505699904297,-0.08914969453303394,0.4129810633088616,0.580973356408032,0.3555194229777611,0.5899506151196138,0.13994300538107038,0.08525490625141655,-0.09248552514321055,0.21137417300225686,0.0736512065550974,-0.05541779368229485,-0.062309650310474585,-0.3376688964144632,0.2634856843494796,-0.06691043310719558,0.40350120619450136,0.2301578183321707,0.11152452908423258,0.27569238640952703
Angular_L,-0.07594149950730604,-0.14617831464975112,-0.20927478981566228,-0.2803422536322713,0.33845712955028107,1.0,-0.19526651653491173,0.06917080365266427,-0.17742750134706897,0.08649989830844211,0.13486204795570741,0.1822118123667306,-0.005463752135470329,0.38453317369778967,0.316250988702091,-0.16696153557783505,-0.045199447641999485,0.07539720630269177,0.1466493156652047,0.3236264989686724,0.0886181182284028,0.17003476517879973,0.20964358219536944,-0.031817670231117944,-0.23999711751379604,0.25670787148362173,-0.013613202863125664,0.07381639232794432,-0.03478916602807446,-0.08159673287430447,0.23621120880241792,0.04996821763509505,0.24393740686851337,0.01960719251247925,-0.13397815399668245,0.2717203444603362,0.03613124117468644,0.2884485831691855,-0.15393949022222572,0.08694415684586346,0.030833062516346876,-0.2011865334934735,0.057130984631849895,-0.00922732690344294,-0.06684097604409427,0.0063242052744251695,-0.15845830830270605,-0.04254539852502614,-0.09690210465664344,0.09868347911818819,0.29495447922081597,-0.2999454815439723,-0.20576154628288984,0.2407222899000684,0.015113696526102137,0.1379067143738967,0.12176803337596502,-0.16624062461813308,0.4990772729007942,-0.1413051982992496,0.09093375127752007,0.08747553416427407,0.1389001198409919,-0.3163752709647307,0.006955027953205834,0.090599335424121,0.19515724817264182,0.2625861334725788,-0.32903966343255336,0.17251576992875334,0.059099644094479285,-0.41390811726243815,0.3469196858049541,0.41264741952818434,0.08792518656394324,0.3776847314691867,-0.045342253132139125,-0.08566604025177388,-0.3446080682450932,0.11642695887005033,-0.009153360395430684,-0.2120696589172579,-0.22826244313521862,-0.30201719931752263,0.06188014680155355,-0.19553112344997997,0.16423694119309054,0.012240752374291354,-0.06726296846773322,0.09701688265021198
Cerebellum_10_R,0.29388817574809284,-0.05158859690907201,0.06350318206820865,0.04782679249753344,-0.326959816736713,-0.19526651653491173,1.0,0.28355252066362946,0.16155553995451508,0.1842989874710205,0.33852242701234936,-0.4029191197178194,-0.19614006192433736,-0.5224913777834059,-0.09551037193436318,0.08657604815776002,0.4244996825469489,-0.16091331610702725,-0.07826461692769068,-0.22254002251796953,-0.24783082239279644,-0.3722093168029853,-0.5911054055277732,0.2242269083354337,0.3800484951716618,0.02215550087087994,0.21930493429470885,0.34919670484701315,-0.20538852568065286,0.5295511124621086,0.011449249010796936,0.07864855060338313,-0.45238244824640517,0.14628263354608548,0.28615986158449824,-0.23590271279552433,0.5248375172033587,-0.40952434999361687,0.37562435902267133,0.11000113140860557,0.5155940484599009,0.20324589111213692,-0.04026775219725548,0.4893613070865236,0.508799525616463,0.5613257952154163,0.3889813159628818,0.1567479897492982,0.32191435251149353,0.48920658764222125,0.0013692276273966231,-0.10140770972284043,0.6829567812412952,-0.3238948547673243,0.03880205728956071,0.09738156716454234,0.2303205236706085,0.5769091228336103,-0.31086376572905383,0.13264457150176195,0.03248374726305979,0.17976949096111725,-0.1886685618168455,0.108131856226274,0.15165868000490465,0.24206450501159335,-0.03361346197668301,0.11853114626118129,0.27528225567154585,-0.15344260338164065,0.24603399869779358,0.1623466166225822,-0.23460111988178772,-0.4940223146476707,-0.07721864506333963,-0.48435921708825963,0.2138085017421647,0.2386020447332164,0.13978849241792085,0.20642471191533046,0.017286215973991274,0.2402493037844316,0.3559109869304004,0.6453023962397726,-0.21757506771027657,0.29002164456124896,-0.312221572599899,0.2601581856470733,0.3440503904573599,0.15643687261146244
Hippocampus_L,0.4884868400666285,0.058747629161515706,0.3701156238073334,0.45716535538359415,0.1786025624899162,0.06917080365266427,0.28355252066362946,1.0,0.016225815947609582,0.6970467377115307,0.10225344781648983,0.4899388045551414,0.5490357515588178,0.19980388747977246,0.16421883402063056,0.630712553514528,0.1749345902214939,0.11806885242277262,0.36327156749674705,0.37315290914470384,0.6606699689754139,-0.05592892172119927,0.030135817622614875,0.7073970141700239,0.31517036747951455,-0.06900673208954015,0.0994778417657633,0.7666791433162087,0.4131259393699418,0.5585786375527154,0.42039294859506865,0.546343862576767,0.4322519615523853,0.7035938747285158,0.5156508113599623,0.4439031618009857,0.2751134532378364,0.24127764389507594,0.580251121915105,0.5636286025405602,0.40752636578092927,0.29706316481357875,0.3790511232702261,0.6282676476913701,0.6379633958493653,0.2722023754042366,0.17958794150080482,0.6410084580298333,0.500003122797629,0.60195049719058,-0.0017080326444251692,0.13060448649628195,0.23045378399264901,0.4814798072669456,0.17502883566466987,0.3677040337849162,0.4006667314781295,0.06657855689659638,0.20436257852479675,0.543662819478436,0.30465850688198287,0.2418601802254368,0.43018887135282946,0.46016711381644393,0.2538045435802691,0.08824068478055191,0.05934242309416189,-0.0650982023722372,0.4325132090699473,0.3061803230065613,0.7285649901650124,0.34832087345862567,0.38617832303739524,0.26207914588679726,0.7321134647257846,0.2857156723362382,0.6312066430572368,0.6141554953800573,0.37565412110298774,0.3924641682382229,0.5094234469635518,0.6938338830905958,0.5724491855981155,0.21909893950477582,0.2253341296786948,0.4956680133142074,0.4570564816431738,0.8126086734053626,0.7949787437955053,0.4811721192076866
Occipital_Mid_L,0.0477829409708103,0.08097908434711813,-0.06060127993296567,0.0900026341708306,-0.06138683730734715,-0.17742750134706897,0.16155553995451508,0.016225815947609582,1.0,0.01715410584793958,-0.11157252601851657,-0.21493107471077252,-0.17015561972110774,-0.10743667647397073,0.12272013810597322,-0.050584275092881686,0.25629577077861926,-0.1860220820242256,0.2369382648577929,-0.18842146975244922,-0.10756123904537544,-0.07240589074504054,-0.20839183435219139,0.05581184608592518,-0.07558199361325424,0.12523278144914804,0.19851318378089666,0.14922991137736585,-0.06702395436608401,0.015969075517332048,-0.16060558976237468,0.00803984010200145,-0.13558370985361407,0.017934885004826106,-0.07342502756967771,-0.07782386723194101,0.06729949951893854,-0.07429782130375284,0.08293751512058578,-0.18548875572337703,0.15501565933083747,0.0116279789058822,-0.14684171854120606,0.03631102217587264,0.10575371644146818,0.2965940235454731,0.2837000389722223,-0.0611549356061392,0.06328941274912343,0.12300182619207722,-0.13276494673962813,-0.13747789954860307,0.2111595925741287,-0.15654924206186593,-0.033052235998575395,-0.021254913813588072,-0.032287125584032114,0.0450942092123617,0.03323468609671448,-0.048087988522148045,-0.16848128572862167,-0.0858347744046095,-0.10297544870928424,0.099316012847261,0.3343237270902621,0.2102013657998465,-0.11640134858174321,-0.22957145313392166,0.1536823740321047,-0.15584041620769046,-0.020863825292029375,0.10958381830590791,-0.007996777463339903,-0.044834952939904034,-0.12409615719736074,-0.13099371063133186,0.04424400892291541,0.06319155746949218,0.06799008559754931,0.26211903442581946,-0.025056739626222815,-0.015496210855918381,0.0301879732825603,0.31055953931935265,-0.1956037770614197,-0.053923694070559296,-0.13130227062200303,0.11151867833878676,0.027833397778913183,-0.10572528337760803
Thal_VA_R,0.7543403195352595,-0.09863135240640179,0.4289493859952698,0.41602652657624556,0.24304883564164811,0.08649989830844211,0.1842989874710205,0.6970467377115307,0.01715410584793958,1.0,0.06627650754209131,0.6102147112305494,0.6476632998288918,0.35024668685742305,0.13597448730886946,0.6943589532241938,0.06669209675751737,0.38140028876561094,0.445623156026235,0.4799305908943155,0.7386351786165934,0.08532834807560583,0.13433491655108637,0.821650838599686,0.4596685091017573,0.10319420069102095,-0.009662749933278661,0.7467995968076009,0.6651719093515831,0.42651441267806345,0.6684841621429697,0.7282774163662885,0.5606608615641145,0.9033080334212235,0.5546056342381366,0.5725278407501035,0.2352731628142783,0.30676532735708917,0.6670329573616712,0.7719259119357129,0.36811218457434486,0.3806075645554657,0.665037006874084,0.6624293993359528,0.7069387884819439,0.07516215550399774,0.029178830570168898,0.7591210331212412,0.5215268904148428,0.6968396833959403,0.04608553518060611,0.10393289475220836,0.10908718523892336,0.457751204005126,0.1757769301120914,0.45236713117322347,0.2562647132449165,-0.05111161917051508,0.16167215422853867,0.7236913235435689,0.5695265998005143,0.3605611618398143,0.6270496432965139,0.36406602873913596,0.09259472740883042,-0.0612395738840348,-0.015512730039443458,0.01667698861417419,0.3994259309620237,0.46131096157587065,0.8733220934316628,0.36378641193227773,0.2973146388891433,0.3363731067447194,0.691798793797405,0.41673538014251277,0.8133057741400854,0.7447855253609312,0.4378705206048729,0.14907502837676734,0.37632142305128496,0.6259588511476033,0.6093055517731463,-0.029850051784753844,0.4307049510146061,0.6033186347525731,0.5903176224802548,0.8551201219754867,0.7340063000176028,0.6843418158986267
