,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R
SN_pr_L,1.0,-0.06290854816004236,0.09022929751298572,-0.07264234777179482,-0.0399833632845376,0.13470839996282363,0.03194345816243275,-0.10185038788765079,-0.16834054747886282,0.40611590903109623,-0.08230241546405855,0.218315914296512,-0.14922776819922953,0.2555509663939095,0.022981716395194387,0.1238043806059875,0.35895565575619104,0.18648764713390933,-0.1246255855152714,0.3107860558647886,0.25186185716729376,0.10742781635869204,0.28409325028174987,0.30574754450316866,-0.018413117131739952,0.06778929667906895,0.10010731894208405,-0.027096954692490124,0.22917877518598156,-0.07731237402476311,0.09140580689864913,0.0887872049068678,-0.04970580074543386,0.1820916316380698,0.29952786801877773,0.4102569554449376,-0.14992744923256965,0.17264628279606217,0.14297963870829966,0.22851341627486463
Thal_MDl_R,-0.06290854816004236,1.0,-0.08896589804835797,0.2780852343700548,-0.3194276208822246,-0.296348915993671,0.47117347267665405,0.2735624630418973,0.4619862017911525,-0.011365210035718352,0.6220224156980889,-0.2555276224321997,-0.06309483883972565,-0.36475646030747094,0.6449592268996758,0.11135815212041338,-0.0352297917421423,-0.2746931612172807,0.4175835519505577,-0.184937586172999,0.4878366191063103,-0.052617344553252766,-0.22015978646112522,-0.08074540215285646,0.5458275242343708,-0.006615139083069553,-0.22916664577062998,0.17535919490535273,-0.008345054980876867,0.24702635451336577,0.33238339613291046,-0.35494826370771976,0.330138684949529,-0.3443767486401456,-0.1369572765441189,-0.03273333299936802,0.5481087754325698,0.03185414627564983,0.18279500253010744,-0.037289661396762694
OFCpost_R,0.09022929751298572,-0.08896589804835797,1.0,0.13786594106518255,0.40844318973228866,0.18106854375625794,-0.09705752909348586,0.1088705881351152,0.22531666179324625,-0.11818373637664048,-0.0030171553649119805,0.14746401245654933,0.38350913678773485,-0.04681568303638283,0.011164448267471738,0.5276471742385156,0.06389221516934113,0.36843133139979195,0.47348608822804883,0.03763144846230279,0.19218525464385586,0.6550357038994327,0.14732985451338318,-0.011831629333673729,0.0583945324898171,0.6604312946287161,0.5341197273139675,-0.033092079299292296,-0.07615495010243396,-0.15325496363560295,-0.105743914000296,0.15274059328857265,0.041503074893433835,0.48729002804618593,-0.05881265624552384,0.2922875642047875,0.04505892192006574,0.2632070471528329,0.406880402503396,0.3535713202270275
Temporal_Sup_R,-0.07264234777179482,0.2780852343700548,0.13786594106518255,1.0,-0.11012477858488828,0.29967655797299037,0.5634033979841221,0.7030545692986271,0.7746727128821388,-0.22506283639833644,0.4541455760746357,0.18978609131654256,-0.010715780252599734,0.17677717082438799,0.7166178326068255,0.553190611943239,-0.41742300733238163,0.09393871850716183,0.29020138153425457,0.13501140451415136,0.2576864435583301,0.36608702603040916,0.05594930500582142,0.03709195199870135,0.638101225056484,0.5956918956526475,0.1024012484869157,0.6133166293214836,0.2902667621226773,0.779324998668892,0.5719358358121316,-0.2341722190830284,0.7771026639364507,-0.34631790676859087,0.40712848514910616,-0.15502452591335342,0.7401055362365491,0.23141748048047348,-0.23664914311983343,0.47659515781913425
OFClat_L,-0.0399833632845376,-0.3194276208822246,0.40844318973228866,-0.11012477858488828,1.0,0.3820912282177055,-0.35327146114215213,-0.31386752317394584,-0.36469097373319315,0.14197863433454785,-0.5029287162040832,0.3279675803427984,0.42665101612392975,0.31025286042322686,-0.29994877421900584,0.09988713496845794,0.2898732398702748,0.5037106290319524,0.20000481286157684,0.009890327977292997,0.011156187977459734,0.3124966986279797,0.5668766639702231,0.025464407423191143,-0.4556701778922404,0.22349635894536565,0.527343281148502,-0.21176672439474165,0.046837708421310555,-0.037581650216180255,-0.3425196921882372,0.39875486484589234,-0.3606356012032282,0.6032851074518252,0.12784583326730684,0.2855013223376489,-0.47268263911770236,0.4966963709345384,0.20212311534894545,0.4021527208471117
Heschl_R,0.13470839996282363,-0.296348915993671,0.18106854375625794,0.29967655797299037,0.3820912282177055,1.0,0.16592674989841358,0.01589277809494958,-0.14404738296098468,0.34816549960248566,-0.07669551363842882,0.3656941464669855,0.09274861281154442,0.6602715582917315,0.061147192608691864,0.13012566029468106,0.3330306242759158,0.6066972989581407,0.031433923165106466,0.4388277388179957,0.17891148326944878,0.1586212354805144,0.6332793143964538,0.36287878846680743,-0.15276292195248117,0.39571705016342207,0.5353575235560214,0.07983515227216184,0.498162506890534,0.2940054531576592,0.19654804210016816,0.211836789659221,0.011652521631562157,0.4428451009473194,0.5523357760247066,0.3167895770088472,-0.20102864314409027,0.38817793452833227,0.04736217702995762,0.6816937928525957
Cuneus_L,0.03194345816243275,0.47117347267665405,-0.09705752909348586,0.5634033979841221,-0.35327146114215213,0.16592674989841358,1.0,0.5902948390963991,0.5415982603258237,0.06921662309947856,0.6383898620274117,-0.03698213421119952,-0.4347265663011832,0.18422938234474281,0.7622642932851658,0.24890142284601205,0.01105054354116116,-0.08872639538384779,0.08644456982190676,0.40164281176852434,0.3209852463892451,-0.1504527554120716,-0.062039301745851844,0.3989622950372974,0.584661696611044,0.1679882567526797,-0.037773239001910895,0.5643652649189393,0.5518230414980917,0.5806463855195914,0.7227372771289177,-0.5966692959245317,0.7001073085311842,-0.36947345256625364,0.3019401690342627,-0.16433634369093683,0.6082853781671417,-0.14646435144191242,-0.13578855723742642,0.21512924667243644
Occipital_Inf_R,-0.10185038788765079,0.2735624630418973,0.1088705881351152,0.7030545692986271,-0.31386752317394584,0.01589277809494958,0.5902948390963991,1.0,0.7720335100782861,-0.2934964815219687,0.5717562884264822,0.18469109901004582,-0.1218045899950807,-0.10253175233905466,0.6026879585002142,0.2868834179959434,-0.549815878979849,-0.07234351637274004,0.0603080052134065,0.11463600022196364,0.021860540463553447,0.11682682331470046,-0.35849272723711556,-0.002377770041569286,0.7055267395185701,0.3173740017984061,-0.0963213233052722,0.7743625202078323,0.018067957683115435,0.44686263848369884,0.5261487471155328,-0.5048456498813122,0.8932092897282222,-0.6107169428219938,0.22762049312558832,-0.26983139224821784,0.823314333424196,0.010589248814388047,-0.40741086728049763,0.04468707810268878
Temporal_Inf_R,-0.16834054747886282,0.4619862017911525,0.22531666179324625,0.7746727128821388,-0.36469097373319315,-0.14404738296098468,0.5415982603258237,0.7720335100782861,1.0,-0.37293505203200095,0.673919347796317,-0.08719762023530774,0.04785004670679948,-0.3342360157912312,0.7446107264807986,0.5111589568078516,-0.5311898770939091,-0.17097371582873744,0.38810176285539116,-0.0008005160691821643,0.24366598483815374,0.3864856483994365,-0.30064022749907116,-0.09147932522608339,0.83388773442497,0.5405145885863541,-0.07165200784650956,0.5547988926382781,-0.0575451620193468,0.39984921938050044,0.489190411941807,-0.4026813113065939,0.7616441149364999,-0.5333675413234535,0.06251461319977542,-0.19578275784302673,0.9388620886595224,-0.04302973770172577,-0.12306339989214654,0.03287699637203264
Red_N_L,0.40611590903109623,-0.011365210035718352,-0.11818373637664048,-0.22506283639833644,0.14197863433454785,0.34816549960248566,0.06921662309947856,-0.2934964815219687,-0.37293505203200095,1.0,-0.08563299832970346,0.10003043480520184,-0.07766682647554848,0.35891757584362544,0.012027023249868112,-0.25233545614979375,0.5891978214984996,0.29488345903200014,-0.15357862620128082,0.37095938966305364,0.20718520595666076,-0.14276877327143642,0.4944395043613514,0.42360968556230016,-0.25966264130096006,-0.0854015093583632,0.27093825602151583,-0.15961044136355662,0.33920672073170516,-0.027022722497411583,0.03882246490923767,0.1007091365487667,-0.2623137532638788,0.3812441445625191,0.35918818727306023,0.564437460470108,-0.2999559452055664,0.15408528185251816,0.0576165766537847,0.23870293087315447
Vermis_8,-0.08230241546405855,0.6220224156980889,-0.0030171553649119805,0.4541455760746357,-0.5029287162040832,-0.07669551363842882,0.6383898620274117,0.5717562884264822,0.673919347796317,-0.08563299832970346,1.0,-0.23519694851468265,-0.0345247397414368,-0.26276564489817855,0.7260137901831675,0.17206528730534829,-0.28637387529236363,-0.1059131571134992,0.32797755525140404,-0.039572099293125364,0.3285632730796726,-0.009370557593938853,-0.25468000261868784,-0.10735392550784655,0.7978206486507952,0.23021129891714778,-0.06111113333908563,0.37178492983807426,0.0007399017665827265,0.3125092613883868,0.5954819008193017,-0.4545356757784511,0.5908380333885797,-0.46218042324953956,0.005791842919816838,-0.00852497874449209,0.7543739073276754,-0.12629277572286332,0.08395094859230413,-0.04089164918434888
Thal_AV_L,0.218315914296512,-0.2555276224321997,0.14746401245654933,0.18978609131654256,0.3279675803427984,0.3656941464669855,-0.03698213421119952,0.18469109901004582,-0.08719762023530774,0.10003043480520184,-0.23519694851468265,1.0,0.0741467533157766,0.39923311096906167,-0.012329259652797547,0.08521870721481052,0.1404601431907581,0.48547980289592274,-0.15039986849840872,0.3516411718595074,0.07924166657972281,0.11601918057338786,0.3717392642584772,0.26796000338685355,-0.025479351465094963,0.17328812474713529,0.3672518295543679,0.16769624193874694,0.16316201572943542,0.1591134791171097,-0.10269981481792419,0.1685807184449732,0.09042193357675002,0.15315358699671758,0.5146649380884277,0.11054049791960027,-0.06917170839465324,0.6123322294615177,-0.2925869916373472,0.3727345608215275
