,Calcarine_L,Thal_MDl_R,Precentral_R,Postcentral_R,Cerebellum_9_R,Thal_PuA_R,OFCant_L,Fusiform_R,Temporal_Inf_L,Insula_L,Thal_LGN_R,N_Acc_L,LC_L,ACC_sub_L,Occipital_Sup_L,Cerebellum_Crus1_R,Heschl_R,Amygdala_L,VTA_L,Hippocampus_R,Supp_Motor_Area_R,Vermis_7,OFCmed_R,Amygdala_R,Cuneus_L,Vermis_4_5,SN_pc_R,Thal_VA_L,Thal_PuI_R,Rectus_L,Frontal_Inf_Tri_L,Cerebellum_Crus2_R,Red_N_L,Occipital_Inf_L,Frontal_Sup_Medial_L,Frontal_Med_Orb_L,OFCmed_L,Temporal_Pole_Mid_R,Frontal_Med_Orb_R,Cerebellum_9_L,Vermis_8,Thal_VPL_L,Cerebellum_3_R,Cerebellum_6_R,Olfactory_L,Vermis_1_2,N_Acc_R,Thal_IL_R,ACC_pre_R,Thal_LP_L,OFCpost_R,Thal_PuL_R,Cingulate_Post_L,Precuneus_L,Vermis_9,Temporal_Pole_Sup_L,Frontal_Inf_Oper_L,Parietal_Inf_R,Temporal_Sup_L,VTA_R
Calcarine_L,1.0,0.355672792861256,0.0797448738876166,0.2433586985652828,0.4602680926426684,0.05140983759229705,-0.26355299332664867,0.4371841017649687,0.045526167959100236,0.05299829262514839,-0.10641632307363086,0.15310998381239282,0.1641908600443161,-0.4779975024166047,0.3729399110197909,0.29440477125587233,0.21902367813775012,0.054224068958750246,0.3452811840443184,0.051525521451862594,0.2467196507278504,0.29068907518446324,0.0010557016812789482,0.36735433536624945,0.7793304923727262,0.3495704136534526,-0.16191433945907416,0.016190482321121136,0.4854869219539214,-0.12078117848343134,-0.08174603971215232,0.46467278704310483,0.18363854050424663,-0.13053923160229458,0.06340921771380545,0.0274859906482096,-0.05986819712961307,0.20916075975424778,0.057427073698231676,0.4718646122187115,0.364024825574969,-0.018632237386693663,0.6688867705350373,0.6685203642965075,-0.15487287008844336,0.36028118407136017,0.3397106442385533,0.1803737380819196,-0.08621660618049012,0.3733517127123948,-0.06608004072133401,-0.44398896345429,0.10825978609963235,0.7515500080630776,0.6058571990739312,-0.243631546943181,0.12491935595948235,0.3711983090797031,0.24862300587823652,-0.15861642524174213
Thal_MDl_R,0.355672792861256,1.0,-0.4761384142061133,-0.33203385389279516,0.6830954567242605,-0.13386398266497662,-0.20046716286950217,0.20395703936998155,0.21579597390595234,-0.22015978646112522,-0.6160600754805595,-0.1726483311691656,0.28958350484699075,-0.2966404619742501,0.24629592716003781,0.5481087754325698,-0.296348915993671,0.18279500253010744,0.47129994987705115,-0.006615139083069553,-0.23430581932985087,0.5458275242343708,0.10179796396216682,0.11135815212041338,0.47117347267665405,0.00950049194425769,-0.03273333299936802,-0.04654100035256134,-0.08636238421845409,-0.16406095934763412,-0.1826740729999409,0.5020985884598534,-0.011365210035718352,-0.052003098123564934,0.04666812166311681,0.2518042315000095,0.03468420523682788,0.46167159585269346,0.23424973916000025,0.726185220107734,0.6220224156980889,-0.28057450385740496,0.27481115897429326,0.49322092696126624,-0.2542015659845589,0.23630782780406295,0.3873127369713568,-0.050723878354016996,0.041109672622912576,0.01481541234885315,-0.08896589804835797,-0.35494826370771976,0.2046272177423115,-0.008345054980876867,0.6449592268996758,-0.09255760920026529,-0.06287512947803343,-0.21556327316685536,-0.0352297917421423,0.21715477662160354
Precentral_R,0.0797448738876166,-0.4761384142061133,1.0,0.9282149872376468,-0.47082512783500824,0.4580168714464992,0.011448869395840305,-0.07678612959896708,-0.013516129498682134,0.4896781900862721,0.6862287051528525,0.4016271601420958,-0.08789740314900307,-0.024978188259618287,-0.15770257286128953,-0.5206300567942744,0.5994592002362926,-0.04479798147203747,-0.14846251030378987,-0.024031986891736693,0.6836087887355684,-0.4074198569838038,-0.32468703909121216,-0.10450163722570904,-0.11918072964105753,0.20350022434481777,0.13225767729918167,0.3506578453385394,0.5240166619357359,-0.023734596186573486,0.3724245023754863,-0.3008189623189297,0.30804166057557375,0.19159734558637873,0.08957158630293612,-0.35422878650302925,-0.12902236284491392,-0.5970720469935425,-0.43438079426435183,-0.38864639392666894,-0.36503660830752627,0.31942110773713517,0.3038976262182439,-0.22668495428561936,0.3134987294373961,0.14519009554394116,0.041782799800324684,0.4429234659568698,-0.15014444429143897,0.3685224225561554,-0.15326267668537416,0.39954396594205766,0.0626895779104556,0.5128312406999664,-0.27737172734363413,0.1205970154705527,0.19892681655629016,0.779629941930363,0.22127111644244304,-0.3828078049909785
Postcentral_R,0.2433586985652828,-0.33203385389279516,0.9282149872376468,1.0,-0.23356054294390743,0.42220269543737887,0.004277639234201957,0.13097366180917708,-0.0975354494857864,0.4847473101461898,0.5792191958922119,0.48475861210950116,0.09991694815327933,-0.09991123397053445,0.06348730872415657,-0.27641196451144656,0.6456852921698913,-0.09518060042268084,-0.09654159130468261,0.11760094795584054,0.7217393579706566,-0.23154813461756554,-0.17163492308470962,0.1085714153981865,0.09658641823561469,0.30160138130434855,0.06172276426704166,0.3378613658891117,0.5761131476672663,0.14158085462526876,0.2320951518881951,-0.05043173710482856,0.23128114728106014,0.031007554631506715,-0.015332189777077034,-0.25561280607835773,0.0561720504140841,-0.37260068118550027,-0.2847017068187893,-0.20809639888685907,-0.19689647202147645,0.24494348628610674,0.517793303190445,0.016077771727826765,0.3260506665731656,0.2647266613181402,0.21116958932564153,0.4097513623424588,-0.13792010866877724,0.45084038671378046,-0.08351202116405672,0.2523313312236905,0.14521481140445985,0.6332113861452282,-0.03026167727309211,-0.0006645166286712541,0.1249491593141872,0.8056519557213591,0.10010651046933011,-0.293144426929646
Cerebellum_9_R,0.4602680926426684,0.6830954567242605,-0.47082512783500824,-0.23356054294390743,1.0,-0.16446721252020605,-0.27225820632438075,0.6483478799799162,0.026529577865614055,-0.10574109364559554,-0.5082769268789645,0.04356122585231272,0.48537201619655607,-0.36048081183544,0.47450913002691003,0.8807601749526475,-0.07340727348935971,0.013468001110474016,0.43575009354463384,0.3889428172316131,0.03447735873272383,0.8627121042289951,0.42858445524501654,0.4486957234984778,0.6845669305648143,0.3566180467103547,-0.029840188398325695,-0.07277105860836515,0.00031732323728080286,0.24431946221104134,-0.33459740164246926,0.7771908228870329,-0.08814814103437697,-0.49549361580297013,-0.19189595654897204,0.3813763714109714,0.30566202193805064,0.7115825742125157,0.36938253350850275,0.9338236903009957,0.7786873252349796,-0.3584110932436353,0.4893989160911666,0.8701647502354318,-0.1374416630356587,0.3253638995370969,0.4492017151150972,-0.19501599991339832,-0.0010387108265358478,0.06093257693288414,0.10565440849713476,-0.49350802001957317,0.3876982402638476,0.07831860040759152,0.9232620471403836,-0.2989576296479541,0.08160720539551909,-0.35805253490370215,-0.18883805425000302,0.36450498714636215
Thal_PuA_R,0.05140983759229705,-0.13386398266497662,0.4580168714464992,0.42220269543737887,-0.16446721252020605,1.0,-0.02109005119478995,0.008569488433725453,0.20195359079268183,0.6019406945849546,0.48800710097878913,0.47535154221826587,0.1328462158625948,0.02573371049640687,-0.18561191749660383,-0.3368340160601585,0.565331516414786,-0.0025244352892650496,0.03179788366176741,0.2704378372499247,0.6461778898758601,-0.29856485797069315,-0.03290868011795622,0.028608838002040463,-0.003965884102466259,0.386660917116381,0.33538262202088404,0.5712304088072151,0.4045952351727742,0.14202325169353172,0.5003084672606801,-0.28748719104767345,0.44041981791045776,0.07494778654602435,0.2270573890885589,-0.37939586820471805,0.019858345468002855,-0.22076029452293428,-0.37808276080763187,-0.17709574749260018,-0.1628879660018156,0.5467116075253653,0.2586270319052592,-0.07172932957121018,0.42399264751179877,0.20245547873267164,0.017291589002947375,0.5803851048588377,-0.03352222293946099,0.32277888252447906,0.22493557873118109,0.39962435055905365,0.46184812322428104,0.4126606342478108,-0.10185160456943809,0.20644865429952894,0.601820319637984,0.2417953591333337,0.48776488924125955,-0.1484989399953799
OFCant_L,-0.26355299332664867,-0.20046716286950217,0.011448869395840305,0.004277639234201957,-0.27225820632438075,-0.02109005119478995,1.0,0.030417710802984693,0.44575879887354136,0.1422384802995922,0.31020125020262146,-0.4699882055510093,0.15673412809575943,0.8369749213492413,-0.2643659007693323,-0.30928747583735644,0.07232610531251438,0.6055037539228868,0.12873581127386927,0.3048003301871018,-0.27374350733362607,-0.2744575839689684,0.45427601843579823,0.37193083156095136,-0.46391246656526175,0.03906262706107936,0.24432397361207303,0.0653345505216273,0.004590948016742297,0.38612063297727206,0.423743347618118,-0.24010055063918243,-0.22140623260377965,0.2769004079350764,0.5126942118515525,0.4559176985809089,0.5172618386314796,0.09682152594949461,0.4878717030709203,-0.2284950402651576,-0.3513177048885508,0.15535474913330993,-0.282556725438653,-0.25888285576653924,0.5708697228041775,-0.02977606321335875,-0.5425837089978257,0.0002453592741681839,0.749159239257261,-0.3032795215917846,0.6306780864193138,0.3325542617862154,-0.02321295734081003,-0.23547975377079783,-0.33364947858379285,0.7225793118153218,-0.059818888667600136,-0.07937446920835332,0.04816554780607606,0.27491198571670106
Fusiform_R,0.4371841017649687,0.20395703936998155,-0.07678612959896708,0.13097366180917708,0.6483478799799162,0.008569488433725453,0.030417710802984693,1.0,0.04634077622404344,0.0666990839397166,0.038747981285002446,0.074648889330764,0.5307685974818083,-0.03986116724563399,0.41490486434371765,0.6415181852009519,0.2954492749191833,0.16360837463138816,0.2071146969927621,0.7536246060559387,0.19081811421925968,0.6978470253068404,0.5636601935045511,0.6324762346909674,0.5422981776017887,0.6844056061805721,0.03284142912657596,-0.09151035953292631,0.2903509491785618,0.5038435935404398,-0.13446072831660003,0.6455898579785331,-0.18770786373814272,-0.48729786943386233,0.03955205863289297,0.42632575906049747,0.46792202257189774,0.5980334794795977,0.47340241713355474,0.5548931223964287,0.5754363569979047,-0.339752588857331,0.47524014932779374,0.8544802614141843,0.10201265370218565,0.23256386454982533,0.1522279092731733,-0.17347130411209935,0.2637613940446987,-0.100151211900456,0.40127836121477833,-0.1426710893506295,0.45382662780942185,0.24364980129382596,0.6692702060764358,-0.10749873575074094,0.1924523434755902,-0.2111883253595,-0.2564610068672923,0.42587798982369196
Temporal_Inf_L,0.045526167959100236,0.21579597390595234,-0.013516129498682134,-0.0975354494857864,0.026529577865614055,0.20195359079268183,0.44575879887354136,0.04634077622404344,1.0,0.2757730013240848,0.14054523024046187,-0.48829189467390494,0.04939032225129794,0.4418968617750952,-0.39634839998124666,-0.2596156681387464,0.12431438051756201,0.8032100013803182,0.5244749127933327,0.15094065862199155,-0.1044911253876287,-0.0063588475704845,0.15199576143136037,0.06252353255742672,-0.1132898426177943,0.2271645510719005,0.5339522336705474,0.20237980520670737,0.022799870921923312,-0.05696591512597376,0.7170721436186781,-0.2634741864740658,0.23967887034526544,0.3514912978747706,0.7619268059107813,0.272425731817555,0.08759689656266881,-0.047397441007113836,0.1619096784633001,0.2425387724723894,0.09404795444875466,0.1647718881551352,-0.13405600778618515,0.001371476065041762,0.30573949674015444,0.1505377630204184,-0.3756724800782412,0.19771446080825256,0.5955481931557479,-0.233090327130778,0.3862048366872583,0.18929035402460592,0.32653616444588435,-0.10905718719838596,-0.015570789802916546,0.7788858517857359,0.45690542634964276,-0.13153116099234408,0.5411659480778475,0.23395278403552347
Insula_L,0.05299829262514839,-0.22015978646112522,0.4896781900862721,0.4847473101461898,-0.10574109364559554,0.6019406945849546,0.1422384802995922,0.0666990839397166,0.2757730013240848,1.0,0.5321224473713999,0.3193794161311149,0.2394424660184949,0.1955416003252086,-0.29855423488668403,-0.3679497128538072,0.6332793143964538,0.22494953310234958,0.20497263217496703,0.35242260700287337,0.6750325437074106,-0.2816354794399863,-0.04668181336978541,0.12666234478740168,-0.062039301745851844,0.4192843447073894,0.5486544432426228,0.7220069170229692,0.4569535901210772,0.09134460024595578,0.6933737967797469,-0.31473821568660204,0.4944395043613514,0.11414488608818316,0.39532649945485654,-0.3126162970962751,-0.019114395496936352,-0.3167043552438082,-0.38122973453847486,-0.04770138865077576,-0.25468000261868784,0.6951484327576497,0.38124110497380354,-0.06835806503745534,0.6003411310140359,0.500270556768086,0.03736175500789632,0.4400715799257557,0.1835664927989467,0.44905071459986245,0.14732985451338318,0.5038734538506815,0.6387295100333563,0.417742423619323,-0.021047666376694016,0.3016524422705887,0.6777748604676405,0.30569337622098747,0.6335730674553147,-0.008128128665701949
