,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pc_R,1.0,-0.25509282467369565,0.14980790170813696,0.11772514507431592,0.2062760371595399,0.4416474206274641,0.1471528615802546,0.029971393110161657,0.0006431974488480255,0.2866901788173468,0.4355903112765637,0.412728353256406,0.4011793822996238,0.1923705883585967,-0.05256771139579308
Thal_MDl_L,-0.25509282467369565,1.0,0.05791938185757269,0.5254566654197795,-0.05530168066327326,0.10452238196319673,0.1035178160945476,-0.10716389209938042,0.5490873298074428,-0.48818004789138586,-0.038291794184163036,-0.1686103024304992,0.3607438655823493,-0.2472421559712387,0.373747674251506
OFCpost_R,0.14980790170813696,0.05791938185757269,1.0,0.5870661869994142,0.25495208980810563,0.268630456209952,0.016557726166755354,-0.44606523355058525,0.3882363754049075,0.15559188679656216,0.15174986163409418,0.3461802406362812,0.10943114905062198,-0.16797991868278697,-0.04576546519808966
Temporal_Sup_R,0.11772514507431592,0.5254566654197795,0.5870661869994142,1.0,0.08228184652199856,0.6068767771325407,0.17307110440606935,-0.27620345452518996,0.7636083697184126,-0.2513133076669626,0.183280869571931,0.30652113939438597,0.4984140915107333,-0.36615487683741377,0.42150879834148025
OFClat_L,0.2062760371595399,-0.05530168066327326,0.25495208980810563,0.08228184652199856,1.0,0.24112690852405108,0.1319037445076014,0.020256280797858198,-0.21458096957867917,0.12284325352671634,0.12238469096581822,0.16106865657625138,0.37215356668377797,0.12285715303465596,0.11123783219295919
Heschl_R,0.4416474206274641,0.10452238196319673,0.268630456209952,0.6068767771325407,0.24112690852405108,1.0,0.4013821293835033,-0.049865350355597436,0.1966191795411574,0.006570932427486684,0.4433587714263744,0.5007250307312365,0.7017804766017246,-0.16051347406798327,0.22232398675723222
Cuneus_L,0.1471528615802546,0.1035178160945476,0.016557726166755354,0.17307110440606935,0.1319037445076014,0.4013821293835033,1.0,0.0677452785912702,-0.004473912910230684,-0.03281584164695558,0.1611886873953179,0.10223552271302684,0.3658683303144929,-0.008349345698262768,-0.0030468307187528332
Occipital_Inf_R,0.029971393110161657,-0.10716389209938042,-0.44606523355058525,-0.27620345452518996,0.020256280797858198,-0.049865350355597436,0.0677452785912702,1.0,-0.2936181460236326,0.15530279966323016,0.125641791611862,0.038604277768432796,0.10178521287576019,0.09041056308638523,-0.09949752192088705
Temporal_Inf_R,0.0006431974488480255,0.5490873298074428,0.3882363754049075,0.7636083697184126,-0.21458096957867917,0.1966191795411574,-0.004473912910230684,-0.2936181460236326,1.0,-0.36366947108942305,-0.07182049053705444,0.055434520013275645,0.16988142200708073,-0.25314418123714993,0.4192517165175881
Vermis_8,0.2866901788173468,-0.48818004789138586,0.15559188679656216,-0.2513133076669626,0.12284325352671634,0.006570932427486684,-0.03281584164695558,0.15530279966323016,-0.36366947108942305,1.0,0.33341402637216544,0.24232305807162774,-0.17331239854698546,0.20602692558522648,-0.6618257236603264
Thal_AV_L,0.4355903112765637,-0.038291794184163036,0.15174986163409418,0.183280869571931,0.12238469096581822,0.4433587714263744,0.1611886873953179,0.125641791611862,-0.07182049053705444,0.33341402637216544,1.0,0.40277576536755916,0.43175008346538996,0.15579411432570606,-0.2524974846540415
Thal_LGN_R,0.412728353256406,-0.1686103024304992,0.3461802406362812,0.30652113939438597,0.16106865657625138,0.5007250307312365,0.10223552271302684,0.038604277768432796,0.055434520013275645,0.24232305807162774,0.40277576536755916,1.0,0.3896046367890479,0.009776034275213261,-0.11140354476094591
Paracentral_Lobule_R,0.4011793822996238,0.3607438655823493,0.10943114905062198,0.4984140915107333,0.37215356668377797,0.7017804766017246,0.3658683303144929,0.10178521287576019,0.16988142200708073,-0.17331239854698546,0.43175008346538996,0.3896046367890479,1.0,-0.1286332065975905,0.42716477835383015
Vermis_9,0.1923705883585967,-0.2472421559712387,-0.16797991868278697,-0.36615487683741377,0.12285715303465596,-0.16051347406798327,-0.008349345698262768,0.09041056308638523,-0.25314418123714993,0.20602692558522648,0.15579411432570606,0.009776034275213261,-0.1286332065975905,1.0,-0.39592349364572915
Amygdala_R,-0.05256771139579308,0.373747674251506,-0.04576546519808966,0.42150879834148025,0.11123783219295919,0.22232398675723222,-0.0030468307187528332,-0.09949752192088705,0.4192517165175881,-0.6618257236603264,-0.2524974846540415,-0.11140354476094591,0.42716477835383015,-0.39592349364572915,1.0
