,Frontal_Sup_Medial_L,Postcentral_R,Cingulate_Post_R,Thal_VPL_R,Parietal_Inf_L,Cerebellum_8_R,Thal_VPL_L,Frontal_Sup_2_L,Cerebellum_8_L,Frontal_Inf_Tri_R,Vermis_8,OFCpost_L,Vermis_3,Caudate_L,Hippocampus_R
Frontal_Sup_Medial_L,1.0,0.569562920728379,0.6267995834054123,0.3578416125848388,0.32192592074556287,0.3105990589492123,0.506093329640404,0.6441373468967654,-0.3217049150698967,0.7392021617464817,0.03804722583894171,0.160545646196937,0.515558153339039,0.342761271328302,0.5004864530802016
Postcentral_R,0.569562920728379,1.0,0.4911764289135421,0.20788988023408697,0.371212454692346,-0.06900162034307247,0.5656303099448331,0.3725365517156735,-0.22865440264499276,0.7585535325686871,-0.19207614262136125,0.29969556657136875,0.6162875250994064,0.21651211879491825,0.6198041135654414
Cingulate_Post_R,0.6267995834054123,0.4911764289135421,1.0,0.5223061397447809,0.2507853914984676,0.07368234029657593,0.5751160755941432,0.6394224904415208,-0.07634033767749726,0.5059159730928853,-0.02402561875578088,0.2776508612501587,0.531200521105442,0.5531157556248673,0.6899471896452046
Thal_VPL_R,0.3578416125848388,0.20788988023408697,0.5223061397447809,1.0,0.24348356438707236,0.40957214228902344,0.7086807076433984,0.7334940351063878,0.49382871419645097,0.28268592048402286,0.41342921757424445,0.33418435931142776,0.6163074316386956,0.6552563651209701,0.5175939197355777
Parietal_Inf_L,0.32192592074556287,0.371212454692346,0.2507853914984676,0.24348356438707236,1.0,0.1455860488741881,0.15499408256667324,0.4561516345169268,-0.18617025618237304,0.4900694853911895,-0.13435093938825968,0.07869251354718641,0.32807042104835826,0.24614791161975086,0.5714215793878946
Cerebellum_8_R,0.3105990589492123,-0.06900162034307247,0.07368234029657593,0.40957214228902344,0.1455860488741881,1.0,0.16906015530205878,0.3050301424920264,0.16231192051200402,0.14941751210819793,0.5496788608913225,-0.0789017363682677,0.2738400053737527,0.22796917487891086,-0.02260245916789687
Thal_VPL_L,0.506093329640404,0.5656303099448331,0.5751160755941432,0.7086807076433984,0.15499408256667324,0.16906015530205878,1.0,0.6395588985204674,0.26514627782760625,0.5103969490990247,0.1658984124742386,0.35701261439214116,0.5934535278128559,0.5036170075281392,0.6018209282010019
Frontal_Sup_2_L,0.6441373468967654,0.3725365517156735,0.6394224904415208,0.7334940351063878,0.4561516345169268,0.3050301424920264,0.6395588985204674,1.0,0.23071747057166217,0.3645160637768338,0.21286189654083118,0.4730940811493279,0.6700800330934159,0.7525273740465511,0.6769915810743483
Cerebellum_8_L,-0.3217049150698967,-0.22865440264499276,-0.07634033767749726,0.49382871419645097,-0.18617025618237304,0.16231192051200402,0.26514627782760625,0.23071747057166217,1.0,-0.449574799294564,0.5643958132974779,0.2733430558803308,0.23026005073864236,0.30450112968177234,-0.11878818874816849
Frontal_Inf_Tri_R,0.7392021617464817,0.7585535325686871,0.5059159730928853,0.28268592048402286,0.4900694853911895,0.14941751210819793,0.5103969490990247,0.3645160637768338,-0.449574799294564,1.0,-0.20905277867198613,0.09528416582199774,0.47497576447826173,0.10523374522026879,0.637205350952728
Vermis_8,0.03804722583894171,-0.19207614262136125,-0.02402561875578088,0.41342921757424445,-0.13435093938825968,0.5496788608913225,0.1658984124742386,0.21286189654083118,0.5643958132974779,-0.20905277867198613,1.0,0.12807906383384451,0.29271937000377823,0.32522857655871523,-0.3157128033139334
OFCpost_L,0.160545646196937,0.29969556657136875,0.2776508612501587,0.33418435931142776,0.07869251354718641,-0.0789017363682677,0.35701261439214116,0.4730940811493279,0.2733430558803308,0.09528416582199774,0.12807906383384451,1.0,0.4694401567360828,0.5341098117338567,0.34712126498708745
Vermis_3,0.515558153339039,0.6162875250994064,0.531200521105442,0.6163074316386956,0.32807042104835826,0.2738400053737527,0.5934535278128559,0.6700800330934159,0.23026005073864236,0.47497576447826173,0.29271937000377823,0.4694401567360828,1.0,0.47654149150615877,0.5409047149886331
Caudate_L,0.342761271328302,0.21651211879491825,0.5531157556248673,0.6552563651209701,0.24614791161975086,0.22796917487891086,0.5036170075281392,0.7525273740465511,0.30450112968177234,0.10523374522026879,0.32522857655871523,0.5341098117338567,0.47654149150615877,1.0,0.464025305909059
Hippocampus_R,0.5004864530802016,0.6198041135654414,0.6899471896452046,0.5175939197355777,0.5714215793878946,-0.02260245916789687,0.6018209282010019,0.6769915810743483,-0.11878818874816849,0.637205350952728,-0.3157128033139334,0.34712126498708745,0.5409047149886331,0.464025305909059,1.0
