,Thal_PuI_L,VTA_L,Vermis_7,Cerebellum_3_R,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_R,Thal_LP_R,Cerebellum_10_L,Frontal_Inf_Orb_2_L,Temporal_Pole_Sup_R,Thal_AV_R,Thal_MDl_R,Raphe_D,OFCant_R,Temporal_Pole_Mid_R,SN_pc_R,Vermis_6,Vermis_3,Olfactory_L,Cerebellum_3_L,ACC_sup_R,Raphe_M,Thal_LGN_L,Rectus_R,Vermis_8,Parietal_Inf_L,Thal_PuL_L,Caudate_R,Red_N_L,OFCmed_R
Thal_PuI_L,1.0,0.32250272071378633,0.03732924668536287,0.4761189708733786,0.23784872749113387,0.6146915489844242,0.5271950099292868,-0.07391177636281498,-0.20884721408374488,0.36037159799664636,0.4647443735254408,0.3139530642851022,0.12633055452799752,-0.28802875406542733,0.014387407031155845,0.038660280445699996,-0.2799128328826687,0.3704252962567126,0.04482342826350485,-0.009545405082751715,0.10303602495287136,-0.17181966639007648,0.7150216042834766,0.16381770610696397,-0.2798372031025116,0.4796600059849788,0.649568723797588,0.06686715265705712,-0.0455753714262391,-0.0741328863602514
VTA_L,0.32250272071378633,1.0,0.05396863768247843,0.23681219536235046,0.23361875226523574,0.45031109150484233,0.2762212094985084,-0.21699755817633667,-0.024831064899842957,0.11410728088403886,0.1845855592083677,0.4122201925340757,0.168984818247933,-0.2920859067343969,0.0485469158896045,0.2845583756673847,-0.0230389223305949,0.27444083164702054,0.08227242917335008,0.13281873785966836,0.1969470390498844,0.0867286604050122,0.33987359383374804,0.1694021420341911,0.15924768311268148,0.219374013072805,0.3717054473800574,0.1673528599456176,0.18314473526160077,0.09929476360620107
Vermis_7,0.03732924668536287,0.05396863768247843,1.0,0.14501412333739844,-0.0310775439731767,-0.12463676360805481,-0.03958218315865776,-0.04886301761820794,0.11265723931093631,-0.006565919719605411,0.06028078822629468,-0.0011174194758909574,0.12574862606987436,-0.04637372310899067,0.0073897486053169275,0.11417931519781302,0.2503757847995158,0.132187098695839,0.01618193445662638,0.0774005874576876,0.188122735268346,0.0060838488323990015,-0.004564011430621953,-0.09180630676646678,0.12181624222710943,-0.011694894535660352,0.14694008040630538,0.1105233220951888,0.07242706013537334,0.03992353344090897
Cerebellum_3_R,0.4761189708733786,0.23681219536235046,0.14501412333739844,1.0,0.696373256953459,0.28170370275472606,0.32228578867307445,0.13040497599333453,0.5145805636105829,0.16628568946765473,0.06200211336808994,0.36079425879274085,0.6268485656534108,0.16807957533662982,0.09731195805186693,0.5809590410240127,0.31722695870730816,0.8187791813974007,0.41973122086695436,0.6792378148860558,0.6271610995598514,0.3295455739229055,0.4356254704770047,0.12206157667189055,0.1630873961137089,0.4001396390290453,0.6898260045351647,0.619209392047427,0.5337899146227376,0.039458290936797084
Frontal_Inf_Tri_L,0.23784872749113387,0.23361875226523574,-0.0310775439731767,0.696373256953459,1.0,0.36124129634030583,0.13120077730155694,0.18397869616972617,0.4456219582818192,0.08472396301776006,-0.10460548895496853,0.29941693234638556,0.5367475128430369,0.25293264140451216,-0.0028628560702781323,0.6108817304777311,0.2810484693886563,0.6570317182876163,0.49468492859522023,0.5793689104170784,0.5323252348624888,0.39937374374345774,0.3885625639736231,0.06983874752887832,0.2232057846217396,0.438654252303629,0.49017717732307425,0.7444815159822972,0.5568928680179948,-0.09885442297607469
Frontal_Inf_Orb_2_R,0.6146915489844242,0.45031109150484233,-0.12463676360805481,0.28170370275472606,0.36124129634030583,1.0,0.5211516072532489,-0.030149306451275316,-0.18796999110560336,0.23641594116842884,0.3387006803042403,0.5041344294947572,0.1300482143674094,-0.3378127670771336,-0.12216519217651958,0.14128741036064105,-0.4140474005819789,0.24788928343744127,0.17557679534979567,-0.10852887883247336,0.014414175082831394,-0.1347550816955461,0.6959127124569386,0.28490376507336995,-0.30204837682784696,0.49522431459660005,0.3905890953350573,0.2316049546636608,-0.067497792317424,0.02912946015783386
Thal_LP_R,0.5271950099292868,0.2762212094985084,-0.03958218315865776,0.32228578867307445,0.13120077730155694,0.5211516072532489,1.0,-0.029657082199009897,-0.20561396580403005,0.21037138751591994,0.2934293127349717,0.321235861200836,0.21461925782185554,-0.22367845601964315,0.02970379645446812,0.09152434700210134,-0.3111431675251005,0.20315558783224116,0.2480831267251747,-0.07920059576920052,-0.003329209508418299,-0.11266650610877213,0.6073907866995065,0.37407464563501114,-0.28221152317255654,0.27969124514204513,0.35145974051116663,0.14337306760775248,0.051248623984614196,0.23448188135816309
Cerebellum_10_L,-0.07391177636281498,-0.21699755817633667,-0.04886301761820794,0.13040497599333453,0.18397869616972617,-0.030149306451275316,-0.029657082199009897,1.0,0.24607748322386042,0.12874632421862456,0.03043128583221597,-0.12074967107288498,-0.03142433475564951,0.43337960736250775,-0.30412349509632286,0.16154680496461848,0.16869114973693108,0.018338816875504555,0.12072469277284108,-0.15190544827557426,0.04156740259687909,-0.12027275588503823,0.09189617881282587,-0.2532600413662741,-0.2883234758747952,-0.059072820282986944,0.01570800272823139,0.24753169185454438,-0.08053195350260826,-0.25855407892635573
Frontal_Inf_Orb_2_L,-0.20884721408374488,-0.024831064899842957,0.11265723931093631,0.5145805636105829,0.4456219582818192,-0.18796999110560336,-0.20561396580403005,0.24607748322386042,1.0,-0.06547816894292317,-0.22978401134278598,0.016796763752504464,0.31470727435109974,0.47351280739909996,-0.009802373777484153,0.46867094437695667,0.5078039328199105,0.4477369837945084,0.15318938079184183,0.5774218666356591,0.6134421599507833,0.2708212618069808,-0.19642167890387507,-0.3015668184824702,0.4568505269404252,-0.22361936748408728,0.2489765887779688,0.4749759935393124,0.4618235096194881,-0.01768043091849318
Temporal_Pole_Sup_R,0.36037159799664636,0.11410728088403886,-0.006565919719605411,0.16628568946765473,0.08472396301776006,0.23641594116842884,0.21037138751591994,0.12874632421862456,-0.06547816894292317,1.0,0.3109691593740303,0.20337080019961065,0.07534604354148526,-0.15987820714299072,-0.027813476090042682,0.14164785060065332,-0.05579407806379591,0.07810828557854385,-0.08643304923093521,-0.005424482033396905,0.1338639814258097,-0.1110396662247456,0.33803760286417417,0.06916020379046833,-0.042112440365706626,0.1720604153507579,0.35394142037073023,-0.02244383347876673,-0.024794795681209385,0.0761024640692416
