,Precentral_L,Vermis_10,Frontal_Med_Orb_R,Vermis_6,Frontal_Inf_Tri_R,Paracentral_Lobule_L,Postcentral_R,Angular_L,Frontal_Inf_Orb_2_R,Cerebellum_8_R,Insula_R,Cerebellum_6_L,Calcarine_L,Parietal_Inf_L,VTA_L,Thal_VL_R,Vermis_8,Amygdala_R,Thal_AV_R,Frontal_Sup_Medial_R,Cerebellum_3_L,Temporal_Mid_L,Occipital_Mid_L,Frontal_Inf_Orb_2_L,Heschl_R,VTA_R,Cerebellum_Crus2_L,Thal_MGN_L,Thal_LP_L,Thal_PuM_L,Rolandic_Oper_R,OFClat_R,Occipital_Sup_R,ACC_pre_R,Frontal_Med_Orb_L,Thal_IL_L,Temporal_Mid_R,Frontal_Inf_Oper_L,Thal_PuI_R,SN_pc_R
Precentral_L,1.0,0.0019314534122328764,0.12175194727507031,-0.0921688873275739,0.7638653899310821,0.904443612830522,0.6134218676627167,0.45984298947982377,0.6601354216680524,0.24476054137662975,0.6655959745974216,-0.2602734885406701,0.282981828453091,0.8369199723709224,0.3502564882194554,0.6239043942169388,-0.13527727327939135,0.44879505156455446,0.20929858185158184,0.5578601590056756,0.3529018566441176,-0.17811755998679593,-0.02417374524757494,-0.07184965201529203,0.6679442743058438,0.12819068930534658,0.018116248935583272,0.11233372062399942,0.15247041291821964,0.6294129293250864,0.8277703041414981,0.08155045099472143,0.5837162385916148,-0.0852519856418515,-0.018771935473567678,0.5862835630144851,0.5741179796978002,0.6622419153283475,0.6027074447331988,0.46791413944651167
Vermis_10,0.0019314534122328764,1.0,-0.5192131281950677,0.69431377137565,-0.16194739743379608,-0.08919080249716804,-0.124649692447229,0.1359215005453547,-0.32405715549507946,0.39732067792424586,0.05981626360198357,0.7294319670637113,0.5875875694390796,-0.15270252521616887,0.07015987775653448,0.1529392408679627,0.6932493281711896,-0.5894062576121892,-0.2857563516793319,0.21305814213302335,0.665888977306658,0.7333968590185745,0.2685663096177435,0.55789467327474,0.119224979333982,0.6971658549875268,0.4681623457147227,0.30485754197955356,0.023014959645332622,0.09868974986395689,-0.1472224419553581,0.1845477484578435,-0.2308234388541362,0.662350824673155,-0.1071039360421075,0.009414130154309376,-0.23197318816702328,0.4559926726427398,-0.002753690754443317,0.5262168877930609
Frontal_Med_Orb_R,0.12175194727507031,-0.5192131281950677,1.0,-0.5435107049245159,0.22667005399473997,0.12178729158279576,-0.014955425178656893,-0.10080663918879963,0.49278657109849705,-0.20476889394864756,0.18996268413194697,-0.4915674971427811,-0.3241571519647625,0.06502257164580909,0.06071596115438847,0.028662979725343367,-0.5409158529535263,0.5690776315766783,0.2541024510255365,-0.026471728361447202,-0.4395254593122788,-0.515943578086423,-0.19574628969052235,-0.281894259052934,0.04985946127265837,-0.4165215196743937,-0.4529091634330552,-0.3948238315515047,0.050513020333585734,-0.09597458023929695,0.3270430828118962,-0.18329143840293805,0.19967061015448084,-0.46932377297164635,-0.04071877105711465,0.0029848157158740116,0.2823195946408465,-0.20788269657393402,-0.11890476365631301,-0.10859521606857302
Vermis_6,-0.0921688873275739,0.69431377137565,-0.5435107049245159,1.0,-0.23312636722980712,-0.1587228765161206,-0.05746048377917706,-0.08870479258292924,-0.4140474005819789,0.2967687038253992,-0.1357454117987363,0.7559863817402501,0.5780697987591707,-0.22779306338531294,-0.0230389223305949,-0.03296704661148913,0.5474988642941141,-0.47241025425432404,-0.3388579514617382,0.08024098984154529,0.48929927318121275,0.7091497695235467,0.32389878786933807,0.5078039328199105,0.14585249327965707,0.5921448941786379,0.416306362748345,0.38097603203291447,-0.16552290938239972,0.003472536874140668,-0.1858122759957107,0.07262042037725457,-0.351830002311555,0.6429346969107039,-0.11628149375732001,-0.2062662391746774,-0.2405764461838887,0.3942313927953625,0.050011382707212663,0.3729996857836982
Frontal_Inf_Tri_R,0.7638653899310821,-0.16194739743379608,0.22667005399473997,-0.23312636722980712,1.0,0.7752030703496396,0.7585535325686871,0.030584818393387548,0.7922488087530875,0.14941751210819793,0.6789194591515795,-0.5108704681777629,0.054184046720889854,0.4900694853911895,0.4196951825197967,0.6708920488912071,-0.20905277867198613,0.47213223418266353,0.40684707029733985,0.43176668253049166,0.07639845322072913,-0.53232036864726,-0.3162378606885102,-0.1489375998227856,0.5959041886916204,-0.026826367421203864,-0.16200352514088792,0.01977287552098037,0.22392803931293187,0.5965612541696855,0.8879663008756264,0.12518826137315753,0.7505422017802558,-0.27271055884359857,-0.03655424241165511,0.5106548348268365,0.8331611982992481,0.4188491333896639,0.49368198501865845,0.1680125997361417
Paracentral_Lobule_L,0.904443612830522,-0.08919080249716804,0.12178729158279576,-0.1587228765161206,0.7752030703496396,1.0,0.6871856093750486,0.3869611694206777,0.620773661247479,0.031868849051349846,0.5420226877913362,-0.322570133188081,0.2193438712216825,0.7682565311780273,0.3260064928644859,0.6794457648793113,-0.24583265551209554,0.5024600722124543,0.2311431317861984,0.40189256843845733,0.21706749994075494,-0.2754880665949633,0.025646799550618396,-0.12830700097130654,0.5907983833512399,0.0033920166674593828,-0.02170647002809828,0.19816159710253808,0.19190701117450654,0.6543378703264953,0.7744812904519084,-0.012858757081232523,0.65828664561873,-0.18406165820892875,0.06487705369611332,0.5824865850110168,0.6071554842322849,0.5815110524598046,0.6130596509865802,0.3196438892574645
Postcentral_R,0.6134218676627167,-0.124649692447229,-0.014955425178656893,-0.05746048377917706,0.7585535325686871,0.6871856093750486,1.0,0.04491150771698224,0.4316940547393016,-0.06900162034307247,0.2341486893834447,-0.20820589309566276,0.23497593058788757,0.371212454692346,0.1601058157385609,0.48862743090404864,-0.19207614262136125,0.38378951990067994,0.28230343457149937,0.23058469066813844,0.22827568088241504,-0.2215152875645308,-0.000425971844739275,0.18556605401269727,0.5090035625187659,-0.054291821849620905,0.06073228078444345,0.23350020338458694,0.2445584875293912,0.571979253393647,0.5946405288971712,-0.07404261327384105,0.7483955422317143,-0.11202760231940412,0.09963382484363786,0.4486025228258698,0.5593612099257941,0.50294670585917,0.6018757283880168,0.1219982211996665
Angular_L,0.45984298947982377,0.1359215005453547,-0.10080663918879963,-0.08870479258292924,0.030584818393387548,0.3869611694206777,0.04491150771698224,1.0,0.1414261143969989,0.13557604793119954,0.28053412183254156,0.006118068021816293,0.12403196899931448,0.6531769480183336,0.11807129102014358,0.08883343892297181,0.07430784843569462,0.07986566439756988,-0.08934017100280918,0.3415059252184155,0.38617480434954743,0.2468123913035165,0.25972438901298006,0.06420351531083439,0.19133040978462393,0.08945032652846686,0.30254901923368643,0.05383363871522072,0.020447004391083372,0.2929661997698242,0.14918711379622554,0.10679103198744276,0.19430355869885393,0.09839163449908703,0.09300054017601433,0.2881391742652973,-0.08431180154521299,0.3727093136142901,0.26566246290645834,0.3465955386244793
Frontal_Inf_Orb_2_R,0.6601354216680524,-0.32405715549507946,0.49278657109849705,-0.4140474005819789,0.7922488087530875,0.620773661247479,0.4316940547393016,0.1414261143969989,1.0,0.05454914877733229,0.7450491652802772,-0.6646280341247763,-0.19579072428607622,0.49522431459660005,0.45031109150484233,0.5267713161376689,-0.30204837682784696,0.5800471829103694,0.3387006803042403,0.5415214749807044,-0.10852887883247336,-0.5776602734816277,-0.34279531386654793,-0.18796999110560336,0.5084043871819596,-0.16796039768777646,-0.28169430830448833,-0.268533269591865,0.11527543801439595,0.41159203389079385,0.8282938011630389,0.19456855707104814,0.6016054523742393,-0.26545623138001767,-0.2560649800726456,0.36286638900564167,0.723117752580597,0.25257066385660193,0.34333963471523654,0.14128741036064105
Cerebellum_8_R,0.24476054137662975,0.39732067792424586,-0.20476889394864756,0.2967687038253992,0.14941751210819793,0.031868849051349846,-0.06900162034307247,0.13557604793119954,0.05454914877733229,1.0,0.4473140979152268,0.0916113466129053,0.26993509578114117,0.1455860488741881,0.1967072032679518,0.10108911532176551,0.5496788608913225,-0.30547194807149675,-0.04815555488520051,0.332839418406201,0.4626697638008289,0.16507188212256188,-0.27120140325413505,0.048382114498017575,0.27334821155451117,0.42504798129458465,0.27835230523712956,0.029532973388364234,-0.03460841725531528,0.08684148848507069,0.20506263493262764,0.23901508592737847,-0.04775361143805736,0.2734880916222778,-0.25751546452235813,0.008533682481982123,0.08720168223579393,0.22399893042218455,0.10140685673570109,0.2669706447677677
