,Heschl_R,Vermis_9,Cerebellum_10_R,ParaHippocampal_L,ACC_pre_L,Thal_MGN_R,Cuneus_R,Thal_LP_R,Frontal_Inf_Tri_L,Thal_IL_L,Vermis_3,Cerebellum_7b_R,Vermis_10,Amygdala_R,Insula_L,Cerebellum_4_5_L,Occipital_Mid_L,Thal_PuL_R,Hippocampus_R,SN_pr_L,Fusiform_R,Cerebellum_3_R,Precentral_R,Cuneus_L,Temporal_Pole_Mid_L,Thal_LGN_L,OFCpost_L,Thal_MDm_L,Rolandic_Oper_L,Red_N_R,Lingual_L,Red_N_L,Temporal_Sup_L,Thal_MDl_L,Cingulate_Mid_L,ACC_sub_R,Thal_VA_R,Thal_LP_L,Vermis_7,Raphe_M,N_Acc_L,Rectus_R,Olfactory_L,Vermis_6,SN_pr_R,Occipital_Mid_R,Vermis_1_2,Pallidum_L,Temporal_Sup_R,Thal_AV_L,Frontal_Inf_Orb_2_R,Postcentral_L,Insula_R,OFCmed_R,Temporal_Pole_Sup_R,Parietal_Sup_R,Calcarine_L,ACC_pre_R,Temporal_Pole_Sup_L,Temporal_Mid_L
Heschl_R,1.0,-0.16051347406798327,0.20975889274780643,0.41537671027032375,0.21807940899843858,0.37656180715106974,0.3474641064810201,0.4120538306572042,0.6288494393148475,0.3887442522139649,0.5942904454744504,0.22564209362421592,0.119224979333982,0.22232398675723222,0.4156973587643695,0.5174036557312202,0.0011897210966608867,0.41541847598341075,0.7289509107175992,0.38117447800530524,0.5288435257807973,0.6622593422103223,0.5123191143817803,0.4013821293835033,0.013526080630827017,0.4753541859094209,0.2157437888246711,0.11807412328195915,0.5437966435387053,0.43004494851640335,0.3646538901347759,0.40325473838449505,0.5207307565541481,0.10452238196319673,0.8178673649137648,-0.02857219535756559,0.42594729282917126,0.1414968543600129,-0.0316661399951356,0.1842154972042939,0.22281659918135935,0.2626695978529975,0.24292185839263836,0.14585249327965707,0.6265715111777009,0.25815349069746524,0.5503015259084929,0.36524684912990435,0.6068767771325407,0.4433587714263744,0.5084043871819596,0.5613189986945342,0.5733350760279414,-0.00673120328479485,0.1572038807141123,0.3511090825233438,0.47896093549430896,0.14621240018979492,0.00365645420546226,0.05290887854348778
Vermis_9,-0.16051347406798327,1.0,0.1358499602625637,0.47484702525470185,0.22785090416183637,-0.2537361453458252,-0.1739880410147602,-0.12191928957851478,0.18481665994429106,-0.18881974911459518,0.14791167912385755,0.24462411442735177,0.48651039184512646,-0.39592349364572915,0.3346280801976637,0.35258196975891415,0.29560663223564976,0.138670627766544,-0.10824072111625456,-0.001231069737028586,-0.10568502296338737,0.1274261066918431,-0.04458020080563633,-0.008349345698262768,0.24501924174831824,-0.311161837224097,0.40969019396407835,0.38817163757419115,0.3045822237025639,0.28301768888036827,0.26930794872866815,0.36185965589757,0.34303752217231465,-0.2472421559712387,-0.18969400230490258,-0.2373786051011104,0.06375459060756208,0.3426338745923629,-0.010623078046147844,0.32542646685826593,0.4479313900872667,0.07809075294145922,0.47098856256285954,0.4019145628517155,-0.08535938789740542,-0.4589544209112024,0.1015175201760299,0.10643798547455098,-0.36615487683741377,0.15579411432570606,-0.41387746366144235,-0.29936637239318836,-0.26475596741002105,0.20169115150370498,-0.20884354716722775,-0.28993828950037387,0.3358914665606158,0.3647191555160494,0.4236780512750256,0.5226301576540444
Cerebellum_10_R,0.20975889274780643,0.1358499602625637,1.0,0.22360774123201343,0.337339601603959,0.2304754421224584,0.1470471432553434,0.23417581840124413,0.3676278197083226,0.208371259252938,0.3277299746559594,0.4104052712083031,0.3880248300303823,-0.044211527319182424,0.18380584796312316,0.19781257120128884,-0.18536024067335116,0.20114404094849733,0.15478672630045331,0.12943728582153805,0.5078755808521519,0.2433881042383827,0.044837491084577324,-0.033767782950728215,0.1468229241552095,0.27373747718014546,0.2292977186840593,0.17401427783672865,0.26002895220146144,0.14863007520380683,0.10630673684990205,0.32485799172393864,0.10909064119109085,-0.019847706459328644,0.2025539711311231,0.1605286190606506,0.29676862854616604,0.09121068089144405,0.06661267440607985,0.08693438673534089,0.1632303762231744,0.20378905735843608,0.21269849852453512,0.12210438648478318,0.44406504984606404,0.08626355894070573,0.27527590937393726,0.18480881281344394,0.37894212425141716,0.23714258719804987,0.35946766234406113,0.23339462463208674,0.5982267530976708,0.15719675672763544,0.17252057253903708,-0.07017766572017323,0.04314105770465398,0.27333369910007116,0.009990882286648017,-0.022958319350208527
ParaHippocampal_L,0.41537671027032375,0.47484702525470185,0.22360774123201343,1.0,0.5002653145950585,-0.1768723439009467,0.05221296189481667,-0.1762268823020927,0.641334588529605,0.07999474803111133,0.5511957195548555,0.2030707387359384,0.7153310579239247,-0.33522392186583105,0.8059276599407089,0.7531034420488428,0.35742659742957483,0.26241764553192076,0.2951251489795335,0.6361428431455556,-0.0022556429543213637,0.5800165761728021,0.07621053063120893,0.2142677188280583,0.15940668996525653,-0.13358120421852412,0.5492826919038806,0.1875934025459696,0.6476298202453505,0.38082346833494635,0.6240823026025485,0.7203370658404195,0.8965822806836474,-0.5285216662739075,0.4251693125992728,-0.4090840922710451,0.2662784729035773,0.12450933625489317,0.13389067295764562,0.5659165914762652,0.2477562344551633,-0.0335123985812996,0.3125295743789518,0.6214970656438065,0.30118198769749305,-0.4628106927647554,0.6410547725164901,0.36722707590191356,-0.22335605873846442,0.534010627872726,-0.17927513792092917,0.11506961072893543,0.07763553204859389,-0.004464740072662584,-0.1536792052888671,-0.26354162575205614,0.7111156247297392,0.7258533630239983,0.6384730810863003,0.8327374128659581
ACC_pre_L,0.21807940899843858,0.22785090416183637,0.337339601603959,0.5002653145950585,1.0,-0.07996756186779469,0.05992468466557994,0.02594446125145385,0.3538075988792842,-0.005135433772725612,0.24628119493298192,0.35207495380452897,0.3577516865306925,-0.26724298482200687,0.5879238216287654,0.3186177338193375,0.05745996009562514,0.1725933714862181,0.07990573084037245,0.3299229501507874,0.022746312696906437,0.300143916178555,-0.12843470781960686,-0.033280562939598315,0.07446718918957955,-0.10442768441275102,0.39853764038059625,0.1491856065033495,0.24943414021836732,0.10541305671386744,0.2982752121274771,0.41131979016309206,0.49991211452154233,-0.3990748374617286,0.07937629719904839,-0.18544359104722088,0.13387646820726623,0.2558094829485438,0.08011819413982517,0.17872375251977016,0.15761755241122163,0.10843947198464328,0.155265612417593,0.15876276553214916,0.12572654069168748,-0.12434642309966382,0.32523565075273675,0.3511555753063183,-0.0028704282782077697,0.3266412471140756,0.11405754559184686,0.0015666111284764043,0.2993063428002376,0.25811261726385054,-0.08648130785002661,-0.14051389562903793,0.1705265982674252,0.5974657705588202,0.34568631994342375,0.39862771588749407
Thal_MGN_R,0.37656180715106974,-0.2537361453458252,0.2304754421224584,-0.1768723439009467,-0.07996756186779469,1.0,0.355143635671147,0.3970647892983311,0.08847405662804156,0.02873829689012694,0.25637322043620697,0.22472151549970398,-0.20949970637260215,0.20190772985910832,-0.13333261462155846,-0.002828235271980423,-0.41251455043250246,0.14810908068048917,0.22406230803325852,-0.16364862705603048,0.514782379145332,0.16938039111101297,0.23252676142173004,0.13355147702392248,-0.05852064666301336,0.44680767485037304,-0.13390348448543526,-0.04515779403622093,0.06118874518127816,0.1130433996249827,0.06285581525556769,-0.049171357435502515,-0.12122075293348235,0.40540828283937674,0.3262120832704141,0.411156876193203,0.041758541194887006,0.08088443961142366,-0.1505290335795876,-0.19037250166963857,0.0368546013759237,0.3293187907521128,0.06473509091480313,-0.21425410356072574,0.3728416442698784,0.42586376348182814,0.09331930163316583,-0.13968184784400078,0.5010628803394709,0.10265538256715379,0.4766756236660067,0.3931724496949445,0.4972912379679477,0.17400100100007612,0.11532915708782279,0.35704696820944803,-0.020496500782229157,-0.2874084998500352,-0.35928417832500564,-0.43686992712867584
Cuneus_R,0.3474641064810201,-0.1739880410147602,0.1470471432553434,0.05221296189481667,0.05992468466557994,0.355143635671147,1.0,0.35469808647329404,0.3482687891468946,0.32572546455461604,0.4192653588540975,0.18182604864075563,-0.07383466860731619,0.31200485863178845,0.13036199590133865,0.36144702135292994,-0.023260387655654368,0.24248228864006838,0.41934527583894593,0.07535173437986036,0.32289770448091576,0.5134778150167637,0.4948677026179633,0.5444092890278737,0.07499679093794527,0.4690759958792721,0.26038348358393965,0.07574943457146485,0.3501024838065656,0.14547498355257943,0.46780812828189894,0.07994045624342,0.09768241721072028,0.3216987354477562,0.494349203473637,0.17722387410416726,0.28688677788978395,0.22643220019840057,-0.17733696893374368,0.149991033672237,0.30707292818530746,0.08216325576319568,0.0891985645874158,-0.2567878614970459,0.4794835573723823,0.6060463641228195,0.31842598108961667,0.30344489359569615,0.424560029183605,0.2505385246590917,0.46988827542522327,0.6234977783358683,0.4479876824003457,-0.048231351558608415,0.2410254636860906,0.6767221218955196,0.22996440446900251,-0.25803515848826036,-0.2541760171379569,-0.21849429036258122
Thal_LP_R,0.4120538306572042,-0.12191928957851478,0.23417581840124413,-0.1762268823020927,0.02594446125145385,0.3970647892983311,0.35469808647329404,1.0,0.13120077730155694,0.25564128084988036,0.20315558783224116,0.36226548497872013,-0.2626969665963389,0.33151629438794994,-0.0682172680534018,0.1355514111257331,-0.19882961043346978,0.4322925849497077,0.4415293420238949,-0.20296945187972368,0.5120071780582404,0.32228578867307445,0.4447253396435802,0.17630951685864057,0.05690268321870288,0.6073907866995065,0.05728240559325604,0.32331255759579397,0.17060143277348616,0.24044819787571073,0.004730362434913018,0.051248623984614196,-0.1896287233268445,0.5101645725250231,0.3104447775615429,0.18224926211801695,0.2569149279645475,0.4088501963511233,-0.03958218315865776,-0.11266650610877213,0.3507532286862018,0.37407464563501114,0.2480831267251747,-0.3111431675251005,0.4066176431849329,0.48485511449788865,-0.009134453893155332,0.17472335086549726,0.6187298225265044,0.06764001185925395,0.5211516072532489,0.348425292415546,0.44911169632096437,0.23448188135816309,0.21037138751591994,0.48544664406080945,0.03241122263141059,-0.2664181967508797,-0.3537884402230254,-0.45994190366871956
Frontal_Inf_Tri_L,0.6288494393148475,0.18481665994429106,0.3676278197083226,0.641334588529605,0.3538075988792842,0.08847405662804156,0.3482687891468946,0.13120077730155694,1.0,0.4984184681739376,0.6570317182876163,0.3063600453994502,0.38715210711855347,0.1540746744395894,0.5572508379887751,0.6531592840692892,0.15858770655872162,0.4305122128523532,0.6623654345591606,0.4955910585552473,0.2596592464570826,0.696373256953459,0.45298090581374795,0.13786290711151925,0.20687810555614167,0.3885625639736231,0.5838834417259732,0.2784643897122196,0.7957870746692,0.41272675340515685,0.4633037255474078,0.5568928680179948,0.6776112718248839,-0.09266170813056639,0.6983563839017175,-0.05540977790173756,0.5774629814170412,0.06014384912555002,-0.0310775439731767,0.39937374374345774,0.40924193463226205,0.06983874752887832,0.49468492859522023,0.2810484693886563,0.5539660693452009,-0.015585587808445427,0.5049763914390903,0.3939468965331215,0.2617377479702211,0.4993169483487928,0.36124129634030583,0.5373314463947735,0.3951326529913854,-0.09885442297607469,0.08472396301776006,0.1730432009746163,0.5189614512346234,0.4407983003049972,0.17827850893466912,0.34037774159232914
Thal_IL_L,0.3887442522139649,-0.18881974911459518,0.208371259252938,0.07999474803111133,-0.005135433772725612,0.02873829689012694,0.32572546455461604,0.25564128084988036,0.4984184681739376,1.0,0.1948911610307334,-0.00803635302396354,0.009414130154309376,0.41248991621588293,0.039400953116382746,0.24714810036253257,-0.017176832919925167,0.45135343122955207,0.5681690738449604,0.22831482864106814,0.326003226869698,0.43435282746882403,0.4754029911233256,0.1680889076762533,0.11259556800418148,0.5051302734981371,0.18459799653985462,0.4202909625120076,0.3565240011422486,0.3286768444139558,0.10826504821344941,0.18138319244274315,0.04967804637381996,0.36638411755110456,0.5611594498472059,-0.04004980212435993,0.7005096560380911,0.039602446502974634,0.037660602839988594,0.2166528765427753,0.2038595434774176,0.07828018386028127,0.09526410401115469,-0.2062662391746774,0.4561996928979331,0.23489093052745866,0.19511334294361588,0.39470284784271165,0.41106743615010255,0.23854997635880731,0.36286638900564167,0.5510018808585422,0.27936090385191237,-0.10231996662042835,0.2277661750037899,0.3010825823699255,0.14819826451896118,-0.03548445206953321,-0.17941572783341603,-0.11728860918332074
