,Frontal_Mid_2_R,SupraMarginal_L,Caudate_R,Frontal_Sup_2_R,Cerebellum_4_5_R,ParaHippocampal_L,Calcarine_R,Rolandic_Oper_R,Thal_MGN_R,Thal_VL_R,OFCant_R,Hippocampus_R,Cerebellum_6_L,Parietal_Sup_L,SN_pc_R,Rectus_L,Cerebellum_3_R,Precentral_L,Thal_LP_R,Thal_PuA_R,Red_N_L,Cingulate_Post_R,Occipital_Sup_L,ACC_sub_R,Frontal_Sup_Medial_R,Thal_VPL_L,Thal_LGN_R,Temporal_Pole_Sup_R,Frontal_Inf_Orb_2_L,Vermis_4_5,Frontal_Sup_2_L,Paracentral_Lobule_L,Putamen_R,Frontal_Inf_Orb_2_R,Precuneus_L,Thal_VPL_R,Heschl_R,Vermis_3,OFCpost_R,Thal_PuL_L,Frontal_Med_Orb_R,Rolandic_Oper_L,Paracentral_Lobule_R,Fusiform_L,Thal_MGN_L,Thal_PuA_L,Lingual_R,N_Acc_R,Cerebellum_7b_R,Lingual_L,Frontal_Inf_Oper_R,Frontal_Mid_2_L,SN_pr_R,Temporal_Sup_R,Postcentral_R,Putamen_L,Frontal_Inf_Tri_R,Cerebellum_Crus1_R,Frontal_Med_Orb_L,SN_pr_L,OFCant_L,Cerebellum_9_R,Occipital_Inf_L,Temporal_Mid_R,ACC_pre_R,Red_N_R,Frontal_Sup_Medial_L,Raphe_D,Cerebellum_6_R,Cerebellum_3_L,Thal_PuM_R,Supp_Motor_Area_R,Temporal_Sup_L,Temporal_Pole_Mid_R,Occipital_Inf_R,Vermis_9,Temporal_Inf_R,OFCmed_L,Angular_R,Thal_LP_L,VTA_R,ACC_sup_L,Heschl_L,Insula_R,Temporal_Pole_Sup_L,Raphe_M,Cerebellum_8_R,ACC_pre_L,Cerebellum_Crus1_L,N_Acc_L
Frontal_Mid_2_R,1.0,-0.06656113573558237,0.31115452498197343,0.7349595438174858,0.6548248989357628,0.0938991745262209,0.4294382623767437,0.8670751555324872,0.448821752028902,0.7064935244245762,-0.18444985601074895,0.6894610031351737,-0.3352686286968105,0.5419707309553832,0.3471067753530813,0.21107603652108156,0.6936514269148715,0.804693742551398,0.5734727832902519,0.08189651475001958,0.27113108538245617,0.6185377381242159,-0.18761899329456627,0.24887955759855054,0.5084390492467932,0.6431780537628907,0.44604358350362255,0.36436118960425135,0.07422331711264193,0.4507630124745617,0.5474295843636525,0.7700949729752326,0.8209474358776436,0.7200129457871834,0.7727950721102443,0.4373689485598098,0.6866467992394639,0.6073987988696467,0.42093135059750947,0.7505299810221848,0.13886691825872122,0.4869898242714639,0.7817090192762174,0.0823798678696389,0.09716758196289041,0.2854078053790835,0.48612519188043524,0.12446864093598496,0.2818282110182617,0.32783159169634213,0.919100636439432,0.7032680446520035,0.7362968792847184,0.8314992166278241,0.8079838718263018,0.7276895771230572,0.9364075993433606,0.5544413064176474,-0.1130300429620554,0.18554637680781633,-0.03298648000253503,-0.030952877520365726,-0.447733628124722,0.7779988574219113,-0.07977156242759549,0.43704762745414855,0.807254944727892,0.3676347593805264,0.2739412681422891,0.28300665486442717,0.42245982413584365,0.5330661551835439,0.15659198196679758,0.05167098098967395,-0.09346418134165874,-0.2125339552323139,0.5460321140001455,0.4362584876780652,0.7313866507860965,0.2581472921998253,0.08153536622262186,0.8225652654299557,-0.029536436219850602,0.6785163127287667,-0.1880457205876159,0.031884001467061183,0.18308406923336265,0.11379545408118023,-0.008103055833165979,0.3364181461997513
SupraMarginal_L,-0.06656113573558237,1.0,0.4738668801356935,0.35246600305118975,0.3009452330084084,0.6469048925001536,0.3302296639211028,0.01231210823485201,-0.08861763740304056,-0.059205597712476694,0.19632210901744607,0.27130267873275654,0.4821478581660272,0.07394858097697192,0.4601005325929549,0.15279332136139698,0.31951372647401,0.32470969048287535,-0.2779183467788557,0.43625090647287457,0.39241713001055817,0.1644839244621886,0.5958112488391728,-0.3099214847090702,0.26088110334344095,0.18193422214140847,0.16510616209308707,-0.14078857042671244,0.30369617446026853,0.3471499607318587,0.5857913081232398,0.15569572310993107,-0.1443476850672169,-0.15925474389539335,0.25254458837130217,0.4324466286750631,0.3331428871073523,0.31045045530626697,-0.1825496436075931,0.0332724914291155,-0.22286435884561825,0.5329375628559224,0.33814789536717815,0.5819027189294854,0.18994405894619468,0.23438538512812737,0.37689479869336323,0.42743804324692747,-0.09486113362408423,0.503923483293513,-0.15403904614678232,0.21239379677845358,0.17096952711797148,-0.28554933822243245,-0.0995967293041379,0.1311679181667331,-0.22400908225807722,-0.11532749433648361,-0.04819168854415598,0.4710982282188679,-0.033655619879375695,0.46473448940548023,0.3254395771610703,-0.38692023232254147,0.3884141511747496,0.09369329223317983,0.0007589452100481582,0.35145373477623576,0.14528937508547268,0.5993335759002423,0.5239679711829546,0.5004706813590528,0.7205914323522629,-0.13101034724762986,0.25911395976431684,0.1256522221041678,-0.4565395059060074,-0.07460038333626257,-0.26746731286287734,-0.08724422239490949,0.39230817558655684,0.11043897503686025,0.49354096085548094,0.06189810424754888,0.3207077045647591,0.4802535003117881,0.24591283361494193,0.21071761085939675,0.4291323729739701,0.06091478675412749
Caudate_R,0.31115452498197343,0.4738668801356935,1.0,0.6655825036631083,0.5931511001105104,0.6586752349714844,0.39793836138842464,0.3087967217460814,-0.08384916997709059,0.48334214527624925,0.3075271778725657,0.6264562005860318,0.29755513301331526,0.06489076835547315,0.7064433958174756,0.492772010884867,0.619209392047427,0.4954361458896112,0.14337306760775248,0.21728318477302644,0.4998772949361821,0.49688461865608713,0.31993427552126996,-0.20862021441599066,0.43957578126713204,0.4385195880088005,0.32797062515298725,-0.02244383347876673,0.4749759935393124,0.5420787117081142,0.7090942487203931,0.4280079413356836,0.22429508278790214,0.2316049546636608,0.472028496915379,0.611294956751463,0.48183271321178306,0.531654080460727,0.09599879360352279,0.2627203342273185,-0.018552954226897483,0.7633693598093761,0.45717535315814656,0.5985735539366246,0.0974849528414352,0.11957101733606973,0.42649339405131687,0.6101031188788861,0.4772147283198253,0.40233564367230135,0.2638818995118678,0.6424681675265704,0.36671813872611625,0.11204268644643606,0.20760045523115392,0.32049322732323704,0.16715101446155523,0.12704078818623932,-0.17775540051639488,0.35551847960892174,-0.04872021873802482,0.32311194968529916,0.15732798571840867,0.07408152584632427,0.4889732024011509,0.27198411270746237,0.271267661917667,0.6809327603609984,0.36474164910418055,0.5259796738303991,0.4830935947266542,0.6199072216413564,0.6479243900285594,-0.21845513342881526,-0.04292363266354579,0.28593553047748416,-0.02555883817206854,0.22234026285714853,-0.05833828103923253,0.24601567760367216,0.3130254922450984,0.5237307717464303,0.4027643495185839,0.3021011153744446,0.1873955391990143,0.45358261009071865,0.07366207939058189,0.5041482998754631,0.37925016694383934,0.5125639625521534
Frontal_Sup_2_R,0.7349595438174858,0.35246600305118975,0.6655825036631083,1.0,0.8445018250526894,0.5492230115745017,0.5154762240647827,0.5958656865307841,0.14438570031213716,0.6210475927874034,0.1638848171238003,0.8058647898317586,0.2080045489105784,0.2158081633516611,0.6231301829391326,0.2506862764010602,0.885193263575274,0.7350098669897039,0.33575631074621737,0.13802070034640826,0.5024307328974191,0.710999269115551,0.18661900572980844,-0.049973633545687124,0.5566181011920992,0.7840086349788064,0.5570092670506696,0.22909592576165133,0.4125767084356002,0.7069575788486397,0.8063122604116267,0.6624384149838259,0.45444995512426123,0.38531404430476035,0.7049392535450613,0.7272655062018181,0.7264961288384253,0.7858444747966388,0.09280861940799076,0.7085725407122149,-0.11854368560719958,0.81083939755184,0.7425468695217012,0.5911831258987384,0.3178324056918078,0.19785747290034963,0.6585061440859696,0.39480267251288864,0.31602074371201727,0.5475776784230462,0.6528612937666299,0.8014285148003427,0.6678455737957634,0.45527568761604365,0.6679065768376107,0.6077144044742872,0.5780980427627874,0.3637268615442107,-0.12851476224812866,0.4598362798665984,-0.1077604206726861,0.2273883718608417,-0.00383034474973046,0.3920390194477414,0.37574667764821573,0.5447572565600695,0.5532015231365477,0.5669602169156921,0.44438428186172274,0.5675607905731996,0.5302181236785083,0.8187068656184949,0.6114127805548935,0.07851929746511567,0.07137409936031289,0.0877007969451458,0.23268823528478377,0.2854356663490494,0.3227239740775341,0.16201390757359452,0.3589378934414401,0.6963613200561639,0.4595988257908005,0.38356129035568465,0.23840095355013366,0.27759234083004797,0.15459602217193466,0.2174634772947882,0.25275451162723556,0.4420768862912985
Cerebellum_4_5_R,0.6548248989357628,0.3009452330084084,0.5931511001105104,0.8445018250526894,1.0,0.5754478807727972,0.557431641729306,0.5031483351652838,0.16832171402104099,0.636561635511936,0.09672787711398552,0.6079778989331136,0.2841982369013469,0.13782451418038652,0.5913610426090262,0.16606902752984065,0.8980746745947958,0.6466783846759,0.3176489755904038,0.18846206338454013,0.5714204471069849,0.5454985734513277,0.2700676188119644,-0.11085588781465901,0.4806757016497608,0.6865134969830899,0.4687943515655261,0.15512012918364962,0.4227040174340447,0.8810720646554226,0.6865708737706765,0.6181618752406267,0.4396432087677727,0.23957614245204814,0.6232866317127662,0.6595277117719724,0.6023593308136727,0.8161756764047118,0.13569998092496266,0.6129831412107271,-0.27698802264075256,0.795379854958825,0.6163239927279628,0.6767908935594072,0.4881661424401042,0.3364231269327294,0.823397381033073,0.29200517599400083,0.3308275397254209,0.7082770094603938,0.5407718225296368,0.6603688581338093,0.6508174368689743,0.3715821587251084,0.5772334778535365,0.5210812030891476,0.5028977931350761,0.25593646119977526,-0.07750633998771847,0.38606782348562724,-0.021007623066219835,0.2399594506018085,0.06356034682510167,0.32676576036099453,0.3864186850196482,0.5808110101752807,0.48565444716992273,0.6591356050478294,0.5012301600631035,0.6732869984958381,0.45394648322837194,0.7548337309230652,0.5698159006330451,0.15328792049085677,0.0355851639843415,0.20886156164626835,0.1725546504451673,0.11260684766542706,0.22614012731059832,0.3047509302487291,0.43047815339500606,0.658776847184806,0.45449724601886743,0.3891082947117389,0.314921793305055,0.3984864045501264,0.2462672460855371,0.27622205212566325,0.2767630932504158,0.4889187513520701
ParaHippocampal_L,0.0938991745262209,0.6469048925001536,0.6586752349714844,0.5492230115745017,0.5754478807727972,1.0,0.31969085452224566,-0.025973085219397892,-0.1768723439009467,0.21204381473138026,0.4335054901912618,0.2951251489795335,0.7015035284167991,-0.3265987593563894,0.6593246895004112,0.044533214550694346,0.5800165761728021,0.21964441083228484,-0.1762268823020927,0.466137408370849,0.7203370658404195,0.3671443153709085,0.4984903584295506,-0.4090840922710451,0.3191391220758978,0.48219432943418883,0.3954500877054923,-0.1536792052888671,0.6970886327725432,0.7248705978896143,0.7146032387016571,0.06601707820618799,-0.04670304250144318,-0.17927513792092917,0.18663445410867197,0.7292776539002075,0.41537671027032375,0.5511957195548555,-0.07060980857140822,0.2919640227475624,-0.38637722004041963,0.6476298202453505,0.3290464773522706,0.8810469928549297,0.32714384170412975,0.11391805509318824,0.5479669409953595,0.6376854979105715,0.2030707387359384,0.6240823026025485,-0.0663982275023602,0.47584999935139133,0.30118198769749305,-0.22335605873846442,0.04390598226461341,0.24767783701994414,-0.13098607967586526,-0.08045740376075433,-0.15118281559731162,0.6361428431455556,-0.053534419502172685,0.6318891005724958,0.47061863229816187,-0.30108611162382487,0.7258533630239983,0.38082346833494635,0.16932171064396775,0.5832055316420449,0.3602314127287788,0.8191444086131152,0.5227575098621641,0.7491842408908996,0.8965822806836474,-0.014494709920130681,0.21423412006839748,0.47484702525470185,-0.4366574610371834,-0.13743459673329303,-0.30073332475941017,0.12450933625489317,0.6382554056696303,0.387598114370036,0.7229450886592245,0.07763553204859389,0.6384730810863003,0.5659165914762652,0.3290014787790379,0.5002653145950585,0.5383130845252985,0.2477562344551633
Calcarine_R,0.4294382623767437,0.3302296639211028,0.39793836138842464,0.5154762240647827,0.557431641729306,0.31969085452224566,1.0,0.5109031998362283,0.3141465760590619,0.3799592149878513,0.06293896078264072,0.5244612522526677,0.14932727116773936,0.17304987222312646,0.4710778853002073,0.3139383356332131,0.4775066291313547,0.5280301913246571,0.28642094106214094,0.31788641667813283,0.3102310429322616,0.4156541181539524,0.28272791582951184,-0.13976387102331767,0.1878512740660827,0.41518040095296344,0.23729271668710786,0.2478493836506352,0.07500794299262367,0.4950049902669742,0.5134624278246221,0.4127349665577026,0.3670945178516259,0.2603922516150047,0.47147480691286536,0.421104724069173,0.5438887623858004,0.4346647455711965,0.13326880347324932,0.3458504016101959,0.20624274541656476,0.4729638140516613,0.42641640100547434,0.3790095707447807,0.23868438307165846,-0.02941054794808317,0.5926552788009413,0.26123693101704953,0.23628928822632775,0.3112693288653075,0.3738155294299553,0.46790559608673604,0.5121908798940582,0.38155976445765766,0.17429164697140143,0.31226329561474125,0.3483585450786139,0.2999790481047563,-0.11745520168084132,0.2670236340165794,-0.1354826646828905,0.371402817757333,-0.0823068500999207,0.326974195273534,-0.021145682488976726,0.20183771487398192,0.318248861069128,0.41568749473447636,0.58804716454251,0.36040767878654684,0.4276570920780801,0.4749282202314649,0.369534710991536,-0.23185694725609265,0.0141722746312173,0.0022056113252374903,0.33657129386655305,0.3165985067055299,0.14882580514263072,0.18187063380838445,0.291112403153854,0.42294205793709766,0.26313023604891717,0.4051846916544508,-0.0951249940733981,0.06663074857267338,0.23692252043570725,0.017804028208959072,0.009619606674624276,0.19161116696000724
Rolandic_Oper_R,0.8670751555324872,0.01231210823485201,0.3087967217460814,0.5958656865307841,0.5031483351652838,-0.025973085219397892,0.5109031998362283,1.0,0.5521886553524323,0.619578592131276,-0.2995890519074352,0.7168988264316172,-0.46512380222223026,0.6353929983636016,0.30833226702338046,0.284043009268773,0.5110512680465854,0.8277703041414981,0.5657823021276137,0.03987273192122807,0.11566662263804517,0.5555237622731171,-0.2570448748381217,0.3053166581865326,0.5164893622091011,0.49864537715059093,0.3347324775314833,0.37787960461509096,-0.1522264031756884,0.24258459128836682,0.49521511267114277,0.7744812904519084,0.7912365348190885,0.8282938011630389,0.7535696816487376,0.3530371711396155,0.701053516853313,0.46703284803259665,0.5001909189812308,0.6116866147217256,0.3270430828118962,0.4487101898147198,0.6883646100665067,-0.06528388564032482,-0.09218084758768899,0.2485691311914503,0.3416306676111053,0.054740556427071464,0.28264587299089905,0.11670416067111344,0.9090202876130579,0.6031108744908384,0.6893078496674405,0.8767411849490845,0.5946405288971712,0.6433432348013993,0.8879663008756264,0.5098783102385372,-0.1645816485635116,0.09999340525656891,-0.03450396289273882,0.04755941644657391,-0.5743297924257038,0.7988113371319022,-0.20931725164237344,0.27641939918537783,0.7376584133098805,0.323242560597276,0.3043817364873449,0.10112726788726656,0.39242611979048647,0.42175801602030105,0.07957814541919014,-0.10742101319687906,-0.1781155105525746,-0.34090387989783383,0.6396619765953528,0.5608646196713376,0.6441682443873238,0.12110700175587044,-0.017238273749585042,0.6961026439210585,-0.10947116328457199,0.7960009958334944,-0.39155360829918756,-0.04809337867180002,0.20506263493262764,0.023278991741628303,-0.15131989151251862,0.22590804964246777
Thal_MGN_R,0.448821752028902,-0.08861763740304056,-0.08384916997709059,0.14438570031213716,0.16832171402104099,-0.1768723439009467,0.3141465760590619,0.5521886553524323,1.0,0.23744905655540807,-0.23548695913823672,0.22406230803325852,-0.4466778379996744,0.4322752579035071,0.002956408549638626,-0.007430101723277508,0.16938039111101297,0.4197254562841253,0.3970647892983311,0.027149206041814682,-0.049171357435502515,0.17766704174578193,-0.34577932649171733,0.411156876193203,0.27036862752350244,0.12689850786384615,0.22158213558026432,0.11532915708782279,-0.31467916863863865,0.02690995739588429,0.18564581408268666,0.3762656072776182,0.5177278819800859,0.4766756236660067,0.38106544831294337,0.010316945040205992,0.37656180715106974,0.25637322043620697,0.4419179313789305,0.24789992534637628,0.27597550002916266,0.06118874518127816,0.37405855904398705,-0.20902102441775805,-0.003059497197535681,0.2009587663702838,0.15662931728825358,-0.2807426281770411,0.22472151549970398,0.06285581525556769,0.45752559062486214,0.18240057821693875,0.3728416442698784,0.5010628803394709,0.25542838956637115,0.3486631528811045,0.5336187585636469,0.15259873610034494,-0.13826580347746503,-0.16364862705603048,0.07990878024153752,-0.06764040417610394,-0.5302698554434814,0.4394033067450374,-0.2874084998500352,0.1130433996249827,0.5216916589191376,-0.0024940793037842982,0.06450037255354073,0.015365139364266893,0.11084002255797537,0.16953873081383317,-0.12122075293348235,0.1855799048441085,-0.17105984328190763,-0.2537361453458252,0.356659291652823,0.37441878684263447,0.4275825628664293,0.08088443961142366,-0.004808612859151193,0.3343236348680472,-0.2825846355640255,0.4972912379679477,-0.35928417832500564,-0.19037250166963857,0.27203348368223157,-0.07996756186779469,-0.1317088063746782,0.0368546013759237
Thal_VL_R,0.7064935244245762,-0.059205597712476694,0.48334214527624925,0.6210475927874034,0.636561635511936,0.21204381473138026,0.3799592149878513,0.619578592131276,0.23744905655540807,1.0,-0.08414402067616827,0.6549320314736666,-0.1725148097899508,0.27607051879220035,0.3922112492123607,0.21669436950873172,0.5836045181264846,0.6239043942169388,0.6044075482227348,0.07135266825468255,0.39864321302333844,0.5695424878982804,-0.09509570439262782,0.08930106784267693,0.43483222834598295,0.5776430594190738,0.3646037673193703,0.19915568738788425,0.012425138177927451,0.4618403643613136,0.4618286576514726,0.6794457648793113,0.5257357863568698,0.5267713161376689,0.5922533742513987,0.5221862105375891,0.6079156107317136,0.4243243245938391,0.37031826218713454,0.5839019784012809,0.028662979725343367,0.4701636183736311,0.5129861760314545,0.17240228748259762,0.15231509121195327,0.2697416365557178,0.3412307757303567,0.17054917438931086,0.3828019091221434,0.19320455905608275,0.6608899837983465,0.5362589115118075,0.6130413455272166,0.6687515635157856,0.48862743090404864,0.6298862081495606,0.6708920488912071,0.3427621889091836,-0.10318602820194389,0.15555732394360935,-0.1668466243158448,0.09769013417796303,-0.22848774938468455,0.632919067199765,0.08952271821170603,0.5050520183120001,0.5530888400467318,0.5524549968807857,0.3691928876552722,0.24551928696738498,0.25651915404623504,0.4549793784079041,0.15889043511982956,-0.02515986241161127,-0.2857803937862253,0.01582364817177289,0.5024790434308959,0.40293776377320917,0.36851810701335347,0.44107167329541397,0.22704082716032914,0.6351413817060001,0.002753296712753888,0.5578646933675203,-0.07430735898304847,0.24312794840530633,0.10108911532176551,0.2587316994991775,-0.06358886263639323,0.44091909623078923
