,Thal_MDm_R,Cerebellum_Crus2_R,Cerebellum_7b_L,SN_pr_R,Occipital_Mid_L,Heschl_L,Frontal_Sup_2_L,Insula_L,Cerebellum_7b_R,Thal_AV_L,Insula_R,Pallidum_R,Thal_MGN_L,Cerebellum_3_R,Paracentral_Lobule_R,Cerebellum_8_L,Vermis_1_2,Precuneus_R,Frontal_Sup_Medial_L,OFClat_L,Rolandic_Oper_L,Cerebellum_9_R,Thal_VA_L,Parietal_Sup_R,Frontal_Sup_2_R,Supp_Motor_Area_R,Frontal_Inf_Tri_L,Supp_Motor_Area_L,Caudate_L,Rectus_L,VTA_L,Thal_MDl_L,ACC_sup_R,Thal_PuL_R,SupraMarginal_R,Vermis_3,OFCmed_L,Cerebellum_Crus1_R,Precentral_R,Thal_VA_R,Cingulate_Post_R,Temporal_Mid_L,Calcarine_R,Lingual_L,Putamen_R,Angular_L,Hippocampus_R,Calcarine_L,Cerebellum_8_R,Precuneus_L,Cingulate_Mid_R,SN_pc_L,Hippocampus_L,Frontal_Inf_Oper_L,Thal_LGN_R,Vermis_7,SN_pr_L,Thal_PuM_L,Frontal_Sup_Medial_R,Paracentral_Lobule_L,ACC_sub_R,Temporal_Inf_R,Occipital_Mid_R,Parietal_Sup_L,Cerebellum_Crus1_L,Thal_IL_R,Thal_VPL_L,Occipital_Inf_L,OFCant_L,Thal_PuM_R,Vermis_10,Parietal_Inf_R,ACC_pre_R,Pallidum_L,Cerebellum_4_5_R,Thal_PuL_L,Vermis_4_5,Frontal_Med_Orb_R,Temporal_Sup_L,OFCant_R,Rectus_R,Frontal_Mid_2_R,Putamen_L,Olfactory_L,Cerebellum_6_L,Thal_LGN_L,Thal_PuI_L,Cerebellum_Crus2_L,Cerebellum_4_5_L,Cerebellum_9_L,VTA_R,Rolandic_Oper_R,Temporal_Pole_Mid_L,Postcentral_R,Thal_VPL_R,ACC_pre_L,OFClat_R,ACC_sup_L,Vermis_8,Cingulate_Mid_L,Vermis_9,Cingulate_Post_L,N_Acc_L,Postcentral_L,Cerebellum_3_L
Thal_MDm_R,1.0,0.1277219056120894,-0.06934941118341285,0.4569227539522947,-0.12307587955064003,0.5376286659130328,0.5800351059535942,0.5954087864803381,0.060181711359507076,0.37727582879101146,0.5458422020602511,0.70308035009833,0.5727411451457944,0.5017194612219457,0.4807226815566118,0.04165479761659443,0.48033506285113997,0.6346941679997196,0.6143914651608415,0.18323020817742314,0.5865637731469504,0.2368424905050359,0.49331950640755295,0.22503821568733878,0.47826112728463155,0.6835878134699744,0.6989188461908585,0.7009259148491127,0.5840450456501683,0.3820743573120119,0.23942273039432033,0.6124990905817469,0.43954165211869906,0.39645540335697094,0.4796882152762263,0.22656230412703474,0.05837966390854381,0.15628377221561943,0.7445970647473248,0.5329351575360143,0.5273230114006788,0.2514502825615455,0.26360773595054776,0.32259270610965374,0.5632486115043223,0.06224046581058651,0.5164169530260747,0.07507109083292005,0.4128250268523151,0.5184128850131708,0.725085646464807,0.3665730049190191,0.6245566434783045,0.7281683668291558,0.5304771024484393,0.07539338571287826,0.36881980725074603,0.6622691673231677,0.5095533684003446,0.6367796516084375,0.2835979580572908,0.3422162986727164,0.002452110880992156,0.23256270929219716,0.22717743227634846,0.684179773828938,0.548652412100032,0.050006824664283446,0.011144666378414115,0.7621176799287376,0.025760932512817494,0.33783120032231123,0.16922108659685153,0.6282591960964767,0.17055359223646546,0.36228762577400236,0.31329323588693014,0.22317690674891194,0.5925744901251733,0.20380922205698562,0.2832536604884933,0.7164342005323907,0.4429039291677062,0.30695053133342765,0.16428805339368716,0.41420813200009543,0.42964433533212715,-0.013872080539743056,0.2717568924654455,0.10551461682386047,0.3341761374745935,0.6140965032429012,0.4473951011986514,0.48275355764915395,0.7130796884015981,0.27257134657481885,-0.2514895879789026,0.6154200152186141,-0.015418063468316376,0.635856550166192,0.146146485991122,0.6581908469987428,0.4078780640542139,0.5623312730960122,0.34624611575416414
Cerebellum_Crus2_R,0.1277219056120894,1.0,0.7501159071100667,-0.02451654460342082,-0.08366005203513775,-0.42002243968638153,-0.46476561422881174,-0.4746088458386627,0.9162563009243562,-0.09337675895358927,-0.46875450425397275,-0.2589861305338821,-0.18389783062669904,0.5516750364996877,-0.38079456285983093,-0.3265162670638168,0.02946243227538201,-0.0425833004322587,-0.4799316872837219,-0.4380408670412929,-0.4224725595653135,0.744551681861893,-0.42683846661144925,-0.40426834310875565,-0.5403626103238739,-0.30573575157136024,-0.17945022568336072,-0.2659152733818632,-0.568784383828959,-0.6686647774232198,0.12408915187211905,0.4304983455665738,-0.627677859140867,-0.5793129330367068,0.2547812432929625,0.8937788848544079,-0.38747960928648273,0.8944231814822485,-0.16237366270650247,-0.23682228717345305,-0.4900466446967156,0.5880576740711131,0.706295141090459,0.643612926973665,-0.5059005365868304,0.19409473599174515,-0.6423176804786752,0.895902289744364,-0.039840283910965966,-0.2119521957013463,-0.3156301083314732,-0.28593080738301174,-0.4945755066524095,-0.31360202424403805,-0.4241218200026087,-0.6931911761632162,0.17528413467772572,-0.2747197504635034,-0.5376387990284847,-0.26083570413057794,-0.5472504021893467,0.6274929165483908,0.2524840325944885,-0.2928874550372694,0.6021700018459051,-0.1632378904864768,-0.19134126828788475,0.1647268298094222,-0.011773533938037484,-0.2387529415063214,-0.5753760421944775,-0.051483897781838435,-0.7699044246883167,0.0637137254509105,0.7839768616421068,-0.6754654828231466,0.5426007336828871,-0.4035563659467257,-0.32914310717212375,-0.39564978343879353,-0.6543746296771336,-0.25074341905054204,-0.6936252092273117,-0.7494370990446808,0.7994318824162517,-0.4375317853304774,-0.4195991277505414,0.27325787548278924,0.8048937053574055,-0.07685503028165756,-0.3182796269112888,-0.27921218062332864,-0.18598651825400034,-0.412745699302751,-0.16541819352054662,-0.6945086158622696,0.4604966130524994,-0.45268924025846097,-0.8186627281362996,-0.38822390284247776,0.8231894528542212,-0.20422400395595736,-0.6369989028377556,-0.04497507732258535,0.7438179617752173
Cerebellum_7b_L,-0.06934941118341285,0.7501159071100667,1.0,-0.09587814769124166,0.07803947193166376,-0.48201715764212383,-0.5491639221769565,-0.5484000913916842,0.7536799698945111,-0.06861644236623429,-0.5886403613147945,-0.40987448479013633,-0.17784106448956005,0.30235372693591334,-0.37485079858483844,0.0700081973969798,-0.09506465655122869,-0.15758303268044346,-0.5325172228785556,-0.39273237263027444,-0.5119084758505602,0.580146706086302,-0.4761156487018608,-0.3537921668755028,-0.5524526673616652,-0.4474728062150544,-0.2084165606905802,-0.4045186851440658,-0.6650825660114804,-0.7646133100829099,-0.0694894077866176,0.35681702067221643,-0.7657541573263543,-0.6636733919765004,0.14137822957899335,0.7347056429986334,-0.4574355943508333,0.7063550457211512,-0.3134515820468991,-0.2943206068001071,-0.5733186884747348,0.4718348840266507,0.6010387666943705,0.42310504864865833,-0.535001743281261,0.3033113405620216,-0.666071687616808,0.8186519841884746,-0.053863513724553384,-0.24302250429200367,-0.4328892878037577,-0.34086099408164017,-0.6422704517421541,-0.3422515782208964,-0.5571646063394,-0.6072242362029175,0.10056401892546196,-0.4566255417833753,-0.5795326878881045,-0.3739666009317466,-0.63001495642248,0.5055950044668881,0.3533257816884747,-0.18152465044707453,0.5579386930173517,-0.2561281118515372,-0.3851373084187718,0.25639450662874363,-0.040949045958721515,-0.35409921706412595,-0.3165871632591087,-0.1528967860771416,-0.7015100051612636,-0.04971020980908324,0.5506818688364612,-0.7399790717093325,0.30120107221939735,-0.3291907883905549,-0.4351304649362222,-0.47032748961740967,-0.7249593045957897,-0.39611967718903623,-0.7049177948648129,-0.8188113469665868,0.6661922021584459,-0.39956239980759495,-0.5365148254155806,0.3141883870871841,0.6773904751435775,0.051974063835859466,-0.4438336259590303,-0.5202051118543757,-0.19743454715515532,-0.4439151489456847,-0.24821275971975493,-0.7197561696595892,0.47210473575110096,-0.5229831075566076,-0.6033375523352995,-0.4394323844089434,0.5989110927844525,-0.3083086909403529,-0.7394105894954907,-0.007328803818638787,0.5787682003100353
SN_pr_R,0.4569227539522947,-0.02451654460342082,-0.09587814769124166,1.0,0.09038382485568051,0.33666476722209593,0.3377850708001254,0.29211686246692975,-0.029455530123730454,0.31557634003579643,0.4434150823497577,0.4974651903272891,0.3055729323894158,0.15267420300749357,0.3636822041117261,0.11881920630964736,0.3810157462311091,0.4582394372370614,0.38395630528565977,-0.0035342067150612847,0.34163516324564563,0.10981597800401031,0.38175403456882245,0.2020928787543871,0.2288947697309774,0.42118568472386264,0.3113539284051938,0.4700422870059041,0.4009193294139695,0.2362263285981589,0.48647496325975004,0.15601330816395195,0.3550982759881474,0.26298806266212277,0.4629064344288084,0.11219072502359824,0.01351640490350558,0.04635129235008021,0.4692771982953368,0.3716977330960567,0.3458542228760492,0.11765695005851516,0.1445050366784721,0.25893161335048986,0.420207463404966,0.13326947248825277,0.460497593783955,-0.017581162951703772,0.15236556792877687,0.3541532087321522,0.5282313341425334,0.15779410838085803,0.4372959255009061,0.38406899491197627,0.3705644909176107,0.02074446623511447,0.15832813742099872,0.37627532417426174,0.23359504144507381,0.3695922094416044,0.15746636105542727,0.3503472449600676,0.034346115290443,0.25265922305372734,0.046637569884489014,0.35816054995301677,0.37777108026895095,-0.08744185535123458,0.0460430636122079,0.46841099226973026,0.14326970347983145,0.40611680130020383,0.10075736527502663,0.605957667687509,0.08197745395846259,0.234567373124801,0.28153413176500347,0.031834272356875644,0.31277125148931995,0.18556005819900426,0.17609334187432737,0.4550888770162022,0.2814557425290798,0.24920839096824723,0.14029181002339533,0.34259825418212797,0.22704119794236405,-0.16897239937924283,0.2260956512621747,-0.10391566119026775,0.28515685556487513,0.45090377383829683,0.3510316028658712,0.3631098889604462,0.5075794002701722,0.11948119438103488,-0.06254955646519031,0.3705684831313186,0.05062563406480973,0.5282950212577494,0.04728260567665566,0.43119212421789666,0.33574266723530505,0.3424108204940309,0.37346069777921215
Occipital_Mid_L,-0.12307587955064003,-0.08366005203513775,0.07803947193166376,0.09038382485568051,1.0,-0.13192705359682924,-0.2525129861301383,-0.14529968374215116,0.02746504944264548,-0.03883517908304209,-0.19198120473065697,-0.06493668769837416,-0.11654782438054781,-0.009431204599047652,-0.09333268533752954,0.43627280998178797,-0.12730997448458645,0.10742464205312041,-0.17058381684254065,-0.11379267536788326,-0.2271924955293926,-0.061317246769482546,-0.00292407117931086,0.07949733157615926,-0.28206534121169097,-0.15751105122851983,-0.2219916975632615,-0.08836156531236372,-0.07964957905565691,-0.14112872260062084,0.24506551562413165,0.023132686962975768,-0.08064679708471757,-0.22616064302220323,0.03395511360583889,0.06198354292964529,-0.07365624340387036,0.08371344485167746,-0.14182399752953706,-0.05604421961846599,-0.05294750644409093,0.17187893297907594,0.24193136521122038,0.14719822098854468,-0.1857372887706044,0.21089580873375405,-0.033669425438152524,0.10655948341921419,0.20449373755677716,-0.02708186080127077,-0.07690747170236382,0.0553674804203891,-0.011179328544474692,-0.14869771336036516,-0.16571434192309906,-0.16308241748176883,0.21763549184087286,-0.06559090735251,-0.2346337297798642,-0.14255148410219848,-0.1365321921339488,-0.08403474197118861,0.3408925039556915,0.13085495403735495,0.1673871732759548,-0.0672537988760455,0.0009401332194119211,-0.15866920143039775,0.06588185478476115,-0.1034102100941029,-0.09447585866416036,0.23804230299829093,-0.16196451634261197,0.056749599341005146,0.15931946450632545,0.013239811190382809,0.13496943642655485,-0.1372054977915562,-0.04681638818200874,-0.009167523032669512,-0.14248326679425657,-0.1393534767214447,-0.11731973068165097,-0.07469055552561486,0.20662455836589036,0.12748454233620224,-0.1343234812163341,-0.38985249250524284,0.16485759204376566,-0.37875608519536835,-0.16606347816176417,-0.04743020525279124,0.06314801257687058,-0.014764365104338957,0.003884021934725797,-0.23357850971857855,0.12914501797865804,-0.05596125873709101,0.21544868050731478,-0.017499986425734287,0.017182361276855542,-0.07241996396950917,-0.09253781287151135,-0.05875140699662262,0.14104081921698602
Heschl_L,0.5376286659130328,-0.42002243968638153,-0.48201715764212383,0.33666476722209593,-0.13192705359682924,1.0,0.8649148908647966,0.785611137072761,-0.4440156533337621,0.46014276952394106,0.7989385949471411,0.6460455348408891,0.5590802642664295,-0.002762772532001301,0.6812457045084259,0.2090230388189292,0.35976794513626814,0.581363649871162,0.8613300060512236,0.44931526660759447,0.7842701453115429,-0.13297669374304055,0.6500069757118648,0.44667455811593115,0.8296790038948888,0.8325860950477882,0.7351250898344981,0.8105191529116682,0.7866027075755194,0.7395438562508964,0.07634467201263924,0.11247940910570829,0.7256585695908658,0.6544318150346106,0.29838829066847733,-0.3628959408603418,0.3649438473921449,-0.3593072953333193,0.8074324740080727,0.6287263772583355,0.72283864111446,-0.2842815720316412,-0.30562229199162133,-0.22934502865338244,0.8138112469373724,-0.053265357962914775,0.844956190556936,-0.49477637277767783,0.36047873017592047,0.6387308923771506,0.7795419100610118,0.40211324842907414,0.8296430803651399,0.7488576313642376,0.7120316488209931,0.554341709368226,0.0978050013028268,0.6513611497123216,0.7928978449161204,0.7479924489491152,0.5391566019765762,-0.03641006010228545,-0.2552735920795795,0.3543143258014106,-0.13114524946382847,0.5873904734841416,0.5248309855816734,-0.10400428077387547,0.055039554917973646,0.7762783066038546,0.5601189790119891,0.2430279105099783,0.6826412155164548,0.40209646843238644,-0.4309546027152056,0.6632642495355137,-0.1523784726935947,0.4249440404306975,0.6586512383104284,0.43697598680132793,0.659207143194549,0.8399101018332202,0.801103004528414,0.7279463146060097,-0.38232948865522337,0.6027391169210379,0.6391503115131029,-0.030172069730455275,-0.3122169432949221,0.17018795450420435,0.5391351157760198,0.6305273822450279,0.3467138719349867,0.7227249668080232,0.6713171207222818,0.6837376865804882,-0.47915882169246393,0.7611110150106072,0.31644257490723293,0.7694613388711361,-0.33037218924664985,0.6851966457758896,0.7367929008813346,0.5423823307197818,-0.13951395533272412
Frontal_Sup_2_L,0.5800351059535942,-0.46476561422881174,-0.5491639221769565,0.3377850708001254,-0.2525129861301383,0.8649148908647966,1.0,0.8606492842391337,-0.525081178887231,0.43192130137386925,0.9032946062444414,0.7161776206971305,0.611794096159124,-0.04998605341084398,0.7460046802717478,0.08425630912066957,0.4651380201384777,0.5575078754593957,0.9718235849341657,0.5760904654103511,0.8509862606408233,-0.16880373923963043,0.6980487650468177,0.44563933696803953,0.9497238658649568,0.9081343959368829,0.7991136441357398,0.8555353524114437,0.8568391093686731,0.8370180465465019,-0.011610581420026538,0.05571378090540419,0.8471079026436767,0.8007270738421957,0.2570833704392676,-0.4216101049679241,0.4492675625152478,-0.44592683440680386,0.8418514119449745,0.644016386430748,0.771130867545548,-0.3493084929742261,-0.3636142099202885,-0.3087456722733202,0.8983749426370795,-0.11182044133381934,0.876080454978737,-0.5543780470379818,0.2749768341197305,0.6518432374686984,0.8341728422364411,0.38767899328537603,0.8421871581871091,0.8381002722130161,0.7394590829801214,0.6435581731898771,0.05973030206929539,0.7258676982374371,0.91879646497277,0.7976663762153049,0.6409037625570375,-0.06324895107771968,-0.28560022736231827,0.3761269669957041,-0.2716654807519072,0.5872369703715571,0.5807575729168447,-0.023788217547402218,0.11353080798616502,0.7787567024035214,0.5267710367737982,0.1881334877752786,0.7618220260678671,0.3730269498816454,-0.510499931771421,0.7201928478082856,-0.22808324458977086,0.4932409662126114,0.6645155047498787,0.40956667751468645,0.7731804610012192,0.9107272837216569,0.8744003823905053,0.809806835500741,-0.4883688550522356,0.5805520673690844,0.7262282645560323,0.09300422939892045,-0.39914983931078174,0.26624388499889295,0.4965394062514128,0.7014649510259579,0.3318893977941914,0.7235884289006144,0.667932597613456,0.8335698967563999,-0.6609330978811708,0.8128128042022514,0.3478769275998469,0.8127698459970579,-0.4015808997042944,0.7073763342245095,0.8548257821859591,0.5738578720368588,-0.23356747507193074
Insula_L,0.5954087864803381,-0.4746088458386627,-0.5484000913916842,0.29211686246692975,-0.14529968374215116,0.785611137072761,0.8606492842391337,1.0,-0.5158039264241807,0.4636422637943497,0.7588625849126746,0.7124238169492497,0.5332812213255779,0.087323925250074,0.6598275242324343,0.16087810845522058,0.31829806986281595,0.5787560464192736,0.8874836568951332,0.6639229948093247,0.819271272972201,-0.17121206363190966,0.7647939229389862,0.5118845552767279,0.8439989910193203,0.8267757917452517,0.8095957638946117,0.8154985046109752,0.8252388961625732,0.7723261782544723,0.09118978713120961,0.13008224789676254,0.7584713491773354,0.6698731188996178,0.2855795519807315,-0.3996545982713,0.3401423756786115,-0.40006652845077295,0.7750965192211007,0.6700089277055074,0.7555185191544503,-0.11263940723692459,-0.24009858431587613,-0.2003543750504971,0.7582525166904818,-0.04529401394705467,0.8274465097534781,-0.4805317079095614,0.44308954436613956,0.6553128585839073,0.763860250081552,0.5529097809496354,0.8729728333476482,0.8752828689334611,0.6929878159515003,0.5689391592340974,0.24896015525998264,0.6783785224214,0.8045702889760475,0.7587620702483521,0.5812646572165494,-0.23422029225823335,-0.1467631790743275,0.38463501907440906,-0.14989109249586915,0.668205946169307,0.5578209801976494,-0.03459916741055049,0.1841241356227009,0.719349637785003,0.3965889879733508,0.30807827335481225,0.6962316586238945,0.4259048428297171,-0.39433411328434176,0.698450346777218,-0.13811831523047835,0.4114258522846169,0.8279747756811738,0.4654266427598075,0.6772103187368046,0.8330918189640374,0.847867634518739,0.7754719783843259,-0.34507418581578697,0.678651417220992,0.6382377687700233,-0.0963993085718191,-0.3138687116060858,0.1758976755221554,0.4920950323690249,0.631196875349058,0.35249916148497795,0.7408619858440749,0.6176870752408906,0.7254638785587277,-0.5282484116874,0.7911218469428427,0.4081297780563534,0.7431572302068927,-0.3510014775264011,0.685431742709849,0.7938255084779872,0.5152378276027206,-0.2407450597410856
Cerebellum_7b_R,0.060181711359507076,0.9162563009243562,0.7536799698945111,-0.029455530123730454,0.02746504944264548,-0.4440156533337621,-0.525081178887231,-0.5158039264241807,1.0,-0.04044661930843509,-0.49747266617870817,-0.32047862344265254,-0.2503297192519692,0.5580144279174971,-0.4529316020420536,-0.2237809873739584,-0.022445698774781035,-0.0625350565654815,-0.5305256291153769,-0.49701364486933947,-0.4660235841981242,0.7406393062540806,-0.44378945705471734,-0.4553332293007123,-0.6029010332812585,-0.3530088640633244,-0.2748922928752444,-0.29866141609017494,-0.5942260423606515,-0.7289249528786902,0.1554307344150121,0.4359781976480383,-0.63462463320499,-0.6155528333026519,0.17091546463939272,0.9018201907232454,-0.5042466810533814,0.9110610214794111,-0.24465496220466798,-0.22670754704371934,-0.47582368084103127,0.5923726677190831,0.7255730226481253,0.6884995762508672,-0.5592070700534731,0.17586787836506013,-0.6525464148848847,0.890052963232096,-0.06976035349805734,-0.25486354952045304,-0.324930325692361,-0.3792224306611762,-0.5185997220104296,-0.38230975254677807,-0.43423187327930346,-0.7847824759393839,0.13180677110012656,-0.3356751891977654,-0.6205055805607428,-0.3338523790063151,-0.6024480673311533,0.6145676715331841,0.2971006235127354,-0.3381273033268149,0.5768916035729436,-0.19382329747582255,-0.20893301046555113,0.056272516229218056,-0.016980101584289184,-0.20954235664745333,-0.6008265264151341,-0.06352461644647607,-0.7684882962881148,0.06295326596499647,0.8185572913388611,-0.670082207602482,0.58707000771486,-0.4571080926386369,-0.38580451955246914,-0.43756219552010217,-0.7153562475487317,-0.3017135261116142,-0.7485043706907093,-0.7375998636003323,0.7732971430591117,-0.41126673845134526,-0.4819802323765651,0.1533236312374627,0.808265593713089,-0.2096609919155248,-0.3531270980976285,-0.2554298551610415,-0.26210327740547756,-0.4878938873255172,-0.19374783239579182,-0.7139256314321072,0.5143542923870116,-0.4311889243896673,-0.7593095278465869,-0.40566222530879187,0.8618178559116373,-0.17683892885263608,-0.6210558374351637,-0.10249654746847416,0.7551851620619549
Thal_AV_L,0.37727582879101146,-0.09337675895358927,-0.06861644236623429,0.31557634003579643,-0.03883517908304209,0.46014276952394106,0.43192130137386925,0.4636422637943497,-0.04044661930843509,1.0,0.4514905599760095,0.20196817561925787,0.4404182606895864,0.1799517069202428,0.422635307535073,0.21169161975816903,0.4074242923952419,0.49494190762657064,0.45725629958933545,0.18610820888236254,0.3365549223226648,0.12796767188514369,0.575916323489897,0.4019969438805349,0.35417039836278913,0.46841271148053026,0.45005336370757226,0.5684283511810773,0.2913187015466886,0.21807087941369177,0.2690681815411452,0.06812883158647375,0.2730099678159599,0.09931929046132759,0.4920408327420935,0.07220761730096582,0.045964547937071415,0.010130948703120701,0.5197226032551422,0.775087886713101,0.3348100566931427,0.020186687873570846,0.03884848304225039,0.030605305689429343,0.4661331000834567,0.35134503719720284,0.4343652443432983,-0.007554150523509714,0.25227265114149205,0.5508548719231142,0.5075372650859935,0.20004427160744184,0.4262795333914193,0.43682544349485186,0.4694608575167964,0.19732728463405702,0.15666772953793917,0.16514450939159192,0.26275670444426097,0.5319740686914971,0.07674772062811072,0.09565280715773532,-0.0797864542082624,0.4359086707003099,-0.01707832794793038,0.37448322179356386,0.13810836047067018,-0.1290191760361672,0.26567373777324294,0.4749681513466861,0.2249412705409492,0.4444688668726635,0.31125115211483234,0.491195887538872,-0.04862216940547005,0.04309182024321335,0.07928021867321511,-0.04851084498661781,0.36481287019605996,0.20763740835791003,0.10707558539964754,0.5259319417012097,0.29249913929019944,0.2761837608330215,-0.031223574922110257,0.504892705768747,0.06174697337953754,-0.05790635970476266,0.10408344739872008,0.13685276575848934,0.08625692987683821,0.38758478047831957,0.06049934062052851,0.513926395182989,0.5049533133495471,0.26205453744010127,-0.11483674244956085,0.4160082769989225,0.09082522948292714,0.5123850698914324,0.00928314284866365,0.45504438466495156,0.3006768046517602,0.6057113976202091,0.16921751282800818
